,DMSO_R1_minus_TEX,DMSO_R1_plus_TEX,DMSO_R2_minus_TEX,DMSO_R2_plus_TEX,compound1_R1_minus_TEX,compound1_R1_plus_TEX,compound1_R2_minus_TEX,compound1_R2_plus_TEX,compound59_R1_minus_TEX,compound59_R1_plus_TEX,compound59_R2_minus_TEX,compound59_R2_plus_TEX
NC_007795.1,36.16666667,59.33333333,42,63.5,2,4,2.166666667,3,0.333333333,6,4,7.5
NC_007795.1,36,43.5,21,96,2.5,2,6.5,3,2.5,5,4,15
NC_007795.1,44.5,148,25,86,9,4.5,8,6,3.5,7,3,10.5
NC_007795.1,33.5,133,16,91.5,10,3,9.5,2,8,0.5,6.142857143,8
NC_007795.1,32.5,97,17.5,148,12,2.5,5,6,11,16.5,3,12.5
NC_007795.1,56,95.5,30.5,136,6,8,8,4.5,9,18.5,4,12
NC_007795.1,49.5,140.5833333,49,87,9,12,5,3,6.5,8.5,7.5,12
NC_007795.1,77.5,127.5,44.5,107,24,16.5,4.5,14.5,9.5,9,8,16.5
NC_007795.1,4674,5487,4985,5904,553,661,292,800,766,1497,463,1513
NC_007795.1,40,85.5,28,80.5,14,0.5,3,10,10,6,3,10
NC_007795.1,100,227.5,67,147.5,12,16,6,18,20,39,13,50
NC_007795.1,111.5,396,88.14285714,346.6428571,37,16,18.5,20,24.5,25.5,11,28.5
NC_007795.1,57.5,80.5,43,62.5,5,3.5,8.5,6.5,4.5,13.5,3,7.5
NC_007795.1,54,129.5,49.33333333,55,14,3.5,8.5,12.5,7,13.5,5.5,19
NC_007795.1,51.16666667,66.5,63.5,87.66666667,3.5,3,6,12.5,14,13.16666667,4.5,19
NC_007795.1,72.5,122.5,59.5,109,5.5,5,5,6.5,6.5,16,3,10.5
NC_007795.1,0,1,0,0,0,0,1,0,0,0,0,0
NC_007795.1,250,281,231,328.6666667,32,48,15.5,52,61,74.5,43,66.5
NC_007795.1,97,138,75,161,17,24,10,15,14,36,18,39
NC_007795.1,202.5,383.5,130,334,43,14,19,27.5,20.5,32,18,55.5
NC_007795.1,97.5,199.5,70.5,152.5,19,6,8,7.833333333,7.5,12,9,20
NC_007795.1,20,36,37,22.5,1,2.5,1.5,4.5,5,6,4.5,11
NC_007795.1,150,233,160.8333333,223,21,27.5,13.5,39.5,14,33.16666667,6.5,51.66666667
NC_007795.1,37,32,23,14,2,4,0,0,7,12,0,9
NC_007795.1,27,98.5,32.79545455,76.16666667,7,2,4,3,3,2,7,7
NC_007795.1,26,98.5,12.54545455,57.16666667,4,2,2,0,5,1,4,2
NC_007795.1,302,626,339,767,25.5,23,15,29,24,46,18,51
NC_007795.1,191,407,207,234.5,32,19,15,25,12,20,14,39
NC_007795.1,30.5,65.5,14,53,9,4,2,9,9,9,2,15
NC_007795.1,35.5,46.5,27,57.66666667,5,4,2,4,4,0,1,8
NC_007795.1,612,487,627.5,645,47,46.5,15.5,44,51,118.5,20.5,108.5
NC_007795.1,1299,920,1079.5,855,70,130.5,34.5,154,93,227.5,56.5,273.5
NC_007795.1,14.16666667,81.66666667,5,61,5,1,4,0.424242424,0,2,4,3
NC_007795.1,12,56,11.5,41.5,4,3,6,0,7,1,5,7
NC_007795.1,4,42,0,25,4,0,5,1,2,2,1,2
NC_007795.1,40,105,29.16666667,109.5,11,2,6,2,4,5,1,14
NC_007795.1,46.75,102.1,24,155.6428571,10,3,4.5,4,3,2,12,8
NC_007795.1,117,117,99,111,13.5,17,2,23.5,28.5,63,13.5,41
NC_007795.1,59,107.5,67.5,105.5,8.5,7,8,4.5,6.5,32.5,7.5,28
NC_007795.1,200.6,240,165.4,219.2,15,23.7,9,39,26,61,14,72
NC_007795.1,453.8761905,369.8333333,375.5,356.1,50,81.61666667,26.83333333,101.3333333,52.5,124.1666667,42.7,161.3333333
NC_007795.1,186.5,194,93,126,26,37.5,16.5,39,33.5,64,26.5,96.5
NC_007795.1,28.5,32,21.5,46,4.5,3,2.5,0,8,7,2,4
NC_007795.1,876.1666667,625.1666667,684.1666667,761.1666667,65,98,36.5,94,96.5,153,48,176
NC_007795.1,100.6666667,156.5,99,152.5,12,10.25,3.5,16.14285714,16,37.5,8,32.14285714
NC_007795.1,72,41.5,49,55.83333333,1,6,3.5,10,6,9.5,4,16
NC_007795.1,32,53,38.5,63,6,6,6,6.5,9.5,3.5,3,7.5
NC_007795.1,102,245,54.5,182.125,14,13,8,22.5,12.5,43.5,9.125,35.5
NC_007795.1,40.93333333,142.4666667,19.4,107.8,11,4,7,3,2,5,5,9
NC_007795.1,53.5,271.5,26,187.5,23.5,9,15,9,4,12,14,20
NC_007795.1,133,530,75,462.4545455,51.14285714,11,28,30,16,18.25,31,58.14285714
NC_007795.1,88,124,51,112.8333333,15.5,15.5,16,27,26.5,33,18.5,45
NC_007795.1,151.6666667,239,134,214.5,21,30.5,11.5,37.5,12.5,42.5,26,74.5
NC_007795.1,33,34.5,43.5,37,4.5,10,4,4.5,3.25,11,4,15
NC_007795.1,44,50,48.66666667,42.5,13,9,4,15.5,9,13,4,30
NC_007795.1,415.8333333,522.5,356.5,452.5,52,99,37.5,114.5,34,96.5,47.5,148.5
NC_007795.1,184,161,114,117,12,22,8,24,17,36,15,60
NC_007795.1,54,111.5,28.5,82,15,3,9,3,31,25,5,16.5
NC_007795.1,133.2857143,192.9166667,61.92857143,118.4285714,12,17,8,15,10,25,11,40.5
NC_007795.1,745,451,744,460,37,104,17,109,64,209,36,220
NC_007795.1,363.1666667,546,267,493,56.5,63,27,86,45,114,31,136
NC_007795.1,577,533.1666667,388.1666667,483.5,44,80,20.16666667,125,82,196,35,249
NC_007795.1,124.5,267,86.5,181.6666667,15.5,4,15.5,13,13,21,8,23.5
NC_007795.1,52.5,48,33.5,73,7.5,2,1.5,7,4,16,1,10.5
NC_007795.1,26.66666667,59.5,16.66666667,66.5,7,3,7.5,2,2,1.5,3.5,3
NC_007795.1,22.5,117.5,21.5,95.5,9.5,3,3.5,9,3,4.5,1.5,1.5
NC_007795.1,16.5,129,9.5,88,4,2,4,5,1,0,2.5,5.5
NC_007795.1,94.5,173,51.5,179.5,11,18,13,20,21.5,24,13,30.5
NC_007795.1,28,54.5,29,31,4.25,4.5,3,5,5,6,6,14
NC_007795.1,87.5,160.5,68.5,118,16.5,18.5,14,23,13,48,13,38.5
NC_007795.1,31,39,29,85,4.5,1,5,6,11,15,2,4
NC_007795.1,910.3333333,1006,574.1666667,884,132,178,87,208,249,343,96,331
NC_007795.1,4566.333333,3753.333333,4477.5,3844,322.5,671.5,212,755,624,1036.333333,457,1453.5
NC_007795.1,86.5,193,94,74,22,18,12,22,47,60,25,44
NC_007795.1,66,152,60,132,8,14,8,9.2,9,32,6,19
NC_007795.1,221.5,277,195.5,214.1428571,19,21,8,23,19.5,51,19,85.5
NC_007795.1,210.5,230,183.5,226,13,26,11,24,22.5,48,8,59.5
NC_007795.1,13,9,2,6,2,1,0,1,0,3,1,8
NC_007795.1,66.5,166.5,60.5,149.1666667,10.33333333,3,8,5,8.333333333,20.5,4.833333333,17.5
NC_007795.1,6.5,9.5,9,14.5,1,0,0,2,2,4.5,0.5,2.5
NC_007795.1,67,156.5,39.5,142,14,7,9,17,3,9,14,13
NC_007795.1,45.5,221.5,31,171,13,6,6.5,5,5,6.5,4,7.5
NC_007795.1,22.5,106,19,114.75,6.5,3.5,0,6,9,8.5,4,5
NC_007795.1,10,10.5,9,15.5,1.5,0.5,1,3,0,2,1,3.5
NC_007795.1,329,394,314,307.75,40,35,29,42,24,29,14,67
NC_007795.1,159.25,322,128.75,196,19,16,24,25,15,17,5,26
NC_007795.1,351,505,254,442.1428571,43,62,30,68,19,67,33,103
NC_007795.1,26.5,77.66666667,30.5,49,5.5,1.5,8,2,0,17,3.5,11.5
NC_007795.1,32,61,17,38.45454545,6.5,2.416666667,4,5,7,6.5,3.5,15
NC_007795.1,3.5,12.5,5.5,11,0,2.5,1,0,0,1,0,7.5
NC_007795.1,430,256,307,235.5,20,40,12,63.5,37,73,12,64
NC_007795.1,41,100,30,128,4,1,7,11,3,6,3,7
NC_007795.1,35,110,17.5,82,16,1,8,1,4,8,3,16
NC_007795.1,179.5,134.5,126.5,93,37,87.5,36,88,140.5,343,46,214.5
NC_007795.1,504.6,363.5,361.8333333,345.3333333,112,171.5,44.33333333,215.3333333,189.5,453,110,488.7
NC_007795.1,1,2,0,0,0.142857143,0,0,0,0.142857143,0.428571429,0,0
NC_007795.1,0,12,0,4,0,0,0,0,0,0,0,1
NC_007795.1,9,5,2,0,2,1,1,1,0,7,0,3
NC_007795.1,0,2,1,2,0,0,0,0,0,0.5,0.5,0
NC_007795.1,2,4,2,13,0,0,1,0,0,2,0,2
NC_007795.1,1,6.5,0,3,0.5,0.5,0,0,0,0,0,0
NC_007795.1,1,5,0,3,0.5,0.5,0,0,0,0,0,0
NC_007795.1,1,1.5,0,4,0,0,0,0,0,0,0,2
NC_007795.1,1.5,15,0,27.75,3,1,1,0,3,0,3.5,1.5
NC_007795.1,13,21,2,14.5,0.5,0,1,0.5,3,4.7,0.5,2.5
NC_007795.1,5.5,22.1,2,5.5,2.333333333,0,2,0.5,0.333333333,0.5,1,1
NC_007795.1,0,2.5,0,1.5,1,0,0,0,0,0,0,0
NC_007795.1,6,4.5,4.5,2.5,1,4,3,1,3.5,14,2,12
NC_007795.1,11,6.5,6.5,2,4,8,5,4,6.5,23,2,25
NC_007795.1,47.5,67,23.75,59,3,3.5,2,12.5,11.5,11.5,2,11.5
NC_007795.1,88.5,78,64,145.5,6,9.5,3,11,5.5,16.5,5,20.5
NC_007795.1,10.4,13,5.5,5.7,0,1,0,1.5,4,4,1,8
NC_007795.1,54,139,13,96.33333333,11,3,6,4,8,1,5,4
NC_007795.1,118,92,83,94,14,14,6,12,8,39,4,45
NC_007795.1,110,191,135,114,14,26,5,12,11,23,8,46
NC_007795.1,0,6,1.5,9,1,0,0,0,1,0,0,0
NC_007795.1,12,103.1666667,18,76.5,8,0.5,5,4.25,3,1,2.5,1.5
NC_007795.1,15,52.5,9.5,55.5,7,3.5,4,5,3,7,3,6.5
NC_007795.1,26,39,17,28,3,3,1,6,2,3,2.5,9
NC_007795.1,711,484,554,506,75,169,48,205,108,184,83,186
NC_007795.1,14,71,7,40,6,0,7,0,3,1,2,1
NC_007795.1,567,268,525,291,38,60,17,80,20,123,37,172
NC_007795.1,159.25,135,132,153,9,14,9,16,45.5,47,25,60
NC_007795.1,16.5,82,10.5,50.5,4.5,1,8,1,2,6,1,2
NC_007795.1,139,242,135.625,229,22,10.5,7.333333333,14,10.5,29.5,7,20
NC_007795.1,61.83333333,113.5,56.83333333,90.5,8,8.5,3,8,6,8.5,6.5,10
NC_007795.1,22.5,107.5,21.28571429,67.42857143,15,3,4,5,5.5,7,4.5,8
NC_007795.1,177,153,137,210.5,8.333333333,26,10,33.5,14,41,14,40
NC_007795.1,760.5,494,702.5,346,41.5,147,26,145.5,56,179.5,35,233.5
NC_007795.1,40.5,67.5,40.5,40,11.5,15,9,25.5,22,46.5,3,33.5
NC_007795.1,130.3333333,405,76,269.0694444,22,5,12.125,16,10.125,25,20.125,15
NC_007795.1,1206.833333,1079.5,1086.333333,917.4761905,75,198.5,54,239,109,262.5,75.5,408.5
NC_007795.1,880.75,760.5,874,815,86,192.5,50,221,97,315.5,87.5,489.5
NC_007795.1,8,20,9,14,1,1,0,1,0,5,1,1
NC_007795.1,23,156.5,10.5,92.75,17.5,5,8,1.5,5,0,4.5,1
NC_007795.1,4.5,5.5,0,0,0,0.5,0,0,0,0,0,0.5
NC_007795.1,44,73,29,51,10.5,6,5.333333333,7,3,3,1,6
NC_007795.1,1331,943,1137,932,153,316,57,330,175,422,87,426
NC_007795.1,6,12,8,13,0,4,3,1,4,1,1,3
NC_007795.1,7,4,2,11,0,0,0,0,2,4,1,0
NC_007795.1,1258.4,1002,1288,1006,68.5,150,47,159,104,186.6428571,65,275
NC_007795.1,23.14285714,19.5,21.5,32,2,1,1.5,3.5,8.75,8,0,6.833333333
NC_007795.1,3,7.5,2.5,4,1,0,0.5,1.5,1.5,1,0,1.5
NC_007795.1,24,83,15,112.04,16.125,2,1,2,6,13,10,12
NC_007795.1,31,94,20.5,88,13,1,2,2,1,4,6,12
NC_007795.1,105,236,121,272,17,13,17,31,52,56,33,69
NC_007795.1,138,571,116,351,40,19.5,31,31,29.33333333,44,27,55
NC_007795.1,3310.5,2811.833333,2898.833333,2490.25,211,337,151,454,192,372,155,527
NC_007795.1,78,134,76,91,14.33333333,12,16,9,20,41,8,24
NC_007795.1,14,47,3,29,4,3,2,6,0,2,3,2
NC_007795.1,138,178,137,157,19,36,15,31,31,57,14,75
NC_007795.1,41.5,196,27,155,17.5,5,14.125,3.5,3,8.5,11,11.5
NC_007795.1,52.80952381,180,43.11111111,165.8333333,16.5,3,13,9.5,7,9.5,4,20.5
NC_007795.1,0,6,0,2,0,0,0,0,0,0,0,0
NC_007795.1,97.5,425,57,306,27,13,17.5,9,2,11,14,9.5
NC_007795.1,68.5,70.5,57.5,59.5,5,6.5,5,7,6.5,23,2,18.5
NC_007795.1,21,59,23.5,40.5,8,5,7,6,4,9,1,7.5
NC_007795.1,190.6538462,435.5,129.6923077,350.0769231,20.25,23.5,22.25,24,12.5,48,20.25,59
NC_007795.1,456.1428571,712,385.5833333,556.95,40,47,34,66,65,101.5,50,137
NC_007795.1,95,100,58,84,7,9,3,8,5,13,9,23
NC_007795.1,26.25,65,11,63.5,7,1,6,4,4,11,0,3
NC_007795.1,743,444,559,358,47,175,28,199,64,268,52,375
NC_007795.1,146,214,145.1666667,142,23,24.5,15,41,14,34,13,37
NC_007795.1,59,103,51,43,9,3,4,8,6,25,4,12
NC_007795.1,210,194,182,200,25,28,15,45,28,44,24,57
NC_007795.1,33.03333333,175.0333333,37,104.9166667,11.36666667,11.13333333,12.83333333,7.833333333,9.366666667,10.3,8.2,7.7
NC_007795.1,3,48.5,2,21,3,1,2.5,0.5,1,0,2,0
NC_007795.1,21,94,4,78,7,3,4.25,3,5,0,4,5
NC_007795.1,9.5,47,2,20,1,1,2,0,0,0,3,0
NC_007795.1,7.5,48.5,3,17,10,0,2,0,0,0,0,3
NC_007795.1,39,207.5,9,145.5,18,1,9.5,8.5,3,0,5,1
NC_007795.1,16.33333333,45,13.66666667,50,5.666666667,2.333333333,1.5,3.5,0,0,0.333333333,5
NC_007795.1,217.8333333,274,171,206.6666667,27,26.5,18,30.5,24,45,13,69.83333333
NC_007795.1,274,259.25,204.3333333,227.6666667,29,37.5,13,35.5,24,53,21,93.5
NC_007795.1,20,91,9.5,86,8,2,5.5,2,8.5,6.5,3,7
NC_007795.1,320.5,271,192,149,41.5,48,12.5,73,25,58,21,104
NC_007795.1,20,119.5,16.16666667,80.83333333,9.5,4,9.5,3.5,7,1,4.5,4
NC_007795.1,15,90.5,11.5,37.5,5.5,2,5.5,2.5,1,2,2.5,2
NC_007795.1,30,152,13.33333333,89,10,3.5,9,4,2,2,2.5,4.5
NC_007795.1,57,150,15.33333333,69.5,19,6.5,3.5,3.25,4,5,9.5,6.5
NC_007795.1,91.5,40,63,42,2.5,9,2,13,9,15.5,7,29.5
NC_007795.1,130.5,86,76,56,7.5,14,2,18,3,26.5,9,42.5
NC_007795.1,91.33333333,217,108,202,17,15,6,14,28,54,20.5,43
NC_007795.1,7,31,8,30,2,4,1,0,1,4,1,3
NC_007795.1,8,51.5,7,64,3.2,1,4,5,0,1,0,2
NC_007795.1,65,242.5,5.5,161.5,14.5,3,11,4,5,2,10.5,11
NC_007795.1,24.5,133,14.66666667,80.5,19.5,2,8,1,4,3,3.5,5
NC_007795.1,1.5,0,0.5,3,0,0,0,0,0,0,0,0
NC_007795.1,25,63,27.5,86,3,2,2,4,1,4,4,9
NC_007795.1,1360.5,650,1401.25,649,99,280,58.5,311,106,321,81,454
NC_007795.1,30,93,13,77.2,14,1,4,2,4,4.25,3,5
NC_007795.1,16,85.5,9,43,8.5,0,6,2,2.5,1,2,0
NC_007795.1,23,125.5,23.16666667,105,15,4.166666667,6.666666667,4,0,8,2,5.5
NC_007795.1,10.7,69.5,14.4,75.125,4,2,4.5,4,3,4,0,3.5
NC_007795.1,23.5,75.66666667,13.16666667,50,4,2,1,5.5,1,0,4,0
NC_007795.1,79,254.5,30,162,26,4,11,7,1,7,13,17.66666667
NC_007795.1,22.83333333,93.66666667,20.5,52.16666667,4.5,3.833333333,8.5,3.333333333,0.166666667,1.666666667,6.5,2.666666667
NC_007795.1,28,134.5,7,98,10,2,12,3,4,4,1,3
NC_007795.1,55.5,114.8333333,49.5,138.5,14.58333333,10.25,21.25,16.75,1,4,5,10
NC_007795.1,20,87,50,41,4,5,4,3,0,4,4,6
NC_007795.1,702,450,573,391,48,110,13,139,89,289,69,296
NC_007795.1,85,94,67,95,5,12,2,10,27,36,6,28
NC_007795.1,275.5,213.5,189.5,230,25,32.5,9,36.5,63,73.5,26.5,72
NC_007795.1,139.8333333,109.5,96.11111111,142.1111111,15,21,5,20.5,16.5,36.5,6.5,29
NC_007795.1,521,376.5,436.5,265,34,63.5,18,55,17.5,50,10,85
NC_007795.1,36,143,8.5,123,13,1,9,3,5,5,5,7
NC_007795.1,39.33333333,113.75,35.33333333,101.25,7.25,3,5,7.25,5.5,4.5,11.75,4.583333333
NC_007795.1,15.5,75.5,13.5,58.5,3,1,4,3.5,1,2,1,0
NC_007795.1,370,293.5,371.5,242,40.5,70.5,20.5,93,8.5,48.5,18.5,65.5
NC_007795.1,1688,1292.5,1463,1295,114.5,220.5,65.5,242,134.5,238.5,62.5,313.5
NC_007795.1,1566.166667,1106,1553.5,1049.5,155,223.5,91.5,286.5,113.5,319,101,425.5
NC_007795.1,1966.333333,1601,1756.25,1533.5,127,281.5,106.5,344,223.5,484,151,645.5
NC_007795.1,55.5,48.5,38.5,40,4.5,4,6.5,12,2,9.5,3.5,22.5
NC_007795.1,54.83333333,64.5,39.33333333,82,2,3.5,2.666666667,4,15,16.16666667,7.666666667,17.66666667
NC_007795.1,0,17,0,1,2,0,1,0,0,1,1,1
NC_007795.1,14,25,29,15,3,9,3,4,4,4,5,5
NC_007795.1,58.2,112.5,40.83333333,98,10,8.833333333,12,5,4,15,5.5,19
NC_007795.1,31,46.5,32.5,74,7,4.833333333,3,4.5,4,11.5,4.5,1.833333333
NC_007795.1,13.16666667,45,8.166666667,29,3,3,1,0.5,4,5.5,4,4.5
NC_007795.1,35,68,17.5,50,5,1,1,1,4,8,2,5
NC_007795.1,75,107.5,54.5,112.5,5.5,11,2.5,14.5,6,17.5,8.5,33.5
NC_007795.1,281.5,291,260,231.5,23,17.33333333,4.5,21.16666667,15,41.5,8.5,74.5
NC_007795.1,341,254,334.5,218,10.5,25.5,10.5,33.5,16.5,71,17.5,102.5
NC_007795.1,293,183.8333333,260,186,11,21,8.5,25,21,71,12.5,58
NC_007795.1,82.5,68.5,77.5,71,5,5,4,14,13,17,3,31.5
NC_007795.1,62,182.5,70,77,10,19,7,31,20,20,7,38
NC_007795.1,16,71,14,27,4,2,2,4,8,5,3,4
NC_007795.1,32,24.5,17,14,1,3.5,0,6.5,4,11,2,22
NC_007795.1,50,107.5,45,111,13,9.5,10,8.5,11,12.5,10,17
NC_007795.1,23.5,16.5,15,46.5,2,2,4,4,3,5,0,5
NC_007795.1,23.5,27.5,6,36.5,6,8,5,3,7,8,6,7
NC_007795.1,20.5,117.1904762,5.566666667,72.33333333,7.7,3.5,9.2,2,4.7,3.5,4.4,6.7
NC_007795.1,15.28659053,59.55360276,9.290528404,24.349001,3.23476874,0.459429825,1.290909091,0.2,0.219298246,2.0860773,0.590909091,3.125631313
NC_007795.1,8,13,2,6.666666667,0,1,0,0,1,0,1,9
NC_007795.1,358.9166667,1194.166667,170.5,926.2,103.5,44,53,60,52.5,66,38,92.125
NC_007795.1,82,413,36,294,24,7,19,11,9,4,14,13
NC_007795.1,129.5,261.7,88,244,25.5,14,7,20,23,29.5,24,36
NC_007795.1,27.5,108.5,15,123,9.5,4,7,6,3,2.5,4,4
NC_007795.1,24,91,16.16666667,70.16666667,11,7.142857143,2,1,9,1,3,1
NC_007795.1,33.5,95,16.5,80,4,3,5,3.5,2.5,7.5,6,3.5
NC_007795.1,46.83333333,124,52,94.66666667,13,10,8,7.5,6.5,28.16666667,12,28.5
NC_007795.1,21.2,146,10,89,7,2,4,4,0,5,5,4
NC_007795.1,24,37,17,22,2,5,1,5,0,4,1,10
NC_007795.1,42,145.125,17,91,11,4,5,6,2,7,7.25,10
NC_007795.1,186,117.5,161,151,9,21,5,17.5,20.5,45,18.5,47
NC_007795.1,142.5,141,115.5,199,11,23,5,30.5,29,41.5,14.5,49.5
NC_007795.1,252.6666667,382.5,215.6666667,457,19,32,8,44.5,66.5,49.5,36,55.5
NC_007795.1,96.5,146,95,179.5,13.5,6,7.5,13,23.5,24.5,12,37.5
NC_007795.1,407,333,417.7,380.6666667,26.5,32.2,17.5,53.2,27.5,82.66666667,23,107.9
NC_007795.1,121,106.5,89.5,94.33333333,7,12,4,15.5,7,14.5,4,38
NC_007795.1,88.16666667,62.5,64.66666667,79.5,7,7.5,2.166666667,8,9.5,16,5.5,13
NC_007795.1,97,62,54,62.5,5,6.5,2,8.7,12.5,25.5,6.5,22
NC_007795.1,123,180,82,140,19,11,11,18,17,23,10,33
NC_007795.1,237.5,224,208,216,18,27,7,36.2,17,35,12,55
NC_007795.1,113,193.4857143,103,206.5,18,9,10.16666667,17,12,23.5,12,33.5
NC_007795.1,54.33333333,108.6666667,38,91.33333333,9,4.5,11.5,12,10,8.5,8.5,11.5
NC_007795.1,124.5,182.8333333,108.5,195.5,10,7.5,13.5,17.125,3,17,7.5,42
NC_007795.1,31,28,26,24,4,3,3,2,11,16,0,6
NC_007795.1,4711.5,4284,3641.5,3502.166667,350,606,205.5,720,407,681,227.5,889
NC_007795.1,34,132,22.5,63,18,0.5,8,4,6,13,7.5,7
NC_007795.1,30,48.5,21,33.5,1,7.5,0,7,3,9,2,16.5
NC_007795.1,25.5,89.5,24.5,49.5,4,1,4,5,2,8,0,8.5
NC_007795.1,54.66666667,211,39,160.8333333,16,3,13,11,4,2,8.5,5.125
NC_007795.1,25,108,28.75,83.5,10.5,5,7,3,3,4,10.75,3
NC_007795.1,59,311.5,26,206,24.5,0,18,10,4,10,9,7
NC_007795.1,10,17,3,13,2,0,0,1,1,2,3,2
NC_007795.1,38,42,26,76,8,7,2,5,14,22,5,17
NC_007795.1,54,129.5,43.5,105.5,10,11.7,5,11.5,7.2,15.5,7,28
NC_007795.1,77,77.5,51.5,80,7,13.25,6,10.5,8,22.5,7,25.5
NC_007795.1,32.5,37,30.5,28.5,2,4,1.5,7,8.5,27.5,5,17.5
NC_007795.1,2.5,6,0.5,11,0,0,0,0,0,0,0,2.5
NC_007795.1,1754,1306,1807,1542,148,259,80,335,202,432,119,435
NC_007795.1,93.5,207.5,60.5,136,15.5,12.5,11.5,10,2.5,9.5,11,26
NC_007795.1,57.5,193.5,37.5,205,22.83333333,8.5,5.5,11,18.5,25.5,9,37
NC_007795.1,1366,1034,1044,830,105,193,68,187,147.3333333,269,80,309
NC_007795.1,107.5,115,77,52,9,18,1,16,22.5,37,8,32
NC_007795.1,0,1,0,0,0,0,0.5,0,0,0,0,0
NC_007795.1,0,3.5,1.5,6,1,0,0,0,0,0.5,0,2
NC_007795.1,27,50.5,40.5,73,4,1,5,2,3,10.5,0,9
NC_007795.1,24.5,116.5,12.5,88.5,5,3,5.5,1,0,3,5.5,3
NC_007795.1,133,220.5,133,188,23,8.25,9,15,19,15,12,26
NC_007795.1,1,23,1,17,1,2,0,1,0,0,0,0
NC_007795.1,3162,1369,2530,1977.5,216,400,66,546,145,396,147,871
NC_007795.1,48,143.5,54,138,10,5,3,8,5,10.5,6,23
NC_007795.1,23.25,33.5,16,26.25,2,3,0,8,10,8.5,1,9
NC_007795.1,162.3333333,140,183,122,4,28,8,38,23,50.16666667,16,98
NC_007795.1,167,176,100.5,200,20,13,8.333333333,18,23,36,11,37
NC_007795.1,43,26,48,9,0,4,0,5,0,4,4,14
NC_007795.1,9.333333333,39,22,59,4,0,2,0.333333333,1,1.333333333,3.5,1
NC_007795.1,1,13.5,0,4.5,1,0,1,0,0,0,0.5,0
NC_007795.1,21,56.5,6.5,57,11,2.5,6,1,4.5,2,2.333333333,5.5
NC_007795.1,5,46.5,9,55,6,0,3,1,1,0,0.333333333,0
NC_007795.1,68.17857143,39,162.9285714,46.41071429,0,0,3,0.071428571,0,3,1,0.142857143
NC_007795.1,24,70,14,18,1,2,1,4,9,5,2,7
NC_007795.1,26.5,227.5,28.16666667,154.5,20.5,5.5,13,6.5,2,2,8,14.5
NC_007795.1,1.653846154,11.5,0.692307692,6.076923077,0,0,0,0.5,0,0,2,2
NC_007795.1,156.5,128.1666667,135,177.5,21.5,46,10,55,13,53,14.5,46
NC_007795.1,1.5,21.5,3,16,0.5,0,1,1,0,0,1.5,1
NC_007795.1,0,2.5,1,6,0,0,2,1,0,0,0,0
NC_007795.1,34.16666667,129,26,106,12.5,4,9,4,2,3,10,6
NC_007795.1,56.83333333,287,19.5,260,20.5,4,20,6,7,1,4.5,9
NC_007795.1,5.5,22,5.5,27,2,2,0,1,4,2,0,3.5
NC_007795.1,12.5,35.5,6,59,5,1.5,1,2,1,3,1,3
NC_007795.1,50,109.1666667,37.5,71.66666667,6.5,2,3,3.5,0,6,1.5,3.5
NC_007795.1,160.5,859.5,51.83333333,664.375,77,17.5,40,16.5,17.16666667,15.58333333,35,15.5
NC_007795.1,4.5,7,0,13.5,1,0,1,3,0,0,0.5,0
NC_007795.1,2.5,11.5,2,0,0,0,0,0,0,1,1,0
NC_007795.1,117,89,94,92,5,3,0,9.5,5,7,7,27
NC_007795.1,6,34.5,5,38.5,2,0,1,1.5,0,1,1,0
NC_007795.1,1,4.833333333,0,5.5,0,0,0,0,0,0,0,0
NC_007795.1,5,23.5,3,3.5,6.5,1,0,1,2,0,2,0
NC_007795.1,0,4.5,4,4,4.5,0,1,0,0,0,0,0
NC_007795.1,2,5,1,4,1,0,1,1,2,1,2,0
NC_007795.1,9,40,0,28,2,0,4,0,2,1,1,0
NC_007795.1,8,17,4,25,3,0,1,0,0,0,1,1
NC_007795.1,5.5,39.5,2.75,15,3.5,0,0,0,3.5,2.333333333,2,1.333333333
NC_007795.1,22.5,77,6,55.5,12.5,1,3.5,0,4.5,2,2,0
NC_007795.1,0.5,4.5,1,1.5,0,0,0.5,0,0,0,0,0
NC_007795.1,4,35,0,4,1,0,0,1,0,0,0,0
NC_007795.1,9,22,5.5,14.5,1.333333333,1,1,2,4,0,1,0
NC_007795.1,8,54,6.5,28.5,7.5,3,1,4,2,0,0.5,1
NC_007795.1,2,18,0,14.33333333,3.5,0,1.333333333,0,0,0,2.5,0
NC_007795.1,0,6,0,2,2,0,0,1,0,0,0,0
NC_007795.1,11.5,77,10.5,34.5,13.5,0.5,0,0,3,1.5,5,0
NC_007795.1,1,15,4.5,4,0.5,0.5,0,0,0,0.5,0,0
NC_007795.1,31.76666667,198.0714286,20.55952381,139.302381,12.26666667,2.333333333,6.366666667,1.625,5,3.5,5.683333333,7.642857143
NC_007795.1,2.5,14,4,20.5,1.5,0,0.5,0,0,0,2,1
NC_007795.1,13.25,53.75,7.25,34.25,2.25,0.75,3,1.25,0,2.5,0.5,0.25
NC_007795.1,5,10.5,3.5,12.5,0.25,1.25,1,2,0.25,2,1,1.25
NC_007795.1,3.25,24.33333333,2.25,15.75,1.5,1,1,0.75,4.25,0.5,1.5,1
NC_007795.1,10.5,67.25,5.5,66.4,12.25,0.5,4,1,6.5,1,4,4
NC_007795.1,8.5,31.5,3,29.83333333,7,3,1.833333333,1,1.5,4.5,0,3.5
