Synonym,USA300(EX)BHI,USA300(ST)BHI,T032(EX)BHI,T032(ST)BHI,USA300(EX)SNM,T032(EX)SNM,in vivo
SA2981_1094,166,208,103,159,222,626,2
SA2981_1095,302,303,233,264,328,1044,0
SA2981_1096,21,24,31,26,41,148,0
SA2981_1097,18,20,27,19,44,93,0
SA2981_1098,34,37,59,34,77,189,0
SA2981_1099,100,77,104,58,153,383,0
SA2981_1100,203,150,129,107,128,602,0
SA2981_1101,157,163,152,290,263,557,3
SA2981_1102,135,188,116,201,429,725,1
SA2981_1103,279,529,298,924,205,684,0
SA2981_0012,175,149,123,163,1003,662,0
SA2981_0114,88,126,78,142,391,782,0
SA2981_1104,258,773,339,826,209,628,0
SA2981_1105,98,286,137,234,80,270,0
SA2981_1106,93,253,75,298,321,453,1
SA2981_1107,61,72,102,226,196,544,0
SA2981_1108,23,32,113,212,118,633,0
SA2981_1110,101,19,198,7,143,221,0
SA2981_1113,45,86,43,47,87,99,0
SA2981_0115,65,30,22,26,280,361,0
SA2981_1114,53,30,30,5,316,76,0
SA2981_1122,2,4,3,8,15,39,0
SA2981_1123,0,1,11,21,16,97,0
SA2981_0116,270,156,237,33,5262,3687,0
SA2981_1124,1,6,9,5,10,57,0
SA2981_1125,66,33,19,16,17,28,2
SA2981_1126,13,20,8,8,7,39,0
SA2981_1127,17,27,8,14,54,117,0
SA2981_1129,46,162,48,119,80,94,0
SA2981_1133,161,187,167,489,814,2045,0
SA2981_0117,7,3,19,26,1577,1765,0
SA2981_1134,131,234,158,403,620,1426,0
SA2981_1136,377,969,348,836,1016,788,0
SA2981_1137,717,1829,669,1853,1536,1853,0
SA2981_1138,94,165,114,131,183,343,2
SA2981_1139,238,306,253,217,220,934,2
SA2981_1140,90,118,59,95,83,299,0
SA2981_1141,134,194,190,261,207,893,0
SA2981_1142,120,180,158,203,289,694,0
SA2981_0118,7,13,9,25,1306,1591,0
SA2981_1146,245,497,382,481,1158,2035,0
SA2981_1147,435,582,344,355,1403,1539,1
SA2981_1148,96,76,78,111,345,489,0
SA2981_1150,143,282,194,217,624,709,0
SA2981_1151,376,555,406,384,479,1548,1
SA2981_1152,17,42,58,73,83,174,0
SA2981_0119,2,12,12,21,925,979,0
SA2981_1154,31,44,55,13,112,201,0
SA2981_1155,337,211,223,94,322,788,0
SA2981_1156,442,125,334,68,361,899,0
SA2981_1157,195,103,83,67,116,399,0
SA2981_1158,37,33,34,8,39,250,0
SA2981_1159,61,44,32,10,58,205,1
SA2981_1160,202,238,67,58,107,331,0
SA2981_1161,854,700,305,319,316,677,3
SA2981_1162,25,84,21,4,38,97,0
SA2981_1163,44,154,47,11,46,143,1
SA2981_0120,6,16,15,16,595,1161,0
SA2981_1164,2,4,0,0,0,3,0
SA2981_1165,50,62,48,144,197,352,0
SA2981_1166,142,223,151,128,544,658,0
SA2981_1167,500,870,561,1014,1705,2157,4
SA2981_1169,96,92,59,113,76,221,0
SA2981_1170,174,201,123,204,134,537,0
SA2981_1173,33,34,36,19,55,94,0
SA2981_0121,7,10,9,25,454,760,0
SA2981_1174,95,109,109,31,286,500,0
SA2981_1175,152,119,120,61,323,629,0
SA2981_1176,21,5,4,9,5,1,0
SA2981_1177,134,97,139,55,246,984,0
SA2981_1179,125,231,91,145,393,706,0
SA2981_1180,65,74,36,59,140,315,0
SA2981_1181,85,83,83,89,173,510,0
SA2981_1183,122,97,134,95,312,620,0
SA2981_0122,9,8,13,23,299,618,0
SA2981_1184,515,340,607,301,1012,2886,0
SA2981_1185,107,195,96,350,281,474,0
SA2981_1186,190,209,156,60,224,507,0
SA2981_1187,276,215,204,93,318,601,1
SA2981_1188,230,195,176,82,243,453,0
SA2981_1189,403,437,283,150,343,578,0
SA2981_1190,107,86,99,90,86,143,0
SA2981_1191,163,158,171,216,251,893,0
SA2981_1192,392,307,320,387,343,1080,0
SA2981_1193,199,185,120,164,117,518,1
SA2981_0123,4,2,2,11,118,235,0
SA2981_1201,17,14,7,2,8,10,0
SA2981_1202,31,23,29,17,79,75,0
SA2981_1203,568,692,286,439,920,2116,3
SA2981_0013,238,483,235,460,1004,1072,0
SA2981_0124,7,11,12,20,361,1251,0
SA2981_1204,641,623,358,504,403,1667,0
SA2981_1208,841,776,663,567,1136,2079,3
SA2981_1209,375,253,310,180,318,842,2
SA2981_1210,115,351,84,210,332,464,0
SA2981_1211,191,203,124,193,166,485,0
SA2981_1212,497,684,267,524,786,2101,0
SA2981_1213,186,295,171,245,334,946,1
SA2981_0125,14,13,39,51,535,1620,0
SA2981_1214,128,35,48,44,18,21,10
SA2981_1215,2992,2510,2463,1499,2906,7123,5
SA2981_1216,496,399,352,383,408,1005,0
SA2981_1218,127,141,116,75,226,488,1
SA2981_1219,316,157,314,126,319,1009,2
SA2981_1220,149,228,156,169,409,1162,2
SA2981_1221,486,323,382,232,631,1308,0
SA2981_1222,470,301,409,369,593,1656,2
SA2981_1223,99,77,100,58,208,285,0
SA2981_1224,319,255,277,235,465,878,3
SA2981_1226,0,0,0,0,0,0,0
SA2981_1227,990,801,699,498,702,1950,2
SA2981_1228,124,42,140,60,178,363,0
SA2981_1229,38,51,51,75,142,329,0
SA2981_1230,70,133,123,137,266,552,1
SA2981_1231,63,40,25,9,7,30,0
SA2981_1232,1247,1107,784,1054,1215,2873,0
SA2981_1233,552,1126,709,792,1444,2550,1
SA2981_0127,11,103,36,479,303,710,0
SA2981_1234,458,336,310,285,499,1076,0
SA2981_1236,47,43,76,76,78,333,0
SA2981_1237,57,54,84,58,107,473,0
SA2981_1239,102,149,91,115,332,539,1
SA2981_1240,63,155,60,78,299,488,0
SA2981_1241,62,66,97,82,159,417,0
SA2981_1242,57,109,57,83,271,448,0
SA2981_1243,990,794,628,1020,979,2281,0
SA2981_1244,1351,1658,966,1407,2248,2589,6
SA2981_1245,5,12,0,10,28,13,0
SA2981_1246,197,310,126,140,535,590,0
SA2981_1247,142,105,119,136,624,1274,0
SA2981_1248,188,121,209,212,757,2014,0
SA2981_1249,2,8,6,17,19,41,0
SA2981_1250,180,262,146,287,877,1125,2
SA2981_1251,26,27,32,40,114,209,0
SA2981_1252,76,69,74,74,220,430,0
SA2981_1255,18,36,56,24,75,258,0
SA2981_1256,34,54,49,12,263,635,1
SA2981_1257,509,289,176,181,234,645,1
SA2981_1258,418,67,207,84,4148,2231,0
SA2981_1259,37,30,21,44,81,119,0
SA2981_1260,75,106,91,129,310,322,0
SA2981_1261,9,12,11,24,53,50,0
SA2981_1262,97,208,75,133,155,191,0
SA2981_1263,132,123,92,57,149,341,0
SA2981_0130,21,18,2,11,7,19,0
SA2981_1264,121,69,101,46,102,250,0
SA2981_1265,151,694,168,144,598,582,0
SA2981_1266,1293,2653,953,461,2517,2412,5
SA2981_1271,4,73,5,76,374,90,0
SA2981_1273,32,124,50,303,178,559,0
SA2981_0131,6,5,3,7,17,14,0
SA2981_1279,45,10,74,8,34,127,0
SA2981_1280,150,480,181,674,609,752,0
SA2981_1281,42,63,44,52,73,254,0
SA2981_1282,26,42,8,20,467,930,0
SA2981_1283,30,71,5,24,776,554,0
SA2981_0132,10,23,5,9,20,21,0
SA2981_1284,13,57,12,32,620,572,0
SA2981_1285,22,29,8,16,314,294,0
SA2981_1286,75,146,108,177,527,746,0
SA2981_1289,166,387,95,614,113,281,3
SA2981_1290,2,1,0,5,7,1,0
SA2981_0133,51,50,53,42,95,180,0
SA2981_1297,966,1999,750,2046,1525,3569,2
SA2981_1298,107,32,161,21,41,101,0
SA2981_1301,63,60,83,42,122,323,0
SA2981_0014,470,569,513,793,1711,2560,0
SA2981_0134,190,236,91,261,85,55,0
SA2981_1304,980,937,814,1225,1223,2593,2
SA2981_1305,91,199,78,195,402,544,0
SA2981_1306,105,191,83,163,469,441,0
SA2981_1307,351,334,238,281,374,697,1
SA2981_1308,635,515,379,327,535,1165,1
SA2981_1309,500,526,500,387,381,1634,1
SA2981_1310,398,271,465,158,773,1735,2
SA2981_1311,125,436,138,517,443,650,0
SA2981_1313,578,918,547,1134,2424,3461,0
SA2981_1314,571,715,586,1455,3138,5847,0
SA2981_1315,40,87,30,144,182,190,0
SA2981_1316,157,152,247,166,434,625,0
SA2981_1318,46,16,20,6,44,63,0
SA2981_1319,75,105,32,74,470,513,0
SA2981_1320,134,304,122,286,719,663,0
SA2981_1321,28,17,25,26,28,86,0
SA2981_1322,3,8,2,7,19,33,0
SA2981_0136,25,101,22,109,122,204,0
SA2981_1324,1,0,2,4,16,25,0
SA2981_1325,0,2,0,1,1,23,0
SA2981_1326,147,125,64,77,64,119,0
SA2981_1327,8,12,12,14,23,42,0
SA2981_1328,288,625,336,522,1033,2360,1
SA2981_1329,253,218,245,229,565,1546,0
SA2981_1333,10,29,25,11,58,85,0
SA2981_0137,106,66,25,24,47,38,0
SA2981_1334,5,27,5,8,49,55,0
SA2981_1335,10,22,8,2,92,104,0
SA2981_1336,36,60,34,11,274,171,0
SA2981_1337,16,19,29,28,58,86,0
SA2981_1338,119,219,113,333,356,840,0
SA2981_1339,3,6,9,8,17,44,0
SA2981_1340,253,201,55,114,73,138,0
SA2981_1341,41,25,17,17,20,18,0
