Synonym,USA300(EX)BHI,USA300(ST)BHI,T032(EX)BHI,T032(ST)BHI,USA300(EX)SNM,T032(EX)SNM,in vivo
SA2981_1656,940,1582,974,2428,925,3063,2
SA2981_1657,358,909,401,1547,547,1414,0
SA2981_1658,433,325,257,187,348,868,1
SA2981_1659,443,312,207,154,539,772,2
SA2981_1660,495,511,284,239,501,839,0
SA2981_1661,250,316,180,276,367,913,1
SA2981_1662,28,58,58,70,125,355,0
SA2981_0170,2,3,1,0,5,5,0
SA2981_1664,126,303,168,414,318,843,0
SA2981_1666,73,153,53,296,272,458,0
SA2981_1667,143,442,70,84,230,351,0
SA2981_1668,113,1635,69,1025,999,1266,1
SA2981_1669,521,850,416,851,357,1152,0
SA2981_1670,77,50,59,48,70,226,0
SA2981_1671,225,307,349,431,427,920,0
SA2981_1672,61,27,43,6,40,149,0
SA2981_1673,83,25,93,25,64,155,0
SA2981_1674,71,43,101,39,84,187,0
SA2981_1676,559,1324,782,2048,1846,3883,1
SA2981_1677,112,116,50,102,53,110,0
SA2981_1678,14,3,2,13,1,11,0
SA2981_1679,21,30,10,29,48,174,0
SA2981_1680,15,38,20,74,55,116,0
SA2981_1681,9,58,7,80,2122,493,0
SA2981_1682,42,108,20,123,1225,711,1
SA2981_1683,44,111,32,172,1086,958,0
SA2981_0172,94,257,186,348,1001,506,0
SA2981_1684,122,162,96,136,305,451,0
SA2981_1686,157,250,127,389,336,764,0
SA2981_1687,277,284,252,161,187,1969,0
SA2981_1690,747,957,239,1126,716,2263,0
SA2981_1691,54,39,11,44,39,105,0
SA2981_1692,1,15,1,10,39,45,0
SA2981_1693,17,30,6,6,84,68,0
SA2981_1694,382,428,578,439,1923,2593,1
SA2981_1695,273,433,231,566,3222,2413,1
SA2981_1696,48,227,74,342,261,550,0
SA2981_1697,519,1509,655,2201,1607,3934,4
SA2981_1698,205,285,293,179,362,1337,2
SA2981_1699,460,388,363,312,393,1121,0
SA2981_1700,72,83,82,60,125,267,0
SA2981_1701,96,138,94,76,158,285,0
SA2981_1702,5,59,5,47,48,95,0
SA2981_1703,45,136,44,170,151,319,1
SA2981_0018,379,517,167,424,505,697,0
SA2981_1704,17,25,12,21,40,44,0
SA2981_1705,28,80,32,50,125,245,0
SA2981_1706,318,267,340,311,603,1169,0
SA2981_1707,677,953,593,640,813,1306,2
SA2981_1708,131,403,128,622,669,1382,1
SA2981_1709,259,755,250,1325,1013,1869,2
SA2981_1710,53,455,91,331,423,1096,0
SA2981_1711,66,70,99,87,139,508,0
SA2981_1712,497,629,395,386,1298,2207,0
SA2981_1713,28,56,44,48,54,191,0
SA2981_0175,39,172,7,27,1142,41,0
SA2981_1715,16,25,33,28,20,82,0
SA2981_1716,1245,924,404,802,487,1207,3
SA2981_1717,317,302,462,242,638,1517,0
SA2981_1718,164,129,159,153,254,490,2
SA2981_1719,63,37,64,55,111,252,0
SA2981_1720,111,96,101,158,194,318,0
SA2981_1721,135,278,119,252,431,561,0
SA2981_1722,27,90,39,8,106,121,0
SA2981_1723,81,102,113,122,183,431,0
SA2981_1724,184,174,113,112,317,585,0
SA2981_1725,16,20,27,43,159,288,0
SA2981_1726,67,241,176,255,625,684,0
SA2981_1727,15,65,40,71,92,281,0
SA2981_1734,53,59,133,149,259,401,0
SA2981_1735,0,0,0,0,0,0,0
SA2981_1736,273,546,417,1689,774,1394,1
SA2981_1739,11,0,12,21,11,86,0
SA2981_1743,28,80,19,131,143,250,0
SA2981_1744,257,337,381,665,1235,1463,0
SA2981_1745,1041,1026,596,433,3377,2891,0
SA2981_1746,150,143,100,105,69,213,0
SA2981_1748,18,27,24,16,22,81,0
SA2981_1749,19,17,8,13,18,120,0
SA2981_1751,27,43,24,50,61,134,0
SA2981_1752,37,78,37,85,102,316,0
SA2981_1754,14,13,4,17,18,39,0
SA2981_1755,59,218,59,131,170,396,0
SA2981_0180,127,413,110,695,4878,3792,0
SA2981_0181,23,51,41,130,569,672,0
SA2981_0182,13,575,36,745,107,107,0
SA2981_1787,85,67,69,74,128,241,0
SA2981_1788,81,152,105,126,157,552,0
SA2981_1789,37,57,51,49,45,236,0
SA2981_1790,104,219,90,95,174,436,0
SA2981_1791,203,423,87,341,499,505,0
SA2981_1792,194,300,190,298,962,1550,0
SA2981_1793,45,143,36,110,222,290,2
SA2981_0183,3,6,2,7,9,21,0
SA2981_1794,117,308,128,554,523,740,0
SA2981_1795,84,529,132,550,517,728,0
SA2981_1796,149,170,137,137,412,462,0
SA2981_1797,131,615,128,842,744,1108,0
SA2981_1798,146,290,217,385,276,1086,0
SA2981_1799,306,617,342,1021,931,2590,2
SA2981_1800,254,644,264,1195,1166,2055,0
SA2981_1801,156,159,294,205,231,637,1
SA2981_1802,92,184,162,110,434,603,0
SA2981_1803,442,123,491,42,312,800,1
SA2981_0019,164,320,146,420,522,823,0
SA2981_0184,7,10,4,8,7,20,0
SA2981_1804,56,56,77,77,127,255,0
SA2981_1805,101,107,76,124,252,346,0
SA2981_1806,128,166,128,152,333,624,0
SA2981_1807,273,458,175,302,406,1027,0
SA2981_1808,47,14,83,105,40,394,0
SA2981_1810,207,945,304,1394,960,1880,0
SA2981_1811,56,52,32,32,81,233,0
SA2981_1812,115,232,96,92,300,395,0
SA2981_1813,325,260,127,151,117,273,0
SA2981_1814,113,127,25,82,153,274,0
SA2981_1815,243,179,136,148,854,660,0
SA2981_1817,200,195,240,274,227,374,1
SA2981_1818,67,180,81,294,500,790,0
SA2981_1819,35,69,28,122,154,211,0
SA2981_1820,82,123,82,177,130,540,3
SA2981_1821,97,176,84,150,246,428,0
SA2981_1822,449,312,238,191,276,672,0
SA2981_1823,207,249,162,98,240,498,1
SA2981_0186,2,12,2,8,29,39,0
SA2981_1824,31,22,22,27,105,165,0
SA2981_1825,81,298,86,412,278,654,0
SA2981_1826,70,91,52,112,169,438,0
SA2981_1827,90,193,115,215,354,864,0
SA2981_1829,14,81,27,107,111,214,0
SA2981_1830,92,167,124,202,729,932,0
SA2981_1831,142,446,172,605,656,1416,3
SA2981_1832,18,21,20,13,9,40,0
SA2981_1833,135,205,125,170,159,335,0
SA2981_0187,70,172,77,115,351,777,0
SA2981_1834,118,150,95,230,237,491,0
SA2981_1835,259,324,108,454,517,937,0
SA2981_1836,7,28,4,30,21,41,0
SA2981_1837,82,393,87,451,503,500,0
SA2981_1838,217,431,312,579,705,1610,0
SA2981_1839,134,739,188,945,674,1618,0
SA2981_1840,45,55,38,46,99,310,1
SA2981_1841,41,90,56,81,193,371,0
SA2981_1842,49,82,43,116,250,425,0
SA2981_1843,15,23,6,54,69,159,0
SA2981_0188,24,49,12,77,70,447,0
SA2981_1844,286,509,227,488,390,669,0
SA2981_1847,256,159,261,99,350,993,0
SA2981_1848,131,180,96,106,204,476,0
SA2981_1849,296,706,344,3444,58,66,0
SA2981_1850,71,83,76,111,274,377,0
SA2981_1851,89,98,65,46,96,212,0
SA2981_1852,117,64,79,73,1754,1734,0
SA2981_1853,58,28,43,31,54,127,0
SA2981_0189,53,39,14,73,242,838,0
SA2981_1854,136,210,130,252,475,680,1
SA2981_1856,466,367,818,477,377,2069,4
SA2981_1857,513,434,464,392,714,1321,1
SA2981_1858,50,65,44,21,125,135,1
SA2981_1859,149,205,100,128,371,794,0
SA2981_1860,178,191,194,176,300,954,0
SA2981_1861,163,146,164,171,190,639,1
SA2981_1862,477,308,220,284,483,1080,0
SA2981_1863,64,190,69,96,313,507,0
SA2981_1864,126,112,134,129,186,897,0
SA2981_1865,202,407,228,242,451,2005,0
SA2981_1868,192,228,130,103,320,307,2
SA2981_1869,27,70,38,106,122,282,0
SA2981_1870,225,302,155,480,241,1441,1
SA2981_1871,23,112,19,93,94,158,0
SA2981_1872,59,122,34,161,101,258,0
SA2981_1873,55,96,32,113,155,301,0
SA2981_0191,2,32,3,6,33,45,0
SA2981_1874,34,185,25,200,303,500,0
SA2981_1875,158,324,140,442,507,528,0
SA2981_1876,580,1001,606,1449,1559,2211,0
SA2981_1878,110,195,69,354,418,493,0
SA2981_1879,162,344,215,386,399,1163,0
SA2981_1880,70,31,0,61,27,8,0
SA2981_1882,15,25,8,54,62,73,0
SA2981_1883,42,75,47,99,143,274,0
SA2981_0192,111,95,28,36,41,44,0
SA2981_1884,137,177,205,264,422,839,0
SA2981_1885,82,141,72,186,399,544,0
SA2981_1886,141,291,85,246,895,812,0
SA2981_1888,82,88,90,219,270,386,0
SA2981_1889,55,64,86,208,305,437,1
SA2981_1890,38,34,27,50,148,218,0
SA2981_1891,64,59,61,80,386,355,0
SA2981_1892,31,37,27,71,204,145,1
SA2981_0193,13,43,1,19,33,74,0
SA2981_1894,244,454,248,607,488,1362,0
SA2981_0020,90,210,121,207,287,651,0
SA2981_0194,12,61,13,16,65,94,0
SA2981_0196,157,311,174,270,188,484,0
SA2981_1966,10,147,41,445,213,320,0
SA2981_1969,68,111,60,160,244,306,0
SA2981_1970,1190,1059,545,992,768,1685,5
SA2981_1971,14,46,14,44,53,69,1
SA2981_1972,162,265,200,492,408,877,0
SA2981_1973,21,25,20,15,183,194,0
SA2981_1974,25,61,11,27,187,61,0
SA2981_1975,59,115,73,160,499,544,0
SA2981_1977,39,199,33,95,454,345,0
SA2981_1980,497,1906,1109,3991,3718,7134,0
SA2981_1981,71,90,86,98,201,384,0
SA2981_1982,84,103,60,131,181,396,0
SA2981_1983,24,79,18,36,96,178,0
SA2981_1984,21,42,9,21,148,219,0
SA2981_1985,23,26,16,37,188,94,1
SA2981_1986,94,89,68,74,726,348,0
SA2981_1989,32,61,97,145,112,667,0
SA2981_1990,212,107,126,89,95,367,0
SA2981_1991,0,0,0,0,0,0,0
SA2981_1992,44,35,45,42,108,193,0
SA2981_1993,22,26,36,23,90,137,0
SA2981_1994,315,181,87,145,722,1517,0
SA2981_1995,179,191,53,131,549,1348,1
SA2981_1997,91,61,30,33,256,545,0
SA2981_1998,124,73,21,31,567,1218,0
SA2981_1999,133,88,53,69,234,530,0
SA2981_2000,215,154,67,91,471,875,0
SA2981_2001,43,36,16,24,256,343,0
SA2981_2002,41,67,18,24,1378,1700,0
SA2981_2003,30,41,53,38,49,217,0
SA2981_0021,133,172,151,147,204,698,0
SA2981_2004,391,292,166,272,256,720,0
SA2981_2005,189,318,335,411,728,2372,0
SA2981_2006,151,698,150,372,780,1492,0
SA2981_2007,190,1161,205,594,1073,2332,1
SA2981_2008,132,143,98,100,207,420,0
SA2981_2009,208,302,126,307,244,321,0
SA2981_2011,92,182,60,148,111,360,0
SA2981_2012,17,26,14,18,33,55,0
SA2981_2013,18,26,12,28,30,91,0
SA2981_2014,78,136,56,198,256,469,0
SA2981_2015,44,135,58,132,191,376,0
SA2981_2016,12,45,6,7,32,28,0
SA2981_2020,8,19,6,72,13,67,0
SA2981_2022,1348,847,1186,186,1061,1998,1
SA2981_2023,306,395,285,581,621,1530,0
SA2981_2024,169,276,109,333,400,584,0
SA2981_2025,211,313,189,338,381,1172,1
SA2981_2026,3,7,8,11,3,24,0
SA2981_2027,36,16,26,8,28,82,0
SA2981_2029,89,155,66,155,259,418,0
SA2981_2030,27,45,43,80,113,259,0
SA2981_2031,1340,812,1329,282,2270,3554,1
SA2981_0207,12,29,1,10,656,127,0
SA2981_2038,57,99,68,108,54,225,0
SA2981_2039,186,108,108,152,142,252,0
SA2981_2040,699,1123,428,891,1005,1712,1
SA2981_2041,13,84,14,80,47,87,0
SA2981_2042,252,283,227,130,248,641,0
SA2981_2043,1404,1477,905,870,1047,2467,4
SA2981_0208,15,17,2,6,628,120,0
SA2981_2044,255,375,175,161,371,816,1
SA2981_2045,1615,1646,743,814,1422,2916,6
SA2981_2046,170,274,149,142,386,658,0
SA2981_2047,401,640,230,249,740,1358,0
SA2981_2048,42,45,30,49,86,144,1
SA2981_2049,399,695,330,291,1062,1617,0
SA2981_2051,275,704,179,798,818,1270,0
SA2981_2052,270,442,138,476,412,770,1
SA2981_2053,773,1196,316,1145,1181,1601,0
SA2981_0209,8,28,3,17,758,133,0
SA2981_2054,750,3371,714,2450,4253,5769,0
SA2981_2057,163,79,226,38,230,648,0
SA2981_2058,695,458,456,236,374,827,0
SA2981_2059,223,185,123,87,174,284,0
SA2981_2060,0,0,0,0,0,0,0
SA2981_2061,1047,1122,675,495,1182,2027,1
SA2981_2062,143,852,108,874,582,1406,6
SA2981_2063,154,93,212,224,383,935,0
SA2981_0210,22,45,19,21,987,228,0
SA2981_2064,523,379,280,416,751,1087,1
SA2981_2065,1652,2711,1554,2922,1650,4604,1
SA2981_2066,46,31,61,62,54,169,0
SA2981_2067,1988,1259,1147,410,727,2207,0
SA2981_2068,311,241,279,123,492,850,1
SA2981_2069,49,99,53,33,96,236,0
SA2981_2070,119,91,139,64,91,258,0
SA2981_2072,119,148,95,211,361,681,0
SA2981_2073,71,133,35,132,335,451,0
SA2981_2074,224,262,242,449,542,1070,0
SA2981_2076,445,480,145,261,193,424,0
SA2981_2077,112,186,65,142,134,236,0
SA2981_2078,444,590,252,628,779,1192,0
SA2981_2079,91,160,41,177,54,76,3
SA2981_2080,8,42,8,50,32,59,0
SA2981_2081,196,220,213,479,505,1066,0
SA2981_0212,56,37,16,16,196,71,0
SA2981_2084,54,454,76,702,461,1142,2
SA2981_2085,34,39,12,105,75,37,0
SA2981_2086,161,147,79,405,405,328,0
SA2981_2091,61,118,55,104,203,277,0
SA2981_2092,21,39,11,17,154,100,0
SA2981_2093,627,2617,740,1788,463,1269,2
SA2981_0213,15,1,4,3,32,16,0
SA2981_2095,62,107,23,31,73,57,0
SA2981_2096,9,156,14,50,120,222,0
SA2981_2097,2,58,10,46,57,147,0
SA2981_2098,43,110,37,94,224,479,0
SA2981_2100,372,473,363,395,456,1294,2
SA2981_2102,154,322,136,334,516,907,2
SA2981_2103,31,128,152,225,290,653,0
SA2981_0022,155,200,141,66,99,224,0
SA2981_0214,1208,737,391,611,354,495,0
SA2981_2104,146,239,96,212,208,338,0
SA2981_2106,57,43,38,37,227,311,0
SA2981_2107,49,29,92,73,265,644,0
SA2981_2108,107,72,68,42,110,189,0
SA2981_2109,445,780,395,496,1309,2042,0
SA2981_2110,18,58,16,41,86,116,0
SA2981_2111,2,4,3,4,13,20,0
SA2981_2112,212,145,246,40,160,585,0
SA2981_2113,45,26,18,7,163,476,0
SA2981_0215,7,15,1,3,13,17,0
SA2981_2114,33,21,25,8,314,767,0
SA2981_2115,145,74,155,30,1168,2727,1
SA2981_2116,20,33,32,45,345,1177,0
SA2981_2117,36,158,31,113,519,988,0
SA2981_2118,23,24,24,12,1555,2375,0
SA2981_2119,91,113,69,188,493,907,0
SA2981_2120,213,1078,339,1613,1723,2657,13
SA2981_2121,15,337,52,449,260,510,0
SA2981_2122,62,1436,137,1498,1044,1705,2
SA2981_2123,86,755,71,465,1946,1349,0
SA2981_0216,46,57,10,11,25,40,0
SA2981_2124,60,75,38,76,100,246,0
SA2981_2125,153,206,160,332,256,1029,1
SA2981_2126,113,215,137,197,193,593,0
SA2981_2127,9,15,9,12,17,43,1
SA2981_2128,8,13,2,10,24,46,1
SA2981_2129,2,0,1,0,2,3,0
SA2981_2130,4,0,0,2,1,13,0
SA2981_2131,0,1,0,0,7,2,0
SA2981_2132,2,1,0,1,2,17,1
SA2981_2133,1,0,0,0,3,2,0
SA2981_0217,44,71,13,9,21,20,0
SA2981_2134,28,54,41,79,176,323,0
SA2981_2135,36,101,24,49,102,183,0
SA2981_2137,39,91,32,171,230,302,0
SA2981_2138,12,45,13,66,93,163,0
SA2981_2143,42,221,68,247,82,366,0
SA2981_0218,16,56,3,4,10,11,0
SA2981_2144,97,830,134,642,207,1138,3
SA2981_2155,54,37,23,34,22,14,1
SA2981_2156,65,51,35,26,21,16,1
SA2981_2157,52,56,53,43,71,193,0
SA2981_2158,72,75,61,71,103,190,0
SA2981_2159,35,32,39,42,103,166,0
SA2981_2160,99,135,63,70,287,241,0
SA2981_2161,44,10,4,8,7,17,0
SA2981_2162,1479,1716,1413,746,1236,2412,10
SA2981_2163,280,180,67,98,66,57,0
SA2981_0220,9,35,10,8,19,26,0
SA2981_2164,137,67,27,46,31,33,1
SA2981_2166,286,361,257,206,282,539,3
SA2981_2167,955,1357,726,524,886,1615,1
SA2981_2168,1717,2364,1444,1106,1717,3702,5
SA2981_2169,173,96,51,54,30,38,1
SA2981_2170,1,5,3,0,0,0,0
SA2981_2171,193,148,66,67,37,50,1
SA2981_2172,31,14,6,12,2,14,3
SA2981_2173,29,13,8,31,8,20,0
SA2981_0221,555,103,945,27,171,652,0
SA2981_2174,61,44,20,19,15,5,0
SA2981_2176,191,192,79,77,66,81,0
SA2981_2177,3,16,3,6,0,0,0
SA2981_2178,307,136,81,107,59,72,0
SA2981_2179,9,12,3,1,11,0,0
SA2981_2180,9,23,5,1,1,9,0
SA2981_2181,221,155,57,86,74,86,0
SA2981_2182,207,85,31,53,45,76,0
SA2981_2183,51,4,1,7,0,2,1
SA2981_0222,3,6,4,1,3,19,0
SA2981_2184,144,115,25,80,39,65,5
SA2981_2185,479,249,101,190,84,137,1
SA2981_2186,0,0,0,0,0,0,0
SA2981_2188,55,33,16,28,18,4,1
SA2981_2191,536,379,357,189,885,3600,1
SA2981_2193,132,315,150,289,380,918,0
SA2981_0223,11,37,24,28,29,59,0
SA2981_2194,630,343,294,218,785,836,0
SA2981_2196,34,51,29,33,166,244,0
SA2981_2197,1,2,2,7,8,19,0
SA2981_2200,207,421,225,369,587,1228,0
SA2981_2202,106,213,73,260,518,712,0
SA2981_2203,2,6,1,0,15,20,0
SA2981_0023,101,198,109,161,103,512,0
SA2981_0224,26,55,17,28,36,117,0
SA2981_2204,38,25,13,7,96,83,0
SA2981_2205,13,10,6,7,1,9,1
SA2981_2206,129,174,134,189,198,472,0
SA2981_2207,36,52,28,66,65,139,0
SA2981_2208,25,10,19,22,29,56,0
SA2981_2209,28,60,48,65,100,164,0
SA2981_2210,14,50,34,62,45,163,0
SA2981_2211,88,191,124,208,126,378,0
SA2981_2212,43,80,72,150,140,306,0
SA2981_2213,25,37,28,28,28,30,0
SA2981_0225,66,157,41,93,63,187,0
SA2981_2214,47,96,34,52,105,156,0
SA2981_2215,44,91,44,92,97,134,0
SA2981_2216,30,107,35,73,63,117,0
SA2981_2217,77,326,101,249,180,331,0
SA2981_2218,78,120,49,71,119,181,0
SA2981_2219,59,18,39,23,79,135,0
SA2981_2220,56,31,54,8,161,224,0
SA2981_2221,7,18,18,17,35,146,0
SA2981_2222,526,134,645,49,1902,3627,0
SA2981_2223,42,147,61,132,310,245,0
SA2981_0226,1187,4255,291,1343,388,742,0
SA2981_2225,11,18,13,58,125,116,0
SA2981_2226,19,16,4,6,17,11,0
SA2981_2227,12,45,1,7,16,3,0
SA2981_2228,177,144,52,124,137,155,2
SA2981_2229,4,9,1,4,28,11,0
SA2981_2230,7,10,9,5,24,32,0
SA2981_2231,76,49,29,59,90,105,1
SA2981_2232,39,88,31,20,143,124,1
SA2981_2233,428,786,534,3662,2341,3474,1
SA2981_0227,30,1413,16,282,52,124,0
SA2981_2234,55,37,57,77,77,196,0
SA2981_2235,24,13,19,16,45,86,0
SA2981_2236,72,70,157,110,166,746,0
SA2981_2239,261,145,288,163,418,864,0
SA2981_2240,382,817,435,469,837,1649,0
SA2981_2241,33,52,36,77,72,186,0
SA2981_2242,134,51,133,96,1346,2098,0
SA2981_2243,53,133,82,157,109,458,0
SA2981_0228,66,82,86,105,157,305,0
SA2981_2244,135,145,164,158,271,626,0
SA2981_2245,426,212,320,207,336,525,0
SA2981_2247,102,147,91,127,100,109,0
SA2981_2248,602,2498,235,911,1071,888,0
SA2981_2249,116,262,168,240,606,1075,0
SA2981_2250,23,72,22,70,113,149,0
SA2981_2251,33,65,18,96,290,404,0
SA2981_2252,131,112,41,37,120,127,0
SA2981_0229,19,6,64,6,119,188,0
SA2981_2254,288,696,300,503,826,993,0
SA2981_2255,537,702,755,632,1810,3225,0
SA2981_2256,10,8,9,18,13,27,0
SA2981_2261,79,87,100,89,99,445,0
SA2981_2263,64,67,34,69,116,223,0
SA2981_2264,182,260,199,214,310,680,0
SA2981_2265,112,107,139,125,533,840,2
SA2981_2266,4,16,5,16,33,55,0
SA2981_2267,46,278,27,621,522,776,0
SA2981_2269,12,16,10,16,27,51,0
SA2981_2270,142,86,28,73,41,44,0
SA2981_2271,7,9,11,18,16,68,0
SA2981_2273,58,576,60,498,639,961,0
SA2981_0231,12,13,4,16,12,27,0
SA2981_2274,197,144,188,100,697,1079,1
SA2981_2275,86,132,69,117,128,182,0
SA2981_2276,56,127,57,136,175,255,0
SA2981_2277,192,234,172,239,186,490,0
SA2981_2279,113,74,149,143,130,359,0
SA2981_2280,26,47,39,53,55,107,0
SA2981_2281,61,63,43,37,167,291,0
SA2981_2283,20,25,21,38,93,59,0
SA2981_0232,4,3,4,4,9,23,0
SA2981_2284,218,46,170,22,49,266,0
SA2981_2285,66,68,120,70,154,292,0
SA2981_2286,86,155,118,177,222,515,0
SA2981_2287,25,99,22,97,197,248,0
SA2981_2288,84,207,62,179,330,373,0
SA2981_2289,69,106,86,218,141,483,0
SA2981_2290,85,108,112,183,258,740,0
SA2981_2291,427,397,746,370,92,236,2
SA2981_2292,98,191,205,76,14,52,0
SA2981_2293,33,45,37,79,101,174,0
SA2981_2294,45,38,64,29,116,302,0
SA2981_2295,143,94,148,44,285,624,0
SA2981_2296,209,181,321,146,709,705,0
SA2981_2297,102,181,105,99,393,359,0
SA2981_2298,35,56,12,29,24,23,0
SA2981_2299,17,73,8,33,3,36,0
SA2981_2300,19,42,32,54,58,137,0
SA2981_2301,45,62,58,64,81,300,0
SA2981_2302,13,10,5,8,49,38,0
SA2981_2303,7,20,3,10,34,21,0
SA2981_0234,7,5,8,4,10,31,0
SA2981_2304,72,190,191,388,134,1178,0
SA2981_2306,106,193,82,170,308,485,0
SA2981_2307,36,139,20,167,166,213,0
SA2981_2308,32,89,4,44,136,141,0
SA2981_2309,151,224,167,366,152,403,0
SA2981_2310,37,12,23,10,70,342,0
SA2981_2311,67,119,58,39,575,1531,0
SA2981_2312,168,308,171,274,181,472,0
SA2981_2313,50,40,27,23,112,126,0
SA2981_0235,15,7,2,10,50,85,0
SA2981_2314,52,97,50,67,186,214,0
SA2981_2315,546,492,385,377,1080,1907,2
SA2981_2316,88,65,50,22,114,214,0
SA2981_2317,9,16,17,20,27,65,0
SA2981_2320,94,181,79,111,134,109,0
SA2981_2321,618,690,554,344,1350,1773,1
SA2981_2322,42,147,49,147,153,250,0
SA2981_2323,549,1106,477,808,1900,1865,0
SA2981_0236,143,126,62,99,70,209,0
SA2981_2325,29,1255,16,4449,28,66,0
SA2981_2328,45,128,62,178,89,334,0
SA2981_2329,65,185,80,376,211,639,0
SA2981_2331,18,155,5,274,65,52,0
SA2981_2332,6,92,0,149,5,12,0
SA2981_2333,44,386,13,572,15,28,0
SA2981_0237,24,228,30,218,234,308,0
SA2981_2335,18,521,12,695,61,37,0
SA2981_2336,1,80,1,115,3,6,0
SA2981_2337,52,1449,12,2536,44,60,0
SA2981_2338,1,252,2,678,3,7,0
SA2981_2339,29,9,20,25,20,54,0
SA2981_2340,440,648,319,336,583,1646,0
SA2981_2343,165,110,150,61,175,269,0
SA2981_0238,0,21,1,8,9,7,0
SA2981_2346,137,196,130,211,409,518,0
SA2981_2347,73,156,65,181,324,304,0
SA2981_2349,2043,2092,1028,923,3132,2661,0
SA2981_2350,1126,1369,580,826,3214,1691,0
SA2981_2351,1061,1638,621,882,3284,1876,0
SA2981_2352,241,315,123,269,959,618,0
SA2981_2353,150,903,17,796,134,199,0
SA2981_2354,85,113,54,81,358,253,0
SA2981_2355,418,435,589,285,952,936,0
SA2981_2356,4,2,6,1,15,82,0
SA2981_2357,0,12,7,42,21,44,0
SA2981_2358,15,12,12,55,35,89,0
SA2981_2359,1,0,2,0,2,3,0
SA2981_2361,18,21,9,21,36,68,0
SA2981_2362,15,10,4,7,20,54,0
SA2981_2363,17,12,11,2,10,21,0
SA2981_0240,79,1654,77,2446,162,329,0
SA2981_2364,2,1,0,2,0,8,0
SA2981_2366,98,61,33,35,67,92,0
SA2981_2368,12,39,27,65,43,143,0
SA2981_2369,127,151,39,114,226,288,0
SA2981_2370,54,110,37,98,393,382,0
SA2981_2371,148,167,97,190,453,463,0
SA2981_2372,13,7,15,6,21,43,0
SA2981_2373,47,109,46,101,96,197,0
SA2981_0241,75,10916,67,18002,181,124,0
SA2981_2374,14,77,21,30,73,70,0
SA2981_2375,43,50,24,44,50,176,0
SA2981_2376,140,197,143,345,572,690,0
SA2981_2377,387,1019,265,1077,732,1560,0
SA2981_2378,33,58,45,78,167,377,0
SA2981_2379,161,111,214,292,107,433,0
SA2981_2380,70,109,52,152,144,154,0
SA2981_2381,243,411,152,735,668,807,0
SA2981_2382,11,46,6,132,47,151,0
SA2981_2383,7,51,19,212,65,194,0
SA2981_2384,1,25,4,119,41,65,0
SA2981_2385,57,121,18,450,152,245,2
SA2981_2387,54,136,50,464,432,312,3
SA2981_2388,41,462,40,315,662,539,0
SA2981_2389,174,85,122,53,223,221,0
SA2981_2390,21,236,4,18,142,60,0
SA2981_2391,13,704,5,45,264,53,0
SA2981_2392,106,242,137,343,318,469,1
SA2981_0243,41,46,39,71,63,316,0
SA2981_2395,61,110,75,163,95,211,0
SA2981_2396,79,121,63,76,158,487,0
SA2981_2397,67,150,103,177,102,343,0
SA2981_2399,33,58,23,39,80,207,1
SA2981_2400,12,16,12,6,35,110,0
SA2981_2401,18,19,11,18,20,93,0
SA2981_2402,17,17,7,12,28,84,1
SA2981_2403,13,25,14,13,87,200,0
SA2981_2404,51,23,20,16,180,426,4
SA2981_2405,4,1,5,3,72,107,0
SA2981_2406,5,5,6,2,73,114,0
SA2981_2407,9,1,6,2,106,123,0
SA2981_2410,44,263,29,328,2561,702,0
SA2981_2411,27,225,64,295,346,287,0
SA2981_0245,5,1,1,3,0,8,0
SA2981_2417,11,99,5,160,13,15,0
SA2981_0246,1,0,0,2,0,9,0
SA2981_2425,127,150,108,178,192,609,0
SA2981_2427,111,139,90,113,136,500,0
SA2981_0247,4,4,7,3,18,26,0
SA2981_2436,244,195,96,153,91,226,0
SA2981_2441,71,196,25,23,112,140,0
SA2981_2442,10,91,10,28,56,194,0
SA2981_2443,16,132,9,35,73,190,0
SA2981_0248,8,8,3,6,11,23,0
SA2981_2444,63,121,69,115,133,479,0
SA2981_2445,70,139,30,158,103,308,0
SA2981_2447,82,178,72,101,532,553,0
SA2981_2448,76,64,43,47,66,114,0
SA2981_2449,27,62,156,198,113,956,0
SA2981_2450,84,90,10,15,22,20,0
SA2981_2453,226,374,203,328,656,990,0
SA2981_2454,9,4,2,1,11,13,0
SA2981_2455,1,14,4,2,9,11,0
SA2981_2456,4,12,12,7,17,19,0
SA2981_2460,128,2218,123,2160,244,177,0
SA2981_2461,26,14,22,13,29,68,0
SA2981_2464,110,159,119,156,228,490,0
SA2981_2465,72,84,82,52,78,121,0
SA2981_2466,258,152,63,76,72,106,0
SA2981_2467,21,7,11,10,24,57,1
SA2981_2468,37,10,21,5,48,84,0
SA2981_2470,121,199,107,119,274,391,0
SA2981_2471,94,169,74,276,407,446,0
SA2981_2472,10,65,15,124,59,110,0
SA2981_2473,11,59,10,92,25,69,0
SA2981_0251,76,348,35,310,356,395,0
SA2981_2475,157,676,374,769,827,1340,9
SA2981_2476,59,637,106,347,276,545,0
SA2981_2478,24,62,44,78,71,183,0
SA2981_2480,30,4,41,5,251,427,0
SA2981_2481,99,154,117,136,128,353,0
SA2981_2482,568,684,326,345,670,1068,1
SA2981_2483,26,76,20,42,54,88,0
SA2981_2484,64,1173,18,525,555,671,0
SA2981_2486,119,77,37,67,136,304,0
