,1_LAC1_CGATGT_L007_R1_001 (paired) (GE) - Total counts,2_LAC2_ACAGTG_L007_R1_001 (paired) (GE) - Total counts,3_LAC3_GCCAAT_L007_R1_001 (paired) (GE) - Total counts,4_mgrA1_CAGATC_L007_R1_001 (paired) (GE) - Total counts,5_mgrA2_CTTGTA_L007_R1_001 (paired) (GE) - Total counts,6_mgrA3_GTGAAA_L007_R1_001 (paired) (GE) - Total counts
SAUSA300_0230,7516,7173,6522,5119,5994,7215
SAUSA300_0231,10191,10961,10497,10149,12099,16827
SAUSA300_0232,1897,1948,1955,1920,2245,3180
SAUSA300_0233,4737,5667,5663,5212,6128,7773
SAUSA300_0234,110836,124913,120378,98169,127339,171244
SAUSA300_0235,1503261,1540197,1502965,689465,846667,1135172
SAUSA300_0236,3480,3377,3484,2090,2799,3492
SAUSA300_0237,2843,3024,2770,1777,2181,2655
SAUSA300_0238,270,297,262,218,263,294
SAUSA300_0239,20,33,16,22,25,34
SAUSA300_0240,34,26,6,10,23,22
SAUSA300_0241,145,178,182,127,134,158
gutB,275,308,301,235,216,338
SAUSA300_0243,26,48,28,24,28,32
SAUSA300_0244,758,787,641,492,643,817
SAUSA300_0245,9339,8454,7773,5479,7119,9615
SAUSA300_0246,14633,13538,12104,9320,11488,15473
SAUSA300_0247,21637,20162,19858,13729,16666,22614
SAUSA300_0248,4030,4745,4496,3575,4267,5530
ispD,10431,10916,10421,7236,8554,10798
SAUSA300_0250,25852,27042,26130,17933,21496,27143
SAUSA300_0251,50939,54442,52745,34215,41219,52400
SAUSA300_0252,71863,77251,73356,45752,56084,68612
scdA,11953,14564,13931,10034,12826,17676
SAUSA300_0254,17340,15865,14094,9009,11062,14196
SAUSA300_0255,3685,3243,3089,2087,2500,3249
SAUSA300_0256,4217,4670,4787,1728,1927,2506
SAUSA300_0257,14036,17190,17360,7012,7344,11053
SAUSA300_0258,6203,5644,5529,5091,5878,8796
SAUSA300_0259,823,686,674,725,890,1132
bglA,1333,1279,1076,1260,1651,2015
SAUSA300_0261,738,744,709,830,981,1073
rbsK,3698,3775,4035,1853,2310,3230
rbsD,1883,1909,1907,778,964,1403
SAUSA300_0264,3877,4237,4243,1610,1991,2883
SAUSA300_0265,7916,7822,7655,2586,3299,5269
SAUSA300_0266,816,990,970,2129,2484,3153
SAUSA300_0267,143,161,131,146,135,170
SAUSA300_0268,529,583,514,572,666,850
SAUSA300_0269,994,1076,1060,963,1178,1458
lytM,3148,3593,3375,2850,4110,4804
SAUSA300_0271,1073,1282,1162,1922,2370,3004
SAUSA300_0272,1040,1309,1211,1966,2456,2860
SAUSA300_0273,889,1050,1030,1761,2054,2482
SAUSA300_0274,6174,8460,7499,18475,21246,25058
SAUSA300_0275,418,527,473,735,749,1114
SAUSA300_0276,697,807,751,951,1114,1591
SAUSA300_0277,9133,7714,7507,2058,2516,3714
SAUSA300_0278,68060,65875,67165,17938,21698,29673
SAUSA300_0279,14130,14103,14419,3131,3401,4414
