,C1_reads,C2_reads,group1_reads,D1-1_reads,D1-2_reads,group2_reads
SA1102,14606,13984,14295,14461,14941,14701
SA1076,3969,3991,3980,3894,4127,4010.5
SA2288,4069,4470,4269.5,2974,2972,2973
SA0580,336,331,333.5,570,550,560
SA2289,211,197,204,278,285,281.5
SA1618,2298,2144,2221,4625,4732,4678.5
SA2411,752,610,681,619,694,656.5
SA_RS07010,20,22,21,9,15,12
SA0306,1684,1590,1637,1558,1640,1599
SA0939,3463,3010,3236.5,4920,5009,4964.5
SA0351,6022,5321,5671.5,8351,8826,8588.5
SA0146,630,507,568.5,582,672,627
SA0768,1283,1246,1264.5,1153,1153,1153
SA_RS03255,27,23,25,38,34,36
SA1998,2697,2615,2656,1814,1935,1874.5
SAP004,0,0,0,0,0,0
SA1684,5375,5206,5290.5,3036,3092,3064
SA_RS07745,405,436,420.5,204,244,224
SA0657,13830,13990,13910,7801,8346,8073.5
SA1313,3676,3757,3716.5,3038,3156,3097
SA2108,34394,30190,32292,13686,14182,13934
SA_RS09940,9,4,6.5,2,8,5
SA0503,80161,85766,82963.5,94519,97680,96099.5
SA0751,345,269,307,285,346,315.5
SA1489,1749,1651,1700,1677,1571,1624
SA1798,416,405,410.5,698,673,685.5
SA2001,1448,1366,1407,1425,1486,1455.5
SArRNA03,1,6,3.5,6,0,3
SA1448,1695,1538,1616.5,1070,1053,1061.5
SA0102,3693,4423,4058,7724,7941,7832.5
SA0938,3975,3341,3658,9671,9724,9697.5
SA1212,1520,1327,1423.5,1202,1237,1219.5
SA0606,1312,1291,1301.5,2284,2289,2286.5
SA1486,327,345,336,88,126,107
SA0928,8975,9161,9068,9173,9755,9464
SA0167,527,510,518.5,1059,1030,1044.5
SA0213,1732,1238,1485,1323,1356,1339.5
SA1609,1902,1872,1887,3330,3443,3386.5
SA_RS06635,1711,1552,1631.5,655,664,659.5
SA_RS06145,10,8,9,14,11,12.5
SAS034,21,27,24,6,5,5.5
SA0604,1130,1177,1153.5,1392,1444,1418
SA1240,6521,7322,6921.5,5978,6285,6131.5
SA2116,6170,5730,5950,6329,6298,6313.5
SA1653,7995,7321,7658,7710,8212,7961
SA1104,4392,4400,4396,3743,4234,3988.5
SA0669,1771,1813,1792,1923,2091,2007
SA1804,1941,1537,1739,2079,1975,2027
SA0608,8112,7690,7901,7859,8345,8102
SA0026,210,190,200,167,227,197
SA0597,4769,4426,4597.5,3746,3718,3732
SA0118,377,354,365.5,446,469,457.5
SAtRNA42,1066,1119,1092.5,1169,1150,1159.5
SA2314,399,363,381,224,196,210
SA2399,38005,42025,40015,21069,21602,21335.5
SA0804,2237,2142,2189.5,4887,5129,5008
SA0088,1324,1319,1321.5,1287,1406,1346.5
SA1897,644,611,627.5,391,505,448
SA1000,2293,1782,2037.5,2371,2531,2451
SA0877,14006,14065,14035.5,12625,13145,12885
SA2232,2169,2144,2156.5,2266,2341,2303.5
SA2050,7095,7348,7221.5,10410,10617,10513.5
SA_RS09155,1,2,1.5,0,0,0
SA_RS00820,5,7,6,13,9,11
SA1599,14418,15251,14834.5,11315,11691,11503
SA2053,2078,1826,1952,3827,3966,3896.5
SA1601,125,106,115.5,102,140,121
SA_RS13020,823,819,821,407,389,398
