,C1_reads,C2_reads,group1_reads,D1-1_reads,D1-2_reads,group2_reads
SA2267,1458,1498,1478,720,799,759.5
SA0864,10366,11612,10989,8354,8598,8476
SA2216,370,357,363.5,334,360,347
SA1215,768,692,730,341,404,372.5
SA1513,24944,25564,25254,19918,20385,20151.5
SA1011,504,515,509.5,282,294,288
SA0899,109,101,105,185,188,186.5
SA2425,6691,7050,6870.5,6096,6175,6135.5
SA1478,853,887,870,1060,1040,1050
SA1259,4623,4685,4654,7788,7895,7841.5
SA1133,1072,981,1026.5,822,892,857
SA2087,47868,41465,44666.5,24675,26062,25368.5
SA1652,13956,14029,13992.5,11506,11802,11654
SA0839,373,375,374,193,241,217
SA1401,25516,22712,24114,37139,36963,37051
SA1351,2846,2638,2742,2535,2596,2565.5
SA0514,2491,2271,2381,1820,2073,1946.5
SA0827,16775,18449,17612,13762,13354,13558
SA2361,630,571,600.5,722,813,767.5
SArRNA15,2784,1879,2331.5,8529,5289,6909
SA1782,87,78,82.5,140,180,160
SA_RS06495,1413,1284,1348.5,2174,2123,2148.5
SA2293,1024,796,910,4990,5081,5035.5
SA_RS12075,678,675,676.5,645,718,681.5
SA1021,25372,25835,25603.5,20157,20204,20180.5
SA1114,3103,3076,3089.5,2560,2677,2618.5
SA0051,0,0,0,0,0,0
SA0086,305,293,299,290,266,278
SA0324,365,281,323,383,374,378.5
SA0279,1256,1079,1167.5,1834,1892,1863
SA2211,1234,1301,1267.5,1113,1164,1138.5
SA0998,9714,10079,9896.5,5923,6179,6051
SA1874,7419,7436,7427.5,8978,8873,8925.5
SA_RS06510,236,206,221,78,86,82
SA0929,3238,3232,3235,3675,3726,3700.5
SA_RS07590,170,214,192,304,285,294.5
SA0830,786,737,761.5,856,835,845.5
SA2241,2440,2150,2295,2892,2989,2940.5
SA1819,0,0,0,0,0,0
SA0770,2332,2223,2277.5,4538,4606,4572
SA1140,541,409,475,6443,6675,6559
SA2393,2279,2121,2200,2618,2855,2736.5
SA2143,2027,1761,1894,2902,2788,2845
SA0396,420,401,410.5,277,349,313
SA1655,4863,4497,4680,3510,3814,3662
SA0465,12044,12451,12247.5,9003,9244,9123.5
SA2461,289,180,234.5,1344,1320,1332
SA1828,0,0,0,0,0,0
SA_RS02035,65,79,72,91,95,93
SA_RS10055,678,593,635.5,698,721,709.5
SA_RS11995,54402,45928,50165,19212,19883,19547.5
SA0455,16790,17726,17258,15457,15999,15728
SA2434,1618,1495,1556.5,2685,2747,2716
SA0138,534,499,516.5,365,397,381
SA1619,118,98,108,145,134,139.5
SA0414,243,236,239.5,220,232,226
SA2100,4120,4276,4198,4791,4861,4826
SA1861,590,440,515,1203,1275,1239
SAtRNA01,22,21,21.5,26,36,31
SA0902,1429,1413,1421,2577,2625,2601
SA0843,15651,15344,15497.5,30042,30791,30416.5
SA1942,3129,2662,2895.5,2828,2961,2894.5
SA0203,1191,1247,1219,1649,1668,1658.5
SA0689,310,283,296.5,329,351,340
SA_RS06700,1141,1054,1097.5,492,550,521
SA0542,621,654,637.5,677,682,679.5
SA2052,3312,3321,3316.5,1705,1834,1769.5
SA0305,235,281,258,572,572,572
SA0963,33205,33768,33486.5,40640,42062,41351
SA1695,10093,10168,10130.5,11657,11552,11604.5
SA1690,2379,2380,2379.5,1893,1982,1937.5
SAtRNA49,2981,2483,2732,2367,2770,2568.5
SA0259,240,286,263,482,548,515
SA0426,2213,2267,2240,1966,2009,1987.5
SA1630,50,24,37,95,105,100
SA0378,279,210,244.5,117,146,131.5
SA_RS04520,2490,2338,2414,2380,2330,2355
SA1908,48762,45159,46960.5,57422,56887,57154.5
SA1517,10392,11188,10790,9817,9753,9785
SAS052,44108,47223,45665.5,57325,61392,59358.5
SA2261,759,800,779.5,1795,1561,1678
SA1856,2155,2296,2225.5,1364,1375,1369.5
SA1269,13737,12470,13103.5,28124,29205,28664.5
SA1144,4239,4299,4269,3216,3143,3179.5
SA1705,702,603,652.5,498,565,531.5
SA0951,2168,1831,1999.5,3282,3326,3304
SA2103,6293,5384,5838.5,6901,6794,6847.5
SA0986,25151,28186,26668.5,20965,21408,21186.5
SA1001,241,191,216,186,204,195
SA0339,1766,1656,1711,2850,3016,2933
SA1916,19404,18937,19170.5,26980,26299,26639.5
SA1199,79,83,81,223,199,211
SA_RS07080,39,43,41,26,28,27
SA0952,1764,1573,1668.5,2603,2672,2637.5
SA2464,659,732,695.5,833,865,849
SAS056,5025,4474,4749.5,2299,2427,2363
SA1095,10306,11129,10717.5,9363,9493,9428
SA1342,48677,51105,49891,39469,40838,40153.5
SA0487,3483,3598,3540.5,4765,4952,4858.5
SA1059,6432,6862,6647,6244,6363,6303.5
SA0352,39711,42112,40911.5,52558,53370,52964
SA0822,1277,1088,1182.5,7524,7583,7553.5
SA2137,3978,4177,4077.5,3289,3130,3209.5
SA1120,3613,3368,3490.5,2965,3148,3056.5
SA0002,37601,41239,39420,23564,24325,23944.5
SA1973,5090,5377,5233.5,4633,4888,4760.5
SA0743,1375,1067,1221,1741,1752,1746.5
SA1598,717,685,701,569,624,596.5
SA1375,12645,12510,12577.5,9216,9247,9231.5
SA1541,176,143,159.5,238,257,247.5
SA2138,1604,1421,1512.5,1658,1536,1597
SA0222,2729,1817,2273,5334,5153,5243.5
SA1336,19058,19968,19513,15036,15176,15106
SA0410,590,697,643.5,500,607,553.5
SA1981,2108,2073,2090.5,2424,2490,2457
SA2016,32077,35684,33880.5,43458,45933,44695.5
SA0945,178367,199998,189182.5,159554,162842,161198
SA0439,2003,2129,2066,1369,1382,1375.5
SA1381,16445,13809,15127,18264,18117,18190.5
SA2010,60471,63080,61775.5,38444,38917,38680.5
SA1822,0,0,0,0,0,0
SA0224,282,235,258.5,214,218,216
SA1964,3433,3616,3524.5,3310,3400,3355
SA_RS07260,16,11,13.5,18,8,13
SA0821,2538,1982,2260,12003,12150,12076.5
SA2243,371,319,345,470,415,442.5
SA2395,10115,9484,9799.5,18040,18441,18240.5
SA2488,67,76,71.5,58,97,77.5
SA1962,1117,1250,1183.5,2165,2089,2127
SA1840,11614,13977,12795.5,6245,6135,6190
SA1051,4259,4698,4478.5,4073,4291,4182
SA1727,3710,3764,3737,4284,4515,4399.5
SA_RS13875,5,3,4,5,0,2.5
SA1390,17586,17831,17708.5,14404,15094,14749
SA1040,5586,5404,5495,7447,7624,7535.5
SA1009,157,158,157.5,172,135,153.5
SA2257,32,31,31.5,61,79,70
SA1574,9198,7745,8471.5,9146,9093,9119.5
SA0677,2142,1830,1986,1928,1963,1945.5
SA1989,10456,10146,10301,11421,11398,11409.5
SA0972,3843,3431,3637,2747,2740,2743.5
SA1848,44,43,43.5,80,102,91
SA1261,8566,8357,8461.5,5338,5462,5400
SA0946,179712,205340,192526,151997,157337,154667
SA1178,15142,12836,13989,7106,7472,7289
SA2164,6433,5326,5879.5,17363,17768,17565.5
SA1392,6829,6825,6827,5835,5915,5875
SA0736,10143,10899,10521,6163,6549,6356
SA0861,4230,4340,4285,2720,2754,2737
SA0237,71,74,72.5,104,105,104.5
SA_RS12740,476,428,452,219,268,243.5
SA0873,13443,15303,14373,10275,10507,10391
SA2374,1502,1761,1631.5,1861,1699,1780
SA1014,939,1109,1024,1177,1192,1184.5
SA0077,0,0,0,0,0,0
SA_RS12735,11,9,10,4,5,4.5
SA1740,8145,7478,7811.5,6410,6554,6482
SA1514,2700,2850,2775,1611,1786,1698.5
SA1625,4092,4199,4145.5,3768,3937,3852.5
SA0067,0,0,0,0,0,0
SA2286,61,32,46.5,21,13,17
SA1292,1460,1445,1452.5,1006,986,996
SA0684,5603,4984,5293.5,4654,4720,4687
SA2318,1979,2175,2077,3055,2857,2956
SA1955,0,0,0,0,0,0
SA1888,2958,2879,2918.5,1933,1962,1947.5
SA0626,10925,11171,11048,7038,7025,7031.5
SA0119,941,966,953.5,902,984,943
SA_RS07415,155,140,147.5,61,103,82
SA1221,57,62,59.5,56,51,53.5
SA0247,54150,56636,55393,47724,48197,47960.5
SA1262,19782,20199,19990.5,13944,14207,14075.5
SA0248,58078,60253,59165.5,44662,45337,44999.5
SA1669,3449,3797,3623,6039,6075,6057
SA0856,62538,62301,62419.5,74173,77117,75645
SA2217,187,164,175.5,128,166,147
SA2004,2669,2833,2751,2849,2886,2867.5
SA0122,25395,26800,26097.5,17585,18229,17907
SA0066,0,0,0,0,0,0
SA2251,156,186,171,210,181,195.5
SA2095,2873,2614,2743.5,3984,3977,3980.5
SA1156,135,133,134,92,59,75.5
SA1091,997,976,986.5,563,630,596.5
SA1977,724,840,782,910,967,938.5
SA1596,91,97,94,106,87,96.5
SA_RS10635,67,76,71.5,63,67,65
SA2274,1275,1309,1292,1341,1466,1403.5
SA1377,16652,17252,16952,16823,16632,16727.5
SA2034,81673,92934,87303.5,82687,80550,81618.5
SA1835,0,0,0,0,0,0
SA0024,0,0,0,0,0,0
SA1538,2831,2688,2759.5,3367,3452,3409.5
SA1002,1139,952,1045.5,496,440,468
SA1656,5653,5500,5576.5,4695,4900,4797.5
SA0427,1498,1366,1432,1248,1495,1371.5
SA2432,836,834,835,902,854,878
SA_RS07175,1,1,1,1,0,0.5
SA1453,6669,5890,6279.5,5438,5724,5581
SA1170,49519,54364,51941.5,32993,33569,33281
SA0936,309,264,286.5,112,133,122.5
SA0848,2976,3395,3185.5,5079,5162,5120.5
SA_RS12055,12,31,21.5,123,134,128.5
SA1314,2564,2670,2617,1563,1580,1571.5
SA2302,4720,3734,4227,6849,6815,6832
SA1196,1636,1715,1675.5,4522,4576,4549
SA2412,9710,10510,10110,5229,5396,5312.5
SA0991,14921,15110,15015.5,15373,15602,15487.5
SA2385,0,0,0,0,0,0
SA0727,99601,93113,96357,217063,222992,220027.5
SA1915,27614,27430,27522,44831,45762,45296.5
SA0238,341,313,327,355,346,350.5
SA2207,139,118,128.5,809,823,816
SA1420,8242,8713,8477.5,6651,6759,6705
SA0741,457,474,465.5,930,865,897.5
SA1111,11765,12283,12024,10000,9760,9880
SA1698,3255,3298,3276.5,2896,3333,3114.5
SA1476,6856,6506,6681,5889,5416,5652.5
SA1394,17185,17331,17258,24347,25206,24776.5
SA_RS13090,243,209,226,153,149,151
SArRNA04,51,34,42.5,27,37,32
SA1303,5954,6041,5997.5,5358,5397,5377.5
SA0536,255,227,241,172,157,164.5
SA2339,1002,891,946.5,1558,1832,1695
SA0854,234,194,214,259,340,299.5
SA2172,15136,14249,14692.5,12500,12747,12623.5
SA1433,1368,1426,1397,1222,1310,1266
SA1650,26723,28041,27382,21336,21599,21467.5
SA0868,17147,17360,17253.5,14929,15916,15422.5
SA2375,5358,5277,5317.5,9641,9690,9665.5
SA0574,380,369,374.5,356,449,402.5
SA2343,1275,1145,1210,961,1203,1082
SA1696,1584,1555,1569.5,1378,1348,1363
SA0210,525,433,479,1078,1034,1056
SA1629,82,69,75.5,128,156,142
SA1809,10,13,11.5,7,15,11
SA0979,198,146,172,127,155,141
SA1691,2571,2510,2540.5,2479,2585,2532
SA0033,0,0,0,0,0,0
SA2255,388,409,398.5,515,582,548.5
SA_RS03505,9,8,8.5,16,7,11.5
SA2253,64,78,71,99,73,86
SA2220,4027,4262,4144.5,5523,5586,5554.5
SAS065,26123,19953,23038,10724,12049,11386.5
SA1988,3705,3684,3694.5,2597,2771,2684
SA2346,2602,2900,2751,2530,2726,2628
SA0089,4791,4368,4579.5,5059,5027,5043
SAP022,915,957,936,717,773,745
SA1785,440,359,399.5,1226,1231,1228.5
SA0008,1107,1140,1123.5,1064,1123,1093.5
SA0701,3938,4002,3970,4942,5097,5019.5
SA0920,267,248,257.5,869,869,869
SA2310,1733,2101,1917,1735,1857,1796
SA2270,4211,3954,4082.5,3019,3254,3136.5
SAtRNA22,883,801,842,879,991,935
SA1067,31885,32764,32324.5,23687,28211,25949
SA0632,2393,2098,2245.5,2184,2295,2239.5
SA0123,188,177,182.5,177,213,195
SA0262,1916,1986,1951,642,660,651
SA0297,1778,1863,1820.5,2490,2467,2478.5
SA_RS10365,247,218,232.5,154,178,166
SA0153,1440,1135,1287.5,1356,1363,1359.5
SA1866,407,362,384.5,592,627,609.5
SA0635,1706,1546,1626,2376,2538,2457
SA1675,841,715,778,3267,3169,3218
SA_RS09965,10,26,18,14,8,11
SA0476,1389,1305,1347,924,971,947.5
SA1268,8872,10438,9655,8634,8874,8754
SA2493,377,361,369,579,529,554
SA0384,248,269,258.5,282,291,286.5
SA1531,4354,4222,4288,4437,4483,4460
SA1561,23979,21667,22823,28548,28586,28567
SA1918,3579,3865,3722,3363,3522,3442.5
SA0765,0,0,0,0,0,0
SA1277,2789,2697,2743,2611,2664,2637.5
SA1020,16035,16498,16266.5,12189,12723,12456
SA1883,444,386,415,353,350,351.5
SA2436,14122,12909,13515.5,15920,16335,16127.5
SA1364,15476,14077,14776.5,6850,7532,7191
SA0097,2817,2681,2749,3169,3218,3193.5
SA1857,2458,2451,2454.5,1315,1426,1370.5
SA0062,0,0,0,0,0,0
SA0076,0,0,0,0,0,0
SA_RS10095,1559,1290,1424.5,1474,1446,1460
SA1299,5958,6314,6136,7149,7238,7193.5
SA0887,27,30,28.5,22,10,16
SA1972,4095,3741,3918,3542,3527,3534.5
SArRNA10,373,275,324,745,454,599.5
SA2367,2483,2695,2589,3710,3848,3779
SA0534,685,728,706.5,872,886,879
SA0046,0,0,0,0,0,0
SA2219,241,232,236.5,165,166,165.5
SA0925,3097,3163,3130,3770,3890,3830
SA_RS01795,37,26,31.5,36,39,37.5
SA1810,1408,1193,1300.5,1375,1431,1403
SA1371,70,50,60,60,45,52.5
SA0140,3175,3524,3349.5,2696,2918,2807
SA0950,2101,1876,1988.5,3122,3138,3130
SA2409,85141,84497,84819,33805,35827,34816
SA1658,1073,767,920,153,245,199
SA1855,2024,2162,2093,1267,1313,1290
SA1717,3993,3852,3922.5,1881,1847,1864
SA1525,34393,35534,34963.5,25012,25826,25419
SA2336,18394,19001,18697.5,23131,23863,23497
SA0706,235,252,243.5,220,252,236
SA1177,87189,86649,86919,94953,97923,96438
SA0239,603,563,583,584,508,546
SA1787,324,410,367,476,560,518
SA0182,3849,3946,3897.5,3616,3523,3569.5
SAtRNA43,947,924,935.5,845,914,879.5
SA1400,6469,6716,6592.5,5269,5355,5312
SAP008,18817,19708,19262.5,10903,11357,11130
SA0851,56,45,50.5,70,64,67
SA_RS11135,1,2,1.5,3,2,2.5
SA1333,1310,1383,1346.5,913,1020,966.5
SA2321,21,42,31.5,17,32,24.5
SA0988,2300,1837,2068.5,1181,1152,1166.5
SArRNA01,375,279,327,750,481,615.5
SA1418,1385,1475,1430,1204,1178,1191
SA0492,5209,4834,5021.5,4854,4780,4817
SA2444,8783,9244,9013.5,7086,7172,7129
SA2246,6677,6139,6408,3143,3284,3213.5
SA1844,55640,51072,53356,33999,35382,34690.5
SA0083,1712,1707,1709.5,3498,3662,3580
SA1398,4577,4740,4658.5,4031,3983,4007
SAS063,389,327,358,551,528,539.5
SA0283,352,332,342,517,515,516
SA0290,365,425,395,480,434,457
SA0846,1414,1655,1534.5,3270,3510,3390
SA1208,453,352,402.5,102,116,109
SA2482,238,240,239,467,507,487
SAtRNA13,343,296,319.5,260,291,275.5
SA2075,2670,2731,2700.5,1040,1263,1151.5
SA_RS08365,14,12,13,24,38,31
SA1183,19076,19019,19047.5,20460,21719,21089.5
SA1466,12827,13446,13136.5,15219,15019,15119
SA1484,0,0,0,0,0,0
SA_RS03225,1285,1381,1333,856,870,863
SA1176,3055,3195,3125,2692,2692,2692
SA0021,2635,2667,2651,1088,1261,1174.5
SA1235,3791,3806,3798.5,1349,1379,1364
SA_RS05800,3039,2227,2633,1457,1601,1529
SA0957,3316,3230,3273,1796,1968,1882
SA_RS05130,73,88,80.5,41,42,41.5
SA2208,816,755,785.5,1256,1385,1320.5
SA2405,476,415,445.5,834,1002,918
SA1547,3805,3540,3672.5,4789,4658,4723.5
SA0141,2739,2643,2691,1452,1442,1447
SA0533,219,229,224,244,264,254
SA2304,1654,1591,1622.5,3082,3191,3136.5
SA0933,3966,4396,4181,3912,4405,4158.5
SA0072,0,0,0,0,0,0
SA2344,9141,9202,9171.5,11707,11988,11847.5
SA1411,83151,75121,79136,65738,67105,66421.5
SA1326,4153,4017,4085,3352,3396,3374
SA_RS06665,72,113,92.5,63,78,70.5
SA_RS01540,21,9,15,10,9,9.5
SA0875,5882,5936,5909,4048,4266,4157
SA2337,596,668,632,457,465,461
SA0507,2006,2051,2028.5,1965,2175,2070
SA0739,8780,6690,7735,6028,6014,6021
SA1976,2207,1960,2083.5,2923,2906,2914.5
SA0244,2910,2807,2858.5,2726,2810,2768
SAS049,7981,6669,7325,4765,4953,4859
SA1158,2145,2075,2110,1350,1391,1370.5
SA1817,0,0,0,0,0,0
SA0321,214,237,225.5,914,984,949
SA1986,8014,7443,7728.5,12071,12422,12246.5
SA1564,5162,4751,4956.5,5000,5142,5071
SA1362,1027,970,998.5,548,504,526
SA_RS06535,56,66,61,22,30,26
SA1834,0,0,0,0,0,0
SA1878,1202,1199,1200.5,1183,1239,1211
SA1943,10835,9838,10336.5,7310,7313,7311.5
SA0756,2591,2760,2675.5,1751,1691,1721
SA_RS13845,1,1,1,0,1,0.5
SA_RS08930,435,401,418,314,324,319
SA0415,3965,3724,3844.5,4316,4503,4409.5
SA0175,3947,2925,3436,6084,6385,6234.5
SA2312,90207,88096,89151.5,48564,50909,49736.5
SA_RS13100,2101,2424,2262.5,1948,1824,1886
SA1741,3121,3171,3146,3317,3351,3334
SA0155,1611,1373,1492,1603,1693,1648
SA2468,306,376,341,512,508,510
SA_RS01385,6,6,6,0,2,1
SAtRNA07,364,370,367,300,329,314.5
SA_RS09815,17,24,20.5,10,5,7.5
SA0954,12306,10284,11295,14579,14689,14634
SA2373,198,181,189.5,201,202,201.5
SAtRNA34,1912,1931,1921.5,1806,1952,1879
SA0005,37787,38485,38136,44081,44590,44335.5
SA2123,413,411,412,426,414,420
SA1479,0,0,0,0,0,0
SA0289,383,306,344.5,481,463,472
SAS042,11774,11670,11722,4826,5434,5130
SA2306,283,366,324.5,251,266,258.5
SA1991,550,497,523.5,763,825,794
SA1688,6348,6115,6231.5,4253,4407,4330
SA1554,544,618,581,2057,2203,2130
SA2438,5244,4958,5101,4345,4247,4296
SA0504,68037,77997,73017,91644,92787,92215.5
SA0995,23620,24212,23916,33186,34006,33596
SA0757,4350,4607,4478.5,2572,2593,2582.5
SA2433,1326,1332,1329,2407,2619,2513
SAS075,15,20,17.5,13,9,11
SA0571,1625,1710,1667.5,2289,2387,2338
SA0724,2274,2369,2321.5,2308,2428,2368
SA2299,3133,2732,2932.5,4028,3818,3923
SA1028,110801,121141,115971,100131,101379,100755
SA1358,7505,7818,7661.5,6289,6208,6248.5
SA_RS01735,50,55,52.5,140,133,136.5
SA2446,4505,4613,4559,2776,2992,2884
SA2223,368,287,327.5,267,261,264
SA_RS06090,11,5,8,6,11,8.5
SA0643,7326,7676,7501,4741,4910,4825.5
SA1193,10850,9968,10409,15145,16157,15651
SA0112,44,26,35,93,34,63.5
SA1743,8692,8540,8616,7878,8202,8040
SA1061,11269,11979,11624,11142,11163,11152.5
SAP010,6541,5399,5970,4201,4422,4311.5
SA0275,1374,1016,1195,1288,1332,1310
SA2362,1007,880,943.5,1204,1237,1220.5
SA0003,4531,4728,4629.5,2955,3316,3135.5
SA0847,2400,2809,2604.5,4988,5102,5045
SA1801,2356,1794,2075,6040,6080,6060
SA2073,13926,13293,13609.5,12519,12454,12486.5
SA1225,1742,2361,2051.5,3782,3789,3785.5
SA1620,237,200,218.5,161,174,167.5
SA1324,6470,6827,6648.5,6830,6500,6665
SA0638,1748,1778,1763,2407,2730,2568.5
SA0981,146,158,152,192,152,172
SA0709,5263,5155,5209,5426,5413,5419.5
SA1244,16650,17227,16938.5,16017,16242,16129.5
SA0060,0,0,0,0,0,0
SA0746,1235,959,1097,1327,1536,1431.5
SA1527,4427,4686,4556.5,4043,4532,4287.5
SA2139,1705,1617,1661,1657,1647,1652
SA0322,3563,3443,3503,2419,2411,2415
SA0522,4771,4680,4725.5,5161,5173,5167
SA1736,6160,5933,6046.5,5217,5307,5262
SA1456,15553,15912,15732.5,14802,15228,15015
SA0509,15033,15041,15037,22066,22410,22238
SA_RS11805,3,12,7.5,6,6,6
SA_RS05475,1106,1085,1095.5,531,682,606.5
SA0652,1570,1543,1556.5,1451,1378,1414.5
SA1285,12246,12563,12404.5,7041,6839,6940
SA0788,498,414,456,208,191,199.5
SA0312,913,912,912.5,1184,1209,1196.5
SA1681,9648,9905,9776.5,8080,8655,8367.5
SA1043,2068,2183,2125.5,6012,6391,6201.5
SA2233,1737,1572,1654.5,3542,3816,3679
SA1969,19568,21334,20451,15228,15405,15316.5
SA0367,5785,5747,5766,4344,4072,4208
SA0255,859,867,863,850,862,856
SA_RS02500,11,0,5.5,13,26,19.5
SAtRNA37,557,612,584.5,570,581,575.5
SA0344,3147,3497,3322,3192,3381,3286.5
SA1971,2082,1740,1911,1194,1252,1223
SA1008,1714,1635,1674.5,584,680,632
SA1678,20091,19177,19634,12268,12742,12505
SA_RS02475,43,57,50,98,82,90
SA2015,1079,1027,1053,674,786,730
SA0334,264,257,260.5,475,429,452
SA0173,23823,25526,24674.5,22455,22503,22479
SA_RS12425,6,2,4,4,5,4.5
SA1772,1159,847,1003,2162,2158,2160
SA2498,23660,25620,24640,16339,16145,16242
SA2228,5472,5766,5619,4826,5047,4936.5
SA0423,30814,31251,31032.5,24360,25133,24746.5
SA0081,344,322,333,578,574,576
SA1449,17253,17541,17397,12067,12207,12137
SA0552,611,725,668,478,560,519
SA0837,176,174,175,232,233,232.5
SA0179,246,259,252.5,308,283,295.5
SA2500,27344,29564,28454,20260,20614,20437
SA_RS11620,3378,3394,3386,3727,3856,3791.5
SA2141,3780,3983,3881.5,3039,3259,3149
SA0425,1723,1724,1723.5,1618,1654,1636
SA0176,333,368,350.5,442,368,405
SA_RS13195,3,0,1.5,0,3,1.5
SA1526,6789,6983,6886,6478,6207,6342.5
SA0667,5508,6328,5918,3992,4061,4026.5
SA1693,10959,11433,11196,5585,5867,5726
SA_RS12720,3,0,1.5,0,5,2.5
SA1118,39180,41023,40101.5,26179,26582,26380.5
SA2353,538,392,465,873,810,841.5
SA1504,45965,54400,50182.5,35146,35472,35309
SA0265,1741,1601,1671,3962,4175,4068.5
SA1080,23609,23621,23615,22697,23392,23044.5
SA_RS12665,8,3,5.5,8,12,10
SA1452,8836,7266,8051,5030,5395,5212.5
SA0798,708,778,743,421,348,384.5
SA1905,99712,102213,100962.5,127922,130733,129327.5
SA0127,991,945,968,932,1047,989.5
SA0653,3386,3104,3245,6534,6666,6600
SA0862,1218,1305,1261.5,908,913,910.5
SAtRNA35,1760,1828,1794,1694,1868,1781
SA0994,5288,5092,5190,7453,7713,7583
SA_RS03195,6,2,4,3,3,3
SA_RS02645,26,25,25.5,13,9,11
SA2102,252316,289246,270781,149033,155126,152079.5
SA1889,1471,1536,1503.5,1156,1111,1133.5
SAS016,27083,23161,25122,23489,23865,23677
SA1774,1963,1601,1782,5321,5383,5352
SA0807,3776,3338,3557,3898,4124,4011
SA1624,1040,945,992.5,675,718,696.5
SA0163,623,616,619.5,600,690,645
SA2017,63392,69409,66400.5,73243,74376,73809.5
SA0811,3609,3288,3448.5,5060,5309,5184.5
SA2472,142,141,141.5,259,267,263
SA2230,1682,1560,1621,1587,1476,1531.5
SA0904,511,594,552.5,291,317,304
SA1190,5309,4970,5139.5,8175,8733,8454
SA0521,3102,2796,2949,12243,12438,12340.5
SA0968,1451,1402,1426.5,1127,1023,1075
SA1475,8831,8090,8460.5,9747,9960,9853.5
SA2171,3833,3254,3543.5,2992,3243,3117.5
SA1849,370,351,360.5,462,493,477.5
SA_RS03580,11314,11474,11394,8546,8755,8650.5
SA_RS11405,0,3,1.5,1,4,2.5
SA1922,9992,9389,9690.5,10578,11108,10843
SA0792,4297,3944,4120.5,4504,4409,4456.5
SA_RS03420,3601,3410,3505.5,3812,3883,3847.5
SA0661,11940,9784,10862,19309,19030,19169.5
SA0130,1197,1044,1120.5,1224,1274,1249
SA1054,5547,6060,5803.5,4717,4761,4739
SA_RS03740,7,5,6,3,2,2.5
SA0907,5302,4534,4918,4140,4110,4125
SA_RS13140,25,19,22,35,37,36
SArRNA12,2657,1959,2308,8725,5333,7029
SA1626,1585,1689,1637,1816,1778,1797
SA1397,4924,5194,5059,4592,4660,4626
SA2360,859,994,926.5,942,946,944
SA1993,79,89,84,206,251,228.5
SA1134,17799,18007,17903,15630,15621,15625.5
SA1936,5793,5724,5758.5,4949,5007,4978
SAS031,920,958,939,472,571,521.5
SA1649,2299,2262,2280.5,1966,1995,1980.5
SA1870,9901,10086,9993.5,5348,5737,5542.5
SA2483,5232,5053,5142.5,3046,3100,3073
SA0491,5911,5681,5796,6534,6589,6561.5
SA1960,2093,1990,2041.5,3581,3694,3637.5
SA1370,82,69,75.5,79,60,69.5
SAS012,652,629,640.5,363,344,353.5
SA2006,194,156,175,348,435,391.5
SA1659,21075,20791,20933,16880,17325,17102.5
SA0346,561,677,619,719,736,727.5
SA0528,6430,5931,6180.5,9596,9860,9728
SA0718,6603,6143,6373,7672,8193,7932.5
SA2389,72,75,73.5,60,79,69.5
SA1563,4098,3946,4022,5262,5287,5274.5
SA1340,1473,1505,1489,1627,1733,1680
SA0681,1167,1269,1218,1494,1500,1497
SA0642,3526,3912,3719,2329,2415,2372
SA0204,4410,5162,4786,4054,3954,4004
SA0386,162,175,168.5,183,179,181
SA_RS12620,16084,15128,15606,23991,24914,24452.5
SA1643,416,336,376,484,487,485.5
SA1089,10737,11599,11168,17204,17520,17362
SA0686,158113,161310,159711.5,79809,81915,80862
SA0371,5362,5845,5603.5,4513,4822,4667.5
SA0079,434,434,434,783,855,819
SA2066,18189,19058,18623.5,12024,12070,12047
SA0987,1070,923,996.5,895,1036,965.5
SA1236,1596,1422,1509,2158,2254,2206
SA0784,8689,8446,8567.5,9022,9125,9073.5
SA2040,59119,73819,66469,77413,77989,77701
SA0825,3173,3005,3089,2605,2652,2628.5
SA0513,4612,4923,4767.5,3256,3444,3350
SA1300,23,25,24,33,8,20.5
SA0424,1839,1496,1667.5,953,1037,995
SA2372,357,291,324,300,283,291.5
SA0623,5449,5321,5385,1586,1637,1611.5
SA2455,347,409,378,270,306,288
SA1019,5409,5371,5390,3665,3582,3623.5
SA1327,489,518,503.5,382,342,362
SA0911,117469,110319,113894,142047,150998,146522.5
SA1317,2238,1897,2067.5,2626,2702,2664
SA_RS13505,29,29,29,58,67,62.5
SA2082,17483,14869,16176,9114,9160,9137
SA0159,3205,2900,3052.5,3007,3261,3134
SA0115,65,92,78.5,153,162,157.5
SA0231,57586,57621,57603.5,45575,47488,46531.5
SA2443,7375,7828,7601.5,5792,6077,5934.5
SA0810,12346,11248,11797,18206,18877,18541.5
SA1633,99,100,99.5,81,75,78
SA0947,1352,1289,1320.5,1240,1164,1202
SA1917,2806,2785,2795.5,1895,1851,1873
SA1850,1246,1251,1248.5,1740,1766,1753
SA0338,907,837,872,1540,1463,1501.5
SA0809,7780,7342,7561,10208,10330,10269
SA1084,19196,19012,19104,27665,28405,28035
SA1395,8729,9372,9050.5,6449,6816,6632.5
SA1389,3068,2997,3032.5,2765,2713,2739
SA0180,1729,1640,1684.5,4877,5078,4977.5
SA0526,6032,6684,6358,4297,4673,4485
SA2469,387,444,415.5,761,719,740
SA1881,100,118,109,172,200,186
SA1366,7683,7680,7681.5,9773,9896,9834.5
SA0252,246,218,232,692,646,669
SA2341,1453,1433,1443,7142,7468,7305
SA1839,7866,7169,7517.5,7890,7906,7898
SA2264,356,348,352,182,190,186
SA1087,3155,3016,3085.5,2845,2864,2854.5
