GeneName,dCshA_t000_v1,dCshA_t150_v1,dCshA_t300_v1,dCshA_t600_v1,PR01_t000_v1,PR01_t150_v1,PR01_t300_v1,PR01_t600_v1,CTA_t000_v1,CTA_t150_v1,CTA_t300_v1,CTA_t600_v1,CTA_t000_v2,CTA_t150_v2,CTA_t300_v2,CTA_t600_v2,dCshA_t000_v2,dCshA_t150_v2,dCshA_t600_v2,dCshA_t300_v2,PR01_t000_v2,PR01_t150_v2,PR01_t300_v2,PR01_t600_v2
SA2105,3616,136,165,33,2420,140,39,40,7085,521,302,76,2497,303,112,84,2333,302,85,119,2560,113,132,112
SA2106,1422,252,348,46,691,184,32,13,2913,1729,709,55,1534,918,591,169,1294,945,279,536,1450,113,129,45
SA2107,9,1,0,0,2,0,0,0,5,0,0,0,14,0,0,1,11,1,0,0,12,0,0,0
SA2108,4754,464,416,30,2022,55,15,19,7711,4199,1589,161,8125,4310,2331,758,4260,1189,157,548,5847,191,109,101
SA2109,42872,37278,29498,12410,54993,37206,16581,4152,91135,57985,29539,11460,30760,26712,20780,11080,34809,41872,18690,35145,16658,3253,1308,930
SA2110,1441,120,86,27,932,73,28,22,3224,321,157,70,1091,143,108,69,949,194,62,119,1091,66,42,39
SAS084,1328,233,164,81,1197,154,91,68,3825,562,351,173,1159,276,187,109,922,297,108,181,1088,121,106,80
SAS085,1129,502,429,93,725,239,48,22,2553,1069,573,142,642,343,240,144,594,427,155,280,623,134,91,48
SA2111,3053,1424,932,335,2039,585,178,60,5726,2190,1006,529,1793,793,457,290,1635,866,379,590,1419,312,164,121
SA2112,1815,805,617,217,868,352,146,62,3272,1200,713,328,626,322,250,178,629,385,283,361,540,137,148,77
SA2113,479,12,3,3,330,5,3,2,965,75,29,5,548,59,18,5,640,92,18,32,840,11,13,10
glvC,206977,79581,40504,11530,78722,27069,10478,3422,217972,39811,13887,5452,3343,1470,909,735,5956,3489,1597,2088,9784,2655,1078,581
SA2115,543,35,38,8,377,8,1,2,1344,204,44,11,612,96,23,24,552,120,8,40,572,8,10,13
SA2116,4561,1469,763,239,4322,741,334,135,9574,3070,1368,513,3816,1540,780,317,2573,1131,281,571,2973,564,331,185
SA2117,3965,1153,788,439,3801,329,252,202,7190,1428,781,643,2693,737,425,247,1998,605,288,405,2529,249,111,135
SA2118,242,21,63,21,80,20,13,5,176,312,234,57,212,70,62,39,205,82,37,69,138,9,27,17
SA2119,6024,8732,8244,11449,3141,3184,2894,3836,16275,24151,23201,35669,3432,4761,5173,8408,2424,4463,5909,4753,2145,1310,1193,1306
SA2120,573,255,196,128,796,103,63,50,1514,506,299,284,557,202,136,120,406,218,138,139,527,89,45,41
hutI,1929,1881,1414,1063,1397,809,694,403,4044,3215,2185,2077,3938,3991,3319,2904,3952,4931,2804,3952,1321,768,502,323
hutU,1501,1255,942,751,1148,680,591,484,2974,2055,1381,1262,5375,4207,3616,3154,4202,3972,2263,3273,985,609,352,224
SA2123,586,49,12,4,514,43,3,2,1204,115,34,13,355,46,13,15,308,35,10,23,146,7,7,5
fosB,43,4,2,0,24,3,0,0,79,27,6,5,29,11,4,2,45,4,0,7,18,1,0,1
SA2125,5215,4036,3882,3473,2157,837,640,593,13813,10191,8511,9923,3035,2967,3122,4500,2367,2442,2470,2260,2175,371,228,187
SA2126,19723,2674,1535,388,11160,517,197,133,50190,5803,1931,742,12525,3220,1462,571,13709,3655,684,1660,10211,471,215,244
SA2127,2096,582,259,98,1512,192,55,37,5417,1301,583,177,1734,757,370,181,1732,661,175,327,2191,196,96,84
SA2128,1407,155,89,18,1437,216,48,10,4030,393,77,25,879,176,51,25,638,152,21,41,1022,66,15,21
SA2129,2131,358,255,99,1537,64,48,55,5147,1453,453,189,2671,1088,512,181,2545,1068,287,618,3234,210,150,159
SA2130,1243,290,178,75,934,60,35,45,3410,829,275,115,2174,958,484,190,1740,790,288,477,1740,99,59,64
SA2131,1854,870,997,269,1574,1004,302,40,1977,1710,979,265,1805,1376,1025,560,1784,1658,656,1210,1525,507,300,88
SA2132,1060,574,423,94,1274,991,439,114,1600,618,320,55,1167,741,576,253,1140,928,178,572,1182,498,373,100
SA2133,350,196,169,58,448,250,178,125,887,457,252,139,419,236,168,109,327,237,115,199,413,156,140,68
SAS086,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0
SA2134,426,192,151,138,326,64,35,20,1171,325,194,220,316,118,86,65,288,160,115,113,323,78,45,15
SA2135,3939,2199,2319,1743,5205,4715,4722,6333,5022,2775,2091,1476,7119,5654,6173,6612,7378,5987,5536,5887,4151,1039,1391,1540
fni,7604,3344,2457,1442,5991,1278,617,412,15937,5973,3316,2428,6111,2943,1887,1369,5323,3040,1538,2057,4894,861,423,318
SA2137,1917,225,250,45,844,43,6,10,3880,933,395,91,1537,464,277,142,1550,618,205,320,1374,48,44,27
SA2138,1619,402,324,50,873,190,15,15,3414,2022,863,120,1286,757,514,211,884,563,94,342,747,94,51,20
SA2139,1935,637,524,152,1387,333,105,21,4627,2403,1206,360,1570,953,563,325,1183,737,191,476,957,142,87,43
SA2140,7734,1723,718,272,7536,1213,402,150,15677,2701,912,478,4684,1075,424,245,4202,1071,292,451,4609,539,189,146
SA2141,3370,1428,1192,402,1734,356,119,64,9634,3925,1839,605,2457,1394,977,478,2440,1521,434,905,2152,304,159,83
SA2142,6414,4136,2910,1720,7511,5243,3565,1974,14192,7036,4485,3347,4612,3235,2743,2080,3584,2724,1844,2352,2617,1479,1191,727
SA2143,2808,1224,922,403,3637,1599,882,495,7581,2457,1691,963,2247,1327,1067,772,1497,974,579,737,1081,478,421,257
SA2144,1241,44,22,5,425,3,3,2,2460,128,30,8,1145,85,29,10,965,115,18,31,810,6,20,15
tcaB,1397,308,228,78,1106,122,48,19,3042,715,243,104,1356,439,175,86,1054,402,109,189,1136,157,61,43
tcaA,4048,815,860,380,2694,232,88,57,9275,2269,1552,742,3406,1197,816,573,3096,1037,606,825,2828,192,132,105
tcaR,2941,2386,3823,1467,1452,999,366,221,6073,11439,10758,5267,2879,3882,4582,4287,2266,3810,4047,4570,2357,1513,1615,289
SA2148,649,169,168,111,429,91,40,15,1629,267,171,149,447,105,104,75,321,128,127,134,349,43,44,24
SA2149,172,122,138,77,102,27,21,16,395,257,213,206,177,129,107,123,104,128,141,130,87,28,17,11
SA2150,77,20,29,9,59,6,7,0,218,71,54,10,99,31,27,20,63,43,23,31,52,5,6,4
SA2151,484,73,80,50,485,9,17,9,1468,155,123,100,417,75,70,39,339,91,78,87,346,16,12,9
SA2152,1331,280,386,143,892,68,19,21,3242,927,759,266,1130,377,313,263,897,444,332,437,760,48,35,33
SA2153,180,62,84,9,52,11,1,0,228,446,188,9,191,235,123,47,178,266,41,190,85,10,8,10
SA2154,354,172,223,42,150,86,30,17,535,719,338,72,351,394,238,96,365,406,97,339,225,74,78,45
SA2155,11481,6786,4099,1994,7758,1971,971,581,21471,9184,4219,2405,8067,4661,2856,1511,6300,4366,1333,2611,3556,703,393,319
SA2156,1649,890,835,421,1607,723,286,100,3653,2042,1001,331,6010,16548,15736,10680,10322,23621,15846,21598,93627,31098,15766,3865
SA2157,4198,455,384,128,2257,60,19,26,11079,1509,749,279,3354,721,320,213,2922,878,283,469,2900,75,59,87
SA2158,4819,866,1041,167,2907,470,150,76,11758,5486,2983,425,3941,1283,959,488,2718,960,299,729,5274,888,998,505
SA2159,603,26,29,19,377,3,5,6,1819,93,68,86,528,26,26,32,405,44,25,18,310,6,9,10
SA2160,4158,2365,1639,962,5160,2923,2089,1171,10800,5233,3169,2520,3545,2581,2003,1623,2252,1853,1005,1411,4490,2401,1535,949
SA2161,627,226,98,43,562,36,17,15,1180,320,121,57,473,184,82,41,411,202,52,92,204,33,14,10
SA2162,1051,251,107,52,1001,58,15,16,2203,415,212,85,972,291,122,75,813,303,82,133,415,27,15,11
SA2163,1674,1809,1074,554,1086,687,424,242,3308,2967,1910,826,1478,1678,1321,707,1617,2017,701,1583,4260,1689,944,350
SA2164,353,105,63,24,364,87,20,24,1035,272,97,41,542,270,155,61,442,233,57,136,550,101,57,15
SA2165,1682,170,131,13,1248,126,24,40,3309,614,185,17,1926,593,220,103,1567,347,28,131,1607,184,134,56
SA2166,1926,144,92,18,1303,122,35,53,4059,828,204,28,2184,706,211,103,1708,435,50,130,2497,203,91,71
scrA,3485,2941,2810,1974,2432,251,119,71,11856,6504,4555,3847,876,688,580,575,2162,2708,2748,2678,1485,201,103,85
SA2168,1480,321,341,92,959,142,26,3,3256,946,387,40,740,282,168,61,622,343,79,222,347,53,47,16
SA2169,2224,286,377,115,995,77,16,26,3151,982,311,85,1640,414,183,66,1686,419,61,181,1300,29,28,25
SA2170,3664,2171,2130,653,2369,1398,673,242,9893,7760,5689,1825,1398,1317,987,733,1275,1271,478,916,1610,585,559,288
SA2171,868,391,603,187,524,436,227,154,2595,3282,2351,472,1156,1204,1224,806,1056,1271,951,1248,2926,1196,2073,1402
gltT,35265,31864,38980,25119,18732,6936,2307,756,88786,74621,59398,41458,26992,27681,27621,24499,23359,28648,34162,29574,23844,3460,1359,539
SA2173,738,44,30,4,438,13,0,2,2349,254,44,9,658,195,90,12,660,202,14,56,2312,109,49,23
SA2174,4128,1240,1571,582,3844,468,82,30,14465,7460,5928,2649,3952,2601,2189,1918,3504,3036,2764,2646,4337,472,281,134
SA2175,1498,260,484,77,527,96,32,20,1873,1521,762,84,1127,633,538,335,1027,825,270,633,762,57,83,49
narK,306,227,196,147,254,131,96,61,906,462,318,250,505,734,627,471,1202,1559,761,1165,4278,3222,2277,1373
SA2177,162,83,73,58,124,46,23,21,459,277,193,136,146,86,64,51,116,99,53,98,114,25,16,21
SA2178,192,55,101,27,87,20,17,5,352,377,239,69,197,127,78,56,160,191,37,123,135,22,29,18
SA2179,3552,798,457,123,1634,167,77,51,7592,2365,888,270,2482,1387,818,351,2912,2980,713,1717,2923,2517,2130,578
SA2180,6364,1285,677,220,2354,235,101,79,13171,3143,1200,527,4417,1839,1117,514,4786,3812,1031,2262,3881,3455,2480,707
SA2181,3838,560,282,102,1418,83,36,22,8723,1504,581,232,2720,893,529,263,2920,2233,486,1207,2311,1771,1091,335
narI,1080,89,99,14,306,24,20,9,2079,596,221,59,793,576,303,123,1009,1216,245,704,983,880,642,259
SA2183,40,17,22,5,28,9,6,4,74,80,30,14,114,258,138,68,233,639,147,317,414,581,346,104
narH,246,162,151,89,246,107,71,32,530,367,206,178,759,1523,704,447,1518,3675,1025,1589,3328,3972,1307,784
narG,261,200,148,100,390,95,45,23,710,377,252,304,1636,1422,682,532,3787,3265,1288,1637,10118,3423,1097,887
nasF,731,746,626,520,427,121,69,76,1555,1356,963,1106,772,1111,698,631,1210,2111,993,1136,3833,2763,1127,1480
nasE,188,164,150,115,100,25,10,9,338,310,235,270,283,390,197,187,364,603,232,291,1344,531,141,134
nasD,428,389,321,297,289,37,21,16,1076,697,586,678,761,750,453,373,1263,1289,594,624,4361,1004,299,354
SA2189,26,4,3,1,28,5,0,2,71,18,5,3,104,34,24,11,166,57,18,21,554,23,26,52
SA2190,565,177,74,19,676,102,48,21,1679,327,95,35,646,212,80,31,293,105,21,43,496,46,15,15
SA2191,1931,1674,1694,1028,1576,847,423,168,4671,3346,1967,984,2172,2148,1993,1157,2564,3073,2979,3293,14173,5919,2553,643
SA2192,16,17,10,8,16,25,9,4,71,31,16,9,46,33,13,4,47,71,21,77,145,34,77,3
SA2193,472,178,112,20,606,279,144,58,1380,378,147,57,304,151,98,36,240,135,30,96,424,109,111,73
SA2194,1867,1009,608,133,2242,1509,556,199,4987,2604,1175,304,1784,1247,816,378,1614,1470,286,889,2562,996,527,149
