GeneName,dCshA_t000_v1,dCshA_t150_v1,dCshA_t300_v1,dCshA_t600_v1,PR01_t000_v1,PR01_t150_v1,PR01_t300_v1,PR01_t600_v1,CTA_t000_v1,CTA_t150_v1,CTA_t300_v1,CTA_t600_v1,CTA_t000_v2,CTA_t150_v2,CTA_t300_v2,CTA_t600_v2,dCshA_t000_v2,dCshA_t150_v2,dCshA_t600_v2,dCshA_t300_v2,PR01_t000_v2,PR01_t150_v2,PR01_t300_v2,PR01_t600_v2
dnaA,20610,7407,4651,1807,10637,987,300,223,38208,16940,6946,2545,17088,7753,3998,1869,17982,8988,1968,4267,14483,1591,600,459
dnaN,15592,6452,3949,1064,10223,3518,1548,754,31637,18513,7544,1853,12336,7230,3683,1391,12464,8486,1330,3976,14267,3579,1741,763
SA0003,2805,651,325,146,2592,758,788,689,8701,1125,541,289,2117,500,319,206,2069,592,187,355,2786,487,283,265
recF,12740,1993,1082,411,10914,2906,2016,2099,33278,4318,2001,937,9839,2348,1232,808,8650,2265,592,1138,10630,1477,1121,1030
gyrB,21278,6854,3131,1377,24504,8520,6543,7045,48947,14174,5368,2899,23406,9001,3844,2131,17950,7904,1327,3059,19691,5403,3236,2633
gyrA,27176,19445,7610,2163,35431,20597,11345,8920,77405,41064,11959,4280,26636,21200,7808,2638,22377,20222,2198,7065,33319,20730,6657,3590
SA0007,2673,253,167,111,3419,144,210,380,9141,377,203,178,2482,250,142,103,2032,264,137,163,3679,157,101,121
hutH,13404,18277,15626,15110,12345,11597,9836,7534,33929,37489,32370,36374,5225,6626,7298,9309,3452,5666,5680,5648,952,222,127,118
serS,12923,10702,8126,3163,17370,13283,8504,3519,30806,23661,14996,8214,7671,7003,5169,2924,6873,8794,2597,5915,19264,15134,9361,3466
SA0010,2644,748,673,374,2348,151,61,35,7153,1078,638,350,2384,693,536,376,2136,794,526,672,2253,156,101,69
SAS001,2032,766,712,377,1844,158,60,39,4220,1113,699,450,1609,661,493,338,1525,777,408,550,1326,128,90,49
SA0011,909,381,247,215,828,47,22,28,2892,1232,663,364,1056,577,425,301,863,445,248,335,833,93,42,27
SA0012,7108,1267,1117,386,5053,190,50,124,15736,3832,1832,730,5405,1868,1232,667,4683,1967,947,1319,5000,207,84,99
SA0013,32116,21888,17898,14345,21120,4497,2033,1519,70508,44190,29563,29334,26584,20026,16429,14254,23797,22546,17660,19132,20444,4375,1958,1365
rplI,10422,7825,6763,4298,6962,2490,998,667,26266,17438,12645,9716,8546,8230,7223,6693,7288,9237,7641,7681,7232,2894,1352,882
dnaC,26443,25484,18024,15374,21342,11709,4496,2638,58349,46004,27981,25952,22203,21692,16570,14601,18960,22314,17033,18315,16411,8842,3699,2057
purA,16264,4507,2545,1446,31269,14115,10309,7368,50960,12393,6332,4140,26233,9902,6836,5502,15808,5066,2212,2993,20444,4327,2166,1447
SAtRNA01,288,21,49,40,409,59,111,232,631,23,19,30,195,38,27,27,124,24,45,33,255,17,18,14
SAtRNA02,585,46,42,49,898,71,123,223,1818,42,41,50,376,71,41,44,268,49,41,49,501,31,12,8
vicR,6966,2639,1812,1949,6222,778,350,213,15576,5940,3847,5408,6445,2420,1293,1260,4744,2236,1759,1533,5282,627,253,121
vicK,15134,9344,6755,7577,12375,2524,1006,544,36558,20093,12784,19255,13034,7232,5079,5163,10501,7563,7317,5848,12711,2556,885,467
SA0019,13727,10046,8166,6231,9906,3764,1198,434,37091,24530,14851,16054,10362,7797,5602,5266,9327,8681,7768,6708,10868,3733,1313,679
SA0020,7186,6507,4802,3575,5268,2966,1014,436,16738,14262,8476,9025,5560,5258,3444,2877,5107,5661,3963,3915,5481,2917,1088,422
SA0021,3249,543,255,99,4215,405,219,91,8119,912,372,193,2516,545,360,135,2039,442,121,220,2653,331,160,36
SA0022,7080,9790,7995,6997,5757,6248,5064,3071,15432,19324,15833,15994,8290,9111,8818,8280,6894,9500,7560,8572,8420,6498,5122,3108
orfX,2112,737,448,219,1705,559,413,263,2880,1148,609,445,1558,339,217,128,1393,340,97,179,1327,247,245,146
SA0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bleO,1,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aadD,1,0,2,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mecA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mecR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mecI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xylR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ermA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant(9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnpC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnpB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnpA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccrB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccrA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kdpE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kdpD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kdpA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kdpB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kdpC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAS003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0078,2592,421,546,87,1119,268,79,52,4488,2303,1121,174,2585,895,471,170,2083,900,163,494,1704,198,324,158
SA0079,547,559,438,327,389,189,158,173,1147,1001,681,665,543,434,362,382,495,530,371,473,381,178,84,52
SA0080,363,344,293,190,305,156,98,113,1089,981,678,420,598,510,453,369,499,580,397,470,408,119,94,65
SA0081,127,104,87,43,80,38,33,17,421,351,245,101,189,134,162,107,140,191,121,141,136,33,29,11
SA0082,104,91,100,62,171,257,255,347,314,303,235,174,130,133,114,118,106,140,141,144,126,91,125,102
SA0083,331,305,256,212,454,586,537,881,846,726,542,471,265,282,292,336,238,393,299,354,375,243,211,208
SA0084,1413,386,300,232,1029,468,499,803,4051,928,670,534,750,385,313,348,587,461,323,425,1018,232,236,196
SA0085,6119,2275,1612,967,7524,234,154,186,15066,5547,3308,1938,6910,2967,2059,1186,5742,2657,1301,1882,5164,316,109,117
SA0086,12,0,0,0,7,0,0,1,10,1,1,0,40,2,0,0,27,3,0,3,12,0,0,0
SA0087,441,34,29,6,248,6,4,10,934,96,37,4,442,79,31,15,310,60,22,30,260,4,8,7
SA0088,760,104,109,42,555,32,9,10,1264,351,155,49,873,231,135,91,648,197,96,170,564,17,26,14
SA0089,1850,670,453,217,2537,367,98,45,4709,1586,917,519,1921,750,535,331,1546,717,342,489,2336,263,121,88
SA0090,606,150,180,48,542,92,17,8,1247,818,368,120,759,465,235,109,537,350,98,233,667,116,58,22
plc,284,223,249,183,242,186,171,109,1855,2081,1918,1853,502,473,534,511,328,339,294,284,1795,1713,1861,1244
SA0092,27,4,1,0,52,5,0,0,81,12,9,3,34,11,6,2,24,9,1,3,39,5,6,5
SA0093,37,8,5,0,36,6,3,2,99,20,13,1,53,15,9,5,28,14,5,6,46,4,12,2
SA0094,82,17,15,9,60,3,2,3,196,97,46,14,129,58,25,22,93,51,32,29,80,8,10,5
SA0095,342,153,209,57,145,14,1,3,734,523,315,84,445,290,233,118,384,425,252,355,179,26,9,12
SA0096,745,402,460,181,277,18,3,7,1535,1040,644,217,766,601,478,317,783,918,582,796,362,39,17,7
SA0097,6352,3732,3369,1089,2216,124,59,45,12772,6884,3528,1165,5113,3534,2433,1107,4935,4655,2065,3432,2247,168,75,53
SA0098,1075,1385,1336,1187,560,775,835,676,2788,3662,3089,3733,697,838,671,765,537,747,692,728,489,329,281,257
SA0099,1226,1268,1382,1031,747,814,585,596,3008,3704,2947,2396,793,899,781,753,603,844,622,710,564,362,363,282
SA0100,11882,1736,699,248,7989,630,225,226,19757,1140,310,229,5846,2191,1016,408,7482,2201,443,979,6091,590,221,156
SA0101,3,2,2,1,2,0,2,1,15,6,3,3,9,4,9,0,10,6,6,8,59,21,21,9
SA0102,865,1065,1122,1040,544,713,694,674,1552,1791,1358,1479,526,648,737,867,621,1421,1590,1479,5460,5555,6061,6605
SA0103,19,13,17,7,6,5,1,0,35,58,52,12,14,18,18,17,13,15,24,19,12,1,3,2
SA0104,648,140,79,4,436,35,14,4,1430,385,113,19,584,155,66,21,611,265,41,125,550,44,24,13
SA0105,778,100,143,31,429,61,12,14,1581,493,284,80,323,185,131,104,373,202,76,129,477,54,57,32
lctP,23435,17773,15290,8323,16754,6564,3522,1133,50208,22549,11705,6526,16721,12985,10386,7716,15192,15094,9202,12575,4949,1262,737,398
spa,748918,1357949,1187987,1758922,582498,1316987,1132063,1926248,106033,174953,162853,242353,583260,804417,866050,1257726,717233,1372278,1782976,1500571,680550,904665,1108112,1532009
sarH1,3990,772,679,47,2465,667,133,40,3191,2491,709,41,4594,2622,1168,198,5406,4059,261,1808,6199,1000,963,222
sirC,4934,3360,2036,548,3354,1585,725,214,12854,5377,2252,580,2781,2109,1443,617,4684,4672,1479,3222,1982,400,214,97
sirB,1374,1408,935,425,1430,1496,865,266,1963,1761,1038,439,1795,1551,1208,547,3762,4079,1451,3132,450,273,189,122
sirA,5672,4801,4505,1106,3154,3670,1810,314,7198,6912,4139,769,5367,5298,5197,2558,12488,18067,7604,16078,1072,662,537,254
SA0112,39,9,7,6,68,59,89,162,113,118,110,148,57,61,55,75,71,34,45,36,10,6,5,13
SA0113,56,11,8,11,71,83,97,122,149,141,113,171,74,65,85,77,82,50,64,40,23,7,7,7
SA0114,119,74,67,60,90,122,78,132,334,290,246,319,140,171,149,174,213,162,148,142,68,15,14,19
SA0115,93,84,76,60,93,91,69,101,291,261,214,243,121,109,103,138,158,180,135,116,45,22,16,8
SA0116,212,245,157,127,175,171,101,118,554,520,446,473,256,235,228,204,299,367,259,269,104,63,50,24
SA0117,488,612,479,349,267,273,145,165,1115,1306,989,931,492,594,486,466,548,865,615,658,237,147,75,42
SA0118,272,429,380,314,175,188,123,106,645,847,638,846,324,381,352,392,331,602,422,521,156,108,60,38
SA0119,446,627,623,421,283,399,250,185,1029,1430,1136,1194,363,597,548,522,436,901,609,808,221,165,141,63
SA0120,483,670,581,511,330,483,379,285,1152,1676,1249,1351,493,659,645,646,492,876,722,903,234,221,148,132
SA0121,102,18,16,5,184,23,9,0,606,80,29,12,75,26,16,5,51,15,4,6,94,5,7,2
butA,1926,2386,1497,1215,2929,3799,3313,3293,5882,5775,3416,2726,2070,2069,1626,1290,1385,1701,988,1440,5125,5351,4824,4148
SAS004,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,4,0,1,1,0,1,0
SA0123,35,0,4,0,20,1,1,0,73,8,1,1,53,7,3,3,43,4,2,3,52,2,0,0
SA0124,63,7,3,1,54,2,2,0,118,11,5,0,61,11,8,1,43,10,3,5,75,5,1,3
SA0125,188,48,46,13,118,13,6,1,435,98,51,6,141,51,29,19,138,69,21,51,162,14,8,0
SA0126,105,47,52,26,53,8,0,1,199,97,53,17,133,71,46,17,131,97,41,70,121,10,4,4
SA0127,1255,788,1996,750,407,172,35,23,1760,3395,2950,1052,1148,1304,1434,1388,1101,1675,2040,2130,757,256,235,54
sodM,4631,3987,1941,377,3536,1442,347,72,9411,7573,2998,474,8944,9183,5885,1993,4868,6235,890,3625,4772,2656,881,219
SA0129,2553,2177,1685,876,1972,334,70,72,4905,3130,1804,1077,2851,2636,2055,1540,2473,2811,1837,2382,3960,574,262,186
SA0130,2099,356,318,106,1297,90,77,131,4947,900,585,371,1501,326,200,183,1360,375,146,200,1145,90,116,148
pnp,185,119,65,65,181,60,22,3,434,233,142,123,97,55,59,28,147,130,44,73,323,111,32,12
SA0132,898,504,522,191,494,112,19,16,1896,1567,866,278,671,601,463,229,659,769,352,629,837,145,91,45
dra,2890,991,498,336,3793,473,142,102,6346,2120,788,468,2691,1254,614,315,1824,1105,349,650,2939,684,168,86
drm,11512,6010,2967,1407,13623,4114,1194,654,26764,11739,4631,2150,10794,7073,3905,1626,7869,6464,1781,3574,13043,5140,1530,589
SA0135,207,167,123,68,212,194,135,100,573,375,244,109,201,199,130,86,172,171,85,129,240,191,150,120
SA0136,137,89,104,38,126,120,70,67,357,276,184,61,135,137,95,49,96,131,53,92,153,124,125,97
SA0137,130,124,89,44,146,162,116,68,388,310,197,78,141,133,100,55,106,145,52,89,185,146,130,115
SA0138,171,141,240,78,138,167,108,65,462,438,387,120,184,210,266,190,131,240,279,233,169,149,209,237
SA0139,194,161,136,160,163,71,45,54,653,380,304,302,248,143,131,147,213,188,187,164,160,44,25,16
SA0140,1415,610,414,317,1190,292,165,95,3162,1050,715,570,1192,481,365,344,1053,534,411,444,1241,249,158,73
SA0141,645,112,61,25,453,25,8,6,2528,354,143,55,463,109,73,42,397,113,57,65,512,23,13,11
SA0142,2550,342,229,76,1741,70,31,43,8099,1184,470,196,2222,525,281,159,1718,441,134,251,1845,79,46,29
adhE,869,275,182,178,489,63,45,37,3031,737,512,599,611,726,651,606,712,883,550,736,26769,30097,23432,11761
capA,2849,133,128,25,2726,155,48,34,27882,2880,1416,293,1057,107,57,40,881,74,21,46,1904,104,78,70
capB,3704,424,305,85,4634,544,253,162,35609,5689,2953,1057,1525,261,129,83,1068,137,31,83,2583,267,193,98
capC,3795,464,373,94,4339,674,183,124,34906,8056,3814,988,1657,330,195,91,1089,256,44,127,2430,332,279,153
capD,5764,1857,1024,395,7591,2198,1007,457,55634,18412,8086,3938,2311,898,489,274,1627,585,182,316,3373,959,517,244
capE,2933,1351,739,243,3641,1687,602,245,24753,13544,5293,2307,1173,712,387,166,759,470,128,247,1517,717,359,153
capF,3969,2601,1606,500,4735,3356,925,340,36236,29527,12041,3757,1424,1367,717,356,905,903,232,488,2051,1273,663,257
capG,3501,3820,1772,650,4684,5605,1944,578,30633,38471,14483,5465,1406,1825,977,428,903,1235,262,592,2149,2139,952,322
capH,1690,1845,1000,273,2169,3081,967,327,15595,23855,8452,2385,611,1025,510,237,425,725,129,363,1140,1224,582,149
capI,1579,1047,961,116,1348,1993,443,144,11888,29388,10592,1288,615,1010,582,209,485,817,111,481,1169,932,728,180
capJ,1570,1557,1363,298,1369,3205,1134,358,9965,29363,11995,2366,675,1148,679,226,509,929,178,498,1068,1114,1054,272
capK,534,414,575,91,360,927,478,160,2609,16406,6863,979,321,684,394,135,258,579,90,387,482,480,875,187
capL,4601,9973,7331,2184,5694,19170,12342,3595,36689,100630,57255,17834,1535,3331,2501,1099,1303,2769,713,1796,2776,5473,4107,1103
capM,2424,4350,4154,1205,2747,9827,6412,2426,14543,50886,33535,9682,1070,2198,1787,857,762,1661,407,1171,1375,2774,3201,858
capN,3366,6814,6401,1740,3786,13579,9436,2560,28123,83541,61195,15830,1310,2755,2679,1129,952,2378,756,1828,2218,4400,4822,1273
capO,5573,13494,13985,5054,6891,28481,26123,9916,43410,146357,125929,45536,2043,4491,4908,2598,1629,3827,1416,3364,3351,7561,9390,3086
capP,5501,12235,12848,5302,6683,26626,26772,10923,36852,127494,117724,43720,2530,4367,4888,2641,2117,3817,1499,3513,3847,7658,10688,3325
SA0160,530,72,38,3,302,20,4,11,755,120,27,8,404,162,40,30,621,198,21,56,172,18,11,13
SA0161,313,27,13,2,132,1,3,0,327,45,9,6,236,56,19,7,398,101,6,27,83,0,1,4
aldA,60027,72997,60131,41980,38385,38850,24014,11268,83262,92101,76118,55886,33430,42356,43513,48610,21652,36073,23679,31896,2987,1907,1319,749
SA0163,801,237,368,83,391,192,39,7,1303,647,415,100,461,271,188,170,466,333,149,268,410,24,25,19
SAS005,5,0,1,1,14,4,5,3,36,3,0,0,3,0,0,0,2,0,0,0,6,0,0,0
SA0164,23,2,2,1,23,4,2,0,54,7,11,2,9,3,0,2,4,5,1,2,17,2,2,1
SA0165,1128,955,1246,1124,1343,2136,2160,3238,890,933,928,885,611,452,513,622,761,855,971,936,1018,662,865,1147
SA0166,189,182,225,206,236,292,256,334,95,110,99,122,103,107,90,130,184,155,182,169,155,85,113,161
SA0167,354,332,359,378,389,432,429,538,304,274,228,279,226,191,186,221,323,281,335,280,205,142,181,184
SA0168,241,267,279,290,271,306,249,238,266,242,223,259,205,191,169,212,250,257,301,280,185,99,139,132
SA0169,691,793,720,636,603,607,461,511,997,754,492,574,465,435,414,462,497,752,649,685,485,274,318,275
SA0170,2754,379,328,156,2325,221,169,181,18073,1160,597,247,2816,491,285,194,1549,486,285,349,885,86,93,98
fdh,113,58,48,53,148,66,81,99,536,242,199,343,117,56,56,71,64,55,44,47,67,18,12,23
SA0172,916,132,149,55,554,22,12,10,4468,625,319,164,1289,294,175,126,615,210,127,153,726,21,19,30
SA0173,155533,225564,235211,222628,68270,40581,14844,8274,608191,780471,632339,650045,67410,89548,94430,115342,73263,123961,185090,134277,81685,44446,19645,7476
SA0174,11486,15738,19089,15039,4543,6575,2124,737,47201,78857,64531,53644,4379,7355,7909,9918,5393,10585,15716,11204,7368,7012,3827,982
SA0175,474,562,459,443,643,674,878,782,1823,1317,1064,1295,570,1135,1184,1280,607,1114,998,1024,5900,5232,5050,5258
SA0176,262,294,296,239,173,88,50,14,683,615,509,527,293,313,295,318,271,313,352,363,254,119,79,36
argJ,404,493,396,428,296,148,88,46,990,829,675,979,441,417,366,427,359,440,521,486,354,188,114,75
argC,126,131,141,99,97,44,22,7,420,362,272,234,179,137,148,164,140,166,202,176,155,71,40,23
SA0179,129,101,67,95,125,42,25,21,500,208,154,160,193,153,87,123,141,101,91,92,155,53,37,23
SA0180,4736,1151,768,226,4765,753,109,35,12590,3467,1204,268,3400,1465,783,369,3354,1640,459,877,4724,455,198,109
SA0181,9709,12444,13493,13479,5561,8494,9035,10830,16904,21017,20358,22443,3513,4681,5222,6827,3658,6377,8269,6988,1728,1450,1476,1670
SA0182,37419,46119,52832,52688,23026,32388,27489,31436,53247,73902,72535,76839,14728,20541,22539,30560,14565,27139,30009,29584,5008,4689,5716,6694
glcA,13371,17259,15504,11720,27091,24146,14150,6455,40313,41533,30455,24547,6043,7417,6816,5648,5924,9109,6545,8081,14710,10811,7416,3456
SA0184,4421,2796,3270,2966,2251,1332,839,479,30272,43779,43716,53837,5589,7328,8400,12571,3182,2535,2909,2589,1680,1285,1296,778
murQ,3069,2708,2483,3240,1839,1318,1028,652,21687,33231,32650,56619,4453,6227,7563,12072,2234,2172,2408,2198,1342,1212,1163,737
SA0186,4689,5224,4854,5853,3019,2568,2366,1578,32581,53632,54071,89480,6148,9732,11932,18144,3609,4859,5065,4516,2462,2369,2108,1511
SA0187,3052,3420,3933,2747,1639,1608,1032,573,24854,40380,41352,44084,3791,5887,7060,10065,2487,3777,3568,3517,1593,1533,1659,1033
SA0188,68,13,27,4,53,13,4,3,129,53,22,1,46,17,12,8,48,36,7,12,38,0,4,2
hsdR,3258,1512,1480,925,2978,489,157,64,7518,4019,3087,2366,3032,1477,1419,1214,3145,2200,1929,1874,3563,797,493,177
SA0190,43,10,4,0,14,4,1,0,56,33,5,0,53,19,13,2,51,29,5,11,43,3,0,0
SA0191,201,8,10,1,89,2,1,0,441,33,13,3,163,23,7,4,172,19,0,8,106,1,2,3
SA0192,202,11,6,1,132,1,2,0,400,34,10,6,134,17,14,7,162,16,5,4,110,1,4,1
SA0193,377,73,55,13,245,10,6,0,909,164,90,20,420,94,59,39,346,110,47,72,331,19,11,8
SA0194,1177,1978,2109,2433,1415,2459,3601,4162,2689,4523,4597,6019,1513,2280,2866,3715,1188,2138,2655,2233,1778,2617,3435,4264
SA0195,53,9,9,3,30,8,12,8,50,23,17,12,65,25,19,10,66,30,10,17,61,13,24,16
SA0196,9,0,0,1,6,2,3,1,9,18,6,0,34,9,4,3,27,11,4,13,16,3,7,6
SA0197,108,25,19,8,141,20,15,17,251,101,63,21,186,76,52,22,136,68,15,42,126,43,52,31
SAS006,10,1,2,0,10,2,0,3,22,17,6,3,11,9,7,0,10,7,2,5,16,5,5,14
oppF,2409,1097,1150,1064,1352,123,65,47,2211,1423,1125,1041,1366,719,644,640,2451,1575,1439,1326,1608,202,98,101
oppB,283,208,173,66,214,119,63,10,257,194,137,62,148,123,117,57,276,332,145,252,258,103,55,32
SA0200,363,296,233,164,303,159,65,12,401,340,249,233,204,189,137,116,366,425,244,340,328,129,95,23
rlp,846,659,573,388,665,359,180,52,969,740,557,463,508,457,351,259,819,902,534,651,656,343,218,73
SA0202,1641,1854,1663,1559,1218,860,478,264,2566,2355,2100,3045,1085,1088,1070,1308,1361,1863,1764,1591,1080,788,526,232
SA0203,295,54,67,19,239,23,15,19,1229,316,234,51,251,126,115,77,180,157,71,103,167,17,25,11
acpD,2336,1229,938,176,869,553,239,150,6736,5004,2791,506,2425,2365,1888,977,1959,2195,608,1437,1060,465,399,116
SA0205,376,142,124,128,286,56,45,65,752,142,91,166,184,54,55,50,159,58,58,61,172,16,25,18
msmX,54123,24414,9128,1726,36197,13616,5854,1095,56725,16738,5473,1180,2143,1323,645,193,5129,3682,393,1680,3353,1011,319,88
SA0207,71963,32755,15510,3570,47246,19767,6861,1568,61830,27557,10112,2483,3937,2677,1349,547,8913,7073,1228,3519,5157,1686,737,214
SA0208,63463,42232,28142,10496,37192,23847,9792,3485,55413,40485,18453,7730,4041,3892,2333,1592,8986,9999,3821,6605,5216,2115,1201,441
SA0209,34734,25228,22050,5852,16417,13927,4738,1337,34147,33285,16058,4426,2150,2551,1791,1072,4942,7300,3090,5136,2992,1419,912,346
SA0210,75826,108474,71612,42649,50980,58580,40054,18640,63010,95499,51872,33270,6549,9183,6995,5010,13831,22946,10696,16631,7703,6807,4022,1694
SA0211,65087,111488,75516,47566,41869,63096,46044,21888,57388,100261,58543,39288,4969,8014,6801,5334,11315,21835,11523,16977,6610,7627,4354,1992
SA0212,72868,146965,114995,69086,41291,86949,68322,34165,69857,146262,99252,61806,5094,9666,8874,7153,12682,28477,18072,24661,7460,10255,6769,3041
SA0213,457,149,304,57,244,80,22,6,1431,1953,1182,220,3301,3194,2812,1667,1940,2278,1031,2172,1787,241,419,120
uhpT,1584,1926,1659,544,670,1350,701,228,1496,1539,775,234,481,233,190,107,1181,573,256,441,367,220,195,48
SA0215,1004,347,262,110,561,86,24,29,2327,1156,744,478,890,506,307,197,950,650,171,335,1483,207,82,38
SA0216,2014,424,257,96,959,32,13,12,4207,912,314,143,1792,563,250,129,1959,625,177,328,2246,92,43,64
SA0217,1445,237,97,44,705,11,2,3,3164,375,141,49,1099,216,91,44,1145,303,64,143,1288,46,16,30
pflB,1855,1818,1509,1217,2729,2932,2730,2439,3639,3211,2263,2002,3273,7907,7058,6200,14508,30537,18956,23925,536230,529917,432174,365115
pflA,918,874,760,558,1382,1481,1347,1285,1795,1600,1173,1069,1325,3547,3066,2838,4887,13749,7545,10613,210505,221306,198106,174992
SA0220,1970,208,136,32,1305,43,10,8,4918,520,175,35,1589,433,190,99,1496,552,143,258,4210,1571,878,282
SA0221,1338,165,115,36,527,26,13,14,4967,663,152,51,2044,496,169,73,1590,619,124,262,926,46,32,58
coa,1745,1235,654,471,5124,2659,1246,612,3541,1409,783,512,4782,2541,1671,1021,3816,3231,1126,2127,2756,1295,778,367
SA0223,600,1011,904,875,452,829,892,812,1172,2184,1709,1907,487,754,732,813,404,767,586,719,139,133,87,65
