gene_ID,C1_81,C1_82,C1_83,D1_81,D1_82,D1_83,E1_81,E1_82,E1_83
SKAG_01833,2,3,1,2,7,7,3,6,3
SKAG_01832,289167,275299,229178,532238,593900,716533,495165,383305,368750
SKAG_01831,109832,110632,94743,216820,236564,301403,203683,150513,152917
SKAG_01830,183280,172116,147508,349519,370242,456466,306705,237419,255254
SKAG_01837,4,1,4,2,0,9,0,6,2
SKAG_01836,0,7,3,2,0,2,2,4,0
SKAG_01835,930,919,946,670,739,859,648,609,557
SKAG_01834,943,905,623,637,1135,787,1532,808,389
SKAG_01549,6547,5473,5774,2023,3245,3795,2846,5188,3854
SKAG_01548,11511,12781,11401,5700,5871,7229,6331,6960,4639
SKAG_00838,127509,122376,117475,46989,55608,64783,72729,94527,58731
SKAG_00839,91946,83294,85698,37748,46113,53306,50476,70070,43655
SKAG_01543,3843,3697,3370,1847,1834,2328,1934,2577,2054
SKAG_00835,112843,109294,114858,54843,66646,73719,65412,89906,64570
SKAG_01541,765,663,603,294,500,649,548,876,500
SKAG_01540,33869,35386,39747,10754,11737,13953,13077,16567,11143
SKAG_00830,76217,75951,75647,31504,42627,45648,43557,61772,38706
SKAG_01546,12712,13842,17044,6923,7983,9802,8109,9174,7481
SKAG_00832,288088,270540,263352,136838,167377,175394,160527,233356,146223
SKAG_00833,116866,117223,107535,48621,56414,65406,59464,82468,48646
SKAG_01613,0,0,0,0,0,0,0,0,0
SKAG_01612,0,0,0,0,0,0,0,0,0
SKAG_01611,0,0,0,0,0,0,0,0,0
SKAG_01610,1,1,1,1,1,1,1,1,2
SKAG_01617,120,111,126,98,78,100,72,99,89
SKAG_01616,421,353,321,254,200,314,247,303,307
SKAG_01615,159,150,154,94,101,150,133,103,155
SKAG_01614,1,1,1,1,1,1,1,1,1
SKAG_01619,1398,1199,1213,712,801,1009,957,927,758
SKAG_01618,561,472,449,257,338,398,325,375,323
SKAG_00238,191226,198245,188841,79836,86885,106663,88924,109337,75829
SKAG_00239,8592,9032,9206,4180,5168,6474,4884,7070,4578
SKAG_00232,56745,67972,63480,8346,9664,10515,13510,17404,9399
SKAG_00233,65633,69385,67555,24492,26947,34447,31534,37764,26387
SKAG_00230,65103,72126,74364,21361,22923,26689,27162,27645,18736
SKAG_00231,166093,177425,184851,62992,68081,81233,69907,77773,59156
SKAG_00236,38220,39832,35831,17130,21825,23630,22069,26290,16321
SKAG_00237,126352,139119,131369,47818,74452,65958,73205,71908,44073
SKAG_00234,14238,15924,14014,5563,6269,6797,6725,7279,4997
SKAG_00235,26366,27984,24890,12447,15009,16959,16402,17332,11865
SKAG_00177,25582,26294,27038,8358,10687,12872,12672,19679,11768
SKAG_01729,179853,172345,165625,46549,52733,61997,55101,73633,45011
SKAG_01728,41434,43868,44470,9774,12862,17525,10872,22388,18103
SKAG_01727,10794,11372,11798,4189,5266,6494,4590,4951,3689
