gene_ID,C1_81,C1_82,C1_83,D1_81,D1_82,D1_83,E1_81,E1_82,E1_83
SKAG_01269,112899,115162,113316,48257,57542,70194,56466,81695,58044
SKAG_01262,6263,6063,7034,2499,2628,3150,2494,2909,2327
SKAG_01263,7422,7404,8046,2705,3109,3700,2778,3334,2606
SKAG_01260,131,120,121,52,88,131,68,112,85
SKAG_01261,1149,1031,1101,507,666,983,604,896,749
SKAG_01266,18920,21141,20331,9882,11053,13952,11063,15766,9353
SKAG_01267,49487,51708,48011,24464,29187,34400,28960,39013,25812
SKAG_01264,16718,17639,16187,4393,5223,6244,5396,7258,4249
SKAG_01265,19957,20509,20426,9461,11340,14003,10241,15648,10542
SKAG_01446,4086,4318,4314,999,1073,1566,1537,1936,1242
SKAG_00600,10828,11933,11790,2071,2347,2721,2932,4134,2746
SKAG_01338,10216,9488,9493,5224,7175,9714,5512,7632,6194
SKAG_01339,4622,4997,4803,1611,2544,2861,2674,3079,1532
SKAG_01467,4108,4213,4275,1914,2179,2670,2112,2760,1967
SKAG_02410,425118,393246,388392,250026,318945,376250,316676,512880,354604
SKAG_02147,95,94,92,35,44,54,45,55,44
SKAG_02412,127734,133049,153993,34103,48923,52837,54083,94221,44991
SKAG_00855,29481,26260,25623,10984,14236,16095,16430,27538,17940
SKAG_01451,9118,7456,7639,5884,7223,8699,6696,8434,6769
SKAG_02145,191,161,185,31,57,93,61,71,49
SKAG_00512,1521,1307,1409,781,899,1269,934,1014,807
SKAG_02414,138259,131756,127102,72301,87309,92580,85735,116148,79368
SKAG_01981,18687,18822,19541,7635,10940,14836,8028,12601,9172
SKAG_02143,244,232,253,59,120,202,134,154,107
SKAG_01452,22050,18499,18509,14667,16879,21079,16166,20278,16335
SKAG_02140,134,185,99,24,55,86,81,102,35
SKAG_02768,163,152,144,63,109,109,104,116,71
SKAG_02769,296,277,375,101,197,214,164,198,158
SKAG_02766,584,384,406,296,455,716,358,526,420
SKAG_01455,10844,11685,11591,6066,7268,7919,6880,7095,5088
SKAG_02764,1439,1590,921,519,1074,954,992,1343,377
SKAG_02141,5,2,4,0,7,3,4,5,2
SKAG_02762,5083,4959,5325,2818,3337,3986,2912,3485,3191
SKAG_02763,7386,7633,8420,3673,4364,4809,4139,4692,4010
SKAG_02760,2506,2914,3019,765,915,1049,1070,1338,898
SKAG_02761,12020,11062,12514,3927,4311,4434,3987,4946,4115
SKAG_02021,1083,878,747,208,303,375,393,537,251
SKAG_01985,35044,33622,35218,13780,21086,23870,18077,29050,18618
SKAG_02020,2764,3010,2535,1676,1763,2252,2237,2068,1242
SKAG_01984,2074,1494,1664,898,1460,1955,944,1819,1405
SKAG_02023,1,1,1,0,0,1,1,1,0
SKAG_01459,17441,12107,11575,5511,6280,8452,6598,8102,5319
SKAG_02022,2420,2000,2013,481,701,925,973,1278,735
SKAG_01458,54493,43126,35658,15787,21849,24738,22295,26703,14226
SKAG_02025,109204,112577,110288,19054,25827,31809,30731,45264,24499
SKAG_00102,56531,55437,45299,29767,27379,31206,26483,29168,23246
SKAG_02024,0,0,0,0,0,0,0,0,0
SKAG_00451,46316,53608,49285,13430,15242,17040,17211,19660,12715
SKAG_02027,33,55,26,11,182,44,132,84,20
SKAG_00104,492259,480562,427077,255684,274280,318065,239426,267192,201035
SKAG_01462,15480,14196,14018,5988,7152,8493,8259,11884,8142
SKAG_02026,8230,9901,9433,1609,2121,3002,2136,3386,1373
SKAG_00105,326203,326422,285527,141438,146874,167258,146375,160493,106053
SKAG_00106,16,17,5,3,13,17,19,5,3
SKAG_00850,6453,3,3,2,2923,2,3,3,2727
SKAG_00107,32069,30711,29962,6673,7093,7960,9921,11267,6560
SKAG_02160,49743,53045,54290,19676,23949,27482,23169,26699,19572
SKAG_02161,2853,5253,1543,442,1585,844,2719,1941,404
SKAG_02162,42335,42832,38754,17599,17746,20993,18722,23575,16059
SKAG_02163,158546,153960,145004,83919,90844,106640,81270,95523,75403
SKAG_02164,92698,90014,86378,45519,52087,59592,48679,58315,40229
SKAG_02165,123154,122596,115493,59664,65517,75216,62131,72856,54351
SKAG_02166,42030,46025,4,3,29779,4,29774,29115,104
SKAG_02167,41321,41538,39000,22075,24985,30743,23905,27510,19202
SKAG_02168,16675,15776,15882,8852,9246,11624,8295,9149,7522
SKAG_02169,59568,58411,57323,35359,37774,44255,33393,37041,30059
SKAG_02362,34215,34968,33186,14587,15756,17943,14600,19036,13579
SKAG_02363,70331,72732,62803,32586,39136,43625,41595,43900,27015
SKAG_02360,1135,1460,1666,103,213,439,191,544,294
SKAG_02361,63161,67275,55305,20477,32699,30297,38558,38963,16794
SKAG_02366,7009,6974,6015,2065,3198,4165,3542,5609,3108
SKAG_02367,15859,17642,16873,3295,4627,5883,6039,8757,4771
SKAG_02364,22587,28717,17791,6845,12633,10405,15693,14144,5268
SKAG_02365,88533,101897,105760,18130,19806,27116,26024,41967,20642
SKAG_02368,2712,2653,2604,1247,1385,1758,1572,1730,1170
SKAG_02369,4102,4099,3828,1781,2621,2637,2531,2858,1656
SKAG_02188,47551,49902,54110,12327,15432,18670,18502,27081,17586
SKAG_02189,2780,3071,3540,556,832,1008,1058,1620,876
SKAG_02182,67108,66650,69962,38392,44127,55886,41281,47325,38012
SKAG_02183,92208,65594,75153,49636,58555,62138,72127,124043,85114
SKAG_02180,23572,22755,22410,5610,6827,8400,9751,16635,8491
SKAG_02181,66066,63316,68522,25711,32441,37797,34228,48015,31381
SKAG_02186,7809,8610,9502,921,962,1233,1240,2245,1216
SKAG_02187,103630,106972,111088,37641,44225,50052,44001,55441,41016
SKAG_02184,38085,34146,37427,13866,18740,22307,18914,27719,19911
SKAG_02185,241020,252441,256048,127136,120475,136974,123738,123185,94963
SKAG_02691,0,0,0,0,0,0,0,0,0
SKAG_02506,0,0,0,0,0,0,0,0,0
SKAG_02507,0,0,0,0,0,0,0,0,0
SKAG_02504,0,0,0,0,0,0,0,0,0
SKAG_02505,0,0,0,0,0,0,0,0,0
SKAG_02502,6619,8084,3818,4669,10945,7488,12253,8960,3990
SKAG_02503,0,0,0,0,0,0,0,0,0
SKAG_02500,5451,5215,4576,3301,6081,6591,9359,9368,5836
SKAG_02501,219,216,194,162,241,349,398,410,243
SKAG_02508,0,0,0,0,0,0,0,0,0
SKAG_02509,0,0,0,0,0,0,0,0,0
EBG00001171055,0,0,0,0,0,0,0,0,0
EBG00001170989,37,23,24,24,23,28,18,10,86
SKAG_01435,15723,17611,16126,3347,4002,5438,4431,6866,4044
EBG00001171054,0,0,0,0,0,0,0,0,0
SKAG_00928,6741,7379,7383,2418,2784,3755,2884,3342,2834
SKAG_00929,1709,1902,1918,569,703,989,688,990,622
SKAG_00926,4076,4544,4589,1023,1183,1456,1338,1885,1187
SKAG_00927,1465,1699,1701,541,631,756,652,755,606
SKAG_00924,15106,15222,16446,3929,4655,6450,4818,8100,6027
SKAG_00925,8196,9275,8662,1850,2086,2825,2535,3828,2292
SKAG_00922,29,32,31,4,14,19,41,31,6
SKAG_00923,34826,34466,30221,12789,15063,17507,16786,18871,11458
SKAG_00921,18864,24578,23097,2222,2234,2846,3270,5234,2831
SKAG_02218,14790,12255,11776,8974,9634,11465,8491,9223,7174
SKAG_01854,297,289,260,166,233,232,197,255,171
SKAG_02212,1223,1176,1273,627,841,1113,751,1128,935
SKAG_02213,89661,88592,83610,50498,54000,65849,54026,62146,57222
SKAG_02210,0,0,0,0,0,0,0,0,0
SKAG_02211,9921,9889,10217,4945,5651,7320,5649,6364,4985
SKAG_02216,21167,15906,16265,12150,14314,15416,13038,13723,10545
SKAG_02217,6,6,6,5,5,5,6,31,35
SKAG_02214,7,9,7,3,16,16,9,14,11
SKAG_02215,25361,14924,17528,9139,11032,11884,9152,11394,8666
SKAG_00034,463,455,390,148,289,368,296,351,209
SKAG_00035,618,543,544,265,480,661,376,462,427
SKAG_00036,699,791,569,276,401,462,501,563,205
SKAG_00037,1206,1131,1280,468,673,872,598,865,493
SKAG_00030,942,646,755,187,277,355,257,492,430
SKAG_00032,4469,3044,3678,972,1380,2155,1232,2613,1647
SKAG_00033,1566,1611,1506,459,657,814,722,1013,576
SKAG_00038,15443,15884,16532,7664,8195,10126,8390,9038,6676
SKAG_00039,178410,130549,134984,81809,90684,105284,109042,152775,95873
SKAG_01852,23821,18803,18938,10886,14156,17902,14005,21755,15753
SKAG_01469,7499,7729,6732,2892,4126,4207,4372,5077,2730
SKAG_01368,1692,1729,1596,765,794,1047,959,1103,773
SKAG_00856,17674,16868,17279,6916,8891,10700,8692,12933,8585
SKAG_00854,5067,7777,2667,1028,3645,2272,5771,3862,1160
SKAG_00720,9784,9185,9305,4718,6411,7432,4818,6480,4689
SKAG_00721,12251,17197,10194,3828,7600,6839,9427,9811,2352
SKAG_00722,32508,41049,26166,11041,20330,17627,22424,23342,7213
SKAG_00723,30933,33277,38166,10976,12405,14392,12920,17580,12076
SKAG_00724,18265,18143,17841,7172,8291,9991,8027,10607,7523
SKAG_00725,17873,19824,19311,5024,6535,7749,7054,9264,5577
SKAG_00726,48787,52651,51744,19015,21850,26550,22101,26379,18595
SKAG_00727,18996,20878,22303,6325,8130,9215,8439,9824,6429
SKAG_00728,16082,17309,17018,4538,5381,6549,5767,8626,5507
SKAG_00729,9429,9470,9966,3801,4378,5739,4779,6272,4354
SKAG_00176,130472,125745,131715,44084,55308,64052,63277,92020,57181
SKAG_01522,21374,22589,19587,7992,10973,11337,11266,16688,9895
SKAG_00853,132300,128348,147468,52832,66055,73116,67083,94493,66942
SKAG_01983,648,492,534,305,528,945,345,766,595
SKAG_01982,3798,1631,2724,862,2021,3607,1436,5129,4969
SKAG_00458,55,54,104,26,39,49,26,49,45
SKAG_01980,840,759,738,318,669,923,400,627,450
SKAG_01987,26353,24892,23724,14538,17438,21186,15323,17629,12130
SKAG_00429,223,234,223,107,81,118,120,106,95
SKAG_01457,65923,52800,44468,17660,29508,28606,28787,33982,16914
SKAG_01456,11391,13348,9293,5350,8200,7455,8233,7839,4138
SKAG_00452,1343,1298,1071,2085,2365,2701,2130,1654,1359
SKAG_00453,2671,2486,1814,4448,5354,6020,4300,3409,2973
SKAG_00450,1969,2208,2437,515,604,804,779,1049,554
SKAG_00428,38027,39642,40050,8371,9260,11671,11223,14200,8498
SKAG_00456,259,296,176,500,645,790,626,500,321
SKAG_00457,2864,3307,1986,5474,8758,8273,8195,5261,3834
SKAG_00454,2438,2194,1621,3983,4384,5684,3645,3101,2696
SKAG_00455,2254,2184,1540,4352,4964,6227,4325,3359,2947
SKAG_01859,363,503,537,210,249,322,232,272,235
SKAG_01858,713,839,834,219,308,441,404,371,261
SKAG_01855,3,3,3,3,3,3,3,3,3
SKAG_01918,41986,42578,41581,20872,23902,26157,25963,32149,21390
SKAG_01857,1206,1176,1207,584,807,924,765,893,621
SKAG_01856,2833,2645,2701,2426,2499,2829,2346,2362,1759
SKAG_01851,644,644,471,331,623,557,704,818,498
SKAG_01850,1229,1018,991,656,840,1239,1001,1377,968
SKAG_01853,433,373,442,222,270,545,275,410,208
SKAG_00422,19505,19466,17790,5254,7059,8791,7453,10735,6895
SKAG_00584,0,0,0,0,0,0,0,0,0
SKAG_00857,130,138,124,25,36,52,54,81,31
SKAG_00586,628,580,700,256,218,379,227,360,222
SKAG_00587,31030,29358,28097,19021,23306,28207,21773,28700,20912
SKAG_00580,0,0,0,0,0,0,0,0,0
SKAG_00581,0,0,0,0,0,0,0,0,0
SKAG_00582,0,0,0,0,0,0,0,0,0
SKAG_00583,0,0,0,0,0,0,0,0,0
SKAG_01525,11242,10886,12009,3677,5443,7335,5190,8766,5224
SKAG_01524,169351,153435,145213,146195,156667,182907,148294,179159,128125
SKAG_01527,13656,13030,14157,5075,6484,7383,7278,9213,5552
SKAG_01526,7286,6794,7693,3849,4369,5468,4308,5030,3999
SKAG_00588,39617,37003,36854,31835,31830,37650,31216,33882,28122
SKAG_00589,16900,16826,17118,7734,9040,10686,9324,11584,7984
SKAG_00858,9199,9963,8984,3619,4986,6159,4941,6787,4089
SKAG_00859,13028,14374,12758,4462,5499,6962,5634,7213,5168
