,mRNA.6008.2h.TEM,mRNA.6008.2h.Cefto,mRNA.6008.2h.Linezo,mRNA.6008.2h.Tige,mRNA.6008.2h.Vanco,mRNA.6008.6h.TEM,mRNA.6008.6h.Cefto,mRNA.6008.6h.Linezo,mRNA.6008.6h.Tige,mRNA.6008.6h.Vanco,mRNA.6009.2h.TEM,mRNA.6009.2h.Cefto,mRNA.6009.2h.Linezo,mRNA.6009.2h.Tige,mRNA.6009.2h.Vanco,mRNA.6009.6h.TEM,mRNA.6009.6h.Cefto,mRNA.6009.6h.Linezo,mRNA.6009.6h.Tige,mRNA.6009.6h.Vanco,sRNA.6008.2h.TEM,sRNA.6008.2h.Cefto,sRNA.6008.2h.Linezo,sRNA.6008.2h.Tige,sRNA.6008.2h.Vanco,sRNA.6008.6h.TEM,sRNA.6008.6h.Cefto,sRNA.6008.6h.Linezo,sRNA.6008.6h.Tige,sRNA.6008.6h.Vanco,sRNA.6009.2h.TEM,sRNA.6009.2h.Cefto,sRNA.6009.2h.Linezo,sRNA.6009.2h.Tige,sRNA.6009.2h.Vanco,sRNA.6009.6h.TEM,sRNA.6009.6h.Cefto,sRNA.6009.6h.Linezo,sRNA.6009.6h.Tige,sRNA.6009.6h.Vanco
SAA6008_00913,14,23,27,16,7,9,19,44,9,6,16,24,44,38,7,5,12,27,8,3,,,,,,,,,,,,,,,,,,,,
SAA6008_00914,10,13,27,15,14,4,13,40,12,7,15,16,22,32,8,2,3,14,6,2,,,,,,,,,,,,,,,,,,,,
SAA6008_00915,563,925,1086,492,399,154,305,220,203,120,484,691,243,275,307,166,320,235,133,89,,,,,,,,,,,,,,,,,,,,
SAA6008_00916,113,108,169,141,123,61,76,168,99,65,50,51,120,208,45,24,45,156,56,29,,,,,,,,,,,,,,,,,,,,
SAA6008_00917,36,66,67,29,26,32,72,78,47,30,24,30,55,55,16,9,49,55,21,12,,,,,,,,,,,,,,,,,,,,
SAA6008_00918,142,159,222,111,95,76,140,163,88,60,67,69,100,149,31,57,87,147,52,37,,,,,,,,,,,,,,,,,,,,
SAA6008_00919,77,108,141,95,111,163,346,422,347,203,130,218,293,401,220,96,243,376,200,117,,,,,,,,,,,,,,,,,,,,
SAA6008_00920,115,133,215,165,114,368,642,883,571,355,395,519,738,1056,345,243,525,814,457,246,,,,,,,,,,,,,,,,,,,,
SAA6008_00921,442,930,1360,456,524,154,498,487,257,221,327,761,523,327,455,117,361,391,175,130,,,,,,,,,,,,,,,,,,,,
SAA6008_00922,230,334,395,456,311,46,88,88,162,48,77,95,137,704,59,46,89,45,166,37,,,,,,,,,,,,,,,,,,,,
SAA6008_00923,142,233,315,179,161,100,236,296,211,91,161,267,213,343,155,64,162,240,135,69,,,,,,,,,,,,,,,,,,,,
SAA6008_00924,52,81,108,78,79,19,94,80,48,41,27,93,77,64,35,16,54,88,24,19,,,,,,,,,,,,,,,,,,,,
SAA6008_00925,711,602,1002,456,759,252,198,353,405,214,367,303,346,658,296,153,120,214,377,106,,,,,,,,,,,,,,,,,,,,
SAA6008_00926,3,2,9,8,3,3,6,5,3,1,4,2,4,15,3,0,0,8,2,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00927,2907,4856,6563,4739,4070,71,152,147,139,81,160,435,571,1063,236,56,137,193,175,77,,,,,,,,,,,,,,,,,,,,
SAA6008_00928,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00929,1,3,1,1,1,0,1,1,0,0,1,0,2,4,1,0,2,2,1,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00931,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00931/2,0,1,4,1,0,2,2,1,0,0,0,0,0,1,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00932,2,2,1,2,0,1,3,4,1,2,0,7,4,15,0,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00933,6,3,2,4,2,4,16,7,5,7,2,8,3,26,6,0,6,7,3,2,,,,,,,,,,,,,,,,,,,,
SAA6008_00934,257,448,667,303,359,33,97,83,48,51,7,18,19,14,26,7,26,34,22,13,,,,,,,,,,,,,,,,,,,,
SAA6008_00935,29,70,67,39,31,31,55,60,59,32,57,63,60,214,48,35,60,39,76,33,,,,,,,,,,,,,,,,,,,,
SAA6008_00936,548,957,1324,846,842,159,348,273,329,238,264,308,190,264,303,118,314,307,191,149,,,,,,,,,,,,,,,,,,,,
SAA6008_00937,747,1252,1681,715,786,317,750,695,468,333,393,674,618,466,440,214,681,768,357,261,,,,,,,,,,,,,,,,,,,,
SAA6008_00938,0,0,0,0,0,4,7,3,3,0,3,3,4,5,2,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,
SAA6008_00939,22,31,45,21,22,23,95,11,35,29,23,78,46,79,37,13,40,15,15,15,,,,,,,,,,,,,,,,,,,,
SAA6008_00940,15,23,20,28,23,74,147,48,158,100,95,119,135,266,121,37,56,60,67,38,,,,,,,,,,,,,,,,,,,,
SAA6008_00941,14,14,16,17,13,48,94,50,66,87,46,84,97,142,129,19,51,54,29,25,,,,,,,,,,,,,,,,,,,,
SAA6008_00942,22,22,34,38,45,73,159,84,166,112,86,140,167,321,204,35,67,86,69,31,,,,,,,,,,,,,,,,,,,,
SAA6008_00943,34,56,93,75,42,115,188,130,169,118,97,179,231,373,207,51,102,136,83,41,,,,,,,,,,,,,,,,,,,,
SAA6008_00944,1,3,0,2,1,1,0,1,2,1,1,1,2,1,0,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00945,2,2,2,1,0,0,0,2,1,0,1,3,3,2,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00946,3,1,3,2,1,2,3,1,1,1,2,2,5,3,1,0,0,3,1,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00947,1,3,1,1,0,0,4,3,0,0,0,5,2,2,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
SAA6008_00948,4,6,8,5,5,2,6,4,0,0,2,2,6,7,1,0,2,7,1,3,,,,,,,,,,,,,,,,,,,,
SAA6008_00949,43,84,90,39,48,131,274,410,238,172,171,337,317,405,300,93,247,279,137,140,,,,,,,,,,,,,,,,,,,,
SAA6008_00950,1165,2996,3408,3206,2950,763,2368,3548,4449,2120,497,1291,2359,16543,1614,400,1343,2118,3430,1156,,,,,,,,,,,,,,,,,,,,
SAA6008_00951,347,636,844,452,403,107,244,257,161,123,337,631,511,1124,297,129,212,341,258,82,,,,,,,,,,,,,,,,,,,,
SAA6008_00953,0,1,1,0,0,1,0,0,0,0,0,1,2,3,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00953/2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00954,80,129,188,125,90,101,224,81,136,102,318,506,146,121,206,69,125,72,63,44,,,,,,,,,,,,,,,,,,,,
SAA6008_00955,35,111,155,57,36,24,72,45,49,21,33,73,42,70,31,10,43,45,28,12,,,,,,,,,,,,,,,,,,,,
