,mRNA.6008.2h.TEM,mRNA.6008.2h.Cefto,mRNA.6008.2h.Linezo,mRNA.6008.2h.Tige,mRNA.6008.2h.Vanco,mRNA.6008.6h.TEM,mRNA.6008.6h.Cefto,mRNA.6008.6h.Linezo,mRNA.6008.6h.Tige,mRNA.6008.6h.Vanco,mRNA.6009.2h.TEM,mRNA.6009.2h.Cefto,mRNA.6009.2h.Linezo,mRNA.6009.2h.Tige,mRNA.6009.2h.Vanco,mRNA.6009.6h.TEM,mRNA.6009.6h.Cefto,mRNA.6009.6h.Linezo,mRNA.6009.6h.Tige,mRNA.6009.6h.Vanco,sRNA.6008.2h.TEM,sRNA.6008.2h.Cefto,sRNA.6008.2h.Linezo,sRNA.6008.2h.Tige,sRNA.6008.2h.Vanco,sRNA.6008.6h.TEM,sRNA.6008.6h.Cefto,sRNA.6008.6h.Linezo,sRNA.6008.6h.Tige,sRNA.6008.6h.Vanco,sRNA.6009.2h.TEM,sRNA.6009.2h.Cefto,sRNA.6009.2h.Linezo,sRNA.6009.2h.Tige,sRNA.6009.2h.Vanco,sRNA.6009.6h.TEM,sRNA.6009.6h.Cefto,sRNA.6009.6h.Linezo,sRNA.6009.6h.Tige,sRNA.6009.6h.Vanco
SAA6008_00001,43,84,140,58,47,113,330,496,211,133,117,256,465,463,126,81,301,534,167,108,18,7,8,0,14,93,10,64,35,51,142,13,38,24,90,114,15,36,41,129
SAA6008_00002,107,201,282,131,107,115,313,314,264,120,196,314,419,490,160,121,321,318,147,119,22,17,6,11,3,246,41,47,33,47,42,13,32,48,10,57,11,26,27,7
SAA6008_00003,380,308,386,209,232,132,121,113,113,54,194,209,212,294,113,87,105,131,94,52,4,38,19,75,1,2,12,12,4,16,5,12,6,9,30,1,9,4,4,10
SAA6008_00004,160,339,530,140,116,90,266,389,138,61,114,238,391,307,83,76,203,442,114,57,6,10,5,1,10,9,6,70,18,2,22,19,34,19,27,18,83,44,11,17
SAA6008_00005,225,388,544,315,256,389,812,895,735,402,614,927,891,1655,592,283,687,968,664,391,1,21,17,1,20,4,21,54,38,6,0,17,1,36,72,3,130,3,48,44
SAA6008_00006,298,450,603,355,284,827,1257,1656,1196,750,1442,1875,1795,2319,1243,714,1331,1871,1132,700,4,8,12,0,8,1,19,45,36,1,1,16,1,19,37,6,110,11,24,20
SAA6008_00007,23,32,28,20,23,54,89,217,91,56,11,19,123,240,30,25,55,212,83,25,0,23,13,0,0,0,5,4,1,1,0,1,5,6,2,1,4,8,2,1
SAA6008_00008,1,11,9,9,12,230,349,59,355,248,7,9,16,36,7,82,298,56,233,145,3,3,15,3,26,19,42,4,41,22,0,0,5,4,155,6,8,6,2,8
SAA6008_00009,33,39,41,26,24,343,522,236,407,367,668,870,295,341,576,367,590,341,406,371,4,26,14,3,4,2,13,13,1,5,2,23,11,12,9,1,5,20,1,0
SAA6008_00010,3,3,7,4,5,2,15,4,15,7,6,7,1,22,11,1,5,4,5,4,31,3,37,0,1,210,1,269,249,7,37,2,32,289,6,168,16,498,541,22
SAA6008_00011,6,1,6,6,3,4,5,4,6,2,4,4,1,9,7,3,4,3,2,0,27,1211,283,89,472,1219,11489,4559,2470,27058,386,1430,878,500,39544,941,5495,5128,2021,21149
SAA6008_00012,11,20,28,10,17,2,10,7,4,9,1,5,9,26,13,0,4,14,6,4,2,18,2,1,4,3,13,12,18,6,6,33,25,78,55,6,8,17,25,6
SAA6008_00013,55,79,117,46,44,43,75,147,65,41,46,74,120,165,43,29,46,158,60,25,4,3,18,0,3,2,3,55,4,1,1,4,37,7,1,2,2,49,0,2
SAA6008_00014,224,357,472,229,207,347,637,1291,551,298,390,566,975,1085,361,226,502,1346,439,204,5,26,49,0,13,4,30,229,61,0,0,52,106,61,101,5,154,161,61,38
SAA6008_00015,102,129,179,184,93,110,192,357,326,131,159,203,273,532,211,81,168,346,201,91,15,80,62,4,27,2,84,123,98,11,2,115,10,160,110,3,584,32,128,61
SAA6008_00016,142,179,245,160,123,194,400,906,429,217,321,460,843,1129,378,154,309,865,318,146,36,59,54,2,91,19,82,249,185,6,1,81,20,213,309,26,508,49,171,153
SAA6008_00017,48,94,118,85,54,174,363,4229,1557,168,43,72,311,1622,29,150,460,2632,1799,179,1,15,8,0,8,1,7,32,9,2,0,11,1,7,20,5,71,3,17,12
SAA6008_00018,77,97,147,88,90,250,433,583,403,272,161,225,402,997,210,134,284,481,359,153,10,20,18,0,15,6,21,50,28,0,0,28,2,34,30,9,141,4,43,15
SAA6008_00019,73,125,142,78,70,310,692,955,494,316,215,290,615,1005,232,183,587,917,405,186,31,42,31,0,17,9,58,190,181,1,1,93,10,188,141,22,382,20,170,69
SAA6008_00020,60,73,102,62,61,334,543,774,437,234,253,292,515,957,239,211,534,863,382,198,0,47,5,0,1,1,14,4,12,0,0,6,0,3,2,0,38,0,3,2
SAA6008_00021,37,49,58,36,37,146,332,395,230,145,156,230,308,516,118,135,280,445,222,125,7,29,13,0,20,5,46,146,70,4,0,67,16,109,113,11,308,26,98,48
SAA6008_00022,22,40,35,24,17,21,45,81,32,28,23,53,67,67,41,10,35,83,27,23,6,19,16,0,9,2,39,32,33,1,0,32,1,27,35,3,282,5,28,16
SAA6008_00023,5,9,15,9,4,54,93,66,66,47,7,20,8,8,39,23,72,47,33,30,2,24,14,25,6,13,13,66,35,44,37,41,138,225,171,47,77,212,158,57
SAA6008_00025,11,28,32,28,23,19,46,68,81,22,27,35,82,226,24,19,45,71,64,17,7,24,20,1,31,4,32,66,67,1,2,41,5,55,79,11,218,8,48,46
SAA6008_00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,18,1,18,6,22,47,48,4,1,40,12,45,64,20,222,44,32,54
SAA6008_00026,11,32,31,20,21,42,114,122,48,55,61,128,117,250,74,33,96,107,74,36,3,6,16,1,10,1,9,40,21,1,1,18,7,25,45,3,81,12,37,25
SAA6008_00027,1,4,15,9,8,8,41,45,40,14,12,14,34,54,15,9,47,42,22,14,0,5,7,1,2,28,77,152,58,72,21,43,73,398,53,9,23,87,44,19
SAA6008_00028,7,3,3,4,1,3,6,4,9,4,0,5,5,5,1,0,4,8,3,1,3,0,0,0,0,11,4,5,157,2,0,1,0,11,1,49,14,10,584,21
SAA6008_00029,5,13,10,14,4,14,41,40,36,20,13,17,24,60,19,13,44,51,27,16,35,24,44,11,64,10,36,82,590,2,0,28,13,396,361,33,217,10,561,120
SAA6008_00031,9,20,25,10,7,23,108,124,65,28,24,60,156,122,14,25,83,128,47,23,1,8,4,2,1,46,80,35,24,81,5,13,23,3,12,17,182,35,27,77
SAA6008_00031/2,80,100,146,106,87,113,264,361,237,117,61,152,251,434,52,61,179,369,152,70,4,12,8,0,24,2,20,36,38,0,1,24,3,26,40,3,116,7,39,15
SAA6008_00032,95,122,136,160,104,214,287,216,420,202,334,528,825,1392,254,256,402,417,664,229,29,21,23,1,24,336,33,145,75,3,421,74,10,91,76,284,292,34,66,59
SAA6008_00033,532,741,1049,487,602,705,1094,2327,893,868,774,988,2209,2069,750,524,987,2129,678,645,2,11,8,1,10,4,13,19,28,0,0,9,10,33,21,3,91,11,21,24
SAA6008_00034,1052,1445,1901,1392,1296,1149,2059,4617,2188,1320,1458,2256,3693,6508,1223,783,1471,4053,1785,796,5,20,28,0,34,5,21,58,55,25,1,33,4,36,100,2,209,4,53,190
SAA6008_00035,4,10,11,4,3,7,38,46,29,18,6,17,37,52,16,9,41,55,18,15,0,7,10,11,1,51,174,1560,140,109,118,860,705,447,76,32,228,1287,183,48
SAA6008_00036,6,14,8,10,2,4,3,8,4,0,5,2,9,12,0,1,4,7,2,0,0,2,1,3,1,2,3,3,2,5,4,1,5,19,2,1,2,4,3,0
SAA6008_00037,157,292,370,261,241,60,136,97,98,71,97,174,77,127,107,36,64,45,54,41,3,11,9,0,12,0,10,12,27,0,0,5,1,21,18,2,38,2,12,10
SAA6008_00038,9,20,26,4,2,7,21,5,5,9,16,63,16,7,14,5,10,3,1,1,0,0,0,2,0,0,1,6,4,0,3,2,4,3,3,0,1,2,6,3
SAA6008_00039,740,1051,1282,861,790,1063,5638,2640,1546,887,255,4391,878,1624,379,606,7763,3084,2119,785,13,47,44,3,33,8,55,124,261,4,0,80,18,346,169,13,340,20,206,107
SAA6008_00040,119,233,299,188,122,123,466,337,248,128,50,201,174,281,38,63,417,286,184,86,2,11,35,18,14,12,58,95,182,145,25,131,117,281,263,18,114,73,129,153
SAA6008_00041,33,50,60,56,33,48,114,68,81,36,22,100,83,151,13,13,78,56,62,20,8,26,26,0,35,7,41,120,124,1,4,49,7,86,125,13,276,9,92,80
SAA6008_00042,2,5,3,6,4,5,5,14,10,8,1,5,10,10,0,1,5,9,5,2,0,19,5,0,15,2,11,20,23,17,5,16,1,18,76,6,69,4,17,108
SAA6008_00044,0,2,0,0,1,0,3,2,1,0,0,2,4,5,1,1,2,3,0,0,3,18,14,1,11,3,16,39,42,2,0,25,4,51,22,3,152,9,37,23
SAA6008_00044/2,2,0,2,0,0,0,4,1,1,0,0,1,2,2,0,1,2,6,1,0,1,2,5,0,0,0,2,0,2,0,0,3,2,4,0,0,4,2,4,0
SAA6008_00045,1,1,2,0,1,2,1,1,3,2,0,1,5,3,1,0,2,3,3,1,8,12,7,0,8,1,15,27,42,2,0,11,1,23,38,14,65,6,34,21
SAA6008_00046,21,7,18,9,24,6,5,3,10,7,19,7,19,68,12,5,4,10,10,6,2,12,3,0,0,0,7,26,14,1,0,7,2,21,9,5,59,6,14,7
SAA6008_00047,10,19,35,23,21,1,9,23,18,6,21,19,41,110,12,3,12,22,25,7,0,3,12,1,2,0,5,60,4,2,0,2,7,8,8,1,23,19,9,2
SAA6008_00048,13,23,14,19,14,49,83,112,94,47,65,81,149,284,40,34,76,118,105,42,5,10,21,0,11,1,7,27,15,26,0,8,4,13,30,2,71,5,10,104
SAA6008_00049,28,40,56,23,27,81,153,315,145,74,133,197,360,556,93,53,154,370,135,70,3,9,4,0,6,1,7,18,22,1,0,10,2,20,17,1,58,0,20,5
SAA6008_00050,6,9,7,6,7,4,11,23,18,8,14,13,38,112,23,3,11,46,10,8,2,6,3,2,1,1,3,2,3,3,0,5,5,3,5,1,2,0,0,0
SAA6008_00051,15,19,26,5,13,3,19,14,10,2,4,11,10,8,3,3,16,8,7,3,0,3,4,0,1,0,3,7,6,0,0,0,0,1,0,0,6,0,1,0
SAA6008_00052,55,83,94,52,66,36,59,60,47,45,51,52,68,76,19,14,46,55,33,21,0,1,5,0,2,5,14,5,21,9,0,3,2,4,4,5,11,5,29,16
SAA6008_00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,62,31,15,7,15,22,14,18,42,0,1,5,17,22,5,5,17,12,10
SAA6008_00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,31,24,13,1,2,6,12,18,8,5,7,23,16,1,4,8,9,4
SAA6008_00055,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,9,9,1,13,0,10,41,40,2,0,24,0,41,70,7,127,5,49,40
SAA6008_00056,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,0,0,2,0,2,5,1,0,1,0,3,7,51,9,0,1,0,120,8,0,16,0,25,19
SAA6008_9980,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,84,3,28,0,3,30,0,5,12,0,34,1,4,3,11,17,2,4,6,4
SAA6008_00057,7,15,18,8,11,5,10,23,8,9,12,21,23,40,17,6,22,14,9,3,1,12,1,0,22,0,11,10,5,13,0,3,0,6,83,1,47,1,8,26
SAA6008_00058,3,4,3,3,2,7,7,8,3,2,9,14,17,10,7,4,3,6,7,1,2,22,6,0,3,1,20,3,6,7,4,21,4,10,19,0,5,2,1,2
SAA6008_00060,4,5,14,6,4,4,7,6,3,1,5,10,6,8,3,1,4,14,3,0,3,28,58,54,22,2,13,18,3,34,3,18,17,5,73,3,7,3,3,2
SAA6008_00061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,12,0,23,0,0,25,0,106,8,1,12,0,47,7,3,8,0,120,3,0
SAA6008_00062,9,23,23,14,24,11,23,25,22,28,13,32,29,55,20,10,13,18,17,7,0,0,5,0,0,0,0,47,0,3,0,1,20,1,7,1,4,51,1,2
SAA6008_00063,11,10,14,8,12,15,22,21,17,20,12,19,17,45,25,4,10,10,18,9,13,122,16,11,16,25,1095,10,121,9,0,16,7,20,45,6,251,10,12,7
SAA6008_00064,9,5,7,3,6,18,21,19,21,17,18,34,36,46,18,8,12,16,19,4,8,12,15,0,16,2,20,39,54,1,0,14,3,32,41,4,101,8,30,39
SAA6008_00065,2,7,3,1,2,8,21,7,12,2,5,20,21,18,7,1,4,5,5,3,14,144,139,15,15,421,757,714,323,1136,30,128,307,262,1262,69,116,656,105,82
SAA6008_00066,0,3,0,0,0,0,3,1,2,1,0,0,1,3,0,1,3,1,0,0,1,18,5,0,0,12,24,6,21,10,1,4,5,5,27,3,6,16,0,5
SAA6008_00067,1,2,0,3,0,0,1,1,2,0,1,1,1,2,0,0,1,2,2,0,6,24,15,1,21,6,39,72,76,1,0,34,5,41,97,6,253,12,50,58
SAA6008_00068,82,129,208,125,109,30,98,94,143,44,39,74,78,189,60,28,61,82,95,25,0,2,0,2,1,26,75,165,44,62,23,37,34,25,32,29,163,197,183,68
SAA6008_00069,5,7,17,9,9,8,9,9,11,7,6,8,14,28,17,8,10,19,9,4,0,0,0,0,0,16,10,25,10,39,24,10,14,9,18,10,20,54,21,12
SAA6008_00070,7,7,8,10,7,3,16,22,10,9,6,18,17,45,17,5,12,13,11,6,1,28,7,2,0,14,14,18,2,22,1,44,73,92,57,4,13,22,6,6
SAA6008_00071,3,4,5,3,4,2,2,4,5,4,0,1,6,5,2,0,1,7,0,2,3,1,2922,0,1,0,0,3759,0,8,2,3,1359,0,6,0,3,2590,3,5
SAA6008_00072,1,2,1,0,1,1,2,1,1,1,1,1,0,2,1,3,5,1,0,0,1,5,3,0,2,2,5,7,5,3,3,8,2,5,9,2,3,5,3,2
SAA6008_00073,12,7,11,5,6,13,9,12,8,4,7,12,12,17,10,3,11,14,7,2,0,0,0,1,1,2,7,25,3,11,3,19,22,10,17,2,9,6,4,6
SAA6008_00074,4,4,5,4,0,1,13,14,9,4,5,5,8,17,5,2,10,14,5,2,18,764,24,5,12,149,6721,60,1212,2,218,10028,15,2721,26,132,5497,9,964,31
SAA6008_00075,35,54,82,66,54,55,141,208,142,71,46,72,141,183,51,52,110,174,109,57,16,53,87,40,12,46,32,108,47,64,70,57,133,141,79,33,21,71,74,20
SAA6008_00076,3,4,7,4,2,1,7,10,9,2,3,9,12,32,1,3,2,10,8,2,6,85,139,33,11,26,41,381,164,64,62,210,686,400,64,13,34,447,162,47
SAA6008_00077,5,10,15,8,4,14,19,24,15,11,1,15,22,35,9,4,7,11,9,7,16,31,38,4,22,5,29,113,68,0,4,33,37,51,63,6,189,24,66,37
SAA6008_00078,10,14,24,14,21,91,195,140,133,95,32,67,71,87,76,45,138,108,69,49,7,46,111,14,8,60,100,412,120,142,10,32,169,91,126,48,72,536,127,168
SAA6008_00079,4,7,4,14,10,58,75,84,74,48,30,34,70,109,46,28,66,68,48,27,1,3,10,0,3,0,10,36,28,2,0,9,0,45,38,1,55,7,34,29
SAA6008_00080,0,2,1,0,0,2,5,1,0,2,3,4,5,5,0,0,6,4,5,2,2,18,19,0,14,1,11,62,20,94,4,8,26,31,220,1,81,26,24,390
SAA6008_00081,7,12,11,11,6,19,46,33,38,12,10,22,9,31,8,8,21,18,21,16,0,14,12,24,10,8,12,67,27,22,11,20,57,60,52,11,26,50,39,10
SAA6008_00082,28,66,67,33,43,50,153,165,132,74,76,82,143,235,90,54,97,169,94,42,0,4,1,0,0,0,6,0,2,0,0,0,0,0,2,0,3,0,1,0
SAA6008_00083,21,39,38,35,24,9,24,30,21,15,18,33,30,59,29,8,17,37,22,11,0,3,29,2,0,0,2,4,0,3,0,1,2,0,5,0,0,2,0,1
SAA6008_00084,12,17,29,15,12,5,13,12,10,3,3,9,7,18,18,2,8,16,7,2,1,4,3,1,3,6,25,0,26,4,0,0,1,11,30,1,6,1,0,6
SAA6008_00085,32,52,37,39,36,198,390,825,435,225,56,75,266,525,101,95,254,952,284,107,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
SAA6008_00086,50,89,139,77,40,24,70,54,56,28,20,46,33,59,7,39,68,90,69,29,1,8,6,0,26,1,5,13,7,26,0,5,0,13,14,2,41,0,14,35
SAA6008_00087,25,37,45,15,15,7,10,0,2,3,7,10,5,9,3,3,6,2,7,2,0,2,2,1,0,0,1,2,1,1,1,0,1,3,0,0,2,0,1,0
SAA6008_00088,47,88,98,52,45,154,388,524,306,163,87,148,278,403,160,92,290,349,180,108,1,8,14,0,12,0,12,45,27,1,1,28,4,45,27,3,140,5,44,26
SAA6008_00089,1,10,3,3,1,32,119,87,82,27,20,58,33,26,84,14,43,41,21,9,1,541,255,6,1,0,10,4,11,0,0,2,0,5,2,2,32,7,29,0
SAA6008_00090,29,74,90,50,27,137,452,428,357,123,161,405,434,1290,167,97,411,375,392,124,0,1,1,2,1,13,9,18,11,24,1,4,0,2,7,2,6,6,7,2
SAA6008_00091,115,226,253,109,68,13,54,16,27,12,18,41,46,110,18,12,38,25,21,7,0,0,0,0,6,0,0,0,68,22,0,0,0,22,6,0,0,0,28,23
SAA6008_00092,0,1,2,0,5,4,12,2,5,3,2,0,2,5,0,2,2,5,4,4,11,78,24,1,26,9,129,95,123,17,1,77,6,104,121,9,373,12,92,108
SAA6008_00093,7,9,19,1,4,5,17,18,14,14,2,9,13,7,5,2,9,15,3,6,0,0,3,1,0,1,0,3,1,2,0,0,0,0,2,1,0,2,0,0
SAA6008_00094,1,1,9,2,4,1,0,5,1,0,0,0,0,3,1,0,0,1,1,0,6,115,61,211,23,33,121,63,46,142,25,98,36,38,61,28,158,41,91,72
SAA6008_00095,2,2,5,1,2,0,0,2,3,0,0,0,3,1,2,0,0,3,2,0,3,23,60,0,15,4,28,202,60,131,0,31,72,39,72,7,182,211,70,336
SAA6008_00096,2,4,7,4,3,4,3,2,0,0,1,1,4,3,2,0,1,2,1,2,3,1,4,0,9,13,0,13,3,81,9,1,2,1,60,13,7,8,2,81
SAA6008_00097,4,5,0,1,2,1,3,2,0,3,1,1,3,2,2,0,2,7,2,2,159,881,492,911,297,417,638,378,631,1616,269,195,205,490,1504,397,597,257,706,1263
SAA6008_00098,2,1,7,4,1,2,3,6,3,4,6,2,9,7,6,0,2,13,4,5,3,3,0,12,9,1,1,0,61,14,6,0,0,22,12,12,4,0,88,141
SAA6008_00099,6,19,18,3,9,9,14,15,10,9,4,8,15,24,8,7,13,24,11,4,392,768,84,42,1421,243,274,72,3707,8154,110,146,30,1165,3062,188,145,55,1863,7252
SAA6008_00100,0,8,12,7,2,6,6,12,13,7,4,1,10,12,3,2,4,12,6,2,522463,2936,865,12,2631,494258,910,916,167,10817,383713,921,543,125,30115,728420,1791,1478,253,51541
SAA6008_00101,3,7,17,14,9,3,19,19,12,4,6,5,17,25,13,4,15,18,9,2,315,2156,2082,1483,519,955,3192,4685,2045,4794,1122,2599,4740,1708,7057,888,1845,1593,1324,1312
SAA6008_00102,8,8,16,12,8,3,13,21,13,3,9,9,13,28,7,2,8,23,7,1,8,229,184,345,13,80,326,481,91,213,79,184,414,122,302,62,177,182,90,70
SAA6008_00104,5,13,10,8,6,5,26,20,27,14,4,11,12,38,3,5,25,12,14,4,0,1,17,0,2,1,6,115,0,2,4,3,42,3,1,0,7,51,3,4
SAA6008_00105,752,809,1264,813,927,143,175,126,178,116,154,249,141,181,121,70,104,88,124,60,256,7,2549,0,0,308,2,7006,0,0,92,0,1813,1,0,204,1,5220,0,0
SAA6008_00106,0,2,1,0,2,2,3,5,2,3,0,0,2,2,1,2,4,13,6,2,4,1,29,0,0,2,0,91,12,1,1,0,22,68,0,7,0,49,11,2
SAA6008_00107,1,1,0,0,3,0,4,2,0,0,0,1,0,2,1,1,2,4,0,1,1,23,12,0,11,1,35,54,44,9,1,47,12,29,84,7,238,8,38,87
SAA6008_00108,0,1,0,2,0,1,1,0,3,0,0,1,2,5,1,2,3,6,2,1,63,5,322,0,1,209,6,1597,5,2,210,11,590,5,11,295,27,1417,3,12
SAA6008_00109,1,2,1,2,0,0,3,9,3,1,2,4,7,5,2,3,1,1,0,2,1,1,18,0,5,0,3,53,17,0,2,3,71,2,10,2,5,71,7,3
SAA6008_00110,6,11,8,3,4,6,20,17,6,3,5,12,12,13,4,5,17,22,6,5,3,35,22,0,15,16,37,70,41,3,101,54,9,36,82,17,140,9,40,36
SAA6008_00111,84,123,168,120,109,22,39,108,173,40,14,27,27,60,17,6,23,22,110,12,51,211,161,107,75,245,190,647,993,420,621,682,1117,2733,673,245,181,582,798,355
SAA6008_00112,23,42,63,24,22,32,124,36,63,27,42,148,84,163,24,37,103,33,53,36,10,26,31,2,4,40,36,160,114,50,42,38,128,274,51,17,50,177,99,103
SAA6008_00113,8,19,10,9,6,16,28,48,16,8,9,12,19,33,4,6,16,34,18,7,0,0,39,0,0,0,2,211,0,0,0,4,189,0,0,0,3,144,0,1
SAA6008_00114,6,6,10,8,5,0,7,6,4,0,2,3,48,42,1,1,2,6,3,5,0,13,8,0,0,7,42,120,22,29,8,30,286,372,15,8,6,121,9,14
SAA6008_00115,21,55,39,28,26,2,15,16,6,6,4,14,45,52,5,6,10,17,12,4,385,718,104,28,1401,221,237,70,3779,8223,91,123,24,1119,3035,174,136,64,1842,7228
SAA6008_00116,109,107,167,152,115,161,213,208,302,176,282,379,340,509,221,134,182,214,317,138,2,6506,6,39,37,1,1149,4,431,19,0,651,1,89,31,4,801,3,213,25
SAA6008_00117,139,192,268,162,153,116,244,237,203,85,252,456,307,460,219,96,218,216,208,96,522474,2938,835,5,2616,496806,978,911,168,10741,383013,976,547,123,30287,729247,1719,1494,261,51407
SAA6008_00118,2,8,5,4,9,1,5,2,3,4,0,1,1,3,1,1,3,7,3,1,2,4,5,0,3,2,4,11,11,1,0,4,2,9,21,2,22,2,11,11
SAA6008_00119,2,5,10,4,8,1,5,5,3,3,2,3,2,3,1,2,1,7,2,0,10,7,6,1,8,21,14,25,34,2,43,9,5,28,26,25,73,6,21,31
SAA6008_00120,2,6,11,8,10,5,8,11,8,4,5,2,4,9,4,4,7,9,5,1,41,234,355,221,47,84,135,412,159,193,85,130,431,222,234,58,89,220,94,109
SAA6008_00121,10,31,28,13,14,2,10,21,5,1,1,2,3,3,4,0,12,10,3,2,0,0,119,0,0,0,0,526,0,0,0,0,226,0,0,0,0,489,0,0
SAA6008_00122,38,62,54,30,49,3,6,22,10,5,2,6,8,15,4,3,8,26,10,4,5,149,31,18,13,37,202,178,159,101,45,169,92,152,159,28,115,100,75,43
SAA6008_00123,30,47,68,35,42,18,38,69,25,13,27,33,66,119,22,10,53,72,34,11,2,8,68,0,6,0,8,88,25,0,0,10,29,30,21,1,58,55,16,16
SAA6008_00124,27,32,51,40,32,18,21,112,33,13,23,24,64,109,13,7,19,95,20,8,0,0,10,0,9,0,0,88,0,72,1,0,50,0,54,0,0,92,0,123
SAA6008_00125,34,40,72,34,29,15,46,82,37,15,10,20,55,89,17,11,42,85,31,10,3,13,13,39,3,23,43,664,89,205,39,105,1112,670,76,17,42,599,342,72
SAA6008_00126,18,22,44,31,16,198,189,244,375,115,26,41,65,194,20,85,157,219,372,70,840,70,66,143,39,4240,126,455,8483,46,10039,171,426,13098,130,7441,350,504,14944,206
SAA6008_00127,453,741,608,377,436,73,147,196,87,70,35,66,124,212,68,52,155,258,142,62,1,6,105,0,2,0,7,1671,4,2,0,1,986,6,6,3,15,1824,4,9
SAA6008_00128,401,564,672,324,414,82,182,240,100,56,50,54,103,138,84,85,237,321,175,72,0,0,26,2,9,0,0,277,30,72,0,0,201,42,69,0,3,472,48,287
SAA6008_00129,168,357,450,155,178,52,124,178,86,49,26,45,86,97,66,43,247,350,128,83,16,41,52,4,44,21,43,127,93,3,3,32,23,83,117,14,231,32,70,62
SAA6008_00130,536,637,889,709,568,234,423,460,397,253,116,188,274,459,352,216,708,912,605,309,5,31,20,3,24,104,37,110,72,5,20,50,34,58,95,23,233,38,61,59
SAA6008_00131,348,523,667,446,426,170,333,390,254,211,124,184,240,329,288,174,567,706,397,277,174,1773,1001,6378,286,36,97,127,107,137,23,68,114,145,17,2,12,19,18,6
SAA6008_00132,397,538,631,407,429,163,286,310,236,160,91,128,165,206,257,169,620,537,299,227,152,432,323,471,144,211,136,266,133,381,31,30,75,41,185,167,87,193,136,141
SAA6008_00133,448,591,758,450,567,258,387,364,300,221,158,167,228,384,524,258,735,634,457,276,2,8,5,10,4,208,264,521,1532,708,155,208,225,785,192,193,319,391,1531,696
SAA6008_00134,164,261,294,281,250,100,225,162,227,143,80,126,94,170,271,116,388,303,255,164,439,1980,1287,1128,298,132,209,470,557,204,297,561,981,1760,1037,225,174,466,621,170
SAA6008_00135,84,149,154,62,67,55,145,83,59,51,41,63,65,59,113,74,278,142,65,67,26,191,105,122,15,111,374,965,121,238,8,7,81,17,7,122,537,1442,240,218
SAA6008_00136,87,91,142,116,116,59,83,89,105,45,38,49,57,84,141,88,179,150,125,79,3,5,12,0,15,5,19,42,49,2,3,13,2,40,56,5,143,8,49,41
SAA6008_00137,58,106,112,57,51,26,104,86,40,23,24,41,36,50,64,52,233,125,56,43,0,7,7,1,0,22,28,56,27,26,9,40,65,63,34,7,15,30,14,15
SAA6008_00138,80,172,212,75,121,59,121,134,75,80,58,68,78,90,217,73,260,212,86,124,7,160,60,132,3,12,30,10,6,16,6,17,17,19,40,3,9,10,10,4
SAA6008_00139,79,128,174,54,104,32,55,69,30,52,30,29,37,38,116,34,148,84,40,51,18,15,36,10,3,10,26,156,93,19,5,43,193,589,23,6,19,111,57,11
SAA6008_00140,120,174,230,155,134,45,108,96,75,51,39,53,67,93,115,61,216,151,117,53,2,5,15,15,4,11,13,118,52,97,17,32,95,138,40,8,11,71,30,20
SAA6008_00141,190,254,372,170,158,87,141,132,125,74,64,74,83,121,220,86,264,198,130,118,0,3,6,15,5,7,5,12,4,14,29,40,55,34,40,6,20,9,13,6
SAA6008_00142,193,298,397,293,280,87,164,138,111,87,72,118,116,201,257,98,249,224,169,117,7,51,35,51,10,21,45,101,85,81,115,214,251,349,354,18,46,91,100,46
SAA6008_00143,4,2,3,1,2,6,7,2,9,4,9,10,8,23,4,5,13,6,6,8,4,29,20,43,15,14,8,33,43,64,28,22,39,113,159,7,5,23,28,10
SAA6008_00144,2,1,0,1,3,3,4,4,3,3,3,3,3,5,3,1,1,5,2,2,0,1,2,3,1,0,1,14,117,16,1,4,7,375,11,0,12,6,121,37
SAA6008_00145,43,71,69,31,41,451,881,83,361,444,8,46,14,22,24,173,532,70,233,250,0,0,0,0,1,0,0,0,7,5,0,0,0,2,3,0,1,0,3,8
SAA6008_00146,15,21,45,27,19,30,86,40,50,41,18,17,31,52,27,17,59,29,52,35,30,226,132,371,28,12,52,46,54,19,33,65,52,66,63,9,46,48,49,10
SAA6008_00147,88,80,184,122,165,153,244,111,303,227,10,21,18,31,90,124,202,152,258,214,7,38,10,1,19,2,46,66,30,0,0,58,7,50,51,6,351,1,46,21
SAA6008_00148,13,20,27,15,9,402,1038,989,1341,422,12,19,48,70,12,136,379,568,716,135,28,3,124,0,0,51,1,265,6,0,44,1,135,1,0,23,1,130,2,0
SAA6008_00149,1,0,1,1,0,172,176,153,251,78,3,2,7,11,2,25,65,98,94,21,0,8,8,0,0,5,14,20,1,7,1,2,3,15,6,1,5,14,2,0
