key,Gal_NO_A,Gal_NO_B,Gal_A,Gal_B
SAUSA300_0164,71,65,84,87
SAUSA300_0165,93,88,88,90
SAUSA300_0166,104,112,109,104
SAUSA300_0167,226,224,245,299
SAUSA300_0168,8598,8666,6699,6538
SAUSA300_0169,3967,4231,2037,2326
SAUSA300_0170,18958,18235,25890,23910
SAUSA300_0171,256,272,461,438
SAUSA300_0172,279,153,992,696
SAUSA300_0173,86,85,94,66
SAUSA300_0174,19,48,20,25
SAUSA300_0175,11,28,28,36
SAUSA300_0176,30,20,45,40
SAUSA300_0177,74,61,91,90
SAUSA300_0178,10229,9641,624,584
SAUSA300_0179,1499,1481,52,39
SAUSA300_0180,446,527,298,330
SAUSA300_0181,1179,1173,990,947
SAUSA300_0182,1564,1420,1228,1302
SAUSA300_0183,1025,830,2174,1713
SAUSA300_0184,85,96,76,77
SAUSA300_0185,121,111,115,88
SAUSA300_0186,55,56,55,41
SAUSA300_0187,68,64,77,51
SAUSA300_0188,1841,1965,1984,1866
SAUSA300_0189,4438,4111,2746,2928
SAUSA300_0190,3728,4307,2895,2862
SAUSA300_0191,930,930,1852,1930
SAUSA300_0192,556,546,1511,1427
SAUSA300_0193,449,501,1186,1177
SAUSA300_0194,986,928,2718,2789
SAUSA300_0195,1069,1128,2654,2754
SAUSA300_0196,1370,1379,1688,1693
SAUSA300_0197,686,558,1214,972
SAUSA300_0198,468,463,745,769
SAUSA300_0199,462,474,721,756
SAUSA300_0200,147,182,112,93
SAUSA300_0201,50,62,36,48
SAUSA300_0202,31,31,33,23
SAUSA300_0203,53,38,46,66
SAUSA300_0204,169,138,187,197
SAUSA300_0205,48,29,21,25
SAUSA300_0206,322,300,286,284
SAUSA300_0207,384,291,278,273
SAUSA300_0208,78,74,177,203
SAUSA300_0209,120,111,234,330
SAUSA300_0210,163,156,420,379
SAUSA300_0211,99,72,162,164
SAUSA300_0212,387,333,595,676
SAUSA300_0213,311,353,533,491
SAUSA300_0214,377,342,531,498
SAUSA300_0215,49,28,493,515
SAUSA300_0216,410,413,476,475
SAUSA300_0217,334,383,532,411
SAUSA300_0218,327,355,444,411
SAUSA300_0219,319,356,467,345
SAUSA300_0220,12550,12374,38150,32160
SAUSA300_0221,5204,5788,23450,12914
SAUSA300_0222,119,123,178,193
SAUSA300_0223,142,149,418,463
SAUSA300_0224,140,156,877,798
SAUSA300_0225,6445,7091,479,481
SAUSA300_0226,3680,3997,192,245
SAUSA300_0227,4438,4735,211,223
SAUSA300_0228,3573,3838,132,149
SAUSA300_0229,4076,4425,174,202
SAUSA300_0230,673,787,793,829
SAUSA300_0231,199,233,273,200
SAUSA300_0232,150,142,335,208
SAUSA300_0233,313,331,898,991
SAUSA300_0234,943,1000,3382,2760
SAUSA300_0235,5312,5442,22929,17847
SAUSA300_0236,254,278,352,314
SAUSA300_0237,1651,1690,1402,1378
SAUSA300_0238,24,25,26,33
SAUSA300_0239,19,37,25,22
SAUSA300_0240,7,29,19,20
SAUSA300_0241,36,25,44,42
SAUSA300_0242,73,72,55,74
SAUSA300_0243,84,89,66,64
SAUSA300_0244,246,179,166,164
SAUSA300_0245,3029,3518,4585,4097
SAUSA300_0246,2788,2517,3845,3908
SAUSA300_0247,4163,4292,5328,5599
SAUSA300_0248,845,978,1101,1069
SAUSA300_0249,3817,4025,3577,3816
SAUSA300_0250,6113,6274,7045,6923
SAUSA300_0251,6247,6493,7157,6693
SAUSA300_0252,10938,11007,9998,9549
SAUSA300_0253,464,474,2192,2050
SAUSA300_0254,700,710,623,628
SAUSA300_0255,696,727,655,817
SAUSA300_0256,116,198,628,701
SAUSA300_0257,311,272,1478,1477
SAUSA300_0258,2113,2123,1138,1098
SAUSA300_0259,134,113,80,80
SAUSA300_0260,189,188,217,231
SAUSA300_0261,872,788,1551,1506
SAUSA300_0262,2434,2649,1330,1110
SAUSA300_0263,545,428,261,336
SAUSA300_0264,1269,1367,777,734
SAUSA300_0265,349,398,335,320
SAUSA300_0266,207,150,354,451
SAUSA300_0267,747,610,1149,1325
SAUSA300_0268,1189,1361,1908,2008
SAUSA300_0269,1053,968,604,617
SAUSA300_0270,3251,4170,3265,3708
SAUSA300_0271,304,302,332,339
SAUSA300_0272,189,220,249,275
SAUSA300_0273,164,184,226,261
SAUSA300_0274,1247,1179,2187,2461
SAUSA300_0275,115,95,60,50
SAUSA300_0276,124,157,137,228
SAUSA300_0277,425,453,259,229
SAUSA300_0278,10030,9272,13892,15024
SAUSA300_0279,387,369,353,399
SAUSA300_0280,293,312,312,340
SAUSA300_0281,109,99,132,128
SAUSA300_0282,93,95,105,97
SAUSA300_0283,186,185,222,216
SAUSA300_0284,117,115,193,183
SAUSA300_0285,445,551,383,553
SAUSA300_0286,137,102,89,145
SAUSA300_0287,214,216,190,250
SAUSA300_0288,691,740,685,763
SAUSA300_0289,1263,1210,1381,1540
SAUSA300_0290,30,49,77,86
SAUSA300_0291,104,107,134,208
SAUSA300_0292,332,261,388,314
SAUSA300_0293,27,23,34,64
SAUSA300_0294,38,11,12,22
SAUSA300_0295,27,32,50,34
SAUSA300_0296,93,61,82,96
SAUSA300_0297,89,151,138,125
SAUSA300_0298,127,107,48,56
SAUSA300_0299,128,169,60,91
SAUSA300_0300,103,133,54,103
SAUSA300_0301,216,194,125,121
SAUSA300_0302,315,294,150,243
SAUSA300_0303,426,483,139,231
SAUSA300_0304,710,712,292,279
SAUSA300_0305,222,397,463,337
SAUSA300_0306,1894,1926,1521,1437
SAUSA300_0307,1059,1120,5698,6032
SAUSA300_0308,793,779,967,837
SAUSA300_0309,1536,1840,1440,1219
SAUSA300_0310,778,766,2009,2184
SAUSA300_0311,24,13,556,488
SAUSA300_0312,35,82,1391,1097
SAUSA300_0313,54,66,536,386
SAUSA300_0314,223,232,691,586
SAUSA300_0315,174,177,601,508
SAUSA300_0316,174,200,391,401
SAUSA300_0317,273,342,470,466
SAUSA300_0318,239,239,573,563
SAUSA300_0319,26,46,36,42
SAUSA300_0320,6188,7246,13874,12996
SAUSA300_0321,496,467,549,501
SAUSA300_0322,276,230,256,244
SAUSA300_0323,40,20,22,71
SAUSA300_0324,595,657,1087,1263
SAUSA300_0325,866,883,1635,1838
SAUSA300_0326,611,629,1509,1589
SAUSA300_0327,605,586,1302,1500
SAUSA300_0328,712,588,1434,1489
SAUSA300_0329,1257,1283,2566,2348
SAUSA300_0330,195,201,418,403
SAUSA300_0331,207,192,569,452
SAUSA300_0332,123,190,288,316
SAUSA300_0333,133,119,339,279
SAUSA300_0334,150,122,199,211
SAUSA300_0335,67,87,127,120
SAUSA300_0336,230,205,266,286
SAUSA300_0337,921,903,2909,3141
SAUSA300_0338,409,450,243,226
SAUSA300_0339,590,627,415,338
SAUSA300_0340,496,389,268,262
SAUSA300_0341,599,472,596,757
SAUSA300_0342,60,53,102,110
SAUSA300_0343,379,290,180,167
SAUSA300_0344,43,69,47,62
SAUSA300_0345,102,62,54,73
SAUSA300_0346,78,59,64,68
SAUSA300_0347,270,286,246,235
