GeneName,X50482,X50483,X50484,X50485,X50486,X50487,X50489,X50490,X50491,X50492,X50493,X50627
dnaA,8695,12785,12600,12430,12859,10082,12625,12486,4288,11385,8767,8467
dnaN,7927,12225,12249,11564,11688,10505,11469,9857,3577,8921,6721,6045
yaaA,1052,1182,780,727,801,1157,1180,1036,605,1335,637,697
recF,7389,8718,5628,5627,5261,4168,9322,6773,3148,7845,4641,6249
EW033_RS00025,10012,10600,5890,6603,5924,4320,12015,6213,6909,8260,6646,9498
gyrA,14279,16559,12555,12567,12713,12433,18129,13404,7091,12999,14622,12013
EW033_RS00035,2240,1678,1951,2095,2096,2353,1496,1319,1966,1268,949,1262
hutH,553,267,479,354,213,198,558,384,3978,407,431,1187
EW033_RS00045,4998,4238,5316,4499,5075,5155,4896,2553,6014,3873,1584,2417
EW033_RS00050,1825,1824,2507,2445,2623,5047,2583,2693,3891,3615,5144,2757
EW033_RS00055,193,145,213,183,168,315,182,155,1114,170,151,406
EW033_RS00060,161,107,175,159,113,237,185,168,1148,158,144,450
EW033_RS00065,492,433,688,741,460,339,524,258,3622,332,116,1130
EW033_RS00070,3979,4584,4008,4046,4010,3579,2992,2759,2055,2504,1461,2157
EW033_RS00075,12082,13507,10817,12345,11588,8179,8787,7072,4490,6648,4895,5808
EW033_RS00080,3490,3755,3102,3405,3151,2830,2384,1960,1407,1821,1702,1638
dnaB,8944,10616,8651,8986,8588,5447,5327,4400,3147,3845,3419,4164
EW033_RS00090,24,26,35,26,16,20,59,5,1150,29,5,345
EW033_RS00095,3429,3599,2082,6311,3825,11112,936,1061,4294,808,705,1120
EW033_RS00110,3193,3870,3221,3021,2995,2658,3886,2871,2528,3239,2725,2941
walK,7033,8051,6462,6293,6505,5152,8218,6520,3476,7120,7384,6376
EW033_RS00120,6282,6886,5892,5515,5774,4444,6682,5544,3622,5656,6663,5582
EW033_RS00125,4048,4496,4082,3774,3747,3120,3743,2604,2811,2783,2286,2835
EW033_RS00130,2813,2755,2491,2622,2353,1746,1921,1393,2920,1381,362,1291
EW033_RS00135,994,752,1208,1113,685,1359,1310,787,8654,1134,2383,3129
rlmH,825,956,810,621,589,486,1235,710,2676,853,872,1642
EW033_RS00145,301,433,543,375,328,305,477,326,2367,435,349,894
EW033_RS00150,330,422,690,410,519,546,432,337,2036,419,365,870
EW033_RS00155,811,1257,1697,1226,1202,1221,1053,659,3630,761,494,1302
EW033_RS00160,87,57,159,132,65,102,125,68,1351,74,36,429
EW033_RS00165,21,13,36,30,13,15,53,11,569,12,7,152
EW033_RS00170,103,70,264,190,44,65,240,34,2719,66,19,778
EW033_RS00175,482,552,864,759,500,344,658,350,5040,331,119,1437
tnpA,1,0,13,7,1,1,12,2,166,4,0,25
EW033_RS00185,13,12,48,36,12,18,50,10,531,17,5,167
EW033_RS00190,6,7,13,14,1,5,14,0,59,4,1,45
EW033_RS00195,45,30,86,53,16,28,89,11,1024,40,3,450
EW033_RS00200,46,39,102,79,35,45,123,14,1316,50,21,359
EW033_RS00205,21,10,54,36,11,19,49,11,782,12,3,199
EW033_RS00210,3,4,11,4,3,0,7,3,143,4,2,24
EW033_RS00215,20,24,20,26,8,21,22,14,233,16,22,77
EW033_RS00220,29,20,28,18,18,24,22,24,85,23,35,49
EW033_RS00225,0,0,1,0,0,0,1,1,1,0,0,0
erm(A),2,3,2,0,5,14,0,6,1,4,2,2
EW033_RS00235,0,1,0,0,1,0,0,0,0,0,0,0
EW033_RS00240,0,0,0,0,0,0,0,0,0,0,0,0
EW033_RS00245,1,1,0,0,0,2,0,2,0,0,1,1
EW033_RS00250,30,15,45,28,14,20,30,18,262,14,3,100
EW033_RS00255,96,88,171,122,81,35,113,50,1076,56,18,359
EW033_RS00260,49,24,70,35,38,14,55,11,652,22,6,207
EW033_RS00265,53,48,79,75,49,27,63,11,940,21,11,237
EW033_RS00270,436,384,463,391,295,526,289,345,2944,340,711,1076
EW033_RS00275,391,357,402,361,316,365,301,366,1339,349,504,586
EW033_RS00280,134,138,191,115,135,99,103,159,343,102,126,162
EW033_RS00285,127,72,196,195,39,70,310,28,4140,120,12,1427
EW033_RS00290,625,497,705,671,441,508,616,407,4764,484,383,1490
EW033_RS00295,131,86,124,95,97,157,91,86,459,81,96,175
EW033_RS00300,685,516,545,532,433,692,1627,1854,2594,1581,2304,1986
merR,0,0,0,0,0,0,1,0,1,0,0,0
EW033_RS00310,0,0,0,0,0,0,1,0,0,0,0,0
EW033_RS00315,0,0,0,1,0,0,1,0,1,0,0,1
EW033_RS00320,0,0,0,1,0,0,0,1,0,0,0,0
merA,0,0,1,1,0,1,0,0,0,0,0,2
merB,0,0,0,0,1,0,1,0,0,0,0,0
EW033_RS00335,1,0,0,0,0,1,0,0,0,0,0,1
EW033_RS00340,0,0,1,0,0,0,0,0,0,0,0,0
EW033_RS00345,22,16,20,17,15,13,36,18,164,21,2,50
EW033_RS00350,80,49,85,94,49,77,72,61,224,60,53,102
EW033_RS00355,6,5,4,5,3,4,5,4,39,3,1,16
EW033_RS00360,350,385,462,461,383,321,209,189,660,170,84,368
EW033_RS00365,342,370,397,373,422,346,201,205,344,197,160,177
EW033_RS00370,127,79,132,92,107,84,75,84,245,53,57,97
