,MS2contr_R1,MS2contr_R2,MS2RsaA_R1,MS2RsaA_R2,raw_MS2totRNA,raw_MS2RsaAtotRNA
HG001_00151,5,3,4,6,16,27
HG001_00152,19,30,11,20,80,85
HG001_00153,70,100,33,90,400,384
HG001_00154,81,261,61,154,516,444
HG001_00155,448,1173,320,974,2974,3410
HG001_00156,5,12,9,16,42,62
HG001_00157,5,21,3,18,119,112
HG001_00158,29,100,10,74,225,215
HG001_00159,63,159,58,137,447,384
HG001_00160,57,131,51,138,300,362
HG001_00161,294,620,215,467,614,643
HG001_00162,475,915,349,744,512,664
HG001_00163,1103,2294,878,1782,940,1059
HG001_00164,5,5,2,4,47,34
HG001_00165,219,537,217,741,3562,3578
HG001_00166,607,575,667,678,695,764
HG001_00167,1597,1311,1771,1344,1034,1027
HG001_00168,434,366,391,342,524,453
HG001_00169,248983,231688,237444,159077,241879,235440
HG001_00170,68417,57888,63238,37461,56480,54681
HG001_00171,626,494,594,363,361,444
HG001_00172,2,4,4,1,55,50
HG001_00173,444,280,380,282,144,188
HG001_00174,558,3472,505,4111,2215,3585
HG001_00175,778,4629,631,5353,3937,6142
HG001_00176,614,3074,505,3233,2692,4031
HG001_00177,1405,5959,1207,6240,3814,5402
HG001_00178,3121,11388,2349,10668,4934,6685
HG001_00179,17,45,27,76,428,402
HG001_00180,1683,1947,1142,1661,4984,4996
HG001_00181,663,613,540,517,1038,1043
HG001_00182,682,933,988,756,2958,2439
HG001_00183,15299,18914,25824,18053,27955,26613
HG001_00184,67903,73171,107855,63159,107836,120521
HG001_00185,433,241,376,192,571,517
HG001_00186,1079,1088,715,909,1771,1594
HG001_00187,51,104,25,80,75,73
HG001_00188,9,18,7,7,12,11
HG001_00189,14,8,3,8,13,13
HG001_00190,122,124,66,92,76,75
HG001_00191,223,209,211,193,87,106
HG001_00192,4,6,5,4,2,1
HG001_00193,1030,988,1295,948,250,287
HG001_00194,1864,1934,1741,1612,2629,2434
HG001_00195,3376,3224,2444,2732,3450,3694
HG001_00196,16148,12394,17967,11977,6490,7400
HG001_00197,1095,1628,817,1209,1433,1372
HG001_00198,866,1521,761,1153,3099,2831
HG001_00199,4005,5770,3442,4612,7839,7585
HG001_00200,13355,18574,12411,15725,14645,16129
HG001_00201,24490,30490,24132,27526,19883,23661
HG001_00202,3925,4808,4706,5066,9471,9553
HG001_00203,162,514,198,393,2593,2471
HG001_00204,41,120,36,95,873,700
HG001_00205,65,122,85,132,91,117
HG001_00206,749,1079,759,1147,521,742
HG001_00207,4610,5774,5144,4686,4008,4201
HG001_00208,175,380,103,161,287,189
HG001_00209,214,442,145,264,899,652
HG001_00210,13,94,16,59,293,220
HG001_00211,1181,1410,983,923,1694,1700
HG001_00212,374,437,262,338,551,576
HG001_00213,523,772,526,565,1086,1157
HG001_00214,1587,832,1262,757,857,995
HG001_00215,23,61,20,48,360,173
HG001_00216,6,3,11,6,8,6
HG001_00217,17,33,11,25,145,182
HG001_00218,1093,967,1998,851,535,503
HG001_00219,2840,2648,5532,2678,931,994
HG001_00220,15,42,6,40,231,239
HG001_00221,10,30,9,38,190,191
HG001_00222,11,17,9,11,124,110
HG001_00223,36,66,22,74,752,818
HG001_00224,2,6,0,7,35,40
HG001_00225,7,22,6,33,73,65
HG001_00226,135,344,99,237,755,648
HG001_00227,390,614,343,431,7086,5422
HG001_00228,418,482,402,320,866,710
HG001_00229,22,29,13,30,84,69
HG001_00230,4,5,1,6,13,9
HG001_00231,49,77,45,43,167,127
HG001_00232,576,534,444,369,939,918
HG001_00233,59,52,42,41,57,74
HG001_00234,78,43,37,25,64,80
HG001_00235,118,94,93,76,120,128
HG001_00236,55,39,47,50,32,57
HG001_00237,1403,1315,1189,994,2255,2162
HG001_00238,547,911,435,736,4940,4231
HG001_00239,47,132,34,116,545,475
HG001_00240,59,126,33,72,347,277
HG001_00241,65,425,134,467,451,449
HG001_00242,66,117,64,73,93,114
HG001_00243,110,198,80,154,136,102
HG001_00244,98,129,82,75,182,136
HG001_00245,154,159,121,128,254,207
HG001_00246,123,117,90,69,272,250
HG001_00247,109,327,94,208,1394,1061
HG001_00248,122,437,102,378,3621,2799
HG001_00249,938,1520,3160,1650,1959,2636
HG001_00250,159,227,171,383,1249,1843
HG001_00251,80,142,51,66,1447,850
HG001_00252,653,794,837,919,3073,5085
HG001_00253,813,780,774,781,2288,3198
HG001_00254,244,495,385,828,1378,1809
HG001_00255,171,160,121,113,179,152
HG001_00256,395,362,371,317,244,291
HG001_00257,1139,1221,1115,1166,430,435
HG001_00258,1340,478,661,337,1402,1347
HG001_00259,551,204,291,129,735,667
HG001_00260,287,189,161,130,271,304
HG001_00261,29,27,20,36,234,254
HG001_00262,792,367,552,292,580,511
HG001_00263,19,84,65,165,268,359
HG001_00264,109728,68262,175593,57375,48330,53276
HG001_00265,325,570,332,481,473,507
HG001_00266,270,421,250,340,193,215
HG001_00267,441,459,241,298,706,685
HG001_00268,150,142,75,103,226,205
HG001_00269,608,541,314,358,694,635
HG001_00270,913,773,506,523,694,753
HG001_00271,1145,837,709,571,807,890
HG001_00272,10371,5393,10495,4984,7337,9108
HG001_00273,281,489,210,495,1546,1809
HG001_00274,42,60,35,48,178,229
HG001_00275,153,183,122,159,266,335
HG001_00276,892,1221,873,991,1056,1237
HG001_00277,36,121,50,70,809,627
HG001_00278,9,36,21,37,133,155
HG001_00279,6,24,8,26,75,89
HG001_00280,83,188,54,226,595,915
HG001_00281,208,321,186,254,680,772
HG001_00282,399,511,291,464,1117,1349
HG001_00283,189,271,125,210,694,809
HG001_00284,222,670,299,705,2103,2296
HG001_00285,29,72,36,79,215,219
HG001_00286,10,29,17,42,44,98
HG001_00287,74,143,50,192,152,329
HG001_00288,97,202,99,324,323,640
HG001_00289,208,327,442,467,498,767
HG001_00290,220,197,459,302,214,347
HG001_00291,63,42,89,46,127,157
HG001_00292,3,8,6,12,86,88
HG001_00293,18,66,30,46,381,332
HG001_00294,60,121,43,103,787,748
HG001_00295,47,112,58,157,793,829
HG001_00296,1,10,5,14,93,122
HG001_00297,3572,6987,2992,5306,16537,15002
HG001_00298,31,50,24,64,643,549
HG001_00299,30,66,26,61,271,331
HG001_00300,17,28,7,33,101,159
HG001_00301,21,27,7,53,43,62
HG001_00302,20,28,10,29,33,39
HG001_00303,12,26,4,43,804,1400
HG001_00304,42,91,27,63,277,227
HG001_00305,74,243,64,184,684,661
HG001_00306,21,49,22,50,297,212
HG001_00307,570,1300,548,1245,3154,2938
HG001_00308,5,13,9,13,130,109
HG001_00309,2400,6752,1381,4236,13010,13402
HG001_00310,3912,10102,2052,7225,14580,15433
HG001_00311,1298,3454,732,2221,6201,6854
HG001_00312,23,45,32,46,122,123
HG001_00313,26,32,24,26,27,19
HG001_00314,0,2,6,9,76,65
HG001_00315,0,0,0,1,8,4
HG001_00316,212,215,524,334,5991,8722
HG001_00317,14890,15969,22434,17104,2456,1766
HG001_00318,935,1198,871,1252,13447,19687
HG001_00319,136,253,192,243,658,528
HG001_00320,109,276,102,243,1246,1126
HG001_00321,531,1750,429,1489,2539,2592
HG001_00322,29,113,18,59,379,370
HG001_00323,4549,8360,2781,6800,27676,29315
HG001_00324,2840,5178,2208,3932,15779,15240
HG001_00325,996,993,716,1000,1584,1682
HG001_00326,700,468,786,662,911,961
HG001_00327,596,1965,428,1377,8677,8248
HG001_00328,431,1147,436,1017,2703,2810
HG001_00329,958,1533,694,1202,18540,21681
HG001_00330,5,11,2,8,36,34
HG001_00331,127,220,108,196,1113,1066
HG001_00332,550,883,516,810,2232,2378
HG001_00333,4481,7705,2894,5878,10060,9721
HG001_00334,9466,14767,6995,11137,14309,16023
HG001_00335,11,15,16,20,92,127
HG001_00336,23,26,34,29,156,162
HG001_00337,0,1,0,2,27,33
HG001_00338,3,3,2,1,30,41
HG001_00339,395,392,285,310,458,474
HG001_00340,545,520,412,431,820,689
HG001_00341,163,253,105,153,914,1039
HG001_00342,5,4,7,6,34,39
HG001_00343,4,7,4,8,26,32
HG001_00344,8,11,3,9,29,22
HG001_00345,9,30,13,13,27,22
HG001_00346,23,25,37,38,51,47
HG001_00347,58,75,61,69,165,172
HG001_00348,5,7,4,5,60,51
HG001_00349,14,26,13,19,40,42
HG001_00350,136,186,229,119,241,193
HG001_00351,607,674,587,609,781,1111
HG001_00352,151,245,161,228,570,665
HG001_00353,17,38,28,34,44,49
HG001_00354,399,595,448,461,614,666
HG001_00355,33,17,19,15,287,274
HG001_00356,9,16,4,15,101,88
HG001_00357,45,98,21,59,181,191
HG001_00358,388,785,334,617,3243,2439
HG001_00359,1076,1817,803,1325,7993,6630
HG001_00360,318,495,334,457,2360,2130
HG001_00361,475,745,662,766,3562,3303
HG001_00362,40,63,145,139,240,243
HG001_00363,63,77,37,63,288,316
HG001_00364,998,374,49,573,685,1342
HG001_00365,15906,5725,1332,8108,3980,8471
HG001_00366,4208,2095,866,2483,2288,3336
HG001_00367,126,228,81,207,793,938
HG001_00368,214,358,136,294,1021,1144
HG001_00369,68,84,91,65,24,18
HG001_00370,564,467,591,439,92,122
HG001_00371,200,112,141,82,157,172
HG001_00372,953,409,652,295,408,459
HG001_00373,9,11,11,22,68,62
HG001_00374,7,7,5,8,43,44
HG001_00375,9,20,23,32,127,140
HG001_00376,995,1006,1621,2003,3838,7257
HG001_00377,50,84,78,171,636,688
HG001_00378,150,175,133,153,505,597
HG001_00379,425,540,466,496,1270,1198
HG001_00380,27,68,20,113,428,478
HG001_00381,12,41,11,32,371,386
HG001_00382,3,13,6,9,151,210
HG001_00383,547,679,596,565,720,856
HG001_00384,453,519,448,447,578,607
HG001_00385,21,20,8,9,43,45
HG001_00386,6871,8975,19763,10578,27373,32644
HG001_00387,2527,2515,4501,2346,6218,6974
HG001_00388,1401,1369,2222,1289,4064,4430
HG001_00389,838,630,700,458,1187,1048
HG001_00392,227,348,154,235,458,489
HG001_00393,4159,5357,3042,4423,3694,4037
HG001_00394,2502,4227,1813,3424,4042,4005
HG001_00395,2426,3772,1696,3030,4408,4419
HG001_00396,2252846,2980850,2912781,3655668,2,0
HG001_00397,1980866,2112052,2181872,1934123,1,0
HG001_00398,706,1101,625,918,897,923
HG001_00399,183,359,172,333,590,600
HG001_00400,506,930,450,927,7541,8137
HG001_00401,252,509,253,446,4454,4595
HG001_00402,205,460,196,452,1857,2055
HG001_00403,164,402,128,343,995,1124
HG001_00404,338,464,212,328,722,833
HG001_00405,164,230,113,164,145,172
HG001_00406,846,1048,601,659,805,801
HG001_00407,2362,3425,1578,2730,10508,9691
HG001_00408,1086,1655,768,1472,4889,5040
HG001_00409,179,267,118,250,785,828
HG001_00410,414,649,315,625,1551,1770
HG001_00411,5076,6187,8050,7125,33440,38870
HG001_00412,7765,8533,13131,9318,4618,6820
HG001_00413,5448,5983,6385,5691,4873,6506
HG001_00414,29910,20259,25925,16660,17547,23601
HG001_00415,21122,14693,19496,13059,16344,21652
HG001_00416,10827,20178,5351,11157,10950,10308
HG001_00417,12803,25885,6351,16324,11960,12038
HG001_00418,16501,37996,7739,24397,19817,21928
HG001_00419,51,183,33,141,395,484
HG001_00420,949,1919,584,1938,3735,4778
HG001_00421,412,891,308,858,1581,2134
HG001_00422,847,1570,604,1463,2041,2813
HG001_00423,209,441,159,388,460,589
HG001_00424,548,1028,414,1012,1276,1494
HG001_00425,992,2956,680,2013,5151,5632
HG001_00426,176,345,167,270,824,884
HG001_00427,213,470,115,352,1105,1093
HG001_00428,6911,10355,5042,10329,21232,24798
HG001_00429,251,515,195,505,1653,1817
HG001_00430,2698,3070,1949,2200,11683,12138
HG001_00431,236,272,147,208,658,622
HG001_00432,186,216,99,155,383,405
HG001_00433,427,578,268,429,980,954
HG001_00434,2563,4252,1647,4010,10145,10751
HG001_00435,2136,1805,1373,1511,3,1
HG001_00437,1,0,0,0,1,1
HG001_00438,0,2,0,2,2,2
HG001_00440,1,0,0,0,3,0
HG001_00441,2,3,2,0,6,2
HG001_00442,1,0,1,0,7,11
HG001_00443,40,66,23,45,17,36
HG001_00444,2278476,3011802,2942205,3693304,1,4
HG001_00447,1954753,2094794,2135653,1920710,158,140
HG001_00448,2202,1731,1337,1452,6349,6333
HG001_00449,0,24,0,14,4906,5081
HG001_00450,619,3082,331,2406,9770,7259
HG001_00451,692,3047,421,2426,3189,3377
HG001_00452,275,863,447,1178,4003,3837
HG001_00453,504,1079,475,625,7835,7959
HG001_00454,971,1546,745,970,25640,27946
HG001_00455,2085,3058,1673,2067,4216,4520
HG001_00456,6077,8176,6491,8581,3697,3890
HG001_00457,5674,5409,4141,4548,5239,5890
HG001_00458,2692,3304,2092,2736,1899,1732
HG001_00459,12600,8762,9523,8721,1306,1394
HG001_00460,1574,1195,1215,1196,4592,4795
HG001_00461,1275,850,646,734,1162,1371
HG001_00462,4443,4109,2591,3100,2076,2564
HG001_00463,1530,1323,828,1096,2317,2654
HG001_00464,3083,2855,1689,2080,1829,2127
HG001_00465,2729,2383,1484,1758,2128,2317
HG001_00466,1374,1881,928,1516,5367,6209
HG001_00467,1020,1643,554,1194,11899,14001
HG001_00468,4477,6760,2469,5019,12083,14446
HG001_00469,7539,12850,4731,10208,2156,2221
HG001_00470,20212,32251,15781,27501,8569,10648
HG001_00471,136,421,159,400,5417,6670
HG001_00472,739,1347,544,1317,1654,1749
HG001_00473,382,773,327,713,79348,95326
HG001_00474,1161,854,658,784,74952,102850
HG001_00475,182340,145174,119741,116233,7574,7605
HG001_00476,251507,197677,181955,166749,28161,27988
HG001_00477,51472,50693,55371,40363,29236,30901
HG001_00478,133050,122041,115476,90560,135954,151309
HG001_00479,99932,94664,78772,68947,180358,194295
HG001_00480,304650,301697,198036,219017,646,805
HG001_00481,112039,114029,73074,86409,7647,8310
HG001_00482,493,427,601,551,6958,7331
HG001_00483,1969,3883,1133,2993,1495,1508
HG001_00484,2530,1797,1557,1034,5304,4970
HG001_00485,485,806,264,662,9930,10934
HG001_00486,694,1499,423,1302,1921,1947
HG001_00487,636,1158,413,1236,606,612
HG001_00488,407,798,553,760,229,183
HG001_00489,30,61,17,72,456,376
HG001_00490,8,23,7,18,2368,1894
HG001_00491,19,54,26,46,2111,1820
HG001_00492,67,201,75,170,36498,26818
HG001_00493,128,316,92,242,20986,23862
HG001_00494,8989,17110,4103,9162,1605,1324
HG001_00495,28951,25870,19165,20585,6868,6237
HG001_00496,1248,1468,1207,1102,1416,1714
HG001_00497,587,1156,446,981,728,897
HG001_00498,763,1858,1699,2047,640,751
HG001_00499,345,1014,740,1060,1674,1589
HG001_00500,143,378,169,419,4982,4784
HG001_00501,4099,4037,7144,3498,5214,5357
HG001_00502,4002,3935,5122,3162,128,116
HG001_00503,4414,4068,4606,3567,5527,4377
HG001_00504,44,24,73,33,64,64
HG001_00505,4149,3223,3097,2015,352,321
HG001_00506,43,41,22,19,53,55
HG001_00507,323,291,309,271,77,63
HG001_00508,35,45,59,47,16181,14009
HG001_00509,56,40,49,39,3568,3746
HG001_00510,258,655,487,601,1208,1103
HG001_00511,633,1822,471,1573,1050,912
HG001_00512,163,433,89,292,889,886
HG001_00513,148,483,80,307,3112,3895
HG001_00514,122,400,71,242,224,150
HG001_00515,2134,1873,1983,1695,375,201
HG001_00516,110,171,28,65,16080,29209
HG001_00517,137,185,34,77,6984,6209
HG001_00518,4517,4582,1132331,826602,18377,18193
HG001_00519,340,783,259,738,17305,17069
HG001_00520,9389,15355,5585,12416,5864,8322
HG001_00521,9703,15774,5131,12079,5610,7195
HG001_00522,3586,2942,3057,2315,5453,6496
HG001_00523,8859,6147,7381,4658,644,731
HG001_00524,13287,8216,11374,6299,557,552
HG001_00525,372,287,269,204,71,61
HG001_00526,36,140,26,85,1484,1374
HG001_00527,2,15,9,8,494,385
HG001_00528,730,1821,771,1338,563,556
HG001_00529,27,137,38,122,663,698
HG001_00530,108,244,83,177,470,515
HG001_00531,134,305,101,269,343,388
HG001_00532,79,172,59,179,288,334
HG001_00533,34,106,29,82,166,186
HG001_00534,51,71,38,90,116,132
HG001_00535,21,30,10,26,110,168
HG001_00536,8,22,10,25,238,227
HG001_00537,6,15,6,17,105,146
HG001_00538,14,44,7,41,168,189
HG001_00539,24,45,16,54,1913,1966
HG001_00540,24,57,11,51,2707,2809
HG001_00541,407,664,322,578,344,357
HG001_00542,636,968,719,1050,2593,2916
HG001_00543,21,28,13,34,1317,1454
HG001_00544,249,378,154,382,18762,18878
HG001_00545,131,215,92,195,7,13
HG001_00546,4514,2626,6394,2492,557,641
HG001_00547,2,2,3,4,3852,4119
HG001_00548,128,126,85,163,131,125
HG001_00549,783,811,433,790,898,605
HG001_00550,20,36,19,32,482,410
HG001_00551,41,77,28,57,1065,804
HG001_00552,22,125,24,123,2347,2004
HG001_00553,77,331,71,253,32161,29468
HG001_00554,220,853,139,600,829,819
HG001_00555,3908,7189,5220,7823,10453,10645
HG001_00556,133,256,134,233,10746,10667
HG001_00557,8245,4611,5960,3017,283,279
HG001_00558,430,795,736,801,13,6
HG001_00559,51,75,137,148,20,11
HG001_00560,1,4,3,5,2685,3910
HG001_00561,2,6,0,4,3938,5669
HG001_00562,5595,1768,4005,1479,559,555
HG001_00563,6098,1734,5891,1671,254,317
HG001_00564,447,217,588,168,1326,1733
HG001_00565,331,145,484,136,200,205
HG001_00566,3793,1573,4951,1304,264,311
HG001_00567,229,171,422,112,712,792
HG001_00568,878,348,1127,320,7763,7799
HG001_00569,1361,678,1980,529,153966,153804
HG001_00570,536,949,586,997,40209,35518
HG001_00571,31896,79507,23390,71596,26963,22362
HG001_00572,9698,16472,5932,10636,38421,29905
HG001_00573,5235,12173,4142,8265,5919,5670
HG001_00574,13588,23636,11684,16172,396,361
HG001_00575,389,1186,819,1575,1052,972
HG001_00576,11,48,22,50,7926,6969
HG001_00577,58,205,30,128,4760,4625
HG001_00578,520,1528,487,1485,2447,2349
HG001_00579,330,977,308,915,2478,2804
HG001_00580,1091,1602,1086,1257,1629,1561
HG001_00581,1869,2423,1681,2115,604,818
HG001_00582,959,1168,873,953,24027,27292
HG001_00583,148,190,93,198,6325,6971
HG001_00584,7319,10245,9358,12882,284,247
HG001_00585,1329,2578,1185,2751,2048,1584
HG001_00586,144,541,97,419,1113,1339
HG001_00587,164,362,110,286,364,412
HG001_00588,294,446,339,417,698,802
HG001_00589,183,208,174,251,3979,3307
HG001_00590,274,416,282,444,3828,3399
HG001_00591,1135,1499,595,953,1711,1600
HG001_00592,1259,1605,671,1139,7621,7858
HG001_00593,646,812,330,548,5104,4991
HG001_00594,962,1419,571,1020,308,422
HG001_00595,1602,2928,1705,2525,713,741
HG001_00596,77,141,42,119,2008,1863
HG001_00597,100,119,57,116,1449,1245
HG001_00598,107,195,70,218,876,852
HG001_00599,245,536,212,493,1543,1598
HG001_00600,278,539,200,422,1003,1047
HG001_00601,590,940,349,795,2265,2360
HG001_00602,217,440,179,365,4339,3816
HG001_00603,346,854,311,631,7235,6740
HG001_00604,506,1172,582,839,5426,9410
HG001_00605,1770,2674,1829,2295,1473,1354
HG001_00606,612,1471,483,1534,1345,2019
HG001_00607,143,303,82,234,7375,1685
HG001_00608,359,450,180,422,6519,6222
HG001_00609,245,874,297,297,3271,3221
HG001_00610,12735,12334,13154,10480,2835,2372
HG001_00611,9086,8774,9121,7002,5507,4993
HG001_00612,518,1028,733,824,2979,2987
HG001_00613,1566,2549,1987,2112,1244,1238
HG001_00614,833,1203,910,1078,160,209
HG001_00615,152,316,165,297,92,59
HG001_00616,3,3,2,9,927,989
HG001_00617,4,13,4,6,3925,4953
HG001_00618,50,85,54,79,1537,1485
HG001_00619,162,204,208,285,2160,3440
HG001_00620,63,93,93,85,1474,2317
HG001_00621,3389,3323,3988,3460,6984,9717
HG001_00622,668,839,1187,751,717,814
HG001_00623,308,294,448,313,1652,2020
HG001_00624,955,896,893,829,1868,2234
HG001_00625,844,1052,796,972,17081,20397
HG001_00626,1485,1719,1457,1636,2427,2495
HG001_00627,294,956,70654,100857,4942,4612
HG001_00628,803,1307,1417,1041,788,664
HG001_00629,567,1238,595,1027,4934,4634
HG001_00630,7,78,11,69,8161,8752
HG001_00631,1591,2278,1419,1796,103,147
HG001_00632,3875,4834,2799,3583,306,347
HG001_00633,10,13,8,17,393,545
HG001_00634,8,14,11,38,1073,1204
HG001_00635,7,23,13,30,1079,1801
HG001_00636,123,196,92,188,614,496
HG001_00637,30,58,29,171,460,464
HG001_00638,100,244,186,205,486,586
HG001_00639,20,127,79,124,2930,3543
HG001_00640,60,265,151,210,1654,1473
HG001_00641,303,828,528,1011,5087,5883
HG001_00642,499,832,459,530,4168,5689
HG001_00643,2302,4008,1754,3120,6860,8493
HG001_00644,785,419,801,505,5438,4332
HG001_00645,1845,1079,2164,1488,2472,2065
HG001_00646,1032,2734,892,2181,381,434
HG001_00647,514,1141,410,873,423,467
HG001_00648,50,81,35,89,1500,1236
HG001_00649,39,102,37,119,966,1055
HG001_00650,32,142,32,122,267,309
HG001_00651,315,403,314,342,168,203
HG001_00652,96,114,104,120,122,127
HG001_00653,26,56,35,56,718,563
HG001_00654,27,51,24,54,579,523
HG001_00655,225,443,138,332,1207,1088
HG001_00656,153,307,105,240,2034,2036
HG001_00657,281,645,238,509,26750,24814
HG001_00658,666,1299,424,994,2331,2705
HG001_00659,3602,14379,2275,8834,3420,3403
