,111171_A,111171_B,111171_C,111171_D,111171_E,111171_F,111171_G,111171_H,111171_I,111171_J,111171_K,111171_L
RSAU_001718,360,338,294,221,237,243,250,329,281,264,267,227
RSAU_001719,63,38,79,31,47,56,85,119,140,86,141,92
RSAU_001720,24,26,24,19,12,24,39,52,63,38,56,31
RSAU_001721,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001722,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001723,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001724,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001725,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001726,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001727,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001728,11,4,9,7,11,7,15,11,11,11,18,15
RSAU_001729,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001730,7,9,4,2,3,6,7,17,14,14,15,9
RSAU_001731,1,1,4,2,2,1,3,3,1,2,3,3
RSAU_001732,0,0,0,0,0,0,0,0,0,1,1,1
RSAU_001733,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001734,0,0,1,0,1,0,0,0,0,0,0,0
RSAU_001735,0,0,0,0,0,0,0,0,1,0,0,0
RSAU_001736,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001737,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001738,0,0,0,0,0,0,0,0,1,0,0,0
RSAU_001739,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001740,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001741,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001742,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001743,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001744,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001745,1,1,1,2,4,4,2,0,25,3,3,1
RSAU_001746,3,11,4,5,5,9,8,12,9,4,7,0
RSAU_001747,0,1,3,0,1,2,0,0,8,0,0,0
RSAU_001748,5322,5696,4958,3280,4800,4510,3750,5648,4709,3636,4443,3386
RSAU_001749,1723,1986,1678,1438,1668,1499,1430,1809,1378,969,979,820
RSAU_001750,270,302,250,187,210,217,216,330,217,133,132,103
RSAU_001751,2320,2045,2015,1757,1848,1872,1689,2066,1709,1087,1255,1081
RSAU_001752,792,886,726,585,684,617,634,867,698,439,406,366
RSAU_001753,742,747,756,613,711,781,685,952,769,452,517,422
RSAU_001754,855,848,805,634,824,811,698,984,709,457,488,456
RSAU_001755,162,150,165,155,148,127,147,206,170,121,122,107
RSAU_001756,2681,2781,2541,1872,2144,2032,2010,2581,2144,1592,2057,1469
RSAU_001757,1000,949,880,749,950,870,675,1010,799,442,387,336
RSAU_001758,1220,1261,1250,1089,1279,1174,991,1405,1194,673,588,416
RSAU_001759,87,104,117,122,99,112,112,140,87,66,65,51
RSAU_001760,245,271,322,264,262,246,253,360,264,165,133,119
RSAU_001761,528,482,458,359,411,402,334,460,428,317,319,320
RSAU_001762,2898,3629,2529,1616,2484,1985,1884,3461,2478,1460,1892,1558
RSAU_001763,11,22,26,18,8,15,20,28,15,18,7,11
RSAU_001764,326,290,286,241,248,252,246,342,248,207,185,181
RSAU_001765,1291,1320,1348,1201,1247,1243,1213,1389,1346,716,745,549
RSAU_001766,1781,2001,1853,1593,1702,1672,1709,2224,1822,1069,978,797
RSAU_001767,25,27,24,31,19,28,30,33,28,14,23,26
RSAU_001768,815,839,667,441,626,557,646,1048,706,476,637,453
RSAU_001769,1303,1254,996,745,1071,867,1044,1434,1201,812,1038,789
RSAU_001770,1719,1820,1450,1217,1443,1198,1399,2355,1875,730,894,810
RSAU_001771,959,1073,1005,771,953,975,849,1111,889,510,549,451
RSAU_001772,969,1181,1235,999,1008,974,989,1301,1109,707,646,476
RSAU_001773,452,504,530,413,498,466,437,600,526,330,298,250
RSAU_001774,200,194,193,191,183,175,170,265,182,129,106,116
RSAU_001775,1638,1627,1438,1245,1441,1385,1285,1661,1320,971,1125,823
RSAU_001776,317,284,288,242,250,276,226,316,263,160,165,141
RSAU_001777,60,63,47,37,50,52,60,81,67,41,34,43
RSAU_001778,920,875,935,784,850,789,826,1030,849,532,473,383
RSAU_001779,931,955,966,890,805,891,888,1255,999,636,581,480
RSAU_001780,11578,9423,10890,8416,8792,10528,7989,11047,9513,7165,9051,8319
RSAU_001781,1038,958,892,662,819,801,765,1017,814,584,595,527
