,111171_A,111171_B,111171_C,111171_D,111171_E,111171_F,111171_G,111171_H,111171_I,111171_J,111171_K,111171_L
RSAU_002000,1572,1752,1305,1154,1650,1250,1141,1618,1359,932,802,725
RSAU_002001,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_002002,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_002003,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_002004,0,0,0,1,0,0,0,0,0,0,0,0
RSAU_002005,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_002006,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_002007,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_002008,1,0,3,0,0,10,0,0,37,0,0,2
RSAU_002009,0,0,2,0,0,4,0,0,6,0,0,0
RSAU_002010,2583,2803,2423,1819,2239,1995,1907,2515,2063,1226,1402,1230
RSAU_002011,831,776,703,546,689,645,694,923,692,508,550,494
RSAU_002012,448,336,377,306,342,335,324,465,329,199,205,185
RSAU_002013,254,216,232,203,246,234,237,284,215,136,136,79
RSAU_002014,628,674,635,569,571,561,575,744,565,347,282,285
RSAU_002015,860,993,847,731,803,763,764,1053,829,501,466,434
RSAU_002016,143,162,120,70,95,88,101,130,97,92,86,69
RSAU_002017,3599,3029,2849,2332,2684,2695,3276,3659,3229,2414,2147,1920
RSAU_002018,135,135,107,99,131,139,130,189,123,54,66,56
RSAU_002019,177,100,147,108,106,155,109,128,116,71,78,67
RSAU_002020,125,72,115,75,62,82,58,114,89,31,44,36
RSAU_002021,385,228,442,338,183,336,203,395,331,108,154,98
RSAU_002022,329,397,375,373,331,368,303,440,352,150,206,123
RSAU_002023,424,422,517,403,360,376,325,509,401,202,218,146
RSAU_002024,105,96,131,88,76,105,71,125,116,45,52,25
RSAU_002025,1628,1588,1820,1477,1483,1580,1428,1943,1641,1447,1380,942
RSAU_002026,15416,19982,14523,13609,15693,11686,15993,22129,16807,9035,10472,9064
RSAU_002027,1753,2271,1575,1363,1709,1213,1667,2389,1863,1011,1087,1020
RSAU_002028,3549,4535,3460,2980,3342,2450,3956,5756,4374,2126,2494,2028
RSAU_002029,827,1356,764,673,934,590,985,1428,1095,545,731,521
RSAU_002030,449,450,385,344,426,380,345,446,384,261,289,263
RSAU_002031,9796,10328,8698,6866,8754,7633,6283,8222,7124,4882,5938,4680
RSAU_002032,398,465,412,359,392,382,346,502,348,179,164,147
RSAU_002033,132,187,156,127,134,118,153,154,107,52,64,45
RSAU_002034,89,129,102,112,98,85,99,93,98,14,26,21
RSAU_002035,13,15,10,13,7,11,12,12,12,2,1,1
RSAU_002036,29,68,37,38,35,30,32,40,33,3,8,2
RSAU_002037,27,40,34,25,20,27,39,34,19,0,2,0
RSAU_002038,13,21,16,16,14,7,23,16,9,1,1,1
RSAU_002039,9,13,6,12,8,17,7,29,15,3,0,0
RSAU_002040,383,481,395,329,395,331,356,523,362,226,266,206
RSAU_002041,406,448,381,266,365,303,308,391,318,247,293,201
RSAU_002042,14,13,19,19,12,16,16,34,36,16,7,7
RSAU_002043,486,594,481,401,448,400,382,481,384,286,289,257
RSAU_002044,58,93,76,50,80,48,65,81,64,41,41,28
RSAU_002045,92,95,102,77,81,77,101,109,80,81,74,78
RSAU_002046,125,137,132,102,102,98,91,158,129,77,90,70
RSAU_002047,9,9,11,11,12,4,6,13,4,3,15,5
RSAU_002048,409,482,371,242,368,267,446,773,528,212,286,239
RSAU_002049,166,182,149,144,191,166,167,244,183,101,108,97
RSAU_002050,166,199,132,144,156,131,160,233,199,100,113,74
RSAU_002051,5,6,5,3,6,6,7,12,2,2,3,2
RSAU_002052,268,308,308,276,257,253,282,382,277,155,143,115
RSAU_002053,3642,3253,3837,3373,2832,3302,3232,3659,3564,1898,2402,1842
RSAU_002054,1984,1926,2081,1558,1396,1746,1765,2576,2003,1050,1194,974
RSAU_002055,522,636,619,581,560,446,549,717,548,367,351,222
RSAU_002056,446,626,545,525,493,451,497,609,513,319,297,200
RSAU_002057,513,531,514,492,481,441,481,552,472,323,345,238
RSAU_002058,396,327,276,259,287,264,293,359,261,241,256,199
RSAU_002059,3924,3762,4456,3595,3290,3424,4170,5366,4785,2053,2372,1552
RSAU_002060,6332,6898,8137,6294,5577,6017,7395,9679,8594,3795,4030,2478
RSAU_002061,2318,2585,3236,2621,1866,2284,2975,3947,3556,1330,1487,864
RSAU_002062,1708,1971,2330,1875,1390,1659,2133,3043,2527,965,1093,696
RSAU_002063,173,225,284,159,167,191,181,334,236,80,106,53
RSAU_002064,932,1288,1222,922,837,929,1108,1710,1327,507,593,325
RSAU_002065,3343,3468,4037,2953,2618,2782,4049,5137,4507,1755,2046,1141
RSAU_002066,7705,8091,9260,6868,6143,6555,8613,11666,9992,4017,4567,2979
RSAU_002067,1967,1590,2339,1781,1449,1906,2215,2764,2699,967,1162,810
RSAU_002068,583,560,746,606,418,548,735,1021,783,281,372,214
RSAU_002069,2357,2364,3064,2231,1670,2453,2892,3814,3396,1221,1473,850
RSAU_002070,1514,1512,2200,1742,1073,1373,1959,2678,2304,786,801,540
RSAU_002071,2279,2327,3161,2202,1644,2034,2621,4019,3268,1164,1206,814
RSAU_002072,1595,1792,2760,2201,1142,1469,2304,3091,2778,779,953,641
RSAU_002073,407,476,634,440,251,377,559,815,649,198,224,158
RSAU_002074,1816,2110,2855,2002,1394,1716,2536,3536,3027,909,1018,611
RSAU_002075,1125,1164,1765,1368,676,943,1434,1993,1728,477,586,330
RSAU_002076,1505,1734,2311,1763,1007,1348,1976,2827,2443,797,881,556
RSAU_002077,777,952,1310,1021,621,749,1163,1593,1311,387,449,287
RSAU_002078,286,391,500,355,252,306,450,641,548,192,173,110
RSAU_002079,1446,1709,2160,1608,1027,1374,2101,2841,2527,802,885,565
RSAU_002080,2673,3136,4213,3150,2138,2571,3907,5313,4584,1533,1765,1157
RSAU_002081,1203,1255,1669,1416,847,1150,1577,2202,1774,600,711,478
RSAU_002082,1178,1128,1730,1609,814,1085,1690,2093,1809,605,768,508
RSAU_002083,4588,3844,5780,5287,3448,4580,5586,6872,5949,2790,3248,2091
RSAU_002084,797,671,1016,967,667,889,987,1383,889,520,590,400
RSAU_002085,2035,1028,2131,2269,1892,2239,2491,2764,1887,1313,1492,957
RSAU_002086,2028,1459,2580,2492,1779,2074,2839,3119,2413,1321,1493,1017
RSAU_002087,912,918,1132,872,720,1035,1214,1690,1272,702,739,515
RSAU_002088,2455,2209,1935,1451,1763,1741,1449,2091,1385,1114,1374,1162
RSAU_002089,1697,1627,1717,1610,1404,1657,1463,2042,1743,797,995,729
RSAU_002090,940,1227,1232,1239,1047,1006,1140,1253,1065,569,598,370
RSAU_002091,878,831,838,552,662,686,716,984,771,460,442,365
RSAU_002092,247,292,231,215,234,193,250,313,271,191,167,164
RSAU_002093,541,521,420,350,397,375,421,551,366,350,400,274
RSAU_002094,48,48,35,24,49,48,38,62,40,49,23,31
RSAU_002095,893,804,772,636,752,657,662,932,721,495,537,482
RSAU_002096,1571,2255,2069,2038,2177,1675,2140,2661,2136,857,876,489
RSAU_002097,1293,1455,1444,1296,1350,1282,1279,1724,1483,680,681,533
RSAU_002098,178,207,180,161,179,167,173,259,187,101,101,91
RSAU_002099,65,59,54,39,35,45,50,104,58,41,45,25
RSAU_002100,378,345,349,321,305,341,329,455,355,241,271,220
RSAU_002101,89,110,79,64,91,61,60,86,69,48,33,24
RSAU_002102,834,875,756,698,677,702,671,973,681,482,481,380
RSAU_002103,328,394,346,316,316,315,269,425,271,209,196,124
RSAU_002104,31,39,49,46,27,39,30,37,35,21,18,24
RSAU_002105,151,206,170,145,103,118,167,239,164,105,104,83
RSAU_002106,47,67,58,55,55,61,59,90,55,41,35,16
RSAU_002107,240,385,259,272,245,221,255,349,307,134,189,122
RSAU_002108,652,622,571,530,425,468,528,659,549,454,587,398
RSAU_002109,94,130,100,128,101,109,99,111,115,67,77,46
RSAU_002110,187,246,218,192,176,200,189,275,202,112,115,82
RSAU_002111,232,207,202,220,166,179,184,239,195,118,152,92
RSAU_002112,221,225,208,214,217,199,235,277,208,132,129,69
RSAU_002113,249,246,229,238,209,198,228,264,197,99,86,80
RSAU_002114,1356,1512,1254,1016,1222,1042,903,1126,973,714,791,659
RSAU_002115,264,248,259,252,246,200,244,331,242,168,152,137
RSAU_002116,86,62,81,75,69,77,81,99,87,60,47,49
RSAU_002117,94,99,112,99,95,87,85,128,110,83,73,59
RSAU_002118,99,100,108,104,77,93,133,160,125,67,83,43
RSAU_002119,835,1012,766,696,856,770,702,1024,771,556,621,520
RSAU_002120,144,150,117,95,130,128,99,163,109,68,68,37
RSAU_002121,6,13,10,3,10,11,4,10,9,3,5,1
RSAU_002122,83,98,102,86,70,71,78,126,67,28,14,10
RSAU_002123,729,902,801,679,736,634,658,1032,780,175,236,134
RSAU_002124,152,205,208,203,185,138,146,225,160,43,53,16
RSAU_002125,337,440,413,301,344,313,259,431,316,104,80,55
RSAU_002126,354,460,380,318,300,307,353,433,329,111,127,93
RSAU_002127,713,855,778,649,715,638,580,774,639,235,214,175
RSAU_002128,2685,2327,2163,1403,1719,1525,1842,2348,1751,1626,1545,1253
RSAU_002129,384,399,266,215,316,282,191,302,211,174,198,166
RSAU_002130,36,39,31,25,21,18,29,34,25,16,27,12
RSAU_002131,75,74,62,60,62,58,69,79,67,42,46,42
RSAU_002132,4580,3682,4749,4862,3073,3927,4123,4743,3946,2163,2647,1932
RSAU_002133,684,697,583,495,743,560,643,1009,766,488,585,469
RSAU_002134,364,370,308,255,344,302,228,493,373,252,294,252
RSAU_002135,161,132,130,85,95,130,90,146,113,94,109,85
RSAU_002136,13332,12093,13084,10039,9249,10227,9419,12918,9096,7468,8517,7106
RSAU_002137,4404,4626,3906,3166,3922,3486,3201,3959,3528,2837,3274,2575
RSAU_002138,213,196,189,126,158,155,156,215,164,123,113,94
RSAU_002139,0,0,1,0,0,0,0,0,0,0,0,0
RSAU_002140,66,53,81,55,52,53,63,88,67,49,45,41
RSAU_002141,90,101,110,72,97,98,96,160,109,78,69,71
RSAU_002142,16,18,16,20,9,8,17,25,18,15,18,6
RSAU_002143,357,369,380,349,333,333,345,486,387,212,241,186
RSAU_002144,438,424,414,349,354,360,361,511,361,311,334,281
RSAU_002145,799,867,773,660,731,636,616,888,694,494,502,406
RSAU_002146,3232,3689,3089,2570,2897,2570,2709,3563,2948,2334,2289,1765
RSAU_002147,754,844,713,655,705,560,666,846,680,491,451,358
RSAU_002148,145,208,170,149,171,138,152,214,202,129,112,66
rsaI,53,53,65,64,52,37,38,48,34,27,38,33
RSAU_002150,653,737,609,482,570,559,527,687,549,433,534,428
RSAU_002151,604,487,513,439,487,485,596,757,597,265,245,201
RSAU_002152,794,738,661,579,697,545,562,686,592,441,382,447
RSAU_002153,1032,1069,852,760,877,893,856,1269,936,687,779,608
RSAU_002154,84,115,97,59,58,70,64,153,71,50,56,36
RSAU_002155,201,202,172,141,173,111,173,159,162,133,147,92
RSAU_002156,375,410,368,246,343,286,273,436,286,202,230,192
RSAU_002157,82,101,95,62,70,75,63,106,90,78,71,54
RSAU_002158,252,249,188,163,192,181,141,206,158,134,151,118
RSAU_002159,258,315,275,210,215,192,189,327,269,180,181,134
RSAU_002160,280,271,196,186,202,193,245,296,232,151,136,121
RSAU_002161,335,365,301,264,280,265,265,433,296,239,233,237
RSAU_002162,324,363,281,241,263,281,269,373,318,270,234,182
RSAU_002163,218,298,217,183,241,183,223,343,264,152,165,160
RSAU_002164,1344,1618,1163,985,1119,919,1128,1640,1143,668,928,756
RSAU_002165,111,102,115,101,102,104,90,168,101,101,118,132
RSAU_002166,10176,8683,9504,7624,6977,7690,7150,9399,8153,8006,8347,6731
RSAU_002167,3505,3041,3295,2995,2522,2948,2882,3719,2896,3063,2971,2322
RSAU_002168,683,700,671,636,668,583,652,794,654,430,429,329
RSAU_002169,450,664,445,411,527,414,445,756,580,338,363,305
RSAU_002170,5444,5518,4967,4014,4319,4046,3859,4991,4151,3617,3502,2894
RSAU_002171,269,275,245,191,220,249,223,309,223,168,176,174
RSAU_002172,1207,973,874,688,861,674,822,872,712,731,807,638
RSAU_002173,241,240,228,207,242,210,204,255,248,172,178,151
RSAU_002174,18,25,19,14,11,19,21,34,14,10,16,12
RSAU_002175,194,229,212,166,198,165,168,267,190,141,128,108
RSAU_002176,30,55,35,44,49,50,24,60,59,40,29,25
RSAU_002177,83,83,64,63,60,60,66,106,89,114,104,113
RSAU_002178,116,122,115,62,85,90,103,132,91,81,108,48
RSAU_002179,244,217,230,165,189,228,220,300,239,141,177,155
RSAU_002180,871,888,833,721,761,816,696,895,664,525,513,417
RSAU_002181,257,306,259,213,234,204,224,337,256,173,183,131
RSAU_002182,372,314,318,252,262,218,295,357,276,177,213,159
RSAU_002183,943,832,868,631,777,693,748,815,665,507,504,445
RSAU_002184,1606,1699,1441,1247,1406,1385,1248,1628,1286,945,882,812
RSAU_002185,1213,1163,1051,854,1004,966,940,1121,973,686,776,582
RSAU_002186,456,498,388,429,388,366,349,480,352,290,273,258
RSAU_002187,94,70,78,52,65,67,70,78,67,67,55,34
RSAU_002188,880,975,769,570,708,649,685,1075,758,512,490,480
RSAU_002189,202,210,193,187,203,194,184,268,152,118,99,128
RSAU_002190,405,437,469,382,388,374,419,523,422,214,202,188
RSAU_002191,319,312,246,265,300,256,266,370,299,147,155,135
RSAU_002192,267,243,214,169,221,187,219,265,243,202,218,180
RSAU_002193,59,50,55,65,53,49,58,61,60,45,63,40
RSAU_002194,45,48,50,30,40,29,44,51,45,25,32,13
RSAU_002195,52,43,49,52,48,50,50,78,57,36,39,16
RSAU_002196,61,76,68,61,56,49,76,89,73,53,26,24
RSAU_002197,293,361,323,317,303,254,269,346,310,157,154,109
RSAU_002198,34,29,36,22,27,25,40,50,32,15,26,11
RSAU_002199,62,82,67,58,67,64,75,92,86,40,42,31
RSAU_002200,66,61,68,52,72,58,51,82,72,34,25,32
RSAU_002201,72,80,84,52,62,67,55,79,49,54,55,46
RSAU_002202,142,144,141,115,116,103,122,165,119,106,94,80
RSAU_002203,3352,3235,2951,2522,3122,2831,2667,3632,2832,1719,1734,1570
RSAU_002204,677,473,357,460,626,479,137,97,91,46,50,39
RSAU_002205,1022,1071,919,830,895,838,793,1048,879,544,585,502
RSAU_002206,1762,1976,1560,1517,1696,1463,1658,2068,1706,1079,1048,1011
RSAU_002207,46,49,40,54,49,52,52,64,41,25,22,31
RSAU_002208,915,897,715,605,844,701,676,795,743,470,473,438
RSAU_002209,79,89,108,51,76,83,57,85,69,31,54,29
RSAU_002210,154,146,151,118,85,118,96,185,109,60,49,51
RSAU_002211,135,142,117,115,104,98,97,163,143,74,108,99
RSAU_002212,87,86,77,79,85,77,95,120,99,77,69,40
RSAU_002213,587,548,508,375,465,403,458,580,462,334,316,265
RSAU_002214,1161,1057,1036,946,1028,853,911,1203,887,617,591,565
RSAU_002215,741,1049,604,508,894,501,657,873,652,477,449,345
RSAU_002216,230,237,196,116,167,210,197,290,184,165,161,149
RSAU_002217,1367,1391,1366,1172,1186,1228,1262,1520,1354,859,811,616
RSAU_002218,705,745,600,450,607,614,482,793,729,345,424,347
RSAU_002219,184,152,132,111,138,124,139,212,175,89,98,82
RSAU_002220,4,8,6,5,6,6,12,12,23,10,5,8
RSAU_002221,1005,1126,1103,876,951,839,1008,1322,1179,822,658,617
RSAU_002222,1154,1104,946,843,922,878,1000,1320,1066,827,816,671
RSAU_002223,78,75,86,50,72,59,105,138,113,87,57,57
RSAU_002224,1370,1131,1071,883,925,877,1067,1377,1077,1196,1165,1044
RSAU_002225,1838,1591,1749,1572,1329,1404,1602,1911,1513,1281,1453,1202
RSAU_002226,58,52,48,54,41,44,43,64,61,29,36,23
RSAU_002227,23,35,28,26,20,18,36,34,24,19,15,8
RSAU_002228,73,72,67,63,60,43,52,112,68,33,40,24
RSAU_002229,712,777,708,604,662,667,569,715,640,453,474,324
RSAU_002230,1155,1375,1224,1116,1154,976,983,1266,1108,789,776,561
RSAU_002231,452,497,487,358,482,402,383,548,442,365,313,232
RSAU_002232,57,62,39,31,45,61,24,57,49,32,27,14
RSAU_002233,3,4,0,4,5,4,5,6,2,1,1,3
RSAU_002234,6,9,13,7,12,8,9,22,4,5,6,1
RSAU_002235,16,15,21,16,8,23,16,24,12,4,7,6
RSAU_002236,80,77,48,53,48,55,70,73,60,43,44,22
RSAU_002237,2,6,11,5,3,2,7,3,5,3,3,3
RSAU_002238,38,38,39,32,26,27,33,59,42,21,25,19
RSAU_002239,4,5,4,4,8,3,1,2,3,3,0,0
RSAU_002240,249,231,204,215,172,210,177,270,169,123,145,106
RSAU_002241,211,233,216,207,152,165,163,273,215,152,168,110
RSAU_002242,21,27,25,21,30,17,21,28,18,18,11,13
RSAU_002243,63,74,48,47,44,32,84,84,69,56,46,49
RSAU_002244,213,292,200,198,197,161,205,282,239,95,120,114
RSAU_002245,284,305,282,223,271,184,230,283,214,225,226,200
RSAU_002246,23,19,18,13,9,17,9,28,12,16,9,9
RSAU_002247,155,137,140,129,121,101,130,141,153,135,106,78
RSAU_002248,17,15,14,13,17,17,13,32,14,22,14,4
RSAU_002249,231,215,202,158,153,194,209,263,229,176,171,132
RSAU_002250,10797,9817,9629,8102,8589,8331,8591,11142,9803,6824,6864,5235
RSAU_002251,5434,5455,5000,4373,5047,4515,4788,6096,5081,3319,3300,2437
RSAU_002252,3456,3361,3113,2476,2876,2750,2996,4352,3472,2218,2160,1598
RSAU_002253,112,144,106,82,88,93,117,197,152,70,62,58
RSAU_002254,25,14,26,13,12,28,19,24,19,16,20,13
RSAU_002255,2726,2509,2481,1947,2015,2223,2190,3003,2248,1424,1559,1434
RSAU_002256,253,205,190,160,156,148,152,221,193,129,144,114
RSAU_002257,96,125,124,132,102,86,140,203,184,79,45,47
RSAU_002258,99,146,74,98,117,72,129,109,107,49,59,51
RSAU_002259,31,79,58,58,57,46,72,103,71,41,51,31
RSAU_002260,126,147,114,101,107,76,141,177,117,65,91,80
RSAU_002261,7,8,3,6,3,1,8,9,3,1,3,1
RSAU_002262,7,25,18,15,11,11,11,24,14,11,4,5
RSAU_002263,12,22,19,14,20,18,13,30,29,12,10,10
RSAU_002264,6,15,11,10,15,8,18,18,21,7,5,3
RSAU_002265,16,7,5,9,5,9,2,17,10,2,6,2
RSAU_002266,2,1,0,0,1,1,0,1,1,0,1,0
rsaJ,4,0,7,2,7,6,11,11,8,2,8,4
RSAU_002268,26,21,38,30,27,19,31,28,22,14,10,11
RSAU_002269,22,6,8,11,5,5,8,15,11,8,1,5
ncRNA:2409435..2409524,1,1,0,0,0,1,2,2,2,1,0,0
RSAU_002271,26,37,31,29,27,33,26,49,48,16,28,22
RSAU_002272,399,529,412,363,393,338,393,499,423,275,282,191
RSAU_002273,753,1055,926,1006,896,749,921,1122,906,512,644,411
RSAU_002274,784,706,619,560,536,471,635,686,622,596,637,526
RSAU_002275,87,82,60,43,58,69,68,104,83,46,51,47
RSAU_002276,712,756,622,520,575,517,472,640,478,384,458,392
RSAU_002277,117,145,133,105,114,90,130,142,102,118,123,92
RSAU_002278,244,325,226,193,273,176,182,249,191,153,167,98
RSAU_002279,548,714,514,479,616,419,462,568,483,416,334,244
RSAU_002280,1439,1217,1054,874,1271,886,1204,1321,1099,898,894,694
RSAU_002281,656,772,639,576,659,501,630,744,612,423,386,251
RSAU_002282,1403,1331,1304,1033,1164,1179,1025,1413,1094,713,825,745
RSAU_002283,189,177,138,131,164,156,182,230,176,147,134,115
RSAU_002284,960,1004,827,659,751,741,817,984,808,645,682,610
RSAU_002285,462,344,349,252,296,293,291,371,333,173,232,189
RSAU_002286,433,371,387,281,299,293,335,403,339,173,222,161
RSAU_002287,103,130,130,86,108,90,128,138,142,74,58,57
RSAU_002288,411,420,386,251,321,270,329,494,431,183,197,150
RSAU_002289,360,351,328,344,374,314,290,415,344,213,273,235
RSAU_002290,203,216,153,150,149,109,143,175,159,117,175,147
RSAU_002291,1521,1789,1376,972,1175,1001,1321,1776,1488,829,1002,790
RSAU_002292,376,429,322,282,343,320,341,434,359,299,323,271
RSAU_002293,453,547,341,294,411,290,337,531,422,175,257,190
RSAU_002294,89,88,65,62,69,76,60,113,95,44,68,49
RSAU_002295,1126,1002,861,858,1029,889,821,898,779,572,777,614
RSAU_002296,25,32,24,19,30,27,22,36,22,10,13,17
RSAU_002297,372,323,405,335,264,264,311,478,357,296,357,296
RSAU_002298,774,814,665,592,770,727,671,885,697,408,447,428
RSAU_002299,286,301,240,191,265,199,214,310,244,163,142,147
RSAU_002300,173,147,145,127,127,137,116,164,151,106,100,84
RSAU_002301,42,42,52,49,47,48,41,71,56,28,31,25
RSAU_002302,41,25,35,31,32,31,34,42,46,28,20,18
RSAU_002303,19,15,8,17,14,11,10,17,9,10,7,6
RSAU_002304,69,63,81,50,75,50,77,76,78,35,33,27
RSAU_002305,174,200,215,198,146,166,182,268,193,113,136,73
RSAU_002306,32,20,39,40,26,20,27,28,31,20,26,17
RSAU_002307,19,5,13,11,8,16,12,18,19,9,16,5
RSAU_002308,19,11,23,14,10,13,17,23,21,10,24,15
RSAU_002309,398,592,416,365,446,333,440,656,491,229,240,241
RSAU_002310,180,323,175,171,216,133,210,334,225,84,119,95
RSAU_002311,479,464,469,343,323,362,393,541,450,469,553,466
RSAU_002312,215,369,182,105,295,172,133,258,189,92,156,123
RSAU_002313,27,30,45,40,39,21,23,33,37,16,23,18
RSAU_002314,43,35,45,38,28,30,41,45,30,22,22,21
RSAU_002315,34,27,24,31,17,19,23,37,29,28,16,15
RSAU_002316,402,524,430,423,471,354,374,448,373,242,243,215
RSAU_002317,344,493,394,322,374,313,340,403,306,236,213,171
RSAU_002318,372,424,337,182,337,259,270,376,260,186,221,207
RSAU_002319,335,270,228,196,280,325,105,109,79,55,86,47
RSAU_002320,134,126,109,123,121,116,111,169,144,85,82,51
RSAU_002321,29,24,21,19,19,20,17,15,24,15,6,12
RSAU_002322,13,15,7,21,16,16,14,23,13,12,6,4
RSAU_002323,106,151,145,185,187,127,139,154,143,76,92,76
RSAU_002324,109,122,116,117,117,94,92,123,119,86,50,64
RSAU_002325,46,54,48,58,45,40,45,42,69,35,38,25
RSAU_002326,31,23,26,33,19,18,37,34,24,28,24,21
RSAU_002327,48,42,72,45,51,46,52,76,68,58,38,30
RSAU_002328,28,27,28,17,15,15,26,22,24,16,17,21
RSAU_002329,113,116,109,139,100,90,99,119,124,87,66,56
RSAU_002330,183,195,210,250,180,172,203,275,199,118,114,95
RSAU_002331,154,152,170,170,149,130,146,176,157,94,70,73
RSAU_002332,1055,1052,1035,1044,1013,963,875,1153,934,639,573,541
RSAU_002333,54,58,44,30,43,43,36,66,43,36,27,27
RSAU_002334,1997,2007,1794,1563,1836,1668,1709,2120,1692,994,1045,793
RSAU_002335,339,305,296,280,282,258,281,394,300,244,268,252
RSAU_002336,291,270,289,292,205,215,359,383,354,291,282,246
RSAU_002337,0,0,1,0,2,0,0,3,2,0,0,0
RSAU_002338,26,21,20,16,14,16,18,20,24,8,6,9
RSAU_002339,670,613,623,581,534,569,571,624,544,334,339,297
RSAU_002340,87,95,101,78,93,65,72,80,83,45,67,39
RSAU_002341,54,100,65,68,79,50,64,72,58,34,33,39
RSAU_002342,311,386,272,258,330,271,328,363,312,236,214,170
RSAU_002343,208,262,158,188,271,204,220,275,235,136,113,81
RSAU_002344,92,125,92,67,95,73,112,135,109,61,56,47
RSAU_002345,1036,1078,992,932,1060,938,894,1045,964,484,541,355
RSAU_002346,302,372,349,303,281,255,365,390,339,159,179,137
RSAU_002347,879,1034,822,637,763,669,834,1224,955,606,747,647
RSAU_002348,759,821,946,767,635,710,804,929,786,582,524,423
RSAU_002349,1840,1810,1412,1204,1431,1147,1529,2149,1610,1418,1552,1164
RSAU_002350,504,640,381,326,480,363,363,484,381,294,290,230
RSAU_002351,234,259,231,176,166,159,168,257,206,140,150,112
RSAU_002352,4,7,8,7,6,8,6,13,7,9,11,4
RSAU_002353,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_002354,0,0,0,1,0,0,0,1,0,0,0,0
RSAU_002355,61,69,67,54,38,59,56,75,56,40,47,39
RSAU_002356,96,116,104,82,91,97,96,164,116,81,69,62
RSAU_002357,12220,12084,11277,9522,9996,9810,8412,10896,9233,6734,7106,5922
RSAU_002358,1180,1175,992,855,1031,938,978,1175,999,820,924,694
RSAU_002359,57,63,48,48,41,46,42,77,50,31,42,32
RSAU_002360,33,34,36,33,38,19,26,51,34,20,28,14
RSAU_002361,91,91,66,40,54,71,74,95,79,72,84,53
RSAU_002362,40,57,37,27,54,29,43,50,41,42,40,23
RSAU_002363,1507,1473,1298,1098,1137,1019,852,1054,915,846,1020,884
RSAU_002364,3740,4727,3238,2614,3498,2870,2047,2581,2138,1639,1886,1585
RSAU_002365,588,531,380,334,598,402,194,245,207,127,148,114
RSAU_002366,60,55,37,43,44,44,41,60,46,37,37,31
RSAU_002367,72,93,79,42,100,65,56,79,51,49,34,46
RSAU_002368,239,197,212,162,195,153,154,214,185,114,72,79
RSAU_002369,837,964,847,708,843,747,850,1074,775,546,525,487
RSAU_002370,113,78,91,56,85,75,75,92,55,56,59,67
RSAU_002371,3,8,2,1,1,5,4,6,6,2,2,1
RSAU_002372,665,657,630,674,657,670,634,718,651,352,416,288
RSAU_002373,203,225,241,176,221,208,167,250,203,96,87,82
RSAU_002374,461,467,406,407,422,421,377,537,437,239,211,210
RSAU_002375,87,116,76,82,69,92,108,99,96,67,88,77
RSAU_002376,2460,2859,2290,2164,2390,2058,1759,2483,1941,1183,1398,1283
RSAU_002377,601,639,562,479,554,433,418,492,468,344,313,320
RSAU_002378,343,356,255,190,250,201,201,305,226,198,195,173
RSAU_002379,88,101,97,71,72,77,82,99,80,77,76,52
RSAU_002380,2667,2759,2882,2258,2644,1949,2989,3712,2877,1245,1870,1074
RSAU_002381,285,389,278,172,295,230,291,461,340,133,164,108
RSAU_002382,7,5,8,2,6,3,2,5,8,3,6,5
RSAU_002383,319,256,259,241,258,213,268,333,294,170,188,180
ncRNA:2533432..2533704,654,599,538,423,544,924,553,1025,978,738,681,639
RSAU_002384,1631,1496,1534,1058,1180,1226,1300,1843,1364,1178,1500,1015
RSAU_002385,1744,1821,1507,1342,1473,1375,1417,1594,1438,906,960,759
RSAU_002386,3244,2940,2952,2460,2516,2832,2802,3158,2739,1570,1933,1454
RSAU_002387,145,215,170,120,182,132,149,182,133,113,118,92
RSAU_002388,64,76,57,64,72,62,70,87,70,31,53,33
RSAU_002389,141,205,157,133,141,128,163,230,186,106,88,67
RSAU_002390,4,5,1,3,6,3,3,1,7,0,4,2
RSAU_002391,29,16,28,22,10,17,26,33,13,6,13,11
RSAU_002392,0,0,0,0,0,0,2,1,0,0,0,0
RSAU_002393,223,219,235,206,177,188,259,303,251,153,157,97
RSAU_002394,47,76,64,60,63,47,61,81,68,40,42,24
RSAU_002395,13957,16157,13571,11473,12467,11037,11664,15677,13355,6999,7340,6080
RSAU_002396,103,138,120,75,117,82,108,146,114,67,69,41
RSAU_002397,83,142,80,51,72,61,62,74,44,23,52,36
RSAU_002398,1686,1612,1368,1266,1291,1165,1090,1415,1168,1745,2027,1466
RSAU_002399,318,236,285,260,246,250,211,255,238,359,389,319
RSAU_002400,673,613,598,466,509,542,473,665,579,416,490,434
RSAU_002401,727,746,679,525,618,627,596,734,653,489,541,465
RSAU_002402,494,944,551,613,784,529,694,1052,771,277,321,240
RSAU_002403,223,393,250,251,318,225,288,402,353,108,119,94
RSAU_002404,381,629,430,431,530,384,483,789,574,221,295,195
RSAU_002405,404,619,367,426,564,371,373,666,528,202,246,181
RSAU_002406,30,50,29,17,46,23,26,54,28,11,19,9
