,WT-qscR-1 raw counts,WT-qscR-2 raw counts,qscR-1 raw counts,qscR-2 raw counts
PA1048,86,84,46,40
PA1049,22,25,18,6
PA1050,23,23,10,7
PA1051,14,9,4,3
PA1052,18,25,6,0
PA1053,119,133,52,23
PA1054,77,54,17,10
PA1055,3,4,1,1
PA1056,36,32,18,12
PA1057,17,12,3,6
PA1058,0,0,1,1
PA1059,5,1,2,1
PA1060,21,15,12,4
PA1061,15,14,5,4
PA1062,6,7,2,0
PA1063,2,1,0,0
PA1064,6,3,7,1
PA1065,11,12,9,10
PA1066,7,11,4,3
PA1067,9,3,1,1
PA1068,21,21,13,7
PA1069,39,37,6,7
PA1070,5,4,1,2
PA1071,10,10,2,2
PA1072,6,6,6,3
PA1073,16,8,6,2
PA1074,52,55,21,20
PA1075,5,1,0,2
PA1076,20,7,15,7
PA1077,4,8,3,5
PA1078,2,3,10,5
PA1079,7,18,6,7
PA1080,33,31,17,30
PA1081,12,13,6,3
PA1082,38,45,25,15
PA1083,14,13,13,10
PA1084,35,40,20,21
PA1085,26,39,21,11
PA1086,58,65,37,23
PA1087,50,73,43,20
PA1088,20,22,15,5
PA1089,2,7,2,4
PA1090,9,7,3,4
PA1091,77,90,46,30
PA1092,2637,2823,1605,1026
PA1093,57,79,30,19
PA1094,352,412,232,168
PA1095,88,60,29,21
PA1096,27,21,13,2
PA1097,91,78,40,24
PA1098,42,45,18,11
PA1099,49,36,21,13
PA1100,14,22,8,5
PA1101,86,74,33,24
PA1102,53,57,30,13
PA1103,24,37,16,9
PA1104,21,16,4,5
PA1105,2,2,0,1
PA1106,14,10,7,2
PA1107,9,13,1,3
PA1108,8,16,0,2
PA1109,7,9,6,2
PA1110,4,5,4,0
PA1111,8,5,2,1
PA1112,18,15,9,4
PA1113,16,17,4,1
PA1114,3,4,6,0
PA1115,59,49,24,7
PA1116,9,6,3,0
PA1117,18,17,9,2
PA1118,241,226,60,50
PA1119,13,14,8,5
PA1120,13,11,11,5
PA1121,8,13,5,3
PA1122,22,25,18,6
PA1123,8,3,8,5
PA1124,18,16,6,11
PA1125,7,11,4,2
PA1126,4,6,0,3
PA1127,16,16,10,6
PA1128,8,12,5,2
PA1129,3,2,0,1
PA1130,30,27,14,11
PA1131,14,29,14,5
PA1132,6,1,4,0
PA1133,0,2,0,0
PA1134,2,0,1,1
PA1135,14,15,11,12
PA1136,16,26,3,2
PA1137,93,84,35,16
PA1138,7,8,0,0
PA1139,11,5,6,2
PA1140,8,8,4,2
PA1141,6,10,1,2
PA1142,1,10,2,5
PA1143,3,2,1,0
PA1144,7,5,1,2
PA1145,5,9,2,3
PA1146,8,6,2,4
PA1147,16,10,1,5
PA1148,13,12,2,1
PA1149,0,2,0,0
PA1150,65,53,31,16
PA1151,55,51,13,12
PA1152,1,1,1,1
PA1153,1,4,0,1
PA1154,4,0,0,0
PA1155,14,14,32,18
PA1156,53,46,54,23
PA1157,5,9,3,0
PA1158,10,13,3,0
PA1159,0,3,0,1
PA1160,5,9,4,2
PA1161,10,10,3,1
PA1162,9,10,4,5
PA1163,52,48,20,11
PA1164,24,14,8,2
PA1165,8,11,3,1
PA1166,26,17,24,10
PA1167,7,5,3,1
PA1168,0,0,0,0
PA1169,14,11,1,6
PA1170,3,11,0,1
PA1171,17,36,13,3
PA1172,35,30,22,19
PA1173,30,24,22,9
PA1174,363,361,164,106
PA1175,9,7,11,1
PA1176,68,64,42,25
PA1177,28,23,16,10
PA1178,115,111,119,61
PA1179,40,37,34,20
PA1180,32,23,12,5
PA1181,65,61,32,18
PA1182,10,15,7,7
PA1183,19,17,18,4
PA1184,12,7,5,5
PA1185,3,5,0,3
PA1186,5,9,1,1
PA1187,12,14,1,0
PA1188,19,13,4,7
PA1189,2,9,1,2
PA1190,26,17,9,5
PA1191,15,10,7,5
PA1192,7,27,12,4
PA1193,4,8,11,3
PA1194,14,9,5,0
PA1195,8,8,2,3
PA1196,29,43,14,6
PA1197,15,16,2,1
PA1198,75,83,41,32
PA1199,31,29,19,12
PA1200,11,9,5,1
PA1201,9,11,5,2
PA1202,16,20,19,5
PA1203,1,2,3,1
PA1204,5,7,6,0
PA1205,19,7,5,3
PA1206,7,5,2,3
PA1207,16,16,7,6
PA1208,40,24,8,2
PA1209,15,18,3,2
PA1210,6,11,1,4
PA1211,5,3,1,1
PA1212,9,12,1,3
PA1213,1,4,1,0
PA1214,12,11,3,2
PA1215,10,13,4,1
PA1216,2,3,3,0
PA1217,21,14,3,3
PA1218,9,5,2,5
PA1219,7,3,2,1
PA1220,6,5,4,1
PA1221,26,20,4,5
PA1222,38,34,6,2
PA1223,12,19,2,3
PA1224,8,11,8,0
PA1225,5,2,1,2
PA1226,15,13,1,1
PA1227,4,10,2,4
PA1228,0,1,0,0
PA1229,20,22,2,0
PA1230,0,1,1,0
PA1231,3,11,1,2
PA1232,22,13,4,2
PA1233,0,1,0,0
PA1234,5,5,0,0
PA1235,7,6,1,0
PA1236,18,17,2,1
PA1237,9,19,3,1
PA1238,23,15,5,1
PA1239,10,5,3,0
PA1240,6,7,2,0
PA1241,2,5,1,0
PA1242,19,40,5,3
PA1243,37,30,24,8
PA1244,33,34,54,22
PA1245,25,30,16,6
PA1246,31,28,10,7
PA1247,22,18,7,3
PA1248,18,15,10,2
PA1249,104,92,45,41
PA1250,6,3,8,2
PA1251,20,12,4,5
PA1252,23,10,11,3
PA1253,9,14,2,2
PA1254,5,7,3,2
PA1255,12,7,4,0
PA1256,4,5,2,3
PA1257,4,5,1,1
PA1258,7,5,0,0
PA1259,13,14,3,3
PA1260,4,5,2,1
PA1261,11,18,0,2
PA1262,11,12,1,2
PA1263,25,15,6,9
PA1264,3,13,2,1
PA1265,7,1,2,4
PA1266,5,11,6,2
PA1266.1,0,0,0,0
PA1267,3,8,1,1
PA1268,9,11,2,1
PA1269,14,4,0,2
PA1270,17,20,4,6
PA1271,19,19,6,7
PA1272,7,4,2,3
PA1273,10,20,4,5
PA1274,5,1,2,0
PA1275,11,6,4,1
PA1276,3,6,1,1
PA1277,16,13,2,0
PA1278,3,2,0,0
PA1279,7,9,0,3
PA1280,1,1,0,1
PA1281,2,10,1,1
PA1282,16,20,3,2
PA1283,22,19,4,6
PA1284,29,24,6,6
PA1285,12,12,8,1
PA1286,15,14,2,1
PA1287,14,16,2,6
PA1288,64,69,29,22
PA1289,77,64,18,16
PA1290,11,13,1,0
PA1291,11,3,5,3
PA1292,23,12,7,11
PA1293,6,9,7,3
PA1294,20,15,13,7
PA1295,2,0,0,1
PA1296,19,24,7,5
PA1297,12,17,2,3
PA1298,2,0,0,0
PA1299,4,6,1,0
PA1300,2,1,0,0
PA1301,5,10,1,0
PA1302,35,25,6,4
PA1303,5,1,1,0
PA1304,23,33,6,4
PA1305,12,22,10,4
PA1306,13,35,5,7
PA1307,35,24,10,3
PA1308,9,22,4,0
PA1309,9,15,2,3
PA1310,7,6,3,5
PA1311,9,13,4,3
PA1312,7,14,3,7
PA1313,8,17,4,3
PA1314,1,3,3,0
PA1315,2,3,3,1
PA1316,25,25,7,3
PA1317,10,5,4,3
PA1318,34,20,18,12
PA1319,4,2,6,1
PA1320,0,0,0,0
PA1321,6,5,2,1
PA1322,11,24,6,6
PA1323,42,51,27,12
PA1324,72,66,58,26
PA1325,4,0,0,0
PA1326,14,8,2,3
PA1327,115,116,59,29
PA1328,12,12,5,4
PA1329,1,4,1,0
PA1330,12,6,1,1
PA1331,7,9,2,7
PA1332,11,16,6,4
PA1333,5,4,5,6
PA1334,18,11,3,1
PA1335,13,10,7,3
PA1336,14,13,5,6
PA1337,19,34,25,22
PA1338,10,18,7,8
PA1339,13,12,9,8
PA1340,11,12,4,3
PA1341,14,12,7,3
PA1342,61,67,38,25
PA1343,4,1,2,0
PA1344,25,21,15,7
PA1345,18,13,3,3
PA1346,6,14,3,5
PA1347,5,3,1,1
PA1348,34,35,12,5
PA1349,5,4,0,4
PA1350,20,12,4,7
PA1351,17,12,3,6
PA1352,9,5,1,0
PA1353,3,2,3,3
PA1354,4,1,3,1
PA1355,2,4,3,1
PA1356,13,16,14,5
PA1357,6,7,2,2
PA1358,2,6,1,0
PA1359,2,7,1,4
PA1360,9,11,6,0
PA1361,9,9,8,3
PA1362,1,2,1,1
PA1363,3,3,1,2
PA1364,2,2,4,1
PA1365,21,21,5,3
PA1366,27,17,12,6
PA1367,6,9,2,0
PA1368,12,7,1,0
PA1369,7,3,0,1
PA1370,12,17,4,2
PA1371,5,12,0,0
PA1372,64,42,22,15
PA1373,13,20,2,3
PA1374,3,3,0,1
PA1375,11,15,7,2
PA1376,25,26,15,8
PA1377,12,14,7,4
PA1378,0,2,0,0
PA1379,7,8,1,0
PA1380,24,18,5,4
PA1381,0,0,2,0
PA1382,89,63,18,19
PA1383,71,73,18,8
PA1384,8,10,3,0
PA1385,10,12,3,0
PA1386,44,34,2,3
PA1387,22,16,16,3
PA1388,5,4,3,0
PA1389,8,13,4,3
PA1390,14,14,0,4
PA1391,12,13,2,1
PA1392,19,15,1,2
PA1393,0,2,0,1
PA1394,0,0,0,0
PA1395,0,0,0,0
PA1396,13,16,7,5
PA1397,3,3,1,2
PA1398,2,1,0,0
PA1399,5,8,4,1
PA1400,44,32,6,5
PA1401,3,2,0,0
PA1402,19,12,4,5
PA1403,10,10,6,1
PA1404,1,2,0,5
PA1405,17,11,5,0
PA1406,4,10,2,2
PA1407,3,9,2,1
PA1408,59,64,23,12
PA1409,4,7,1,0
PA1410,7,8,3,7
PA1411,8,4,4,3
PA1412,11,6,0,1
PA1413,6,7,4,2
PA1414,420,381,85,63
PA1415,146,147,19,12
PA1416,36,36,8,13
PA1417,22,23,1,2
PA1418,12,12,2,4
PA1419,31,20,4,2
PA1420,0,2,0,0
PA1421,10,24,6,3
PA1422,9,6,3,3
PA1423,40,47,9,15
PA1424,5,3,0,0
PA1425,7,12,6,2
PA1426,0,1,4,1
PA1427,2,1,1,1
PA1428,3,2,1,2
PA1429,82,99,18,17
PA1430,219,203,102,66
PA1431,75,75,19,13
PA1432,33,37,48,29
PA1433,22,30,7,9
PA1434,2,11,6,1
PA1435,19,15,2,2
PA1436,43,50,12,9
PA1437,12,3,5,3
PA1438,15,23,5,4
PA1439,4,4,6,0
PA1440,65,72,73,29
PA1441,34,37,29,13
PA1442,38,26,4,9
PA1443,86,81,38,23
PA1444,45,38,16,3
PA1445,21,12,5,1
PA1446,15,16,7,3
PA1447,1,3,2,1
PA1448,4,5,1,0
PA1449,7,11,6,0
PA1450,13,11,1,0
PA1451,9,14,1,3
PA1452,94,59,21,13
PA1453,102,127,32,24
PA1454,83,78,57,34
PA1455,63,63,37,23
PA1456,28,24,10,4
PA1457,48,51,30,10
PA1458,227,215,114,54
PA1459,53,58,44,27
PA1460,13,13,9,10
PA1461,17,25,8,1
PA1462,49,51,14,12
PA1463,86,103,28,12
PA1464,75,90,52,18
PA1465,28,30,7,2
PA1466,9,9,1,1
PA1467,10,8,1,5
PA1468,0,1,1,0
PA1469,3,9,3,1
PA1470,16,14,3,2
PA1471,5,4,1,3
PA1472,5,3,3,0
PA1473,1,6,4,4
PA1474,84,85,57,29
PA1475,7,3,5,1
PA1476,9,9,4,6
PA1477,28,28,5,8
PA1478,0,0,0,0
PA1479,20,22,12,3
PA1480,21,21,10,10
PA1481,4,3,0,6
PA1482,2,0,2,0
PA1483,20,18,4,5
PA1484,7,5,1,1
PA1485,11,17,6,2
PA1486,16,13,1,0
PA1487,11,14,3,2
PA1488,11,7,3,1
PA1489,7,13,3,0
PA1490,2,0,0,1
PA1491,17,16,4,0
PA1492,3,2,2,0
PA1493,10,12,8,2
PA1494,23,21,12,11
PA1495,0,3,1,3
PA1496,5,4,3,3
PA1497,3,1,5,0
PA1498,14,8,2,0
PA1499,10,4,3,2
PA1500,4,4,1,1
PA1501,12,16,1,3
PA1502,13,11,0,0
PA1503,1,1,1,0
PA1504,12,11,5,6
PA1505,29,32,13,4
PA1506,0,1,1,0
PA1507,15,21,3,3
PA1508,2,0,1,0
PA1509,16,11,5,4
PA1510,11,13,4,2
PA1511,16,15,6,0
PA1512,1,0,0,0
PA1513,7,12,5,8
PA1514,4,2,0,1
PA1515,19,32,7,6
PA1516,9,7,2,6
PA1517,26,34,3,2
PA1518,5,5,0,0
PA1519,2,7,1,1
PA1520,23,26,9,8
PA1521,33,15,4,8
PA1522,24,30,6,4
PA1523,64,79,29,25
PA1524,44,49,18,11
PA1525,11,10,3,2
PA1526,15,22,1,2
PA1527,60,57,29,13
PA1528,102,114,30,25
PA1529,41,58,23,15
PA1530,5,2,0,1
PA1531,6,5,2,5
PA1532,42,32,25,13
PA1533,1,0,6,4
PA1534,5,3,1,0
PA1535,13,11,9,4
PA1536,6,10,1,0
PA1537,5,6,1,0
PA1538,20,12,1,2
PA1539,24,35,10,8
PA1540,6,8,1,0
PA1541,11,12,0,4
PA1542,11,9,1,5
PA1543,6,25,4,2
PA1544,83,72,66,47
PA1545,90,104,40,29
PA1546,150,100,132,72
PA1547,13,11,7,5
PA1548,2,2,0,2
PA1549,58,60,22,16
PA1550,55,62,28,18
PA1551,193,191,92,70
PA1552,23,16,25,13
PA1552.1,0,2,0,2
PA1553,6,6,9,5
PA1554,38,42,24,10
PA1555,117,106,81,63
PA1555.1,5,6,7,6
PA1556,91,78,52,30
PA1557,193,247,196,100
PA1558,4,10,7,0
PA1559,17,21,12,4
PA1560,13,7,6,1
PA1561,170,166,60,25
PA1562,398,385,264,152
PA1563,15,16,9,2
PA1564,0,3,0,3
PA1565,9,4,2,1
PA1566,12,12,2,3
PA1567,11,18,5,4
PA1568,0,0,0,0
PA1569,11,11,2,1
PA1570,6,10,1,2
PA1571,7,4,10,6
PA1572,53,51,15,10
PA1573,7,10,3,2
PA1574,0,2,0,0
PA1575,13,14,5,5
PA1576,20,20,7,5
PA1577,2,3,2,3
PA1578,12,17,4,1
PA1579,19,20,21,7
PA1580,50,42,58,42
PA1581,6,13,17,13
PA1582,6,9,12,6
PA1583,125,134,172,129
PA1584,39,20,70,45
PA1585,102,108,178,119
PA1586,61,45,71,38
PA1587,86,81,127,84
PA1588,30,52,74,46
PA1589,31,42,42,27
PA1590,19,24,7,8
PA1591,7,3,2,3
PA1592,60,49,63,47
PA1593,2,1,0,0
PA1594,0,4,0,0
PA1595,11,5,2,2
PA1596,117,141,68,40
PA1597,4,7,9,3
PA1598,5,6,1,2
PA1599,5,2,5,3
PA1600,14,7,1,0
PA1601,16,21,10,5
PA1602,5,1,1,0
PA1603,3,1,4,2
PA1604,47,61,8,8
PA1605,3,5,3,4
PA1606,5,2,0,0
PA1607,54,58,16,14
PA1608,19,18,7,4
PA1609,94,82,57,28
PA1610,59,35,18,8
PA1611,12,25,9,6
PA1612,2,2,4,1
PA1613,20,18,4,2
PA1614,30,38,13,19
PA1615,2,6,6,2
PA1616,6,12,6,2
PA1617,27,18,2,5
PA1618,0,0,3,2
PA1619,8,14,0,1
PA1620,3,4,2,0
PA1621,23,28,2,4
PA1622,15,11,4,5
PA1623,17,18,11,5
PA1624,13,12,5,2
PA1625,8,19,5,2
PA1626,11,16,2,0
PA1627,5,5,1,2
PA1628,9,18,3,6
PA1629,4,12,0,3
PA1630,6,7,4,1
PA1631,12,4,4,0
PA1632,0,0,0,0
PA1633,22,18,10,2
PA1634,17,21,4,5
PA1635,1,6,2,0
PA1636,43,51,24,14
PA1637,12,1,0,1
PA1638,1,2,1,3
PA1639,5,5,3,0
PA1640,12,11,6,1
PA1641,4,3,2,0
PA1642,38,44,23,18
PA1643,22,20,15,14
PA1644,14,13,3,1
PA1645,4,2,2,0
PA1646,20,10,10,8
PA1647,15,17,2,8
PA1648,10,10,2,5
PA1649,7,4,0,6
PA1650,11,6,0,0
PA1651,16,15,7,2
PA1652,6,2,0,1
PA1653,2,0,1,0
PA1654,13,15,4,0
PA1655,4,4,0,0
PA1656,35,48,8,10
PA1657,12,4,2,0
PA1658,21,19,10,4
PA1659,1,1,5,1
PA1660,15,9,6,3
PA1661,6,5,3,2
PA1662,29,32,2,4
PA1663,14,4,2,1
PA1664,0,0,0,0
PA1665,9,9,0,2
PA1666,2,1,0,0
PA1667,15,12,4,2
PA1668,3,9,1,0
PA1669,34,24,7,5
PA1670,10,8,2,3
PA1671,10,25,2,1
PA1672,15,15,4,2
PA1673,91,107,33,19
PA1674,30,27,7,9
PA1675,11,13,2,2
PA1676,5,6,0,0
PA1677,40,53,21,16
PA1678,13,17,9,2
PA1679,32,25,7,11
PA1680,10,13,4,0
PA1681,16,21,12,11
PA1682,9,11,4,4
PA1683,5,9,3,3
PA1684,8,8,5,3
PA1685,18,6,4,0
PA1686,35,20,11,1
PA1687,11,19,1,2
PA1688,13,8,3,1
PA1689,19,19,14,7
PA1690,9,8,1,1
PA1691,9,2,2,2
PA1692,0,0,1,0
PA1693,6,6,1,1
PA1694,4,5,1,0
PA1695,7,7,1,1
PA1696,1,0,0,1
PA1697,7,11,1,4
PA1698,4,3,0,0
PA1699,0,1,2,0
PA1700,3,3,0,0
PA1701,0,0,0,0
PA1702,0,1,0,0
PA1703,11,22,11,6
PA1704,2,3,0,0
PA1705,0,2,0,0
PA1706,3,6,2,1
PA1707,0,2,2,1
PA1708,8,11,3,1
PA1709,3,3,3,3
PA1710,6,4,1,1
PA1711,1,0,0,0
PA1712,1,3,2,0
PA1713,5,6,3,2
PA1714,10,13,1,2
PA1715,3,1,0,0
PA1716,15,11,3,5
PA1717,8,16,1,0
PA1718,0,1,0,0
PA1719,0,1,0,0
PA1720,2,0,1,0
PA1721,4,0,1,0
PA1722,1,0,0,0
PA1723,4,7,1,0
PA1724,1,0,0,0
PA1725,3,3,1,0
PA1726,25,32,11,4
PA1727,32,31,11,8
PA1728,151,156,35,25
PA1729,56,89,14,8
PA1730,119,115,30,27
PA1731,44,38,12,13
PA1732,68,79,28,7
PA1733,51,44,32,15
PA1734,15,10,5,1
PA1735,9,6,2,2
PA1736,13,5,4,4
PA1737,36,24,10,5
PA1738,6,7,1,4
PA1739,10,0,1,1
PA1740,8,9,2,0
PA1741,3,2,0,0
PA1742,71,110,34,33
PA1743,0,0,0,0
PA1744,0,0,0,0
PA1745,16,10,21,7
PA1746,186,165,52,17
PA1747,0,3,1,1
PA1748,20,14,4,5
PA1749,50,42,13,12
PA1750,17,14,11,7
PA1751,3,3,0,0
PA1752,13,19,12,9
PA1753,50,46,13,11
PA1754,64,68,31,28
PA1755,1,4,0,0
PA1756,10,6,6,9
PA1757,3,4,0,0
PA1758,29,34,6,2
PA1759,80,81,25,16
PA1760,41,46,12,15
PA1761,3,5,4,1
PA1762,6,3,4,1
PA1763,6,12,3,1
PA1764,11,8,4,6
PA1765,23,24,7,2
PA1766,9,10,6,5
PA1767,30,27,26,6
PA1768,14,8,6,2
PA1769,41,34,13,9
PA1770,102,91,71,48
PA1771,5,6,2,5
PA1772,28,21,20,22
PA1773,23,27,10,9
PA1774,7,15,11,2
PA1775,22,26,17,13
PA1776,52,59,31,12
PA1777,728,727,963,576
PA1778,5,5,1,2
PA1779,35,31,6,3
PA1780,0,4,1,0
PA1781,17,16,1,1
PA1782,10,11,5,2
PA1783,8,7,1,0
PA1784,28,43,40,25
PA1785,4,2,2,1
PA1786,4,11,0,0
PA1787,106,105,116,83
PA1788,6,4,1,0
PA1789,119,120,70,48
PA1790,3,4,0,1
PA1791,11,10,6,4
PA1792,8,9,6,1
PA1793,16,26,23,11
PA1794,43,57,38,34
PA1795,35,33,25,13
PA1796,7,14,7,10
PA1797,26,19,5,0
PA1798,6,20,4,1
PA1799,4,6,4,3
PA1800,81,106,64,38
PA1801,56,48,25,10
PA1802,416,446,91,54
PA1803,432,410,76,62
PA1804,40,46,18,22
PA1805,35,32,16,9
PA1806,7,5,1,0
PA1807,14,19,7,3
PA1808,8,6,1,1
PA1809,6,13,1,3
PA1810,20,23,7,3
PA1811,23,15,5,6
PA1812,36,33,26,16
PA1813,18,16,3,12
PA1814,35,28,18,5
PA1815,7,9,4,3
PA1816,12,13,2,4
PA1817,6,4,4,1
PA1818,17,23,7,3
PA1819,33,33,14,5
PA1820,20,23,9,5
PA1821,15,15,7,3
PA1822,30,33,11,11
PA1823,17,6,7,2
PA1824,6,3,0,4
PA1825,5,5,3,0
PA1826,16,9,7,2
PA1827,1,2,0,2
PA1828,13,8,4,6
PA1829,23,16,5,3
PA1830,2,3,1,4
PA1831,10,16,1,2
PA1832,47,36,24,6
PA1833,52,65,17,10
PA1834,19,13,8,10
PA1835,1,10,2,3
PA1836,5,5,0,0
PA1837,3,2,0,0
PA1838,24,24,4,12
PA1839,24,10,2,1
PA1840,6,5,3,1
PA1841,11,10,1,2
PA1842,2,3,5,0
PA1843,60,61,35,20
PA1844,2,2,0,0
PA1845,0,3,0,0
PA1846,29,34,4,5
PA1847,87,86,31,17
PA1848,2,8,3,4
PA1849,0,0,0,0
PA1850,15,8,3,4
PA1851,23,26,4,1
PA1852,39,33,30,11
PA1853,18,6,6,4
PA1854,11,8,3,1
PA1855,0,0,0,0
PA1856,21,20,5,4
PA1857,7,5,12,3
PA1858,7,5,2,2
PA1859,8,7,4,1
PA1860,59,64,28,20
PA1861,58,44,11,6
PA1862,9,8,3,2
PA1863,12,2,1,3
PA1864,22,19,1,2
PA1865,22,19,7,5
PA1866,51,47,17,5
PA1867,0,2,0,1
PA1868,22,11,4,8
PA1869,4,3,5,3
PA1870,14,13,2,3
PA1871,61,69,159,90
PA1872,11,15,30,8
PA1873,9,11,1,1
PA1874,227,267,118,88
PA1875,30,30,8,4
PA1876,40,50,25,13
PA1877,12,15,10,8
PA1878,4,7,6,7
PA1879,6,8,5,1
PA1880,63,42,45,30
PA1881,4,5,10,2
PA1882,2,0,0,0
PA1883,1,0,0,1
PA1884,5,2,1,1
PA1885,7,6,6,3
PA1886,171,167,36,30
PA1887,61,58,42,24
PA1888,241,256,146,96
PA1889,12,15,7,4
PA1890,6,5,2,1
PA1891,0,0,0,0
PA1892,10,9,1,1
PA1893,34,25,14,5
PA1894,4,3,0,0
PA1895,23,26,5,2
PA1896,9,11,5,3
PA1897,5,6,2,1
PA1898,5,5,0,0
PA1899,2,1,0,0
PA1900,2,4,5,2
PA1901,2,4,1,3
PA1902,0,0,0,0
PA1903,0,0,0,0
PA1904,0,0,0,0
PA1905,0,0,0,0
PA1906,0,1,2,1
PA1907,15,16,3,2
PA1908,3,8,2,3
PA1909,7,9,0,0
PA1910,27,24,9,1
PA1911,1,4,0,2
PA1912,2,4,0,0
PA1913,5,8,2,1
PA1914,17,26,14,11
PA1915,93,94,20,13
PA1916,10,7,2,2
PA1917,3,3,0,0
PA1918,9,11,4,2
PA1919,17,17,3,4
PA1920,21,20,4,2
PA1921,8,3,0,2
PA1922,12,10,2,2
PA1923,39,29,7,2
PA1924,3,0,1,0
PA1925,0,1,0,0
PA1926,29,21,2,3
PA1927,29,20,9,1
PA1928,4,3,0,2
PA1929,2,2,2,0
PA1930,133,146,56,31
PA1931,10,15,9,1
PA1932,27,18,5,5
PA1933,241,247,64,36
PA1934,3,5,1,1
PA1935,3,6,0,1
PA1936,1,0,0,0
PA1937,5,4,1,0
PA1938,3,4,0,0
PA1939,48,51,14,12
PA1940,17,17,13,4
PA1941,18,30,22,6
PA1942,2,0,1,0
PA1943,24,19,9,3
PA1944,41,48,20,16
PA1945,12,8,4,1
PA1946,65,82,22,17
PA1947,50,41,8,11
PA1948,12,19,4,3
PA1949,31,39,11,7
PA1950,62,84,15,12
PA1951,22,18,8,1
PA1952,3,4,0,5
PA1953,1,4,1,0
PA1954,8,8,2,1
PA1955,1,3,0,0
PA1956,1,0,0,0
PA1957,2,2,1,1
PA1958,4,3,1,1
PA1959,3,8,1,3
PA1960,5,5,2,2
PA1961,6,7,3,0
PA1962,2,6,1,0
PA1963,1,0,1,0
PA1964,18,18,12,14
PA1965,0,0,0,0
PA1966,1,2,2,1
PA1967,9,5,4,6
PA1968,2,1,0,0
PA1969,4,4,1,1
PA1970,0,0,1,0
PA1971,4,12,7,1
PA1972,9,9,1,1
PA1973,23,14,10,9
PA1974,6,6,2,0
PA1975,6,5,1,2
PA1976,20,24,7,0
PA1977,7,6,2,0
PA1978,2,7,3,0
PA1979,3,5,0,0
PA1980,2,2,2,0
PA1981,1,2,0,0
PA1982,15,18,4,2
PA1983,0,2,0,0
PA1984,4,9,3,0
PA1985,0,0,0,0
PA1986,10,11,10,1
PA1987,7,15,12,3
PA1988,1,0,0,1
PA1989,17,16,6,2
PA1990,21,22,7,7
PA1991,9,8,2,4
PA1992,13,17,4,4
PA1993,6,17,7,1
PA1994,3,3,1,1
PA1995,8,8,4,3
PA1996,3,8,2,0
PA1997,45,41,19,10
PA1998,11,11,2,2
PA1999,37,23,18,6
PA2000,11,14,8,4
PA2001,26,37,15,13
PA2002,9,14,11,0
PA2003,33,30,21,5
PA2004,24,22,13,4
PA2005,13,6,1,2
PA2006,14,5,5,1
PA2007,199,193,43,37
PA2008,202,206,72,59
PA2009,272,302,78,52
PA2010,25,27,10,4
PA2011,13,14,6,4
PA2012,44,26,13,6
PA2013,9,7,0,5
PA2014,21,25,5,5
PA2015,52,52,8,7
PA2016,9,15,2,4
PA2017,25,24,4,1
PA2018,41,34,9,4
PA2019,11,13,4,0
PA2020,20,32,6,4
PA2021,4,6,6,2
PA2022,10,8,3,2
PA2023,31,24,25,10
PA2024,95,83,31,16
PA2025,127,130,38,25
PA2026,6,9,2,2
PA2027,1,0,0,3
PA2028,4,1,1,0
PA2029,2,0,1,1
PA2030,5,4,1,2
PA2031,3,3,2,0
PA2032,13,30,4,8
PA2033,6,6,1,0
PA2034,2,2,0,0
PA2035,16,14,5,2
PA2036,3,2,0,0
PA2037,29,22,4,4
PA2038,2,2,1,2
PA2039,6,5,1,2
PA2040,31,37,9,9
PA2041,17,22,6,3
PA2042,10,5,5,3
PA2043,3,5,1,0
PA2044,14,20,11,5
PA2045,0,2,1,0
PA2046,0,0,3,1
PA2047,9,5,2,3
PA2048,0,1,0,0
PA2049,11,9,2,2
PA2050,1,1,3,0
PA2051,6,3,1,2
PA2052,3,1,4,2
PA2053,2,7,0,1
PA2054,18,26,0,2
PA2055,7,9,6,3
PA2056,9,8,3,2
PA2057,16,22,7,7
PA2058,9,15,1,1
PA2059,5,7,1,0
PA2060,2,3,0,1
PA2061,6,24,4,2
PA2062,12,7,2,2
PA2063,2,3,4,1
PA2064,5,9,0,0
PA2065,13,6,8,1
PA2066,6,9,8,1
PA2067,3,6,3,4
PA2068,16,5,6,3
PA2069,30,30,26,20
PA2070,43,26,15,13
PA2071,95,99,96,56
PA2072,65,59,22,22
PA2073,7,16,3,0
PA2074,6,1,2,2
PA2075,14,12,1,3
PA2076,7,9,1,0
PA2077,12,7,3,1
PA2078,15,21,2,3
PA2079,9,6,1,2
PA2080,14,16,3,4
PA2081,5,9,8,5
PA2082,9,4,2,2
PA2083,13,9,0,0
PA2084,20,16,10,2
PA2085,0,1,0,2
PA2086,5,5,3,2
PA2087,2,0,0,0
PA2088,7,7,3,1
PA2089,37,29,15,11
PA2090,3,8,2,2
PA2091,16,2,4,0
PA2092,21,14,2,1
PA2093,0,4,2,0
PA2094,5,7,2,4
PA2095,11,10,6,0
PA2096,18,11,6,5
PA2097,4,4,2,3
PA2098,11,11,0,0
PA2099,6,3,3,1
PA2100,35,43,5,4
PA2101,11,9,1,0
PA2102,1,3,1,0
PA2103,16,8,5,6
PA2104,13,16,3,2
PA2105,9,16,11,1
PA2106,15,14,7,4
PA2107,0,1,2,0
PA2108,21,20,9,7
PA2109,5,0,0,1
PA2110,19,10,1,0
PA2111,19,15,3,0
PA2112,5,17,0,0
PA2113,15,17,7,5
PA2114,29,30,9,5
PA2115,12,2,2,0
PA2116,12,10,8,10
