,WT-qscR-1 raw counts,WT-qscR-2 raw counts,qscR-1 raw counts,qscR-2 raw counts
PA0211,24,31,6,8
PA0212,21,25,7,9
PA0213,17,16,5,2
PA0214,28,24,4,7
PA0215,4,9,5,0
PA0216,11,7,5,2
PA0217,6,6,1,1
PA0218,8,9,3,1
PA0219,13,12,1,0
PA0220,22,21,6,3
PA0221,16,9,0,1
PA0222,8,4,0,1
PA0223,16,14,4,2
PA0224,18,5,1,2
PA0225,6,0,1,1
PA0226,7,4,1,2
PA0227,6,4,2,0
PA0228,17,6,2,2
PA0229,11,15,4,5
PA0230,30,24,8,6
PA0231,6,5,0,0
PA0232,1,0,0,0
PA0233,8,6,0,1
PA0234,7,6,3,1
PA0235,9,7,1,1
PA0236,8,7,2,0
PA0237,7,6,1,5
PA0238,5,12,4,1
PA0239,7,7,0,1
PA0240,13,21,1,8
PA0241,13,12,1,3
PA0242,13,13,5,0
PA0243,7,7,3,3
PA0244,0,6,3,1
PA0245,4,3,1,0
PA0246,11,10,5,7
PA0247,5,1,2,0
PA0248,7,7,0,0
PA0249,1,2,7,3
PA0250,11,10,5,6
PA0251,2,4,0,0
PA0252,0,0,0,0
PA0253,5,3,2,1
PA0254,18,10,4,4
PA0255,11,13,0,4
PA0256,30,51,13,8
PA0257,18,10,1,2
PA0258,0,0,0,0
PA0259,47,55,29,13
PA0260,20,32,7,7
PA0261,4,3,0,2
PA0262,21,33,10,9
PA0263,2,2,0,0
PA0264,73,88,26,14
PA0265,203,216,58,49
PA0266,172,172,82,45
PA0267,14,6,3,3
PA0268,16,16,6,3
PA0269,9,21,4,3
PA0270,8,9,3,3
PA0271,5,8,0,0
PA0272,15,14,6,1
PA0273,5,6,2,1
PA0274,6,8,1,3
PA0275,11,8,3,1
PA0276,13,12,4,2
PA0277,14,14,1,1
PA0278,0,3,0,1
PA0279,4,8,1,1
PA0280,10,8,3,0
PA0281,5,5,0,4
PA0282,5,6,0,2
PA0283,10,5,3,0
PA0284,0,1,0,0
PA0285,24,30,9,8
PA0286,34,33,19,9
PA0287,12,9,1,0
PA0288,1,9,7,0
PA0289,15,11,1,1
PA0290,29,31,4,4
PA0291,41,38,13,12
PA0292,36,29,11,9
PA0293,7,8,2,0
PA0294,6,5,4,2
PA0295,27,24,17,7
PA0296,92,79,44,23
PA0297,31,36,20,8
PA0298,47,46,27,11
PA0299,66,78,31,25
PA0300,32,27,23,16
PA0301,13,17,10,3
PA0302,12,10,7,7
PA0303,25,20,6,4
PA0304,16,24,9,0
PA0305,34,30,9,4
PA0306,4,17,3,7
PA0306.1,18,17,24,16
PA0307,10,9,1,2
PA0308,14,10,5,3
PA0309,8,13,4,1
PA0310,20,24,8,6
