,Control_180_read,Control_30_read,OCH_180_read,OCH_30_read
PA1030,374,231,184,357
PA1031,728,483,337,615
PA1032,1254,541,489,689
PA1033,621,182,534,177
PA1034,209,227,109,249
PA1035,212,113,118,171
PA1036,199,112,176,150
PA1037,161,120,142,150
PA1038,70,30,37,29
PA1039,259,76,103,99
PA1040,258,111,114,136
PA1041,2447,80,2865,63
PA1042,88,33,39,45
PA1043,300,111,112,192
PA1044,97,56,30,82
PA1045,541,732,203,971
PA1046,396,325,185,360
PA1047,679,312,318,411
PA1048,1187,1050,4281,1486
PA1049,1135,566,350,533
PA1050,577,234,164,215
PA1051,451,169,65,214
PA1052,195,64,77,103
PA1052a,104,46,24,42
PA1053,2044,1051,1834,1360
PA1054,574,468,209,633
PA1055,71,53,26,81
PA1056,256,153,104,199
PA1057,129,106,39,113
PA1058,79,45,24,48
PA1059,94,64,55,86
PA1060,313,77,51,96
PA1061,900,153,115,169
PA1062,463,85,87,103
PA1063,378,67,46,91
PA1064,674,319,375,362
PA1065,138,25,57,29
PA1066,106,23,78,27
PA1067,79,24,46,36
PA1068,1031,322,250,463
PA1069,3821,863,630,1065
PA1070,559,374,292,446
PA1071,676,530,405,651
PA1072,675,413,306,529
PA1073,689,526,285,581
PA1074,8582,4973,4597,6108
PA1075,89,78,48,103
PA1076,1833,718,493,796
PA1077,1312,200,153,264
PA1078,1065,205,126,238
PA1079,1805,342,254,469
PA1080,5561,988,887,1246
PA1081,824,142,109,213
PA1082,2167,510,363,594
PA1083,1321,308,243,349
PA1084,980,240,193,301
PA1085,1377,261,252,384
PA1086,3825,674,720,822
PA1087,2402,439,453,486
PA1088,968,141,251,176
PA1089,462,74,113,103
PA1090,520,109,186,117
PA1091,3528,820,1156,997
PA1092,38799,16072,11130,18990
PA1093,1219,498,308,550
PA1094,8798,2643,2865,3133
PA1095,1189,378,287,496
PA1096,1237,493,346,605
PA1097,2645,1354,969,1983
PA1098,736,350,226,371
PA1099,981,196,232,247
PA1100,135,53,62,72
PA1101,1132,465,272,570
PA1102,1489,664,439,812
PA1103,816,281,231,359
PA1104,817,264,219,368
PA1105,136,49,58,53
PA1106,169,174,278,231
PA1107,150,104,163,113
PA1108,31,9,63,26
PA1109,104,52,95,77
PA1110,183,151,110,195
PA1111,14,4,43,5
PA1112,279,261,230,322
PA1112a,189,229,88,257
PA1112b,741,851,390,1040
PA1113,204,102,159,109
PA1114,57,21,66,46
PA1115,853,407,430,461
PA1116,149,536,65,609
PA1117,101,162,31,198
PA1118,286,192,216,203
PA1119,364,166,146,190
PA1120,377,254,176,232
PA1121,189,102,107,109
PA1123,58,66,36,67
PA1124,699,223,364,268
PA1125,208,75,97,89
PA1126,218,110,129,158
PA1127,677,221,325,348
PA1128,45,28,49,38
PA1129,62,10,23,16
PA1130,218,43,172,85
PA1131,73,38,107,81
PA1132,249,290,89,380
PA1133,45,35,17,33
PA1134,24,17,18,28
PA1135,432,64,495,81
PA1136,91,46,60,51
PA1137,73,21,63,38
PA1138,64,21,51,32
PA1139,117,65,87,71
PA1140,444,79,107,118
PA1141,89,38,73,41
PA1142,140,80,55,100
PA1143,38,3,26,4
PA1144,34,18,57,18
PA1145,116,43,70,74
PA1146,48,28,59,52
PA1147,50,25,61,30
PA1148,76,82,65,97
PA1149,18,8,18,7
PA1150,984,431,573,532
PA1151,1968,603,1130,723
PA1153,43,35,44,45
PA1154,54,40,42,50
PA1155,2115,3337,892,3336
PA1156,6216,8494,2087,8218
PA1157,154,138,72,197
PA1158,201,85,89,133
PA1159,4881,687,495,835
PA1160,201,129,123,187
PA1161,233,189,74,242
PA1162,491,557,266,726
PA1163,196,152,177,159
PA1164,179,274,184,354
PA1165,64,67,62,97
PA1166,116,48,111,56
PA1167,104,31,106,59
PA1168,25,43,49,81
PA1169,104,55,117,86
PA1170,66,54,36,63
PA1171,696,202,268,277
PA1172,386,33,294,46
PA1173,141,12,98,18
PA1174,1789,90,1057,97
PA1175,228,9,105,8
PA1176,98,12,78,13
PA1177,74,9,33,4
PA1178,2441,1352,14684,2058
PA1179,515,275,767,425
PA1180,408,209,343,276
PA1181,436,139,274,221
PA1182,121,42,81,44
PA1183,248,899,463,984
PA1184,84,41,51,35
PA1185,16,6,14,14
PA1186,25,16,44,13
PA1187,151,74,60,76
PA1188,316,88,154,103
PA1189,148,124,118,143
PA1190,555,32,371,54
PA1191,176,85,78,128
PA1192,405,644,215,794
PA1193,149,224,92,301
PA1194,73,122,71,118
PA1195,27,18,25,21
PA1196,1137,458,72,353
PA1197,435,232,114,235
PA1198,1818,1896,1704,2287
PA1199,824,594,571,762
PA1200,347,198,297,184
PA1201,219,92,203,116
PA1202,1038,60,672,78
PA1203,129,22,85,36
PA1204,298,43,118,81
PA1205,785,103,377,149
PA1206,130,33,60,48
PA1207,576,161,244,205
PA1208,309,69,138,73
PA1209,109,48,74,50
PA1210,48,21,41,18
PA1211,39,14,38,15
PA1212,92,12,40,22
PA1213,85,14,32,14
PA1214,158,17,68,21
PA1215,242,16,97,26
PA1216,490,37,105,29
PA1217,505,50,98,61
PA1218,287,33,71,22
PA1219,65,11,36,8
PA1220,148,15,55,23
PA1221,202,32,96,28
PA1222,246,260,149,250
PA1223,161,63,50,64
PA1224,69,26,39,31
PA1225,71,21,36,27
PA1226,87,53,64,68
PA1227,87,95,56,126
PA1228,29,83,19,85
PA1229,35,16,42,24
PA1230,8,0,4,4
PA1231,6,7,24,11
PA1232,88,32,115,53
PA1233,90,18,55,45
PA1234,141,49,89,61
PA1235,84,18,66,40
PA1236,47,18,49,28
PA1237,30,3,34,21
PA1238,20,10,57,12
PA1239,75,20,42,17
PA1240,128,14,33,20
PA1241,109,114,37,128
PA1242,133,73,212,94
PA1243,761,215,515,257
PA1244,3065,450,1950,572
PA1245,458,134,164,186
PA1246,365,49,99,56
PA1247,293,22,89,43
PA1248,316,42,82,57
PA1249,2266,60,1059,76
PA1250,247,31,52,52
PA1251,236,27,84,50
PA1252,310,34,164,45
PA1253,147,17,92,24
PA1254,134,10,39,7
PA1255,165,9,57,12
PA1256,148,11,29,10
PA1257,52,11,18,16
PA1258,46,8,25,14
PA1259,228,32,91,41
PA1260,342,8,35,15
PA1261,61,32,49,37
PA1262,17,13,60,27
PA1263,160,78,116,113
PA1264,76,16,68,23
PA1265,21,3,44,9
PA1266,57,10,56,18
PA1267,83,14,58,18
PA1268,75,19,59,24
PA1269,160,112,49,80
PA1270,45,48,71,46
PA1271,716,585,92,728
PA1272,496,255,60,302
PA1273,539,235,103,325
PA1274,185,90,46,127
PA1275,189,99,45,151
PA1276,259,134,53,191
PA1277,531,360,97,424
PA1278,296,164,40,211
PA1279,366,179,77,240
PA1280,188,66,35,111
PA1281,178,104,45,134
PA1282,109,69,92,115
PA1283,130,24,59,44
PA1284,281,80,100,83
PA1285,90,42,48,35
PA1286,41,23,60,31
PA1287,445,130,309,150
PA1288,15774,10447,3910,13515
PA1289,73,43,43,32
PA1290,49,22,13,34
PA1291,194,51,77,67
PA1292,1008,210,448,256
PA1293,944,210,252,352
PA1294,346,397,181,476
PA1295,78,89,39,90
PA1296,401,248,199,295
PA1297,79,57,62,74
PA1298,22,10,16,14
PA1299,50,108,20,133
PA1300,13,18,14,30
PA1301,22,34,37,34
PA1302,133,101,75,117
PA1303,86,59,16,57
PA1304,797,413,291,556
PA1305,227,275,87,305
PA1306,326,190,144,242
PA1307,704,384,479,446
PA1308,340,119,191,199
PA1309,185,95,98,99
PA1310,41,20,39,32
PA1311,83,32,60,24
PA1312,98,41,47,46
PA1313,22,8,50,16
PA1314,41,10,25,18
PA1315,126,81,83,134
PA1316,88,56,99,71
PA1317,52,664,251,1395
PA1318,163,818,383,1619
PA1319,32,281,128,525
PA1320,8,54,27,89
PA1321,29,266,89,442
PA1322,73,61,73,68
PA1323,98,14,910,24
PA1324,293,55,3334,95
PA1325,174,107,22,95
PA1326,814,321,97,277
PA1327,593,116,279,104
PA1328,135,81,81,74
PA1329,10,4,16,4
PA1330,108,22,96,41
PA1331,197,94,92,85
PA1332,98,54,50,42
PA1333,103,42,24,91
PA1334,48,20,60,35
PA1335,379,135,164,144
PA1336,531,253,174,296
PA1337,2960,406,735,477
PA1338,1295,490,253,502
PA1339,1192,494,272,538
PA1340,746,268,157,294
PA1341,641,220,108,229
PA1342,8972,1986,1978,2196
PA1343,43,48,100,52
PA1344,260,55,351,63
PA1345,94,25,105,22
PA1346,25,15,71,22
PA1347,44,20,36,23
PA1348,108,21,104,25
PA1349,24,6,42,3
PA1350,62,20,69,27
PA1351,41,11,73,14
PA1352,11,6,41,2
PA1353,120,9,64,7
PA1354,110,8,56,6
PA1355,10,1,19,4
PA1356,47,11,100,24
PA1357,280,63,105,98
PA1358,290,68,125,109
PA1359,157,69,43,97
PA1360,135,149,48,209
PA1361,194,301,90,330
PA1362,43,13,43,18
PA1363,35,32,31,52
PA1364,44,17,43,31
PA1365,199,95,150,112
PA1366,967,359,408,412
PA1367,100,49,35,68
PA1368,164,97,131,94
PA1369,781,212,331,322
PA1370,1780,256,382,359
PA1371,809,253,291,282
PA1372,4331,1658,1897,2057
PA1373,114,65,98,85
PA1374,34,30,17,36
PA1375,431,189,189,264
PA1376,1844,411,702,559
PA1377,328,151,205,188
PA1378,106,36,57,73
PA1379,48,24,48,26
PA1380,63,24,51,45
PA1381,37,21,44,29
PA1382,621,404,336,446
PA1383,555,217,208,247
PA1384,73,43,68,41
PA1385,90,45,92,51
PA1386,154,57,118,81
PA1387,341,183,202,192
PA1388,75,30,56,30
PA1389,152,56,126,76
PA1390,99,50,72,58
PA1391,91,44,58,59
PA1392,241,101,155,145
PA1393,72,34,31,40
PA1394,10,7,11,16
PA1395,79,27,26,49
PA1396,265,149,99,194
PA1397,111,125,72,153
PA1398,176,99,95,116
PA1399,285,98,119,117
PA1400,745,88,192,136
PA1401,130,28,53,22
PA1402,90,26,40,24
PA1403,48,14,56,13
PA1404,13,0,68,3
PA1405,162,87,111,124
PA1406,88,47,40,70
PA1407,65,94,91,105
PA1408,259,59,299,67
PA1409,177,20,39,13
PA1410,398,44,49,46
PA1411,140,62,56,79
PA1412,57,18,66,22
PA1413,93,38,58,65
PA1414,2758,1137,702,1127
PA1415,1031,341,119,296
PA1416,1365,59,71,47
PA1417,1853,24,56,16
PA1418,3649,36,61,36
PA1419,1135,60,104,67
PA1420,586,16,15,6
PA1421,3022,76,83,65
PA1422,159,135,101,168
PA1423,340,159,610,221
PA1424,57,38,48,56
PA1424a,57,35,46,56
PA1425,151,95,150,124
PA1428a,222,124,137,152
PA1428,32,58,15,49
PA1429,2105,490,186,405
PA1430,3331,1047,1062,1279
PA1431,693,122,308,216
PA1432,9706,670,4143,1449
PA1433,1194,257,433,469
PA1434,103,54,72,74
PA1435,43,24,53,28
PA1436,95,40,79,61
PA1437,117,30,72,62
PA1438,224,83,128,90
PA1439,172,145,85,148
PA1440,1022,1140,785,1471
PA1441,2075,359,320,555
PA1442,188,118,65,158
PA1443,1248,629,411,815
PA1444,529,154,152,227
PA1445,280,110,89,124
PA1446,397,189,114,223
PA1447,102,44,51,55
PA1448,110,40,34,55
PA1449,184,64,97,79
PA1450,112,43,57,68
PA1451,176,48,77,80
PA1452,656,258,183,305
PA1453,1037,346,296,386
PA1454,1891,829,565,912
PA1455,2721,940,720,1119
PA1456,968,265,405,333
PA1457,3138,1085,1008,1419
PA1458,4314,1652,1452,2151
PA1459,1807,583,514,675
PA1460,674,303,188,325
PA1461,836,370,293,411
PA1462,1005,375,383,506
PA1463,952,274,302,387
PA1464,2080,694,962,909
PA1465,265,78,102,94
PA1466,112,65,56,88
PA1467,74,26,45,39
PA1468,24,2,13,12
PA1469,96,37,63,47
PA1470,104,11,118,17
PA1471,71,19,341,27
PA1472,66,25,33,32
PA1473,160,56,62,74
PA1474,693,301,297,403
PA1475,104,156,64,176
PA1476,76,80,38,97
PA1477,265,300,110,334
PA1478,36,31,10,40
PA1479,331,263,102,336
PA1480,995,770,282,825
PA1481,350,292,144,354
PA1482,384,316,125,360
PA1483,563,499,219,676
PA1483a,204,115,85,153
PA1484,152,83,124,106
PA1485,41,19,44,23
PA1486,165,25,73,24
PA1487,261,34,83,42
PA1488,158,25,48,24
PA1489,206,31,49,37
PA1490,80,40,28,50
PA1491,131,115,85,124
PA1492,77,37,12,55
PA1493,2718,1595,961,2282
PA1494,475,132,172,166
PA1495,76,29,41,48
PA1496,73,57,55,84
PA1497,26,18,53,18
PA1498,50,7,38,28
PA1499,37,14,39,13
PA1500,95,11,41,11
PA1501,94,28,39,30
PA1502,104,25,68,40
PA1503,16,12,16,16
PA1504,286,415,179,542
PA1505,2163,1023,625,1119
PA1506,41,24,33,23
PA1507,229,79,71,110
PA1508,49,11,14,14
PA1509,952,289,308,305
PA1510,850,176,202,247
PA1511,604,194,225,247
PA1512,164,46,77,60
PA1513,467,148,144,216
PA1514,204,95,97,114
PA1515,221,71,66,85
PA1516,161,45,26,63
PA1517,221,115,65,117
PA1518,151,38,55,73
PA1519,241,114,138,113
PA1520,899,625,360,751
PA1521,188,211,104,227
PA1522,141,80,79,129
PA1523,459,193,179,226
PA1524,518,156,89,169
PA1525,621,70,193,81
PA1526,589,287,285,459
PA1527,2692,2077,1599,2658
PA1528,1705,1449,1045,1713
PA1529,1178,863,393,1045
PA1530,242,171,100,230
PA1531,14,31,23,27
PA1532,1636,1155,643,1476
PA1533,2722,1852,1776,2193
PA1534,726,569,255,682
PA1535,231,155,104,204
PA1536,140,74,91,77
PA1537,305,35,30,37
PA1538,494,53,80,69
PA1539,105,107,68,113
PA1540,31,30,21,49
PA1541,22,88,11,82
PA1542,209,137,46,173
PA1543,385,314,227,330
PA1544,2657,1033,1237,1111
PA1545,618,265,385,322
PA1546,12128,6152,978,4794
PA1547,75,73,65,77
PA1548,93,126,70,164
PA1549,448,736,294,761
PA1550,341,432,187,464
PA1551,1879,1813,811,1540
PA1552,4097,6731,1278,7233
PA1552.1,514,622,104,602
PA1553,1982,2888,534,3434
PA1554,3053,5453,1008,6311
PA1555,3710,2193,347,1700
PA1555.1,646,608,116,510
PA1556,2586,1422,156,958
PA1557,5255,3908,426,2642
PA1558,70,55,59,52
PA1561,3128,1738,325,1676
PA1562,3193,357,4190,482
PA1563,206,177,83,205
PA1564,66,119,103,115
PA1565,139,411,353,370
PA1566,51,278,295,268
PA1567,119,70,68,70
PA1568,13,9,4,8
PA1569,40,23,39,40
PA1570,144,151,64,185
PA1571,242,55,437,97
PA1572,705,309,346,419
PA1573,324,115,130,183
PA1574,507,379,332,501
PA1575,142,46,86,77
PA1576,286,124,186,157
PA1577,179,110,130,146
PA1578,99,39,87,60
PA1578a,15,23,11,25
PA1579,4042,1380,803,1244
PA1580,18504,7383,5589,11262
PA1581,3060,3420,1922,5716
PA1582,1935,2118,963,3034
PA1583,13093,10762,5279,15071
PA1584,7276,4994,2837,7019
PA1585,15973,9066,7958,12879
PA1586,7010,4052,3711,5638
PA1587,8303,4995,3834,7123
PA1588,16273,12106,5943,18578
PA1589,14526,9875,5113,14676
PA1590,455,746,429,941
PA1591,60,48,62,49
PA1592,1397,382,4709,579
PA1593,105,116,64,128
PA1594,129,141,98,162
PA1595,207,164,110,178
PA1596,3563,369,706,595
PA1597,264,23,139,50
PA1598,133,20,51,31
PA1599,78,24,48,39
PA1600,116,28,50,25
PA1601,253,46,118,56
PA1602,57,14,22,24
PA1603,169,76,54,99
PA1604,470,191,176,181
PA1605,78,47,203,39
PA1606,23,27,60,19
PA1607,234,77,75,123
PA1608,377,238,215,245
PA1609,3562,2280,2093,2480
PA1610,1041,730,599,918
PA1611,948,345,376,447
PA1612,212,75,74,77
PA1613,849,467,295,570
PA1614,541,427,369,556
PA1615,250,122,186,161
PA1616,236,79,144,139
PA1617,3284,195,305,242
PA1618,1038,111,273,164
PA1619,296,64,64,82
PA1620,23,11,13,14
PA1621,376,131,129,119
PA1622,304,82,94,90
PA1623,949,417,441,522
PA1624,618,199,176,229
PA1625,103,80,74,125
PA1626,96,41,51,73
PA1627,44,36,30,56
PA1628,224,42,87,53
PA1629,79,26,28,29
PA1630,239,73,65,145
PA1631,173,37,61,60
PA1632,4,7,4,2
PA1633,117,65,77,88
PA1634,62,35,74,38
PA1635,7,2,23,4
PA1636,264,109,188,115
PA1637,119,42,64,52
PA1638,64,63,34,80
PA1639,320,208,139,260
PA1640,566,246,305,356
PA1641,72,10,42,11
PA1642,553,252,313,355
PA1643,672,300,298,349
PA1643a,176,61,192,75
PA1644,357,208,301,253
PA1645,149,79,95,112
PA1646,820,70,131,106
PA1647,891,254,138,252
PA1648,1180,82,122,93
PA1649,956,338,107,554
PA1650,666,230,61,333
PA1651,1016,229,82,278
PA1652,59,37,46,53
PA1653,62,39,51,67
PA1654,281,193,397,412
PA1655,763,237,1207,525
PA1656,659,314,45,485
PA1657,318,72,23,103
PA1658,815,168,57,249
PA1659,74,18,2,25
PA1660,242,73,39,106
PA1661,96,33,23,43
PA1662,300,65,105,101
PA1663,89,21,42,40
PA1664,3,1,0,1
PA1665,90,12,49,26
PA1666,67,11,21,16
PA1667,224,49,45,68
PA1668,68,15,22,24
PA1669,315,72,99,112
PA1670,48,20,45,28
PA1671,90,28,52,42
PA1672,164,73,148,98
PA1673,3450,2087,552,2052
PA1674,818,655,275,802
PA1675,127,115,79,168
PA1676,20,7,19,18
PA1677,792,298,333,413
PA1678,350,273,106,369
PA1679,373,273,127,313
PA1680,53,61,67,62
PA1681,1070,903,717,1119
PA1682,168,105,73,137
PA1683,344,154,130,232
PA1684,641,293,261,336
PA1685,361,165,146,183
PA1686,372,172,162,197
PA1687,224,385,73,548
PA1688,297,284,92,344
PA1689,1627,895,354,1133
PA1690,28,42,31,61
PA1691,21,26,29,34
PA1692,15,21,7,19
PA1693,98,114,58,115
PA1694,38,58,65,50
PA1695,46,54,44,53
PA1696,14,28,17,21
PA1697,36,110,48,94
PA1698,28,85,31,80
PA1699,9,39,13,34
PA1700,11,10,11,17
PA1701,13,21,14,13
PA1702,10,7,18,11
PA1703,102,171,85,166
PA1704,12,8,20,7
PA1705,15,21,8,19
PA1706,74,132,115,112
PA1707,81,96,71,70
PA1708,359,296,318,291
PA1709,245,212,212,211
PA1710,76,135,87,148
PA1711,67,101,78,114
PA1712,84,111,53,118
PA1713,133,440,164,498
PA1714,154,225,98,269
PA1715,16,65,18,60
PA1716,117,258,85,283
PA1717,69,139,46,148
PA1718,25,46,24,38
PA1719,54,87,38,108
PA1720,34,48,18,56
PA1721,25,41,19,51
PA1722,30,65,19,84
PA1723,92,164,51,172
PA1724,12,42,25,41
PA1725,57,105,43,121
PA1726,633,464,213,526
PA1727,317,474,173,572
PA1728,447,144,486,187
PA1729,243,108,142,132
PA1730,185,55,144,81
PA1731,119,33,83,38
PA1732,87,28,68,28
PA1733,242,32,141,40
PA1734,222,89,125,118
PA1735,104,40,44,38
PA1736,686,187,183,188
PA1737,1486,306,440,381
PA1738,309,101,166,152
PA1739,42,26,37,20
PA1740,98,96,89,146
PA1741,75,97,34,106
PA1742,445,1299,550,1502
PA1743,7,8,9,12
PA1744,15,13,8,17
PA1745,155,18,144,25
PA1746,1531,762,348,650
PA1747,106,73,18,70
PA1748,783,471,428,683
PA1749,735,346,397,397
PA1750,2460,1707,1037,2490
PA1751,167,42,86,77
PA1752,761,220,494,298
PA1753,429,93,172,141
PA1754,2183,912,893,1197
PA1755,155,84,267,129
PA1756,378,348,315,472
PA1757,581,260,190,331
PA1758,433,405,246,518
PA1759,3807,846,1046,902
PA1760,3475,309,886,428
PA1761,4414,85,560,107
PA1762,1269,39,196,66
PA1763,898,51,157,67
PA1764,387,41,78,45
PA1765,396,33,86,45
PA1766,1769,1712,894,2103
PA1767,1765,2163,1129,2726
PA1768,536,1110,396,1350
PA1769,1215,1113,712,1244
PA1770,6965,3704,2922,5329
PA1771,170,289,49,335
PA1772,947,273,766,362
PA1773,577,323,433,345
PA1774,95,78,50,102
PA1775,671,666,555,818
PA1776,1375,1823,1023,2285
PA1777,73514,85340,54021,111782
PA1778,112,193,83,194
PA1779,127,58,118,54
PA1780,7,2,6,2
PA1781,34,27,51,43
PA1782,15,10,36,27
PA1783,22,15,41,14
PA1784,144,25,134,30
PA1785,21,12,17,21
PA1786,43,50,30,61
PA1787,28548,9186,7408,13090
PA1788,175,71,45,84
PA1789,6870,2353,1302,2058
PA1790,95,188,23,221
PA1791,511,581,101,746
PA1792,401,448,122,593
PA1793,3929,3086,2776,3955
PA1794,2743,2832,1139,3450
PA1795,2697,1810,903,2510
PA1796,524,961,281,1226
PA1797a,26,45,11,48
PA1797,123,123,79,175
PA1798,235,190,112,261
PA1799,138,168,100,208
PA1800,6971,10520,2408,14883
PA1801,2342,1672,1126,2238
PA1802,13784,9193,7980,11716
PA1803,6723,3235,4337,4324
PA1804,8180,6468,3702,8568
PA1805,5186,3657,1462,4490
PA1806,792,130,316,144
PA1807,1175,295,436,303
PA1808,685,169,300,212
PA1809,575,134,232,204
PA1810,1911,485,874,738
PA1811,932,409,376,506
PA1812,1688,1236,1161,1782
PA1813,355,271,248,335
PA1814,309,191,222,242
PA1815,206,152,65,235
PA1816,542,387,284,551
PA1817,316,174,338,214
PA1818,1434,1036,1453,1181
PA1819,633,286,362,371
PA1820,468,224,384,336
PA1821,1321,718,866,987
PA1822,2631,1006,860,1400
PA1823,966,350,274,439
PA1824,246,163,81,190
PA1825,69,36,74,53
PA1826,157,83,148,120
PA1827,46,25,21,33
PA1828,4083,937,781,1471
PA1829,4510,1025,893,1473
PA1830,11998,3332,3539,4663
PA1831,518,195,157,195
PA1832,1417,858,731,1025
PA1833,1350,327,534,397
PA1833a,456,166,204,229
PA1835,153,44,73,37
PA1836,52,52,37,57
PA1837,494,185,64,239
PA1838,1502,901,234,1452
PA1837a,299,28,199,39
PA1839,98,171,58,219
PA1840,108,119,62,173
PA1841,318,228,138,309
PA1842,419,123,136,141
PA1843,3022,991,1005,1239
PA1844,28,22,27,14
PA1845,77,32,24,27
PA1846,705,857,379,1088
PA1847,1023,1438,955,1880
PA1848,55,31,61,49
PA1849,7,3,9,4
PA1850,120,43,72,68
PA1851,113,46,88,61
PA1852,318,146,278,235
PA1853,103,94,71,123
PA1854,68,58,51,82
PA1855,6,5,13,6
PA1856,202,165,90,163
PA1857,339,164,164,204
PA1858,92,47,47,45
PA1859,151,50,98,72
PA1860,194,44,158,45
PA1861,216,86,134,93
PA1862,120,68,52,106
PA1863,110,61,42,66
PA1864,7,12,12,5
PA1865,111,129,122,176
PA1866,213,188,201,269
PA1866a,52,104,67,112
PA1867,11,18,10,13
PA1868,42,119,93,140
PA1869,30,65,15,67
PA1870,16,6,32,11
PA1871,320,39,149,58
PA1872,315,111,142,135
PA1873,36,25,37,24
PA1874,782,206,427,266
PA1875,53,23,56,17
PA1876,117,46,82,44
PA1877,42,8,37,21
PA1878,74,43,67,44
PA1879,41,37,27,41
PA1880,870,99,581,177
PA1881,191,30,124,42
PA1882,41,21,9,21
PA1883,25,7,11,6
PA1884,23,24,37,16
PA1885,43,15,34,13
PA1886,345,225,279,276
PA1887,128,45,98,54
PA1888,243,52,182,58
PA1889,201,150,165,178
PA1890,357,114,191,166
PA1891,29,6,18,6
PA1892,378,8,42,15
PA1893,1074,38,140,57
PA1894,1673,25,137,30
PA1895,1551,68,199,74
PA1896,1057,23,94,38
PA1897,1612,193,281,186
PA1898,217,27,55,30
PA1899,7,6,11,6
PA1900,44,7,19,15
PA1901,160,73,113,99
PA1902,25,13,26,12
PA1903,108,35,82,34
PA1904,50,19,33,15
PA1905,56,29,50,31
PA1906,63,17,24,38
PA1907,40,20,63,20
PA1908,21,8,41,13
PA1909,16,6,19,7
PA1910,54,35,92,38
PA1911,28,11,50,18
PA1912,72,20,18,25
PA1913,461,88,147,133
PA1914,107,35,92,52
PA1915,372,199,198,220
PA1916,40,28,31,25
PA1917,7,2,10,4
PA1918,33,18,50,14
PA1919,37,28,39,29
PA1920,137,116,77,78
PA1921,14,10,56,5
PA1922,32,6,64,17
PA1923,50,39,142,31
PA1924,28,8,22,12
PA1925,12,5,7,4
PA1926,428,914,110,1064
PA1927,174,132,62,189
PA1928,79,27,65,42
PA1929,23,7,18,13
PA1930,401,60,422,59
PA1931,41,15,65,12
PA1932,37,42,80,51
PA1933,854,553,525,668
PA1934,83,24,77,38
PA1937,32,21,20,31
PA1938,101,37,47,42
PA1939,5197,1033,1276,1618
PA1940,1450,209,294,279
PA1941,1719,365,448,449
PA1942,28,16,15,12
PA1943,302,136,205,150
PA1944,518,132,445,160
PA1945,114,48,105,75
PA1946,824,201,121,237
PA1947,313,45,87,55
PA1948,254,51,60,62
PA1949,493,135,109,206
PA1950,379,109,191,147
PA1951,373,53,154,83
PA1952,11,4,31,6
PA1953,23,16,13,24
PA1954,53,24,49,22
PA1955,11,6,24,10
PA1956,5,7,8,11
PA1957,44,55,30,76
PA1958,72,63,52,76
PA1959,228,356,61,430
PA1960,47,47,46,64
PA1961,95,79,76,103
PA1962,18,11,27,21
PA1963,264,78,116,92
PA1964,698,1951,166,2286
PA1965,45,24,21,44
PA1966,117,39,28,56
PA1967,391,45,86,76
PA1968,20,12,34,26
PA1969,252,65,108,116
PA1970,20,52,8,38
PA1971,103,406,74,329
PA1972,39,19,54,22
PA1973,206,84,157,106
PA1974,38,12,27,18
PA1975,113,11,29,18
PA1976,277,14,97,35
PA1977,68,5,19,12
PA1978,332,50,38,75
PA1979,38,4,24,9
PA1980,71,7,31,10
PA1981,27,6,26,7
PA1982,370,24,59,22
PA1983,150,2,15,8
PA1984,1698,98,793,97
PA1985,16,0,39,0
PA1986,369,33,94,61
PA1987,391,37,100,43
PA1988,147,8,33,16
PA1989,358,27,125,42
PA1990,219,16,133,25
PA1991,382,107,108,171
PA1992,631,95,120,119
PA1993,115,114,74,161
PA1994,125,56,91,82
PA1995,49,37,23,22
PA1996,55,21,22,32
PA1997,604,163,262,233
PA1998,122,61,54,86
PA1999,33,24,48,17
PA2000,36,17,35,13
PA2001,277,92,221,122
PA2002,128,35,74,56
PA2003,125,25,74,22
PA2004,109,42,68,40
PA2005,272,145,149,194
PA2006,71,34,102,42
PA2007,122,31,191,36
PA2008,251,94,500,85
PA2009,224,109,788,140
PA2010,94,67,95,112
PA2011,235,109,119,109
PA2012,299,210,177,114
PA2013,95,119,67,54
PA2014,215,165,109,84
PA2015,607,597,174,232
PA2016,269,228,61,100
PA2017,116,65,74,73
PA2018,301,293,116,297
PA2019,103,87,61,141
PA2020,126,102,90,155
PA2021,24,11,44,16
PA2022,62,29,41,47
PA2023,975,882,1177,1089
PA2024,132,46,78,56
PA2025,1620,766,894,1021
PA2026,125,89,66,125
PA2027,20,46,467,75
PA2028,67,37,56,49
PA2029,120,43,70,34
PA2030,109,12,61,22
PA2031,46,4,18,4
PA2032,287,90,196,109
PA2033,34,10,53,23
PA2034,27,12,32,8
PA2035,171,51,173,64
PA2036,133,98,109,76
PA2037,364,321,280,374
PA2038,46,68,36,81
PA2039,109,166,102,217
PA2040,603,5507,631,6331
PA2041,131,874,107,935
PA2042,378,1591,241,1802
PA2043,124,177,76,219
PA2044,653,561,512,746
PA2045,55,58,37,87
PA2047,157,96,182,109
PA2048,13,7,33,25
PA2049,332,336,174,417
PA2050,1,7,15,9
PA2051,19,10,26,13
PA2052,82,12,61,18
PA2053,39,16,37,19
PA2054,58,23,48,21
PA2055,36,11,46,26
PA2056,97,41,51,63
PA2057,63,27,85,42
PA2058,28,11,34,14
PA2059,21,12,48,17
PA2060,11,9,34,12
PA2061,35,21,59,33
PA2062,96,111,88,133
PA2063,153,147,53,194
PA2064,41,38,40,51
PA2065,46,26,70,46
PA2066,46,16,36,25
PA2067,30,9,27,13
PA2068,31,15,52,18
