,3074-CAW-0001,3074-CAW-0002,3074-CAW-0003,3074-CAW-0004,3074-CAW-0005,3074-CAW-0006
PA14_RS02515,355.7317662,399.3815841,351.3989329,264.5438374,341.2558577,297.4435327
PA14_RS02520,794.6928202,851.4736062,896.5809276,423.4236377,653.2280807,677.1290479
PA14_RS02525,1798.161643,1828.133865,1690.483243,1528.036193,1918.216707,1904.664264
PA14_RS02530,793.6059324,772.0957706,643.0798165,709.4277728,691.491161,629.3937316
PA14_RS02535,18602.53999,19490.83125,6078.227674,5715.309852,5273.368136,5588.432644
PA14_RS02540,2590.265024,2015.61726,1456.749399,2283.503048,1821.538787,1576.522451
PA14_RS02545,3434.832423,3494.441065,4234.024787,6136.79638,4596.550897,4758.845825
PA14_RS02550,456.1735538,427.0437295,591.3953132,813.4500785,609.2231695,680.4314431
PA14_RS02555,768.2457125,710.4380293,902.5462168,1263.375688,996.2644955,823.7335845
PA14_RS02560,403.822084,412.7438762,447.02695,558.3000983,503.6438195,513.4831055
PA14_RS02565,274.3508052,214.570287,273.9458617,324.3970748,297.5181764,290.6878577
PA14_RS02570,77.69721596,60.09620565,95.19005827,48.72488921,105.2288293,101.2303163
PA14_RS02575,513.8028206,454.5959434,575.8199646,443.2263984,423.9904619,463.972343
PA14_RS02580,217.0115471,210.0788335,230.8685747,252.940983,259.336597,205.2861235
PA14_RS02585,183.1699842,184.6878821,248.6655774,237.4612999,252.6453821,210.7476889
PA14_RS02590,50.39892303,65.79882882,38.288852,59.52117081,46.33877497,57.42344582
PA14_RS02595,274.664377,250.4262526,203.8260448,153.7383415,193.9467782,178.3986021
PA14_RS02600,210.8618076,244.3170945,233.9120704,247.7293511,245.8183833,226.9856054
PA14_RS02605,486.968958,410.4845181,461.5096487,473.8018429,529.7794233,380.9138672
PA14_RS02610,1,1,1,1,1,1
PA14_RS02615,1301.717796,1770.828767,1320.712746,1733.413343,1694.931202,1320.948037
PA14_RS02620,716.4970727,773.1529311,995.4058117,1076.457764,1450.141535,1032.406203
PA14_RS02625,684.8897695,685.6849277,891.3961997,635.5571282,1123.930413,857.4816572
PA14_RS02630,374.7877529,417.5065439,502.6979516,239.3967572,712.7399592,536.8082375
PA14_RS02635,359.1010348,274.4493286,439.8585972,318.8780538,679.1460272,636.2619336
PA14_RS02640,2645.474874,2466.776,3083.713459,4571.978805,4732.595817,4670.505534
PA14_RS02645,9324.114464,7535.131636,9667.813987,15528.35085,10390.96484,10468.48464
PA14_RS02650,493.4858815,432.0633355,452.0488896,472.8559696,400.9039995,387.6355296
