gene,E11,E12,E1E21,E1E22,E21,E22,WT1,WT2
CDS112389,3569,1797,1750,2329,2046,1948,1440,2096
CDS105283,109,93,76,69,93,65,94,94
CDS112673,142,146,576,483,483,446,123,111
CDS104921,2821,2937,2349,2395,2479,2092,2404,2558
CDS110519,5929,5702,3966,3861,3793,3655,5097,5258
CDS110375,1097,969,1252,1144,999,978,878,911
CDS109874,5418,4772,3320,3231,2811,2728,4305,4472
CDS105571,629,602,863,728,825,676,494,638
CDS107661,139,115,182,171,188,160,111,108
CDS106089,1246,1298,3271,3077,2325,2794,1006,1284
CDS113941,4642,4315,4203,4032,4111,3570,4141,4173
CDS103492,3188,3066,3677,3348,2811,2835,2819,2706
CDS106439,3371,2856,1606,1658,2009,1485,2660,2991
CDS106133,9664,8538,6574,6095,6274,5462,7703,8270
CDS112200,1003,992,915,947,1197,911,803,920
CDS107321,806,660,970,893,881,754,611,654
CDS105923,4412,4158,4521,4008,4046,3383,3776,3910
CDS104164,2353,2200,507,814,390,699,2058,2183
CDS113321,8105,6928,5853,5377,5396,4802,6271,7069
CDS110927,7768,7475,4953,4979,4540,4628,6621,6826
CDS103236,3481,3304,3095,3014,4459,2812,2960,3409
CDS103172,1519,1476,1389,1289,1308,1241,1287,1548
CDS107643,248,220,332,353,331,319,215,259
CDS111347,121970,109349,53328,53213,45889,51592,98096,103484
CDS109966,1439,1513,1951,1716,1406,1529,1465,1316
CDS110229,2221,1942,2492,2269,2228,1928,1755,1931
CDS113241,1828,1070,743,760,923,587,922,1267
CDS106503,1950,1567,3478,3149,3258,2663,1418,1683
CDS105635,2360,2079,2432,2287,2767,2150,1877,2108
tRNA111929,1573,2516,991,1020,674,849,3333,2806
CDS105423,8881,9171,29188,25325,24196,22802,8261,8663
CDS108179,1214,947,1213,1218,1555,1163,962,1087
CDS109586,115,72,97,90,132,85,67,62
CDS110817,5072,3904,3730,3518,3865,3293,3799,4233
CDS108447,797,761,671,636,892,606,681,743
CDS103854,2653,2593,4208,3752,3799,3427,2391,2395
CDS109948,807,606,873,786,702,636,611,655
CDS103780,184,98,223,253,235,205,64,138
CDS105439,2824,2679,2454,2198,1753,1934,2441,2585
CDS113563,8183,7719,5658,5419,5607,5067,6498,7480
CDS109368,360,412,537,446,470,415,405,416
CDS112911,2079,1826,1474,1446,1267,1204,1697,1508
CDS106775,2645,2132,3557,3328,3952,2828,1680,2095
CDS108157,5372,5143,7066,6842,5903,6062,4669,4922
CDS111477,1579,1349,1119,1186,954,1029,1182,1318
CDS111493,929,985,1295,1304,1304,1123,889,1041
CDS109290,5735,5244,4269,4201,4750,3812,4345,5259
CDS102864,1347,1198,1022,1065,1151,939,924,1258
CDS109468,276,241,377,360,491,346,179,219
CDS110891,1455,1070,848,914,996,769,944,1111
CDS110743,3849,3197,5152,4705,4397,3910,2907,3113
CDS107607,6683,2944,3894,4419,10714,3803,2466,3810
CDS111833,7996,9446,5038,4806,4166,4227,7801,8856
CDS112041,325,276,356,485,353,376,224,285
CDS104913,3062,2858,2883,2751,2630,2406,2404,2923
CDS110447,29367,25134,19441,18737,19645,17747,23322,24368
CDS106663,2883,2448,2009,2189,2661,1907,2225,2701
CDS108521,1469,1106,1151,1206,2126,1121,904,1116
CDS110166,5363,4569,3099,3061,3146,2683,3888,4349
CDS103654,1381,1413,1417,1218,1441,1244,1124,1323
CDS106221,1126,960,3332,3055,1794,2293,937,892
ncRNA104991,7131,6974,4202,3992,3204,3400,6490,5923
CDS113491,2189,2191,1616,1555,1426,1496,2105,2169
CDS109232,416,275,270,299,267,292,266,292
CDS104977,1091,948,2815,2665,2494,2170,964,921
CDS106363,5490,4522,2805,2757,2799,2452,4233,4575
CDS104110,32,33,63,64,51,51,29,22
CDS113975,7473,7638,9240,8375,9290,8160,6998,7603
CDS103536,13824,11682,5181,5724,5631,5376,9717,12990
CDS112575,11706,9213,7249,7468,7353,6620,7854,9415
CDS105245,31,15,109,82,84,68,17,17
CDS113005,3539,3350,3096,2958,2816,2705,3048,3167
CDS113743,15103,9647,7729,8821,14284,8250,9142,11268
CDS111933,2138,1737,1890,1638,1336,1411,1657,1785
CDS113019,3547,3252,3674,3204,2810,2790,2966,3099
CDS113339,13233,12403,8776,9118,9218,7721,11325,11776
CDS112265,1597,1500,2222,2130,2290,1640,1312,1463
CDS109260,212,206,288,265,225,272,185,189
CDS112785,3901,3639,3192,2894,2974,2799,3057,3559
CDS105651,10732,9287,11886,10946,11389,9080,8569,8873
tRNA111927,120,185,57,61,66,74,219,171
CDS109097,42874,43240,60105,55324,57874,51557,39703,40563
CDS111107,2290,1479,927,1063,1134,986,1406,1824
CDS113231,49466,43613,27790,28977,47891,26448,39451,43119
CDS109182,5023,4742,3756,3534,3939,3406,4161,4718
CDS107731,1340,1030,1263,1203,1359,1085,967,1035
CDS104605,1007,955,746,646,698,634,944,856
CDS104309,20428,12011,11629,13900,12345,12471,9267,12245
CDS111271,46936,34778,17518,23478,11639,17782,29292,40811
CDS110595,3526,3147,2633,2495,2475,2255,2755,3164
CDS113029,2162,2202,2305,2212,2284,2002,1967,2132
CDS106413,3744,3330,4087,3807,3380,3299,3136,3116
CDS108297,3749,2485,2637,3032,5658,2675,1995,2357
CDS112301,4423,3866,3426,3340,2952,3024,3489,3771
CDS112951,56791,50397,40308,39467,39835,40174,45466,52459
CDS106189,13168,13138,13375,13063,7081,7807,11045,13007
CDS106859,1094,1418,1905,1871,1035,1567,1254,1147
CDS113449,113289,114977,76098,71886,61798,64670,96363,119169
CDS108795,9259,7466,5675,5875,6051,5409,6561,7772
CDS113371,10049,9230,7366,6639,5690,6141,8729,8869
CDS107047,51,38,131,142,91,114,33,50
CDS106109,4115,3887,12189,10814,7718,9534,3453,3763
CDS102894,1415,1164,1300,1222,1037,959,958,1201
CDS102802,126,138,421,408,442,357,150,143
CDS111063,35,12,114,110,101,106,33,16
CDS104877,566,543,414,374,452,406,489,487
CDS103670,85,54,201,176,208,151,75,78
CDS107155,245,101,235,248,522,206,89,88
CDS112741,38453,31579,27281,26282,29447,23242,29176,31369
CDS113315,18776,13985,14178,14057,19452,13510,12744,15521
CDS113437,1268,1205,1366,1368,1063,1206,1057,1098
CDS103942,1359,1440,2553,2389,2411,2101,1243,1286
CDS113693,108,77,17,26,19,27,93,95
CDS103140,232,207,204,231,232,206,174,198
CDS107967,8740,8833,11578,10561,12997,9916,8260,8546
CDS112641,2486,1950,2234,2257,2209,1996,1848,1933
CDS110553,5673,4786,4179,4432,4044,4444,4735,5358
CDS106863,759,601,595,610,620,537,581,603
pseudo109142,28056,24661,23193,22031,19624,20527,22395,24421
CDS103948,4829,3907,3547,3256,4467,3085,3384,4083
CDS106659,36621,38047,35622,34120,35621,31434,33266,35337
tRNA104082,3599,4746,1638,1733,1367,1814,4864,4250
CDS113879,43170,49274,28469,26327,25673,24619,41833,46910
CDS112807,3452,3420,3021,2990,2793,2777,3048,3205
CDS110897,25,19,47,53,64,49,17,29
CDS107073,7124,3989,2795,3221,4366,3023,3980,4954
CDS112499,1132,1113,2746,2471,2020,2145,1217,1138
CDS108761,3600,3130,2513,2260,2143,2358,3001,3116
CDS107209,27,29,47,48,54,42,23,25
CDS109962,650,540,715,688,715,612,472,619
CDS106947,509,473,882,873,801,778,417,454
