gene,E11,E12,E1E21,E1E22,E21,E22,WT1,WT2
CDS112779,7962,8479,6810,6777,6264,6179,7569,7953
CDS111163,1201,506,504,554,1206,490,444,475
CDS102822,10568,9939,7305,7353,4167,4454,9042,9413
CDS103366,4856,4928,3292,3245,3450,3097,4615,4879
CDS107565,12319,10309,1964,3130,1335,3116,10194,11118
CDS110373,2546,2355,1955,1831,1709,1573,2239,2295
CDS104679,274363,280970,157874,151175,135383,144618,244590,276481
CDS107691,635,678,535,526,561,535,581,706
CDS102908,1334,1030,2198,2044,1586,1500,942,1129
CDS111057,2164,2221,3110,2689,2444,2375,2122,2047
CDS110525,5232,5595,6207,5504,5493,5274,4876,5030
CDS104315,47996,40062,23860,24491,18602,20944,34128,41517
CDS105985,2035,1268,1632,1715,2535,1688,1172,1529
CDS111031,135,93,368,317,329,341,78,89
CDS104287,8477,7714,5112,5083,4703,4477,6700,7052
CDS104481,654,560,582,542,604,498,494,558
CDS104194,390,282,413,426,582,419,308,284
CDS111291,4820,3878,2571,2901,2981,2507,3070,4023
CDS106147,4857,4926,3408,3139,3163,2890,4577,4636
CDS106937,67,68,134,126,118,111,69,71
CDS106905,1312,1126,1284,1236,1646,1176,900,1204
CDS103048,2416,1957,1821,1840,2268,1593,1749,1968
CDS103884,107,91,197,191,221,197,116,89
CDS108841,8002,7489,9266,8936,10172,8023,6844,7697
CDS110571,344,275,490,510,742,532,217,253
CDS110333,527,504,479,479,644,440,460,539
ncRNA21131235,28947,19898,14997,15365,26313,13783,19294,20916
CDS104521,275,368,598,495,414,402,332,277
CDS108147,189,132,209,204,246,185,145,165
CDS108251,27096,21948,35122,35204,41879,32794,20101,22234
CDS107557,6397,5655,4990,5128,5580,4837,5022,5854
CDS108407,839,728,744,723,972,694,645,751
CDS103308,3317,2715,1749,1735,1859,1520,2591,2599
CDS106657,305,274,695,649,836,560,253,285
CDS108755,5279,4266,4774,4677,4360,4096,3581,4098
CDS106349,15088,14605,12271,12272,15831,11068,12176,14792
CDS107425,15328,11841,9598,9653,9095,8297,10366,12092
CDS108201,7461,5942,6175,6275,8113,5810,5151,6178
CDS106093,1484,1443,5268,4724,3525,4512,1275,1418
CDS104026,1251,972,1133,1177,2004,1101,937,1127
CDS113769,1161,1126,2492,2296,1927,2054,1018,1118
CDS113063,7816,7915,6211,6011,5985,5618,6740,7951
CDS102854,2952,1899,1996,2162,4318,1972,1703,1701
CDS107933,712,866,3183,2444,2072,2248,767,657
CDS110963,81,74,348,296,330,307,78,70
CDS108379,2487,2282,1601,1567,1295,1401,2088,1988
CDS106305,16972,13324,8625,9105,9503,8412,11419,13473
CDS111805,11425,8891,7803,7786,7358,6770,7459,8921
CDS111321,36953,30299,15880,15691,14491,15356,28679,30965
CDS103962,2044,1667,1370,1384,1711,1335,1468,1690
CDS109730,8301,7873,6615,6279,6790,5704,6962,7450
CDS109574,89,86,144,106,142,118,73,71
CDS106559,1800,1134,1303,1232,1827,1092,1062,1095
CDS111763,20326,19813,20719,19587,18591,17970,17753,18368
CDS103968,410,408,399,368,442,310,354,379
CDS106149,17695,15953,9763,9503,9252,8690,13832,15463
CDS107879,2277,1831,1965,1922,1625,1724,1703,1658
CDS110411,5732,4987,7180,6568,7621,5611,4266,4836
CDS112075,575,486,455,497,505,480,445,541
CDS103638,233,230,382,399,378,350,222,191
CDS107061,128,43,87,101,189,74,34,46
CDS110132,103603,90250,44194,45062,36809,44174,84075,89051
CDS107131,480,243,350,381,916,330,171,252
CDS104689,29010,23288,15087,15871,16469,14868,20166,23262
CDS110857,693,626,925,819,798,669,612,632
CDS107963,175,154,552,457,594,387,147,175
CDS108591,21937,19789,34618,30961,34344,28106,17680,18199
CDS107409,134,112,745,621,524,507,104,107
CDS112789,16293,15085,16271,15080,12942,14138,14421,14662
CDS112387,46000,22033,22470,29947,26899,25642,16249,23350
CDS104915,28544,27874,20881,20328,21937,18819,24362,27753
CDS111561,1455,1431,1680,1702,1805,1524,1274,1350
CDS109063,2543,2175,2764,2477,2458,2251,1951,2217
CDS103296,980,803,1369,1313,1364,1103,814,883
CDS104228,232,171,238,226,337,206,151,190
CDS105097,2008,1763,2012,1922,2102,1721,1700,1683
CDS102992,451,435,511,538,497,393,384,394
CDS108677,442,372,926,823,823,708,347,370
CDS109904,452,190,237,294,448,269,167,237
CDS103420,2722,2558,1517,1352,1409,1348,2298,2472
CDS109358,2710,2108,2515,2396,2754,2206,2066,2273
CDS111209,217,232,409,400,307,322,196,206
tRNA108989,2611,3769,1627,1719,1322,1875,3931,3534
CDS103730,791,865,1230,1203,1229,1003,791,848
CDS110062,1942,1818,1126,1339,1025,977,1415,1673
CDS103698,95,63,257,245,221,208,49,77
ncRNA15122504,2963,2579,2417,2301,2764,2198,2350,2424
CDS108159,1325,1028,893,1047,622,791,911,978
CDS111401,1757,1491,1429,1339,1520,1219,1358,1434
CDS112067,3971,3457,3504,3374,3595,3009,3277,3482
CDS104188,91,89,177,152,215,172,101,107
CDS110349,313,219,177,186,164,155,155,219
CDS107417,314,276,277,270,347,242,259,262
CDS109722,4480,4596,4134,3784,4659,3556,4324,4400
CDS110108,19260,14788,16032,15645,16751,14843,14589,14753
CDS108217,35,27,71,65,81,72,30,35
CDS105047,954,744,836,764,834,639,641,826
CDS110755,1369,1145,770,770,698,684,1092,1032
CDS109842,83,61,99,85,103,64,42,51
CDS103994,191,110,168,193,417,159,113,169
CDS106031,1071,866,868,908,967,892,889,1019
CDS110467,3251,2873,2362,2198,1718,1865,2673,2530
CDS108171,712,486,565,577,586,523,502,551
ncRNA160434,54847,39117,42187,40680,53479,30880,44745,45164
CDS111299,79911,67044,33007,34182,29473,32342,57685,66501
CDS104697,8537,7373,9160,8893,8467,7963,7173,7177
CDS108023,4156,4425,4978,4648,5277,4111,3777,4027
CDS106039,166,126,228,253,284,194,106,121
CDS107959,17483,15319,10735,10706,12801,9883,13793,16455
CDS106183,3498,3363,3525,3458,1918,2152,2969,3172
CDS107179,5700,4413,7806,7664,9788,6826,3740,4287
CDS109272,239,223,460,494,453,447,204,232
CDS103544,1098,983,1145,1198,1124,987,810,997
CDS108893,5696,5550,4197,3849,3638,3538,5016,5130
CDS107451,62,33,407,391,305,310,48,34
CDS103350,482,419,618,583,588,549,397,451
CDS107479,72,46,101,92,91,91,49,63
CDS110787,8860,6930,5802,5866,6199,5844,6475,6872
CDS105169,2522,2421,4326,4137,3441,3732,2339,2526
CDS110369,99,73,311,293,282,232,69,97
CDS109784,20960,18518,12712,12216,12380,11174,16627,17672
CDS107463,112,92,240,196,242,170,77,78
CDS113127,14870,15001,5729,6131,5362,5557,13629,14113
CDS107571,6705,5410,581,1331,338,1187,5045,6344
CDS107605,19847,15511,3759,6457,5587,5391,13719,18212
CDS106199,8331,7282,8479,8212,4861,5842,6992,7110
CDS105261,10751,8456,8233,9176,9738,7917,7192,9562
CDS110126,12001,10338,5986,6018,6076,5556,9358,10156
tRNA112198,24,27,27,17,19,20,37,34
CDS106955,30,29,499,431,380,351,21,18
CDS111451,66155,71771,77807,67485,86704,59035,69505,63593
CDS107525,9719,11208,10924,9687,11511,9526,10139,9783
CDS106683,4687,5360,5275,4662,5522,4195,4824,4835
CDS112194,4326,3973,2558,2506,2065,2402,3670,3549
CDS102960,2036,1469,2730,2596,4085,2270,1187,1614
CDS103414,4648,4734,12024,11326,10931,10817,4620,4537
CDS105937,64839,48795,31682,31124,34550,28252,42993,49621
CDS111149,998,1003,1681,1464,1336,1381,840,976
CDS103964,231,153,251,284,427,228,151,174
CDS108443,4349,4538,4439,4113,4109,3619,4144,4311
CDS110889,413,357,266,273,302,230,330,341
CDS112045,504,437,1002,911,1005,823,441,418
CDS109007,6559,6426,3819,3987,4040,3783,5598,6227
CDS105527,275,202,467,405,496,358,216,202
CDS107915,2533,2673,4218,3773,4406,3542,2362,2341
CDS105979,1619,1384,2053,2072,2355,1868,1298,1509
CDS112073,541,460,520,570,529,450,413,440
CDS109150,58664,51218,42134,40927,39895,37893,46944,48581
CDS113413,1324,1115,1106,1031,979,963,1265,1158
CDS103036,480,349,765,774,585,694,313,404
CDS105317,935,777,796,795,627,652,726,884
CDS102872,753,819,1182,1024,914,921,776,769
CDS102882,4136,3318,3802,3634,3538,3059,2884,3307
CDS107215,193,163,427,417,440,405,142,169
CDS112509,378,342,363,331,288,303,299,352
CDS111923,2686,2733,6246,5884,6290,5443,2573,2531
CDS103134,123,143,355,349,347,326,139,166
CDS107693,725,855,949,982,903,942,744,794
CDS104839,3058,2688,3246,2984,3083,2721,2589,2812
CDS105471,915,789,1839,1613,1564,1317,706,829
CDS106357,14271,12730,7751,8021,8455,7757,11592,12615
tRNA112355,5420,8503,4570,4159,2982,4143,8811,7264
CDS108473,299,240,354,360,387,320,226,253
CDS110661,3348,3032,3509,2993,2663,2400,2803,2712
CDS109562,887,793,1023,982,2279,766,791,629
CDS112595,1858,1351,1391,1285,1056,969,1130,1543
CDS111061,294,243,447,411,543,380,207,274
CDS111155,86,78,272,290,233,252,67,86
CDS106193,2502,2487,2248,2104,1516,1369,2205,2322
CDS109480,8521,5910,5444,5631,6653,4649,4764,6310
CDS105731,2156,1715,1475,1476,1312,1260,1597,1699
CDS112625,4914,4341,5561,5223,7147,4782,3857,3944
CDS111091,1924,1780,1102,1106,1155,1145,1627,1878
CDS111261,2776,2676,1338,1777,983,1436,2231,2583
CDS103058,497,488,471,503,551,494,451,466
CDS109606,347,264,428,491,326,393,224,230
CDS104715,1442,1263,955,928,956,880,1182,1247
CDS108889,139,138,195,159,169,155,136,147
CDS108061,9119,8593,6014,5796,5824,5870,7867,8019
CDS110617,3304,4295,3910,3341,2568,2806,4087,3378
CDS109720,1680,1554,587,838,603,904,1174,1777
CDS105353,3842,3611,2827,2743,2992,2629,2860,3510
CDS107251,18779,17956,17560,16366,21518,14741,15041,16781
CDS110515,1128,1108,1043,908,1196,951,992,1039
CDS105875,21125,16888,14296,13795,14650,13064,14562,17834
CDS103836,3261,2723,4114,3632,3564,3217,2595,2751
CDS110947,13658,10008,11547,11145,11264,10809,8542,11482
CDS106117,4481,2774,3777,4532,6740,4250,2327,3478
CDS109103,1460,1327,1529,1533,1474,1528,1231,1387
CDS104853,3231,2841,3329,3187,3387,2669,2610,2723
CDS103348,1638,1549,4543,4277,3722,3692,1300,1416
CDS108183,710,619,561,506,632,540,576,636
CDS113369,2193,2130,3608,3344,3107,3040,1945,1961
CDS110573,100,56,81,87,102,80,45,68
CDS110351,446,380,855,740,714,736,385,325
CDS110517,4507,4134,3853,3709,4287,3242,3566,4149
CDS107551,12377,10275,1420,2674,724,2203,9727,10997
CDS105415,9720,4751,3966,4715,11802,3815,3953,4543
CDS111497,11916,10344,8826,8898,9550,8185,9051,10615
CDS111985,7326,6685,3384,3421,2904,3081,6314,6382
CDS113297,396,329,1544,1253,1217,1083,275,322
CDS105785,592,498,1197,1108,1262,1090,450,494
CDS110731,630,562,449,439,354,392,491,569
CDS103924,3673,3387,2949,2762,2339,2452,3034,2981
CDS103006,8321,6473,10921,10422,10949,9084,5850,7773
CDS108573,656,440,582,600,789,549,390,531
CDS107085,4665,1529,2813,3265,7514,2707,1300,1649
CDS107749,490,396,509,583,888,509,315,384
CDS113455,986,935,1037,961,910,830,891,860
CDS110441,7183,6725,6102,5994,5934,5736,6218,6174
CDS108897,103896,99976,83281,73575,99146,69750,85617,98086
CDS113713,1673,1245,903,997,1095,875,1205,1423
CDS113161,943,668,850,796,749,703,620,792
CDS104174,516,621,1069,1099,921,998,640,627
CDS103046,3336,2717,2860,2957,4181,2525,2630,2721
CDS111769,10946,9222,11290,11296,10856,9816,8134,9628
CDS109264,3222,2713,3261,3204,2968,2740,2392,2685
CDS111459,9509,7049,7281,7764,9640,6642,6414,7700
CDS109818,137,76,219,224,298,204,73,100
CDS106219,556,496,1381,1323,662,898,398,462
CDS112427,9478,9448,11375,10869,13347,9419,8942,9127
CDS108873,47,25,71,64,99,58,22,40
CDS104096,241,200,335,292,370,306,173,228
CDS104797,894,853,556,594,595,499,773,846
CDS21131614,1288,1387,1051,1076,1074,1009,1222,1279
CDS113787,4258,4134,4353,3793,3402,3539,3760,3980
CDS110795,41125,34692,23413,22846,22203,20595,31747,33730
CDS104611,698,705,540,595,579,513,678,601
CDS107805,1934,1501,927,911,825,901,1305,1942
CDS103560,35301,29591,32055,32009,28624,30929,26334,30136
CDS110497,2032,1856,1409,1352,1409,1235,1617,1899
CDS104325,813,649,1267,1071,1064,904,589,627
CDS113967,1468,895,1287,1375,1242,1381,757,1198
CDS113947,5593,4484,5031,5285,4706,4592,3863,4635
CDS110020,3910,2860,1358,1974,1497,1980,2575,3589
CDS109228,415,323,590,511,492,427,299,344
CDS106823,352,191,313,368,793,293,168,173
CDS112154,1721,1737,1736,1750,1870,1556,1491,1722
CDS105387,502,410,711,686,668,637,368,444
CDS106875,1506,1293,1724,1752,1854,1494,1231,1365
CDS103734,306,279,243,271,354,255,260,286
CDS110393,3056,3231,3800,3427,3624,2946,3118,2955
CDS104184,73,44,91,67,84,52,64,66
CDS110799,3943,3286,2114,2170,2304,1982,2855,3201
CDS108273,86617,74973,50736,50885,52899,50912,71623,73771
CDS109470,52474,51039,34807,32887,37517,31756,46705,49741
CDS103320,17181,16005,10556,10886,11317,9967,13131,15303
CDS104855,513,498,424,373,374,334,455,500
CDS108391,552,424,786,710,782,666,425,461
CDS112347,3628,3260,2490,2425,1891,2192,3092,2995
CDS104313,16373,8915,6910,8583,6976,7719,6772,12527
CDS105655,8630,8008,6966,6672,7154,6163,7538,7998
CDS103574,1360,1237,1292,1302,1401,1199,1058,1324
CDS107265,4847,4723,4777,4444,5126,3930,3999,4322
CDS109268,2664,2082,2095,2002,1938,2005,1847,2247
CDS109382,545,430,776,632,757,563,340,430
CDS105673,6048,6170,7976,7229,6822,6650,5728,5663
CDS109496,1269,1117,2026,1913,1942,1626,939,1052
CDS111465,1763,1433,1517,1446,1922,1240,1427,1442
CDS113591,1908,1720,1595,1563,1598,1386,1564,1779
pseudo110221,20759,17325,14489,13902,12893,12125,16445,16384
CDS107093,345,100,185,272,570,264,75,126
CDS106673,2852,3287,5514,4521,4127,4057,2985,2796
CDS112703,1037,928,1116,1060,1037,962,813,935
CDS105747,354,332,740,710,688,657,323,317
CDS108417,313,264,538,521,523,449,266,258
CDS112961,10274,9096,5592,5527,5809,5217,8252,8525
CDS112345,17311,17346,12828,12211,10135,11139,16805,15529
CDS104595,10947,12002,11592,10533,11506,9459,10954,11366
CDS113047,809,737,931,871,721,886,670,720
CDS113409,1962,2082,2857,3087,2608,3091,1782,2028
CDS107909,3015,2725,5223,4588,6304,4494,2395,2869
CDS104733,1058,961,710,789,818,746,865,983
CDS106925,7488,8592,10046,9392,10620,8343,7775,7958
CDS106361,17973,14550,10934,10519,11394,9731,13366,14607
tRNA112743,8141,13425,7459,7051,4930,6758,14776,13223
CDS106453,1234,1154,1647,1421,1424,1380,1095,1056
CDS103026,4024,3325,4761,5054,5631,4443,2703,3910
ncRNA191112,1721,2153,2938,2407,1964,2336,1795,1934
CDS107013,2772,2419,2221,2259,2159,1933,2008,2487
CDS110903,1859,1788,3380,2905,2981,2600,1630,1776
CDS106929,189,163,334,284,356,261,161,147
ncRNA191104,20,10,68,80,85,56,19,10
CDS106007,2643,2753,2002,1662,1941,1736,2499,2736
CDS107837,4556,3538,3052,3072,3654,2740,2992,3898
CDS106977,149,126,277,218,212,200,102,128
CDS105385,3093,2896,4508,4002,3963,3918,2698,2777
CDS103326,826,663,699,653,548,560,593,675
CDS104230,400,347,507,474,450,371,262,346
CDS112421,8058,8208,6830,6179,7123,5544,7457,7756
CDS112103,1888,1631,1224,1060,973,868,1438,1466
CDS109886,15696,15714,9831,9183,9510,8417,14619,14600
CDS103648,5119,4548,3834,3463,3693,3159,4187,4243
CDS104098,246,211,310,356,269,329,178,212
CDS113515,6043,5812,4482,4031,3802,3603,5402,5459
CDS108303,88,102,159,146,98,176,93,89
CDS107153,113,50,171,166,258,140,47,62
CDS110353,2033,1987,2223,2093,2026,1939,1837,1943
CDS106557,4238,3275,4125,4334,8669,3855,2820,3450
CDS103342,12778,10678,12997,12668,13471,11354,9146,11443
CDS109408,3247,3171,2092,2089,2090,2032,2940,3280
CDS106171,388,381,287,273,132,163,316,314
CDS106545,223,286,698,548,557,518,272,272
CDS109460,292,190,303,295,367,252,178,215
CDS113533,3212,3432,3058,2711,3186,2699,3140,3351
CDS106725,170,155,390,357,360,294,118,150
CDS107287,993,810,715,636,623,570,709,871
CDS107523,8094,9798,13648,11255,12234,9531,8844,7976
CDS111703,48669,44692,21026,20395,17769,20394,44643,42008
CDS107857,1319,1097,1691,1436,1701,1172,920,1029
CDS105767,76,72,289,210,266,229,63,60
CDS113317,3893,3158,3812,3509,3107,2885,2941,3181
CDS108177,2022,1712,1910,1905,2107,1682,1656,1733
CDS103966,300,216,368,394,579,348,201,260
CDS106013,1657,1474,2037,1803,1960,1702,1349,1437
CDS103336,18927,15492,17066,16048,18175,14675,14114,15518
CDS108375,968,877,1741,1560,1325,1393,878,875
CDS106879,2199,1865,1997,1710,1580,1627,1862,1677
CDS107319,275,175,578,551,625,429,191,237
CDS112150,5884,5010,4212,4436,5885,3850,4449,5759
CDS111295,47840,41016,20985,20673,18769,19968,37254,40241
CDS103750,9600,8835,9567,9514,11345,8045,7734,8611
CDS105133,400,358,448,439,424,400,341,339
CDS110491,331,292,304,375,530,322,302,324
CDS106487,1595,1269,3494,3494,4376,2978,1229,1278
pseudo112130,1560,1697,1669,1490,1696,1335,1538,1604
CDS106645,889,574,2025,1824,2241,1402,493,517
CDS105677,15093,13400,13161,12907,14787,11502,11874,12917
CDS108791,2797,2184,1682,1695,1781,1630,1864,2281
CDS111419,3585,1547,3244,3404,5997,2689,1462,1731
CDS106851,4732,5633,4097,3725,3434,3181,4932,5117
CDS110042,2882,2550,1694,1890,2161,1632,2191,2632
CDS112971,2361,2047,1582,1577,1306,1257,1829,1899
CDS110389,10567,6091,5923,6229,11355,5635,5048,6981
CDS106547,89,71,173,159,166,136,76,80
CDS109152,5007,4198,2910,2827,2660,2447,3987,3912
CDS104008,904,649,606,737,1369,718,597,743
CDS109392,691,697,568,558,647,467,607,745
CDS106525,2790,2716,3401,3054,3112,2726,2354,2674
CDS110046,9655,7487,7148,8134,11286,7354,5374,8302
ncRNA191122,298,301,428,376,434,360,307,279
CDS110313,4000,3794,2960,2889,2871,2588,3405,3778
CDS108885,5318,5027,4086,4183,4997,3701,4225,4685
CDS113847,14258,13800,7569,7462,14923,6437,11064,9244
CDS103198,835,505,669,705,988,585,408,560
CDS108671,2300,2535,4153,3558,4358,3223,2421,2293
CDS103084,6789,7397,11565,10067,11804,8951,6365,6359
CDS113165,2887,2317,1697,1815,2053,1706,2055,2482
CDS105089,2682,2253,1602,1543,1557,1283,2109,2282
CDS105119,1289,1430,2075,1937,1914,1707,1184,1254
CDS106063,1799,1354,5510,5140,5860,4469,1364,1579
CDS106263,9271,7730,5871,6975,8130,5937,6197,7812
CDS112585,6843,5990,4378,4365,4285,3730,4790,6492
CDS108543,3288,3039,4347,3801,3448,3617,2952,3181
CDS106907,889,760,716,707,646,682,655,775
CDS103946,3424,3102,2966,2706,3162,2579,2749,3115
CDS109976,4733,4294,6397,6267,6714,5643,3664,3916
CDS105495,618,473,499,450,429,429,435,543
CDS107199,101,106,186,159,158,149,106,114
CDS111553,724,569,669,808,721,652,431,621
CDS109013,13001,12421,18982,17354,14782,14189,11870,12241
CDS106329,11392,12145,13423,11085,8612,9879,10100,11597
CDS104471,8573,8060,7164,6884,7223,6604,7330,7747
CDS106407,2721,2429,2235,2122,2266,1905,2260,2314
CDS105947,106391,78448,49692,51702,57765,49005,67274,82516
CDS109944,8945,6941,8248,7519,5869,6494,6731,6862
CDS106283,2094,2148,1574,1653,1602,1554,1889,1947
CDS112279,1943,1614,1078,1376,817,1100,1493,1703
CDS112003,30682,25673,15499,16574,18196,15943,22383,27918
CDS106213,743,642,1134,1068,506,672,539,636
CDS111185,1229,1008,1000,936,905,881,1025,1021
CDS109716,96,65,151,130,117,117,63,68
CDS104577,225,182,178,186,256,182,176,194
CDS113065,3092,3274,2785,2356,2144,2263,2835,2948
CDS109202,56330,47509,40179,38264,40241,34110,44633,48259
CDS110407,1116,1031,1528,1508,1504,1367,939,973
CDS107159,148,144,238,257,428,217,136,120
CDS106735,70,83,149,115,119,91,55,60
CDS103280,1392,1043,1571,1694,2447,1585,839,1219
CDS103344,10838,8813,10627,10309,10639,9497,7320,9591
CDS113245,748,724,1165,1015,1249,983,648,660
CDS107883,5487,5078,3334,3107,2748,2547,4175,4924
CDS104399,27,25,41,44,55,39,30,26
CDS108489,242,201,382,314,355,318,205,209
CDS109762,14102,12285,10460,10287,10497,9391,10842,12302
CDS110184,1024,950,1212,1001,1018,846,823,909
CDS104779,3085,2827,2779,2676,2583,2560,2579,2321
CDS105725,360,337,262,303,228,244,244,307
CDS104995,1243,1245,1336,1165,1098,993,1129,1173
CDS110737,2318,2289,2423,2163,2075,2065,2093,2233
CDS108345,2460,1557,4927,4559,6591,3946,1366,1547
CDS112859,636,534,2928,2695,2275,2420,572,536
CDS113673,2336,2575,2589,2363,2243,2054,2343,2261
CDS106627,1125,571,861,952,774,840,513,835
CDS111991,9628,10009,15442,13600,15563,12094,9302,9015
CDS103126,609,657,693,654,762,577,526,625
CDS102976,608,535,825,790,843,699,428,505
CDS111775,6725,6333,1340,2374,1271,2315,5437,7409
CDS104945,3599,3512,3881,3810,3946,3394,3108,3267
CDS112665,940,991,4495,3634,3578,3227,900,964
CDS103304,2164,2375,810,1116,949,1062,1794,2452
CDS103012,44464,41705,21792,22839,25219,22925,37980,43251
CDS108059,29,21,42,45,31,34,26,32
CDS103218,54,74,95,104,98,90,67,56
CDS113007,3646,3106,2856,2843,3075,2466,2945,3003
CDS104533,3630,3726,2201,2250,2183,2076,3200,3600
CDS103792,2488,2408,2304,2580,2368,2264,1686,2349
CDS108457,4338,3939,2030,1831,2073,1771,3554,3829
CDS103174,688,678,959,921,840,797,610,713
CDS112701,5026,4395,4721,4644,4897,4260,4127,4860
CDS110991,114,67,173,155,215,154,79,89
CDS111251,9181,5215,4779,5144,5886,4188,3997,7000
CDS107295,41,45,88,73,65,73,40,48
CDS113807,18551,15973,13964,13574,16930,11879,14437,15734
CDS107415,434,413,591,602,565,498,357,395
CDS110801,254,268,198,197,209,191,248,208
CDS133709,29340,25769,13747,14728,12087,14374,22201,26152
CDS108305,400,370,378,377,475,383,323,339
CDS107091,675,193,362,552,960,492,141,192
CDS111233,4026,2892,3051,3351,3538,2828,2494,3693
CDS113189,1644,1186,712,778,740,639,1123,1475
CDS110683,595,616,395,398,398,429,551,617
CDS112619,11590,5480,4449,5658,15126,5202,4686,6035
CDS103112,72,75,237,214,216,184,79,60
CDS112843,208,159,350,322,299,267,124,150
CDS112269,2328,2487,3473,3185,3076,3058,2246,2404
CDS110503,17980,18293,14297,14289,9482,9489,15193,18355
CDS109816,536,419,1012,974,1146,1006,322,405
CDS104393,1320,1262,1158,1180,1403,1144,1144,1247
CDS111767,13497,13396,14338,13883,14420,12622,11380,12795
CDS106861,7355,6057,5195,4957,5239,4322,5615,5652
CDS109135,14337,11191,7711,8826,10031,7945,9954,11071
CDS109416,13612,12301,6851,7039,7195,6554,11128,12216
CDS104419,2406,1989,1769,1591,1897,1491,1922,2072
CDS106579,17531,14480,8563,9225,9426,9410,12182,16429
CDS103640,2129,1991,5937,4878,5106,3797,1956,1882
CDS104216,4027,3642,4366,4243,5563,3608,3250,3696
CDS104951,265846,251411,230713,223217,252019,186848,199959,228577
CDS109560,1765,1466,1562,1382,3434,1243,1310,994
CDS105529,532,455,912,879,941,751,417,431
CDS109568,481,375,534,495,658,397,357,419
CDS112865,14588,12835,9428,8882,8034,8387,12488,11437
CDS109996,197,136,732,680,736,668,152,141
CDS106885,209,116,146,158,200,112,104,138
CDS111441,5449,5931,8188,7386,8296,6358,5690,5611
CDS108279,1788,1101,2996,2885,2929,2224,1143,1208
CDS106159,844,695,476,445,197,249,645,721
CDS110122,4366,3845,3143,2889,2394,2705,3428,3523
CDS105791,2844,2761,7866,7058,6465,6829,2548,2678
tRNA106389,11961,12242,7105,6763,6725,6706,11172,11816
CDS21131616,208,117,231,231,334,220,119,153
CDS108551,1017,887,1564,1501,1589,1260,801,816
CDS111987,2624,2391,590,1006,619,831,2186,2728
CDS111017,5,6,14,11,17,12,4,7
CDS111663,5777,5105,4182,4035,4131,3634,5063,5140
CDS113459,1482,1419,2750,2519,2120,2231,1213,1466
CDS112643,1456,791,734,725,593,633,866,831
CDS111909,1755,1767,1324,1257,1281,1151,1708,1722
CDS105489,256,198,577,457,430,419,190,205
CDS111181,9685,9259,10410,9231,10458,8384,7945,8987
CDS113143,2592,2258,2408,2307,1960,2149,2182,2275
CDS105117,14865,14333,22513,20546,25794,17527,12204,12841
CDS113991,13487,10850,6516,6901,6097,6822,10010,11754
CDS113493,2322,2247,1672,1653,1561,1375,2021,2057
CDS113751,218,195,217,216,231,195,176,222
CDS103926,3839,3270,2722,2538,2306,2426,3087,3321
CDS105857,3669,3413,2750,2691,2713,2604,3044,3327
CDS111499,1685,1609,4182,3596,3451,3317,1437,1494
CDS104329,5783,4271,3248,3201,3184,3055,3614,4416
CDS106311,60560,51791,34375,34613,38847,32989,44394,52425
CDS105505,926,845,1099,1168,1253,1191,849,945
CDS110727,255,207,311,260,244,205,229,240
CDS103430,1380,832,790,784,732,735,953,972
CDS113683,750,487,687,659,930,610,426,630
CDS103756,1248,720,1071,1357,1211,1121,564,782
CDS108871,52,33,104,92,104,108,21,25
CDS113945,2272,2097,731,895,1473,774,1833,2108
CDS112987,20412,22653,18241,16866,19203,15545,19777,22098
CDS113025,18132,13393,12539,12322,13554,11252,12019,13544
CDS109752,4641,4196,3993,3589,3190,3226,4069,3978
CDS105373,1469,1272,2128,2214,1698,1990,1217,1267
tRNA109342,584,745,379,409,322,340,930,891
CDS107407,61,66,100,93,78,82,75,68
CDS112907,5516,5216,4328,4025,4229,3683,4645,5121
pseudo104247,295,231,669,686,641,516,227,277
tRNA111397,2262,2693,1056,1127,819,984,2983,2432
CDS103258,457,404,1158,1047,971,1015,352,360
CDS107313,14455,11438,21294,19744,20356,16463,9771,11247
CDS112299,4219,3842,2908,2782,2607,2475,3133,3694
CDS110072,3322,2701,2804,2451,2429,2246,2446,2709
CDS111731,6043,5356,4343,4275,4499,3864,4884,5483
CDS109164,185,102,169,164,152,135,121,124
CDS110479,616,647,1311,1142,1197,996,601,609
CDS102806,8240,8714,5277,5063,4271,4579,7304,8764
CDS103444,11399,9341,15438,14433,15226,13084,8277,9205
CDS104971,8546,8085,8064,7908,8647,7118,7261,7455
CDS109456,303,297,1099,960,994,931,244,339
CDS109864,382,318,921,824,1020,749,308,302
CDS106331,2077,2253,2459,2109,1540,1982,1876,2194
CDS107507,5668,5900,12474,10195,11033,8406,5753,5452
CDS110297,5070,4330,3480,3419,4542,3231,3602,4307
CDS105077,141,176,185,151,106,148,190,134
CDS112267,2081,2804,2907,2653,2677,2482,2447,2386
CDS104347,1370,1345,1994,1653,1954,1555,1345,1306
CDS109626,1941,2018,1614,1372,1234,1261,1893,1989
CDS103332,3187,3036,3250,3219,2893,2737,2938,2504
CDS104609,1196,1015,2514,2363,2441,2086,980,982
CDS108357,2066,1740,1409,1181,912,1285,1357,1985
CDS104038,2848,2442,1985,2051,2011,1765,2151,2292
CDS109908,587,230,321,367,611,317,195,280
CDS106343,16803,16907,16775,14244,14595,12787,14086,17224
CDS106151,552,515,598,587,373,434,497,510
CDS108393,1766,1583,1583,1509,1602,1441,1374,1612
