geneID,PAK_AR2A.Expression,s1_9A.Expression
PA1236,120,167
PA4465,3945,5490
PA1692,23,32
PA1278,82,114
PA2578,82,114
PA5390,159,221
PA2332,249,346
PA4363,216,300
PA0064,487,676
PA1465,574,796
PA0083,655,908
PA2573,687,952
PA4348,4538,6287
PA1270,52,72
PA5008,964,1333
PA4149,68,94
PA4558,729,1007
PA4092,21,29
PA0815,1232,1700
PA4752,566,781
PA3809,148,204
PA2072,164,226
PA2575,3462,4766
PA4108,566,779
PA5451,572,787
PA5112,2528,3478
PA2913,64,88
PA1208,115,158
PA0531,273,375
PA3566,169,232
PA0080,218,299
PA2096,54,74
PA0071,4040,5526
PA2162,41,56
PA0593,699,954
PA1700,11,15
PA1702,11,15
PA4285,1210,1649
PA5282,160,218
PA1405,337,459
PA5185,183,249
PA4644,61,83
PA1103,810,1102
PA5149,680,925
PA4189,100,136
PA2801,89,121
PA3517,89,121
PA2061,39,53
PA2480,436,592
PA1065,179,243
PA2233,848,1151
PA2673,14,19
PA1762,146,198
PA2885,312,423
PA1810,2364,3205
PA4161,107,145
PA3099,62,84
PA4958,2100,2845
PA4737,378,512
PA5229,1535,2079
PA3071,539,730
PA0318,1064,1441
PA3573,1305,1767
PA2054,65,88
PA4231,218,295
PA2116,34,46
PA1957,71,96
PA0029,239,323
PA3102,265,358
PA4842,3477,4694
PA2822,338,456
PA4559,810,1091
PA3594,173,233
PA4856,2275,3064
PA3198,427,575
PA0590,1304,1755
PA4708,287,386
PA1019,116,156
PA1159,261,351
PA4100,151,203
PA3037,64,86
PA0267,146,196
PA5408,117,157
PA0063,827,1109
PA2469,393,527
PA0788,1321,1771
PA2879,306,410
PA2433,246,329
PA4190,86,115
PA1997,651,870
PA3996,2353,3144
PA2049,424,566
PA4342,233,311
PA2092,24,32
PA4128,27,36
PA2314,54,72
PA1019a,3,4
PA2922,21,28
PA2646,207,276
PA1267,45,60
PA3337,7810,10405
PA3750,172,229
PA2524,154,205
PA0877,194,258
PA2755,664,883
PA3669,88,117
PA4124,79,105
PA1677,1755,2332
PA0302,1007,1338
PA3260,347,461
PA3451,55,73
PA5069,1018,1351
PA5318,312,414
PA3660,1654,2194
PA2235,1314,1742
PA4578,35517,47078
PA5281,683,905
PA3368,111,147
PA1435,68,90
PA3908,62,82
PA4580,295,390
PA2611,752,994
PA4686,1435,1896
PA4546,878,1160
PA2212,25,33
PA5092,279,368
PA2210,69,91
PA1017,91,120
PA1648,336,443
PA3101,315,415
PA4741,1313,1729
PA3022,379,499
PA5377,503,662
PA3120,975,1281
PA2915,526,691
PA4760,925,1214
PA0113,202,265
PA1449,151,198
PA5089,283,371
PA1673,9494,12446
PA5409,493,646
PA2271,58,76
PA2168,29,38
PA0475,126,165
PA5003,922,1207
PA4871,159,208
PA2399,662,866
PA2048,13,17
PA2107,13,17
PA3556,299,391
PA3194,3933,5138
PA3891,428,559
PA2723,85,111
PA1680,360,470
PA1690,82,107
PA4106,46,60
PA4547,1091,1423
PA4411,4496,5860
PA3302,1388,1809
PA3248,175,228
PA2984,96,125
PA1481,550,716
PA2343,10,13
PA3960,100,130
PA2422,20,26
PA3088,992,1289
PA3086,314,408
PA1190,117,152
PA2838,47,61
PA3257,14570,18902
PA3314,155,201
PA1896,27,35
PA1601,223,289
PA4948,754,977
PA4649,17,22
PA0858,1189,1538
PA3808,222,287
PA3417,147,190
PA5303,619,799
PA3986,558,720
PA1720,31,40
PA3254,176,227
PA2649,1633,2106
PA0787,339,437
PA3342,239,308
PA4183,226,291
PA4082,724,932
PA1328,289,372
PA4876,3186,4100
PA1598,129,166
PA4664,1444,1858
PA1523,457,588
PA5452,862,1109
PA2887,42,54
PA0135,7,9
PA2346,35,45
PA3380,7,9
PA4794,372,478
PA2018,461,592
PA0028,148,190
PA1308,577,740
PA1336,358,459
PA1058,78,100
PA3187,167,214
PA2082,132,169
PA2067,25,32
PA0289,336,430
PA3998,1354,1732
PA2530,484,619
PA2622,1962,2509
PA0085,3105,3969
PA3035,36,46
PA2198,72,92
PA5061,5204,6631
PA2699,121,154
PA3406,33,42
PA0103a,213,271
PA2448,114,145
PA2367,59,75
PA1501,178,226
PA1753,412,523
PA4222,231,293
PA1355,41,52
PA2903,427,541
PA0725,15,19
PA2324,30,38
PA1587,6037,7644
PA3123,94,119
PA1820,583,738
PA0139,13542,17122
PA2847,72,91
PA4353,614,776
PA0479,167,211
PA1234,114,144
PA2021,69,87
PA3132,23,29
PA2163,23,29
PA1705,119,150
PA4320,1084,1366
PA2374,27,34
PA5183a,341,429
PA4874,993,1249
PA4521,489,615
PA5414,509,640
PA4056,1301,1635
PA2194,39,49
PA4770,2033,2551
PA5109,785,985
PA2153,55,69
PA0041,1513,1898
PA3494,87,109
PA0577,2541,3183
PA0477,210,263
PA2455,139,174
PA0231,287,359
PA4781,367,459
PA3919,5553,6944
PA2171,20,25
PA0864,96,120
PA4104,44,55
PA2172,68,85
PA5554,5952,7439
PA3981,4370,5460
PA4278,269,336
PA1967,338,422
PA2475,161,201
PA0942,533,665
PA2944,1032,1287
PA1187,162,202
PA5027,3517,4383
PA4657,1048,1306
PA4706,126,157
PA5094,175,218
PA3982,1516,1888
PA0266,1277,1590
PA2718,196,244
PA1555,6131,7628
PA0897,627,780
PA2417,242,301
PA0110,66,82
PA4352,4542,5643
PA3087,504,626
PA5147,1019,1265
PA1412,58,72
PA4408,4114,5107
PA1571,158,196
PA1362,79,98
PA2593,25,31
PA1337,1568,1944
PA3755,427,529
PA3399,247,306
PA3129,222,275
PA2476,336,416
PA2347,21,26
PA0068,354,438
PA0200,1905,2355
PA1729,411,508
PA4726,6697,8277
PA2202,34,42
PA0874,34,42
PA4694,3717,4591
PA1511,81,100
PA1470,81,100
PA0954,64,79
PA2445,9931,12257
PA5308,1132,1397
PA0686,47,58
PA1786,47,58
PA0552,1308,1614
PA2289,231,285
PA3185,745,919
PA2302,185,228
PA3325,198,244
PA5134,4753,5857
PA1487,112,138
PA4662,333,410
PA3577,13,16
PA3016,304,374
PA5453,1453,1787
PA1436,353,434
PA2240,279,343
PA2816,48,59
PA0496,315,387
PA1526,1330,1634
PA3518,79,97
PA4827,251,308
PA3228,1726,2116
PA4490,655,803
PA5068,2439,2990
PA1119,921,1129
PA0939,49,60
PA1961,125,153
PA4814,76,93
PA0214,103,126
PA2106,332,406
PA2529,476,582
PA2441,162,198
PA1725,36,44
PA1996,81,99
PA0904,1579,1929
PA4914,348,425
PA1911,95,116
PA3021,593,724
PA0401,3983,4861
PA1986,186,227
PA5004,1004,1225
PA4410,1614,1969
PA4907,732,893
PA2304,41,50
PA4655,1254,1529
PA1424,105,128
PA3548,170,207
PA1843,2120,2581
PA4510,138,168
PA3707,319,388
PA2782,37,45
PA0872,11199,13608
PA4474,1214,1475
PA3426,135,164
PA2017,592,719
PA1783,28,34
PA1693,33,40
PA4877,151,183
PA1618,170,206
PA4476,2165,2623
PA4624,438,530
PA1972,62,75
PA3836,1920,2322
PA0739,172,208
PA2808,24,29
PA2265,543,656
PA0109,87,105
PA4915,938,1132
PA1611,977,1179
PA5126,92,111
PA2164,34,41
PA0383,214,258
PA4808,1047,1262
PA2315,39,47
PA2035,312,376
PA4050,117,141
PA2640,483,582
PA3509,44,53
PA2003,132,159
PA4603,592,713
PA2138,54,65
PA3772,64,77
PA2458,233,280
PA2706,283,340
PA2148,15,18
PA1231,20,24
PA2114,30,36
PA4211,5,6
PA0700,10,12
PA2312a,80,96
PA2918,151,181
PA3401,282,338
PA5221,1103,1322
PA2931,126,151
PA2117,167,200
PA2481,681,815
PA2299,56,67
PA1662,464,555
PA3709,353,422
PA4762,733,876
PA0183,154,184
PA0895,3040,3632
PA3567,273,326
PA3972,3075,3669
PA3467,203,242
PA1492,73,87
PA5433,120,143
PA1330,209,249
PA1114,162,193
PA3457,576,686
PA1830,5157,6141
PA0896,698,831
PA2180,21,25
PA0195,342,407
PA2083,148,176
PA1188,143,170
PA0367a,424,504
PA3671,175,208
PA1167,292,347
PA4226,372,442
PA5249,452,537
PA3771,165,196
PA5570,2837,3369
PA2928,48,57
PA2269,32,38
PA3783,64,76
PA4282,1452,1724
PA1202,599,711
PA2177,338,401
PA4200,161,191
PA1897,43,51
PA2229,54,64
PA2217,27,32
PA3973,683,808
PA1239,159,188
PA3704,636,752
PA0770,340,402
PA4077,22,26
PA5346,6445,7616
PA4892,105,124
PA1858,100,118
PA5186,217,256
PA3174,78,92
PA4112,741,874
PA2994,808,953
PA2390,134,158
PA4617,812,957
PA5279,3176,3743
PA3810,1022,1204
PA3534,843,993
PA2361,355,418
PA3784,282,332
PA5304,7050,8295
PA2124,51,60
PA3965,313,368
PA4755,986,1159
PA1933,114,134
PA4872,565,664
PA4774,137,161
PA4778,406,477
PA3504,143,168
PA2667,830,975
PA3076,252,296
PA1285,86,101
PA4605,281,330
PA2675,23,27
PA1346,46,54
PA3074,599,703
PA1895,98,115
PA2904,173,203
PA2832,127,149
PA2255,29,34
PA2874,87,102
PA3857,1800,2110
PA1340,326,382
PA2249,2093,2452
PA2294,35,41
PA5123,836,979
PA4201,868,1016
PA3562,382,447
PA4916,623,729
PA0413,11493,13448
PA4179,200,234
PA1765,100,117
PA0534,492,575
PA1210,356,416
PA0457,285,333
PA3422,190,222
PA4269,12891,15054
PA0774,233,272
PA4608,1478,1725
PA1411,132,154
PA3292,30,35
PA4650,36,42
PA2068,60,70
PA0565,330,385
PA2497,66,77
PA2753,2198,2563
PA2707,1548,1805
PA5412,971,1132
PA4926,181,211
PA2574,424,494
PA3619,171,199
PA1878,98,114
PA0303,1369,1592
PA4313,571,664
PA1650,246,286
PA2290,733,852
PA5208,1399,1625
PA1823,677,786
PA0927,556,645
PA1402,94,109
PA4975,221,256
PA1636,139,161
PA1592,50802,58825
PA3289,76,88
PA1223,133,154
PA4407,10136,11734
PA3860,628,727
PA2855,89,103
PA0220,223,258
PA4409,1542,1783
PA3863,225,260
PA3670,238,275
PA0798,58,67
PA0989,142,164
PA3797,893,1031
PA2754a,149,172
PA5087,26,30
PA4223,117,135
PA5522,269,310
PA5314,125,144
PA0134,1244,1433
PA2756,896,1032
PA1851,264,304
PA3324,165,190
PA1455,1777,2046
PA3674,1314,1512
PA1994,93,107
PA0454,1653,1901
PA1874,661,760
PA5432,107,123
PA0131,181,208
PA3429,195,224
PA0196,324,372
PA1488,108,124
PA1130,196,225
PA2626,2483,2850
PA1919,122,140
PA0685,156,179
PA5070,1404,1611
PA4054,2469,2833
PA5178,3912,4488
PA3079,898,1030
PA1120,413,473
PA4232,4093,4683
PA0893,646,739
PA3018,341,390
PA2002,181,207
PA3792,3316,3792
PA2259,552,631
PA3659,846,967
PA2474,21,24
PA2506,21,24
PA4981,365,417
PA0451,444,507
PA2764,156,178
PA4136,78,89
PA2722,64,73
PA2805,5111,5828
PA3207,143,163
PA1772,895,1020
PA4972,1800,2051
PA0325,395,450
PA4886,180,205
PA4973,12197,13889
PA5402,197,224
PA1462,1259,1431
PA0549,271,308
PA3258,359,408
PA2134,22,25
PA1201,301,342
PA0023,576,654
PA3211,1011,1147
PA0471,357,405
PA0168,157,178
PA1525,225,255
PA4175,480,544
PA2933,30,34
PA1105,129,146
PA5488,3063,3466
PA1418,198,224
PA1595,122,138
PA1580,6947,7856
PA0366,306,346
PA2123,176,199
PA4607,5724,6472
PA3633,322,364
PA3793,353,399
PA5494,2456,2776
PA1071,1330,1503
PA5257,3464,3914
PA1685,162,183
PA0002,5028,5679
PA3846,503,568
PA5066,1196,1350
PA4984,117,132
PA0148,1039,1172
PA0017,1032,1164
PA4227,1572,1772
PA4648,118,133
PA0818,71,80
PA4516,261,294
PA1521,285,321
PA1052a,405,456
PA2579,469,528
PA3708,1707,1921
PA2504,375,422
PA1651,224,252
PA3105,1459,1641
PA1050,435,489
PA2848,129,145
PA0688,105,118
PA3397,2763,3105
PA2711,396,445
PA0166,97,109
PA4792,324,364
PA2620,9195,10329
PA1127,317,356
PA1191,717,805
PA5115,49,55
PA5274,1799,2018
PA0816,494,554
PA5439,1161,1302
PA4798,404,453
PA3310,1476,1655
PA5386,33,37
PA4186,331,371
PA0951a,307,344
PA0871,1238,1387
PA5095,133,149
PA2709,1197,1341
PA2112,25,28
PA1588,4303,4819
PA5198,702,786
PA0451a,243,272
PA1969,420,470
PA1018,59,66
PA5016,3318,3707
PA0130,794,887
PA0039,1332,1488
PA0016,1521,1698
PA2804,43,48
PA1431,173,193
PA0253,156,174
PA3331,104,116
PA1640,474,528
PA1259,167,186
PA0530,510,568
PA2486,142,158
PA0393,800,890
PA1674,1313,1460
PA3749,268,298
PA2410,45,50
PA2057,108,120
PA2027,18,20
PA4485,208,231
PA3782,272,302
PA2567,6792,7541
PA0344,490,544
PA3439,446,495
PA4386,2741,3041
PA1407,128,142
PA2648,1407,1560
PA4373,552,612
PA4483,4416,4896
PA2582,1863,2065
PA1528,3257,3609
PA3271,2848,3155
PA2264,326,361
PA2791,28,31
PA2665,478,529
PA3694,122,135
PA4415,2077,2298
PA0494,358,396
PA1600,104,115
PA2248,2013,2225
PA3423,314,347
PA1406,457,505
PA4367,3083,3406
PA2181,29,32
PA1261,58,64
PA3197,427,471
PA2773,88,97
PA1156,4786,5274
PA2157,59,65
PA2704,148,163
PA4251,9845,10840
PA4426,1497,1648
PA3695,1039,1143
PA4843,30505,33552
PA4491,1714,1885
PA0863,291,320
PA5485,638,701
PA1686,726,797
PA1510,442,485
PA3584,15364,16858
PA1224,62,68
PA1482,418,458
PA4197,450,493
PA2349,21,23
PA4218,21,23
PA1163,368,403
PA4343,180,197
PA1254,43,47
PA5230,5603,6121
PA2540,564,616
PA0103,219,239
PA1354,33,36
PA1184,253,276
PA1952,22,24
PA3398,319,348
PA2605,143,156
PA3358,66,72
PA3859,728,794
PA0335,711,775
PA4977,200,218
PA0181,278,303
PA4840,178,194
PA3419,413,450
PA1169,190,207
PA4002,1448,1577
PA2234,652,710
PA1086,699,761
PA0567,158,172
PA4020,1786,1944
PA2152,171,186
PA1995,137,149
PA3047,1875,2039
PA5548,563,612
PA0118,92,100
PA4912,69,75
PA5218,495,538
PA1448,150,163
PA0276,150,163
PA2523,104,113
PA0270,93,101
PA1669,396,430
PA4418,7037,7640
PA0861,2650,2877
PA4978,132,143
PA2169,12,13
PA2784,60,65
PA0697,12,13
PA2519,72,78
PA2560,506,548
PA5343,350,379
PA5359,1093,1183
PA4382,207,224
PA1485,122,132
PA1291,98,106
PA2716,98,106
PA3706,380,411
PA0693,86,93
PA0034,222,240
PA4661,2783,3008
PA1537,99,107
PA5264,819,885
PA5551,324,350
PA0218,388,419
PA4340,653,705
PA0194,88,95
PA3009,3993,4310
PA2008,2491,2688
PA0941,38,41
PA0571,228,246
PA2296,51,55
