Gene,PAO1_control1,PAO1_control2,PAO1_control3,PAO1_FBI1,PAO1_FBI2,PAO1_FBI3
phzH,453,480,213,399,358,290
nirF,157,250,206,231,138,71
PA5085,421,489,343,297,330,375
PA5087,168,159,120,266,156,179
PA5088,251,263,273,419,300,327
PA5089,258,320,224,382,265,261
PA5090,140,213,115,204,99,120
hutG,681,359,359,410,403,383
hutI,790,351,322,365,438,341
PA5093,505,448,225,246,308,222
PA5094,340,205,150,212,237,147
PA5095,797,601,410,542,521,386
nirC,152,138,109,180,79,50
PA5096,742,705,411,811,825,722
PA5097,341,625,214,278,357,231
hutH,880,1451,548,706,703,451
PA5099,653,1714,444,456,559,444
hutU,1910,5409,1536,1744,1892,1585
PA5101,507,1470,336,595,459,392
PA5102,132,2013,186,250,252,159
PA5103,506,3887,1331,2036,1470,1189
PA5104,103,438,135,150,121,145
hutC,583,1607,743,812,679,593
nirM,71,97,102,121,73,25
PA5106,428,1232,381,491,476,501
blc,397,1811,908,1456,1024,844
PA5108,284,1005,655,1418,801,640
PA5109,235,256,126,96,141,155
fbp,912,659,459,698,562,529
gloA3,544,517,282,686,495,457
estA,3047,1288,1372,1927,1828,2017
PA5113,801,713,551,782,465,413
PA5114,506,657,393,425,455,292
PA5115,184,85,112,97,69,113
nirS,2076,2177,2691,3040,1708,683
PA5116,156,114,92,362,266,328
typA,322,275,203,473,390,366
thiI,180,171,154,275,260,192
glnA,11561,3109,5035,7519,6519,6401
PA5120,52,39,29,45,43,34
PA5121,291,251,193,277,231,252
PA5122,321,451,251,421,229,220
PA5123,179,247,168,169,200,157
ntrB,313,457,256,715,507,388
ntrC,1099,933,597,846,624,513
nirQ,980,481,539,476,591,454
PA5126,295,446,347,467,541,553
PA5127,77,106,85,66,100,111
secB,351,138,236,249,320,269
grx,190,104,151,188,204,176
PA5130,168,95,133,136,200,183
pgm,1274,403,399,973,1020,705
PA5132,160,229,264,285,186,209
PA5133,235,163,200,307,200,203
PA5134,1188,800,1024,986,880,958
PA5135,103,74,70,63,68,72
PA0521,87,134,73,128,148,104
PA5136,374,185,246,250,449,450
PA5137,468,112,296,242,358,388
PA5138,672,218,585,486,799,861
PA5139,180,390,171,263,200,120
hisF1,122,142,98,130,108,111
hisA,116,74,64,93,90,95
hisH1,364,153,186,189,299,235
hisB,958,482,384,792,792,846
PA5144,24,55,38,38,35,39
PA5145,130,132,89,111,88,115
PA0522,29,72,45,90,55,47
PA5146,1408,427,543,749,780,965
mutY,835,393,474,535,523,461
PA5148,582,186,358,385,255,292
PA5149,445,459,389,380,368,362
PA5150,636,325,178,312,376,293
PA5151,142,156,99,108,138,173
