Gene,PAO1_control1,PAO1_control2,PAO1_control3,PAO1_FBI1,PAO1_FBI2,PAO1_FBI3
PA0570,72,119,86,83,90,54
PA0571,61,87,33,64,56,32
PA0572,1050,538,609,801,553,497
PA0573,52,108,59,130,107,109
PA0574,414,374,192,364,397,311
PA0057,58,146,63,120,82,68
PA0575,1115,3057,1227,2240,2027,1661
rpoD,5444,3873,3301,5955,3745,2994
dnaG,712,1928,782,1502,1545,1170
PA0578,76,243,71,122,156,147
rpsU,182,241,108,186,205,152
gcp,248,1699,216,198,380,195
PA0581,396,1750,439,487,671,582
folB,111,693,109,119,162,98
PA0583,139,1355,109,192,244,121
PA0058,63,131,58,79,63,83
cca,801,4500,491,708,990,507
PA0585,204,1674,141,263,314,251
PA0586,11802,20565,5986,9027,5574,4743
PA0587,14265,26469,11241,15969,7730,6992
PA0588,136994,265389,210755,404996,147987,115404
PA0589,202,229,121,238,173,158
apaH,447,400,271,421,344,389
PA0591,580,698,446,686,531,525
ksgA,246,406,226,609,382,324
pdxA,175,279,129,315,282,236
PA0007,877,4988,1410,3165,1612,1357
osmC,3819,1725,1885,2002,1623,1468
surA,1241,686,777,1015,1028,966
ostA,4775,3556,3394,4567,3834,3466
PA0596,1406,846,816,1104,1313,1407
PA0597,294,394,239,250,216,175
PA0598,429,711,400,560,436,365
PA0599,339,447,165,407,370,318
PA0600,700,2835,1494,1690,1236,872
PA0601,297,1294,523,778,592,441
PA0602,326,647,264,607,259,249
PA0603,414,623,262,469,449,357
PA0060,629,1120,612,2593,1081,860
PA0604,1753,424,375,877,1077,849
PA0605,604,627,506,924,699,619
PA0606,297,218,230,371,332,379
rpe,252,203,276,402,370,528
PA0608,262,285,211,340,331,296
trpE,1669,1103,1534,1917,1563,1722
prtN,658,646,748,989,874,1160
prtR,618,323,409,540,641,832
ptrB,476,447,427,946,658,880
PA0613,413,658,1029,1025,1561,2137
PA0061,517,1088,635,1085,763,782
PA0614,239,257,163,822,409,291
PA0615,497,569,413,1249,940,662
PA0616,748,649,517,2374,1578,1036
PA0617,428,295,271,1454,850,595
PA0618,1068,813,720,3448,2538,1652
PA0619,708,470,445,2225,1578,943
PA0620,2606,2250,2147,10918,8021,5920
PA0621,1742,1133,1441,8187,5701,4600
PA0622,2353,1574,1428,8172,5051,3431
PA0623,674,425,352,2437,1295,800
PA0062,76,122,59,193,86,112
PA0624,708,540,512,2440,1658,1235
PA0625,2156,1680,1464,7994,5507,3924
PA0626,457,478,364,1420,1068,774
PA0627,186,209,235,653,789,569
PA0628,3055,2592,2840,12786,13032,8619
PA0629,348,275,232,1523,940,703
PA0630,145,143,103,377,195,116
PA0631,245,223,231,814,623,390
PA0633,609,494,418,2176,1502,1060
PA0634,706,548,611,2423,2174,1613
PA0063,141,196,104,154,166,117
PA0635,533,259,172,1784,843,484
PA0636,2291,1602,1170,6876,4122,2790
PA0637,219,164,146,713,513,356
PA0638,309,250,203,941,589,358
PA0639,1466,1060,1255,4931,4445,3239
PA0640,1218,811,728,4686,3324,1931
PA0641,4222,3686,3573,13951,11920,8057
PA0643,697,761,543,2038,1870,1326
PA0644,702,698,506,2335,1843,1392
PA0645,541,453,345,1658,1135,831
PA0064,142,176,102,96,115,89
PA0646,1005,2473,2044,3597,3545,3009
PA0647,568,791,708,1911,1384,1009
PA0648,312,325,212,844,533,343
trpG,353,610,495,645,340,313
trpD,3290,4417,3870,11138,4622,4033
trpC,749,1101,742,2308,963,937
vfr,1919,954,1017,1479,1238,1077
PA0653,124,128,106,184,147,127
speD,584,974,597,1500,1134,953
PA0655,2249,1324,1266,1540,1419,1346
PA0065,180,155,106,181,153,181
PA0656,273,238,150,470,308,274
PA0657,1214,1117,1115,878,782,728
PA0658,237,393,223,413,399,412
PA0659,881,630,748,869,792,824
PA0660,1449,398,626,1018,721,754
PA0661,463,390,490,474,574,558
argC,250,349,209,337,265,235
PA0663,249,305,202,275,232,225
PA0664,328,866,539,1730,912,841
PA0665,579,733,504,728,702,508
PA0066,229,103,139,165,138,129
PA0666,614,1168,643,564,802,528
PA0667,4042,2494,2059,3149,2946,2765
tyrZ,2771,4518,3309,8359,5374,5640
PA0669,213,435,173,331,225,272
PA0670,151,148,98,114,98,83
prlC,4964,1396,2514,2573,2912,2513
PA0671,78,110,51,54,57,49
hemO,1398,424,506,401,492,530
PA0673,256,119,100,111,115,136
vreA,70,136,64,78,83,56
vreI,27,61,15,49,37,23
vreR,54,112,35,65,56,38
PA0677,19,87,48,133,63,42
PA0678,15,19,13,34,18,21
PA0679,43,73,41,84,33,38
PA0680,29,50,25,25,26,18
PA0068,354,184,268,248,384,247
PA0681,37,60,35,54,60,49
PA0682,42,46,25,32,46,25
PA0683,62,103,48,95,61,59
PA0684,17,47,16,55,36,22
PA0685,190,326,142,145,125,131
PA0686,51,131,54,64,44,42
PA0687,60,182,53,89,65,57
PA0688,450,1383,733,1118,789,596
PA0689,351,882,587,1464,1112,1024
PA0690,1692,2679,1621,2284,1834,1750
glyS,669,2145,457,518,529,426
PA0069,55,113,96,88,107,109
PA0691,22,31,33,56,22,31
PA0692,39,51,23,53,24,32
exbB2,68,93,47,63,60,33
exbD2,6,14,7,22,6,4
PA0695,32,30,12,41,16,21
PA0696,95,125,58,104,61,55
PA0697,73,56,56,92,28,46
PA0698,12,30,16,22,10,6
PA0699,72,77,43,80,47,33
PA0700,68,63,28,62,46,25
PA0070,523,275,412,608,520,483
PA0701,68,101,44,72,28,24
PA0701a,99,70,33,33,40,39
PA0702,72,106,53,60,51,40
PA0703,152,248,106,146,117,103
PA0704,797,1307,555,844,608,441
migA,314,197,239,325,240,247
cat,143,101,81,208,144,158
toxR,106,140,59,122,90,79
PA0708,123,126,117,142,114,179
PA0709,26,174,16,42,35,10
PA0071,1122,1641,1073,2385,1597,1423
gloA2,69,642,64,62,65,76
PA0711,18,233,20,35,23,19
PA0712,55,119,31,44,37,29
PA0713,344,332,517,597,295,312
PA0714,24,136,31,70,44,54
PA0715,5148,1991,2581,2096,2865,3031
PA0716,3279,1661,2587,1973,1919,2036
PA0718,91,175,103,145,124,153
PA0719,119,244,130,139,184,176
PA0072,41,63,30,41,39,30
PA0720,221,292,162,300,154,264
PA0721,92,157,171,129,211,213
PA0722,1952,1823,2034,2796,1704,1374
coaB,1777,1714,2183,1749,1290,985
PA0724,177,495,138,307,232,193
PA0725,73,181,51,94,57,65
PA0726,345,1308,301,619,417,365
PA0727,187,545,199,357,275,245
PA0728,102,510,63,190,133,147
PA0729,587,752,466,1099,673,704
PA0073,12,21,18,14,6,5
PA0730,674,2229,903,1366,1174,1421
PA0731,656,422,407,634,539,525
PA0732,938,1705,760,1644,1369,1249
PA0733,132,146,129,250,199,223
PA0734,100,92,101,148,201,243
PA0735,139,113,82,120,147,106
PA0736,315,509,344,792,557,536
PA0736a,548,3100,1534,5944,4279,3789
PA0737,336,1088,650,3019,897,728
ppkA,149,206,144,251,214,174
PA0738,87,276,143,835,371,371
PA0739,78,197,102,229,131,145
sdsA1,210,256,130,197,176,155
PA0741,143,174,81,101,87,80
PA0742,206,427,255,661,282,163
PA0743,1624,2666,1806,4263,1894,1377
PA0744,1158,531,557,511,468,450
PA0745,2706,913,1335,1468,1434,1263
PA0746,1537,625,1087,1059,1103,993
PA0747,1086,648,613,733,696,664
pppA,26,49,22,29,35,12
PA0748,107,139,70,124,106,73
PA0749,105,129,75,143,119,122
ung,338,82,130,212,171,230
PA0751,130,110,97,79,92,71
PA0752,145,145,98,163,94,83
PA0753,58,73,43,83,51,46
PA0754,229,275,149,236,191,164
opdH,75,293,102,132,92,90
PA0756,69,66,27,56,47,50
PA0757,179,159,104,138,163,194
PA0076,60,57,30,31,39,32
PA0758,1909,302,523,917,987,1474
PA0759,584,353,364,430,360,321
PA0760,167,172,98,216,124,170
nadB,3038,4667,3513,4009,4431,4077
algU,10390,48151,25776,73711,55508,56544
mucA,7742,23357,16485,41647,25882,24767
mucB,1696,3437,1351,4096,2619,2376
mucC,396,375,199,350,310,338
mucD,1823,795,868,1366,1153,1133
lepA,937,1327,1101,3422,2369,2288
icmF1,231,271,175,236,165,198
lepB,693,629,379,1324,751,884
PA0769,1123,5500,3243,12890,8052,7746
rnc,407,1209,673,1576,1189,1150
era,1920,1399,1351,2439,1159,975
recO,135,429,80,156,121,117
pdxJ,592,509,171,276,279,244
PA0774,78,340,52,75,92,52
PA0775,73,412,71,117,110,58
PA0776,85,372,134,296,124,99
PA0777,109,251,50,81,106,88
PA0078,93,165,58,99,60,55
icp,151,446,254,202,226,246
PA0779,3855,1252,2325,2418,2952,3158
pruR,239,199,98,96,111,149
PA0781,135,391,109,272,177,127
putA,1418,2569,1003,1393,1060,655
putP,612,2253,594,932,722,485
PA0784,996,1992,797,1438,777,499
azoR1,68,767,44,85,101,46
PA0786,24,338,23,48,50,27
PA0787,373,3113,346,296,446,191
glyQ,955,1218,456,550,695,717
PA0079,118,187,79,131,101,89
PA0788,2324,9075,3868,5070,6520,7288
PA0788a,134,344,123,255,268,243
PA0789,276,217,157,298,282,218
PA0790,141,105,94,114,84,100
PA0791,345,349,323,231,304,252
prpD,3199,553,956,1360,1187,1096
PA0793,823,349,386,475,394,352
PA0794,1688,834,1251,1372,1205,954
prpC,4053,541,1436,1888,2008,1786
prpB,3469,1017,1440,1740,1725,1382
PA0080,51,47,13,48,27,29
PA0797,352,412,395,511,482,385
pmtA,314,561,420,1220,586,485
PA0799,320,600,313,459,313,219
PA0800,37,85,42,34,40,22
PA0801,535,595,306,313,341,298
PA0802,58,63,34,59,23,37
PA0803,220,293,134,367,174,129
PA0804,1095,690,625,1098,619,558
PA0805,1685,1839,634,1386,600,469
PA0806,66,123,95,122,141,105
fha1,354,726,413,581,608,689
ampDh3,1137,888,734,2338,1133,784
PA0808,75,134,75,169,133,96
PA0809,294,433,296,536,335,210
PA0810,381,289,190,300,252,184
PA0811,551,659,462,601,457,346
PA0812,240,371,206,379,356,207
PA0813,259,575,256,291,189,143
PA0814,81,253,96,196,120,67
PA0815,553,822,388,775,705,710
PA0816,176,567,220,284,298,241
PA0082,359,497,320,546,568,478
PA0817,111,455,85,154,121,94
PA0818,39,168,35,54,39,23
PA0819,36,188,26,85,90,49
PA0820,1144,1467,784,1712,1320,1230
PA0821,476,715,349,936,600,450
PA0823,17,105,36,64,44,31
PA0824,38,120,34,81,53,76
PA0825,105,156,84,233,145,138
PA0826,1339,4927,5020,7149,3039,1855
PA0083,346,281,549,597,575,477
PA0827,4073,754,240,1788,299,236
PA0828,77,124,76,157,136,120
PA0829,91,119,75,392,301,267
PA0830,313,276,251,4671,4516,5575
oruR,210,219,131,248,190,163
PA0832,279,202,135,284,223,220
PA0833,4000,3629,2698,5657,4181,4520
PA0834,428,1419,335,602,456,377
pta,1288,1926,763,1003,708,579
ackA,1357,1393,603,824,681,635
PA0084,710,528,797,1033,1073,829
slyD,714,1929,892,2315,1811,1382
PA0838,1224,2468,3098,10292,6553,7364
PA0839,169,1570,252,1592,1628,841
PA0840,191,2677,240,2520,1327,538
PA0841,232,1303,176,235,307,201
PA0842,168,2100,314,426,456,278
plcR,358,1457,356,1024,690,563
plcH,186,1860,280,589,636,294
PA0845,145,972,211,358,370,191
hcp1,185,104,143,221,156,143
PA0846,186,402,181,367,268,161
PA0847,428,1090,393,1122,817,654
PA0848,673,132,68,301,374,256
trxB2,1408,2168,950,1839,2239,1650
PA0850,66,288,72,349,194,165
PA0851,473,818,355,566,494,317
cbpD,56746,4348,13815,17678,18958,16288
PA0853,438,766,364,252,297,281
fumC2,2034,2205,1456,2467,2338,2718
PA0855,189,674,221,408,334,252
PA0086,45,73,32,56,56,31
PA0856,1585,1595,1461,2613,1881,1683
bolA,448,529,229,723,351,263
PA0858,503,697,564,1103,842,988
PA0859,569,1291,576,757,629,612
PA0860,360,807,310,490,447,356
PA0861,1907,3334,1531,2630,1739,1664
PA0862,1853,2786,1651,2031,2094,1979
PA0863,149,658,148,197,169,117
PA0864,128,755,99,108,100,96
hpd,78172,6723,10018,13330,18751,20712
PA0087,44,48,56,65,50,55
aroP2,3774,879,573,875,1490,1799
mliC,508,164,141,241,238,197
PA0868,142,441,141,365,171,120
pbpG,1751,1735,1207,1907,1102,1066
phhC,15192,4449,6087,4536,5445,5649
phhB,6191,1459,2407,2070,2053,2318
phhA,30254,7151,10056,8648,10891,11978
phhR,725,391,433,457,436,494
PA0874,19,21,28,31,30,29
PA0875,861,820,847,1112,986,1107
PA0088,94,97,61,82,84,67
PA0876,354,412,300,289,354,290
PA0877,370,418,298,378,262,243
PA0878,189,168,122,112,82,89
PA0879,197,120,183,168,112,110
PA0880,82,42,56,70,54,50
PA0881,67,72,47,52,48,34
PA0882,121,100,101,146,42,45
PA0883,74,55,104,62,22,17
PA0884,213,260,181,248,197,151
PA0885,59,61,41,70,40,37
tag,183,747,125,197,208,149
PA0089,59,67,69,115,108,81
PA0886,175,203,172,188,153,126
acsA,4412,2087,1841,2006,1849,1561
aotJ,3111,3416,7430,8769,4202,3601
aotQ,132,290,149,420,268,268
aotM,275,563,344,741,580,436
PA0891,685,870,535,606,406,369
aotP,390,457,283,403,239,198
argR,524,1188,601,1084,754,766
PA0894,71,190,76,103,88,86
clpV1,385,396,278,510,271,254
aruC,1224,1617,1292,1486,1300,1083
aruF,419,530,425,442,345,274
aruG,962,760,1058,1173,503,507
aruD,468,657,484,526,295,243
aruB,1131,3299,2102,4663,3707,2811
PA0900,530,647,407,1126,610,440
aruE,753,945,462,796,448,409
PA0902,242,413,101,200,138,105
alaS,1626,1072,818,975,918,796
lysC,909,562,423,560,526,455
vgrG1,134,117,118,208,135,130
rsmA,8539,31284,29752,49962,54100,60816
PA0906,649,503,559,742,748,753
PA0907,525,450,420,822,553,589
PA0908,39,91,38,97,62,50
PA0909,46,103,42,105,94,92
PA0910,227,198,142,544,385,210
PA0911,477,394,335,1328,1183,911
PA0092,24,23,21,28,18,22
PA0912,189,224,211,396,252,209
mgtE,1069,2358,1143,1926,2034,1765
PA0914,28,89,33,54,47,26
PA0915,43,167,71,116,88,63
PA0916,308,546,442,1100,502,456
kup,932,2630,1349,3574,3066,2796
PA0918,134,384,210,652,274,212
PA0919,440,587,343,691,447,474
PA0920,745,1035,674,1205,951,910
PA0921,209,188,179,344,255,318
PA0093,130,87,77,96,101,106
PA0922,543,381,377,800,561,765
dinB,210,274,192,334,264,320
PA0924,660,851,626,1518,1100,1017
PA0925,156,234,177,414,284,267
PA0926,181,140,112,213,176,181
ldhA,368,403,267,390,308,291
gacS,1552,1234,1160,1553,1257,1099
PA0929,219,193,132,103,170,167
PA0930,238,275,187,276,226,191
PA0094,133,227,239,218,330,294
pirA,401,609,432,1003,654,616
cysM,661,322,307,408,399,401
ygcA,1294,2591,1818,6760,3646,3210
relA,3631,2882,2752,6076,3272,2924
PA0935,1468,642,817,845,1030,997
lpxO2,413,300,194,468,314,330
PA0937,525,643,512,942,870,805
PA0938,5172,2154,2885,3625,3439,3227
PA0939,115,167,130,138,152,125
PA0940,228,128,129,220,157,120
PA0095,646,1574,630,2121,1636,1507
PA0941,617,317,633,498,504,410
PA0942,1882,590,659,1013,961,1050
PA0943,1943,888,793,1744,1352,1365
purN,1158,1413,1386,1361,2007,1944
purM,316,579,348,751,537,531
PA0946,727,394,283,351,387,471
PA0947,466,415,654,627,866,944
PA0948,122,60,63,119,141,98
wrbA,198,159,86,201,211,219
PA0950,294,215,180,217,267,300
PA0096,59,166,52,42,67,46
PA0951,339,399,321,640,499,473
PA0951a,1097,13001,2755,10037,7524,5527
PA0952,360,4828,825,4127,2247,1502
PA0953,690,1609,608,965,952,841
PA0954,430,877,391,645,518,510
PA0955,344,554,261,481,449,348
proS,2064,1407,1354,2058,1869,1861
PA0957,54,134,60,142,95,67
oprD,4657,1807,1678,3783,3024,3311
PA0959,2400,3041,2147,5746,3692,4005
PA0097,44,147,34,36,49,26
PA0960,658,811,442,1520,831,748
PA0961,309,1299,358,501,513,374
PA0962,16829,3209,4572,8973,5693,5698
aspS,2415,1117,1112,1536,1460,1455
pmpR,699,506,481,560,580,578
ruvC,495,666,424,706,557,551
ruvA,309,438,246,387,298,303
ruvB,315,419,224,363,367,327
PA0968,96,139,71,162,133,150
tolQ,487,454,320,393,427,366
PA0098,61,171,63,75,75,46
tolR,300,385,187,365,362,327
tolA,1195,1580,1007,2553,2051,2361
tolB,2276,2049,1447,3062,2479,2424
oprL,5846,3837,2760,7933,4063,3796
PA0974,1246,1036,566,1027,1042,880
PA0975,109,309,135,216,216,168
PA0976,154,306,136,349,210,257
PA0978,38,51,37,96,91,112
PA0979,29,74,30,67,66,59
