,YAbR10-OD1-MTB-1.bam.sorted.bam,YAbR18-OD1-PACS2-3.bam.sorted.bam,YAbR24-OD3-C3719-3.bam.sorted.bam,YAbR32-OD3-PA14-2.bam.sorted.bam,YAbR4-OD1-C3719-1.bam.sorted.bam,YAbR11-OD1-MTB-2.bam.sorted.bam,YAbR1-OD1-B133-1.bam.sorted.bam,YAbR25-OD3-CF5-1.bam.sorted.bam,YAbR33-OD3-PA14-3.bam.sorted.bam,YAbR5r-OD1-C3719-.bam.sorted.bam,YAbR13-OD1-PA14-.bam.sorted.bam,YAbR20r-OD3-B133-2.bam.sorted.bam,YAbR27-OD3-CF5-.bam.sorted.bam,YAbR34r-OD3-PACS2-.bam.sorted.bam,YAbR8-OD1-CF5-2.bam.sorted.bam,YAbR14-OD1-PA14-.bam.sorted.bam,YAbR21-OD3-B133-3.bam.sorted.bam,YAbR28r-OD3-MTB-1.bam.sorted.bam,YAbR36-OD3-PACS2-3.bam.sorted.bam,YAbR9-OD1-CF5-3.bam.sorted.bam,YAbR17-OD1-PACS2-2.bam.sorted.bam,YAbR22-OD3-C3719-1.bam.sorted.bam,YAbR30-OD3-MTB-3.bam.sorted.bam,YAbR3-OD1-B133-3.bam.sorted.bam
PA14_RS30145,3,0,0,54,2,0,1,0,29,28,2,0,0,2,0,6,0,0,1,1,1,0,1,0
PA14_RS30150,0,1,1,403,43,0,0,3,359,151,25,0,1,1,2,80,0,0,1,0,1,84,1,1
PA14_RS05825,312,36,1,80,12,100,70,54,37,224,21,2,52,27,50,121,0,20,64,82,42,25,3,121
PA14_RS05830,1042,306,9,167,148,383,381,298,165,860,93,58,390,121,470,407,4,141,163,420,441,312,44,716
PA14_RS05835,515,148,12,64,120,310,191,150,102,701,31,25,173,67,117,246,13,52,85,167,212,181,46,167
secD,2293,531,20,326,279,827,977,443,454,2421,248,121,472,241,664,1275,45,246,223,554,853,609,125,1192
secF,1862,889,105,493,325,1234,783,344,525,2480,235,110,440,198,409,1303,9,345,187,776,767,666,246,1078
PA14_RS05850,837,376,120,4076,717,348,705,1271,3958,3285,114,486,1547,2107,419,704,88,4254,2679,572,1243,3948,3019,270
PA14_RS05855,593,162,18,126,72,191,229,86,167,490,30,23,182,214,98,192,1,56,464,216,275,312,42,167
PA14_RS05860,387,122,2,68,42,153,198,82,84,452,47,20,75,119,82,149,8,85,132,102,232,109,42,140
cysE,823,67,21,322,42,178,192,136,345,646,76,38,144,30,45,291,8,128,35,66,86,112,69,239
iscR,835,154,3,400,37,207,272,205,148,595,30,42,357,64,147,184,10,79,132,212,250,150,47,206
iscS,2150,1023,46,2039,351,1021,826,1209,1384,3099,144,408,1396,424,771,944,94,376,857,902,1569,1359,370,947
PA14_RS05880,995,367,46,630,227,424,414,610,610,1215,90,170,888,226,207,459,51,288,132,407,694,605,215,272
iscA,351,195,11,291,56,112,186,162,258,511,38,95,277,79,73,188,12,129,163,183,316,205,107,205
hscB,1294,588,84,481,149,532,318,427,568,1351,72,148,562,213,369,438,54,264,507,888,897,631,258,548
hscA,2427,842,29,738,427,1032,680,567,974,2713,271,475,638,250,489,1050,23,443,291,1140,981,926,161,2282
fdx,281,246,22,210,75,115,222,145,191,496,47,55,167,100,128,218,23,86,169,148,260,165,54,163
iscX,292,323,34,310,70,139,170,161,423,869,35,29,246,204,125,303,12,127,793,217,280,302,68,207
PA14_RS05910,1752,854,13,369,345,1240,770,1186,523,2922,167,100,949,354,864,1321,13,171,810,716,2539,634,175,900
rlmN,6889,1624,205,1305,803,2165,2634,4522,1628,9698,297,180,5937,808,2699,2522,64,590,1788,2920,2351,3923,396,2321
PA14_RS05920,1512,384,48,532,104,506,455,466,752,1395,65,115,818,460,288,601,19,256,1231,359,611,748,255,420
PA14_RS05925,1206,382,39,349,162,418,658,259,415,1631,153,133,405,257,197,499,23,163,350,285,600,388,130,1156
PA14_RS05930,3077,764,649,975,454,881,1014,630,1056,4534,253,277,857,544,674,1124,26,710,559,1031,1349,1067,440,791
