Name,B_1,B_2,B_3,P_1,P_2,P_3
PA2463,26,22.5,14.5,56,67,45.5
PA2464,31,30,25,61,58,45
PA2465,9,15,10,11,8.25,13
foxA,37,48,30,34,33,27
foxR,3,12.5,9,1,2,6
foxI,103,81,76,109,70,94
PA2469,49,56,48,41,36,29
gtdA,18,19,12,11,14,12
PA2471,9,7,4,5,7,2
PA2472,2,7,10,9,2,3
PA2473,2,0,5,6,2,2
PA2474,3,5,0,8,4,6
PA2475,40,39,29,30,41,40
dsbG,44,44,28,17,28,18
PA2477,35,27.33333333,36,13,19.08333333,13.5
PA2478,41,55,37,26,21,26.1
PA2479,30,51,28,10,10,12
PA2480,31,33,25,17.33333333,12,5
PA2481,33,65,26,37,52,35
PA2482,82,71,69,67,60,53
PA2483,361,379,278,103,101,105
PA2484,208,204,166,128,130,131
PA2485,228,160,102,52,31,30
PA2486,91,85,25,22,7,6
PA2487,39,41,23,18,12,12
PA2488,26,28,24,10,11,9.090909091
PA2489,20,17,21,19,27,17
PA2490,16.14285714,14.14285714,10,19,22,20
mexS,91,98,73,149,174,157
mexT,75,124,88,79,107,81
mexE,46,62,30,34,39,38.25
mexF,56,49,31,47,42,45
oprN,8,10,11,19,10,13
PA2496,14,19,14,17,17,17
PA2497,106,144,76,63,58,58
PA2498,10,8,11,10,3,13
PA2499,1,2,2,4,1,0
PA2500,3.25,1,9,4,5,2
PA2501,80,204,186,80,64,58
PA2502,39,33,44,53,38,50
PA2503,71,54,30,46,57,33
PA2504,61,87,50,43,67,79
opdT,21,18,23,13,11,13
PA2506,19,24,21,6,7,3
catA,16,13,26,8,16,5
catC,8,7,6,4,5,6
catB,17,23,14,12,5,5
catR,34,32,26,23,27,22
antR,49,63,74,23,20,29
antA,41,88.5,131,23,31,16
antB,24,41,83,6,4,3
antC,15,45,73,3,5,4
xylL,19,8,2,2,3,3
xylZ,12,10,8,3,2,3
xylY,16,10,11,0,3,2
xylX,50,43,39,8,15,21
xylS,24.45,17.2,16.2,10.65,11.4,13.5
czcA,64,62,55,50,65,56
czcB,5,16,15,6,7,8
czcC,10,18,5,7,11,7
czcR,132,317,286,29,22,12
czcS,68,37,14,13,7,5
opmB,26,31,12,19,27,25
muxC,75,71,52,66,86,73.36111111
muxB,104.1666667,56.5,46.4,57.2,71.5,46.81111111
muxA,109,53,22,34,32,31
PA2529,296,254,159,194,202,175
PA2530,13,18,14,14,15,17
PA2531,28,72,47,17,10,9
tpx,60,70,58,33,44,35
PA2533,102,131.3333333,90.16666667,137,148,136
PA2534,38,48,42,58,59,52
PA2535,76,65,51,50,46,48
PA2536,43,55,40,53,64,50
PA2537,27,34,20,38,43,56
PA2538,7,11,5,12,11,8
PA2539,13,19,7,21,30.33333333,23
PA2540,42,53,33,51,59,53
PA2541,284,342,229,96,122,114
PA2542,84,99,97,114,128.2,105.25
PA2543,47,67,54,68,85,68
PA2544,78,89,103,74,85,86
xthA,88.14285714,99.5,62,123,140,124
PA2546,101,83,58,54,60,52
PA2547,97,59,48,47,54,45
PA2548,35,24,16,28,29,35
PA2549,171.5,211,128,182,190,172
PA2550,207,75,52,105,129,90
PA2551,190,232,164,62,91,79
PA2552,44,71,66.25,203,293,204
PA2553,25,41,42,181,200,132
PA2554,13,36,26,98,160,90
PA2555,136,163,100,434,686,509
PA2556,33,28,20,50,68,46
PA2557,50,86,52,122,178,161
PA2558,105,120,83,101,107,96
PA2559,169,177,133,203,203,176
srfA,146,156,74,49,37,31
PA2560,113,121,71,71,80,72
ctpH,46,79,43,68,46,35
PA2562,753,558,313,240,265,227
PA2563,88,71,61,61,53,54
PA2564,56,147,147,75,88,118
PA2565,27,68,92,51,53,75
PA2566,120,195,182,226,267,297
PA2566.1,26,54,38,20,23,9
PA2567,502,247,178,252,249,219
PA2568,185,177,121,123,135,124
PA2569,221,241,133,107,77,56
lecA,98,116,134,101,97,106
PA2570.1,368,378,240,245,291,207
PA2571,172,169,140,140,243,232
PA2572,170,177,150,150,178.5,166
PA2573,165,191,164,219,254,265
alkB1,76,76,47,74,68.25,89
PA2575,1361,630,327,921,902,676
PA2576,72,67,51,44,57,51
PA2577,92,74,55,77,70,71
PA2578,24,24,17,48,24,35
kynA,157,146,124,97,114,116
PA2580,61,71,41,44,26,45
PA2581,97,108,70,123,148,99
PA2581.1,153.5,145,173,227.5,237,175
PA2582,166,173,136,126,142,136
PA2583,635,583,409,370,441,417
PA2583.1,380.2666667,449.7666667,408.1833333,391.7,409.2833333,324.9333333
pgsA,220,171,156,152,176,140
uvrC,266,244,167,217,221,196
gacA,809.5,953,744,478,602,534
pqsH,47,82,92,423,552,538
PA2588,57,73,69,119,116,103
PA2589,37,37,19,34,29,26
PA2590,61,64,50,43,26,40
vqsR,181,374,273,347,400,360
PA2592,248,424,298,249,274,212
qteE,42,63,58,59,31,44
PA2594,38,29,20,50,37,31
PA2595,15,30,12,32,24,20
PA2596,7,13,6,19,18,12
PA2597,13,12,9,25,10,4
PA2598,19,19,12,19,19,13
PA2599,27,24,22,36,35,15
PA2600,25,22,23,31,30,24
PA2601,64,84,63,74,83,79
PA2602,15,9,9,16,26,21
PA2603,15,26,8,20,22,21
PA2603.1,129.1666667,146.3333333,188.1666667,119,146.5,123
PA2604,1049,902,623,403,487,437
PA2605,27,50,51,33,34,25
PA2606,46,63,47,47,44,54
PA2607,48,34,26,35,36,47
PA2608,34,45,21,27,44,39
PA2609,93,88,54,74,98,100
PA2610,320,216,132,250,272,192
cysG,146,117,86,100,115,104
serS,135,95,70,90,166,135
PA2613,197,192,165,183,247,230
lolA,119,78,84.5,83.5,133,111
ftsK,757,744,500,432,558,470
trxB1,169,162,117,203,243,219
aat,43,26,27,19.2,31,27
PA2618,380,432,330,183,247,295
infA,2134,1986,1517,585,749,628
clpA,1028.333333,1420,1051,1087.5,1076.333333,1057
clpS,492,518,416,381,370,381
cspD,183,263,280,383,523,519
icd,769,1030,853,1505,2287,1981
idh,828,472,303,306,467,380
PA2625,45,28,27,23,16,15
trmU,484,476,323,322,384,336
PA2627,89,55,32,36,23,24
PA2628,58,47,30,24,16,23
purB,1057,1162,752,436,451,409
PA2630,548,318,203,180,167,148
PA2631,303,246,176,155,161,125
PA2632,165,159,118,60,74,66
PA2633,145,137,111,101,107,118
aceA,508,473,244,135,192,156
PA2635,18.1,32,37,13,11.5,16
PA2636,15,15,8,16,17,11
nuoA,542,681,501,511,673,555
nuoB,370,327,204,300,433,351
nuoD,230,188,151,216,368,333
nuoE,82,105,69,106,161,159
nuoF,144,94,77,152,205,189
nuoG,196,138,114,356,464.5,352
nuoH,226.1428571,185.5,146.5,252,344,290.5
nuoI,71,39,59,91,117,104
nuoJ,59,61,58,125,140,136
nuoK,45,32,33,47,58,53
nuoL,169.3333333,146,131,230,374,284
nuoM,181,132,99,197,282,243
nuoN,140,94,94,231,271,221
PA2650,6,6,3,5,7,2
PA2651,299,313,225,235,179.0833333,143
PA2652,418,433,289,224,202,149
PA2653,129,116,72,118,122,105
PA2654,454,361.5,218,163,169,134
PA2655,16,14,7,16,39,21
carS,41,44,50,33,58,51
carR,23,42,42,28,39,40
PA2658,109,118,89,113,153,174
PA2659,92,105,74,84,99,131
PA2660,33,31,21,27,32,24
PA2661,17,18,13,24,18,18
PA2662,48,122,130.5,39,71,18
ppyR,10,28,45,10,12,7
fhp,48,85,74,47,47,38
fhpR,112,79,85,26,22,15
PA2666,187,119,88,48,62,53
mvaU,120,115,93,116,154,119
PA2668,32,48,25,76,67,84
PA2669,69,74,58,103,101,91
PA2670,62,62,43,73,69,69
PA2671,47,51,21,31,38,43
PA2672,12,24,17,21,26,20
PA2673,41,37,26,27,23,30
PA2674,20,30,22,26,21,37
PA2675,48,57,40,53,58,58
PA2676,45,62,43,66,66,62
PA2677,70,82,60,90,77,74
PA2678,60,66,50,62,78,80
PA2679,16,23,17,48,72,46
PA2680,10,13,5,14,9,7
PA2681,6,17,6,18,9,6.041666667
PA2682,27,63,54,22,31,25
PA2683,20,25,18,30,41,29.08333333
tsi5,5,10,14.5,20,24,16
tse5,45.2,83,69.5,67,120,84
vgrG4,218.3333333,246.5,188.1666667,197,227.9166667,181
pfeR,77,88,67,70,52,43
pfeS,31,54,36,24,40,25
pfeA,72,93,63,145,121,129
PA2689,0,1,3,2,2,3
PA2690,89.33333333,64.66666667,47.16666667,68.33333333,76.83333333,64.83333333
PA2691,109,115,106,20,15,14
PA2692,193,202,168,89,105,69
PA2693,38,24,18,15,31,20
trx2,23,18,8,12,11,7
PA2695,64,59,42,36,37,34
PA2696,35,47,34,45,30,37
PA2697,12,7,4,14,10,3
PA2698,21,17,8,31,31,19
PA2699,29,20,16,42,31.33333333,28
opdB,36,45,26,35,34,34
PA2701,13,21,11,23,10,13
tse2,39,27,27,18,30,14
tsi2,16,21,2,5,11,10
PA2704,13,22,18,17,15,18
PA2705,84,73,58,65,109,84
PA2706,67,75,41,61,61.5,49
PA2707,120,134,113,118,172,138
PA2708,85,76,58,73,69.2,59
cysK,209,194,187,404,497,453
PA2710,20,20,10,16,31,31.5
PA2711,43,58,44,50,78,70
PA2712,40,31,21,60,106,76
PA2713,51,60,47,46,42,24
PA2714,33,49.16666667,22,54,38,32
PA2715,4,3,4,7,6,9
PA2716,43,48,35,41,41,33
cpo,52,50,44,36,34,40
PA2718,47,55,53,63,55,44
PA2719,36,37,28,34,29,24
PA2720,58,53,44,44,56,46
PA2721,24,40,34,17,35,30
PA2722,64,124,89,30,41,29
PA2723,86,161,122,32,37,37
PA2724,6,8,4,2,7,6
PA2725,41,58,57,54,60,37
PA2726,2,4,7,4,21,12
PA2727,8.142857143,18,14,19,55,44
PA2728,46,44,29,29,47,32.33333333
PA2729,22,15,11,21,30,23
PA2730,91,116,80,93,141,119
PA2731,84,91,72,121,141,149
PA2732,398,473,335,427,611,561
PA2733,50,58,52,62,100,86
PA2734,258,203,188,178,261,254
PA2735,476,506,361,350,443,368
PA2736,285,339,239,193,179,161
PA2736.1,205,228,229,142,168,122
PA2737,202,346,262,142,221,180
himA,625,695,529,559,722,687
pheT,621,482,386,445,587,511
pheS,404,237,114,102,140,122
rplT,4829,1848,1106,546,958,811
rpmI,1527,570,378,242,377,349
infC,4318,2076,1318,1355,1841,1725
thrS,2106,1401,960,1035,1231,973
PA1112.1,2196.25,1284,846,542,619,517
PA2745,66,55,33,36,44,43
PA2746,167,155,143,26,36,49
PA2747,101,147,106,165,148,183
PA2748,55,44,20,21,29,28
endA,31,19,24,28,30,29
PA2750,7,6,5,6,13,3
PA2751,106,94,69,57.2,66,73
PA2752,30,23,19,30,24,18
PA2753,22,83,49,67,52,41
PA2754,86,91,70,109,81,65
eco,162,135,106,160,152,122
PA2756,914,1242,1046,184,249,262
PA2757,893,1650,1255,45,54,49
PA2758,64,100,48,63,62,61
PA2759,33,39,25,53,55,51
oprQ,620,729,536,418,598,472
PA2761,24.16666667,40,37,45,50,35
PA2762,100,103,104,67,60,61
PA2763,33,48,42,42,32,32
PA2764,38,49,25,39,45,30
PA2765,63,77,43,53,60,40
PA2766,22,33,17,29,30,21
PA2767,33,47,38,18,11,12
PA2768,6,12,7,9,5,17
PA2769,34,23,12,18,27,13
PA2770,124,140,97,135,143,130
PA2771,50,42,43,70,110,103
PA2772,36,56,39,57,70,54
PA2773,25,23,16,27,19,25
tse4,55,53,37,48,59,29
tsi4,141,144,86,147,169,124
PA2775.1,110,152,98,154,179,145
pauB3,145,140,80,78,102,75
PA2777,131,118,111,80,97,74
PA2778,89,92,72,62,50,48
PA2779,222,186,130,105,76,61
bswR,47,66,41,48,55,48
PA2781,34,29,16,37,35,38
bamI,4,1,10,3,4,6
mep72,37,41.04,22,49,37,42
PA2784,46,29,18,20,15,23
PA2785,19,7,8,14,9,9
PA2786,5,12,4,13,11,9
cpg2,43.4,46,38.4,37,39,37
PA2788,98,256,222,313,246,201
PA2789,40,17,19,34,29,21
PA2790,148,115,120,77,97,105
PA2791,10,11,6,23,14,8
PA2792,26,28,12,44,28,34
PA2793,192,187,142,234,209,209
PA2794,757,1110,880,288,322,308
PA2795,261,177,105,89,118,89
tal,135,113,78,222,229,228
PA2797,430,362,266,220,237,234
PA2798,680,617,392,429,502,483
PA2799,60,71,52,80,67.33333333,84
vacJ,315,303,186,183,234,223
PA2801,35,64,29,69,70,48
PA2802,70,62,46,61,81,74
PA2803,10,1,3,3,5,4
PA2804,5,4,3,5,4,5
PA2805,85,94,54,192,178,178
PA2806,63,81,48,48,39,38
PA2807,13,20,22,18,16.33333333,12
ptrA,16,16,14,10,7,6
copR,35,61,26,22,23,13
copS,23,30,16,19,25,23
PA2811,65.1,60,40,44,58,66
PA2812,52,83,60,82,102,85
PA2813,55,53,40,38,59,43
PA2814,38,59,43,45,37,36
PA2815,305,294,224,197,246,274
PA2816,17,26,23,17,22,12
PA2817,78.34285714,101.2,86.47619048,78,80,65
arr,192,147,120,135,151,140
PA2819,21.33333333,28.66666667,18,11.33333333,21,18
PA2819.1,358.2666667,449.2666667,440.6833333,355.2,371.2833333,293.9333333
PA2819.2,390.2666667,599.7666667,528.6833333,482.7,495.7833333,401.9333333
PA2819.3,554.5,1130.5,912.0333333,829.5,1014.333333,717.8333333
PA2820,319,327,169,312,343,266
PA2821,70,58,50,53,79,51
PA2822,27,21,23,30,31,21
PA2823,64,63,37,55,53,64
sagS,128,201,118,150,224,199
ospR,244,96,51,14,30,33
PA2826,620,388,195,58,59,54
PA2827,116,103,77,116,113,114
PA2828,138,134,90,117,120,96
PA2829,15,6,7,4,8,6
htpX,918,489,303,321,284,233
PA2831,64,85,50,69,101,85
tpm,67,73,51,104,134,108
PA2833,18,22,14,17,20,15
PA2834,51,45,27,22,35,20
PA2835,23,20.5,20,15,22,19
PA2836,4,4,3,4,4,2
PA2837,5,6,7,7,9,5
PA2838,4,8,5,10,12,14
PA2839,175,159,89,221,281,147
PA2840,1888,1045,491,150,183,125
PA2841,35,47.33333333,36,31,33,26
PA2842,133,109,101,92,127,93
PA2843,99,257,208,241,269,162
PA2844,23,45,29,31,40,25
PA2845,34,41,25,40,40,37
PA2846,56,53,36,34,50.33333333,52
PA2847,29,44,45,32,33,23
PA2848,9,11,4,5,5,4
ohrR,82,83,43,46,63,65
ohr,95,169,89,103,115,83
efp,900,1026,671,587,662,552
earP,63,88,58,93,88,59
PA2852.1,455,508,663.5,672,658.5,598.25
P7,181,332,294,95,148,156
oprI,3567,6368,4770,10625,16028.25,14063
PA2854,516,491,337,335,315,285
PA2855,47,67,46,49,50,39
tesA,105,122,83,144,151,160
PA2857,23,34,23,19.2,29,24
PA2858,27,42,40,38,43,37
greB,49,64,80,57,56,48
PA2860,73,116,58,93,67.33333333,58
ligT,14,22,18,13,14,11
lipA,23,44,45,27,29,18
lipH,4,7,12,4,12,9
PA2864,336,253,169,956,733,521
PA2865,166,171,108,124,139,105
mttC,16,29,17,43,33,30
PA2867,294,271,172,258,255,199
PA2868,384,1393,869,429,488,354
PA2869,521,800,534,207,235,175
PA2870,162,200,149,50,50,63
PA2871,37,50,40,58,56,51
PA2872,10,19,19,16,24,23
tgpA,27,47,45,38,64,61
PA2874,9,11.2,6,8,20,8
PA2875,75,62,62,76,77,84
pyrF,76,107,79,82,78,63
PA2877,35,31,24,36,30,29
PA2878,4,7,8,12,10,6
PA2879,86,116,79,19,20,22
PA2880,23,24,14,41,19,13
PA2881,6,3,4,6,6,8.333333333
PA2882,12,8,6,9,13,12
PA2883,148,164,83,138,136,131
PA2884,231,179,157,141,129,142
atuR,53,29,23,32,48,35
atuA,24,31,21,15,13,13.08333333
atuB,4,17,13,11,14.33333333,8
atuC,15.25,21,20,27,10.33333333,13
atuD,31,40,42,24,28,23
atuE,5,11,3,0,2,1
atuF,8,36,28,25,18,22
atuG,1,5,8,4,10,8
atuH,26.5,34.25,36.75,37,35,32.5
PA2894,54,25,20,28,27,28
sbrR,78,65,45,23,28,16
sbrI,376,197,130,91,90,84
PA2897,433,501,342,184,224,183.5
PA2898,13,19,14,21,16,12
PA2899,94,178,133,51,56,36
PA2900,117,70,63,40,62,43
PA2901,140,111,87,98,106,82
PA2902,128,90,68,69,107,64
cobJ,24,25,7,16,11,12
cobI,28,18,14,25,18,14
cobH,15,12,5,9,8,3
PA2906,50,55,31.16666667,31,47,23.16666667
cobL,11,18,8,6,9,9
cbiD,6,12.16666667,7,14,8,7
PA2909,3,3,5,0,1,2
PA2910,21,17,10,11,11,21
PA2911,11,25,14,8,19,7
PA2912,2,3,3.25,1,1,1
PA2913,16,21,14,20,14,27
PA2914,2,4,0,1,2,0
PA2915,19,27,22,28,43,18
PA2916,4,6,2,15,19,11
PA2917,32,47,23,71,87,64
PA2918,17,28,18,11,12,13
PA2919,1,2,2,1,2,2
PA2920,129,119,92,79,98,93
PA2921,17,15,17,25,27,13
PA2922,10,14,8,6,6,10
hisJ,4,2,5,7.333333333,8,3
hisQ,17,10,9,19,14,8
hisM,8,7,4,15,4,13
hisP,6,14,7,17,17,12
PA2927,14,12,14,17,26,28
PA2928,10,20,6,8,6,10.11111111
PA2929,47,45,18,32,53,47
PA2930,65,67,31,24,37,28
cifR,167,180,132,94,69,71
morB,13,15,11,16,15,9.333333333
PA2933,3,2,4,1,2,2
cif,21,27,11,19,26,28
PA2935,87,79,65,90,100,94
PA2936,35,76,42.5,109,86,79
PA2937,103,155,104,39,25,32.33333333
PA2938,77,103,90,36,47.07692308,38
PA2939,148,190,177,413,754.2,899
PA2940,34,44,36,31,44,17
PA2941,22,9,10,7,7,5
PA2942,57,45,30,33,42,31
P32,387,444,331,226,224,207
PA2943,9,9,11,14,13,12
cobN,46.5,64.66666667,47,34,30,26
PA2945,58,66,46,53,48,52
PA2946,155,250,181,273,277,240
cobE,5,2,0,0,5,6
cobM,8,13,7,13,15,12
PA2949,99,94,80,126,133,119
pfm,457,443,306,217,324,292.6666667
etfA,401,445,291,235,357,323
etfB,408,507,314,253,328,260
PA2953,632.0714286,837,509,247,234,194
PA2954,80,63,37,25,32,24
PA2955,64,73,37,40,48,41
PA2956,201.5,163,73,80,72,69
PA2957,570,714,508,263,321,321
PA2958,117,127,84,74,88,80
P35,75,67,31,29,35,38
PA2959,107,95,74,75,148,127
pilZ,267,306,229,372,413,404
holB,115,83,43,54,72,47
tmk,67,35,29,19,31,20
PA2963,484,335,198,188,186,160
pabC,264,202,130,98,111,87
fabF1,375,364,277,200,277,242
acpP,1637,1439,1126,1024,1616,1398
fabG,554,534,379,199,240,271
fabD,462,494,349,207,311,286
plsX,1100,769,480,218,278,196
rpmF,3797,2425,1289,674,875,697
PA2971,3421,3404,2004,1688,1821,1681
PA2972,78,71,52,70,76,81
PA2973,386,294,243,155,259,214
PA2974,309,235,210,199,231,197
rluC,563,668,495,294,307,320
rne,2339,1353.333333,996,438,866,628
murB,210,142,102,99,120,107
ptpA,71,45,28,42,38,35
kdsB,120,89,63,59,89,95
PA2980,62,44,46,35,59,43
lpxK,135,110,64,84,109,98
PA2982,77,59,24,43,69,46
PA2983,146,216,155,160,155,143
PA2984,30,39,52,59,62,58
PA2985,249,255,150,176,159,155
lolC,229,176,112,111,111,97
lolD,162,106,54,54,69,61
lolE,588,472,284,255,233,190
PA2989,115,111,98,87,111,78
PA2990,36,32,30,46,67,56
sth,228.3333333,175,150,230,389,311
PA2992,67,59,40,24,46,53
PA2993,135,87,70,111,129,133
nqrF,206,154,78,116,148,171
nqrE,84,93,44,53,80,71
nqrD,113,79,32,63,75,52
nqrC,77,64,40,63,63,60
nqrB,188,157,107,107,136,110
nqrA,356,288,171,164,214,186
aroP1,412,246,136,108,114,134
PA3001,959,644,410.2,292,379,313
mfd,202,187,138,165,223.0714286,216
PA3003,64,47,49,61,91,69
PA3004,73,62,48,41,48,51
nagZ,140,140,91,111,78,81
psrA,957,1319,1033,594,312,328
lexA,688,345,166,314,346.0833333,183
PA3008,147,51,38.5,75,75,41
PA3009,1927,1131,921,312,374,335
PA3010,213,146,101,111,133,107
topA,844,584,411,436,503,463
PA3012,243,253,179,127,177,175
faoB,448,390,262,188,240,202
faoA,696,751,450,285,362,305
PA3015,75,89,63,69,75,67
PA3016,51,45,30,38,44,34
PA3017,100,158,121,113,117,132
PA3018,73,45,24,42,41,32
PA3019,415,378,245,244,272,281
PA3020,137,151,129,134,182,158
PA3021,35,35.33333333,32,57,69,55
PA3022,73,135,92,247,251,185
PA3023,76,71,48,43,28,30
PA3024,32,40,41,41,59,51
PA3025,11,13,14,14,17,4
PA3026,32,28,30,34,48,40
PA3027,47,42,37,54,63,60
moeA2,35,40,29,55,77,71
moaB2,46,39,25,47,71,59
mobA,7,28,9,15,20,14.5
PA3031,1577,1059,701,584,590,591
PA3031.1,37,37,43,34,39,31
snr1,165,445,398.5,142,177,158
PA3033,50,46,32,33,38,28
PA3034,69,81,42,63,89,75
PA3035,16,15,8,16,13,12
PA3036,4,11,6,4,5,6
PA3037,6,5,6,6,9,10
opdQ,41,48,49,129,224,149
PA3039,76.66666667,98,67,91,78,79
PA3040,202,196,142,164,129,159
PA3041,122,107,90,146,153,182
PA3042,35,60,47,49,63,78
PA3043,55,71,51,93,111,92
rocsS2,69,84,65,80,72,69
rocA2,47.5,49.25,24.25,54,34.5,46
PA3046,176,141,83,134,119,116
PA3047,179,197,153,104,107,113.3333333
PA3048,256,163,105,99,138,92.04347826
rmf,235,1187,1110,276,328,581
pyrD,369,364,300,209,226,182
PA3051,62,104,48,93,90,104
PA3052,98,118,87,98,107,87
PA3053,56,70,49,63,66,58
PA3054,39,42,29,68,94,78
PA3055,71,112,72,36,58,60
PA3056,131,270,174,92,96,105
PA3057,14,24,20,23,19,21
pelG,69,41,28,48,57,54
pelF,19,20,5,13,16,10
pelE,12,8,5,7,6,9
pelD,16,7,9,12,11,4
pelC,2,3,0,2,0,0
pelB,27,19,16,23,25,27
pelA,65,48,29,44,46,27.5
PA3065,28,56,48,37,38,38
PA3066,48,52,35,23,30,27
PA3067,134,264,152,29,40,35
gdhB,316,324,217,780,1200,1143
PA3069,118,71,46,103,90,72
PA3070,86,129,97,87,121,124
PA3071,16.14285714,22.14285714,17,19,22,24
PA3072,4,5,6,3,8,8
PA3073,21,24,18,21,41,29
PA3074,20,21,18,46,33,39
PA3075,14,15,16,27,31,38
PA3076,36,23,15,18,44,39
cprR,10,12,23,15,21,16
cprS,31,35,27,50,57,33
PA3079,183,182,120,126,183,140
PA3080,541,244,153,82,200,156
PA3081,32,15,19,42,53,44
gbt,80,73,56,70,113,124.25
pepN,303,261,200,242,308,283
PA3084,110,83,68,72,75,88
PA3085,163,133,113,149,136,99
PA3086,44,46,31,36,49,46
PA3087,42,28,30,39,50,58
PA3088,69,76,58,91,114,122
PA3089,17,24,12,26,35,24
PA3090,3,3,5,10,7,7.1
PA3091,59,99,65,115,171,163
fadH1,83,62,43,72,70,71
PA3093,86,77,57,52,67,55
PA3094,27,24,19,18,31,21
PA3094.1,270.7833333,349.0833333,359.95,429.3333333,538.9,443.1666667
PA3094.2,475.6166667,504.25,491.2833333,678.6666667,870.7333333,667.5
PA3094.3,452.3333333,513,436.3333333,723.0909091,803.8333333,621.8333333
xcpZ,5,9,11,10,11,18
xcpY,27,66,52,45,52,71
xcpX,72,113,66.25,104,137,134
xcpW,10,26,25,35,37,46
xcpV,10,25,20,34,51,44
xcpU,13,18,19,42,64,52
xcpT,32,67,40,84,115,126
xcpS,50,100,91,224,266,288.0434783
xcpR,81,109,92,162,189,196
xcpP,144,223,230,293,448,397
xcpQ,96,172,147,223,317,340
PA3106,113,50,51,36,39,41
metZ,192,115,80,61,78,63
purF,471,414,251,177,247,184
PA3109,794,809,679,461.5,550,451
PA3110,130,135,104,81,102,96
folC,334,424,316,162,232,193
accD,420,473,378,224,322,253
trpF,207,222,184,209,220,211
truA,45,88,76,87,104,96
fimV,425,703,534,701.5,885,890
PA3116,132,149,102,175,148,126
asd,196,138,108,232,258,218
leuB,71,95,55,111,107,84
PA3119,24,37,24.33333333,37,42,34
leuD,28,35,34,36,50,45
leuC,105,113,92.25,118,127,115
PA3122,35,37,26,42,53,43
PA3123,33,66,62,65,78,74
PA3124,144,138,86,110,138,108
PA3125,30,34,31,27,27,20
ibpA,497,345,234,108,126,107.0416667
PA3127,28,39,31,53,68,58.5
PA3128,11,12.04545455,19,32,39,24
PA3129,67,72,53,68,65,57
PA3130,18,25,20,21,28,20
PA3131,80,122,71,147,169,143
PA3132,27.5,21,19,23,24.33333333,34
PA3133,34,38,21,23,37,23
PA3133.1,955,1332.5,1221.366667,539.1666667,725,596.3333333
PA3133.2,907,724.5,1352.5,717,807.5,572.5
PA3133.3,649,945,854.3666667,719.1666667,937.5,646.3333333
PA3133.4,1284,1304.5,1990.5,1355,1500.5,1050.5
gltX,357,327,198,262,290,269
PA3135,134,157,109,141,154,171
PA3136,51,65,40,18,25,15
PA3137,61,56,30,44.09090909,40,46
uvrB,211,221,158.3333333,247,264,200
PA3139,563,576,385,259,354,300
PA3139.1,135,135.5,155,120.45,154,116.5
PA3140,65,43,46,58,50,58
wbpM,1007,1071,734,1059,1387,1178
PA3142,320,316.5,243,168,214.5,176
PA3143,676,641.5,460,394,530.5,478
PA3144,153,189,110,97,114,117
wbpL,694,676,513,779,1061,1019
wbpK,426,317,216,308.5,457,463
wbpJ,580,354,272,461,683,695
wbpI,427,174,126,243,468,464
wbpH,428,116,120,214,403,370
wbpG,424.5,169,139,335,566,533.5
hisF2,338,134,109,216,442,423
hisH2,206,104,99,154,310,326
wzx,544,307,285,350,659,630
wzy,708,318,283,378,712,694
wbpE,513,381,261,458,681,675
wbpD,533,387,262,544,722,718
PA3157,1575,1843,1341,935,1386,1332
wbpB,637,420,352,366,577,539
wbpA,1727,1398,1047,1078,1528,1354
wzz,3160,1521,1023,630,655,588
himD,343,445,357,195,230,173
rpsA,6283,3801,2361,1038,1376,1300
cmk,147,69,59,58,83,87
hisC2,250,200,129.3333333,149,246,223
pheA,278,174,121,125,190,153
serC,356,197,142,119,197,156
gyrA,1381,1031,732,601,783,641
PA3169,359,310,254,276,327,285
PA3170,183,189,112,99,135,109
ubiG,215,389,332,216,257,277
PA3172,58,47,41,38,49,44
PA3173,57,64,46.125,37,55,66
hutR,49,71,43,38,45,30
hutE,7,9,6,3,3,11
gltS,13,21,14,10,22,20
PA3177,210,152,124,49,57,37
PA3178,63,50,44,44,45,41
PA3179,199,175,137,175,163,157
PA3180,51,64,49,37,40,41
PA3181,114,46,32,46,58,28
pgl,106,59,33,43,54,34
zwf,870,477,320,411,563,289
PA3184,59,52,35,54,80,47
PA3185,373,404,327.3333333,256,316,307.3333333
oprB,204.5,203.5,168.5,519.5,991.0714286,544
PA3187,44,134,110,184,441.2,280.2
PA3188,61,99,135,198,501,329
PA3189,55,137,164,181,454,333
PA3190,718,1147,921,1339,2405,1912
gtrS,51,61,42,84,120,98
gltR,32,36,22,31,59,36.14285714
glk,80,67,63,62,118,63
edd,290,277,162,295,432,266
gapA,212,207,143,269,343.5,247
PA3196,47,35,24,18,18,23
PA3197,105,95,86,94,129,100
PA3198,57,54,32,35,58,57
PA3199,55,58,46,58,80,50
PA3200,146,158,87,127,166,123
PA3201,267,271,191,275.0769231,365,317
PA3202,32,38,23,31,42,32
PA3203,52,52,46,32,49,47
cpxR,50,52,29,41,50,52
PA3205,400,49,34,31,47,49
PA3206,149,95,75,39,53,42
PA3207,7,9,4,4,4,2
PA3208,42,51,50,53,78,55
PA3209,44,49,29,55,59,55
trkH,173,188,129,190,211,213
PA3211,75,85,52,132,199,142
PA3212,25,27,15,23,54,36
PA3213,31,58,19,84,85,85
PA3214,10,9,11,13,26,28
PA3215,43,47,31,40,43,34
PA3216,45,40,40,36,34,40
cyaB,129.1111111,137,87.11111111,134,143,116
PA3218,5,3,1,6,4,2
