Name,B_1,B_2,B_3,P_1,P_2,P_3
cttP,133,158,80,184,183,165
PA0181,17,12,10,20,18,16
PA0182,15,15,16,24,21,21
atsA,16,21,7,18,21,26
PA0184,3,5,2,5,6,11
PA0185,24,25.14285714,11,29,39,34
PA0186,81,98,63,103,98,107
PA0187,35,36,25,48,49,49
PA0188,18,20,18,36,27,19
PA0189,7,12,7,14,8,15
PA0190,6,10,11,7,6,13
PA0191,20,40,19,60,47,59
PA0192,9,15,6,27,24,22
PA0193,2,4,3,8,7,2
PA0194,7,9,6,18,9,10
pntAA,33,82,76,35,42,36
pntAB,32,45,42,39,26,22
pntB,50,121,95,72,70,92
tonB2,9,7,7,8,2,9
exbB1,25,28,23,27,27,26
exbD1,18,9,19,9,20,17
PA0200,49,78,77,160,180,145
PA0201,63,90,67,134,85,98
PA0202,10,9,6,10,7,8
PA0203,14,15,4,19,17,23
PA0204,15,31,6,22,15,17
PA0205,12,13,4,14,14,12
PA0206,34,24,12,27,25,24
PA0207,35,57,47,42,44,44
mdcA,34,40,41,35.33333333,39,37
PA0209,5,7,4,1,4,4
mdcC,2,2,3,0,0,1
mdcD,8,8,16,7,7,5
mdcE,6,12,3,5,3,4
PA0213,10,5,5,4,1,3
PA0214,11,8,5,6,5,4
PA0215,58,53,38,64,66,56
PA0216,50,41,34,43,51,29
PA0217,24,20,6,25,26,20
PA0218,62,113.5,57,56,61,55
PA0219,15,37,12,36,37,34
PA0220,38,39,29,48,64,39
PA0221,14,21,4,30,28,30
PA0222,11,21,20,34,40,48
PA0223,49,65,50.125,69,63,49
PA0224,53,88,58,39,30,39
PA0225,26,14,18,38.33333333,53,46
PA0226,18,17,17,15,17,14
PA0227,3,15,6,16,16,12
pcaF,9,15,23,13,9,14
pcaT,39,52,45,45,60,45
pcaB,6,11,11,13,16,12
pcaD,3,4,7,12,14,12
pcaC,7,10,10,17,16,24
PA0233,18,24,25,47,61,45
PA0234,36,45,30,61,57,49
pcaK,10,14,18,6,16,17
PA0236,19,22,23,34,40,47
PA0237,6,8,7,34,24,20
PA0238,5,7,3,8,11,6
PA0239,32,70,36,54,85,77
PA0240,4,13,5,11,9,5
PA0241,12,20,25,35,35,28
PA0242,19,29,26,47,42,31
PA0243,73,53,31,71,71,66
PA0244,2,4,3,5,10,5
aroQ2,28,64,56,9,9,6
PA0246,49,38,27,49,35,39
pobA,26,33,23,24,39,23
PA0248,95.5,105.6666667,85.5,115,123,125
PA0249,78,192,193,145,181,128
PA0250,113,434,298,506,570,352
PA0251,18,29,27,40,44,30
PA0252,26,40,29,21,29,13
hudR,23,34,27,43,56,46
hudA,12,22,17,19,19,23
PA0255,41,68.14285714,56,119,104,81
PA0256,135,104,88,143,166,168
PA0257,80.33333333,90,68,127,141,128
PA0258,71,74,65,88,78,75
tli3,214.2,235.3333333,188,291,294,283
tle3,138,166,134.3333333,197,227,203
PA0261,21,31,14,37,57,56
vgrG2b,145.5,154.5,104,226,276.8333333,219
hcpC,23.83333333,32.16666667,16.83333333,78.57692308,87.5,60.16666667
PA0263.1,205.5,260,228,212,251,190
PA0264,19,13,22,35,18,22
davD,201,211,119,96,139,143
davT,204,141,110,93,95,77
PA0267,24,16,15,27,37,32
PA0268,13,17,8,19,21,16
PA0269,17,43,34,33,20,26
PA0270,18,51,43,41,52.07692308,44
PA0271,8,22,16,16,17,7
PA0272,58,67,52,74,68,54
PA0273,6,3,1,7,6,4
PA0274,14,20,22,16,20,15
PA0275,78,160,99,124,134,107
PA0276,18,23,19,22,15,15
PA0277,23,27,17,33,27,19
PA0278,0,9,9,7,11,12
PA0279,7,15,12,24,20,18
cysA,23,7,12,139,21,19
cysW,9,12,6,85,12,15
cysT,22,13.14285714,10,40,28,20
sbp,18,26,19,37,44,21
PA0284,20,18,8,34,34,22
PA0285,105.5,125,92,132,143,115
desA,1373,1168,748.5,754,744,694
gpuP,41,46,31,49,29,41
gpuA,10,7,6,10.5,8,8
gpuR,24,50,42.5,49,47,43
PA0290,66,98,60,65,71,69
oprE,173,134,82,389,253,194
aguA,46,62,28,57,64,52
aguB,23,33,16,36,47,47
aguR,11,20,14,32,38,30.25
PA0295,34,44,53,76,103,77
spuI,362.5,442.5,359,385,630.8333333,571.5
prrF2,1446.5,2933.5,3191.833333,104,135.5,75
spuA,320,262,195,173,287,239
spuB,183,225,142,149,222,176
spuC,225,306,233,254.5,379,282
spuD,172,284,196,319,407,360
spuE,71,121,105,145,250,160
spuF,69,108.3333333,83,141,166,125
spuG,76,103,81,95,161,126.5
spuH,90.07142857,114,93,134,202,137.5
hacB,76,55,44,68,80,52
PA0306,22,25,13,27,26,27
PA0306.1,79,77,57,173,244,260
PA0307,23,43,32,70,82,73
PA0308,62,63,42,70,80.07692308,75
PA0309,69,54,40,57,40,55
PA0310,196,339,330,128,124,132
PA0311,0,5,6,6,6,13
PA0312,67,84,47,91,110,91
PA0313,55,45,48,56,73,59
PA0314,91,95,64,114,126,121
PA0315,156,199,183,153,196,153
serA,348,299,192,194,229,184
PA0317,473.3333333,402,298,324,436,338
PA0318,105,139,88,104,113,77
PA0319,162,200,119,180,182,128
carO,36,26,17,10,19,13
PA0321,14,21,7,27,34,15
PA0322,20,19,20,41,37.07692308,34
PA0323,57,62,58.2,81,87,68
PA0324,27,23,28,42,43,26
PA0325,46,63,49,97,85,78
PA0326,26,14,14,5,14,12
carP,56,45,52,98,103,103
aaaA,75.25,67,38,54.25,57,70
PA0329,345,358,240,301,343,340
rpiA,134,152,111,128,118,130
ilvA1,88,51,55,126,116,108
PA0332,47,48,27,34,43,33
PA0333,36,38,34,44,55,45
PA0334,15,19,23,26,33,21
PA0335,38,25,25,50,71,66
ygdP,253,311,250,453,510,415
ptsP,189,301,241,287,400,332
PA0338,215,177,138,148,158,139
PA0339,13,18,15,35,24,23
PA0340,134,128,109,153,144,117
lgt,72,74,37,107,116,108
