,FPKM of control,FPKM of Ag NP-1ppm,FPKM of Ag NP-20ppm,FPKM of Ag NP-25ppm-1,FPKM of Ag NP-25ppm-2,FPKM of Ag NR-1ppm,FPKM of Ag NR-30ppm,FPKM of Ag NR-300ppm
dnaA,75.0932,226.398286,374.6951508,122.672,155.432,103.7653848,79.0500014,96.32181535
dnaN,72.0999,294.6784353,396.6611731,141.046,175.411,110.5497633,78.80335252,104.4600915
PA0011,59.0477,117.7977454,197.4441451,134.388,157.488,77.49285189,62.14865526,71.4868844
PA0099,39.6774,47.69365676,38.21435479,77.019,84.5272,43.31601321,36.06904217,42.65292399
PA0981,104.444,53.76278939,89.76265352,87.3144,126.487,103.1441541,108.2854406,109.6005451
PA0982,82.7643,42.44240352,70.85208277,47.767,49.8865,75.93830974,83.36283089,79.57591011
PA0983,50.4073,38.52738703,94.96750198,44.2213,46.332,38.81095217,43.11782614,38.5777835
PA0984,52.7744,23.82875479,51.5754077,25.7433,36.0185,37.25225329,34.04976868,36.60425476
pyoS5,62.2347,65.8105004,307.794821,48.8258,64.5987,82.58725622,66.24386132,77.75788986
PA0986,65.4364,29.18332405,74.34072924,60.7233,77.5909,62.80801978,64.62263158,65.80706598
PA0987,32.9371,18.30658075,25.02140123,29.2834,30.6791,26.47729621,33.25612994,27.42293905
PA0988,86.1904,60.71586994,100.1082885,51.3439,62.2619,66.30433647,84.98382111,64.48741897
PA0989,27.3054,20.97159682,16.29335608,21.1327,27.4129,31.16741571,27.71343175,26.02828305
PA0990,100.897,54.01108532,45.79746149,67.5136,79.3624,84.17261681,88.78959802,81.59843161
PA0100,62.8559,87.91126966,59.01641596,114.52,127.993,64.56643865,57.79656381,62.34712702
cupC1,31.4456,24.09395425,53.65782582,29.4825,28.3862,36.55085921,26.97145352,27.84045245
cupC2,38.2008,20.18066867,14.01930122,31.8222,43.4211,39.80192401,35.13903035,38.16960614
cupC3,47.0925,29.9182349,18.59115162,38.3456,47.4592,49.03924248,45.64424152,40.50877048
ogt,25.3105,30.13416507,68.01043973,16.9705,20.8665,23.757514,21.00558898,28.70819015
pqsA,36.9152,23.6406932,5.672582829,26.918,34.8888,39.68713931,28.04451135,23.7893928
pqsB,30.9898,19.81669053,5.664186681,26.4889,27.5462,38.22951979,29.64091684,23.20841142
pqsC,27.0955,16.73108738,5.863676893,20.2591,27.3296,29.29460242,23.55208668,18.66105463
pqsD,26.7937,18.2887346,11.2508958,21.0246,29.4084,26.98366372,23.57578,20.70255135
pqsE,35.6514,23.23892747,9.235457877,28.0822,37.3747,38.01298364,32.67880654,26.02313977
phnA,27.1031,20.41918462,11.25023518,23.9634,22.5474,24.17914567,24.11282993,23.29101452
PA0101,45.8366,35.26656138,28.5239077,84.1398,69.6739,40.57490261,44.2899892,52.91142143
phnB,43.5946,28.05515222,17.2461639,43.2682,33.3415,40.0599611,37.04485645,39.47998495
mvfR,30.6965,31.5997424,50.64787636,27.1308,30.2886,36.92927828,35.64830796,37.15772411
nadA,42.4127,68.46201129,103.6568762,40.1409,40.9943,47.0752873,41.24394379,48.5694708
PA1005,41.5925,61.80509016,132.2557572,35.7212,38.911,45.93366765,46.38924789,42.83955528
PA1006,47.1368,67.84419856,76.65184892,45.2816,36.8656,54.48791862,58.12153341,46.97568981
PA1007,38.8043,42.00716274,40.46695205,41.4696,37.3528,38.44796661,35.23912529,37.36642277
bcp,49.1383,175.6260528,484.8670008,66.0145,73.7086,67.67584145,63.72134626,62.94015157
PA1009,66.5445,100.9586753,83.71581795,55.5082,73.1255,79.5505298,70.73685382,85.36891869
dapA,92.2814,213.7511482,277.5630922,84.1966,95.0287,120.8374266,113.8798618,127.1766441
PA1011,60.9017,141.5181762,158.6352704,67.3334,75.9829,85.41255333,78.68711986,92.46258725
PA0102,58.7343,188.2083887,199.450971,121.928,110.273,64.53285942,51.49938707,64.46707899
PA1012,39.4391,73.23410794,95.63388352,30.6685,38.7077,46.9330778,42.22178738,48.71220458
purC,45.84,118.6524518,302.5629661,57.8002,64.0412,67.95779698,63.72952896,72.66275509
PA1013.1,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!
PA1014,65.5772,78.19246955,88.40027679,68.9423,64.7202,70.63483644,59.16855599,71.47901381
PA1015,42.6391,63.29546858,64.34350607,43.6128,42.9468,45.33316383,42.92140665,51.13889783
PA1016,18.3849,32.28359714,38.69604184,22.7651,23.4048,16.0463943,20.60297873,18.98838639
pauA,28.1316,26.35607109,10.15395336,28.7029,26.8498,24.89288928,26.05829339,27.85808853
PA1018,23.6922,16.25070264,9.983499411,22.1677,22.9529,17.55442556,20.16163198,22.43164011
mucK,32.5309,23.11276812,12.28858673,32.1779,32.0632,31.7738107,32.10510221,29.75849002
PA1019a,23.5805,15.53699224,7.180814253,17.1741,13.1063,13.8334854,15.7694955,21.69954246
PA0103,50.4451,63.14055731,34.86598184,95.5212,89.8123,46.42016386,44.42008024,45.1839669
PA1020,36.5715,26.17721047,11.87114388,36.6506,27.4102,31.8809891,36.02847716,36.85485883
PA1021,49.9601,33.31959867,12.15158964,50.4269,38.6608,40.72541237,48.34616401,45.45380743
PA1022,29.4026,25.12179328,16.76923195,27.618,26.2734,28.63349617,28.00475113,27.37534527
PA1023,36.2181,38.69338189,16.78813588,35.795,40.8264,39.69008229,34.98474152,33.73740822
PA1024,24.8077,19.68675789,9.158697294,22.29,23.5384,21.28464551,20.17382603,21.65695158
PA1025,26.7621,15.40846733,8.733453174,23.9301,26.286,23.0350851,24.41489933,23.75625521
PA1026,19.5423,16.40336773,110.2326239,36.0665,30.369,13.61203381,19.47693005,18.02739708
PA1027,36.5435,40.04223515,36.31238633,42.274,38.4705,29.45675869,32.58797151,36.21396057
PA1028,29.7582,26.18096417,13.97795841,28.6182,30.5707,29.06765627,28.11612615,28.80948708
PA1029,92.137,188.7078733,1360.181569,238.265,252.89,81.84150611,58.85919452,89.32345029
PA0103a,54.2801,93.148201,73.64619848,87.0601,94.9944,60.3850491,52.39048879,50.48438265
PA1030,78.8327,117.8149946,443.0861328,127.359,122.936,94.97927117,69.09477396,81.74269971
PA1030.1,1749.23,0,0,0,0,0,0,0
PA1031,44.0186,50.03623585,94.73267673,40.6778,43.9849,44.78709889,41.49262559,38.00176184
quiP,34.8835,30.65215897,38.36299156,28.3198,31.9884,33.07529634,30.85358962,31.99719959
PA1033,40.442,50.76217886,129.7218887,44.374,47.5792,48.32289211,40.71283063,38.54152975
PA1034,66.4794,126.6008558,266.0022086,39.1398,49.4305,90.76435227,72.28109944,49.45594748
PA1035,57.5544,67.1878655,89.96198679,52.6431,52.18,61.93411405,55.93893453,54.56397713
PA1036,38.5599,37.20569888,57.54925456,41.8586,43.9091,35.5944652,36.59930924,41.63885057
PA1037,35.1317,26.0792311,27.83960868,33.0259,33.1994,32.59752572,34.07583295,31.07633315
PA1038,25.8923,14.63182732,10.01078381,14.6682,16.7804,20.07204214,19.40247872,10.39815153
coxB,42.3339,174.7643651,80.47909932,75.3502,87.1206,47.41306226,44.56957454,54.02346948
PA1039,35.5565,26.23406589,22.29531928,39.7946,29.1038,24.59907238,37.13345852,36.35978418
PA1040,44.2128,36.20742567,23.78738473,33.2433,25.6922,38.66383735,33.70438521,40.94276376
PA1041,109.454,109.6708783,70.07171788,41.0185,52.8143,93.57930244,77.75697711,76.38070892
PA1042,62.4898,65.91456157,47.08930598,53.8422,47.4398,58.01303206,49.22530249,52.61705064
PA1043,35.9252,36.12714176,26.63374377,26.2558,27.6822,31.01388342,34.23688553,35.27256903
PA1044,27.532,39.43057311,73.84320531,31.2726,33.3078,27.15302253,32.20455394,29.94089207
PA1045,42.512,69.91288942,81.26543393,37.6726,43.1998,46.89032349,48.16000112,49.40513135
PA1046,29.0101,25.47551796,30.70171227,27.3123,23.7631,27.91292508,31.71934373,31.05678208
PA1047,39.1697,32.4815957,32.83400954,32.0373,27.5707,40.29721017,38.98328044,41.64168086
PA1048,68.4932,203.9900095,280.7247629,92.4399,103.96,86.66009248,92.58077879,91.54953608
coxA,50.6347,111.9129287,52.14033987,103.22,116.506,53.11797599,47.62453077,52.53517313
pdxH,54.7252,76.50513224,161.0027666,58.9845,58.5452,56.5418687,64.7229096,74.36990006
PA1050,47.8328,43.13459858,56.01626547,51.6895,43.9341,45.49515453,54.86412257,57.40931066
PA1051,24.7505,23.28468441,28.44276746,24.601,25.4618,24.9926656,25.04708879,23.98999712
PA1052,44.0269,26.86375777,18.21474682,44.6307,33.4985,37.1511296,51.32759717,46.50236262
PA1052a,33.3686,37.96451515,98.87584624,31.8037,30.3299,32.57503757,40.3983959,47.4773612
PA1053,150.885,431.6052807,911.0702005,309.414,285.728,196.8575506,214.2514636,214.2616666
PA1054,35.3037,35.10665754,54.41391481,37.1748,37.8051,35.97151324,33.11214274,36.2608637
PA1055,28.9113,26.00978611,32.65681076,25.356,33.3883,18.3042414,26.739803,28.33944173
PA1056,29.6089,24.3044152,24.05147477,25.485,23.1255,26.17788918,28.89407959,29.87291431
PA1057,37.6668,36.29765871,37.41638077,39.8957,37.3325,39.16862178,36.78545273,34.93734068
PA0107,54.0356,101.9119845,38.76936046,92.9281,107.013,54.2914201,45.3548167,52.53254653
PA1058,24.6973,21.15197574,14.36441136,19.0533,14.8343,27.40389723,22.46698252,16.55981316
PA1059,22.6174,29.13116914,21.59127993,16.7572,22.7599,28.13284196,24.5581886,22.57026063
PA1060,39.2858,28.33338646,16.37097615,27.9505,33.3613,39.19825066,35.07100278,35.81213536
PA1061,29.2548,18.91956021,12.30102473,21.9579,23.5168,29.09543076,25.13300722,21.79591386
PA1062,39.9582,24.05043909,7.956972991,22.2485,26.5574,33.03868958,33.23409334,30.21735131
PA1063,21.4153,16.36985489,15.01005934,20.3293,13.0813,18.19308331,21.98271938,21.5764968
PA1064,34.7404,42.77767388,50.69482344,30.6418,36.2892,38.92798857,35.23165297,37.32242791
PA1065,31.2207,24.80755014,14.71920205,23.0877,31.6346,29.3008329,30.08441419,22.80820315
PA1066,21.1534,22.10910107,18.52652296,18.2807,22.3488,22.40717873,24.37744801,23.20714507
PA1067,28.6511,17.17017905,5.387980862,27.9986,22.7893,20.60572323,26.87088864,31.48111258
coIII,50.4638,100.5650609,77.20957425,94.1115,98.5588,56.06644276,44.20179229,52.25857885
PA1068,36.2655,32.1803034,36.93612641,31.3406,35.1863,35.17143767,36.74128173,39.43411099
PA1069,34.995,34.52826458,36.23347463,32.1986,32.3318,38.74518656,34.95487689,35.72953557
braG,23.5423,25.87849858,25.82256264,21.0475,20.5529,23.31465446,19.51612177,27.57702497
braF,33.5746,27.14987807,22.39623117,30.3605,37.0134,38.39335571,33.2460498,31.29379546
braE,29.937,29.61879204,25.64136417,25.644,32.0272,31.87656567,28.6299398,29.35642909
braD,41.9146,38.14139817,24.83459996,38.4031,44.2835,45.05851045,41.39869531,38.56030972
braC,58.4372,157.2983844,288.9251508,72.1604,107.905,71.68403932,77.32048366,85.5949159
PA1075,47.1468,44.54055797,79.37004996,21.0296,30.8759,42.72793804,42.6238606,31.92858702
PA1076,62.1969,144.2390694,262.0018576,48.8714,54.6009,65.79005578,71.31777343,83.29202418
flgB,42.2755,98.75228818,308.3264628,33.4256,52.4251,45.74376524,48.57983444,41.74886536
PA0012,26.2019,51.1794825,35.69026927,55.6784,60.0592,37.66547432,31.52815359,27.043522
PA0109,140.442,277.4581482,60.83470077,253.219,181.023,114.4909112,134.4099297,135.7515962
flgC,35.5602,48.50181664,60.44064238,26.6613,27.1439,33.76323248,35.44017073,34.36917017
flgD,47.955,61.09210068,63.4965164,39.8238,42.0481,52.81247594,46.95243275,56.52083882
flgE,49.2546,48.97474975,80.19165278,43.4451,66.7683,48.74900977,47.35062581,47.23135863
flgF,34.1516,40.63154485,64.30103054,31.0578,36.443,38.29623724,34.09881099,35.19720385
flgG,47.8976,101.7690916,185.6269428,55.086,65.7481,57.858499,48.91019759,54.57524537
flgH,41.3449,69.52705483,121.2266993,46.5646,48.8833,49.20384222,50.40947185,52.67294306
flgI,28.8248,48.24462894,53.78997734,29.5829,33.5459,37.50505585,33.18461805,37.02388598
flgJ,33.8472,50.12219484,57.27011429,33.3381,34.4412,37.7295339,36.08066585,42.57782946
flgK,31.0149,56.87287803,89.05586536,33.9526,38.7228,32.99793772,33.22881096,36.22278083
flgL,49.0522,66.83110569,145.2446641,44.7152,53.9555,49.37906256,49.58816652,48.4757242
PA0110,61.5307,62.522485,18.87947312,127.947,107.546,50.02189018,55.26682399,61.03883082
PA1088,43.7325,53.3375281,47.205456,21.5008,28.2884,45.27010169,42.46437141,42.38236305
PA1089,32.9451,48.55270505,29.59937058,24.8533,24.6248,37.44520733,30.81848814,33.1090853
PA1090,24.4992,32.04523751,27.60023122,22.359,23.7762,25.81347671,24.65782204,23.03283267
fgtA,37.7043,47.64452129,34.23619036,34.7959,34.6395,39.11502862,42.30503301,44.14739796
fliC,440.293,1107.555506,4904.933581,850.032,958.457,600.3187767,559.4075441,598.387314
PA1093,122.986,206.3030284,682.4977988,106.47,136.721,143.2676015,147.1330045,140.0346169
fliD,123.376,281.909936,877.8837448,163.343,200.113,163.5872386,142.4887478,153.0909739
PA1095,155.345,358.6515216,1281.12352,100.199,129.689,162.8735422,172.744116,144.8428053
PA1096,156.86,744.0167384,3759.039926,226.408,221.65,200.3839679,154.6039267,173.7212606
fleQ,48.331,112.7558036,230.0675529,61.1398,63.6442,61.50150431,61.93570777,65.07508386
PA0111,44.2807,55.68049421,11.3067243,83.5657,74.965,39.81595095,34.09259423,32.86464874
fleS,38.5642,100.6541465,128.1360258,57.6997,56.0656,54.52115628,48.55713424,55.45858327
fleR,35.9217,72.37956083,105.9014418,51.5457,48.5316,43.83526511,42.43982718,46.8480798
fliE,63.7314,117.223036,173.7877949,42.4852,57.0163,64.15912114,61.13750874,54.61479027
fliF,39.5741,67.05655866,92.66371026,34.7074,37.7986,45.16567435,43.61709455,43.38235495
fliG,63.9282,149.3819614,182.5048878,47.2722,57.626,79.90089441,71.86671217,89.18463178
PA1103,52.4049,96.02161957,68.07889799,39.2662,30.1477,55.19558968,64.8554841,64.8274625
fliI,38.1994,53.04535536,42.04883969,34.1839,34.6006,40.05314993,41.11903547,45.4148519
fliJ,36.0303,56.85691727,50.46405487,33.4172,32.1257,41.69386736,33.26521203,41.39885452
PA1106,50.3664,70.95990827,102.9692561,46.9424,56.4646,54.1612732,52.05352564,50.53334812
PA1107,35.6244,26.66894979,20.37889327,26.4487,26.3638,33.14640332,32.71828597,31.61896512
PA0112,38.1645,46.22197975,19.03483504,89.1311,66.5854,35.10511389,34.77919522,39.48283079
PA1108,36.7891,17.02236278,15.18692093,33.0151,23.7227,31.46734922,37.12513058,39.26577871
PA1109,26.4238,17.98430112,24.93806121,22.3761,18.7378,22.67818342,28.10132078,30.85663695
PA1110,38.0548,30.5020566,25.96906774,21.3853,21.4046,39.6613677,33.06398008,31.07182902
PA1111,30.3042,25.37133885,25.39526258,28.1122,24.6752,29.81295666,33.18532319,28.77666499
PA1112,39.9329,33.61786919,56.51995803,35.0355,37.5091,39.81691673,39.73942525,40.12433255
PA1112a,106.045,142.3057766,412.5693103,88.3005,83.6204,106.5065124,115.7765663,132.3314455
PA1112.1,271.162,512.5869589,1335.902893,196.525,246.73,337.6012446,420.8122372,530.0007913
PA1112b,2.94884,26.11705803,54.99321601,29.3423,25.2886,0,1.551132132,0
PA1113,29.9425,23.61657764,23.13973776,27.1355,25.4521,25.48551817,30.38461977,29.13207047
PA1114,39.6314,35.57631071,73.62777908,32.0228,24.4643,41.30737214,33.19205725,30.56016487
PA0113,45.5475,58.44801459,44.00125519,99.6139,86.5747,45.13585332,41.86195153,48.3312483
PA1115,36.8606,38.43777775,40.26114693,29.5739,31.3316,38.25836432,37.42657453,37.29783685
PA1116,37.7524,43.36065201,52.37205722,31.8588,34.8295,39.62671476,37.48343948,39.76483432
PA1117,38.946,41.10928827,62.69484901,33.2923,41.6819,43.88972122,37.4480148,45.50018635
PA1118,49.9195,44.87227295,70.92463846,31.208,41.6994,47.84225765,54.66830577,48.7900751
yfiB,38.9574,35.74366095,47.04580699,26.9891,27.2385,38.25648796,42.20694566,38.7645735
tpbB,35.1483,22.54764138,12.06375196,20.7723,22.8571,31.1436782,34.1096911,29.35131598
yfiR,33.707,25.29835303,24.83998551,18.3104,18.7998,33.2504991,30.00641559,28.12217576
PA1122,83.369,62.45191811,84.43058603,63.4627,71.6819,90.78069555,81.20626294,75.16093562
PA1123,89.624,72.26272566,179.912096,43.0406,55.8974,150.7869784,123.8730986,106.3606446
dgt,30.6294,26.09503476,40.75657898,19.8691,23.7273,32.33068763,28.6029282,27.76968127
senC,95.3516,180.1259971,463.7075133,192.432,189.455,115.8612514,95.10423158,90.84942772
PA1125,38.3635,29.36847365,27.99703609,38.2673,31.2978,37.55489941,41.36108941,43.29709892
PA1126,51.203,116.7304845,117.0168925,36.202,43.645,67.15600356,68.50517172,65.7081263
PA1127,112.447,388.6004223,578.9751643,171.494,200.389,174.6269725,136.9723129,157.0176654
PA1128,27.4192,20.80233817,27.08019712,23.2394,26.74,27.80897927,25.91118395,26.56372507
PA1129,28.9598,11.05596926,18.75622549,19.0401,22.1169,26.32070326,31.46026236,28.89645409
rhlC,54.7215,27.25942053,18.29346099,32.1399,28.9344,53.07750941,64.28100769,54.01127363
PA1131,53.1875,22.09588703,8.075481531,34.3067,29.503,42.67657908,51.45481127,47.95365287
PA1132,24.5856,20.72945469,40.7703915,25.6507,25.1859,28.4656946,27.94651635,27.2098973
PA1133,21.695,13.02942719,15.82652859,9.72915,12.5481,20.42047579,21.37188931,16.66546493
PA1134,22.9213,8.737092147,10.32553019,14.8053,15.1757,19.00576985,18.88501039,15.11464464
PA0115,61.6665,86.19491913,88.69719639,95.9618,81.5435,53.74869149,42.27071656,47.25260782
PA1135,35.7827,30.31988665,24.18178569,26.4567,37.4452,38.30451834,37.68879962,35.65975456
PA1136,22.8735,16.93484051,15.05495795,19.7255,19.9079,21.48472092,22.57410664,21.15026094
PA1137,33.566,17.09732464,17.59539021,27.0778,29.6201,27.02062179,27.76684303,32.59454616
PA1138,22.8197,17.56275196,9.453437256,20.9205,18.4608,18.71654789,24.02067421,23.4887995
PA1139,33.304,20.96130313,25.43818008,31.6113,24.2643,27.58244077,33.68576498,37.34751816
PA1140,26.9654,29.73175917,27.91810204,21.2649,26.7993,27.89274993,23.41679535,27.88727316
PA1141,19.5335,12.61155918,8.512280952,19.0025,13.4765,16.24465718,18.21275223,19.22025508
PA1142,23.6255,19.4631122,17.13747156,21.2055,16.5524,22.44362434,28.01116806,26.51546116
PA1143,26.402,12.91625053,1.541110868,20.4025,18.8094,20.26335869,27.83682478,28.59027293
PA1144,28.1512,15.84354139,7.840183857,24.5412,21.9251,28.17842411,29.77372036,26.74207595
PA0116,33.6358,55.12225201,78.43517177,56.8656,59.7894,31.21251306,38.05809355,30.73190154
PA1145,29.1389,19.54391201,9.988172121,16.3864,21.915,23.14710155,24.5979328,26.18655802
PA1146,31.0315,14.48280057,6.888677279,25.8059,23.2374,23.40866519,33.91194174,29.08258817
PA1147,31.5522,20.91761781,6.970018114,29.1636,24.3881,25.49609348,32.09998184,35.14227753
toxA,27.8602,13.38575336,6.121701892,22.5248,23.9119,24.84878168,26.13652322,25.47989043
PA1149,16.1649,8.544251368,15.60829932,12.8828,7.90765,9.903527043,12.66484693,14.60721633
pys2,64.7506,90.16326367,268.9416882,53.2479,63.4585,82.35969612,70.68057245,82.77705119
imm2,252.029,394.1898602,2833.876825,169.283,207.608,269.3409611,261.9110401,235.5049651
PA1153,43.9319,27.2155405,68.05581709,43.2337,38.7121,33.00490734,39.72432218,42.60006261
PA1154,44.412,35.81621383,58.67569559,43.1138,45.777,43.51498779,45.26852576,48.43564786
nrdB,683.498,1432.544663,6548.728143,1165.7,1300.41,1820.344544,1140.856381,1764.551914
PA0117,50.6917,60.18284632,25.48321142,118.479,103.6,56.77814374,48.55905571,56.35738646
nrdA,240.891,1223.083796,4349.727628,565.717,582.095,553.6112944,389.4690264,603.2800726
PA1157,38.4874,51.91546866,52.07593141,41.0403,34.8688,40.34797479,37.74886301,49.86209727
PA1158,33.411,31.62327586,22.09584737,29.9699,25.3852,33.85920414,35.22147089,33.73147793
PA1159,119.349,403.3588852,224.562145,46.974,52.623,223.3056564,200.2666019,220.062816
PA1160,35.7235,42.06471072,61.35105544,34.5209,30.6861,54.01431089,56.67520358,54.63812977
rrmA,43.1919,29.3317574,12.34015348,30.6779,30.1493,36.17300127,44.13912956,43.10947155
dapE,37.0352,32.94820536,42.67897812,37.7538,36.7391,35.06667869,40.81136671,43.0380115
ndvB,28.9529,16.43157732,14.66576889,22.2141,24.1224,26.44845336,29.1235082,27.60233045
PA1164,31.8108,24.15554544,27.2071619,23.7365,24.6636,30.0380357,32.48099141,30.93266818
pcpS,36.6291,22.22863234,21.15854291,32.3014,28.6943,36.63298916,40.23413762,40.67061384
PA0118,29.3122,47.15114605,14.74547893,63.3563,75.7568,30.1926178,26.21702794,29.0205645
PA1166,29.7243,19.74550041,21.50702492,21.6859,22.2058,26.86325575,27.63389973,21.57519896
PA1167,26.9243,15.67771125,15.31755419,15.5262,17.5446,26.16254345,23.33727789,21.66709081
PA1168,86.2701,60.72710132,67.66864115,39.9621,55.2397,201.818163,255.1805055,293.9382084
PA1169,32.7629,22.94472453,12.59909735,20.5912,27.3783,42.94936448,42.59864702,46.99520177
PA1170,36.198,32.51644645,47.32042691,25.8006,28.047,38.21993287,41.45557023,43.00696831
PA1171,30.2496,21.3886471,29.65166062,28.2884,25.4732,28.560837,31.22454074,34.21531652
napC,48.9053,38.7784534,19.28509719,38.4078,62.8023,47.17799216,43.68241131,52.181349
napB,22.9352,15.92973488,14.57726851,24.7809,19.053,19.33763341,25.83715459,28.26027841
napA,34.4225,33.73541938,24.20960299,26.2322,31.5336,32.43341206,34.23514539,38.34490873
napD,48.7121,43.53224222,7.323552163,41.4111,24.17,38.03833805,56.37400034,52.80485012
PA0013,42.8038,80.5508071,119.4508804,108.299,124.685,50.32905905,42.4163399,47.28646909
PA0119,33.6761,60.92125468,55.03619068,75.852,67.6278,35.51524254,33.61532018,38.23763234
napF,52.6306,26.04829518,20.19189526,29.8193,27.6863,44.73975656,58.16188959,51.69016881
napE,123.824,131.4368608,40.04093156,33.8929,21.9471,134.3316511,111.4538409,91.03209232
oprH,173.686,644.1878988,2132.334982,355.517,424.069,249.1752736,225.2594047,285.8129896
phoP,52.8102,160.7254488,336.9680416,88.9085,80.5572,81.05171771,73.02423447,85.37054894
phoQ,38.0842,57.41338004,70.83264844,32.5129,32.2358,44.93214464,46.64801273,49.70486592
PA1181,35.9005,23.91781402,12.34543367,24.4056,26.4884,35.46145693,33.00058463,30.7270206
PA1182,29.6318,16.63451183,9.229650124,25.1025,25.8653,28.56703332,29.46501689,27.63016591
dctA,23.7317,19.00220837,15.17963065,23.0853,23.5956,25.83443556,25.25748233,32.80561605
PA1184,28.2245,19.5124173,4.333057882,23.6197,19.7295,30.26190764,30.67592151,29.56156557
PA1185,24.3624,18.01211388,13.70991526,16.3925,17.9978,18.62426483,23.10235061,16.9714871
PA0120,40.7434,49.34861084,39.87828913,70.4989,76.3777,38.98869938,36.559291,38.00130628
PA1186,30.9811,13.89455249,7.499369368,23.9771,20.9772,28.36628375,31.52242237,30.83915953
PA1187,32.4506,18.05657679,37.42661988,34.5199,36.5436,30.18719757,29.35550869,28.23229386
PA1188,28.4933,17.47622843,24.22160477,26.115,27.2158,25.18465992,30.44964345,31.02993362
PA1189,52.7015,23.64234272,24.82279831,42.7163,35.0348,45.7614335,44.22167334,43.66575221
PA1190,23.7491,63.81822304,39.26644307,20.0606,18.8783,24.0527136,28.03112955,29.80182685
PA1191,40.5054,29.34505275,19.24360695,25.4755,25.174,39.7025898,45.61225778,40.28042083
PA1192,46.3492,51.26725657,94.4343017,26.2231,30.8454,53.57154392,54.27036085,57.22616568
PA1193,36.2052,28.82487982,36.19895371,21.4025,26.1303,38.85475305,38.42930986,39.65472917
PA1194,25.9092,18.22212807,12.2272751,18.1774,20.6417,24.8199739,23.97878226,19.30089451
PA1195,27.8596,24.26862123,27.04741246,23.8403,29.8598,29.21121231,24.99853677,24.13961344
PA0121,44.0662,41.58924697,38.82754496,87.7958,68.6325,38.80624754,42.86208237,50.63711162
PA1196,29.8074,21.05206624,19.19694797,23.4171,20.4311,25.40962231,29.73990475,29.48814205
PA1197,27.0314,24.69007035,30.51288853,14.1684,15.4711,26.16757405,25.796765,27.32103241
PA1198,197.797,151.8930687,200.3531521,50.6351,47.7309,190.7662805,205.6116327,163.1344928
PA1199,55.3556,116.6695593,135.0510602,43.3956,44.7307,70.48840136,80.1673184,73.17014279
PA1200,21.9402,39.03367728,48.60435401,19.2432,20.5426,26.11914167,27.71478243,25.16405012
PA1201,39.1984,28.45890281,27.89003354,27.4637,30.3445,32.15978478,39.94067738,35.51673996
PA1202,50.3815,66.58269321,129.7311771,40.4761,51.9363,80.03985228,60.51342827,61.44092804
PA1203,32.2621,25.7268482,23.86905922,30.2653,24.1647,36.55080134,33.28591854,38.94418622
PA1204,32.1282,33.83849046,46.90101654,25.2109,29.348,37.40976934,30.61967496,33.29482997
PA1205,31.8103,40.35958773,38.39472745,30.7462,29.3735,36.51030607,39.17552226,39.98822428
PA0122,181.02,100.1947271,112.6236,119.358,120.452,157.5995458,149.4808259,133.5017054
PA1206,19.6631,17.32546684,21.87315486,14.7633,19.9298,22.31663411,18.22750464,18.42013863
kefB,33.1779,29.86377842,28.66724332,25.3266,25.1079,33.38350689,33.43657504,31.48802897
PA1208,29.5611,17.48967025,11.6851479,22.6424,28.6674,30.25613471,29.28737903,27.32656029
PA1209,26.2624,50.25540018,20.20610063,26.2608,25.2744,22.20375502,27.23751204,29.36548706
PA1210,19.8687,594.9688405,176.9617537,66.0211,132.706,21.50318585,21.01323015,20.18630155
PA1211,33.7988,12.72626018,4.715796011,24.5066,23.8079,27.03062213,34.04081383,34.78889983
PA1212,29.4474,15.7158431,6.708485458,22.2728,25.1799,27.35762634,28.35685316,28.02032639
PA1213,29.0165,12.43040228,8.221289614,19.3811,20.2864,23.31153524,28.80364404,24.67646766
PA1214,31.5386,12.1925323,3.822445044,23.009,19.7799,22.76482268,27.04930985,26.47213234
PA1215,30.9541,14.84822221,7.946768074,25.3423,21.8245,24.39405263,29.82538358,32.39398161
PA0123,40.2693,57.84359377,45.69562736,61.7553,72.0633,45.42269457,31.91885217,30.09201244
PA1216,41.8148,22.90351427,17.16790336,33.1384,41.8054,38.63641058,42.03394685,34.99441823
PA1217,36.4058,21.19110053,10.89510798,24.0664,29.6048,33.0614701,27.79677115,29.23174459
PA1218,40.4789,20.49779189,12.86798593,29.5066,32.5887,33.70778532,35.94855466,35.91449038
PA1219,31.6582,14.22408399,7.635667217,24.0944,15.8817,22.49023833,30.92059873,29.93226043
PA1220,27.5608,14.22024958,6.036653876,22.4555,16.8818,20.82970966,25.4858769,28.72603423
PA1221,34.6017,18.75381478,7.045067388,25.9238,27.1924,27.71833287,29.2107618,30.64714282
PA1222,26.7399,24.24419193,27.28125548,20.2848,19.9233,25.26409688,28.58131083,30.21740097
PA1223,32.095,13.4898298,17.93422866,26.6495,24.4926,19.55867791,32.16462039,30.18781765
PA1224,20.2408,16.27293882,13.80416547,16.1623,19.9565,18.55083291,18.14326593,19.41974308
PA1225,24.5703,11.90340711,9.997757929,19.1223,20.181,22.49011318,27.79655448,23.40445153
PA0124,57.0026,78.43401942,183.0684939,81.3909,85.1141,39.4798458,51.257091,34.03889907
PA1226,14.9939,13.25098459,10.64893781,8.98937,10.7397,14.60550088,18.26096102,19.63569267
