,FPKM of control,FPKM of Ag NP-1ppm,FPKM of Ag NP-20ppm,FPKM of Ag NP-25ppm-1,FPKM of Ag NP-25ppm-2,FPKM of Ag NR-1ppm,FPKM of Ag NR-30ppm,FPKM of Ag NR-300ppm
PA5196,44.46,52.49918533,40.68638538,67.3922,74.9679,39.31256859,40.06312524,38.4089209
rimK,28.4187,40.55934205,36.67035274,46.2275,49.0386,29.32807213,25.45290749,25.43925481
PA5198,34.6984,54.69141678,40.15282687,51.8056,62.5108,38.22517731,35.08773001,38.72100638
amgS,39.5915,58.92935693,66.84403483,76.6604,67.5237,44.64307875,41.75576427,45.56546618
amgR,40.7718,107.6846606,296.4821743,97.1856,104.677,44.01189611,39.69051832,51.66861345
PA5201,45.6645,111.8884507,150.279685,89.0398,99.1276,54.98388978,49.2554318,61.30081444
rsmY,35104.7,630.8048672,1233.563616,89.7618,97.767,33327.43938,30613.71191,22704.08843
PA5202,20.6804,44.30831473,50.24844877,33.9011,27.5835,27.42645304,21.86700681,19.53851283
gshA,52.0566,73.08290228,90.88610822,92.2295,89.616,56.30908859,54.80689922,57.10659601
argA,42.5183,69.18739807,63.71881993,63.4107,61.9333,48.25809722,41.18531029,46.4950755
PA5205,48.4297,69.18704396,86.0805245,80.9292,94.6837,50.46494336,41.9306911,49.8185242
argE,46.8388,92.12324518,103.8684532,72.7561,77.6179,54.18464604,44.9833612,47.03833614
PA5207,34.1649,57.87577101,40.26155673,57.4609,54.0196,39.02609246,32.5247835,37.8971795
PA5208,49.7828,135.2555014,213.7301608,62.3369,67.6533,56.48053801,54.13045905,57.64067854
PA5209,56.9177,103.648335,202.6790721,105.115,102.318,58.78423522,53.31980097,56.24180536
PA5210,67.147,77.19126213,103.0832994,82.1656,83.6376,74.95954009,58.95611056,58.34878093
PA5211,26.9684,24.57545218,19.54178433,47.8582,42.9895,21.06387425,26.54489757,30.55421276
PA0528,23.9248,30.86501261,27.41916574,40.0053,41.4528,25.41745861,22.28239109,25.10153521
PA5212,245.279,1229.310607,1664.59632,403.056,490.216,351.1134362,251.8738149,306.9139565
gcvP1,45.4215,88.40440289,76.11702819,66.5818,77.2623,49.42992761,37.26928054,41.01280375
gcvH1,71.303,260.3136587,467.5823921,141.616,181.517,92.02358162,71.84228167,90.92304883
gcvT1,51.3363,165.9712784,127.3264371,86.7694,89.0214,59.09551884,46.8576454,57.16570883
PA5216,46.4193,47.19313225,26.65669322,92.8195,71.1249,47.0629994,45.31684938,52.00804999
PA5217,47.3508,48.0001204,33.36131359,63.4602,71.228,49.18950911,38.68429237,40.56449214
PA5218,37.8988,38.19729196,32.09794009,75.5106,51.6476,30.64757947,36.08467164,39.54858935
PA5219,60.0765,57.00160701,33.46918106,104.53,88.7979,58.00227994,57.778175,54.30564417
PA5220,39.0074,41.35637094,45.35134085,64.2933,60.8478,37.12271357,35.12022702,33.4710249
PA5221,58.4993,123.2298773,103.7754982,112.857,95.9664,76.96711364,70.59760272,77.83179926
PA0529,70.8156,873.1961939,1253.564283,251.19,266.485,133.8373183,119.2438613,134.1457233
PA5222,38.7266,107.2775083,90.29931957,64.1265,72.6993,57.66144435,43.37866798,41.59913223
ubiH,61.9,191.8568409,256.8152405,125.664,108.354,101.1968778,75.50736056,85.16180675
pepP,105.906,310.6561502,685.4830513,219.637,196.152,164.2450469,120.3689789,127.5158951
PA5225,67.8363,166.8110635,260.2239365,107.862,98.876,94.99837254,70.73383553,63.80924616
PA5226,66.6202,132.446493,233.0057409,82.9644,68.6045,58.76720663,61.6615087,40.13810958
PA5227,64.9091,179.3577398,231.2508952,76.9377,78.8152,74.75886853,53.07279371,62.14679188
ssrS,46461.6,47432.95304,355675.7097,31851.3,35287.7,62720.95614,58794.43395,41595.19259
PA5228,78.7986,156.9062966,188.2045687,131.797,109.191,79.92740685,68.72897996,87.11410152
PA5229,55.9478,108.6644115,96.70184312,100.58,102.115,66.23151436,56.14136012,64.67440626
PA5230,63.3415,103.5728503,94.67935187,106.359,127.419,73.22896209,63.47989079,81.48985786
PA0530,91.5706,1131.869552,622.931975,301.864,298.379,173.3336139,149.0842337,182.0197886
PA5231,48.7021,88.32779906,75.28123282,75.7691,80.8233,50.6716591,53.19512695,61.5137002
PA5232,66.8023,173.7490002,224.7822737,103.984,102.213,80.51202392,77.93000953,87.14408024
PA5233,51.158,69.64298105,47.46076177,62.7088,70.7763,49.22949234,38.2463455,39.08580605
PA5234,33.5319,45.60085077,102.92529,69.8168,84.9807,37.38380987,29.98040645,32.72844071
glpT,53.6311,128.6393599,142.2577186,97.1581,104.456,64.32949089,52.27643454,61.39479389
PA5236,50.9806,89.18474306,59.41651256,69.9162,65.339,54.10255969,44.93807386,52.07368995
PA5237,41.0866,85.73441945,80.58408998,63.6807,73.911,48.56173075,39.77452521,45.85602847
PA5238,42.5671,51.16624378,45.29218938,71.0504,76.2785,55.1826662,34.99548424,36.10492615
rho,85.994,236.2671594,862.5293683,172.369,212.118,129.9964776,118.1204036,141.9875763
