,PA_1,PA_2,PA_3,CC_1,CC_2,CC_3
PA14_02640,68,82,75,39,26,40
PA14_02650,208,220,224,174,139,176
PA14_02660,264,285,276,135,114,124
PA14_02680,27,50,31,29,15,31
PA14_02690,33,17,20,9,9,21
PA14_02700,40,63,52,16,25,26
PA14_02720,20,9,21,16,7,15
PA14_02730,71,65,63,55,39,54
PA14_02740,50,44,51,70,43,44
PA14_02750,285,268,329,213,173,202
PA14_02760,57,79,61,43,45,64
PA14_02770,20,41,35,16,14,19
PA14_02870,254,265,235,147,146,174
PA14_02890,37,49,47,35,37,38
PA14_02910,121,130,126,81,100,143
PA14_02930,20,26,26,18,5,22
PA14_02960,16,17,17,2,10,8
PA14_02970,80,95,83,122,93,112
PA14_02980,12,9,13,6,6,12
PA14_02990,17,13,12,4,5,3
PA14_03000,106,124,107,36,33,44
PA14_03010,239,203,239,177,139,237
PA14_03020,14,20,15,10,6,14
PA14_03040,286,327,301,250,189,285
PA14_03070,218,229,223,123,117,120
PA14_03080,145,175,173,113,71,108
PA14_03090,246,267,250,161,113,143
PA14_03100,21,37,43,39,22,48
PA14_03110,35,35,39,44,37,52
PA14_03120,103,120,118,110,94,126
PA14_03130,354,377,366,408,315,418
PA14_03150,402,433,416,290,238,308
PA14_03160,492,493,498,313,251,327
PA14_03163,5288,5238,5441,4281,3298,3853
PA14_03166,928,884,875,829,648,849
PA14_03170,225,244,259,187,151,216
PA14_03180,353,380,399,266,221,274
PA14_03190,1270,1269,1255,800,640,813
PA14_03200,540,623,643,387,319,405
PA14_03210,105,111,89,65,47,89
PA14_03220,431,408,392,323,217,284
PA14_03250,1083,1053,1158,888,674,897
PA14_03265,795,776,795,607,422,573
PA14_03270,2761,2668,2854,2147,1782,2194
PA14_03285,775,767,848,724,542,743
PA14_03290,500,596,603,562,450,634
PA14_03300,211,233,257,258,198,307
PA14_03310,409,424,410,434,305,443
PA14_03320,1180,1033,1220,1024,820,1088
PA14_03330,578,527,584,519,434,579
PA14_03340,771,631,749,762,511,746
PA14_03350,2032,2006,2137,1425,1129,1411
PA14_03360,1707,1715,1830,1173,933,1191
PA14_03370,1214,1229,1231,882,703,891
PA14_03380,1661,1564,1791,1451,1074,1487
PA14_03390,83,86,86,75,61,74
PA14_03400,15,16,16,27,15,41
PA14_03410,13,6,10,5,12,24
