,PA_1,PA_2,PA_3,CC_1,CC_2,CC_3
PA14_24620,805,880,925,680,515,684
PA14_24630,22,41,37,32,22,35
PA14_24665,417,431,438,499,404,578
PA14_24675,377,445,456,444,396,508
PA14_24690,1230,1184,1256,1193,904,1117
PA14_24700,719,757,725,709,537,782
PA14_24710,104,113,120,84,71,97
PA14_24720,238,228,276,175,166,211
PA14_24730,1698,1716,1833,1534,1237,1584
PA14_24740,574,591,572,336,279,399
PA14_24760,855,853,948,539,455,631
PA14_24770,1616,1568,1706,1059,875,1016
PA14_24780,44,51,59,148,126,166
PA14_24790,1538,1393,1566,463,382,574
PA14_24810,48,58,58,69,49,50
PA14_24820,31,49,41,42,50,49
PA14_24830,97,91,85,97,76,85
PA14_24840,412,400,408,338,279,312
PA14_24850,162,206,191,161,125,211
PA14_24870,75,68,77,67,48,100
PA14_24880,6741,6834,7624,4611,3564,4744
PA14_24920,379,433,412,305,274,334
PA14_24940,320,341,372,269,202,275
PA14_24950,115,160,131,78,83,103
PA14_24960,270,250,280,149,126,174
PA14_24970,314,367,329,167,146,154
PA14_24980,1427,1592,1636,944,899,1090
PA14_24990,334,332,391,213,165,250
PA14_25000,1538,1576,1630,1353,1028,1349
PA14_25020,1401,1421,1482,1604,1343,1961
PA14_25030,961,999,988,1063,933,1282
PA14_25040,632,701,687,282,236,232
PA14_25050,60,55,60,44,27,66
PA14_25060,230,252,254,194,131,197
PA14_25100,703,592,647,650,476,727
PA14_25130,1432,1435,1490,1221,982,1259
PA14_25140,391,359,397,411,331,515
PA14_25150,642,661,609,510,483,587
PA14_25210,568,620,641,539,423,666
PA14_25220,622,629,602,443,358,512
PA14_25250,8891,8639,9670,9395,8215,11605
PA14_25360,1348,1535,1354,907,784,1043
PA14_25370,416,472,420,320,252,341
PA14_25400,750,871,784,510,415,528
PA14_25410,76,96,71,41,35,38
PA14_25420,300,296,317,216,174,233
PA14_25430,1136,1171,1238,1188,992,1670
PA14_25440,645,674,737,539,472,671
PA14_25450,1011,949,1040,1029,811,1227
PA14_25470,217,205,220,207,125,198
PA14_25480,163,191,167,122,91,141
PA14_25490,429,464,473,534,392,698
PA14_25500,394,383,416,488,382,634
PA14_25520,430,409,444,443,436,539
PA14_25590,1414,1499,1575,1086,928,1206
PA14_25600,3220,3341,3574,2939,2320,3160
PA14_25610,115,130,152,125,91,131
PA14_25620,2299,2297,2613,3239,2863,4779
PA14_25730,966,965,1033,1281,1107,1661
PA14_25780,777,887,849,699,588,889
PA14_25790,604,661,665,297,230,294
PA14_25800,696,635,705,703,513,866
PA14_25810,690,688,688,504,457,619
PA14_25820,271,262,283,255,219,344
PA14_25830,195,211,207,211,162,211
PA14_25840,7381,7660,7746,5174,4052,4802
PA14_25900,2854,2848,3133,4166,3462,4816
PA14_25910,151,167,192,124,103,159
PA14_25930,79,103,79,45,57,93
PA14_25940,1319,1365,1373,1010,823,1194
PA14_25960,812,846,863,630,559,837
PA14_25990,311,320,285,261,199,280
PA14_26000,84,94,84,64,68,56
PA14_26010,108,113,109,70,60,58
PA14_26020,416,441,476,256,159,274
PA14_26050,51,55,42,52,32,69
PA14_26060,124,136,132,64,59,77
PA14_26070,370,360,379,329,286,416
PA14_26080,19,30,16,16,16,26
PA14_26090,5515,5683,5721,3948,3232,3897
PA14_26110,1607,1766,1740,1037,965,1083
PA14_26140,2126,2516,2238,562,530,581
PA14_26150,134,146,145,85,70,100
PA14_26160,109,100,93,88,78,97
PA14_26165,148,177,169,160,135,186
PA14_26190,135,177,158,94,89,117
PA14_26200,14,13,11,13,7,12
PA14_26260,12,15,8,6,4,6
PA14_26270,142,193,164,96,77,94
PA14_26280,322,352,367,183,170,182
PA14_26300,0,4,5,4,1,1
PA14_26310,19,26,27,14,13,13
PA14_26330,79,88,99,79,67,80
PA14_26340,11,13,8,6,7,13
PA14_26350,310,388,344,199,174,204
PA14_26360,34,39,45,17,11,19
PA14_26390,78,104,89,47,35,44
PA14_26400,48,66,55,25,22,44
PA14_26420,328,299,379,195,197,219
PA14_26450,26,23,21,34,24,37
PA14_26485,512,568,512,489,441,621
PA14_26540,533,560,501,466,412,594
PA14_26550,415,500,487,365,372,499
PA14_26560,1008,1054,1110,880,762,1053
PA14_26570,333,353,355,248,173,260
PA14_26580,29,46,33,23,18,24
PA14_26590,3941,4251,4575,3223,2527,3150
PA14_26600,688,699,673,392,322,458
PA14_26610,91,110,95,51,43,68
PA14_26620,161,200,200,139,104,185
PA14_26640,100,94,121,60,44,51
PA14_26650,43,48,40,26,21,34
PA14_26670,90,111,100,68,79,71
PA14_26690,22,24,31,19,15,17
PA14_26700,227,209,231,163,129,172
PA14_26720,181,172,173,105,69,98
PA14_26730,84,70,86,45,35,39
PA14_26750,119,142,124,66,65,102
PA14_26760,840,877,831,504,395,415
PA14_26770,472,470,494,389,273,367
PA14_26780,624,648,671,320,252,230
PA14_26810,28,14,12,17,11,11
PA14_26830,15,14,14,16,12,10
PA14_26850,25,19,20,23,12,17
PA14_26860,880,1048,921,463,386,398
PA14_26870,1,4,2,1,1,3
PA14_26880,269,296,274,203,165,186
PA14_26910,254,258,293,304,218,378
PA14_26920,80,82,62,65,46,77
PA14_26930,214,232,235,154,154,210
PA14_26940,70,96,95,40,50,56
PA14_26960,292,301,301,195,151,236
PA14_26970,103,106,108,77,55,83
PA14_26980,75,78,72,56,51,61
PA14_26990,323,344,346,200,153,286
PA14_27000,5195,5813,5583,3175,2589,3206
PA14_27050,582,607,667,533,474,652
PA14_27070,351,389,412,265,230,296
PA14_27120,376,413,411,288,247,402
PA14_27140,447,486,481,357,314,389
PA14_27150,196,238,195,136,129,133
PA14_27170,165,148,176,141,121,206
PA14_27180,2598,2749,2682,1659,1272,1779
PA14_27190,21,32,23,38,45,106
PA14_27200,199,215,238,161,125,168
PA14_27230,227,231,232,181,144,149
PA14_27250,80,92,86,52,48,51
PA14_27270,84,94,76,63,56,66
PA14_27280,227,257,236,145,77,107
PA14_27290,14,21,11,8,4,11
PA14_27310,125,157,137,65,58,80
PA14_27330,532,534,601,535,439,543
PA14_27350,230,220,227,154,152,157
PA14_27360,134,148,130,97,80,84
PA14_27370,1119,1172,1190,1650,1556,2505
PA14_27390,80,93,79,32,25,33
PA14_27400,13,15,10,14,18,6
PA14_27410,15,20,14,24,18,20
PA14_27420,15,3,10,10,7,8
PA14_27430,32,48,36,37,35,42
PA14_27440,313,287,327,280,235,334
PA14_27450,25,34,25,20,20,19
PA14_27470,651,610,615,539,458,631
PA14_27490,74,81,83,88,71,127
PA14_27500,1064,1006,1077,1142,1060,1525
PA14_27510,962,1055,1065,723,536,563
PA14_27520,1204,1418,1003,485,351,370
PA14_27530,943,1225,849,305,283,301
PA14_27550,600,608,646,474,354,501
PA14_27560,587,601,624,579,516,690
PA14_27570,402,424,429,320,303,376
PA14_27580,535,522,548,334,301,326
PA14_27590,999,993,1061,779,584,688
PA14_27600,11,16,19,17,15,27
PA14_27610,144,130,127,272,229,514
PA14_27620,76,79,83,129,131,276
PA14_27630,30,22,27,23,14,27
PA14_27640,10,7,12,8,8,5
PA14_27650,31,31,22,18,20,23
PA14_27660,13,19,13,7,9,4
PA14_27675,44,57,49,26,25,32
PA14_27680,2,3,1,1,6,1
PA14_27690,4,2,2,1,1,5
PA14_27700,12,11,29,27,14,19
PA14_27710,250,234,245,196,179,265
PA14_27720,122,129,129,51,44,59
PA14_27740,159,200,170,54,33,34
PA14_27755,297,337,341,226,154,223
PA14_27770,1643,1520,1693,1228,1082,1443
PA14_27780,1091,1078,1133,856,710,1001
PA14_27800,173,167,144,89,76,106
PA14_27810,102,144,135,81,76,97
PA14_27830,6,9,11,5,2,6
PA14_27840,6,6,13,7,11,7
PA14_27870,1108,1117,1132,591,452,565
PA14_27880,6,2,8,3,2,1
PA14_27890,4,4,5,8,11,6
PA14_27900,276,298,303,256,207,304
PA14_27910,105,103,109,119,94,127
PA14_27920,1287,1244,1466,1263,1064,1749
PA14_27930,244,270,246,135,102,87
PA14_27940,3587,3560,3888,3105,2568,3994
PA14_27950,1268,1147,1327,997,854,1212
PA14_27980,409,414,430,414,356,529
PA14_27990,485,463,517,400,304,332
PA14_28000,469,451,482,400,345,535
PA14_28010,141,109,138,76,52,116
PA14_28020,22,19,27,17,6,17
PA14_28030,402,364,411,310,189,250
PA14_28040,78,99,82,41,40,57
PA14_28050,680,741,634,561,425,558
PA14_28070,17,16,19,29,15,23
PA14_28080,20,20,15,13,16,8
PA14_28090,34,25,31,27,17,19
PA14_28100,7,16,14,11,3,12
PA14_28110,11,13,19,9,6,9
PA14_28120,42,39,39,28,13,27
PA14_28130,38,30,28,20,24,26
PA14_28140,121,114,144,50,32,34
PA14_28150,79,87,65,29,26,18
PA14_28170,258,278,299,154,129,151
PA14_28180,1545,1548,1674,490,380,395
PA14_28190,1,2,3,5,4,7
PA14_28200,158,151,183,157,114,239
PA14_28210,186,216,223,111,109,161
PA14_28220,111,111,142,72,71,116
PA14_28230,48,38,62,69,48,81
PA14_28240,89,88,86,67,63,95
PA14_28250,190,198,205,160,125,187
PA14_28260,216,194,216,181,124,208
PA14_28280,557,594,607,454,417,564
PA14_28290,70,95,92,64,65,91
PA14_28300,31,28,20,11,12,11
PA14_28310,56,43,63,17,13,28
PA14_28320,128,121,111,80,76,90
PA14_28330,26,22,24,24,19,22
PA14_28340,827,899,880,806,676,961
PA14_28350,161,177,171,114,105,130
PA14_28360,309,307,319,304,222,360
PA14_28370,56,71,50,64,48,63
PA14_28380,60,58,65,50,41,63
PA14_28390,52,30,46,46,63,80
PA14_28400,7775,7632,8372,5446,4628,6216
PA14_28410,33,41,23,23,12,24
PA14_28420,186,170,180,130,118,113
PA14_28430,30,42,27,21,26,41
PA14_28440,827,800,920,708,555,682
PA14_28460,497,539,520,371,282,327
PA14_28470,57,76,80,65,54,60
PA14_28490,3035,3110,2917,1198,863,778
PA14_28500,2245,2493,2336,838,665,486
PA14_28510,26,34,36,34,26,31
PA14_28520,72,78,89,52,43,61
PA14_28530,143,145,128,88,71,99
PA14_28540,9,11,8,5,4,12
PA14_28560,39,38,46,28,22,21
PA14_28580,74,76,56,72,63,89
PA14_28590,233,271,256,212,168,234
PA14_28600,644,723,729,503,394,575
PA14_28610,114,126,109,17,21,16
PA14_28620,87,103,88,33,31,32
PA14_28630,97,110,128,97,91,131
PA14_28730,3232,3291,3301,2175,1712,2057
PA14_28740,588,594,577,561,417,681
PA14_28750,15,27,16,10,4,10
PA14_28760,85,94,95,76,48,85
PA14_28770,893,851,982,777,595,773
PA14_28780,242,259,255,259,207,261
PA14_28790,167,140,180,168,107,155
PA14_28800,1178,1112,1234,973,711,1027
PA14_28810,10786,10778,11319,8726,6809,8969
PA14_28820,4876,4886,5278,4362,3498,4847
PA14_28830,3705,3694,3919,3164,2346,3417
PA14_28840,5785,5770,5864,4371,3477,4666
PA14_28850,1221,1221,1203,706,613,726
PA14_28870,524,507,492,338,291,354
PA14_28880,142,190,176,73,65,69
PA14_28895,1116,1304,1276,580,542,681
PA14_28910,149,127,122,93,73,104
PA14_28920,711,683,728,435,406,523
PA14_28930,39,41,34,19,14,22
PA14_28940,99,109,110,49,39,46
PA14_28950,23,30,28,7,18,13
PA14_28960,39,47,48,25,19,22
PA14_28970,5,9,6,3,9,3
PA14_28980,3,7,2,2,1,3
PA14_28990,67,71,78,89,66,100
PA14_29000,178,169,200,112,92,119
PA14_29010,216,214,216,131,125,119
PA14_29030,146,154,145,107,85,101
PA14_29040,5,14,9,6,6,7
PA14_29050,91,82,93,57,57,56
PA14_29060,164,194,183,96,111,91
PA14_29070,53,50,47,22,32,56
PA14_29090,178,167,176,118,96,125
PA14_29100,450,531,521,321,282,353
PA14_29120,234,242,268,146,102,129
PA14_29130,2399,2485,2624,1826,1444,1603
PA14_29150,594,653,661,359,309,420
PA14_29160,1426,1490,1543,926,737,993
PA14_29180,272,329,321,162,161,237
PA14_29190,55,63,59,45,37,47
PA14_29200,71,84,78,77,56,93
PA14_29210,19,25,38,8,8,12
PA14_29220,30,33,27,15,12,24
PA14_29230,112,119,140,74,60,69
PA14_29240,222,225,250,167,122,182
PA14_29250,27,30,27,35,25,35
PA14_29260,148,156,195,112,102,136
PA14_29270,236,245,223,170,163,253
PA14_29280,45,35,49,34,27,47
PA14_29290,103,134,119,93,80,87
PA14_29300,113,109,125,83,57,97
PA14_29320,61,63,60,34,30,35
PA14_29330,208,195,228,94,61,81
PA14_29340,1,2,3,1,3,1
PA14_29375,37,59,44,29,29,41
PA14_29390,1068,1100,1148,772,637,910
PA14_29400,809,975,908,516,418,627
PA14_29410,259,287,259,149,132,142
PA14_29420,158,173,165,111,100,138
PA14_29440,68,64,60,49,35,48
PA14_29460,41,65,56,31,32,35
PA14_29470,353,325,382,203,148,199
PA14_29480,27,19,21,18,13,25
PA14_29490,97,63,112,86,64,80
PA14_29500,41,40,49,27,22,20
PA14_29510,22,25,25,20,21,27
PA14_29520,5,8,11,10,11,11
PA14_29530,11,18,13,8,10,6
PA14_29540,29,21,25,15,16,17
PA14_29550,39,55,64,38,33,53
PA14_29560,88,86,114,85,63,82
PA14_29570,29,29,22,29,21,29
PA14_29575,181,202,204,121,112,120
PA14_29590,1838,1735,1851,1667,1266,1799
PA14_29600,195,151,183,190,151,292
PA14_29620,538,660,561,184,161,156
PA14_29650,187,181,176,63,60,43
PA14_29660,496,543,491,146,130,147
PA14_29680,239,285,297,190,165,206
PA14_29690,194,251,254,129,119,175
PA14_29710,444,552,498,361,325,438
PA14_29720,293,348,326,281,240,292
PA14_29730,392,410,438,306,294,391
PA14_29740,364,375,441,380,333,476
PA14_29750,30,24,29,40,33,31
PA14_29760,1021,1062,1029,905,713,942
PA14_29770,205,173,194,196,167,293
PA14_29800,1110,1193,1220,946,741,1075
PA14_29820,1059,1065,1190,979,807,1127
PA14_29830,58,73,84,57,39,79
PA14_30030,9,1,7,6,6,7
PA14_30040,123,133,114,71,52,75
PA14_30050,6139,5789,6182,4103,3121,4027
PA14_30070,1176,1121,1215,800,601,699
PA14_30080,834,925,911,562,456,595
PA14_30090,1645,1810,1702,929,829,889
PA14_30100,5436,5394,5344,3867,3005,3737
PA14_30130,173,252,226,238,187,272
PA14_30140,515,555,549,476,447,634
PA14_30160,242,287,277,281,238,381
PA14_30260,638,591,625,420,341,372
PA14_30320,2274,2311,2303,1737,1532,2142
PA14_30350,177,175,188,130,100,148
PA14_30360,942,967,984,652,518,756
PA14_30370,270,335,388,232,202,285
PA14_30380,212,247,207,148,96,163
PA14_30390,186,227,220,115,91,126
PA14_30400,215,278,226,122,130,151
PA14_30410,2988,2805,3160,1578,1158,1512
PA14_30420,30,23,27,32,12,37
PA14_30430,335,395,377,227,227,269
PA14_30440,111,114,114,98,54,91
PA14_30450,159,229,174,147,116,150
PA14_30460,56,56,60,63,51,71
PA14_30470,91,84,82,79,54,74
PA14_30490,60,93,103,74,61,79
PA14_30500,72,79,70,56,49,60
PA14_30520,30,35,40,27,9,34
PA14_30540,18,14,28,16,17,23
PA14_30550,98,86,102,122,89,121
PA14_30560,116,112,99,64,46,100
PA14_30570,1484,1472,1540,1323,1024,1409
PA14_30580,1184,1225,1362,1181,924,1196
PA14_30590,144,139,156,116,90,129
PA14_30600,13,18,17,17,13,13
PA14_30620,849,920,962,776,636,829
PA14_30680,33,29,40,61,42,82
PA14_30690,343,357,354,215,176,192
PA14_30700,2254,2169,2380,2256,1727,2459
PA14_30710,1341,1380,1412,1224,1015,1431
PA14_30720,78,88,81,120,122,169
PA14_30730,914,854,918,700,575,850
PA14_30740,40,40,49,32,29,35
PA14_30750,651,602,644,452,372,503
PA14_30760,220,236,246,120,84,117
PA14_30770,323,337,346,230,139,141
PA14_30790,305,306,292,159,121,132
PA14_30800,1069,1084,998,756,533,732
PA14_30820,483,530,519,219,159,181
PA14_30830,470,470,526,225,154,192
PA14_30840,423,365,444,229,182,215
PA14_30850,21,20,21,10,6,18
PA14_30860,20,20,21,10,1,6
PA14_30870,4,1,5,3,2,1
PA14_30880,16,12,14,6,4,9
PA14_30890,4,3,2,0,4,1
PA14_30900,12,11,19,12,7,12
PA14_30910,20,37,21,15,17,11
PA14_30930,7,7,6,5,2,1
PA14_30940,2,8,2,3,1,2
PA14_30950,4,0,1,1,0,2
PA14_30960,22,13,18,12,8,23
PA14_30970,777,707,744,567,460,563
PA14_30980,481,443,489,366,275,359
PA14_30990,293,353,318,246,220,228
PA14_31000,276,244,277,248,176,244
PA14_31010,978,932,1013,919,680,918
PA14_31030,391,425,446,363,292,429
PA14_31040,280,248,269,237,173,209
PA14_31050,1846,1647,1755,1307,944,1277
PA14_31060,1178,1101,1109,877,678,871
PA14_31070,21,18,15,22,12,14
PA14_31080,2,5,0,1,1,1
PA14_31090,4,0,3,0,1,1
PA14_31100,12,11,9,8,1,4
PA14_31110,7,4,10,3,2,6
PA14_31130,25,30,23,24,14,38
PA14_31150,664,758,616,454,326,352
PA14_31160,27,27,30,23,26,22
PA14_31170,3,2,3,2,1,0
PA14_31180,70,93,85,70,46,57
PA14_31190,42,44,36,24,31,37
PA14_31200,15,15,13,12,7,6
PA14_31220,16,11,21,10,12,19
PA14_31230,15,19,12,7,8,7
PA14_31240,1357,1433,1358,517,418,444
PA14_31250,1,1,1,1,0,0
PA14_31260,2,3,3,1,3,1
PA14_31270,100,92,95,62,46,49
PA14_31280,171,137,159,106,94,131
PA14_31300,309,334,340,202,154,179
PA14_31310,390,375,386,248,256,299
PA14_31330,810,798,843,349,267,275
PA14_31340,11,9,7,16,6,7
PA14_31350,362,293,322,184,121,158
PA14_31360,143,129,148,75,49,73
PA14_31370,226,217,245,123,99,116
PA14_31380,46,53,42,47,47,69
PA14_31390,100,126,128,65,37,49
PA14_31400,214,210,230,202,168,227
PA14_31420,427,417,466,326,274,361
PA14_31430,158,186,217,131,115,171
PA14_31440,895,837,916,526,459,557
PA14_31450,94,91,93,49,33,60
PA14_31460,150,158,142,132,125,183
PA14_31470,1176,1238,1355,391,335,365
PA14_31480,393,429,420,177,174,228
PA14_31500,2671,2869,2841,777,621,876
PA14_31510,828,940,938,181,168,213
PA14_31530,1773,2082,1979,420,334,481
PA14_31540,2166,2281,2420,653,548,726
PA14_31560,547,514,512,436,368,449
PA14_31580,925,1003,1047,843,738,1011
PA14_31610,291,264,318,250,167,243
PA14_31620,35,50,37,44,31,41
PA14_31630,49,68,70,48,48,57
PA14_31640,56,53,57,34,37,33
PA14_31660,233,250,263,173,128,156
PA14_31680,484,500,499,475,381,540
PA14_31690,537,630,549,412,339,451
PA14_31700,274,310,260,232,190,259
PA14_31720,339,323,376,212,180,273
PA14_31730,125,131,130,78,56,88
PA14_31740,20,27,21,13,11,9
PA14_31750,150,170,177,128,110,128
PA14_31760,333,322,316,201,208,263
PA14_31770,79,96,93,56,42,60
PA14_31780,221,258,244,103,73,95
PA14_31800,864,903,981,650,489,637
PA14_31820,14,14,20,16,11,18
PA14_31840,421,465,474,274,236,338
PA14_31850,527,492,581,418,352,475
PA14_31870,446,456,516,363,282,393
PA14_31890,707,733,826,643,537,704
PA14_31900,595,607,623,424,379,491
PA14_31920,429,466,500,223,199,296
PA14_31930,43,49,40,39,24,29
PA14_31950,73,85,77,46,41,33
PA14_31960,111,128,101,33,40,36
PA14_32015,8,10,14,8,7,5
PA14_32025,43,43,46,32,26,30
PA14_32190,73,87,86,53,37,56
PA14_32250,4,9,8,5,4,6
PA14_32270,173,195,166,114,81,124
PA14_32280,275,300,294,169,128,170
PA14_32290,252,227,265,197,162,268
PA14_32300,121,124,136,113,103,140
PA14_32310,1021,1098,1138,469,384,328
PA14_32330,70,77,68,42,51,50
PA14_32340,8,6,4,4,2,4
PA14_32350,17,16,21,12,8,18
PA14_32360,157,130,129,46,39,60
PA14_32370,119,121,95,44,58,78
PA14_32420,1252,1303,1394,942,794,1000
PA14_32440,31,30,37,19,26,31
PA14_32450,131,149,148,87,74,106
PA14_32460,106,133,119,61,65,68
PA14_32470,24,24,23,24,14,17
PA14_32480,204,217,223,61,43,48
PA14_32490,180,178,204,57,47,57
PA14_32500,260,313,276,219,178,200
PA14_32520,448,459,421,212,190,213
PA14_32530,548,566,529,102,101,120
PA14_32540,1122,1182,1082,229,220,233
PA14_32570,152,167,151,67,47,70
PA14_32580,208,217,192,82,63,53
PA14_32590,114,109,122,96,88,136
PA14_32600,50,45,42,27,33,45
PA14_32630,126,152,184,74,78,91
PA14_32640,6,6,7,2,1,2
PA14_32650,6,2,3,3,1,0
PA14_32660,2,6,4,4,0,4
PA14_32670,32,31,44,7,4,8
PA14_32700,114,149,138,56,53,59
PA14_32710,72,97,74,40,27,33
PA14_32720,28,22,11,11,14,18
PA14_32740,50,48,51,49,35,41
PA14_32750,10,12,11,11,2,7
PA14_32770,216,210,213,145,141,191
PA14_32780,387,446,403,324,313,459
PA14_32790,7656,7644,7989,5104,4260,5606
PA14_32810,20,18,15,17,13,18
PA14_32820,122,135,129,179,128,220
PA14_32830,652,664,659,430,346,407
PA14_32840,396,398,367,223,173,228
PA14_32850,249,209,209,177,165,233
PA14_32860,119,149,130,101,86,116
PA14_32880,223,269,231,200,159,208
PA14_32890,382,415,508,454,358,426
PA14_32905,26,30,22,8,8,14
PA14_32930,137,135,126,96,88,109
PA14_32940,379,440,408,329,294,492
PA14_32950,168,189,179,69,58,82
PA14_32970,64,85,67,53,30,39
PA14_33050,26,19,25,20,7,17
PA14_33060,13,22,23,22,11,13
PA14_33070,80,92,82,56,42,77
PA14_33080,60,83,51,55,36,39
PA14_33110,43,29,33,13,18,32
PA14_33120,209,175,179,209,148,192
PA14_33130,227,249,221,124,141,170
PA14_33150,73,98,71,60,58,56
PA14_33160,173,177,189,87,74,79
PA14_33170,103,80,114,55,40,42
PA14_33190,47,33,35,26,20,28
PA14_33200,4,4,1,2,2,0
PA14_33220,45,43,43,17,17,36
PA14_33230,4,13,7,7,5,4
PA14_33240,25,29,36,18,16,26
PA14_33250,15,9,13,9,5,8
PA14_33290,392,363,388,359,268,377
PA14_33300,2425,2330,2572,1456,1152,1533
PA14_33310,4210,4174,4294,2244,1934,2285
PA14_33320,3286,3122,3082,1666,1363,1621
PA14_33330,4960,4660,4837,2344,1790,1871
PA14_33340,1534,1552,1562,1401,1131,1478
PA14_33350,688,731,747,838,676,933
PA14_33360,11,11,12,10,10,13
PA14_33370,32,41,40,22,23,37
PA14_33380,7,7,7,11,5,7
PA14_33410,15,12,12,14,7,20
PA14_33420,66,48,57,46,28,44
PA14_33430,26,30,26,23,15,17
PA14_33440,301,313,318,183,149,166
PA14_33460,49,46,44,35,37,35
PA14_33510,2,9,7,3,6,6
PA14_33520,7,7,9,5,2,8
PA14_33530,27,31,32,22,8,20
PA14_33540,14,15,17,5,8,7
PA14_33550,5,5,1,1,1,3
PA14_33560,18,18,12,10,5,16
PA14_33570,4,5,4,3,2,3
PA14_33580,6,15,9,2,2,6
PA14_33590,10,10,16,7,6,11
PA14_33600,29,32,34,26,15,25
PA14_33610,553,609,621,450,347,409
PA14_33730,9,10,13,14,12,8
PA14_33750,76,71,66,54,64,81
PA14_33760,123,151,158,129,111,179
PA14_33770,154,141,157,129,100,157
PA14_33780,944,894,923,676,525,767
PA14_33800,166,167,153,145,102,164
PA14_33830,7,15,11,15,4,15
PA14_33840,67,82,70,52,49,63
PA14_33870,434,441,444,502,482,525
PA14_33880,175,187,198,297,221,304
PA14_33890,396,371,384,257,250,296
PA14_33900,806,946,860,429,410,499
PA14_33910,11,21,19,9,12,14
PA14_33920,30,42,42,23,24,34
PA14_33930,24,24,33,4,11,17
PA14_33940,25,36,31,23,10,25
PA14_33960,62,76,88,48,43,33
PA14_33970,57,53,56,48,33,62
PA14_33980,21,30,35,23,12,12
PA14_33990,58,60,62,29,22,25
PA14_34000,8,10,11,6,4,8
PA14_34010,34,34,34,15,13,16
PA14_34020,1,1,7,2,3,1
PA14_34030,45,42,36,17,21,16
PA14_34050,142,98,137,56,51,59
PA14_34070,98,79,98,80,62,52
PA14_34080,172,155,168,88,78,63
PA14_34100,163,180,165,87,52,91
PA14_34110,37,55,47,24,18,22
PA14_34130,142,143,149,84,73,117
PA14_34140,78,99,79,41,29,42
PA14_34150,73,49,56,151,83,153
PA14_34170,19,9,14,31,17,40
PA14_34200,13,8,5,12,4,3
PA14_34210,19,12,17,9,11,13
PA14_34230,96,117,108,89,86,119
PA14_34250,162,187,184,135,116,175
PA14_34260,7,8,9,6,1,4
PA14_34270,5,4,8,6,2,9
PA14_34280,4,7,10,6,5,7
PA14_34290,9,8,12,7,2,2
PA14_34300,4,7,8,3,2,2
PA14_34320,6,4,4,5,3,7
PA14_34330,229,239,222,159,132,165
PA14_34370,10,7,17,8,4,4
PA14_34390,19,14,9,7,5,8
PA14_34410,11,4,7,0,3,5
PA14_34420,35,38,43,13,14,22
PA14_34450,157,187,191,144,119,158
PA14_34460,110,90,116,112,86,98
PA14_34490,70,85,78,35,40,48
PA14_34500,49,46,55,35,26,37
PA14_34510,78,93,72,73,55,85
PA14_34520,39,47,40,31,36,49
PA14_34540,38,47,43,57,23,41
PA14_34550,4,6,5,1,0,4
PA14_34580,15,21,25,3,4,1
PA14_34600,2301,2318,2240,332,243,247
PA14_34610,72,71,82,5,12,4
PA14_34640,316,363,365,55,37,41
PA14_34670,50,68,69,48,43,57
PA14_34680,101,113,101,87,65,82
PA14_34690,98,105,95,35,45,56
PA14_34700,12,11,7,4,5,6
PA14_34710,3,7,5,0,0,3
PA14_34720,33,30,23,23,13,26
PA14_34730,10,10,13,32,28,53
PA14_34740,5,2,6,12,6,14
PA14_34750,17,14,13,22,14,17
PA14_34770,15,18,9,9,3,16
PA14_34780,6,11,12,3,6,2
PA14_34790,11,12,5,5,1,4
PA14_34800,293,341,320,391,321,469
PA14_34810,860,1011,891,524,472,670
PA14_34820,163,222,201,76,97,108
PA14_34830,202,196,228,70,72,88
PA14_34840,1305,1488,1374,495,443,640
PA14_34850,137,170,136,73,57,81
PA14_34880,152,157,141,88,74,71
PA14_34900,466,492,487,293,274,240
PA14_34920,75,60,59,42,47,44
PA14_34930,12,25,17,28,30,32
PA14_34940,5,7,6,7,12,7
PA14_34960,299,266,308,159,120,152
PA14_34990,312,316,315,189,161,266
PA14_35000,87,113,91,50,64,71
PA14_35010,9,10,9,7,7,10
PA14_35020,10,10,4,10,6,6
PA14_35030,25,11,20,13,18,24
PA14_35040,3,3,0,7,3,1
PA14_35050,17,14,15,6,6,7
PA14_35060,38,29,24,12,14,13
PA14_35070,289,354,356,272,239,347
PA14_35080,202,238,221,156,128,180
PA14_35140,67,54,82,48,44,66
PA14_35150,11,12,12,5,7,11
PA14_35160,112,152,178,44,30,34
PA14_35170,111,112,127,63,51,60
PA14_35200,63,88,67,40,29,52
PA14_35210,196,218,176,119,90,125
PA14_35230,108,119,80,80,64,65
PA14_35240,58,59,52,11,10,11
PA14_35250,231,254,274,167,152,174
PA14_35270,241,259,254,205,164,215
PA14_35300,408,383,392,288,237,247
PA14_35320,29,41,33,20,17,23
PA14_35330,73,62,70,58,41,52
PA14_35340,35,43,43,17,23,19
PA14_35360,62,60,64,30,34,30
PA14_35460,46,28,36,20,13,20
PA14_35470,240,192,235,134,125,142
PA14_35700,128,97,128,72,53,70
PA14_35710,558,609,638,458,372,484
PA14_35720,645,585,595,379,270,350
PA14_35730,79,67,55,56,66,69
PA14_35740,603,584,646,408,353,417
PA14_35750,114,99,106,54,41,59
PA14_35760,1080,1013,1066,780,568,738
PA14_35770,854,852,869,712,581,833
PA14_35780,1159,1170,1284,816,649,929
PA14_35790,3511,3479,3747,2447,1987,2655
PA14_35800,3877,3728,4117,2577,2099,2626
PA14_35810,3850,3616,3915,2198,1784,2240
PA14_35840,1693,1589,1633,955,729,920
