,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161 BsrA_1,PAO1161 BsrA_2,PAO1161 BsrA_3
D3C65_06360,374,359,276,545,607,508
D3C65_06365,294,294,388,268,352,253
D3C65_06370,211,237,219,253,273,236
D3C65_06375,271,267,314,309,365,294
D3C65_06380,2228,2550,2430,2376,2659,2320
D3C65_06385,3216,3408,3140,3278,3347,2899
D3C65_06390,2838,2825,2954,3039,2890,2573
D3C65_06395,30,27,33,29,32,25
D3C65_06400,37,45,31,44,47,40
D3C65_06405,432,442,409,534,503,437
D3C65_06410,1143,1215,1124,1518,1389,1060
D3C65_06415,1444,1515,1311,1644,1501,1156
D3C65_06420,466,414,389,634,532,446
D3C65_06425,3647,4019,3151,4986,4101,3459
D3C65_06430,2920,3153,2702,4507,3439,2953
D3C65_06435,261,308,253,448,330,327
D3C65_06440,399,369,372,560,631,526
D3C65_06445,989,945,867,1222,1338,1244
D3C65_06450,305,348,390,299,287,274
D3C65_06455,192,165,224,129,141,108
D3C65_06460,835,941,808,1439,1120,1061
D3C65_06465,214,223,201,253,253,226
D3C65_06470,67,66,65,53,75,52
D3C65_06475,46,37,32,33,22,16
D3C65_06480,25,44,28,43,40,30
D3C65_06485,229,243,213,238,267,215
D3C65_06490,4657,5150,4593,9142,6974,6557
D3C65_06495,259,266,233,325,264,248
D3C65_06500,53,48,50,61,63,60
D3C65_06505,525,505,472,507,615,529
D3C65_06510,370,398,436,299,328,273
D3C65_06515,85,104,86,100,108,72
D3C65_06520,81,102,103,65,86,75
D3C65_06525,18,22,28,18,16,20
D3C65_06530,2039,2174,2002,1862,2043,1642
D3C65_06535,284,329,271,294,274,286
D3C65_06540,531,576,487,505,519,510
D3C65_06545,250,229,245,208,228,202
D3C65_06550,752,649,627,728,732,790
D3C65_06555,399,415,340,481,479,401
D3C65_06560,605,660,608,749,764,610
D3C65_06565,5180,6036,5252,6765,7150,6003
D3C65_06570,6151,6508,6412,8509,8409,6870
D3C65_06575,459,533,485,570,595,396
D3C65_06580,424,414,420,422,397,303
D3C65_06585,630,683,659,870,789,612
D3C65_06590,312,334,320,319,308,238
D3C65_06595,257,303,265,322,262,230
D3C65_06600,119,128,143,105,130,90
D3C65_06605,231,249,237,239,245,207
D3C65_06610,607,574,589,715,861,668
D3C65_06615,549,680,580,729,785,687
D3C65_06620,894,899,930,910,910,805
D3C65_06625,133,153,149,122,167,129
D3C65_06630,38,44,70,40,44,37
D3C65_06635,935,1008,990,890,819,685
D3C65_06640,5059,5628,5375,5712,6063,5240
D3C65_06645,1020,1079,851,983,1036,910
D3C65_06650,332,341,304,330,420,333
D3C65_06655,332,324,341,518,517,439
D3C65_06660,123,147,147,132,142,111
D3C65_06665,97,90,87,92,102,92
D3C65_06670,499,523,438,537,556,518
D3C65_06675,450,471,373,460,494,482
D3C65_06680,449,452,471,461,555,445
D3C65_06685,404,345,401,247,312,221
D3C65_06690,461,483,514,395,482,423
D3C65_06695,977,1093,1003,1403,1307,1088
D3C65_06700,327,408,423,469,443,353
D3C65_06705,935,979,983,1425,1332,1191
D3C65_06710,283,328,316,335,320,231
D3C65_06715,91,101,101,107,84,51
D3C65_06720,272,281,332,252,252,184
D3C65_06725,181,145,167,101,122,108
D3C65_06730,54,38,39,61,71,69
D3C65_06735,379,360,329,537,521,435
D3C65_06740,6272,5847,6618,7508,7853,6821
D3C65_06745,843,835,699,906,891,751
D3C65_06750,882,851,1040,913,1063,919
D3C65_06755,121,134,140,145,162,135
D3C65_06760,575,716,660,709,898,609
D3C65_06765,31,29,19,128,50,39
D3C65_06770,296,312,381,339,414,283
D3C65_06775,677,667,648,747,797,707
D3C65_06780,1046,1080,984,1552,1428,1243
D3C65_06785,2969,3262,3271,3955,4399,3547
D3C65_06790,69227,76654,67458,73378,78102,65817
D3C65_06795,41545,40943,39326,34682,39242,32624
D3C65_06800,3853,4070,3780,4217,4409,3638
D3C65_06805,4949,5505,4804,5123,5631,4439
D3C65_06810,2822,2774,2584,2863,3050,2643
D3C65_06815,987,947,856,1024,1182,1144
D3C65_06820,1675,1754,1662,2504,2617,2184
D3C65_06825,1882,1956,1900,2245,2476,1947
D3C65_06830,6942,7574,7152,10156,10444,8449
D3C65_06835,2504,2626,2582,3020,3284,2657
D3C65_06840,3021,3163,2787,4074,4050,3300
D3C65_06845,1161,1276,1237,2147,2274,1926
D3C65_06850,2383,2232,2259,3546,3684,3166
D3C65_06855,590,595,605,887,945,834
D3C65_06860,193,166,248,347,310,317
D3C65_06865,6290,6096,4997,5568,6379,5419
D3C65_06870,7596,8113,6809,9109,9162,7736
D3C65_06875,5635,5789,5789,7297,7064,6002
D3C65_06880,975,999,852,817,875,818
D3C65_06885,10242,10061,10458,10017,10456,8830
D3C65_06890,3387,3616,3521,4668,4662,3808
D3C65_06895,9376,9154,10122,10344,10693,9199
D3C65_06900,352,323,275,444,512,389
D3C65_06905,393,370,338,652,636,570
D3C65_06910,410,578,460,527,449,411
D3C65_06915,1698,1734,1553,1379,1609,1198
D3C65_06920,134,124,162,118,133,93
D3C65_06925,2604,2616,2944,2640,2909,2174
D3C65_06930,1113,1360,1285,1458,1454,1199
D3C65_06935,898,968,897,1015,1126,913
D3C65_06940,901,908,865,1059,1050,949
D3C65_06945,1385,1355,1383,1617,1598,1367
D3C65_06950,1206,1401,1265,1667,1711,1418
D3C65_06955,1970,2226,2105,2093,2506,1927
D3C65_06960,4165,5164,4749,4224,4313,3268
D3C65_06965,800,833,812,937,1038,882
D3C65_06970,2655,2830,2557,3378,3526,2934
D3C65_06975,5,7,6,9,7,8
D3C65_06980,82,68,46,110,77,72
D3C65_06985,283,291,321,218,267,227
D3C65_06990,6129,6463,6123,7926,8580,7206
D3C65_06995,494,511,462,744,699,661
D3C65_07000,802,940,996,956,888,754
D3C65_07005,2042,2187,2322,2399,2191,1416
D3C65_07010,9157,10182,10850,7623,7634,5840
D3C65_07015,141,146,166,245,235,202
D3C65_07020,441,596,526,906,862,627
D3C65_07025,215,273,200,430,450,323
D3C65_07030,85,80,54,115,131,108
D3C65_07035,95,94,46,154,176,148
D3C65_07040,232,196,116,294,325,283
D3C65_07045,404,398,377,481,403,410
D3C65_07050,183,160,155,184,215,181
D3C65_07055,847,927,862,1050,1011,921
D3C65_07060,263,262,258,350,362,292
D3C65_07065,1176,1247,1089,1136,1179,897
D3C65_07070,46,60,67,62,74,32
D3C65_07075,12,12,18,11,14,11
D3C65_07080,213,215,243,175,207,180
D3C65_07085,62,73,65,75,74,65
D3C65_07090,22,22,32,19,25,21
D3C65_07095,33,24,27,19,33,20
D3C65_07100,57,59,52,47,51,57
D3C65_07105,9,13,11,8,13,10
D3C65_07110,117,93,125,84,85,71
D3C65_07115,54,42,32,36,37,29
D3C65_07120,13,13,17,14,14,21
D3C65_07125,11,11,12,5,8,7
D3C65_07130,50,37,44,53,43,41
D3C65_07135,10,13,16,16,12,10
D3C65_07140,25,22,23,20,23,13
D3C65_07145,235,247,267,264,301,255
D3C65_07150,18,16,16,17,36,21
D3C65_07155,165,176,150,159,193,159
D3C65_07160,4908,5626,6128,3184,3464,2893
D3C65_07165,448,511,515,481,590,475
D3C65_07170,96,120,147,127,93,92
D3C65_07175,3177,3165,5444,2501,2732,2225
D3C65_07180,1463,1447,1942,982,1212,971
D3C65_07185,1176,1312,1265,1135,1236,888
D3C65_07190,1784,1909,1872,1675,1882,1566
D3C65_07195,354,347,400,356,369,314
D3C65_07200,70,68,79,93,79,66
D3C65_07205,30,46,31,57,51,42
D3C65_07210,23,20,27,11,21,19
D3C65_07215,198,219,169,212,209,183
D3C65_07220,308,346,333,321,371,294
D3C65_07225,65,67,79,83,90,62
D3C65_07230,336,381,362,435,482,422
D3C65_07235,398,399,274,341,412,387
D3C65_07240,1664,2105,2084,1542,2275,1764
D3C65_07245,153,127,131,151,159,113
D3C65_07250,53,63,79,58,55,34
D3C65_07255,24,17,15,12,11,16
D3C65_07260,53,43,59,35,41,34
D3C65_07265,432,428,440,392,424,376
D3C65_07270,148,161,148,158,184,121
D3C65_07275,125,139,121,130,130,106
D3C65_07280,33,36,30,18,25,23
D3C65_07285,154,134,138,147,163,154
D3C65_07290,643,619,571,706,669,643
D3C65_07295,3211,3091,3205,2264,2396,2147
D3C65_07300,879,833,907,570,711,667
D3C65_07305,1107,940,1008,738,766,775
D3C65_07310,148,173,161,284,244,216
D3C65_07315,12,19,12,28,25,24
D3C65_07320,24,20,20,15,19,24
D3C65_07325,77,79,68,111,106,137
D3C65_07330,63,60,38,78,87,81
D3C65_07335,256,282,286,467,455,433
D3C65_07340,84,92,90,114,115,125
D3C65_07345,195,215,205,266,265,233
D3C65_07350,34,29,39,30,37,29
D3C65_07355,24,23,23,25,23,25
D3C65_07360,7,13,7,17,15,8
D3C65_07365,19,16,19,18,17,25
D3C65_07370,5,2,3,9,3,2
D3C65_07375,8,9,12,7,8,6
D3C65_07380,18,14,13,20,23,20
D3C65_07385,17,15,24,17,27,22
D3C65_07390,6,17,13,12,23,16
D3C65_07395,6,8,5,7,11,5
D3C65_07400,13,19,14,13,8,19
D3C65_07405,22,19,22,25,24,14
D3C65_07410,37,50,49,55,53,39
D3C65_07415,459,467,494,485,488,462
D3C65_07420,661,663,685,953,964,815
D3C65_07425,761,911,697,990,1123,884
D3C65_07430,271,278,249,241,336,263
D3C65_07435,726,697,853,635,687,562
D3C65_07440,106,116,121,121,140,102
D3C65_07445,2789,3254,3042,3108,3902,3209
D3C65_07450,390,347,280,330,448,387
D3C65_07455,8272,10408,10972,7578,9593,5951
D3C65_07460,57,44,39,78,84,97
D3C65_07465,6251,6524,7218,5019,5418,3963
D3C65_07470,659,675,671,1097,1152,1009
D3C65_07475,1236,1410,1276,1952,1833,1720
D3C65_07480,893,955,856,823,815,759
D3C65_07485,3695,4290,3879,4848,5199,4278
D3C65_07490,1610,1952,1840,2092,2039,1539
D3C65_07495,22,19,18,24,27,18
D3C65_07500,80,60,61,61,59,56
D3C65_07505,20,21,21,23,18,19
D3C65_07510,16,13,21,24,24,19
D3C65_07515,18,16,22,17,23,22
D3C65_07520,10,9,10,11,13,8
D3C65_07525,30,27,32,31,18,32
D3C65_07530,37,37,34,26,37,35
D3C65_07535,68,68,98,64,61,68
D3C65_07540,19,37,31,15,22,21
D3C65_07545,19,30,35,20,16,20
D3C65_07550,13,20,22,13,16,15
D3C65_07555,17,11,16,10,6,13
D3C65_07560,33,20,44,38,33,19
D3C65_07565,14,18,21,12,17,23
D3C65_07570,29,12,34,29,31,15
D3C65_07575,8,4,16,11,4,12
D3C65_07580,53,51,68,57,48,43
D3C65_07585,23,19,22,21,22,16
D3C65_07590,70,46,54,52,58,50
D3C65_07595,31,34,44,28,37,35
D3C65_07600,6,10,13,10,11,10
D3C65_07605,5,2,8,2,6,7
D3C65_07610,58,41,52,57,43,42
D3C65_07615,12,13,15,11,15,22
D3C65_07620,87,100,96,96,88,82
D3C65_07625,16,16,17,16,25,19
D3C65_07630,1523,2155,1533,1482,1788,1137
D3C65_07635,276,267,259,438,440,348
D3C65_07640,127,125,106,162,174,138
D3C65_07645,141,135,116,177,156,163
D3C65_07650,207,199,159,319,271,238
D3C65_07655,994,976,797,1092,1203,1115
D3C65_07660,228,198,187,252,261,240
D3C65_07665,330,399,348,358,413,342
D3C65_07670,136,157,127,374,314,261
D3C65_07675,462,588,492,1071,867,695
D3C65_07680,445,475,377,868,700,676
D3C65_07685,139,134,90,342,214,228
D3C65_07690,531,556,376,1293,832,786
D3C65_07695,772,848,671,1198,1071,1053
D3C65_07700,5013,5188,5166,6644,6616,5480
D3C65_07705,1505,1533,1592,1815,1941,1598
D3C65_07710,1880,2078,1780,2287,2583,2040
D3C65_07715,24,17,29,21,17,24
D3C65_07720,325,327,309,245,249,243
D3C65_07725,68,87,69,100,85,65
D3C65_07730,1783,1671,2032,2068,2083,1582
D3C65_07735,1234,1377,1290,1254,1383,1167
D3C65_07740,328,308,315,346,348,283
D3C65_07745,128,118,113,175,172,169
D3C65_07750,170,143,136,186,211,199
D3C65_07755,583,687,604,756,769,632
D3C65_07760,26,21,31,34,43,21
D3C65_07765,2307,2573,2554,2474,2569,2182
D3C65_07770,120,127,105,138,120,108
D3C65_07775,264,263,237,299,244,229
D3C65_07780,430,455,451,523,494,431
D3C65_07785,15,14,10,9,11,10
D3C65_07790,1435,1560,1393,1910,2128,1958
D3C65_07795,1235,1356,1458,1206,1234,1000
D3C65_07800,112,111,101,152,120,86
D3C65_07805,91,75,65,85,76,72
D3C65_07810,104,92,89,119,100,77
D3C65_07815,57,63,69,69,76,68
D3C65_07820,107,123,112,118,136,139
D3C65_07825,176,172,185,226,228,212
D3C65_07830,1385,1464,1397,1359,1378,926
D3C65_07835,170,150,145,143,179,161
D3C65_07840,737,761,616,689,717,619
D3C65_07845,0,0,1,2,3,1
D3C65_07850,678,770,744,871,972,726
D3C65_07855,141,120,136,159,129,97
D3C65_07860,581,617,558,605,626,579
D3C65_07865,2606,2720,2936,765,860,698
D3C65_07870,27,27,31,19,25,16
D3C65_07875,146,196,227,554,457,256
D3C65_07880,9,6,7,9,13,6
D3C65_07885,6,3,5,6,3,5
D3C65_07890,6,5,2,8,7,3
D3C65_07895,40,34,41,131,77,63
D3C65_07900,12,18,21,73,30,34
D3C65_07905,29,23,18,42,35,19
D3C65_07910,18,14,9,24,19,9
D3C65_07915,15,13,12,25,25,13
D3C65_07920,15,17,17,33,43,25
D3C65_07925,810,921,799,1138,1085,895
D3C65_07930,685,779,753,1061,1123,812
D3C65_07935,426,434,492,551,628,482
D3C65_07940,338,333,317,438,468,415
D3C65_07945,335,401,387,460,459,429
D3C65_07950,181,152,189,74,99,64
D3C65_07955,1454,1623,1523,1589,1787,1542
D3C65_07960,176,197,176,142,195,152
D3C65_07965,135,138,125,140,178,114
D3C65_07970,147,161,61,67,75,75
D3C65_07975,155,163,74,86,91,53
D3C65_07980,69,102,87,68,72,56
D3C65_07985,20,13,20,13,17,13
D3C65_07990,3,0,6,0,4,5
D3C65_07995,130,120,144,132,127,107
D3C65_08000,162,159,176,135,165,142
D3C65_08005,9,7,11,9,10,10
D3C65_08010,40,39,39,81,59,44
D3C65_08015,119,138,113,157,162,139
D3C65_08020,21,32,27,27,18,35
D3C65_08025,42,50,43,38,35,32
D3C65_08030,24,18,16,11,10,16
D3C65_08035,155,160,167,173,158,153
D3C65_08040,168,169,201,114,133,104
D3C65_08045,18,19,17,15,14,17
D3C65_08050,14,11,7,4,8,8
D3C65_08055,14,5,5,3,10,10
D3C65_08060,37,38,29,41,37,43
D3C65_08065,349,397,343,504,479,404
D3C65_08070,335,380,333,460,527,423
D3C65_08075,11,27,9,21,12,18
D3C65_08080,24,28,21,30,28,27
D3C65_08085,56,52,23,51,49,55
D3C65_08090,46,37,25,39,36,49
D3C65_08095,28,25,27,29,29,43
D3C65_08100,19,25,28,18,14,16
D3C65_08105,4,12,9,7,2,9
D3C65_08110,7,4,4,3,7,1
D3C65_08115,7,9,4,3,9,3
D3C65_08120,39,45,33,37,55,31
D3C65_08125,67,90,58,88,99,83
D3C65_08130,341,384,372,399,392,333
D3C65_08135,124,117,113,194,167,168
D3C65_08140,81,86,94,136,138,119
D3C65_08145,137,155,162,133,158,116
D3C65_08150,291,286,224,164,188,162
D3C65_08155,3689,4102,3485,3192,3364,3896
D3C65_08160,8,7,4,9,7,8
D3C65_08165,10,12,5,17,14,15
D3C65_08170,6,17,11,7,9,13
D3C65_08175,54,76,57,34,50,54
D3C65_08180,380,489,573,145,334,554
D3C65_08185,1774,2100,2056,1905,2299,1841
D3C65_08190,21,24,27,30,23,25
D3C65_08195,10,9,6,7,18,6
D3C65_08200,117,144,130,173,213,168
D3C65_08205,114,92,93,96,103,87
D3C65_08210,476,520,448,420,488,391
D3C65_08215,4928,6095,5361,5370,6786,5153
D3C65_08220,22,29,22,30,28,22
D3C65_08225,15,9,15,12,15,5
D3C65_08230,5,5,2,6,8,7
D3C65_08235,6,6,7,11,2,4
D3C65_08240,2,2,1,2,3,1
D3C65_08245,3,5,2,3,2,8
D3C65_08250,7,15,9,4,13,12
D3C65_08255,6,7,5,10,8,12
D3C65_08260,10,9,12,7,13,9
D3C65_08265,4,7,6,4,5,3
D3C65_08270,39,43,43,25,34,21
D3C65_08275,228,266,223,253,252,196
D3C65_08280,69,99,97,145,136,112
D3C65_08285,44,32,37,33,52,25
D3C65_08290,50,38,48,35,35,52
D3C65_08295,131,109,114,105,116,90
D3C65_08300,50,70,53,78,60,47
D3C65_08305,64,80,67,103,109,100
D3C65_08310,99,118,87,127,127,125
D3C65_08315,3100,3872,5201,3240,3475,2151
D3C65_08320,772,947,1288,678,701,511
D3C65_08325,313,408,570,339,371,272
D3C65_08330,110,133,200,129,152,105
D3C65_08335,35,60,69,30,45,37
D3C65_08340,28,24,36,22,39,20
D3C65_08345,56,76,55,40,49,41
D3C65_08350,29,26,15,24,31,18
D3C65_08355,54,50,43,54,46,56
D3C65_08360,593,585,535,582,532,515
D3C65_08365,1538,1764,1902,1344,1471,1220
D3C65_08370,193,212,210,168,229,190
D3C65_08375,116,105,111,73,91,76
D3C65_08380,1071,1106,1051,1363,1476,1167
D3C65_08385,1840,2088,1798,2117,2185,1827
D3C65_08390,3349,4055,3735,3998,4566,3876
D3C65_08395,730,829,759,800,804,642
D3C65_08400,4844,5557,5345,5359,6387,5115
D3C65_08405,1790,1906,1865,2197,2501,2118
D3C65_08410,279,294,315,298,344,275
D3C65_08415,337,337,287,379,359,302
D3C65_08420,272,261,259,295,344,290
D3C65_08425,3004,3299,2963,3600,3602,3252
D3C65_08430,388,475,408,473,556,425
D3C65_08435,128,113,124,174,164,128
D3C65_08440,1044,1188,1087,878,1189,979
D3C65_08445,15,13,20,21,21,23
D3C65_08450,726,724,659,956,923,889
D3C65_08455,490,529,443,545,584,485
D3C65_08460,82,69,78,73,81,70
D3C65_08465,3363,3681,3949,3236,3383,2112
D3C65_08470,55,45,56,53,49,62
D3C65_08475,51,48,54,67,58,42
D3C65_08480,27,37,28,44,36,45
D3C65_08485,68,50,62,86,82,74
D3C65_08490,42,38,50,70,53,51
D3C65_08495,114,103,97,149,148,144
D3C65_08500,112,98,78,111,88,95
D3C65_08505,107,109,94,193,122,135
D3C65_08510,84,80,64,140,127,104
D3C65_08515,634,663,670,924,872,842
D3C65_08520,907,1050,1126,1705,1743,1475
D3C65_08525,20,21,19,24,21,27
D3C65_08530,66,69,82,70,56,45
D3C65_08535,49,56,78,50,48,47
D3C65_08540,283,254,271,282,342,240
D3C65_08545,127,103,124,94,97,104
D3C65_08550,19,8,6,13,10,9
D3C65_08555,55,52,57,60,56,64
D3C65_08560,76,69,57,93,89,81
D3C65_08565,338,344,325,444,385,357
D3C65_08570,130,92,88,131,135,92
D3C65_08575,82,62,77,91,96,86
D3C65_08580,422,395,343,380,406,329
D3C65_08585,1598,1772,1588,1783,1816,1569
D3C65_08590,291,233,249,220,267,235
D3C65_08595,59,66,64,77,74,44
D3C65_08600,461,452,439,553,505,456
D3C65_08605,16988,18460,21775,14445,14283,11427
D3C65_08610,43,26,21,21,34,29
D3C65_08615,3551,3630,3128,3880,3951,3537
D3C65_08620,143,140,113,117,134,147
D3C65_08625,158,165,168,222,247,212
D3C65_08630,704,713,610,662,795,653
D3C65_08635,25,35,37,52,48,43
D3C65_08640,211,217,189,243,233,250
D3C65_08645,133,145,134,111,127,147
D3C65_08650,1071,1244,1322,1205,1212,1073
D3C65_08655,654,748,571,782,763,685
D3C65_08660,305,319,408,433,397,336
D3C65_08665,3439,3855,3994,3598,3699,3052
D3C65_08670,42,32,30,46,51,45
D3C65_08675,11,5,4,10,10,11
D3C65_08680,2174,2257,2047,2263,2444,2182
D3C65_08685,21,22,19,28,23,25
D3C65_08690,478,517,535,544,635,478
D3C65_08695,251,314,247,491,369,318
D3C65_08700,52,54,49,116,86,77
D3C65_08705,33,22,36,94,85,79
D3C65_08710,4,4,2,12,13,8
D3C65_08715,41,42,28,109,127,102
D3C65_08720,527,539,506,889,854,741
D3C65_08725,51,34,39,36,53,40
D3C65_08730,209,170,187,177,220,164
D3C65_08735,70,74,52,47,55,31
D3C65_08740,2415,2462,2293,2491,2694,2423
D3C65_08745,409,367,393,448,444,412
D3C65_08750,187,168,159,174,192,160
D3C65_08755,223,229,210,342,375,321
D3C65_08760,368,417,335,528,532,542
D3C65_08765,55,50,60,75,83,85
D3C65_08770,70,63,71,88,98,91
D3C65_08775,43,67,67,76,61,59
D3C65_08780,4,3,5,0,5,8
D3C65_08785,5,5,3,7,10,11
D3C65_08790,299,289,337,184,236,172
D3C65_08795,360,306,294,211,228,186
D3C65_08800,139,158,127,138,191,149
D3C65_08805,15,20,21,16,31,20
D3C65_08810,3,5,4,2,8,5
D3C65_08815,41,59,27,22,23,16
D3C65_08820,315,328,356,369,378,331
D3C65_08825,739,637,1086,679,724,549
D3C65_08830,563,602,582,496,538,499
D3C65_08835,305,356,344,337,388,302
D3C65_08840,591,552,450,572,522,613
D3C65_08845,893,928,910,1181,1122,1027
D3C65_08850,6627,7747,8355,16022,20078,17113
D3C65_08855,101,117,126,103,134,111
D3C65_08860,160,168,177,171,175,177
D3C65_08865,1293,1308,1248,1299,1504,1440
D3C65_08870,65,87,61,151,201,156
D3C65_08875,1137,1614,1264,1553,1868,1276
D3C65_08880,4634,4830,5335,5950,6367,5390
D3C65_08885,211,234,255,232,251,231
D3C65_08890,231,212,248,227,272,245
D3C65_08895,192,181,203,190,197,169
D3C65_08900,228,187,237,207,235,202
D3C65_08905,188,163,175,190,205,172
D3C65_08910,75,59,68,146,155,99
D3C65_08915,4562,4757,4726,6879,6764,5226
D3C65_08920,577,573,630,546,555,451
D3C65_08925,286,267,292,344,388,281
D3C65_08930,80,76,87,90,110,87
D3C65_08935,13,19,25,11,18,16
D3C65_08940,16,16,15,14,14,14
D3C65_08945,30,28,20,38,15,24
D3C65_08950,84,68,93,70,55,35
D3C65_08955,43,39,55,48,38,36
D3C65_08960,133,153,136,101,125,98
D3C65_08965,1419,1421,1448,1954,1966,1701
D3C65_08970,511,497,407,717,735,626
D3C65_08975,2115,2447,2278,3056,3144,2592
D3C65_08980,5562,5769,5585,7329,7901,6399
D3C65_08985,1094,1126,993,1559,1577,1293
D3C65_08990,641,657,623,693,749,641
D3C65_08995,392,356,320,434,460,410
D3C65_09000,164,172,171,162,163,142
D3C65_09005,369,382,386,457,505,414
D3C65_09010,484,560,535,578,645,524
D3C65_09015,1,1,3,2,1,4
D3C65_09020,74,97,121,74,80,68
D3C65_09025,48,54,128,31,53,41
D3C65_09030,130,106,364,94,72,77
D3C65_09035,66,60,184,50,47,53
D3C65_09040,40,41,82,48,53,48
D3C65_09045,17,18,16,13,8,14
D3C65_09050,209,197,173,266,265,219
D3C65_09055,128,135,102,198,231,158
D3C65_09060,773,734,735,759,818,654
D3C65_09065,686,715,732,913,814,715
D3C65_09070,270,320,269,287,268,242
D3C65_09075,1057,1143,980,921,909,681
D3C65_09080,129,139,162,159,189,148
D3C65_09085,35,54,53,42,46,40
D3C65_09090,166,143,187,208,232,224
D3C65_09095,206,199,213,283,321,294
D3C65_09100,294,291,280,290,294,222
D3C65_09105,8,6,3,5,2,7
D3C65_09110,5,5,4,1,7,4
D3C65_09115,527,540,518,725,796,646
D3C65_09120,38,48,46,34,37,31
D3C65_09125,292,274,295,271,273,254
D3C65_09130,315,303,313,337,365,291
D3C65_09135,439,437,430,508,538,438
D3C65_09140,229,247,225,327,291,271
D3C65_09145,580,620,546,658,692,553
D3C65_09150,301,272,238,417,417,394
D3C65_09155,75,52,69,52,57,43
D3C65_09160,481,437,432,390,419,382
D3C65_09165,39,52,54,65,73,59
D3C65_09170,131,106,105,153,149,115
D3C65_09175,201,220,147,199,191,246
D3C65_09180,316,324,299,438,426,412
D3C65_09185,421,410,388,495,474,443
D3C65_09190,657,623,627,799,818,733
D3C65_09195,1226,1308,1199,1459,1773,1273
D3C65_09200,599,547,494,441,495,428
D3C65_09205,491,518,526,590,637,516
D3C65_09210,238,326,249,397,458,360
D3C65_09215,475,461,390,511,520,428
D3C65_09220,268,231,270,331,373,271
D3C65_09225,27,32,37,49,61,62
D3C65_09230,2737,3209,3844,2639,2691,1988
D3C65_09235,6932,7930,7863,9038,8570,6648
D3C65_09240,2392,2690,2735,2726,2719,2326
D3C65_09245,877,1011,1183,1160,1126,959
D3C65_09250,368,427,434,560,493,434
D3C65_09255,60,62,71,115,117,89
D3C65_09260,8654,8629,14626,6776,7336,5163
D3C65_09265,993,996,2099,692,704,616
D3C65_09270,611,533,1227,510,496,375
D3C65_09275,1882,1930,4538,1953,2061,1577
D3C65_09280,2518,2656,5674,2777,3023,2237
D3C65_09285,3,2,5,7,3,7
D3C65_09290,747,791,776,786,813,734
D3C65_09295,348,389,327,396,395,356
D3C65_09300,5061,5614,5265,5236,4933,3913
D3C65_09305,1369,1540,1424,1332,1264,1070
D3C65_09310,1683,1920,1859,1809,1810,1472
D3C65_09315,89,77,102,92,96,106
D3C65_09320,2448,2746,1634,2398,2816,2501
D3C65_09325,2,2,0,3,2,2
D3C65_09330,233,229,204,213,223,206
D3C65_09335,153,160,164,142,174,138
D3C65_09340,15,11,18,22,19,14
D3C65_09345,20,23,19,24,21,26
D3C65_09350,38,43,39,42,35,39
D3C65_09355,521,533,528,838,765,738
D3C65_09360,565,559,469,597,663,528
D3C65_09365,972,961,956,1046,1155,1040
D3C65_09370,1319,1458,1362,1374,1620,1284
D3C65_09375,1480,1551,1496,1676,1776,1517
D3C65_09380,13503,14376,14111,15319,16197,14114
D3C65_09385,3209,3423,3467,4003,4404,3663
D3C65_09390,1519,1569,1561,2091,2178,1847
D3C65_09395,1213,1189,1271,1648,1666,1623
D3C65_09400,3352,3492,3832,4513,4424,3827
D3C65_09405,1095,1148,1251,1701,1590,1385
D3C65_09410,40616,44638,51635,88729,75001,61940
D3C65_09415,900,888,957,914,1238,949
D3C65_09420,364,401,358,454,537,381
D3C65_09425,1669,1961,1721,3223,3871,2928
D3C65_09430,12352,14204,13810,20154,22977,19057
D3C65_09435,3624,4232,4258,7016,7844,6046
D3C65_09440,1122,1236,1043,2705,2751,2186
D3C65_09445,2005,2228,2275,3728,4047,3189
D3C65_09450,4749,5156,5774,8520,9039,7240
D3C65_09455,533,588,492,1629,1702,1381
D3C65_09460,370,373,336,1211,1354,1027
D3C65_09465,427,512,481,1309,1515,1123
D3C65_09470,1293,1441,1532,3430,3850,3144
D3C65_09475,2604,2953,3288,6818,7352,5609
D3C65_09480,1629,2001,2064,5234,5316,4335
D3C65_09485,3701,3891,4531,6719,7327,6050
D3C65_09490,2654,2685,2980,4698,5154,4420
D3C65_09495,1288,1272,1416,2584,2695,2255
D3C65_09500,1116,1189,1105,2178,2336,1920
D3C65_09505,1261,1381,1204,1704,1972,1526
D3C65_09510,5137,5427,5178,6502,7023,5609
D3C65_09515,126,125,100,132,113,101
D3C65_09520,48,53,45,96,128,98
D3C65_09525,2715,2830,3204,4021,3814,3245
D3C65_09530,1519,1513,1660,1461,1532,1228
D3C65_09535,30,33,31,44,32,31
D3C65_09540,48,72,52,50,44,49
D3C65_09545,199,179,168,179,189,177
D3C65_09550,3073,3401,3428,4118,4103,3367
D3C65_09555,668,794,662,1042,1289,997
D3C65_09560,931,1001,1012,1188,1388,1096
D3C65_09565,2583,3064,2613,4108,4047,3186
D3C65_09570,396,371,393,495,573,454
D3C65_09575,141,161,132,108,99,92
D3C65_09580,175,165,113,98,101,87
D3C65_09585,379,434,406,437,530,420
D3C65_09590,319,313,317,352,384,342
D3C65_09595,665,688,617,700,718,695
D3C65_09600,119,147,136,146,140,127
D3C65_09605,202,210,186,208,195,152
D3C65_09610,486,462,470,551,415,272
