,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161 BsrA_1,PAO1161 BsrA_2,PAO1161 BsrA_3
D3C65_00735,17,8,15,8,11,9
D3C65_00740,14,13,18,11,12,18
D3C65_00745,55,55,46,67,87,86
D3C65_00750,8038,9442,8602,7783,8311,6723
D3C65_00755,1267,1174,1141,1227,1376,1208
D3C65_00760,8397,9062,9019,6823,6942,5566
D3C65_00765,727,809,592,607,612,564
D3C65_00770,1486,1277,1289,1204,1402,1103
D3C65_00775,160,154,134,133,172,131
D3C65_00780,195,210,210,193,211,171
D3C65_00785,28,28,29,28,27,21
D3C65_00790,92,122,141,114,142,93
D3C65_00795,462,503,460,631,613,514
D3C65_00800,49,47,44,57,54,58
D3C65_00805,160,126,94,124,160,132
D3C65_00810,56,54,70,71,80,82
D3C65_00815,108,94,75,91,122,98
D3C65_00820,15,19,18,17,30,16
D3C65_00825,12,6,9,8,9,8
D3C65_00830,28,42,37,29,42,42
D3C65_00835,219,269,206,323,271,230
D3C65_00840,677,642,614,533,625,542
D3C65_00845,520,528,441,537,531,471
D3C65_00850,1206,1291,1168,1317,1426,1190
D3C65_00855,421,453,386,392,421,381
D3C65_00860,68,77,81,80,95,58
D3C65_00865,390,398,360,459,731,594
D3C65_00870,995,1144,823,1175,1381,1011
D3C65_00875,198,198,200,199,226,185
D3C65_00880,853,955,639,1110,1063,1005
D3C65_00885,1802,2028,1572,1560,1583,1335
D3C65_00890,23,23,20,9,15,15
D3C65_00895,542,610,527,809,736,682
D3C65_00900,213,209,186,301,273,271
D3C65_00905,252,271,250,406,376,320
D3C65_00910,206,205,199,321,345,272
D3C65_00915,278,338,295,654,579,392
D3C65_00920,571,553,461,878,828,653
D3C65_00925,12,11,8,14,14,7
D3C65_00930,7,10,10,8,15,15
D3C65_00935,36,33,34,49,38,34
D3C65_00940,368,374,394,306,296,295
D3C65_00945,94,105,83,68,65,88
D3C65_00950,373,364,353,361,459,342
D3C65_00955,435,460,426,354,400,310
D3C65_00960,326,360,319,325,303,311
D3C65_00965,217,206,246,184,160,156
D3C65_00970,68,73,81,53,80,57
D3C65_00975,103,92,86,110,113,94
D3C65_00980,32,34,26,29,29,19
D3C65_00985,29,44,36,34,33,21
D3C65_00990,35,27,33,31,46,37
D3C65_00995,15,15,12,28,21,18
D3C65_01000,22,16,14,24,17,11
D3C65_01005,16,14,15,20,10,12
D3C65_01010,53,47,38,34,35,36
D3C65_01015,53,41,44,73,62,40
D3C65_01020,4,6,3,4,3,1
D3C65_01025,19,14,19,21,19,23
D3C65_01030,24,31,34,32,31,32
D3C65_01035,19,22,26,30,25,31
D3C65_01040,610,636,490,638,653,491
D3C65_01045,96,118,85,129,123,91
D3C65_01050,257,269,202,305,331,287
D3C65_01055,5,7,4,18,7,7
D3C65_01060,24,19,20,22,37,24
D3C65_01065,14,24,21,26,24,11
D3C65_01070,481,571,485,491,504,326
D3C65_01075,720,740,802,975,977,876
D3C65_01080,14,15,18,15,19,21
D3C65_01085,14,27,24,18,16,21
D3C65_01090,7,13,9,11,9,4
D3C65_01095,6,12,9,11,12,7
D3C65_01100,43,35,60,57,48,40
D3C65_01105,166,183,175,131,132,136
D3C65_01110,81,68,85,58,65,50
D3C65_01115,27,20,23,7,17,20
D3C65_01120,4,2,2,2,0,3
D3C65_01125,35,25,27,22,20,9
D3C65_01130,29,23,16,17,20,20
D3C65_01135,13,6,14,7,11,9
D3C65_01140,32,21,14,20,16,17
D3C65_01145,22,21,31,20,23,18
D3C65_01150,55,48,55,46,53,42
D3C65_01155,116,139,128,122,128,125
D3C65_01160,148,142,154,143,145,106
D3C65_01165,6,5,7,7,4,2
D3C65_01170,37,46,54,27,22,32
D3C65_01175,16,14,23,15,14,10
D3C65_01180,30,29,55,16,34,26
D3C65_01185,19,21,16,19,18,13
D3C65_01190,155,146,164,162,163,155
D3C65_01195,42,64,53,46,54,41
D3C65_01200,285,328,301,332,369,286
D3C65_01205,62,92,65,65,81,67
D3C65_01210,55,51,50,46,47,32
D3C65_01215,97,103,108,80,91,90
D3C65_01220,34,43,42,30,34,30
D3C65_01225,227,191,215,178,164,150
D3C65_01230,133,152,114,115,119,97
D3C65_01235,78,100,89,100,70,88
D3C65_01240,135,102,146,142,164,152
D3C65_01245,31,39,33,29,38,36
D3C65_01250,31,47,44,39,45,23
D3C65_01255,324,338,284,264,277,214
D3C65_01260,28,28,24,17,15,14
D3C65_01265,34,22,19,13,16,27
D3C65_01270,151,105,116,114,156,99
D3C65_01275,10,10,8,8,5,9
D3C65_01280,12,14,16,12,15,14
D3C65_01285,46,48,34,43,38,30
D3C65_01290,336,383,315,351,380,301
D3C65_01295,15,33,17,21,24,25
D3C65_01300,39,46,38,56,53,45
D3C65_01305,223,187,209,264,320,265
D3C65_01310,29,34,56,20,38,30
D3C65_01315,202,168,190,170,206,149
D3C65_01320,166,188,177,160,145,102
D3C65_01325,160,199,211,172,192,152
D3C65_01330,15,11,11,13,5,10
D3C65_01335,49,60,41,47,68,55
D3C65_01340,187,193,160,180,229,153
D3C65_01345,210,245,177,203,169,145
D3C65_01350,437,371,328,310,387,321
D3C65_01355,144,161,146,135,174,119
D3C65_01360,267,325,287,333,399,291
D3C65_01365,809,822,811,1028,975,759
D3C65_01370,510,648,570,778,673,603
D3C65_01375,124,136,105,166,136,107
D3C65_01380,683,827,586,1076,854,778
D3C65_01385,29,40,35,54,47,46
D3C65_01390,147,157,139,261,304,257
D3C65_01395,7,20,2,21,16,10
D3C65_01400,3528,3886,3511,2283,2654,2041
D3C65_01405,10,18,16,23,18,16
D3C65_01410,4687,5113,3829,2670,3050,2761
D3C65_01415,4,4,2,6,9,2
D3C65_01420,566,549,478,486,556,509
D3C65_01425,166,157,160,132,170,113
D3C65_01430,132,133,129,119,103,104
D3C65_01435,72,87,85,64,77,52
D3C65_01440,51,57,53,37,46,38
D3C65_01445,136,152,140,182,184,174
D3C65_01450,14,20,16,21,19,10
D3C65_01455,45,50,51,26,42,30
D3C65_01460,196,142,195,148,148,123
D3C65_01465,36,49,69,29,29,19
D3C65_01470,1785,1858,1213,3641,1986,1959
D3C65_01475,46,55,42,36,38,47
D3C65_01480,105,109,85,73,97,65
D3C65_01485,407,431,356,1184,819,628
D3C65_01490,162,199,147,551,412,277
D3C65_01495,114,106,108,475,319,229
D3C65_01500,261,294,304,934,538,466
D3C65_01505,54,58,77,166,144,96
D3C65_01510,753,856,791,922,993,817
D3C65_01515,2175,2449,2391,2232,2274,1810
D3C65_01520,29,40,35,16,19,21
D3C65_01525,39,39,35,38,34,39
D3C65_01530,166,162,144,144,141,128
D3C65_01535,148,135,163,166,158,137
D3C65_01540,8324,9428,8468,12949,13933,12093
D3C65_01545,1587,1670,1593,1278,1383,1153
D3C65_01550,516,490,423,280,333,308
D3C65_01555,276,288,249,331,334,297
D3C65_01560,1754,1856,1825,1779,1744,1260
D3C65_01565,2260,2526,2607,2821,3150,2365
D3C65_01570,305,348,364,276,349,291
D3C65_01575,1174,1272,1585,1271,1449,1160
D3C65_01580,3291,3362,4084,2375,2596,2166
D3C65_01585,3437,3752,4370,3565,3877,2853
D3C65_01590,1715,1882,1966,1654,1834,1503
D3C65_01595,1259,1296,1461,1240,1295,1090
D3C65_01600,695,676,827,689,831,564
D3C65_01605,788,784,913,722,772,633
D3C65_01610,633,714,662,496,529,476
D3C65_01615,10,8,13,10,15,5
D3C65_01620,97,89,101,103,87,94
D3C65_01625,1011,1111,1079,1093,1119,883
D3C65_01630,195,203,172,194,255,190
D3C65_01635,351,329,329,372,376,296
D3C65_01640,656,681,624,676,728,658
D3C65_01645,455,451,428,367,455,409
D3C65_01650,23,29,25,20,13,20
D3C65_01655,328,338,293,327,330,250
D3C65_01660,224,269,248,282,286,256
D3C65_01665,704,685,765,685,745,596
D3C65_01670,1091,1200,1216,1154,1105,957
D3C65_01675,5893,6460,6117,7472,7911,6450
D3C65_01680,3796,4158,4003,4286,4823,3766
D3C65_01685,1082,1198,1036,1267,1276,1082
D3C65_01690,746,823,698,850,906,770
D3C65_01695,189,209,169,230,222,213
D3C65_01700,18,17,34,17,13,18
D3C65_01705,24,32,36,26,19,22
D3C65_01710,29,34,37,42,36,28
D3C65_01715,8,5,9,11,18,8
D3C65_01720,8,8,10,9,24,16
D3C65_01725,36,34,34,29,32,19
D3C65_01730,33,34,40,36,54,47
D3C65_01735,131,128,129,127,109,90
D3C65_01740,504,483,579,396,393,332
D3C65_01745,840,1016,923,918,1131,885
D3C65_01750,1562,1571,1288,1550,1876,1534
D3C65_01755,2351,2462,2348,2840,2987,2585
D3C65_01760,351,319,334,362,407,377
D3C65_01765,339,293,274,389,362,381
D3C65_01770,80,85,83,129,126,102
D3C65_01775,157,158,139,205,259,210
D3C65_01780,656,733,710,730,857,715
D3C65_01785,2085,2369,2002,2348,2768,2064
D3C65_01790,3553,3637,3595,3796,4146,3395
D3C65_01795,389,529,436,572,587,483
D3C65_01800,190,212,190,190,257,204
D3C65_01805,326,360,300,404,415,372
D3C65_01810,580,605,544,678,802,611
D3C65_01815,1789,1945,1730,2162,2281,1889
D3C65_01820,150,150,159,182,177,174
D3C65_01825,242,223,251,218,230,220
D3C65_01830,202,159,195,175,176,174
D3C65_01835,105,134,108,96,109,94
D3C65_01840,31,32,28,40,33,21
D3C65_01845,60,88,47,45,59,52
D3C65_01850,18,35,24,30,28,18
D3C65_01855,460,416,407,398,534,425
D3C65_01860,385,343,358,379,381,304
D3C65_01865,1071,986,835,927,1143,1011
D3C65_01870,3894,4202,3920,3561,3824,2989
D3C65_01875,2056,2018,1718,1679,2018,1815
D3C65_01880,94,80,99,87,70,71
D3C65_01885,715,777,704,998,1167,982
D3C65_01890,1112,1222,1050,1522,1540,1244
D3C65_01895,273,249,257,274,322,272
D3C65_01900,1436,1337,1482,835,961,783
D3C65_01905,927,1073,863,836,895,679
D3C65_01910,818,874,790,987,935,747
D3C65_01915,620,669,687,745,843,699
D3C65_01920,894,922,935,1019,1157,1002
D3C65_01925,175,197,204,189,163,160
D3C65_01930,82,82,78,88,88,76
D3C65_01935,375,365,344,282,314,241
D3C65_01940,214,235,191,298,308,254
D3C65_01945,138,125,152,147,135,118
D3C65_01950,241,227,192,290,278,237
D3C65_01955,148,174,170,244,216,207
D3C65_01960,317,313,287,467,429,409
D3C65_01965,891,1022,919,1345,1308,1108
D3C65_01970,1390,1635,1469,1871,1815,1511
D3C65_01975,4064,4447,3732,4904,5198,4240
D3C65_01980,1224,1312,1020,1768,1810,1537
D3C65_01985,1108,1048,1036,1324,1596,1351
D3C65_01990,7024,7675,7052,6687,7040,5490
D3C65_01995,125,136,102,150,182,143
D3C65_02000,265,264,239,252,338,289
D3C65_02005,220,211,222,183,223,166
D3C65_02010,394,378,371,372,462,335
D3C65_02015,2161,2340,2059,2312,2503,2015
D3C65_02020,694,693,619,829,955,846
D3C65_02025,200,163,131,207,187,195
D3C65_02030,69,90,74,93,100,85
D3C65_02035,99,93,100,154,166,125
D3C65_02040,276,291,222,452,494,397
D3C65_02045,995,947,1038,1197,1286,1076
D3C65_02050,1069,1197,1083,1244,1184,983
D3C65_02055,715,649,666,1240,1127,966
D3C65_02060,1672,1893,1482,2491,2392,2040
D3C65_02065,1544,1570,1598,1035,1109,983
D3C65_02070,184,188,204,288,288,270
D3C65_02075,623,596,594,771,786,672
D3C65_02080,1465,1373,1318,1388,1501,1282
D3C65_02085,1307,1543,1304,1563,1621,1312
D3C65_02090,1512,1677,1700,1438,1584,1401
D3C65_02095,2709,2802,2880,1340,1666,1205
D3C65_02100,105,91,105,103,129,114
D3C65_02105,272,269,286,282,345,267
D3C65_02110,1594,1434,1734,1770,1846,1660
D3C65_02115,1358,1360,1343,1671,1378,1438
D3C65_02120,2321,2317,2175,2674,2674,2469
D3C65_02125,1854,2096,2148,2285,2465,2002
D3C65_02130,793,818,777,703,760,601
D3C65_02135,212,205,199,315,300,296
D3C65_02140,612,640,655,844,957,789
D3C65_02145,252,284,254,306,324,248
D3C65_02150,819,858,835,1130,1198,960
D3C65_02155,5950,6582,6312,5536,6339,4436
D3C65_02160,3933,4447,3839,3694,3995,2722
D3C65_02165,1739,1676,1622,1578,1642,1341
D3C65_02170,10130,10423,9353,8347,9503,7998
D3C65_02175,1281,1309,1171,1101,1243,1043
D3C65_02180,9452,9537,8539,8398,9343,8113
D3C65_02185,590,575,533,658,722,675
D3C65_02190,473,528,450,572,556,509
D3C65_02195,248,272,230,258,286,263
D3C65_02200,97,75,79,86,93,82
D3C65_02205,539,532,442,603,556,470
D3C65_02210,555,556,537,530,568,486
D3C65_02215,1099,1209,1090,1059,1098,894
D3C65_02220,6,10,9,4,3,2
D3C65_02225,1878,2044,1935,2097,2190,1909
D3C65_02230,739,838,775,1088,1237,820
D3C65_02235,6651,7392,7360,6399,6650,5231
D3C65_02240,149,151,152,187,190,159
D3C65_02245,4069,4398,3705,3359,3667,3023
D3C65_02250,7873,8024,7488,6622,7360,6151
D3C65_02255,4854,4880,4238,3936,4210,3513
D3C65_02260,6645,6828,5898,9541,10505,8753
D3C65_02265,2239,2225,1975,3100,3387,2716
D3C65_02270,1574,1394,1218,1638,1799,1497
D3C65_02275,1525,1600,1289,1645,1832,1603
D3C65_02280,11730,12751,10175,11038,12367,10409
D3C65_02285,38,45,34,63,50,42
D3C65_02290,25,28,26,29,41,24
D3C65_02295,21,20,19,14,19,11
D3C65_02300,473,562,533,699,785,644
D3C65_02305,644,692,620,706,696,635
D3C65_02310,345,332,323,331,324,279
D3C65_02315,8,9,7,10,8,9
D3C65_02320,15,19,12,16,16,18
D3C65_02325,22,24,23,10,15,18
D3C65_02330,71,78,54,89,96,70
D3C65_02335,6,9,6,14,9,6
D3C65_02340,5,2,4,4,2,4
D3C65_02345,41,42,19,45,52,32
D3C65_02350,49,53,64,54,71,51
