,High-Mg-Rep1,High-Mg-Rep2,High-Mg-Rep3,0point75percent-DNA-Rep1,0point75percent-DNA-Rep2,0point75percent-DNA-Rep3
PA0165,76.430092,39.3585511,88.172629,86.52046892,77.221692,103.0570094
PA0166,21.5369724,25.5422425,28.6103859,27.8793302,25.7251965,22.9900631
PA0167,116.2759365,62.9543409,55.4057736,99.67391859,73.7571512,93.0907699
PA0168,39.8792331,25.3369537,62.4369631,45.95027442,21.8729463,45.6105736
PA0169,133.1560836,101.5195909,137.4046111,153.4271875,80.3367365,118.0270225
PA0170,176.7426081,117.9066115,264.1391927,190.0725262,74.643582,127.3504678
PA0171,111.6114923,49.638032,55.6005704,100.0243543,52.374226,89.3564056
PA0172,65.9191369,51.116541,43.7845188,46.95755119,36.3407143,56.8346214
PA0173,19.2396953,51.3399074,25.5586114,28.73715575,17.2358817,25.6722372
PA0174,11.167319,29.7992829,16.6893918,40.03185875,4.2875328,17.8811602
PA0175,43.9340611,74.6042545,23.875927,25.05552725,6.1337657,41.5689249
PA0177,145.4853506,425.19162,144.9504582,80.71238189,101.0746147,94.2900068
PA0178,66.6374865,118.5452723,104.8302421,84.86441307,49.8224704,64.5817216
PA0179,110.3916946,261.8428793,109.9858278,131.9082559,169.5332622,51.5549025
PA0181,18.0436585,41.7285778,21.5727829,35.57493557,49.8787572,37.5590608
PA0182,13.4141302,3.9771951,13.3648117,12.02151934,27.4675405,17.8989701
PA0184,20.0413493,21.3916281,15.9741321,21.55286681,18.4670161,19.2541779
PA0185,8.3288724,25.9292462,20.7456261,31.72283427,14.3898826,18.3373123
PA0186,19.0222977,36.6598523,22.1110868,25.57119791,26.7789122,17.7675088
PA0187,8.2523203,22.0207936,53.4428685,11.09338733,22.1785242,42.9443673
PA0188,0,6.790993,11.4100944,13.68435988,17.5876343,9.1686561
PA0189,4.9550356,15.4258981,14.8104536,17.76248037,20.9265671,11.9010371
PA0190,23.188338,8.2502147,18.4824669,16.62480085,7.1222651,11.1387806
PA0191,11.0030937,22.8363786,18.2710662,9.860788737,2.8163205,20.554569
PA0192,12.7697093,17.6686014,35.3410003,22.88800015,19.6109905,24.9906733
PA0193,14.9144925,16.5826574,22.2894867,20.04917843,11.4524131,20.896007
PA0194,0,9.9827598,18.6364875,10.05800451,22.9811755,5.9901887
PA0200,695.5195029,956.0953023,850.4537951,722.4763804,886.0699726,734.0090342
PA0201,208.2647434,159.5183263,219.0267601,114.059845,159.9205515,120.4213186
PA0202,41.567243,73.9463687,105.8368425,62.08644761,70.9295541,68.4064756
PA0203,32.5308858,8.6806607,29.1701543,14.57681813,22.4815848,10.4177194
PA0204,20.7836215,25.881229,20.7072083,11.17556057,12.7673197,19.9672956
PA0205,14.6230041,13.0068531,14.569241,26.20978374,14.0357342,20.487616
PA0206,45.37664,29.5984791,24.1118976,21.68841943,37.1663216,14.531455
PA0207,30.1292768,43.548952,37.5231292,23.6261851,8.6757794,24.1215651
PA0209,19.0869993,10.1864896,22.8201888,27.36871976,8.7938172,21.393531
PA0213,4.8585089,4.321541,19.3625844,0,11.1921309,7.7794658
PA0214,25.261122,25.6791248,14.3818553,16.17042526,16.6262524,26.0024267
PA0215,16.6268972,88.7356424,57.9801833,14.90074743,57.4529389,66.5576519
PA0216,8.802475,23.4888465,30.6953912,11.83294648,47.3141849,21.1418424
PA0217,50.6852189,16.1012254,21.6423726,45.42324618,13.8999046,26.0863055
PA0218,36.5575101,26.0137063,25.4961718,58.97201343,47.7214964,26.3412205
PA0219,11.290901,10.0430179,22.4987776,109.2821416,64.1577084,77.7398731
PA0220,11.7397025,16.7075477,11.6965403,75.7506616,102.76624,58.2727559
PA0221,9.738096,15.1582036,16.9790125,109.088986,115.9028918,83.8106658
PA0222,15.896821,25.4517955,28.5090743,68.38303351,112.3017785,50.908119
PA0223,7.6347997,27.1639722,3.8033648,23.94762979,26.3814515,30.5621871
PA0224,25.8003577,45.8977461,59.9794999,26.97549103,29.7170373,86.0659292
PA0225,118.4666426,133.1034637,86.9702749,122.9311663,124.4813675,104.8283017
PA0226,31.6145229,7.0301125,15.7491444,7.083101769,33.3793483,31.6383204
PA0227,30.1004174,26.7736852,47.12675,34.68277418,19.8113582,37.8690088
PA0233,32.1682804,44.50912,28.4888981,32.0318615,19.21197,25.7539959
PA0234,32.2968507,53.8638117,56.3116888,54.26980852,55.7996169,35.5532781
PA0236,8.6331966,7.679046,0,11.60538982,13.2583705,13.8235123
PA0237,6.4500894,0,16.0659375,8.670693545,12.3820989,18.0738451
PA0238,8.2523203,11.0103968,16.4439595,22.18677466,19.0101636,23.1238901
PA0239,7.6608571,40.885023,26.7144189,37.7604265,47.0604277,39.8664434
PA0240,23.9356399,23.6558288,29.1471131,28.6009607,22.4638268,34.0674237
PA0241,7.6175264,6.7756288,12.6491996,15.92896642,11.6985622,18.2958251
PA0242,15.9068347,6.2883526,24.6529913,14.25543947,25.7859647,21.225078
PA0243,100.6561042,76.1017561,125.3575391,117.268214,127.5300661,100.7318723
PA0244,19.6897467,14.0108909,11.7704131,28.23299512,15.1191944,28.3745779
PA0246,26.8282604,33.8061586,24.5021549,40.07173112,24.0340979,51.9070134
PA0248,58.2516727,44.9051478,30.9533356,73.08584594,47.7117831,43.5273225
PA0249,75.323192,66.9983877,75.0462583,33.75169299,109.8932052,72.3646953
PA0250,139.3219318,172.1165478,246.7727998,159.5407612,166.4154091,130.1316849
PA0251,36.7112567,27.9890461,20.9007336,14.10000633,52.351977,20.9936519
PA0252,23.3815742,51.9935405,34.943414,20.95417607,89.770217,28.0790094
PA0253,28.2343537,18.8353958,56.2610943,25.30315601,32.5205314,16.9533642
PA0254,18.0654416,40.1720715,40.4977998,26.30866371,26.0098818,34.3501765
PA0255,49.0094132,43.5928374,14.6487675,61.48998392,37.6329294,31.389635
PA0256,155.1754635,301.7297166,197.7505103,100.2566366,119.1548089,121.3446579
PA0257,212.5597654,374.3534915,309.1962696,190.4925097,479.8626144,190.5969122
PA0258,886.9913308,1433.009064,1370.683596,876.0197478,1403.890361,884.0359086
PA0259,284.662159,406.7818952,348.707666,273.929021,403.1261303,278.3382885
PA0260,184.7046531,224.1595988,205.8591086,130.4594728,169.4741502,134.0899974
PA0261,40.5656227,84.1919499,67.3607981,54.53134976,62.2983674,32.4769265
PA0262,35.2099,52.8499047,53.7169345,29.58236621,38.8652233,40.5218645
PA0264,72.6679141,229.81893,144.8014855,354.562749,192.1986804,161.6058094
PA0267,16.8347334,32.4439693,33.5456775,37.71751692,19.3903669,31.4484905
PA0268,28.4130522,21.0606746,14.1542943,25.46330256,18.1813098,28.4344399
PA0269,46.1225573,47.8625469,45.9529828,82.66853024,82.6377888,67.6973377
PA0270,107.280164,161.4858199,139.7736561,170.0986057,158.4180299,85.8887346
PA0271,82.6969361,136.6061864,47.0816526,84.69898536,45.3575833,47.2909632
PA0272,50.5222439,54.5681402,53.9319574,113.1929768,121.925851,106.8988653
PA0273,8.3134486,7.3946369,8.2828833,39.73532647,89.3712382,104.2736546
PA0274,13.1009599,15.5373693,17.4037237,19.56810216,10.0598531,6.9924381
PA0275,14.7028239,4.3592837,9.765845,21.96070854,26.3430506,11.7711131
PA0276,13.0501809,23.2157204,13.0022006,87.71515563,35.073015,20.896007
PA0277,84.2845679,59.1863228,83.9746867,135.1668591,74.9386159,92.3388767
PA0278,8.9427535,23.8631708,8.9098745,16.02869245,20.6006554,14.3191761
PA0279,19.2672199,17.137785,38.3927639,8.633480268,7.3973741,19.2817232
PA0284,367.9723152,163.6517996,201.6406843,181.3738519,84.7666311,162.0296935
PA0285,58.9916195,51.1600041,52.8972575,55.51066879,58.8873749,56.674584
PA0290,45.0311799,43.1353817,69.0240277,65.19076999,50.5373073,58.2379454
PA0295,47.5557441,45.1198182,56.8570805,56.82488425,65.7300572,50.7643108
PA0305,25.3789951,38.877582,56.1904145,37.90705218,35.7276441,30.4777187
PA0306,38.3697628,22.7527288,54.1573141,37.25186856,29.4630456,51.1981938
PA0307,60.5170156,107.6572132,93.1824374,83.81670427,71.8161736,140.9456158
PA0308,89.1250593,73.4026454,72.353422,109.454755,55.7631465,58.1400665
PA0309,44.7137674,43.7491464,49.0043097,72.12911602,75.5357364,85.9150566
PA0310,134.8705396,282.7734528,153.5710557,207.2035264,270.0041547,231.3806782
PA0311,30.332853,59.35695,24.1770648,59.80435115,55.9001567,72.853646
PA0312,54.4152999,121.0031488,74.5459499,67.05336341,52.2299444,136.1406516
PA0313,208.9158837,289.5432489,295.2794121,278.6633285,276.0725634,202.2661109
PA0314,117.9086388,77.6868465,87.0186186,109.5813721,110.6583842,87.4054767
PA0315,507.3481305,369.2253615,375.2826932,427.1207396,259.7187647,350.7952954
PA0317,463.4077157,371.4016002,399.1815384,419.6242743,452.2102285,394.1930609
PA0318,222.4409221,170.8760682,221.6230944,253.7154291,190.2158111,198.3238141
PA0319,146.2411186,124.0282275,155.8688044,158.4897681,240.2577443,166.0915949
PA0320,86.3319663,76.7904598,66.9002115,60.17609537,103.1206595,61.4378325
PA0321,52.0494173,34.7226427,35.6524108,52.47654528,37.469308,31.2531583
PA0322,33.7901459,27.9087908,21.6423726,12.97807034,24.0931679,13.5262325
PA0323,45.150626,65.97801,61.0505624,34.68277418,42.0991362,46.4756017
PA0324,68.2777528,91.0974276,76.5300627,26.77035421,55.7053209,88.8278928
PA0325,36.2037278,54.7441665,64.9271177,58.40131652,47.2596755,34.7817407
PA0326,12.8264636,28.5221708,28.7534378,14.36857787,14.7736129,30.8066846
PA0327,45.3108767,62.0047191,45.1442865,68.71928549,66.9094785,64.1805929
PA0328,46.7631484,35.432635,31.0608125,29.49106261,15.9591497,24.9591195
PA0329,303.3285301,458.667341,312.2870876,326.2055517,333.8481582,218.560938
PA0332,21.5829916,51.1936399,64.5109182,38.68463274,66.2918525,57.597968
PA0333,39.70456,51.7973384,55.3820147,30.83822138,38.6181311,33.9067283
PA0334,32.6096531,14.5027987,35.1972403,41.4009871,39.6467012,19.5805199
PA0335,164.7435687,91.5849521,143.6206375,156.8679603,126.5018837,115.4073047
PA0338,187.5487543,153.5809196,160.1650383,146.7348138,150.8711127,169.2188577
PA0339,22.2681659,35.6527135,22.1862946,23.94762979,20.5189067,49.9182389
PA0340,41.8774463,74.4982073,75.102263,116.3425895,112.5477347,97.2288086
PA0343,88.6038601,67.5525097,84.0743796,86.96770819,90.7151666,108.0936301
PA0344,31.7176137,34.7226427,36.4626929,26.23827264,13.1142578,15.6265791
PA0345,14.5755268,10.8038526,29.0438766,32.65585881,13.0574861,11.6691987
PA0346,18.5506704,41.2510734,120.136035,24.93720127,21.3667954,22.2775612
PA0348,36.8980459,27.3500268,64.334176,33.06741209,30.6940358,32.0023778
PA0349,25.8747104,28.7687602,12.8897896,11.59424151,12.4177822,28.4836061
PA0351,56.8261044,31.5910119,99.08006,101.8532102,59.9983222,62.5557678
PA0352,111.7457053,66.9838859,94.3925989,108.8528627,85.8063373,132.2509187
PA0354,140.6410478,90.070013,112.0991728,128.5609599,144.7122896,141.8728896
PA0356,151.0024574,127.0533062,121.9842817,128.0109665,150.4222399,130.6950255
PA0358,58.1510654,108.6207022,75.3184468,72.95961822,125.0271208,102.4229151
PA0359,97.5926575,199.6551955,204.1910803,166.1757267,157.3710934,132.8259227
PA0360,102.338805,106.1995721,122.3550546,107.000048,130.9717451,92.857028
PA0361,34.9510036,39.7237846,73.5141721,46.9837581,31.3108577,46.636417
PA0364,29.53462,22.5175032,54.6483468,30.24963763,32.3982738,43.9130372
PA0365,36.7972315,27.2752999,36.6619426,38.4732413,32.964801,14.7299721
PA0366,32.9400794,33.4851481,65.6379433,69.58367901,61.4276705,60.2786281
PA0367,140.2894452,171.0009776,207.0720832,153.6639578,175.5506465,137.275157
PA0368,40.443804,38.9717349,40.2951081,33.22463953,38.8195533,43.172531
PA0369,34.7107906,51.4575246,57.6386211,62.2144609,53.3068505,55.5790701
PA0370,50.7579902,45.1481598,78.6665803,146.5739351,86.6124706,72.2434814
PA0371,74.6701886,86.5440867,69.8868281,99.36335103,88.6118916,88.7659007
PA0372,55.3932573,57.8400244,67.1873369,120.8687237,98.0152069,75.1987204
PA0377,72.2282292,79.0713645,99.6406262,99.58420309,81.0598395,71.1705585
PA0378,45.9965394,102.2823747,68.7411424,111.2975909,137.7457755,92.0623259
PA0379,62.3508645,39.6141261,35.4980714,111.7556057,54.7170846,42.7870619
PA0380,16.7509785,0,33.3787836,60.04778813,51.450393,13.4108702
PA0383,54.9909629,75.5932811,77.2023758,56.00225229,51.8228068,76.0447114
PA0384,26.1003619,23.2157204,39.0066017,46.78141633,50.1043071,41.792014
PA0385,93.5262968,92.4329609,20.7072083,65.19076999,103.7344729,66.5576519
PA0386,52.4718964,36.3009446,55.1833655,54.86184279,60.4375071,65.3475128
PA0387,170.0478123,121.0031488,197.6597157,198.1122101,152.3373379,154.2927385
PA0388,280.5788904,306.6133359,231.6249159,201.1600902,326.2506171,211.7959565
PA0389,314.4652298,163.9680349,270.0940215,306.1131808,224.8158477,299.5094335
PA0391,59.8796412,74.5663459,92.0460662,55.19636622,65.6855246,79.443051
PA0392,232.3986769,302.5078719,288.0184429,345.4264176,226.3297592,317.6615204
PA0394,106.8871963,133.9677719,125.8567986,161.1022368,100.7291785,89.4638568
PA0397,130.9368155,336.0862457,249.7289323,33.52668171,83.3067613,47.9215094
PA0398,706.6431313,576.7816758,588.0847162,782.2892398,497.9254701,499.1823892
PA0399,173.9834167,115.5210192,141.6047521,142.7446055,90.3190305,103.9781658
PA0400,51.1434939,50.5456191,62.2788949,71.29724717,47.9986578,47.769859
PA0401,95.2909439,91.8225545,123.9502234,102.0033476,91.4639946,93.2435029
PA0404,38.7005366,27.5386477,84.8281499,69.36554836,53.4906672,61.967469
PA0405,82.6969361,136.6061864,94.1633052,275.2717024,104.3224416,99.3110227
PA0418,14.2667232,27.4948892,37.9047203,31.96399739,23.735854,47.5915413
PA0419,37.2552883,37.2800158,23.1989471,33.38756684,35.7590906,29.8266656
PA0421,142.2653529,62.2667109,94.4948661,149.7570088,110.9754956,108.4742415
PA0422,271.7185044,189.1470273,170.6709906,142.9295378,122.4654749,170.2474675
PA0428,245.5065291,180.9375209,251.592581,180.7297686,164.2794971,255.5189855
PA0429,245.2118033,408.258523,278.7642666,363.4404992,463.4858933,407.7355313
PA0431,212.3299711,237.4278,193.4165188,413.1936989,302.7925156,490.547883
PA0433,0,27.5386477,23.13495,34.68277418,0,24.7869876
PA0434,18.4237849,34.1407653,29.0637425,34.39810025,33.0098965,22.1251839
PA0435,20.4885194,24.2988068,29.4857206,32.64261099,26.2209153,40.0965976
PA0436,384.9488158,631.7591934,448.3560757,447.0224228,549.54985,434.0716428
PA0439,39.5181536,21.0903376,28.8734313,30.693441,34.3908437,25.3106564
PA0440,19.6897467,8.7568068,14.7130164,6.617108232,3.7797986,11.8227408
PA0442,0,0,28.6715192,77.36926548,22.0972842,0
PA0443,11.290901,12.0516215,8.9995111,14.16620354,10.4039527,19.8869443
PA0444,44.5779545,41.9835691,67.9273843,42.30001898,50.3384394,48.2853993
PA0445,43.0386498,79.5087062,59.3728805,77.14103756,50.8433087,68.913675
PA0446,46.7631484,56.2753615,43.8505588,39.44315495,42.244808,61.6637069
PA0448,48.1521528,39.5356823,51.6655099,66.38946873,45.5072783,38.5507192
PA0449,311.7543226,288.3908379,291.9716373,173.2211888,363.8686128,299.5094335
PA0450,31.1178067,38.7500841,35.1371853,39.04216169,35.0452307,54.8085655
PA0451,15.1664265,22.4836932,30.2213311,29.44911231,23.291732,18.2134115
PA0452,38.1163776,33.9037124,75.9524773,22.7728404,32.5205314,16.9533642
PA0453,24.9403458,35.494257,19.87892,22.35112114,38.3019592,55.9084276
PA0454,38.2260069,36.7213234,57.8899066,54.81201369,37.5714042,51.4144259
PA0456,2276.697282,2766.650566,2699.62833,3103.612821,3176.326763,3401.571423
PA0457,166.7440263,62.7487757,102.2344456,74.71660495,128.037978,128.3611858
PA0457.1,71.8281959,95.8344938,107.3461679,64.37122888,124.0983479,86.2587168
PA0458,65.7423341,75.1839648,100.5902463,56.8129962,77.5254091,84.5894844
PA0459,243.9816438,279.1888162,227.3169684,143.0104049,173.1689638,181.60619
PA0460,145.3776634,165.5172605,75.3184468,140.7078351,80.3745777,116.3896762
PA0461,208.5383645,252.9415483,230.4376493,305.8177048,192.1567888,203.383095
PA0462,85.9645962,89.2076405,114.198051,141.2400634,143.0211457,110.8822158
PA0466,0,88.9552851,55.3559034,29.87526093,51.1956881,26.6889594
PA0467,32.5308858,43.4033034,27.0094022,48.58939378,29.1427951,52.0885971
PA0468,10.6212829,18.8948135,31.7466979,22.2101046,19.0301533,42.517112
PA0469,90.2561466,87.2618861,101.6535681,101.986759,99.4377788,94.2512203
PA0471,6.9278738,9.2432961,3.4512014,15.5216119,7.9795748,8.3197065
PA0472,25.9494928,11.5407627,12.9270433,17.44162632,0,20.7752208
PA0473,112.2315561,123.7862212,138.6554669,72.41763249,110.3096426,122.1998489
PA0474,16.6268972,14.7892737,24.84865,22.35112114,25.5346395,33.2788259
PA0475,53.1623161,10.5081682,47.0816526,47.64317927,18.1430333,23.6454816
PA0476,27.2785032,39.8617144,44.6499179,13.96945071,40.3965976,40.5585691
PA0477,32.6888028,45.2293323,28.9498835,29.29515877,41.8346642,43.6178787
PA0478,42.3515306,62.7846527,84.3916414,50.60631201,54.2008857,118.6735491
PA0479,3.5404276,22.043949,17.6370544,6.345744172,32.6231199,17.0068448
PA0480,12.6576943,3.7529172,25.2223139,18.90602352,12.9593095,23.6454816
PA0481,37.9160663,60.7059716,37.7766638,47.57164296,81.5210619,78.9247832
PA0483,60.665706,161.8825909,90.6639932,67.95948995,81.5210619,91.0670575
PA0484,104.4014476,185.7257632,149.5253066,76.01980154,45.0938764,67.9120227
PA0485,108.8533488,160.2583509,134.6314815,205.1967476,204.6400665,234.3986871
PA0486,44.8926225,86.005315,75.6928107,55.70587114,50.3818079,74.6469665
PA0487,35.4882391,67.0778325,39.7774832,83.48541295,71.5323152,56.8239241
PA0488,0,37.3187281,41.8014673,56.4000253,0,16.7949215
PA0489,37.1013409,8.2502147,9.2412335,4.156200212,7.1222651,11.1387806
PA0490,45.8087984,91.6784061,57.0504719,112.895969,79.1443546,36.6746245
PA0491,47.2171595,61.3826653,68.7559732,55.3352999,47.4126194,84.3278988
PA0492,31.0522092,27.620284,22.0986018,15.90198342,20.4378043,17.7574763
PA0493,27.0437485,12.0274214,53.8886385,48.4723109,20.7661225,32.4769265
PA0494,29.3415833,30.4485048,48.7228431,35.06058218,35.6733934,54.8121839
PA0495,57.4564281,71.5487902,80.1432568,54.92425672,61.7668114,52.1330413
PA0496,34.4268577,45.9329437,44.5903688,24.68221966,52.8708026,19.2935525
PA0497,84.0056558,215.1972167,97.0882881,132.5006582,157.3935301,86.0865438
PA0498,247.1766415,531.8196427,479.2239639,293.3584649,382.164638,296.8352421
PA0499,43.1659831,136.516373,181.5862883,34.38634021,125.2179437,72.9574261
PA0502,218.874819,169.8311829,208.7905237,121.0299298,135.8845442,167.7749939
PA0503,69.3795074,10.8902834,48.7937127,47.54693042,43.8731533,45.7432589
PA0505,87.4531606,168.5401001,217.8290745,130.6234352,268.6111427,105.0227884
PA0506,482.856695,243.7650642,302.7655276,390.9589794,253.384639,291.0515259
PA0507,84.3141908,61.6631238,89.6044807,428.1788231,332.3446296,490.5154495
PA0508,79.4894664,42.0858338,47.1411994,105.159575,75.5704761,87.8830378
PA0510,36.0744288,74.8706983,55.9094625,17.96072234,49.2453762,44.926415
PA0512,52.2007238,179.9218331,104.0176046,40.93373929,55.1147379,83.584028
PA0513,60.665706,155.137483,105.7746587,33.97974497,128.1045258,24.2845487
PA0515,44.5953203,191.7218765,59.2418145,53.28744112,97.0231749,71.4062226
PA0521,57.3911367,283.6011299,63.5334801,154.2989329,176.2760624,86.7896654
PA0522,26.1003619,46.4314408,13.0022006,35.08606225,50.1043071,10.4480035
PA0525,144.6377314,514.6088236,167.8195937,232.9912954,272.7374422,214.0051091
PA0526,310.7950786,860.0531497,412.8698766,263.0555026,437.5262267,248.8232217
PA0528,49.795571,61.3275344,49.6124923,51.49149068,32.3540441,64.3996393
PA0529,33.5735424,38.3952299,71.678798,90.26414306,128.9008244,122.875665
PA0530,14.2425833,27.8706491,5.6760876,20.42234419,39.3713033,45.6105736
PA0531,14.087643,25.0613216,18.7144644,37.8753308,18.0291649,33.8357937
PA0532,26.5636819,64.9765429,59.5485399,65.46630156,61.1924793,47.8506196
PA0533,51.9381447,74.3183323,74.2459662,44.52235398,50.2857714,50.6213127
PA0534,7.8301086,16.2510043,20.8035209,21.05163735,28.058412,14.6272049
PA0535,36.3994236,26.9804318,36.2655973,32.62055517,23.291732,33.9983681
PA0536,105.0119824,96.324875,98.0867762,152.9287236,70.5562407,99.8364778
PA0537,149.2734983,108.1875443,115.6747499,133.7764147,157.0757688,141.6399291
PA0539,16.2067229,25.2271908,44.4046272,39.94153416,40.4452097,35.6816293
PA0540,113.1015682,46.4314408,78.0132034,15.59380544,86.8474657,55.7226853
PA0541,293.4158331,221.8391061,226.5612204,203.7896339,292.8973354,305.3821675
PA0542,344.7112082,242.4384517,399.3533032,251.4501128,258.5382249,385.0835574
PA0543,13.8986447,9.2719131,24.2332035,9.341799856,10.6723725,13.9091068
PA0544,49.7801257,72.4555145,67.6324143,77.05729263,79.9244512,54.3464698
PA0545,74.8210374,121.6290271,254.4844498,80.92647309,116.8870135,107.4102796
PA0547,194.8931215,355.6731776,190.8287042,292.1037239,237.3804061,244.8086088
PA0549,56.9061411,73.1131702,56.6969197,67.99777698,65.5449021,93.6494285
PA0550,63.2884715,56.2937581,58.8520657,60.49927526,77.7558571,81.0702226
PA0553,335.0195706,208.5949803,250.3408767,390.3106229,257.2519651,227.9847927
PA0554,177.2077202,140.1089091,98.0867762,202.9246524,98.2747638,291.6276063
PA0556,97.5926575,74.4056629,13.8905497,68.71928549,53.5275828,72.5519746
PA0557,35.8731001,72.9334047,30.6353219,32.14887287,23.6107968,24.6172137
PA0558,61.3766323,46.7941864,39.3113408,43.21798814,37.0302145,73.7073997
PA0559,57.1152957,40.642279,39.8337137,74.21937172,61.4000873,48.0129626
PA0560,151.4781739,263.3488775,96.0407944,203.6283122,306.6506553,203.9604118
PA0561,309.0011676,316.3368032,241.0641758,224.6723086,355.9097641,249.7208523
PA0562,14.9642075,8.8735642,29.81838,44.70224228,30.6415674,15.9738365
PA0563,294.8456136,321.4787046,265.3330421,289.8069097,452.8070605,365.5030375
PA0564,14.76731,9.8514077,25.7477788,9.925662347,19.8439427,32.5125372
PA0565,89.3879651,53.0058041,138.5367211,97.90977844,53.3854742,159.0315576
PA0566,58.7258143,46.4314408,65.0110029,58.47677042,60.1251686,41.792014
PA0567,84.7030612,188.353958,295.370745,303.6378721,195.1231886,220.3937341
PA0568,66.0185624,130.4935918,182.7106616,164.346479,107.0201802,99.8364778
PA0569,50.0395473,31.7922286,49.8555716,64.06372301,38.42394,51.5079917
PA0570,9.6751342,43.029137,19.279125,8.670693545,14.8585187,7.7459336
PA0571,49.2723905,73.0445837,65.4549804,49.06343664,25.2232415,39.4475839
PA0572,44.9412075,61.5819596,47.1962995,42.45261645,26.1149722,35.0075961
PA0573,140.2894452,169.350389,199.6766516,98.78397289,115.4188504,128.3611858
PA0574,141.0396561,117.4442326,86.704514,91.43640465,131.3429485,108.1116939
PA0575,34.2279224,64.8959504,52.947966,49.24063204,33.8907785,41.8255549
PA0578,202.0168011,179.6896759,283.2746098,308.4454717,338.9723393,467.2347163
PA0581,53.1623161,84.0653455,76.5076855,84.69898536,131.5369916,141.8728896
PA0583,124.0127692,66.1840427,67.9562527,83.35362855,90.4645722,163.8200769
PA0585,39.8455229,29.5347922,19.8495133,23.80592784,15.2981198,15.9502065
PA0586,359.6609714,647.5303637,308.6893101,254.3626624,231.2536246,197.7456105
PA0587,232.9334184,506.2012621,253.1749243,239.5892584,247.9690522,201.3211994
PA0588,833.4199801,1344.012743,936.7669684,682.5634887,607.6925515,557.9005672
PA0589,50.554755,143.8956364,120.8853242,108.7351839,131.9864812,153.8021415
PA0591,106.0455649,157.2088153,211.3113542,166.3134604,108.5724829,212.2507796
PA0596,344.3091988,323.9243584,441.9981102,278.8945204,305.0598524,386.9767902
PA0597,114.7255907,102.0459888,104.3643299,84.93426032,91.9247022,91.8495596
PA0598,93.1566276,173.6132135,137.0113309,99.38739636,115.8142246,81.684391
PA0599,142.6672324,157.9193637,116.8728876,88.07857059,85.2056297,109.1432681
PA0600,47.8179563,72.5563994,68.6607434,47.89525958,62.6366627,49.5429138
PA0601,164.889964,269.6764489,217.2784797,262.1754731,347.1682325,255.5056779
PA0602,133.3766319,231.4842846,187.985439,134.1067268,184.8485859,171.8923705
PA0603,109.1982708,56.6589068,51.3762628,57.08597155,76.8627155,70.4251911
PA0604,180.0850185,125.8571433,144.1791295,126.8057875,155.5674132,144.1764608
PA0605,48.561731,57.5928448,64.5109182,53.19137002,66.2918525,84.2370282
PA0606,60.7752109,32.4349596,24.2207058,65.35887409,77.7792494,22.7064913
PA0608,152.1087025,120.6707225,176.1250466,169.4755339,220.9728418,227.1005595
PA0613,121.5841858,124.7844972,102.5006812,117.343386,100.542643,67.3896225
PA0614,22.4463112,33.2758659,22.363785,6.705336341,11.4905878,23.9607547
PA0615,91.3512666,87.0589515,130.0220057,87.71515563,95.1981836,62.688021
PA0616,54.3055917,85.8732024,30.0588508,37.85270515,50.9663167,43.4771758
PA0617,123.5576765,137.3774281,71.8103187,101.5027978,71.1573096,82.433789
PA0618,151.6642651,118.0393892,132.2183234,146.1129034,101.9013274,109.280469
PA0619,107.1874413,140.2073002,75.3835449,101.710158,106.5138754,131.2457068
PA0620,462.2253396,431.3360076,295.7061164,399.7039365,413.4619011,315.5236662
PA0621,454.7945412,476.3016101,445.8140143,394.4315495,405.5501567,334.7458374
PA0622,336.4046644,154.7714694,144.4688952,215.7143087,169.2412153,167.1680559
PA0623,247.1766415,184.2056863,153.0854329,155.6595936,159.0215272,219.2836924
PA0624,195.185315,156.2518921,165.2975412,183.6679085,112.4079239,132.8259227
PA0625,147.4355563,135.1553267,88.4358789,148.3083775,85.4862763,157.7844603
PA0626,154.2701803,109.7760525,69.1663453,100.2344092,79.9602757,111.1581403
PA0627,178.9198721,57.8710712,32.4112826,87.4609088,62.4488466,39.0664478
PA0628,193.8545061,114.9529913,81.3228545,137.154607,78.3449166,87.130017
PA0629,32.0661589,28.5221708,21.2988428,47.89525958,32.8302508,47.0657681
PA0630,46.3766761,0,27.7237004,49.87440254,28.4890606,7.4258537
PA0631,26.1003619,34.8235806,26.0044011,11.69535408,30.0625843,10.4480035
PA0632,131.179741,64.8231154,29.0438766,117.5610917,134.3055714,140.0303845
PA0633,244.8688498,211.7555104,162.645709,249.9261727,198.4737888,223.2706686
PA0634,145.1270123,120.4815835,106.0351874,147.4017903,89.151112,77.4593362
PA0635,66.0185624,46.9776931,65.7758382,59.16473242,91.2487853,42.2836847
PA0636,110.0309374,112.5507229,82.2197977,129.8337184,85.8977762,83.6864594
PA0637,88.6038601,43.7840341,9.8086776,97.05092073,52.9171805,70.9364448
PA0638,62.888372,64.5437054,43.3780312,112.7190161,44.575556,77.4593362
PA0639,48.0368528,58.2651349,34.8074474,43.04982476,43.5926968,73.4206004
PA0640,111.6731902,109.2640373,89.0100895,135.1075233,68.600524,120.6978314
PA0641,103.3834252,76.2169211,52.8935993,89.31174131,69.3726357,65.6186643
PA0642,375.5276403,459.2828641,242.3451985,447.447349,330.9551421,256.2343062
PA0643,249.7460453,309.9043556,211.9644456,226.5814203,241.4917485,207.3526847
PA0644,571.1784554,615.0093075,489.2077965,493.9198644,707.9022824,497.3995949
