,High-Mg-Rep1,High-Mg-Rep2,High-Mg-Rep3,0point75percent-DNA-Rep1,0point75percent-DNA-Rep2,0point75percent-DNA-Rep3
antA,19.3086548,21.4683006,21.6423726,28.1191524,18.5332061,34.7817407
antB,61.5904881,24.3481946,47.7275899,49.06343664,26.2742098,43.8306488
antC,19.7474879,14.6374777,26.2331789,2.94956144,10.1090215,13.1749018
aotJ,509.358601,433.8660979,507.48589,386.8463274,437.5262267,459.6317845
aotM,163.7713695,94.2578176,153.5710557,159.719385,144.248795,111.8339945
aotP,176.0494998,187.9107722,179.787291,268.2134537,185.8771551,176.1820197
aotQ,136.6297205,104.1679281,189.6060031,170.5487722,138.6364394,140.6392123
apaH,126.4580914,130.0570816,208.6761627,134.5789336,185.1036587,196.1575867
aph,29.2052377,29.6885049,29.0978615,37.39035135,35.2406502,66.8050781
aphA,35.5777267,20.1381321,32.224474,34.78272454,22.3520079,18.1259311
aprA,133.2749729,472.1013476,156.0805827,161.3471557,111.315069,110.4441036
aprD,28.3413021,42.0149822,37.6494697,35.55860181,23.2133086,28.7408042
aprE,28.5114808,46.1097449,46.4836177,30.19724218,35.8251582,31.1268464
aprF,55.8829325,105.6267113,39.43821,39.64773563,42.9109087,35.4191654
aprI,119.0334686,128.5658456,25.413392,106.6758054,45.7012014,47.6492281
apt,91.9930788,136.3764996,67.2135614,49.46559596,80.0573738,63.8298793
aqpZ,29.2777973,26.041982,14.5850772,17.49218176,22.4815848,39.0664478
arcA,1033.923166,760.0239541,992.7599061,818.5631357,752.7843302,780.5830582
arcB,1282.170597,864.9750309,1031.919455,895.3713215,833.6643057,906.5270688
arcC,671.2240979,564.940746,600.4424585,543.3262888,512.6427824,520.048534
arcD,1426.711708,1217.359318,1706.222519,1430.61058,1634.375528,1387.789052
argA,93.3103007,82.9975408,129.1211604,116.1432392,99.5143283,116.2068934
argB,282.4370287,290.8883643,303.6142994,369.6816228,279.6550335,339.1795571
argC,191.9322265,130.2099101,200.949952,241.975181,152.3751857,192.7278094
argE,113.6891088,168.5401001,171.3588719,96.66134206,107.4444571,121.3596666
argF,66.0185624,84.8208347,76.7384779,141.3379719,101.3875392,105.7092118
argG,892.8766659,563.0669922,716.0817851,857.1599904,764.1523888,852.0526987
argH,156.8828204,145.984444,144.2824837,155.7368441,131.5857632,146.8562384
argJ,223.9102475,159.8225087,137.7080356,210.5739861,140.0946046,170.4105397
argR,112.2315561,151.253936,162.645709,198.1122101,169.7473194,138.8634646
argS,211.8656927,151.0995952,230.10357,189.8704933,213.9828845,210.8790909
armR,20.7836215,0,0,0,15.9591497,33.2788259
arnA,20.3134038,18.0683435,33.7311991,53.09655474,37.6953671,75.8937931
arnB,23.4426227,20.8517175,26.2759876,44.64388426,31.5016114,68.0347799
arnC,6.6018562,8.8083174,19.7327515,23.66589297,22.8121963,60.7827968
arnD,11.3748199,20.2353239,7.5553328,37.37771947,20.3802655,60.7113717
arnE,0,8.6058274,19.279125,26.01208063,22.287778,38.7296681
arnF,24.3981644,7.2338839,16.2056413,7.288409067,12.4897693,19.5332239
arnT,10.2028687,21.7805668,22.363785,42.06074614,25.0703733,73.5159519
aroB,483.5993883,505.9013761,524.2459081,501.5373524,530.1551675,489.442245
aroC,147.9976565,93.2455583,129.0218364,149.2121548,153.8918005,148.1090605
aroE,126.5155724,199.6551955,130.1165672,131.6684227,137.8870533,143.7645281
aroK,291.9317934,571.2677558,452.446517,465.1100352,388.5545576,342.7911435
aroP1,322.3672357,284.6148531,297.3907577,350.9601574,319.0471711,324.9995981
aroP2,30.8458822,44.3209208,44.9166929,48.90784435,43.7273953,51.290199
aroQ1,310.9117434,424.9418012,196.4386519,346.5933987,477.4805054,400.6950529
aroQ2,30.1292768,20.0995163,0,20.2510158,40.4869703,60.3039128
arr,66.144073,68.3230707,82.9075679,78.39889449,42.5981866,95.6608077
arsB,26.2223262,13.994523,23.5133253,21.15000949,18.1218382,16.7949215
arsC,42.8910406,6.3584457,0,25.6254892,21.9565371,11.4462204
arsR,47.9622035,8.5322733,19.1143461,51.57951032,58.9260911,7.6797291
aruB,154.9745319,217.8865162,191.7607398,188.1675677,122.8392457,124.0729502
aruC,206.8149069,188.8630227,247.2654359,234.7691471,163.0421238,163.3687819
aruD,55.0829723,79.6171025,68.6005674,47.30758768,37.0095618,40.4245861
aruE,87.628242,80.9412955,94.0219188,84.57180971,77.6391066,94.4399115
aruF,142.358611,200.2441489,178.1186414,157.2490381,177.9515805,182.8862913
aruG,72.4074556,52.6949196,72.1412419,64.89035169,45.4905968,50.0646267
aruH,25.6366499,30.4043445,39.7326129,30.63351628,37.1840087,43.3300449
aruI,22.0454842,30.3048065,13.9773656,17.96072234,16.9280981,14.4406334
asd,574.7707727,433.2141034,482.2379511,588.2983771,531.9429784,620.0087464
aspA,552.8880871,327.8548473,694.4543757,232.9222098,268.5168932,372.6527899
aspP,354.1286966,392.5259911,412.5358395,585.9031755,359.7781123,453.6259381
