,HLR1 raw counts,HLR2 raw counts,HLR3 raw counts,HLR4 raw counts,HLR5 raw counts,HLR6 raw counts,HLR11 raw counts (GSM2991338),HLR12 raw counts(GSM2991339),HLR15 raw counts,HLR16 raw counts
PA4225,5,3,5,1,11,15,70,110,148,138
PA3504,1,1,1,1,0,0,60,78,127,88
PA3463,0,0,0,0,1,1,1,8,9,8
PA2286,0,0,0,0,0,0,8,16,31,10
PA1995,2,1,1,2,22,32,3,3,3,9
PA2618,13,11,11,11,0,0,28,52,72,57
PA0645,12,6,10,6,0,0,32,59,70,76
PA4804,2,2,0,3,1,2,2,2,5,1
PA1290,5,4,3,5,10,15,2,2,8,1
PA2030,0,0,0,0,11,10,54,57,106,71
PA5478,6,7,7,5,2,4,2,9,9,8
PA3501,0,0,0,0,0,0,4,2,4,5
PA2480,1,2,1,1,1,1,399,633,842,784
PA3446,1,3,3,0,0,0,1,3,6,3
PA3883,1,0,0,0,0,0,1,3,6,3
PA1771,3,0,1,1,0,0,4,12,15,13
PA1977,0,0,0,0,4,1,1,3,2,4
PA1147,3,2,4,1,2,2,1,3,2,4
PA0544,6,1,0,6,3,2,52,94,129,104
PA1715,1,1,1,1,3,3,12,15,21,24
PA3667,2,5,2,4,1,2,45,92,120,99
PA2954,4,2,4,1,0,1,23,19,40,25
PA3873,9,10,10,7,3,1,40,65,92,76
PA4844,7,7,4,8,0,0,11,21,25,28
PA4819,0,2,1,1,1,1,2,2,3,3
PA5263,47,27,25,41,0,0,2,2,3,3
PA1672,14,6,9,9,4,12,2,2,3,3
PA5510,37,37,38,29,23,36,30,39,61,50
PA4419,13,6,7,10,5,2,5,11,20,8
PA0464,11,5,9,6,0,0,4,7,13,7
PA3261,12,11,11,10,2,0,39,57,99,55
PA2070,2,2,2,1,0,0,3,1,5,1
PA3382,0,1,0,0,1,1,3,1,5,1
PA0326,1,1,1,1,0,2,8,7,10,16
PA5425,8,2,3,6,0,0,1,3,8,1
PA2974,12,8,10,8,0,1,6,12,17,14
PA2362,0,0,0,0,5,3,27,32,47,48
PA4148,0,1,0,0,0,2,3,3,7,5
PA3943,8,2,3,5,0,0,43,79,114,81
PA1316,7,1,1,6,15,13,10,10,22,12
PA3880,4,4,2,5,1,1,2,4,5,7
PA4575,17,16,11,18,1,0,2,4,5,7
PA4910,2,2,1,3,0,0,83,103,157,137
PA0697,1,2,1,1,2,3,12,21,41,14
PA1718,0,0,0,0,0,1,22,26,49,29
PA0881,0,0,0,0,5,5,2,2,1,5
PA3574.1,1,2,2,1,10,7,0,2,2,1
PA1478,0,1,0,0,0,0,0,2,2,1
PA3938,2,3,2,3,7,2,4,12,16,9
PA5404,3,1,2,2,3,6,5,3,6,9
PA1646,4,0,2,1,4,6,38,57,89,63
PA3375,0,0,0,0,0,0,52,76,125,79
PA2385,1,0,0,0,0,0,3,1,3,3
PA5524,6,1,5,1,1,1,2,4,6,6
PA2316,2,1,0,2,0,0,2,4,6,6
PA1475,2,1,1,2,4,3,3,8,14,6
PA3129,1,2,1,1,0,3,3,6,11,3
PA4996,51,30,22,50,3,4,5,6,10,7
PA2994,71,32,42,49,46,62,31,69,87,70
PA5350,12,6,6,10,1,1,149,198,312,235
PA3774,0,0,0,0,0,0,11,9,20,11
PA3835,2,4,3,2,6,4,255,447,534,565
PA4903,1,0,0,0,0,2,0,2,1,2
PA3920,4,2,3,3,0,0,0,2,1,2
PA2027,1,1,0,2,0,0,18,23,40,24
PA2258,4,2,4,1,0,2,2,4,7,5
PA0294,5,1,2,4,0,0,2,4,7,5
PA2255,0,0,0,0,0,1,3,8,15,5
PA1395,4,2,0,5,2,7,8,14,15,22
PA4479,7,4,4,6,0,0,15,9,19,18
PA0094,5,3,4,2,1,2,24,47,52,62
PA4820,0,1,0,0,0,0,16,10,18,22
PA1917,0,0,0,0,2,0,1,1,3,0
PA4177,0,0,0,0,0,0,1,1,3,0
PA1028,4,5,4,3,2,2,1,1,3,0
PA2947,0,0,0,0,14,17,1,1,3,0
PA2123,2,1,1,2,1,4,7,1,5,7
PA4879,27,12,13,22,1,1,4,9,12,11
PA4018,0,0,0,0,0,0,2,4,8,4
PA0045,30,10,18,17,2,2,17,14,22,26
PA1282,2,0,1,1,1,1,59,91,131,104
PA5313,11,10,5,14,1,0,4,5,11,3
PA1229,1,1,0,2,1,1,8,15,22,14
PA3493,0,0,0,0,0,0,26,53,67,57
PA2333,0,0,0,0,0,0,1,1,2,1
PA4301,8,2,6,2,0,0,1,1,2,1
PA0741,0,2,1,1,0,0,1,1,2,1
PA1503,1,0,0,0,1,1,1,1,2,1
PA0181,9,4,5,6,10,10,1,1,2,1
PA3087,3,2,3,2,0,1,1,1,2,1
PA4926,2,1,1,2,0,0,1,1,2,1
PA2898,0,1,0,0,9,11,1,1,2,1
PA3631,8,3,6,4,0,0,185,265,418,291
PA3138,83,50,54,64,0,0,18,31,51,26
PA4233,8,4,7,4,0,0,4,0,4,2
PA1219,0,0,0,0,0,0,15,18,33,21
PA3505,1,0,0,0,2,0,0,1,2,1
PA2261,0,0,0,0,2,0,8,10,17,13
PA3376,1,0,0,0,0,0,0,0,2,0
PA0639,3,6,2,5,0,0,0,1,1,1
PA1427,3,1,1,3,2,3,3,4,10,2
PA4769,17,7,10,12,31,32,36,59,93,58
PA2342,0,0,0,0,3,5,0,1,2,1
PA3455,81,52,61,57,1,2,3,10,12,9
PA3414,0,0,0,0,5,2,2,3,4,5
PA0310,7,6,5,6,16,26,1,1,3,1
PA2225,3,1,3,1,1,1,1,0,3,1
PA2305,7,9,3,11,1,2,1,1,3,1
PA3412,0,0,0,0,0,5,1,0,1,1
PA2117,10,6,10,5,0,1,9,11,19,13
PA0030,0,1,0,0,0,0,3,2,7,1
PA1389,10,9,9,8,5,4,5,17,18,18
PA2284,0,0,0,0,2,2,4,8,12,8
PA0182,6,0,3,2,2,1,11,14,24,17
PA4295,5,5,6,3,0,1,0,1,3,1
PA2354,0,0,0,0,2,1,3,4,5,8
PA4047,33,6,17,17,8,8,0,2,2,3
PA4422,14,8,14,6,0,0,55,59,112,67
PA0488,0,0,0,0,0,0,0,0,1,0
PA5229,43,17,30,23,2,2,1,1,0,3
PA1572,14,15,8,17,1,1,25,26,38,42
PA2891,2,2,2,2,19,13,2,2,5,3
PA1925,0,0,0,0,6,11,3,5,7,8
PA4808,2,3,1,3,2,6,17,21,43,17
PA2449,4,0,1,3,0,0,11,17,24,21
PA1139,2,1,2,0,8,16,0,0,0,1
PA0031,7,5,4,7,9,15,2,0,2,1
PA4685,5,1,2,3,4,4,1,2,4,3
PA4278,29,18,26,15,2,4,4,8,11,10
PA3298,0,1,0,0,4,3,6,2,8,6
PA1979,0,0,0,0,0,0,51,71,108,85
PA2933,0,1,0,0,1,1,5,5,11,5
PA2313,6,3,4,3,0,0,8,11,21,10
PA4605,21,13,16,14,2,0,0,1,3,1
PA2202,1,0,0,0,5,2,1,3,4,3
PA3776,0,0,0,0,5,2,0,0,0,0
PA2908,0,1,0,0,13,11,3,0,3,4
PA3229,3,2,2,2,0,0,12,14,20,21
PA2509,0,0,0,0,2,2,82,152,192,177
PA1486,0,1,0,0,2,5,0,8,6,8
PA3283,3,1,3,1,10,5,2,2,5,2
PA4506,21,23,16,23,12,17,9,17,19,24
PA1404,1,2,1,1,12,12,0,0,1,0
PA1416,0,3,1,2,0,0,1,7,8,7
PA0118,8,5,5,6,0,0,1,0,3,1
PA3204,2,1,1,2,24,17,2,5,9,4
PA3492,3,2,1,4,4,0,2,1,4,2
PA3652,25,13,16,17,9,12,2,0,3,1
PA2918,2,1,1,1,1,0,3,10,12,10
PA2690,0,1,0,0,0,0,0,0,1,0
PA2846,3,3,5,1,1,6,0,2,2,2
PA3719,0,0,0,0,7,2,0,0,0,2
PA3095,0,1,0,0,8,8,1,1,3,1
PA5203,75,32,49,47,0,0,2,2,4,4
PA1601,4,1,2,3,0,0,25,27,47,35
PA2876,0,3,1,1,2,2,8,16,26,14
PA1696,0,0,0,0,0,0,21,27,39,36
PA3007,23,9,16,13,2,5,0,6,6,5
PA1279,0,0,0,0,0,1,4,13,11,16
PA1961,1,3,2,1,9,14,0,1,2,2
PA2383,1,0,0,0,0,0,2,0,1,3
PA3855,11,4,6,8,1,1,4,6,8,9
PA1996,1,1,1,1,2,0,2,6,6,7
PA2516,0,0,0,0,1,2,3,7,7,11
PA1273,0,1,0,0,4,1,9,25,27,27
PA3771,2,2,2,2,1,1,1,2,3,3
PA4299,6,1,5,1,0,0,7,5,11,9
PA2312,1,0,0,0,3,3,0,0,0,0
PA2892,0,0,0,0,0,0,2,2,6,2
PA2074,0,0,0,0,0,0,1,5,6,5
PA2886,4,2,2,3,1,1,1,3,4,4
PA1359,0,1,0,0,0,1,10,13,20,16
PA1353,4,0,3,1,2,5,0,0,0,0
PA3413,13,8,8,11,5,4,3,2,9,1
PA1495,0,0,0,0,2,2,3,0,5,2
PA0821,43,23,36,23,0,0,7,10,15,14
PA0195,10,4,5,8,4,10,11,16,23,20
PA2031,0,0,0,0,0,2,0,0,1,0
PA2324,0,0,0,0,9,13,0,0,1,0
PA2566.1,0,0,0,0,2,7,1,0,3,1
PA2872,0,0,0,0,6,9,0,0,0,0
PA4881,1,1,0,1,1,2,0,2,2,2
PA2095,0,0,0,0,2,3,2,3,3,5
PA5277,25,20,20,20,0,0,2,0,2,2
PA1899,0,0,0,0,1,4,2,5,6,5
PA5099,2,4,3,3,3,6,2,3,7,3
PA0724,5,6,3,7,0,0,2,5,6,5
PA2465,0,0,0,0,4,4,9,19,28,16
PA4644,2,3,1,4,0,2,1,0,2,1
PA2534,2,1,0,2,70,113,0,0,0,0
PA2547,1,1,1,0,2,5,3,0,4,2
PA1755,4,2,1,5,41,65,20,31,46,35
PA1374,1,0,0,0,25,22,2,3,5,3
PA0485,8,2,2,7,2,5,11,10,15,20
PA5390,1,5,2,4,1,2,6,21,27,16
PA5021,13,5,8,7,1,0,12,11,20,18
PA3839,58,53,58,42,4,1,2,6,8,7
PA1345,4,1,1,3,4,4,8,9,19,10
PA3670,13,7,8,9,0,0,1,3,7,1
PA0161,2,3,2,2,0,0,2,3,6,3
PA0073,1,0,0,0,0,0,0,0,2,0
PA2650,1,2,1,1,2,0,1,6,8,3
PA5124,11,17,13,11,1,1,0,0,0,1
PA1530,31,16,23,19,5,4,0,1,2,2
PA4083,0,0,0,0,0,0,2,1,7,0
PA4968,14,3,7,7,33,49,3,2,6,4
PA3572,9,5,6,7,1,1,9,12,19,15
PA1327,5,6,4,5,0,0,0,0,0,0
PA2472,1,1,1,0,0,0,1,1,2,3
PA2198,0,1,0,0,0,0,12,13,27,14
PA2187,0,1,0,0,0,0,0,0,0,1
PA4702,2,3,2,2,1,1,1,3,4,3
PA3778,3,2,3,2,0,0,14,16,21,28
PA2806,8,4,6,4,1,1,11,17,23,22
PA1720,2,1,1,1,27,27,1,1,1,4
PA0377,3,2,2,3,1,1,2,3,5,4
PA3284,2,3,2,2,10,17,1,0,2,2
PA0153,2,1,1,1,12,13,13,33,45,29
PA4377,4,2,2,4,1,1,3,2,4,4
PA5103,9,2,5,5,6,8,0,4,6,2
PA0811,3,3,3,2,0,0,29,26,56,32
PA4119,1,0,0,0,0,0,0,0,0,1
PA1840,9,4,6,6,2,5,0,0,1,0
PA4943,255,100,155,161,2,0,0,0,0,2
PA2162,1,0,0,0,2,0,0,0,1,0
PA1258,1,0,0,0,4,3,4,0,4,4
PA4039,5,0,3,2,12,13,1,1,3,2
PA1406,1,3,1,2,3,1,2,1,2,5
PA4111,1,3,2,2,2,9,0,0,0,0
PA4904,4,0,2,2,36,35,4,6,6,11
PA0223,3,2,2,2,0,0,30,41,60,52
PA0980,0,1,0,0,0,0,6,3,5,11
PA3681,1,2,2,0,4,2,1,2,4,1
PA3427,14,7,6,12,46,58,0,0,0,1
PA0826,25,17,22,15,2,3,0,0,2,0
PA2911,5,1,2,3,11,6,38,40,66,57
PA1848,0,1,0,0,7,9,1,5,6,5
PA4088,0,0,0,0,6,11,0,1,3,1
PA2309,1,0,0,0,0,0,3,4,5,6
PA1488,1,0,0,0,0,0,9,5,14,8
PA4014,3,1,1,2,3,1,17,12,24,22
PA2865,8,3,6,4,3,0,0,2,3,2
PA3979,7,3,4,4,4,7,7,4,12,7
PA1306,4,4,4,3,0,0,4,2,1,9
PA3406,0,0,0,0,1,2,1,1,0,4
PA4456,108,49,61,78,0,0,5,7,10,11
PA3176,1,1,0,2,0,0,0,0,0,0
PA1025,3,2,3,1,0,0,22,31,36,48
PA1275,0,0,0,0,5,3,6,10,16,10
PA0173,2,4,2,3,1,1,0,0,1,0
PA4951,38,23,23,32,0,0,1,2,3,3
PA3703,10,12,15,5,0,0,2,4,10,2
PA4650,4,1,3,1,0,0,7,10,11,16
PA2283,1,0,0,0,6,4,6,11,12,16
PA3490,0,1,0,0,0,1,2,3,4,5
PA2271,0,0,0,0,0,0,2,2,5,3
PA3830,2,1,1,1,0,0,2,3,4,4
PA4930,6,4,2,6,10,22,5,8,9,12
PA3275,0,1,0,0,1,2,0,1,1,1
PA2323,144,101,108,111,1,2,3,3,9,1
PA3451,5,4,6,1,2,0,1,2,6,0
PA2487,0,0,0,0,0,0,0,0,0,0
PA4703,3,0,1,2,0,0,2,1,5,1
PA1477,12,8,13,5,4,1,9,6,15,10
PA3591,0,0,0,0,0,0,2,3,9,0
PA0637,3,4,4,3,0,0,8,6,16,8
PA3956,3,1,4,0,4,4,3,4,8,3
PA1398,1,1,1,1,0,0,2,3,4,5
PA2437,0,0,0,0,0,5,1,0,3,1
PA5282,0,2,1,1,5,5,5,4,9,5
PA1799,3,2,2,2,0,0,0,1,3,1
PA5205,7,5,3,7,2,6,25,35,52,43
PA2470,0,1,0,0,2,1,0,0,1,0
PA1536,0,4,1,3,0,0,17,32,43,34
PA1375,1,0,0,0,0,0,38,72,99,74
PA3093,5,5,5,3,17,32,0,0,1,0
PA0279,1,0,0,0,0,0,10,7,18,9
PA1065,2,2,1,2,0,0,3,5,10,4
PA0026,36,22,20,32,0,0,1,0,1,1
PA0112,3,0,1,1,0,2,5,3,11,3
PA2715,0,0,0,0,2,4,3,4,4,9
PA5019,14,9,14,6,5,2,5,2,6,7
PA2468,0,0,0,0,1,0,0,1,3,1
PA1911,0,0,0,0,1,0,1,0,2,2
PA1332,2,1,2,1,0,2,4,11,9,17
PA4896,1,0,0,0,12,13,0,0,0,0
PA3277,28,13,15,22,0,0,1,0,1,2
PA0172,3,3,3,2,0,0,1,2,5,1
PA1251,1,3,3,1,0,0,3,8,7,11
PA1838,26,14,22,14,9,8,0,1,2,2
PA0305,28,17,17,23,2,0,6,9,8,16
PA1153,1,3,3,1,3,5,1,2,1,5
PA2683.1,13,8,11,7,0,0,0,3,3,2
PA2546,1,1,1,1,0,0,4,11,11,15
PA0404,3,2,2,2,0,0,1,2,6,1
PA2913,0,0,0,0,0,5,3,5,10,5
PA3175,0,0,0,0,0,0,8,19,26,19
PA2488,0,0,0,0,3,0,0,0,0,0
PA1957,0,1,0,0,2,3,0,2,2,3
PA5105,13,7,3,14,5,15,248,362,477,479
PA2447,1,0,0,0,4,5,8,9,15,13
PA2369,1,0,0,0,0,0,2,2,3,4
PA4417,62,29,34,46,4,7,1,1,2,2
PA3503,2,1,1,1,0,0,0,4,7,1
PA2405,1,0,0,0,0,3,2,2,6,1
PA3354,1,1,1,1,0,0,0,0,0,0
PA2925,1,1,0,1,2,6,0,1,3,1
PA1982,2,1,3,0,1,1,2,1,0,5
PA2476,4,1,1,3,5,3,46,81,114,87
PA1252,2,1,0,2,4,8,0,0,0,1
PA2879,3,1,1,2,0,0,8,9,14,14
PA0408,178,79,103,125,0,0,4,5,9,5
PA1351,0,0,0,0,3,1,23,26,47,30
PA5385,4,2,3,2,0,0,0,2,2,3
PA1538,4,7,4,5,2,0,3,7,7,10
PA1778,5,1,3,2,0,0,0,1,2,1
PA2930,1,1,0,1,1,2,2,1,2,4
PA2273,2,0,1,1,3,6,0,1,1,2
PA0358,7,4,5,5,1,1,3,5,9,5
PA1334,0,0,0,0,22,27,1,2,5,2
PA1944,28,23,24,21,3,1,2,2,4,4
PA2344,0,1,0,0,1,1,37,42,71,53
PA3444,0,0,0,0,20,14,27,31,60,32
PA4077,2,2,2,1,83,125,1,9,8,8
PA2361,5,2,1,5,8,5,3,3,8,3
PA2274,1,0,0,0,2,0,16,26,40,26
PA4097,0,0,0,0,0,1,0,2,2,2
PA4004,5,2,2,4,0,0,1,10,11,7
PA3371,0,0,0,0,0,0,0,0,0,2
PA3953,1,0,0,0,0,0,7,15,26,10
PA4161,0,0,0,0,4,1,6,2,7,6
PA2132,0,0,0,0,6,4,0,0,2,0
PA3825,12,5,6,9,0,0,21,22,37,32
PA2096,0,0,0,0,2,1,9,5,13,10
PA3425,1,1,2,0,0,1,0,0,0,0
PA0785,2,0,1,1,0,0,7,7,12,10
PA1638,2,2,1,2,4,5,2,2,6,2
PA1176,0,0,0,0,3,4,1,1,1,2
PA1228,1,0,0,0,0,0,1,1,0,3
PA0556,1,2,0,2,0,1,11,17,30,15
PA3383,2,0,1,1,28,36,2,1,3,3
PA1465,1,0,0,0,0,0,10,18,26,19
PA0389,16,5,7,11,1,2,9,7,17,8
PA4062,0,0,0,0,0,0,1,2,4,3
PA5537,1,1,1,1,0,0,9,5,13,10
PA2163,0,0,0,0,24,42,71,70,119,103
PA3128,3,3,3,2,1,1,0,0,0,1
PA2315,0,0,0,0,0,2,98,120,213,130
PA4678,6,1,5,1,0,0,0,0,0,2
PA4584,19,8,7,17,3,3,0,0,0,0
PA3484,20,6,9,14,0,1,2,3,4,4
PA2294,0,0,0,0,1,3,1,1,1,3
PA4995,9,2,4,5,0,0,1,7,6,9
PA0522,0,0,0,0,5,3,0,0,0,0
PA2983,12,3,9,5,0,3,0,0,0,0
PA4074,3,1,1,2,1,1,17,26,43,26
PA5156,1,3,1,2,0,5,1,1,0,4
PA0120,5,8,7,5,2,2,6,5,3,14
PA3557,2,0,1,1,1,2,0,0,1,0
PA2693,1,2,2,1,0,0,2,6,6,7
PA4234,133,59,72,99,0,0,2,0,2,1
PA5389,6,2,5,2,4,5,5,10,15,10
PA3144,4,1,3,2,2,3,0,0,1,0
PA3314,1,0,0,0,0,0,2,5,7,5
PA1650,6,4,4,4,3,8,0,0,0,2
PA1460,25,19,21,18,2,0,2,0,3,1
PA0842,2,2,1,2,0,0,2,6,10,3
PA2701,1,0,0,0,0,0,18,18,34,24
PA4599,15,14,10,15,0,0,2,4,4,7
PA5379,7,2,3,4,1,2,2,0,2,1
PA2052,1,1,1,0,0,2,0,0,0,0
PA0164,6,1,1,5,2,6,2,4,7,3
PA2062,1,1,0,1,0,0,3,3,4,6
PA1858,0,0,0,0,4,3,4,6,6,10
PA3758,3,1,2,2,0,0,2,1,5,0
PA2124,1,1,0,1,1,6,8,8,17,10
PA0142,4,5,6,2,1,1,3,7,9,8
PA2034,1,0,0,0,0,0,5,2,6,7
PA0234,3,1,1,2,5,2,1,3,3,5
PA1184,3,1,2,1,0,0,3,4,9,4
PA2552,52,38,39,41,0,4,4,5,8,8
PA1951,20,8,13,12,0,0,98,168,211,208
PA2348,1,0,0,0,6,3,0,2,2,2
PA3290,58,31,42,37,0,0,11,8,22,10
PA3436,0,1,0,0,0,0,30,36,67,37
PA3489,3,2,2,3,0,0,1,2,3,2
PA2067,0,0,0,0,1,4,51,49,85,71
PA2630,44,15,25,28,11,13,1,4,6,4
PA3295,27,13,21,14,13,12,0,0,0,0
PA4450,130,45,84,71,1,3,13,32,36,37
PA1257,1,0,0,0,2,2,11,8,21,10
PA1346,1,1,1,0,13,13,0,0,0,1
PA1349,1,0,0,0,0,0,1,1,1,3
PA4724.1,1,0,0,0,3,5,17,12,28,18
PA0332,5,1,5,1,9,6,4,6,12,6
PA2288,0,0,0,0,0,0,2,4,8,2
PA0503,2,0,1,1,1,1,1,3,5,3
PA2909,0,0,0,0,1,2,1,0,2,1
PA3564,1,0,0,0,1,0,2,4,2,8
PA4975,37,21,23,29,1,3,1,1,3,2
PA4716,3,1,1,2,4,3,0,1,1,1
PA4436,6,2,2,4,2,0,0,0,0,0
PA2605,0,1,0,0,1,1,0,2,3,1
PA1039,5,0,2,3,0,2,16,17,28,24
PA0022,3,2,3,1,5,6,0,0,0,2
PA2159,0,1,0,0,22,22,0,0,0,0
PA1603,1,1,2,0,1,1,1,3,3,5
PA0614,2,1,2,1,2,3,0,0,1,0
PA2905,0,0,0,0,4,4,3,4,6,6
PA1177,3,6,4,3,0,0,14,7,13,21
PA3249,2,1,1,2,0,0,0,0,0,1
PA1834,6,1,2,4,12,10,1,1,2,2
PA0087,1,2,0,2,0,0,2,0,1,2
PA3080,3,4,1,5,5,10,0,0,0,1
PA2981,8,4,5,5,0,0,3,9,14,7
PA1468,2,1,1,1,1,2,2,3,5,3
PA3970,33,17,24,20,24,24,0,0,2,0
PA1187,3,6,4,3,0,0,3,2,4,4
PA2510,1,1,0,1,0,0,4,3,6,5
PA2782,0,0,0,0,0,0,34,31,60,43
PA3592,0,0,0,0,0,0,1,4,4,5
PA3386,7,5,8,3,0,0,0,2,2,2
PA1444,23,15,11,22,0,0,1,0,1,2
PA0111,0,0,0,0,0,0,2,9,9,9
PA5341,0,0,0,0,5,9,2,1,3,3
PA2007,1,3,2,2,0,0,3,4,6,7
PA3112,63,18,33,38,0,0,1,1,3,2
PA0072,0,0,0,0,3,3,2,3,2,8
PA4324,31,26,27,23,6,9,6,1,6,5
PA3589,0,0,0,0,0,0,10,4,15,9
PA4622,8,4,7,4,0,2,3,4,8,3
PA1980,0,0,0,0,0,1,0,0,0,1
PA1791,7,2,2,5,,,0,1,3,1
PA2073,3,1,1,2,,,6,6,15,6
PA0789,94,67,81,63,,,6,3,12,4
PA2937,0,0,0,0,,,2,5,8,5
PA2660,1,1,0,1,,,25,33,54,38
PA5031,1,2,2,1,,,9,9,20,10
PA1313,1,1,0,1,,,1,2,4,3
PA5158,6,3,3,4,,,0,1,2,1
PA2955,2,0,1,1,,,0,0,2,0
PA2680,0,0,0,0,,,0,1,3,1
PA1930,11,4,6,7,,,2,4,8,3
PA3951,13,6,10,7,,,0,2,4,1
PA2555,49,22,29,34,,,0,0,0,0
PA1931,1,2,2,0,,,5,7,12,8
PA1923,0,0,0,0,,,7,10,13,16
PA1989,3,0,1,2,,,0,0,1,0
PA4816,2,1,1,1,,,0,0,0,0
PA5126,12,5,3,11,,,5,7,12,9
,,,,,,,0,4,7,1
,,,,,,,1,0,3,1
,,,,,,,2,1,4,2
,,,,,,,1,3,4,3
,,,,,,,0,0,1,0
,,,,,,,17,28,42,30
,,,,,,,1,0,1,1
,,,,,,,1,0,2,2
,,,,,,,20,24,43,27
,,,,,,,1,1,2,2
,,,,,,,27,38,69,35
,,,,,,,0,0,0,1
,,,,,,,3,1,3,5
,,,,,,,2,1,3,4
,,,,,,,1,0,1,1
,,,,,,,0,0,0,0
,,,,,,,0,0,1,0
,,,,,,,0,0,0,1
,,,,,,,9,22,21,30
,,,,,,,1,2,5,1
,,,,,,,0,1,1,2
,,,,,,,2,2,4,4
,,,,,,,0,2,4,1
,,,,,,,0,1,1,3
,,,,,,,3,7,5,11
,,,,,,,6,8,12,11
,,,,,,,1,2,2,3
,,,,,,,1,0,1,2
,,,,,,,2,0,2,1
,,,,,,,2,3,4,5
,,,,,,,2,4,8,3
,,,,,,,1,6,5,7
,,,,,,,1,0,2,2
,,,,,,,2,3,5,4
,,,,,,,5,3,9,5
,,,,,,,6,5,14,4
,,,,,,,2,1,3,2
,,,,,,,5,4,10,4
,,,,,,,4,5,9,7
,,,,,,,39,77,111,72
,,,,,,,10,7,15,12
,,,,,,,0,0,0,1
,,,,,,,3,4,7,4
,,,,,,,3,0,1,5
,,,,,,,6,3,11,5
,,,,,,,6,1,9,2
,,,,,,,1,0,2,2
,,,,,,,0,0,1,0
,,,,,,,0,1,2,2
,,,,,,,1,0,1,1
,,,,,,,0,2,2,2
,,,,,,,1,6,8,4
,,,,,,,6,14,17,16
,,,,,,,0,3,2,5
,,,,,,,0,0,2,0
,,,,,,,0,1,1,1
,,,,,,,0,0,0,0
,,,,,,,2,1,4,2
,,,,,,,1,1,5,0
,,,,,,,1,0,1,2
,,,,,,,17,49,55,51
,,,,,,,6,5,13,5
,,,,,,,9,8,17,12
,,,,,,,1,4,6,4
,,,,,,,3,2,4,4
,,,,,,,3,4,8,3
,,,,,,,0,3,2,5
,,,,,,,2,0,2,2
,,,,,,,6,6,14,7
,,,,,,,10,12,21,14
,,,,,,,0,0,0,1
,,,,,,,0,3,2,4
,,,,,,,0,1,1,1
,,,,,,,5,7,8,11
,,,,,,,2,0,3,2
,,,,,,,0,1,1,3
,,,,,,,3,5,8,7
,,,,,,,1,2,4,3
,,,,,,,0,1,1,1
,,,,,,,0,1,2,1
,,,,,,,8,4,11,9
,,,,,,,1,2,4,1
,,,,,,,2,1,3,2
,,,,,,,4,7,11,7
,,,,,,,8,6,13,10
,,,,,,,0,0,0,1
,,,,,,,1,4,7,3
,,,,,,,3,0,1,4
,,,,,,,0,1,2,1
,,,,,,,5,15,21,11
,,,,,,,0,0,0,1
,,,,,,,1,2,5,1
,,,,,,,11,25,37,21
,,,,,,,0,0,0,0
,,,,,,,1,1,2,3
,,,,,,,1,1,2,2
,,,,,,,6,8,13,11
,,,,,,,0,1,1,1
,,,,,,,1,2,4,2
,,,,,,,2,4,7,3
,,,,,,,2,3,6,3
,,,,,,,2,0,3,2
,,,,,,,3,3,5,6
,,,,,,,19,25,43,27
,,,,,,,0,2,3,2
,,,,,,,4,11,16,10
,,,,,,,0,0,1,0
,,,,,,,1,5,8,4
,,,,,,,0,0,1,0
,,,,,,,0,0,2,0
,,,,,,,0,0,0,0
,,,,,,,3,8,9,9
,,,,,,,4,1,7,2
,,,,,,,0,9,10,6
,,,,,,,3,2,4,4
,,,,,,,0,0,0,1
,,,,,,,0,0,1,0
,,,,,,,2,5,7,6
,,,,,,,0,1,1,1
,,,,,,,1,1,2,2
,,,,,,,1,3,3,4
,,,,,,,1,6,8,4
,,,,,,,7,6,11,10
,,,,,,,3,2,8,2
,,,,,,,1,3,5,3
,,,,,,,32,39,54,57
,,,,,,,10,19,27,19
,,,,,,,2,2,3,4
,,,,,,,0,0,0,0
,,,,,,,1,0,2,1
,,,,,,,23,29,48,35
,,,,,,,2,1,5,1
,,,,,,,2,1,4,1
,,,,,,,0,0,2,0
,,,,,,,7,6,10,12
,,,,,,,2,3,3,6
,,,,,,,0,1,1,2
,,,,,,,0,1,3,1
,,,,,,,1,2,3,3
,,,,,,,7,17,19,21
,,,,,,,2,8,9,9
,,,,,,,15,27,41,27
,,,,,,,5,11,14,13
,,,,,,,0,0,2,0
,,,,,,,0,0,0,0
,,,,,,,8,12,16,16
,,,,,,,4,12,14,13
,,,,,,,0,0,0,0
,,,,,,,11,12,22,15
,,,,,,,7,10,15,14
,,,,,,,1,2,2,4
,,,,,,,4,2,5,5
,,,,,,,0,0,0,0
,,,,,,,0,1,1,2
,,,,,,,3,5,10,5
,,,,,,,0,4,5,3
,,,,,,,1,0,1,3
,,,,,,,0,0,2,0
,,,,,,,5,8,9,12
,,,,,,,3,4,7,4
,,,,,,,2,3,5,3
,,,,,,,1,1,3,2
,,,,,,,1,4,4,5
,,,,,,,5,2,7,5
,,,,,,,1,4,6,2
,,,,,,,1,2,2,5
,,,,,,,8,15,28,10
,,,,,,,2,1,5,2
,,,,,,,34,59,80,68
,,,,,,,3,5,11,4
,,,,,,,0,1,2,2
,,,,,,,1,2,5,2
,,,,,,,0,1,1,1
,,,,,,,1,2,6,0
,,,,,,,9,21,18,29
,,,,,,,2,15,16,12
,,,,,,,4,6,12,4
