,HLR1 raw counts,HLR2 raw counts,HLR3 raw counts,HLR4 raw counts,HLR5 raw counts,HLR6 raw counts,HLR11 raw counts (GSM2991338),HLR12 raw counts(GSM2991339),HLR15 raw counts,HLR16 raw counts
PA3232,2,1,2,1,0,0,8,5,21,4
PA2861,0,0,0,0,40,38,9,7,19,10
PA5074,14,9,8,12,12,14,45,77,84,116
PA2537,6,5,9,1,12,16,3,8,8,8
PA1612,1,2,0,2,0,0,3,8,8,8
PA1439,5,1,1,5,0,0,3,8,8,8
PA2346,1,0,0,0,1,3,2,1,6,2
PA2539,6,4,1,7,4,3,37,64,74,80
PA3273,0,1,0,0,2,2,9,10,13,15
PA3523,1,1,0,1,0,0,25,30,41,42
PA2213,1,0,0,0,1,2,4,7,10,6
PA2855,4,1,3,1,0,0,11,10,15,16
PA5157,3,0,2,1,0,0,32,70,81,75
PA0463,2,2,3,0,1,5,5,8,10,9
PA3370,1,0,0,0,13,0,1,2,4,4
PA4064,2,1,2,1,1,4,1,2,4,4
PA0218,7,5,3,7,3,2,1,2,4,4
PA3203,10,7,7,8,0,0,9,18,32,15
PA0630,0,0,0,0,0,0,36,45,79,54
PA2220,23,15,15,18,1,1,4,7,9,7
PA2394,0,3,1,1,0,0,28,32,46,53
PA2636,3,1,2,1,3,3,9,8,14,11
PA3576,5,5,5,3,4,11,1,6,5,5
PA3200,7,2,4,3,3,2,8,16,24,12
PA1270,1,0,0,0,1,2,47,54,63,89
PA1055,7,3,4,5,1,0,143,164,252,218
PA1725,4,2,4,1,0,0,2,1,7,1
PA3028,9,5,7,6,3,4,10,22,41,15
PA1215,2,1,2,0,20,30,6,7,11,8
PA2061,1,0,0,0,0,0,2,5,7,3
PA2089,2,0,1,1,2,2,136,169,243,245
PA2412,1,0,0,0,0,0,1,5,9,4
PA1519,2,3,2,3,2,3,32,84,103,89
PA3777,2,0,1,1,2,1,26,32,39,57
PA4925,5,2,3,3,14,15,0,0,0,3
PA0396,51,39,33,48,1,1,8,7,13,9
PA1267,0,0,0,0,64,73,16,27,34,31
PA1281,0,0,0,0,0,1,13,24,36,20
PA2597,1,1,2,0,2,0,1,2,5,3
PA4373,11,7,7,9,2,6,22,36,44,44
PA0908,1,0,0,0,2,1,0,6,7,6
PA2748,4,5,4,3,9,19,4,4,7,9
PA4939,38,13,27,19,85,90,4,4,7,9
PA2518,1,0,0,0,4,3,15,16,33,20
PA0880,0,0,0,0,1,0,98,136,195,164
PA2351,0,0,0,0,1,1,10,14,30,12
PA5522,10,2,8,3,1,2,4,7,13,8
PA3900,1,1,1,0,15,20,5,6,10,6
PA2141,1,0,0,0,0,0,9,2,9,12
PA2048,0,0,0,0,1,6,6,5,12,4
PA2109,0,0,0,0,0,0,2,5,6,4
PA4230,1,0,0,0,1,1,12,18,22,23
PA5406,3,3,4,2,14,14,12,14,28,17
PA0710,1,0,0,0,0,0,80,88,132,138
PA4043,3,1,1,2,0,0,20,28,40,40
PA5222,11,6,9,6,2,4,31,63,83,71
PA1223,5,3,2,4,27,27,2,3,6,1
PA1700,0,0,0,0,0,2,3,4,7,3
PA4155,3,0,1,1,2,0,3,6,5,8
PA4041,3,2,3,2,4,6,4,5,7,6
PA4153,3,1,2,2,0,0,1,4,3,4
PA2189,1,1,0,2,3,4,55,38,65,73
PA1817,8,8,8,6,12,13,25,58,66,61
PA3197,5,4,2,5,9,9,3,4,6,4
PA3426,1,1,1,0,0,0,3,6,4,9
PA0760,14,11,11,12,12,13,9,6,11,11
PA5359,6,3,5,2,0,0,36,60,81,66
PA2451,0,0,0,0,4,2,27,58,64,76
PA4144,0,1,0,0,0,2,101,165,199,210
PA2845,0,0,0,0,0,0,1,2,3,1
PA4091,3,3,1,4,0,0,1,2,3,1
PA1428,7,2,3,4,1,5,70,105,153,116
PA3838,7,4,4,5,0,3,10,14,22,14
PA4446,21,11,14,14,1,1,88,114,186,139
PA4651,5,0,2,3,1,1,6,5,8,8
PA0735,8,2,2,7,0,0,10,23,28,22
PA0154,7,4,6,3,5,3,3,4,5,5
PA3415,0,0,0,0,0,0,11,2,11,7
PA3224,29,13,19,18,0,0,2,3,4,3
PA0064,14,6,6,11,4,4,2,3,4,3
PA3782,1,3,2,1,1,0,2,3,4,3
PA4900,3,0,1,1,0,0,5,8,11,13
PA4803,9,7,8,6,15,10,42,102,120,116
PA5101,3,2,3,1,2,0,27,29,49,36
PA4081,7,3,4,4,0,1,180,239,323,321
PA4093,0,0,0,0,3,2,365,455,669,593
PA3235,7,7,9,4,2,4,3,2,6,1
PA3368,3,2,2,2,0,0,1,2,2,2
PA0771,67,34,52,38,6,11,1,2,2,2
PA0567,11,4,10,4,8,13,1,2,2,2
PA3512,0,0,0,0,3,6,0,6,9,4
PA1905,1,0,0,0,0,0,9,6,17,5
PA1971,1,1,1,1,2,1,2,6,7,9
PA4306,7,9,11,4,0,3,13,15,29,19
PA0568,2,3,1,3,1,1,8,12,21,9
PA1540,1,0,0,0,3,3,4,3,6,4
