,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
dnaA,1615,1797,1921,1862,1779,1695
dnaN,1299,1430,1582,1362,1366,1278
recF,846,887,1004,1114,999,962
gyrB,3275,3654,4144,4007,3930,3856
PA14_00060,198,237,215,269,257,229
PA14_00070,122,123,147,146,157,133
PA14_00080,1307,1600,1742,2122,2043,1400
glyS,789,838,955,989,930,970
glyQ,397,378,452,442,398,481
tag,79,78,103,97,109,92
PA14_00120,411,448,525,548,471,558
PA14_00130,47,60,52,95,59,79
PA14_00140,105,111,117,234,184,182
PA14_00150,18,25,18,37,33,48
PA14_00160,106,89,104,166,150,145
trkA,656,698,848,826,864,855
PA14_00180,300,289,319,333,418,350
fmt,222,216,205,228,231,217
def,496,500,610,490,443,446
PA14_00210,345,373,494,326,353,384
PA14_00230,19,16,14,17,22,15
PA14_00240,178,180,207,216,198,223
qor,225,237,254,236,241,261
hemF,112,135,140,174,144,135
aroE,82,73,104,101,90,75
plcB,32,55,35,82,82,75
PA14_00310,21,34,23,38,45,46
PA14_00320,7,15,12,17,31,14
PA14_00340,13,21,12,30,33,22
PA14_00360,9,18,19,10,19,18
betC,53,55,47,65,58,51
PA14_00400,79,84,107,111,83,45
PA14_00410,152,144,161,98,111,84
PA14_00420,137,191,201,124,83,73
PA14_00430,370,434,432,261,157,148
trpA,7528,8912,8880,2740,2189,1820
trpB,10250,11184,10962,4132,3174,2712
trpI,74,97,97,78,70,56
PA14_00470,390,340,376,446,301,333
PA14_00480,1352,1384,1623,1580,1336,1330
PA14_00490,75,78,83,112,91,77
PA14_00510,201,205,257,352,337,267
PA14_00520,16,19,12,32,18,24
PA14_00530,47,46,55,90,80,75
PA14_00550,89,102,106,117,111,83
exoT,147,182,184,180,170,139
PA14_00570,186,238,202,231,202,196
PA14_00580,94,99,125,177,84,122
PA14_00590,42,49,59,67,56,55
PA14_00600,22,34,44,31,30,40
PA14_00620,90,87,82,97,122,104
PA14_00630,139,142,191,157,132,152
phzH,1271,1819,2099,810,1086,1010
PA14_00650,163,211,231,118,158,136
PA14_00660,102,124,120,137,113,125
PA14_00670,214,227,241,244,210,236
PA14_00680,20,28,25,23,24,14
PA14_00690,58,59,67,72,79,70
PA14_00700,18,26,18,27,27,25
osmC,321,333,322,289,330,217
PA14_00720,177,198,175,190,218,199
PA14_00730,120,161,158,191,202,133
PA14_00740,40,54,39,42,44,32
PA14_00750,137,154,157,205,209,168
PA14_00760,79,76,67,101,96,61
PA14_00770,59,64,69,79,65,52
PA14_00780,52,55,52,56,58,62
prlC,631,846,786,562,576,563
PA14_00800,92,140,99,83,68,78
PA14_00810,45,76,52,84,77,63
PA14_00820,788,1002,1109,1100,928,890
PA14_00830,609,633,818,885,682,763
PA14_00850,19,14,13,16,22,9
PA14_00860,13,10,9,6,8,3
ppkA,163,161,167,189,164,141
PA14_00890,32,23,34,28,26,18
PA14_00900,39,31,32,50,28,20
PA14_00910,221,186,232,413,314,198
PA14_00925,92,84,63,176,154,105
PA14_00940,111,149,162,233,214,126
PA14_00960,83,129,114,203,173,142
PA14_00970,37,70,77,85,81,75
PA14_00980,276,371,408,617,572,498
PA14_00990,386,687,653,607,552,461
PA14_01010,452,638,731,667,574,473
PA14_01020,1211,1482,1756,1933,1481,1420
PA14_01030,469,516,652,757,635,551
PA14_01040,142,168,183,236,210,119
PA14_01060,50,55,55,68,75,39
PA14_01070,120,101,115,196,166,116
PA14_01080,60,53,48,108,67,62
PA14_01100,257,281,354,455,388,299
PA14_01110,154,159,167,271,275,206
PA14_01120,28,24,41,45,31,28
PA14_01130,45,62,60,87,57,51
PA14_01140,107,143,172,226,154,127
PA14_01150,55,89,121,125,91,104
PA14_01160,786,1044,1061,1788,1473,1260
PA14_01170,33,57,55,114,61,62
PA14_01180,66,75,86,137,127,93
PA14_01190,28,34,30,71,81,29
PA14_01200,129,132,180,365,274,222
PA14_01220,102,101,113,195,153,122
PA14_01230,53,54,60,66,83,49
PA14_01240,156,178,150,160,152,132
PA14_01250,48,35,38,139,156,121
PA14_01270,105,115,129,259,245,251
coxB,1196,1080,1309,4949,5466,3461
coxA,323,288,357,1497,1527,976
PA14_01310,72,60,65,416,361,222
coIII,346,352,376,1122,1195,748
PA14_01330,37,30,29,133,138,79
PA14_01340,12,15,19,113,85,49
PA14_01350,9,8,10,63,60,47
PA14_01360,16,9,16,89,61,37
PA14_01380,45,54,48,105,48,71
PA14_01390,170,190,202,193,167,192
PA14_01400,137,124,163,142,149,161
PA14_01410,64,80,71,92,102,74
PA14_01430,19,27,25,32,26,12
PA14_01440,9,17,21,17,16,11
PA14_01460,85,80,85,91,62,57
PA14_01470,45,47,49,57,80,52
PA14_01480,35,38,32,40,49,50
PA14_01490,4680,5527,6883,6278,4962,4883
PA14_01500,697,976,1013,1383,1244,914
PA14_01510,28,26,29,44,37,33
PA14_01520,11,18,17,17,18,16
PA14_01540,113,122,131,232,207,176
PA14_01550,69,83,76,60,46,69
PA14_01560,128,176,177,170,121,125
gabP,251,310,335,388,301,313
PA14_01600,1519,1717,1769,1797,1909,1634
PA14_01610,29,38,37,81,53,52
aptA,95,137,106,162,124,94
PA14_01640,65,82,63,94,79,65
PA14_01660,108,125,118,82,92,83
PA14_01670,20,14,20,20,17,16
PA14_01680,9,9,9,12,9,13
PA14_01690,37,38,42,41,49,40
ahpC,8225,22464,12554,4819,7205,5700
ahpF,2540,8806,3555,1776,3633,2019
PA14_01730,267,840,520,437,571,448
PA14_01750,83,98,93,180,153,116
nuh,55,67,84,124,120,129
PA14_01770,59,45,46,92,104,94
PA14_01780,7,8,16,19,21,13
PA14_01790,34,38,29,39,29,32
PA14_01800,23,13,23,36,25,30
PA14_01810,65,62,86,70,91,88
PA14_01830,96,123,151,148,103,123
PA14_01840,7,8,5,7,17,9
PA14_01860,8,13,11,8,18,20
PA14_01870,22,24,27,49,43,44
pcaQ,80,102,79,98,93,102
pcaH,44,51,55,77,61,55
pcaG,68,58,76,104,94,78
pcaR,36,53,47,35,57,51
PA14_01940,106,109,103,137,163,139
PA14_01960,89,78,90,116,137,131
PA14_01970,487,465,596,904,735,713
PA14_01980,71,103,121,139,145,92
PA14_01990,16,11,15,19,16,15
PA14_02010,6,8,12,12,8,5
PA14_02020,84,79,95,118,125,131
PA14_02030,43,70,61,69,98,49
PA14_02050,59,62,66,82,81,57
PA14_02060,56,49,81,107,90,116
PA14_02070,21,31,29,39,43,35
PA14_02090,172,164,246,136,165,175
PA14_02100,52,50,55,66,54,55
PA14_02110,35,33,33,37,19,20
PA14_02130,19,23,17,8,14,23
PA14_02140,20,26,22,15,8,16
PA14_02150,137,140,179,141,140,141
cheB,16,20,24,43,30,13
PA14_02190,15,23,21,34,29,38
PA14_02200,79,65,90,173,184,116
PA14_02220,622,838,846,1697,1993,1267
cheW,68,86,93,216,262,160
cheA,218,206,233,688,668,444
PA14_02260,234,237,256,527,608,437
PA14_02270,240,235,240,450,452,332
PA14_02290,64,70,59,77,81,44
fabG_1,14,15,14,20,18,16
atsA,19,15,22,31,35,22
PA14_02330,7,3,6,5,7,6
PA14_02340,8,9,9,8,10,6
PA14_02360,22,30,21,36,38,25
PA14_02370,20,21,24,30,27,25
PA14_02380,22,23,26,41,41,35
PA14_02390,17,18,27,44,36,35
PA14_02410,30,26,29,43,36,20
PA14_02420,7,9,5,11,11,6
PA14_02435,22,31,23,29,36,27
PA14_02450,1005,852,1011,1058,1066,1021
PA14_02460,335,235,350,484,378,429
pntB,1567,1388,1633,1876,1768,1722
tonB2,17,15,28,45,25,31
exbB1,25,48,44,53,52,27
exbD1,38,39,33,71,73,51
PA14_02520,18,28,31,18,17,12
PA14_02530,48,77,88,82,92,75
mdcA,643,899,565,461,498,335
PA14_02560,89,140,70,91,91,41
mdcC,17,34,13,17,15,17
mdcD,128,163,56,159,152,118
mdcE,102,104,45,96,136,114
PA14_02610,24,20,13,24,27,22
PA14_02620,38,28,32,60,81,49
PA14_02630,23,24,32,46,48,41
PA14_02640,47,61,56,140,113,101
PA14_02650,76,86,82,151,134,152
PA14_02660,70,71,74,83,72,72
PA14_02680,5,10,10,9,16,18
PA14_02690,36,37,34,33,41,49
PA14_02700,8,11,8,18,13,16
PA14_02720,9,7,6,15,10,14
PA14_02730,22,22,20,28,34,29
PA14_02740,42,36,50,47,29,46
PA14_02750,59,39,84,89,55,78
PA14_02760,124,35,64,205,184,143
PA14_02770,68,37,41,168,147,135
pcaF,122,64,67,225,329,204
pcaT,79,70,74,173,204,169
pcaB,85,86,61,142,205,141
pcaD,59,52,52,133,155,130
pcaC,72,58,48,188,224,190
PA14_02870,86,85,92,114,143,106
PA14_02890,21,20,28,74,51,70
pcaK,19,15,20,80,60,48
PA14_02910,16,33,30,21,17,15
PA14_02930,7,4,7,8,8,10
PA14_02960,6,13,12,15,17,14
PA14_02970,36,28,18,37,27,30
PA14_02980,28,42,41,55,42,37
PA14_02990,26,35,34,36,35,26
PA14_03000,21,19,27,30,43,29
PA14_03010,94,91,124,119,119,120
PA14_03020,15,9,16,16,27,13
aroQ2,11,18,13,36,39,29
PA14_03040,46,55,66,63,55,33
pobA,20,25,24,28,34,33
PA14_03070,32,50,49,54,61,53
PA14_03080,56,67,45,68,76,57
PA14_03090,167,210,196,232,303,189
PA14_03100,36,48,31,67,56,47
PA14_03110,3,7,3,13,5,8
PA14_03120,21,34,22,38,35,32
PA14_03130,62,50,46,57,73,58
PA14_03150,70,101,79,84,93,71
PA14_03160,497,536,558,1276,1386,1006
PA14_03163,1091,1286,1468,1636,1652,1399
PA14_03166,290,296,309,611,473,496
PA14_03170,110,87,85,231,159,120
PA14_03180,106,84,127,154,132,140
PA14_03190,224,246,259,347,274,293
PA14_03200,242,274,288,434,328,317
PA14_03210,40,48,46,62,70,46
PA14_03220,401,470,558,579,442,415
hcpC,83,230,127,150,0,40
PA14_03250,178,189,188,281,268,207
PA14_03265,93,83,98,136,75,112
PA14_03270,608,652,717,1089,1000,1071
PA14_03285,118,138,139,247,214,225
PA14_03290,204,182,226,291,224,286
PA14_03300,379,377,409,664,440,402
PA14_03310,212,174,247,513,342,341
PA14_03320,151,152,195,341,234,239
PA14_03330,60,53,59,124,77,82
PA14_03340,126,111,131,259,172,189
PA14_03350,120,148,124,217,114,168
PA14_03360,99,85,104,147,82,128
PA14_03370,118,111,123,185,136,120
PA14_03380,279,251,303,495,405,385
PA14_03390,36,43,48,135,81,102
PA14_03400,30,28,30,117,70,84
PA14_03410,0,0,0,0,0,0
PA14_03420,183,197,174,222,152,169
gabD,1512,1748,1718,1746,1840,1631
gabT,1706,1752,1795,2018,2139,2078
PA14_03470,85,111,112,120,123,93
PA14_03480,39,39,61,73,55,57
PA14_03490,28,47,53,18,25,15
PA14_03510,33,43,55,11,37,21
PA14_03520,19,28,23,10,32,15
PA14_03530,77,82,91,107,92,98
PA14_03550,7,7,13,9,10,9
PA14_03560,42,43,61,50,42,29
PA14_03580,70,69,68,91,87,59
PA14_03590,36,37,30,70,41,60
PA14_03610,80,88,78,156,154,101
PA14_03620,19,15,17,38,28,24
PA14_03630,64,49,74,231,141,80
cysA,305,251,546,1183,880,404
cysW,117,92,266,370,257,162
cysT,72,81,227,242,132,102
sbp,320,344,934,986,613,674
PA14_03710,33,33,72,57,60,68
PA14_03720,169,185,170,232,231,167
PA14_03730,3377,4120,4068,4008,3956,4019
PA14_03760,37,65,47,93,97,76
speB1,63,51,50,69,69,70
PA14_03780,67,67,86,87,89,83
PA14_03790,161,189,191,200,205,180
oprE,1164,1416,1600,1806,1444,1504
aguA,376,482,534,538,487,526
aguB,31,22,32,77,54,31
aguR,42,37,49,65,42,56
PA14_03855,81,89,81,193,134,114
PA14_03860,1937,2382,2508,2998,2300,1999
spuA,384,408,421,487,392,326
spuB,361,383,484,349,260,263
spuC,1099,1412,1424,1198,1413,1288
spuD,2453,2659,2851,3071,2592,3051
spuE,772,733,875,1006,941,985
spuF,461,476,573,676,615,635
spuG,268,293,343,406,389,386
spuH,247,272,354,418,349,341
PA14_03980,302,342,360,667,517,497
PA14_04000,290,291,321,714,642,543
PA14_04010,1387,1398,1720,2020,1567,1890
PA14_04020,58,60,48,48,47,54
PA14_04030,168,176,160,213,221,186
PA14_04040,195,262,237,180,207,192
PA14_04050,140,181,164,186,226,205
PA14_04060,35,40,42,50,67,62
PA14_04070,104,108,105,143,196,148
PA14_04080,224,218,277,450,484,387
PA14_04090,302,297,353,476,512,475
PA14_04100,884,908,995,1798,1860,1844
serA,3712,4453,4766,2640,2625,2577
PA14_04140,857,879,948,1168,934,981
PA14_04150,321,362,407,291,358,353
PA14_04160,309,330,363,412,445,414
PA14_04180,150,860,501,188,151,144
PA14_04190,56,114,77,95,96,84
PA14_04210,59,68,61,95,79,65
PA14_04220,26,26,38,61,52,45
PA14_04230,21,20,24,40,26,26
PA14_04240,71,63,69,82,73,66
PA14_04250,30,27,31,43,52,49
PA14_04270,124,200,169,226,207,159
PA14_04290,239,252,266,607,493,439
PA14_04300,619,660,747,944,830,913
rpiA,372,381,446,589,592,538
ilvA1,432,488,518,523,508,484
PA14_04330,65,64,56,97,99,64
PA14_04340,147,191,162,355,466,237
PA14_04350,36,44,59,108,98,66
PA14_04370,125,162,126,333,332,280
PA14_04380,111,121,119,131,113,118
ygdP,462,530,560,451,403,414
ptsP,1476,1631,1717,1598,1687,1428
PA14_04420,303,335,354,510,483,474
PA14_04430,71,69,78,88,83,72
PA14_04440,96,84,103,140,119,103
lgt,146,148,188,209,195,192
thyA,384,391,437,479,471,442
PA14_04490,251,263,262,329,353,283
PA14_04510,113,103,111,134,144,102
PA14_04520,114,123,123,110,119,118
PA14_04530,40,47,55,48,35,48
glpQ,98,79,95,97,107,82
PA14_04560,40,20,39,49,50,42
PA14_04570,30,25,31,34,45,46
folA,55,50,61,52,62,69
PA14_04590,68,67,85,89,84,80
PA14_04610,99,97,117,122,117,116
ilvD,1061,1237,1325,1228,1076,1095
PA14_04640,260,298,318,372,345,317
pfpI,108,153,139,90,129,85
PA14_04660,102,110,126,138,146,131
mutM,228,246,244,244,285,261
PA14_04680,65,88,85,102,98,81
PA14_04690,116,175,140,149,146,158
PA14_04700,423,431,522,516,402,415
PA14_04710,95,94,112,178,129,161
PA14_04730,298,312,301,509,572,456
fdx1,87,90,106,122,89,129
coaD,259,313,381,312,292,351
PA14_04780,81,79,66,120,180,139
PA14_04790,30,50,57,58,54,56
PA14_04810,95,125,145,106,114,105
PA14_04820,73,87,92,93,87,95
PA14_04830,40,39,37,37,42,33
PA14_04840,74,69,70,72,72,63
PA14_04850,13,9,11,11,7,6
PA14_04860,89,88,104,102,86,80
PA14_04870,341,385,375,355,277,292
PA14_04890,387,413,395,330,372,365
ftsY,825,896,953,934,907,822
ftsE,332,362,418,420,396,352
ftsX,419,442,436,562,489,423
rpoH,4102,4950,4789,4375,4683,4543
PA14_04940,148,182,165,233,228,207
mtgA,94,88,78,151,156,101
PA14_04960,54,48,58,51,56,48
PA14_04970,24,30,31,30,35,22
thiG,238,272,348,427,398,434
trmB,165,142,190,179,190,184
PA14_05010,153,149,163,280,268,237
PA14_05020,25,31,28,59,43,38
PA14_05030,26,34,41,58,35,45
PA14_05040,71,68,65,166,147,158
PA14_05050,283,370,368,440,477,384
PA14_05060,280,354,339,360,376,383
PA14_05070,74,63,92,105,114,114
metX,147,168,172,287,264,259
PA14_05110,200,197,216,311,303,301
PA14_05120,32,37,27,38,60,33
PA14_05130,164,222,225,195,185,198
proC,244,310,271,229,254,240
PA14_05160,366,443,418,374,332,348
pilT,1030,1161,1326,2324,2285,1814
pilU,592,665,704,1440,1498,1135
PA14_05200,161,186,180,398,403,295
PA14_05210,51,52,53,54,53,41
PA14_05220,423,451,545,610,800,673
PA14_05230,451,452,544,569,664,644
pyrC_1,286,343,347,363,395,369
pyrB,199,249,243,261,294,261
pyrR,45,44,43,45,32,56
yqgF,106,118,119,108,97,107
PA14_05290,170,231,217,213,178,194
PA14_05300,115,113,134,194,188,169
gshB,452,539,616,562,578,553
pilG,683,843,871,796,676,739
pilH,260,296,338,348,277,309
pilI,77,92,86,118,91,83
pilJ,907,1084,1180,1519,1403,1538
pilK,124,172,205,230,274,280
chpA,2213,2651,2914,2253,2178,1769
PA14_05400,209,230,260,173,171,159
PA14_05410,99,150,131,89,85,90
PA14_05420,68,99,89,94,84,75
PA14_05430,43,36,49,61,47,41
PA14_05440,134,167,150,152,144,149
PA14_05450,58,63,73,76,93,92
bioA,250,293,319,275,296,281
PA14_05480,284,385,442,345,344,342
PA14_05500,356,473,422,571,510,572
PA14_05510,3210,3428,3514,4552,4216,4961
mexR,331,406,436,607,576,553
mexA,2250,3299,2556,3264,3248,2898
mexB,6565,8483,7702,9475,9326,8599
oprM,2060,2454,2518,2845,2665,2387
PA14_05560,5343,5693,5954,12080,10049,8555
PA14_05580,1532,1524,1744,2685,2255,2032
metF,973,898,1095,973,900,880
PA14_05600,862,781,943,753,774,675
sahH,6748,6090,7394,5332,5187,5487
PA14_05630,15,10,3,11,14,18
PA14_05640,61,64,74,82,120,90
PA14_05650,15,17,19,24,33,28
PA14_05660,406,437,529,556,441,463
codA,213,266,296,318,343,279
codB,80,88,99,147,109,118
PA14_05740,11,33,21,21,20,30
PA14_05750,31,35,22,24,23,18
dhT,44,32,33,50,27,30
PA14_05775,0,2,1,1,1,2
PA14_05790,50,50,63,83,47,31
amaB,599,426,510,296,399,243
PA14_05820,4677,3001,3384,1903,2637,1552
gcdH,12383,8745,9440,3288,4995,2963
PA14_05850,143,139,142,143,148,120
PA14_05860,207,411,246,224,237,185
PA14_05870,148,237,116,178,222,174
PA14_05880,189,205,176,349,389,285
PA14_05890,51,62,49,109,93,55
PA14_05910,48,57,59,103,125,78
PA14_05920,193,178,172,374,286,226
dbpA,480,502,525,898,963,693
PA14_05960,7767,6719,9306,9430,8160,7980
PA14_05970,213,210,302,426,308,281
PA14_05990,231,222,226,538,483,325
PA14_06000,1645,2016,1939,4345,4330,3272
PA14_06010,444,573,442,663,632,483
PA14_06030,370,384,407,579,557,408
PA14_06040,406,477,348,437,441,308
creB,67,86,90,128,117,102
creC,96,117,115,134,116,102
creD,44,39,43,89,85,93
PA14_06090,10,7,6,26,21,13
PA14_06120,62,47,64,79,92,83
PA14_06130,128,146,128,128,193,128
PA14_06150,213,276,236,205,240,199
PA14_06160,166,196,184,287,354,301
PA14_06170,21,37,31,30,35,27
PA14_06180,27,40,33,15,22,16
PA14_06190,61,57,61,62,54,59
PA14_06200,9,7,6,11,11,11
PA14_06210,32,37,26,33,47,35
PA14_06230,273,299,370,355,308,303
PA14_06240,63,62,58,120,151,84
PA14_06250,48,46,48,30,61,45
PA14_06260,61,85,80,59,86,67
PA14_06270,63,72,52,96,85,86
PA14_06280,117,123,127,180,162,182
glcB,9115,8776,10263,9939,10205,11771
PA14_06300,178,195,223,245,279,220
PA14_06310,337,364,356,728,924,570
PA14_06320,124,121,146,430,362,265
PA14_06330,146,207,196,215,187,198
PA14_06340,119,123,113,135,110,119
PA14_06350,10,15,9,21,16,16
PA14_06360,31,28,14,29,36,30
PA14_06390,38,44,43,25,22,36
PA14_06400,73,86,84,85,79,83
PA14_06420,36,46,35,33,48,29
PA14_06430,4,4,5,10,9,3
PA14_06450,45,43,37,62,48,44
PA14_06460,32,51,44,64,62,58
PA14_06480,41,39,63,77,74,55
bioB,858,959,1017,868,763,688
bioF,192,175,201,159,218,127
PA14_06530,136,125,131,168,188,154
PA14_06540,72,86,76,95,119,86
bioD,36,43,34,45,75,40
PA14_06580,234,261,293,323,342,282
PA14_06600,14109,14562,14962,15400,19354,15475
PA14_06620,800,841,973,506,635,404
PA14_06640,2902,2731,2838,3263,3181,3536
nirN,159,178,201,260,188,218
nirE,34,55,39,46,38,30
nirJ,36,53,53,70,48,38
nirH,10,19,12,26,28,19
nirG,4,8,4,13,5,5
nirL,4,13,11,43,13,17
PA14_06710,7,11,14,46,23,7
nirF,22,42,27,148,93,51
nirC,2,7,5,35,15,14
nirM,8,19,20,78,47,24
nirS,85,118,116,711,357,258
nirQ,19,24,33,50,54,40
PA14_06790,8,10,3,9,9,4
PA14_06800,1,4,3,3,4,0
norC,7,12,8,163,102,57
norB,23,37,25,541,291,155
PA14_06840,14,25,22,251,181,76
PA14_06860,4,2,1,26,16,8
dnr,49,69,60,140,103,62
PA14_06875,809,500,668,985,891,1258
PA14_06880,244,390,284,317,302,269
PA14_06890,82,149,109,205,148,113
PA14_06900,7,22,12,19,21,15
PA14_06920,71,113,74,146,161,107
PA14_06930,87,99,98,218,228,180
PA14_06940,52,73,96,184,159,214
PA14_06950,150,164,167,194,209,176
PA14_06960,1357,1257,1039,280,343,228
PA14_06970,288,249,202,101,120,74
PA14_06980,536,580,572,836,860,709
PA14_06990,593,717,626,850,815,757
dsbB,71,82,70,76,90,89
PA14_07010,14,20,17,28,32,21
PA14_07020,43,57,48,103,113,106
PA14_07030,153,157,176,220,212,233
PA14_07040,166,203,210,221,257,236
PA14_07050,64,72,62,103,118,80
PA14_07060,91,113,97,144,157,130
PA14_07070,129,237,173,205,180,161
metK,8673,9073,10122,9854,8696,8857
PA14_07110,3379,3427,3435,3250,3281,2799
tktA,1939,2025,2252,2343,2380,2519
PA14_07140,225,211,236,249,274,236
PA14_07150,114,118,137,196,155,168
epd,300,315,321,408,370,362
pgk,922,993,1172,991,1097,936
PA14_07200,122,142,138,171,185,158
PA14_07210,277,274,311,412,390,373
fda,1651,1700,1960,2014,1569,1895
PA14_07240,56,66,56,78,71,62
PA14_07250,54,58,65,117,101,99
PA14_07260,142,143,155,180,186,172
PA14_07280,157,187,194,246,282,262
PA14_07290,58,70,69,77,81,91
PA14_07300,158,179,222,312,232,267
PA14_07310,75,81,86,124,94,94
PA14_07330,532,616,753,897,650,668
PA14_07340,49,63,56,73,72,60
PA14_07355,134,153,149,172,205,146
PA14_07360,98,90,96,116,118,85
PA14_07370,71,71,58,97,74,85
PA14_07380,105,115,123,145,135,142
PA14_07400,43,56,53,75,54,51
PA14_07410,26,24,23,40,29,31
PA14_07420,54,63,53,78,64,64
PA14_07430,322,526,505,254,253,271
PA14_07440,17,20,20,39,30,27
PA14_07450,128,117,160,229,184,195
PA14_07460,47,30,66,112,62,83
PA14_07470,0,1,0,1,0,0
PA14_07480,2047,1928,2377,4646,1497,2822
PA14_07500,463,468,491,1134,984,800
rpoD,7547,7966,8947,11076,10482,9737
dnaG,806,822,940,1991,1524,1583
PA14_07550,553,569,619,1049,812,1004
rpsU,1548,1566,1875,2410,1658,2748
gcp,295,387,371,523,540,469
PA14_07580,291,303,297,381,353,339
folB,92,116,104,149,123,130
PA14_07600,154,187,203,268,258,241
cca,246,306,334,390,384,283
PA14_07630,32,37,44,127,83,82
PA14_07650,2072,2319,2592,5817,4814,4328
PA14_07660,2509,2495,2643,6575,6552,5166
PA14_07680,11860,11704,12669,27185,27651,22904
glpE,60,72,68,60,60,57
apaH,206,228,246,335,258,235
apaG,229,212,238,243,225,256
ksgA,271,252,287,360,315,271
pdxA_1,286,295,317,370,404,353
surA,1228,1194,1485,1152,1299,1415
ostA,6116,6160,7359,7435,6297,7218
PA14_07780,253,322,321,320,359,280
PA14_07790,89,102,102,101,115,78
PA14_07800,160,148,160,253,270,221
PA14_07810,191,250,222,247,247,244
PA14_07820,149,171,170,197,165,178
PA14_07840,109,130,148,145,119,130
PA14_07850,145,173,177,241,219,192
PA14_07860,2691,3254,3088,2079,1816,1677
PA14_07870,3278,3366,3740,2161,1929,1909
PA14_07890,707,658,675,504,423,396
PA14_07900,198,185,219,190,181,147
rpe,230,266,294,330,284,302
PA14_07930,233,266,296,305,269,326
trpE,929,1063,1153,1301,1192,1077
prtN,50,43,55,54,67,50
prtR,133,156,133,175,142,142
PA14_07970,3,3,2,1,1,3
PA14_07980,19,28,28,34,21,29
PA14_07990,9,10,5,6,8,11
PA14_08000,64,72,75,85,68,62
PA14_08010,58,73,69,85,76,73
PA14_08020,34,19,21,35,36,34
PA14_08030,68,77,81,95,89,91
PA14_08040,42,31,46,45,45,48
PA14_08050,249,239,290,373,331,370
PA14_08060,42,33,57,71,58,60
PA14_08070,203,204,219,324,302,311
PA14_08090,97,85,102,136,101,140
PA14_08100,62,55,49,76,62,72
PA14_08110,2,3,5,9,13,4
PA14_08120,260,259,265,365,417,388
PA14_08130,63,65,75,93,97,100
PA14_08140,5,6,5,6,9,14
PA14_08150,70,61,64,80,81,69
PA14_08160,36,27,32,40,42,53
PA14_08180,13,15,6,14,23,12
PA14_08190,7,16,10,10,11,11
PA14_08200,13,11,10,14,15,13
PA14_08210,74,81,73,105,95,104
PA14_08220,59,47,58,70,76,66
PA14_08230,23,24,35,39,41,39
PA14_08240,226,224,240,263,247,275
PA14_08250,24,24,29,40,28,37
PA14_08260,35,35,25,44,43,54
PA14_08270,30,49,39,46,62,63
PA14_08280,72,65,53,86,72,83
PA14_08300,238,243,277,416,445,375
PA14_08310,147,142,153,316,208,200
PA14_08320,30,24,35,59,22,42
PA14_08330,46,40,49,87,42,55
trpG,468,488,575,769,663,662
trpD,888,908,991,1449,1278,1092
trpC,770,828,860,1189,1056,875
vfr,1094,1181,1434,1595,1013,1332
PA14_08380,117,109,108,137,118,132
speD,680,557,750,1418,1156,1852
PA14_08400,323,429,391,334,308,281
PA14_08420,85,113,126,148,153,112
PA14_08430,175,189,189,209,191,171
PA14_08440,215,205,213,241,212,190
PA14_08450,589,637,783,620,563,628
PA14_08460,415,506,472,544,578,514
PA14_08470,67,73,76,95,65,104
argC,290,305,294,321,312,314
PA14_08490,221,202,240,323,293,271
PA14_08500,166,153,206,198,175,209
PA14_08510,200,249,238,210,178,153
anmK,610,555,654,757,639,713
PA14_08540,1602,1654,1876,2050,1656,1880
tyrZ,1341,1334,1527,2217,1681,1654
PA14_08570,2325,2343,3314,1051,399,1380
PA14_08580,0,0,0,0,0,0
PA14_08590,0,0,1,0,0,0
PA14_08600,35268,44389,92214,16320,13221,8547
PA14_08610,3,8,7,2,3,4
birA,219,193,237,304,221,311
PA14_08630,76,74,82,94,79,98
PA14_08640,149,143,195,327,195,247
PA14_08650,37,49,42,90,123,126
PA14_08660,2,4,0,1,3,0
PA14_08670,1,0,0,0,0,0
tufB,5652,6134,7004,8889,6547,9799
PA14_08690,0,1,0,0,0,0
secE,1058,1072,1220,2377,989,1523
nusG,2570,2504,3039,4728,2499,3355
rplK,8367,8462,11346,11109,8966,10533
rplA,13555,13799,17980,17061,14357,14834
rplJ,11578,11509,15943,14617,11559,13096
rplL,6869,6842,8990,7850,6894,6730
rpoB,34045,29564,40232,39987,32025,34711
rpoC,36222,31557,40956,47200,38816,37041
rpsL,3790,3567,4678,4455,3145,4710
rpsG,5885,5446,7994,7074,4752,6425
fusA1,20985,18674,28122,27375,16310,22803
tufA,19543,17705,25734,23269,12570,18164
rpsJ,5803,5970,8418,7265,5526,8557
rplC,10971,10676,15427,12546,10007,13657
rplD,8779,8579,12366,9365,8427,9687
rplW,4526,4059,6250,4917,3443,5008
rplB,8754,8361,12334,9111,6677,9261
rpsS,4351,3898,6261,4630,3419,4293
rplV,4371,3885,6168,4649,3517,4049
rpsC,8708,7567,11857,9148,6177,7539
rplP,4125,3429,5480,4382,3106,3089
rpmC,942,747,1154,1083,925,812
rpsQ,2061,1579,2581,2171,1437,1579
rplN,3873,3165,4863,4185,2820,2925
rplX,3787,3091,4476,4152,3267,2738
rplE,8512,7492,10785,10710,8084,6956
rpsN,2928,2491,3494,3421,2887,2223
