,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
PA14_58980,4,2,6,8,6,10
PA14_58990,32,33,35,75,51,45
PA14_59000,18,16,19,35,30,22
PA14_59010,5,6,8,21,16,15
PA14_59020,7,7,20,20,24,13
PA14_59030,3,4,7,8,9,11
PA14_59050,91,79,89,224,179,183
PA14_59060,20,20,31,58,57,38
PA14_59070,161,166,214,364,290,297
PA14_59090,80,75,102,166,147,145
PA14_59100,104,107,120,254,208,187
PA14_59110,17,25,33,33,42,26
PA14_59120,19,24,26,53,36,36
PA14_59130,66,68,57,82,83,71
PA14_59140,35,34,38,65,51,47
PA14_59150,105,105,138,143,117,112
PA14_59160,43,37,45,58,37,40
PA14_59170,45,49,68,62,38,58
PA14_59180,100,117,118,264,218,190
PA14_59190,363,366,479,729,548,610
PA14_59200,189,172,216,383,324,304
PA14_59210,88,85,84,152,149,116
PA14_59220,163,128,189,341,224,316
PA14_59230,65,66,62,55,62,58
pilL2,47,33,33,64,44,49
pilN2,44,47,50,47,75,42
pilO2,61,65,61,89,75,74
pilP2,11,10,9,19,14,17
pilQ2,24,33,40,80,53,46
pilR2,23,25,24,39,62,28
pilS2,18,19,32,37,40,28
pilT2,54,64,51,123,124,77
pilV2,201,170,218,316,294,260
pilM2,59,80,74,78,78,70
PA14_59370,300,357,384,505,358,365
PA14_59380,187,194,248,272,289,268
PA14_59390,95,91,128,127,95,125
PA14_59400,302,343,429,597,479,444
PA14_59410,8,7,8,19,12,15
PA14_59430,4,7,7,8,14,12
PA14_59440,20,27,24,35,23,40
PA14_59470,38,45,35,56,41,40
PA14_59480,53,76,58,76,76,59
PA14_59490,28,30,26,22,19,22
PA14_59500,18,18,23,31,36,28
PA14_59510,6,7,10,16,16,13
PA14_59520,11,6,18,12,9,13
PA14_59530,20,24,26,41,37,27
PA14_59540,51,57,70,98,66,65
PA14_59550,2018,1942,2420,2598,1540,1983
PA14_59560,42,36,46,82,40,56
PA14_59570,51,71,56,61,67,62
PA14_59580,516,501,608,737,615,569
PA14_59590,138,139,155,261,168,187
PA14_59600,25,36,35,65,51,52
PA14_59610,212,181,245,367,278,303
PA14_59620,386,421,542,468,274,338
PA14_59630,348,365,421,424,317,313
PA14_59640,31,35,43,69,42,39
PA14_59650,55,64,69,86,90,68
PA14_59660,24,23,29,45,37,45
PA14_59670,16,11,12,22,25,13
PA14_59680,5,7,7,7,5,6
PA14_59690,79,75,81,145,117,107
PA14_59700,27,38,48,63,46,56
cupD1,57,72,68,83,59,79
cupD2,9,19,19,23,13,14
cupD3,101,108,134,197,143,127
cupD4,75,71,73,140,100,108
