,Rev_MHH8607,Rev_MHH9536,Rev_MHH9604
"PA14_02460,",97,26,43
"PA14_02470,pntB",359,147,217
"PA14_02490,tonB2",1,1,1
"PA14_02500,exbB1",2,7,5
"PA14_02510,exbD1",1,2,0
"PA14_02520,",38,28,36
"PA14_02530,",28,42,21
"PA14_02550,mdcA",14,18,24
"PA14_02560,mdcB",1,1,6
"PA14_02570,mdcC",3,1,2
"PA14_02580,mdcD",6,9,4
"PA14_02590,mdcE",5,6,5
"PA14_02610,mdcG",4,6,1
"PA14_02620,mdcH",5,22,13
"PA14_02630,mdcL",11,14,8
"PA14_02640,mcdM",6,10,7
"PA14_02650,",66,74,63
"PA14_02660,",32,30,32
"PA14_02680,aldH",16,5,10
"PA14_02690,",4,19,15
"PA14_02700,",8,24,20
"PA14_02720,",2,3,2
"PA14_02730,",3,5,4
"PA14_02740,",4,4,3
"PA14_02750,",103,102,68
"PA14_02760,catI",18,15,26
"PA14_02770,pcaJ",7,12,9
"PA14_02790,pcaF",16,13,11
"PA14_02810,pcaT",66,45,21
"PA14_02830,pcaB",68,62,56
"PA14_02840,pcaD",32,45,37
"PA14_02850,pcaC",46,63,56
"PA14_02870,",49,34,35
"PA14_02890,",10,17,10
"PA14_02900,pcaK",9,13,18
"PA14_02910,",15,23,11
"PA14_02930,",1,3,4
"PA14_02960,",0,2,5
"PA14_02970,",14,13,19
"PA14_02980,",7,11,6
"PA14_02990,",4,14,6
"PA14_03000,",13,15,11
"PA14_03010,",53,59,54
"PA14_03020,aroE",3,11,6
"PA14_03030,aroQ2",6,2,4
"PA14_03040,",61,58,47
"PA14_03050,pobA",14,12,10
"PA14_03070,pobR",25,30,32
"PA14_03080,",38,44,36
"PA14_03090,",54,57,53
"PA14_03100,",7,2,5
"PA14_03110,",9,15,6
"PA14_03120,",32,29,17
"PA14_03130,",62,48,56
"PA14_03150,",54,64,27
"PA14_03160,",97,83,116
"PA14_03163,",0,0,0
"PA14_03166,",0,0,0
"PA14_03170,",17,11,9
"PA14_03180,",35,60,44
"PA14_03190,",172,213,370
"PA14_03200,",118,93,290
"PA14_03210,",24,21,41
"PA14_03220,",96,64,209
"PA14_03240,hcpC",16,12,9
"PA14_03250,",0,0,0
"PA14_03265,",0,0,0
"PA14_03270,",0,1,0
"PA14_03285,",0,0,1
"PA14_03290,",163,190,135
"PA14_03300,",112,96,69
"PA14_03310,",0,0,0
"PA14_03320,",0,0,0
"PA14_03330,",0,0,0
"PA14_03340,",0,0,0
"PA14_03350,",0,0,0
"PA14_03360,",0,1,0
"PA14_03370,",0,0,0
"PA14_03380,",0,0,0
"PA14_03390,",0,0,0
"PA14_03400,",0,0,0
"PA14_03410,",62,39,26
"PA14_03420,",1,1,2
"PA14_03430,gabD",605,945,1313
"PA14_03450,gabT",983,1141,1968
"PA14_03470,",26,37,27
"PA14_03480,",32,24,25
"PA14_03490,",21,25,27
"PA14_03510,",16,35,20
"PA14_03520,",29,21,13
"PA14_03530,",32,33,18
"PA14_03550,cynX",5,11,7
"PA14_03560,",4,13,14
"PA14_03580,",31,39,26
"PA14_03590,",3,6,10
"PA14_03610,ycaL",25,30,76
"PA14_03620,",8,9,10
"PA14_03630,",7,5,10
"PA14_03650,cysA",83,109,75
"PA14_03670,cysW",141,195,117
"PA14_03680,cysT",63,68,57
"PA14_03700,sbp",111,118,64
"PA14_03710,",44,35,15
"PA14_03720,",116,130,76
"PA14_03730,",624,1695,974
"PA14_03760,",0,14,7
"PA14_03770,speB1",0,14,6
"PA14_03780,",72,65,66
"PA14_03790,",98,23,55
"PA14_03800,oprE",2279,1255,1077
"PA14_03810,aguA",187,233,174
"PA14_03830,aguB",73,81,50
"PA14_03840,aguR",102,127,67
"PA14_03855,",127,124,64
"PA14_03860,",800,2123,2184
"PA14_03870,spuA",185,984,984
"PA14_03880,spuB",515,2349,2412
"PA14_03900,spuC",968,2309,2703
"PA14_03920,spuD",3016,5350,6912
"PA14_03930,spuE",1011,1912,1726
"PA14_03940,spuF",672,1314,1275
"PA14_03950,spuG",1110,2165,2155
"PA14_03960,spuH",457,707,826
"PA14_03980,",100,83,76
"PA14_04000,",44,30,31
"PA14_04010,",437,202,309
"PA14_04020,",99,32,21
"PA14_04030,",98,54,52
"PA14_04040,",74,70,38
"PA14_04050,",68,67,53
"PA14_04060,",1,6,0
"PA14_04070,",39,33,24
"PA14_04080,yecS",59,47,37
"PA14_04090,fliY",135,110,78
"PA14_04100,",269,921,996
"PA14_04110,serA",2093,1643,916
"PA14_04140,",1210,978,673
"PA14_04150,ycgM",133,122,113
"PA14_04160,",275,168,83
"PA14_04180,",25,18,11
"PA14_04190,aphA",27,23,28
"PA14_04210,",30,55,44
"PA14_04220,",19,13,40
"PA14_04230,",4,6,11
"PA14_04240,",5,9,19
"PA14_04250,",2,12,12
"PA14_04270,",44,40,40
"PA14_04290,",45,142,233
"PA14_04300,",392,63,119
"PA14_04310,rpiA",197,142,86
"PA14_04320,ilvA1",364,344,164
"PA14_04330,",100,97,113
"PA14_04340,",46,33,81
"PA14_04350,",31,21,32
"PA14_04370,",43,50,24
"PA14_04380,",111,108,70
"PA14_04390,ygdP",734,1007,497
"PA14_04410,ptsP",2459,2375,1723
"PA14_04420,",287,321,233
"PA14_04430,",39,25,25
"PA14_04440,",267,362,96
"PA14_04460,lgt",287,208,97
"PA14_04480,thyA",374,250,143
"PA14_04490,",97,70,87
"PA14_04510,",112,115,97
"PA14_04520,",71,51,66
"PA14_04530,",28,38,18
"PA14_04550,glpQ",5,6,12
"PA14_04560,",9,10,11
"PA14_04570,",7,6,11
"PA14_04580,folA",48,41,15
"PA14_04590,",50,44,35
"PA14_04610,yicE",76,40,29
"PA14_04630,ilvD",728,706,528
"PA14_04640,",147,94,38
"PA14_04650,pfpI",71,6,11
"PA14_04660,",170,139,80
"PA14_04670,mutM",130,87,67
"PA14_04680,",78,97,58
"PA14_04690,",86,153,83
"PA14_04700,",60,56,95
"PA14_04710,",0,0,0
"PA14_04730,",147,109,85
"PA14_04750,fdx1",241,167,146
"PA14_04760,coaD",359,239,153
"PA14_04780,",36,92,76
"PA14_04790,",18,68,42
"PA14_04810,",76,145,154
"PA14_04820,",112,130,93
"PA14_04830,",37,36,43
"PA14_04840,",67,59,58
"PA14_04850,",25,12,10
"PA14_04860,yhhF",113,66,81
"PA14_04870,",404,288,183
"PA14_04890,",366,222,164
"PA14_04900,ftsY",532,609,352
"PA14_04910,ftsE",397,295,283
"PA14_04920,ftsX",411,373,256
"PA14_04930,rpoH",2437,1917,1549
"PA14_04940,",17,23,19
"PA14_04950,mtgA",42,28,15
"PA14_04960,",44,34,23
"PA14_04970,thiS",69,54,28
"PA14_04980,thiG",266,143,83
"PA14_05000,trmB",114,104,36
"PA14_05010,",18,31,18
"PA14_05020,",4,2,9
"PA14_05030,",40,13,17
"PA14_05040,",47,41,14
"PA14_05050,",172,161,127
"PA14_05060,",453,514,241
"PA14_05070,metW",227,200,73
"PA14_05080,metX",470,314,129
"PA14_05110,",185,173,138
"PA14_05120,",75,67,48
"PA14_05130,",622,1026,751
"PA14_05150,proC",355,494,461
"PA14_05160,",159,212,169
"PA14_05180,pilT",537,470,281
"PA14_05190,pilU",201,198,128
"PA14_05200,czcD",30,41,42
"PA14_05210,",444,450,415
"PA14_05220,",211,173,209
"PA14_05230,",157,197,167
"PA14_05250,pyrC",209,197,145
"PA14_05260,pyrB",503,488,340
"PA14_05270,pyrR",260,224,144
"PA14_05280,yqgF",46,29,37
"PA14_05290,algH",182,163,115
"PA14_05300,",201,141,71
"PA14_05310,gshB",155,138,115
"PA14_05320,pilG",1383,1944,871
"PA14_05330,pilH",445,611,296
"PA14_05340,pilI",171,327,163
"PA14_05360,pilJ",1035,1323,750
"PA14_05380,pilK",130,205,141
"PA14_05390,chpA",1266,1980,1057
"PA14_05400,",127,158,82
"PA14_05410,chpC",50,53,29
"PA14_05420,chpD",38,46,40
"PA14_05430,chpE",9,7,4
"PA14_05440,",61,73,91
"PA14_05450,",64,69,45
"PA14_05460,bioA",651,679,388
"PA14_05480,",687,685,515
"PA14_05500,",5246,17387,27693
"PA14_05510,yceI",1472,10133,7332
"PA14_05520,mexR",75,74,59
"PA14_05530,mexA",387,771,383
"PA14_05540,mexB",206,544,194
"PA14_05550,oprM",158,368,176
"PA14_05560,rhlE",820,581,387
"PA14_05580,",847,721,669
"PA14_05590,metF",256,257,147
"PA14_05600,",201,204,146
"PA14_05620,sahH",1348,1295,905
"PA14_05630,",50,18,17
"PA14_05640,bfrG",282,125,41
"PA14_05650,",52,44,26
"PA14_05660,",475,425,300
"PA14_05690,codA",113,123,82
"PA14_05700,codB",73,65,61
"PA14_05740,pydA",44,87,319
"PA14_05750,gltX",50,96,293
"PA14_05770,dhT",118,296,725
"PA14_05775,",3,6,1
"PA14_05790,",56,141,316
"PA14_05810,amaB",42,144,355
"PA14_05820,",345,300,576
"PA14_05840,gcdH",1070,922,1978
"PA14_05850,",74,79,79
"PA14_05860,",1345,1051,652
"PA14_05870,",8,14,9
"PA14_05880,nfeD",9,9,9
"PA14_05890,",5,13,14
"PA14_05910,",16,16,13
"PA14_05920,",139,165,138
"PA14_05950,dbpA",126,173,148
"PA14_05960,cspB",1115,1043,910
"PA14_05970,",23,10,11
"PA14_05990,emrA",176,154,107
"PA14_06000,clpA",2537,1583,2690
"PA14_06010,",431,72,162
"PA14_06030,",333,287,315
"PA14_06040,",195,63,78
"PA14_06060,creB",99,70,64
"PA14_06070,creC",106,91,70
"PA14_06080,creD",18,14,11
"PA14_06090,",3,3,2
"PA14_06120,",19,21,23
"PA14_06130,",38,50,17
"PA14_06150,",246,128,149
"PA14_06160,fiuA",106,30,35
"PA14_06170,fiuR",30,7,6
"PA14_06180,fiuI",46,10,16
"PA14_06190,psfA",53,62,86
"PA14_06200,",2,2,4
"PA14_06210,",25,22,20
"PA14_06230,",42,76,45
"PA14_06240,",11,17,25
"PA14_06250,",30,28,14
"PA14_06260,",40,44,34
"PA14_06270,catD",5,5,6
"PA14_06280,",15,14,3
"PA14_06290,glcB",1468,1787,1483
"PA14_06300,",45,39,65
"PA14_06310,",36,29,44
"PA14_06320,rarD",72,75,33
"PA14_06330,",85,61,62
"PA14_06340,modR",60,57,53
"PA14_06350,yfiM",13,5,4
"PA14_06360,comF",1,0,2
"PA14_06390,",58,21,22
"PA14_06400,",13,21,13
"PA14_06420,",30,54,97
"PA14_06430,",26,92,131
"PA14_06450,accC",123,291,423
"PA14_06460,",121,308,384
"PA14_06480,",77,279,342
"PA14_06500,bioB",541,950,604
"PA14_06510,bioF",158,276,145
"PA14_06530,bioH",133,230,127
"PA14_06540,bioC",97,134,87
"PA14_06570,bioD",36,75,31
"PA14_06580,",48,60,67
"PA14_06600,",565,581,506
"PA14_06620,",58,76,64
"PA14_06640,",156,121,145
"PA14_06650,nirN",548,744,672
"PA14_06660,nirE",130,228,164
"PA14_06670,nirJ",375,754,505
"PA14_06680,nirH",129,202,163
"PA14_06690,nirG",106,136,108
"PA14_06700,nirL",161,153,155
"PA14_06710,nirD",221,140,175
"PA14_06720,nirF",688,579,490
"PA14_06730,nirC",285,285,239
"PA14_06740,nirM",610,606,635
"PA14_06750,nirS",5623,5500,6282
"PA14_06770,nirQ",214,137,172
"PA14_06790,nirO",103,41,58
"PA14_06800,",32,13,16
"PA14_06810,norC",757,391,629
"PA14_06830,norB",1901,1081,1359
"PA14_06840,norD",351,197,197
"PA14_06860,",28,33,19
"PA14_06870,dnr",124,107,79
"PA14_06875,rsmY",333,72,968
"PA14_06880,",11,8,13
"PA14_06890,",11,10,7
"PA14_06900,",5,6,7
"PA14_06920,argD",10,12,6
"PA14_06930,",12,11,6
"PA14_06940,",7,3,6
"PA14_06950,",78,77,54
"PA14_06960,",26,31,43
"PA14_06970,",30,31,23
"PA14_06980,",183,75,140
"PA14_06990,",314,142,279
"PA14_07000,dsbB",104,120,59
"PA14_07010,",7,8,15
"PA14_07020,",13,14,5
"PA14_07030,",123,57,24
"PA14_07040,yqjC",434,368,327
"PA14_07050,",20,4,10
"PA14_07060,",46,30,24
"PA14_07070,",106,130,65
"PA14_07090,metK",553,463,445
"PA14_07110,",492,407,316
"PA14_07130,tktA",2017,1491,752
"PA14_07140,",82,62,18
"PA14_07150,hyi",26,30,49
"PA14_07170,epd",504,413,256
"PA14_07190,pgk",531,383,247
"PA14_07200,",41,36,27
"PA14_07210,",95,98,53
"PA14_07230,fda",3457,2039,1290
"PA14_07240,",23,28,12
"PA14_07250,",30,13,14
"PA14_07260,",67,41,28
"PA14_07280,yhiN",100,45,24
"PA14_07290,ygjP",56,39,31
"PA14_07300,",4,0,1
"PA14_07310,",26,8,14
"PA14_07330,",235,71,323
"PA14_07340,",22,20,12
"PA14_07355,",16,15,24
"PA14_07360,",40,34,29
"PA14_07370,",50,7,10
"PA14_07380,",35,33,33
"PA14_07400,",29,15,24
"PA14_07410,",15,24,17
"PA14_07420,",26,28,20
"PA14_07430,",20,39,25
"PA14_07440,",50,91,158
"PA14_07450,",185,168,173
"PA14_07460,",21,23,26
"PA14_07470,",2,2,5
"PA14_07480,",0,1,0
"PA14_07500,",55,38,76
"PA14_07520,rpoD",6527,5387,2921
"PA14_07530,dnaG",692,860,667
"PA14_07550,",90,60,30
"PA14_07560,rpsU",873,648,260
"PA14_07570,gcp",119,64,31
"PA14_07580,",80,86,73
"PA14_07590,folB",29,16,16
"PA14_07600,folk",66,33,28
"PA14_07620,cca",98,54,64
"PA14_07630,",12,10,14
"PA14_07650,ycgB",905,1108,1626
"PA14_07660,",1104,1003,1705
"PA14_07680,prkA",3840,3992,7416
"PA14_07690,glpE",51,58,70
"PA14_07700,apaH",241,238,146
"PA14_07710,apaG",91,62,57
"PA14_07730,ksgA",173,133,63
"PA14_07740,pdxA",179,159,119
"PA14_07760,surA",2064,2225,1462
"PA14_07770,ostA",8337,7970,4305
"PA14_07780,",214,203,150
"PA14_07790,",83,79,52
"PA14_07800,djlA",60,53,37
"PA14_07810,",85,102,76
"PA14_07820,",175,138,106
"PA14_07840,uhpA",121,140,88
"PA14_07850,",153,177,108
"PA14_07860,",56,337,342
"PA14_07870,",115,727,1054
"PA14_07890,",46,228,276
"PA14_07900,",28,82,100
"PA14_07910,rpe",158,116,75
"PA14_07930,gph",584,485,304
"PA14_07940,trpE",367,318,239
"PA14_07950,prtN",67,81,73
"PA14_07960,prtR",84,73,82
"PA14_07970,",9,8,12
"PA14_07980,",57,43,39
"PA14_07990,hol",38,37,31
"PA14_08000,",40,36,28
"PA14_08010,gpV",41,36,24
"PA14_08020,gpW",49,65,43
"PA14_08030,",97,114,44
"PA14_08040,gpI",63,65,64
"PA14_08050,",399,556,315
"PA14_08060,",150,147,97
"PA14_08070,gpFI",521,654,340
"PA14_08090,gpFII",176,208,123
"PA14_08100,",68,79,42
"PA14_08110,",12,16,7
"PA14_08120,",264,279,159
"PA14_08130,gpU",61,87,38
"PA14_08140,XR2",27,33,19
"PA14_08150,gpD",74,124,51
"PA14_08160,lys",20,14,16
"PA14_08180,",9,5,3
"PA14_08190,",18,11,4
"PA14_08200,",0,0,0
"PA14_08210,",0,0,0
"PA14_08220,",0,0,0
"PA14_08230,",0,0,0
"PA14_08240,",0,0,0
"PA14_08250,",0,0,0
"PA14_08260,",0,0,0
"PA14_08270,",0,0,0
"PA14_08280,",0,0,0
"PA14_08300,JF1",0,1,0
"PA14_08310,",0,0,0
"PA14_08320,",0,1,0
"PA14_08330,",0,0,0
"PA14_08340,trpG",394,266,231
"PA14_08350,trpD",461,370,278
"PA14_08360,trpC",458,412,325
"PA14_08370,vfr",444,426,231
"PA14_08380,",281,270,187
"PA14_08390,speD",508,334,166
"PA14_08400,",263,143,122
"PA14_08420,",56,33,38
"PA14_08430,",179,153,107
"PA14_08440,",167,104,128
"PA14_08450,",309,251,399
"PA14_08460,",242,245,179
"PA14_08470,",281,293,154
"PA14_08480,argC",305,150,100
"PA14_08490,",465,393,161
"PA14_08500,",208,133,61
"PA14_08510,yadR",315,252,213
"PA14_08520,anmK",267,216,104
"PA14_08540,",2333,1593,1124
"PA14_08560,tyrZ",1874,1959,1195
"PA14_08570,16S-rRNA",181215,234174,244348
"PA14_08580,",41,36,9
"PA14_08590,",167,139,56
"PA14_08600,23S-rRNA",815661,1396457,1282440
"PA14_08610,5S-rRNA",24534,6043,31228
"PA14_08620,birA",264,280,134
"PA14_08630,",166,130,69
"PA14_08640,",199,178,129
"PA14_08650,",547,268,272
"PA14_08660,",313,379,204
"PA14_08670,",97,68,46
"PA14_08680,tufB",19776,21463,10586
"PA14_08690,",436,610,178
"PA14_08695,secE",3035,2948,1251
"PA14_08710,nusG",3698,4112,2022
"PA14_08720,rplK",6386,5587,2981
"PA14_08730,rplA",4579,3820,1892
"PA14_08740,rplJ",12436,11323,4997
"PA14_08750,rplL",7894,7414,3497
"PA14_08760,rpoB",14271,14654,11019
"PA14_08780,rpoC",17761,17471,15374
"PA14_08790,rpsL",4284,4648,2016
"PA14_08810,rpsG",5549,5552,2835
"PA14_08820,fusA1",36490,45219,21453
"PA14_08830,tufA",20078,18500,10869
"PA14_08840,rpsJ",4142,5601,1833
"PA14_08850,rplC",6888,6837,2398
"PA14_08860,rplD",8542,9445,3431
"PA14_08870,rplW",3525,5346,1887
"PA14_08880,rplB",7014,11036,3986
"PA14_08890,rpsS",6056,6838,3070
"PA14_08900,rplV",3558,5306,2315
"PA14_08910,rpsC",6518,8754,3936
"PA14_08920,rplP",4685,6308,3247
"PA14_08930,rpmC",5824,6722,3402
"PA14_08940,rpsQ",2146,2134,1083
"PA14_08950,rplN",6623,5976,3160
"PA14_08960,rplX",5788,4294,2856
"PA14_08970,rplE",13833,10071,6056
"PA14_08980,rpsN",2501,1481,1070
"PA14_08990,rpsH",6842,6123,2631
"PA14_09000,rplF",5696,4968,1952
"PA14_09010,rplR",3426,2963,1366
"PA14_09020,rpsE",5521,6441,2859
"PA14_09030,rpmD",2629,3186,1556
"PA14_09040,rplO",5276,6428,3037
"PA14_09050,secY",8039,10789,4402
"PA14_09070,rpmJ",551,635,347
"PA14_09080,rpsM",5909,8886,3813
"PA14_09090,rpsK",4240,4494,2424
"PA14_09100,rpsD",8863,11284,4729
"PA14_09115,rpoA",11519,11450,5849
"PA14_09130,rplQ",2162,1724,952
"PA14_09150,katA",2248,2763,2380
"PA14_09160,bfrA",288,214,196
"PA14_09180,uvrA",1304,947,503
"PA14_09195,yajR",369,319,164
"PA14_09200,ssb",312,222,136
"PA14_09210,pchA",258,490,661
"PA14_09220,pchB",73,90,177
"PA14_09230,pchC",114,259,371
"PA14_09240,pchD",235,443,650
"PA14_09260,pchR",99,86,86
"PA14_09270,pchE",444,1011,1252
"PA14_09280,pchF",715,1184,1940
"PA14_09290,pchG",81,160,325
"PA14_09300,pchH",128,336,524
"PA14_09320,pchI",84,243,303
"PA14_09340,fptA",435,1350,943
"PA14_09350,fptB",15,34,35
"PA14_09370,",48,123,74
"PA14_09380,",54,159,159
"PA14_09400,phzS",17,14,14
"PA14_09410,phzG1",1,3,5
"PA14_09420,phzF1",2,3,5
"PA14_09440,phzE1",5,8,5
"PA14_09450,phzD1",1,5,4
"PA14_09460,phzC1",0,2,1
"PA14_09470,phzB1",2,7,13
"PA14_09480,phzA1",2,1,4
"PA14_09490,phzM",24,3,10
"PA14_09500,opmD",13,3,6
"PA14_09520,mexI",57,52,57
"PA14_09530,mexH",13,16,23
"PA14_09540,mexG",10,17,14
"PA14_09550,",107,16,52
"PA14_09570,",4,7,6
"PA14_09580,",45,55,37
"PA14_09600,ddlA",111,75,80
"PA14_09610,",59,382,230
"PA14_09630,",241,1662,1136
"PA14_09660,",185,2134,1544
"PA14_09680,",65,105,62
"PA14_09690,",11,38,15
"PA14_09700,pqsL",19,17,31
"PA14_09710,aldH",8,16,16
"PA14_09730,dapA",5,6,3
"PA14_09740,yaaU",7,16,6
"PA14_09750,",59,55,57
"PA14_09760,",91,139,92
"PA14_09770,",36,71,51
"PA14_09780,",31,57,24
"PA14_09790,",40,28,32
"PA14_09810,",27,14,16
"PA14_09820,",554,407,355
"PA14_09850,opdN",1,3,3
"PA14_09870,",13,7,2
"PA14_09880,",5,2,0
"PA14_09890,ppiC2",114,108,70
"PA14_09900,prpL",27,23,36
"PA14_09910,lysR",20,18,14
"PA14_09920,",0,1,0
"PA14_09930,",2,1,0
"PA14_09940,pfpI",13,8,4
"PA14_09950,",36,35,20
"PA14_09960,",11,11,5
"PA14_09970,fpvB",122,39,39
"PA14_09980,dkgB",3,4,8
"PA14_09990,",17,16,13
"PA14_10010,",30,17,15
"PA14_10020,",34,41,36
"PA14_10040,",279,239,179
"PA14_10050,",0,0,0
"PA14_10070,",0,0,0
"PA14_10080,",0,0,0
"PA14_10090,",0,0,0
"PA14_10110,",0,1,0
"PA14_10120,",0,0,0
"PA14_10130,",33,36,34
"PA14_10140,fepG",2,2,2
"PA14_10160,fepD",6,3,3
"PA14_10170,fepB",15,5,2
"PA14_10180,fepC",3,2,3
"PA14_10190,",43,35,20
"PA14_10200,",37,41,22
