,,EV_1,EV_2,EV_3,PA3458_1,PA3458_2,PA3458_3
1,D3C65_00005,924.122777051452,978.197461905373,1094.41430858561,918.358498367347,968.266713855505,998.948563315765
2,D3C65_00010,745.395795328783,746.539780935008,821.278829945877,615.00805815585,651.595994292775,682.355661648307
3,D3C65_00015,326.966095007233,343.603746765084,354.194536710771,357.831680842817,371.152461432748,365.381598288497
4,D3C65_00020,1403.3833787697,1385.49616426683,1448.9209109675,1183.63437396992,1234.47310330319,1252.19239171434
5,D3C65_00025,117.751244846459,124.510550186332,133.174025146539,148.97538734257,151.815875793038,147.357110263231
6,D3C65_00030,57.6445208473439,65.091009417662,62.1790849688291,61.3346622609279,71.3971597856767,63.806467299702
7,D3C65_00035,34.8329328235835,34.3778253492746,38.7741596355183,37.520752760071,43.8391247647492,42.6138772049384
8,D3C65_00040,623.661574795636,608.766719446418,661.969304843808,558.242343647994,587.740291661163,597.12790723843
9,D3C65_00045,335.583806038432,329.992222007503,369.4857545952,354.993395117425,351.347326289831,355.623858964289
10,D3C65_00050,30.7775393971372,30.0151571577422,29.9583044266379,23.7446830197497,26.2188977692712,24.0894189566378
11,D3C65_00055,77.5593992807856,82.8906956391138,75.0517939021501,80.9949828953562,79.99583055947,78.4430762860136
12,D3C65_00060,20.8563090502953,26.0887557853632,23.7950074221993,20.3525854454998,23.3996614499947,21.4212871101748
13,D3C65_00065,44.9714163896992,48.6873770175005,44.1572924621798,52.612125641428,51.0281773789042,49.0173936364497
14,D3C65_00070,11.7316738407911,11.1684305703227,13.1847746044318,10.245519203857,7.18905261415501,10.0626686780892
15,D3C65_00075,37.9468956331762,37.6061998110085,35.0293715821885,26.3752893018211,31.5049658679146,32.093814496027
16,D3C65_00080,229.419399553248,212.636447655284,211.658541430908,199.303039107462,204.887999503418,191.953028268399
17,D3C65_00085,157.363748494068,143.18277004609,147.919128106524,151.536767143534,147.164135866232,143.850422693594
18,D3C65_00090,121.444549574115,119.275348356493,122.017677404327,126.338328020534,115.800131814281,114.57720472097
19,D3C65_00095,244.627124902422,291.949755377342,295.526190541938,198.956906701926,264.303404932169,266.889416984775
20,D3C65_00100,332.035336790291,327.025607637261,319.477230799693,444.018649821209,466.936015380166,399.838615277105
21,D3C65_00105,6.08309013966946,7.41653592560492,7.25552685332636,7.19955403514278,8.03482350993795,8.76671892409287
22,D3C65_00110,68.5795995507974,77.3064803539524,66.7040371999359,71.2340490592492,72.736297037333,76.3848031473136
23,D3C65_00115,48.1577969390499,43.1031617323392,51.4128193155061,41.7435681076067,40.0331557337259,41.1654627740013
24,D3C65_00120,358.902318240498,349.187962050246,438.218218657356,375.553660006246,425.77516511873,478.052994547708
25,D3C65_00125,121.154878615083,128.524204922542,141.677814684308,98.924641502106,116.293498170155,138.819088354549
26,D3C65_00130,78.3559944181233,88.736671015767,107.974722204341,95.2556380034275,98.4618284507309,100.855383796303
27,D3C65_00135,41.3505294018007,45.5462559195972,43.1430790310696,45.6894775307138,47.9270174277001,43.8335946204644
28,D3C65_00140,14.411130211836,13.3497646660888,11.1563477422115,16.545128984607,15.1533952161111,13.4168915707856
29,D3C65_00145,4.12781116620428,4.5371749191936,4.29090297777365,3.53055053646425,3.17164085918603,3.43045523116678
30,D3C65_00150,4.20022890596225,3.05386773407261,3.58875521777433,4.08436238532138,3.24212176716795,3.20175821575566
31,D3C65_00155,6.01067239991149,4.71168164685489,5.92924775110541,5.05353312082137,5.3565490066253,4.95510200057423
32,D3C65_00160,23.8254363803721,23.6456615981051,24.5751715999764,26.0983833773926,21.7081196584289,23.8607219412267
33,D3C65_00165,20.0597139129576,22.1623544129841,24.1070730933102,22.3601533976069,17.9021506274056,18.5244582483006
34,D3C65_00170,2.389785412013,1.48330718512098,2.65255820444189,1.3153031410357,1.83250360752971,1.6771114463482
35,D3C65_00175,5.5037482216057,6.02048210431458,6.00726416888311,6.43806274296421,6.13183899442633,5.71742538527796
36,D3C65_00180,43.3058083752659,36.9954262641939,34.4052402399669,29.213575027214,31.9278513158061,30.6454000650899
37,D3C65_00185,78.935336336187,79.0515476305653,87.3783879110271,72.2724462758563,74.1459151969713,72.4207215468542
38,D3C65_00190,36.8606295368066,34.5523320769358,35.3414372532994,37.7976586844996,34.6766067271006,36.8964518196604
