,Z2_1A-Expression,C1_1A-Expression,C3_1A-Expression,C5_1A-Expression
PA4535,573,1058,38,55
PA4527,1644,2780,91,70
PA4526,1527,2162,241,151
PA4525,3814,3537,62,35
PA4514,395,359,196,118
PA0991,61,37,47,44
PA4513,214,185,130,60
PA4512,459,1111,21,15
PA4503,416,491,266,207
PA0995,201,151,189,172
PA4502,529,672,56,24
PA0997,28,19,13,16
PA0998,38,29,20,13
PA0999,75,51,53,47
PA4501,159,153,28,34
PA1001,147,93,84,48
PA1002,287,84,99,106
PA1003,793,400,345,359
PA4500,299,252,774,744
PA4482,296,252,2211,1903
PA1006,103,82,86,76
PA4470,200,163,221,363
PA4469,28,24,887,1066
PA1009,742,387,211,361
PA1010,2334,1253,891,1844
PA1011,4519,1943,1159,2290
PA1012,779,372,279,519
PA1013,1093,537,440,734
PA1014,856,535,533,610
PA1015,549,235,260,241
PA1016,350,134,153,162
PA1017,281,102,61,86
PA1018,70,39,25,31
PA1019,120,42,54,29
PA1020,236,72,79,103
PA1021,133,36,51,34
PA1022,251,70,89,55
PA1023,245,84,58,76
PA1024,207,67,56,60
PA1025,120,43,50,28
PA4467,90,101,42,76
PA1027,642,166,168,166
PA1028,282,120,93,86
PA4462,2078,1741,517,1241
PA4456,2413,2379,1050,1854
PA1031,839,515,482,664
PA1032,1231,854,846,843
PA4455,1390,1360,527,479
PA1034,84,63,91,74
PA4454,1001,885,130,141
PA1036,244,139,159,187
PA1037,152,80,99,104
PA1038,90,38,42,37
PA1039,204,112,108,71
PA1040,208,151,140,96
PA1041,2841,854,2204,754
PA1042,192,81,137,61
PA1043,623,170,246,246
PA1044,239,115,116,189
PA1045,2797,1530,1138,1339
PA1046,839,402,276,382
PA4453,2295,1954,357,256
PA1048,3742,2518,1805,2550
PA1049,1047,636,632,396
PA1050,923,397,426,359
PA1051,151,72,129,171
PA1052,267,183,187,126
PA4452,442,374,2346,4869
PA4451,994,2163,1034,1086
PA1055,109,72,61,40
PA1056,433,339,282,202
PA4443,949,3819,121,119
PA1058,63,49,42,44
PA4442,2649,4440,71,39
PA4441,676,687,74,86
PA1061,226,100,90,83
PA1062,186,50,57,39
PA1063,52,32,20,20
PA1064,515,394,380,423
PA1065,175,75,90,72
PA1066,170,68,108,113
PA1067,76,32,30,45
PA1068,1047,691,711,714
PA1069,1177,445,461,763
PA1070,370,75,36,115
PA1071,472,102,57,100
PA1072,882,167,74,153
PA1073,723,160,58,139
PA1074,7732,1995,1720,2348
PA1075,91,52,72,80
PA1076,441,227,401,197
PA4438,493,458,1569,532
PA4403,16560,13927,374,205
PA4395,1472,1551,536,191
PA1080,1989,1378,1256,821
PA1081,408,226,439,242
PA1082,1412,1025,1473,1057
PA4391,216,197,800,668
PA4390,743,1377,759,566
PA4387,382,377,853,696
PA1086,2862,2234,1759,1582
PA4385,31628,26348,1328,1148
PA1088,1135,615,402,264
PA1089,547,338,161,105
PA1090,454,245,118,88
PA1091,5315,2576,1390,1528
PA4383,171,144,36339,27482
PA1093,1818,1459,1322,876
PA4378,643,552,9542,8079
PA4376,746,1068,1855,1358
PA4372,298,247,2489,2154
PA4368,323,303,2565,3938
PA4360,272,266,1658,2170
PA1099,1986,1429,1260,1849
PA4359,39,47,348,327
PA1101,2855,2160,1646,2376
PA4358,529,1246,1706,2096
PA1103,1603,952,444,529
PA1104,1559,984,492,733
PA1105,264,188,171,149
PA4357,24,100,819,760
PA4356,322,481,338,226
PA4355,82,68,63,49
PA1109,193,123,67,93
PA1110,366,229,175,184
PA4354,26,37,240,148
PA4348,1995,3171,754,552
PA1113,613,343,368,276
PA4345,817,761,137,125
PA4344,370,313,1221,833
PA1116,485,353,247,248
PA1117,283,100,155,98
PA1118,486,339,349,215
PA1119,424,232,195,192
PA1120,617,282,163,89
PA1121,343,138,129,95
PA1122,381,169,165,223
PA1123,1147,261,127,168
PA1124,1325,697,425,548
PA1125,447,189,131,189
PA1126,283,211,163,191
PA1127,4230,2799,1854,3112
PA1128,187,108,92,142
PA1129,108,38,34,39
PA1130,688,207,190,111
PA1131,479,291,205,100
PA1132,181,143,140,96
PA4343,70,85,48,28
PA4338,635,672,29,21
PA1135,349,166,189,124
PA1136,111,80,55,59
PA1137,134,74,79,115
PA1138,63,25,34,40
PA1139,228,154,277,201
PA1140,490,200,164,240
PA1141,141,80,44,57
PA1142,179,106,79,130
PA1143,31,9,11,10
PA4337,93,92,40,45
PA1145,132,89,47,38
PA1146,125,61,47,54
PA1147,139,87,65,63
PA1148,79,54,44,63
PA4336,651,627,24,9
PA1150,8909,3601,2323,4181
PA4335,199,164,1759,1646
PA4328,1643,1577,26,52
PA1153,63,33,57,81
PA1154,143,73,77,74
PA1155,72880,12634,12129,12695
PA1156,102872,60351,56652,48745
PA1157,381,197,204,421
PA1158,406,192,237,210
PA1159,2379,615,302,200
PA1160,341,186,121,189
PA1161,388,128,62,96
PA1162,641,239,179,301
PA1163,330,208,208,172
PA1164,323,160,200,243
PA1165,174,91,89,118
PA1166,189,141,235,119
PA1167,163,76,79,81
PA1168,1980,50,28,185
PA1169,2976,230,174,311
PA1170,329,180,324,165
PA1171,659,320,234,398
PA1172,541,213,246,166
PA1173,344,78,89,66
PA1174,3735,1490,1582,1168
PA1175,361,186,160,69
PA1176,783,487,495,187
PA1177,236,165,198,47
PA4327,249,541,27899,49453
PA4324,1525,1263,3025,8310
PA4315,2065,4122,1791,4335
PA4313,646,626,502,396
PA1182,153,94,77,51
PA1183,81,54,45,53
PA1184,164,90,99,47
PA1185,32,7,18,12
PA1186,56,43,36,31
PA4311,1281,1627,72,56
PA1188,226,130,113,159
PA4309,1292,1164,67,55
PA4307,1067,860,1050,466
PA1191,282,111,132,42
PA4295,18,24,378,505
PA4292,1342,1098,198,189
PA4290,535,1659,140,94
PA1195,99,58,97,53
PA4289,230,555,293,73
PA1197,401,239,219,129
PA1198,1420,1009,494,551
PA1199,1258,705,330,534
PA1200,379,193,131,273
PA1201,293,195,134,135
PA1202,3201,518,608,822
PA1203,213,91,49,112
PA1204,414,239,147,289
PA1205,813,299,267,434
PA1206,144,73,63,108
PA1207,768,374,288,339
PA4288,92,87,194,121
PA1209,189,51,69,76
PA1210,9055,53,103,102
PA1211,59,22,21,15
PA1212,87,41,31,45
PA1213,41,16,33,18
PA1214,94,32,46,20
PA1215,171,73,64,51
PA1216,149,50,38,27
PA1217,318,120,73,99
PA1218,85,51,43,20
PA1219,59,15,32,15
PA1220,84,24,33,42
PA4287,53,55,84,92
PA1222,382,264,207,255
PA1223,99,63,106,64
PA1224,81,60,55,14
PA1225,71,26,27,32
PA1226,175,89,35,46
PA1227,220,87,57,57
PA1228,38,11,5,16
PA1229,65,30,34,58
PA1230,2,0,0,1
PA1231,30,13,20,2
PA1232,114,72,80,89
PA1233,18,10,12,8
PA1234,155,87,49,57
PA1235,106,29,55,45
PA1236,57,42,47,35
PA1237,49,22,40,40
PA4227,83,72,37,33
PA1239,55,44,35,48
PA1240,208,46,28,59
PA4221,241,205,82,126
PA1242,361,264,513,256
PA1243,1349,627,757,517
PA1244,2244,456,385,584
PA1245,303,186,240,236
PA1246,232,125,136,116
PA1247,223,101,125,86
PA1248,226,112,144,75
PA1249,1580,301,472,160
PA1250,376,141,85,73
PA1251,372,127,105,103
PA1252,123,56,51,73
PA1253,127,32,57,46
PA1254,95,51,24,40
PA1255,131,36,35,29
PA1256,115,27,21,38
PA1257,38,12,18,33
PA1258,50,16,18,23
PA1259,234,78,96,43
PA1260,219,98,380,70
PA1261,83,37,71,38
PA1262,57,42,57,67
PA1263,260,135,97,135
PA1264,134,48,72,75
PA1265,37,22,26,26
PA1266,58,20,25,18
PA1267,34,20,19,22
PA1268,29,12,25,24
PA1269,192,117,165,126
PA1270,90,54,78,45
PA1271,797,404,274,303
PA1272,389,179,114,148
PA1273,565,183,80,106
PA1274,224,45,32,46
PA1275,254,79,40,38
PA1276,410,128,77,84
PA1277,511,205,70,93
PA1278,195,51,20,39
PA1279,430,149,74,90
PA1280,162,44,38,21
PA1281,147,49,42,41
PA1282,87,60,44,65
PA1283,166,102,85,99
PA1284,174,96,112,124
PA1285,190,83,75,232
PA1286,107,29,34,138
PA4210,12,20,388,304
PA1288,4876,1513,1204,1967
PA1289,334,157,224,96
PA1290,68,53,24,27
PA1291,149,73,54,58
PA1292,642,356,307,377
PA1293,777,400,294,416
PA1294,794,579,646,751
PA1295,88,66,43,52
PA4209,387,482,356,487
PA4198,336,284,175,1386
PA4195,74,139,16,174
PA4194,101,107,251,242
PA4193,61,94,17,31
PA4192,65,60,34,35
PA4181,127,104,172,137
PA1303,77,22,22,30
PA1304,822,583,394,476
PA4177,16,24,537,446
PA1306,281,214,215,90
PA1307,493,341,317,253
PA1308,302,122,128,134
PA1309,174,110,84,131
PA1310,57,43,38,41
PA1311,72,52,46,38
PA1312,157,99,88,114
PA4172,93,147,30,26
PA1314,39,27,10,13
PA1315,87,66,64,59
PA1316,144,90,115,108
PA1317,38,29,52,92
PA4171,173,158,326,248
PA4168,411,530,33,35
PA1320,13,7,17,17
PA4161,117,97,35,33
PA4160,27,45,129,69
PA4159,36,37,2307,1399
PA4156,167,162,2432,1310
PA4145,347,282,78,78
PA4137,72,72,233,198
PA1327,757,285,286,213
PA1328,153,100,71,98
PA1329,12,5,21,6
PA1330,149,82,86,85
PA4121,26,27,81,44
PA4118,170,196,180,183
PA4117,2400,2191,118,118
PA1334,93,53,41,51
PA1335,303,152,112,89
PA1336,632,243,175,127
PA1337,6024,813,598,1119
PA1338,2549,454,296,521
PA1339,1521,447,359,508
PA1340,1122,312,255,383
PA1341,1438,323,280,468
PA1342,9461,2079,1829,2500
PA4115,1148,940,100,533
PA1344,819,567,525,1051
PA1345,4486,3253,4637,1418
PA1346,778,514,912,335
PA4114,306,506,46,44
PA4107,19,21,175,76
PA1349,61,27,51,19
PA1350,168,59,62,55
PA1351,151,60,73,34
PA1352,60,23,28,32
PA1353,247,42,51,56
PA1354,251,45,83,65
PA1355,52,30,28,17
PA1356,193,71,105,43
PA1357,235,117,77,94
PA1358,189,80,71,61
PA1359,161,86,85,89
PA1360,83,53,51,101
PA1361,192,117,101,142
PA1362,32,20,47,23
PA4106,33,45,87,81
PA1364,108,30,29,18
PA1365,203,134,137,124
PA4104,18,30,314,217
PA1367,89,41,39,45
PA4103,48,41,168,118
PA1369,233,73,69,45
PA1370,803,300,296,216
PA4100,117,98,1207,872
PA4099,54,48,6860,7022
PA1373,221,145,172,220
PA1374,91,38,68,67
PA1375,673,349,218,420
PA1376,855,409,283,311
PA1377,261,185,153,213
PA1378,42,10,8,10
PA1379,68,37,31,43
PA4090,119,190,70,49
PA4087,29,24,48,25
PA4084,273,221,848,732
PA4081,101,100,376,255
PA4074,143,161,87,51
PA4073,112,94,102,58
PA4072,115,109,322,165
PA1387,178,126,124,121
PA1388,42,18,16,44
PA1389,145,116,103,90
PA1390,64,37,41,20
PA4071,31,32,55,65
PA4063,79,72,126,74
PA4042,171,429,31,23
PA1394,13,6,2,6
PA4040,196,268,13,21
PA1396,147,87,60,77
PA1397,149,85,53,70
PA1398,91,49,54,53
PA1399,119,90,79,118
PA4039,120,162,97,92
PA1401,71,36,59,49
PA1402,101,55,41,45
PA4038,59,85,115,74
PA1404,106,78,240,123
PA1405,229,158,152,202
PA1406,94,43,45,38
PA1407,134,76,60,52
PA4037,61,54,688,464
PA1409,57,23,19,27
PA1410,82,39,36,18
PA1411,100,76,63,56
PA1412,62,47,48,19
PA1413,212,88,71,97
PA1414,925,645,1529,275
PA4033,51,68,1165,334
PA4032,403,343,626,244
PA1417,198,148,281,130
PA4031,1066,1271,107,73
PA1419,142,96,104,66
PA1420,33,26,22,13
PA4030,404,362,83,68
PA1422,232,97,76,59
PA1423,430,301,287,185
PA1424,137,101,62,107
PA1425,268,101,61,77
PA1426,75,33,14,18
PA1427,126,51,31,32
PA1428,37,17,23,22
PA4029,482,399,915,294
PA1430,2257,1444,1309,591
PA1431,644,460,435,118
PA1432,8905,3948,3864,7227
PA1433,1643,746,632,1136
PA4027,229,200,44,64
PA4026,332,277,1531,376
PA4014,140,152,2306,483
PA4011,767,841,475,101
PA4010,370,636,666,145
PA4009,134,111,166,129
PA1440,1264,962,1262,1296
PA4008,136,194,959,704
PA1442,413,286,315,230
PA1443,1467,934,684,826
PA1444,506,254,196,326
PA1445,393,199,117,175
PA1446,656,354,258,177
PA4004,367,321,30,37
PA1448,190,116,95,74
PA1449,235,155,130,56
PA1450,160,111,71,56
PA4002,992,933,371,332
PA3999,4332,3620,1502,1876
PA1453,2425,1555,1645,2578
PA3991,44,67,1433,1573
PA1455,1841,1210,970,915
PA1456,704,396,290,218
PA1457,1948,1130,847,767
PA1458,4911,2763,2315,1892
PA1459,2067,834,643,588
PA1460,912,430,244,214
PA1461,748,405,174,178
PA1462,1152,787,811,745
PA1463,1309,849,754,781
PA1464,1545,892,728,738
PA1465,579,240,206,189
PA1466,205,132,151,136
PA1467,123,78,58,38
PA3990,10,14,28,25
PA3980,1837,2092,64,135
PA1470,210,93,130,109
PA3970,1119,933,957,582
PA1472,79,48,52,37
PA3969,358,435,83,51
PA3967,104,142,1015,576
PA3965,230,739,176,191
PA1476,335,184,110,103
PA1477,624,300,180,220
PA1478,72,27,12,21
PA1479,463,214,104,182
PA1480,2481,1191,484,577
PA1481,520,290,110,114
PA1482,523,257,101,113
PA1483,1432,621,220,331
PA1484,261,162,144,132
PA3962,255,404,72,53
PA1486,133,48,40,64
PA1487,238,93,63,80
PA1488,271,100,77,68
PA1489,282,109,52,64
PA1490,106,51,35,23
PA1491,183,132,108,128
PA1492,65,15,9,39
PA3955,216,257,744,3015
PA1494,308,215,225,125
PA1495,77,42,31,33
PA3954,90,73,49,64
PA3952,572,477,26,39
PA3951,225,220,56,56
PA3947,157,142,65,65
PA1500,57,39,49,94
PA1501,116,93,54,103
PA1502,180,114,151,213
PA1503,33,26,25,47
PA3946,187,184,278,213
PA3945,731,685,418,370
PA1506,34,14,14,21
PA3941,212,197,148,167
PA1508,73,15,27,12
PA1509,759,420,462,349
PA1510,884,357,299,290
PA1511,648,155,103,117
PA1512,64,34,22,26
PA1513,264,186,160,178
PA3940,1011,874,84,43
PA1515,212,146,191,157
PA3939,110,176,124,96
PA3938,210,397,433,446
PA3937,134,160,291,291
PA3936,160,163,130,118
PA3935,145,138,592,715
PA1521,209,82,87,139
PA1522,151,100,103,107
PA3932,197,203,383,639
PA1524,160,113,145,339
PA1525,131,101,125,154
PA1526,410,250,318,211
PA1527,2246,1462,1106,901
PA3931,101,276,1947,2716
PA1529,994,622,705,629
PA1530,91,64,72,41
PA3930,1002,816,85,65
PA1532,2198,1177,751,1269
PA1533,583,298,201,514
PA1534,455,270,141,206
PA1535,280,98,95,125
PA1536,167,71,47,54
PA1537,101,28,30,37
PA1538,141,86,49,80
PA1539,280,142,149,197
PA1540,50,30,19,36
PA3926,154,125,69,106
PA3920,625,4201,81,89
PA3901,710,699,164,192
PA1544,3072,1755,1176,1787
PA3899,81,121,387,291
PA3898,2647,2535,7647,2581
PA3897,1689,1473,149,180
PA3894,102,85,75,122
PA1549,1323,978,391,313
PA1550,731,374,143,170
PA1551,2111,1496,865,751
PA1552,2593,996,635,914
PA1552.1,204,62,45,66
PA1553,1643,624,262,497
PA1554,3266,1419,711,1066
PA1555,1134,838,599,246
PA3893,146,145,147,65
PA1556,761,590,443,140
PA1557,1730,1230,962,275
PA1558,50,29,51,44
PA3891,1145,1061,1284,3563
PA3890,423,384,530,1145
PA3889,736,719,1222,950
PA1562,8805,5131,9509,7063
PA1563,252,86,127,151
PA1564,41,19,30,38
PA1565,121,86,63,93
PA3888,485,577,48,81
PA3879,821,719,88,80
PA3869,58,92,11,14
PA1569,48,26,58,48
PA3868,78,137,104,361
PA3867,92,102,849,610
PA1572,906,681,586,829
PA1573,195,109,67,190
PA3842,59,54,115,126
PA1575,133,56,64,62
PA1576,771,399,420,475
PA1577,190,82,120,105
PA1578,159,70,101,117
PA1579,2190,1294,1587,1899
PA3840,199,206,3145,5993
PA1581,2777,1583,1371,2516
PA1582,1899,983,872,1347
PA1583,9763,5290,3998,7538
PA1584,2831,1798,1416,2355
PA1585,16756,6955,4989,8355
PA1586,7288,2924,2373,3761
PA1587,10252,3550,2907,4684
PA1588,12551,4278,2754,5476
PA1589,9013,2968,2069,3963
PA1590,739,319,545,466
PA3839,565,570,134,77
PA1592,4173,1797,3861,2056
PA3835,65,58,78,77
PA1594,104,82,24,44
PA1595,241,120,58,87
PA3834,6078,5647,1822,1089
PA3833,484,430,449,362
PA1598,176,133,119,139
PA3828,1438,1207,47,31
PA1600,102,75,56,73
PA1601,230,121,111,144
PA1602,42,32,32,59
PA1603,96,64,74,40
PA3824,455,438,254,119
PA3818,857,774,228,188
PA1606,49,37,62,54
PA3815,1920,2343,154,111
PA3795,1755,3678,379,266
PA1609,3135,2207,2091,1950
PA1610,999,617,465,539
PA1611,455,345,294,283
PA1612,77,46,27,21
PA1613,494,130,105,145
PA3794,190,164,665,761
PA1615,179,106,156,153
PA1616,202,114,141,169
PA1617,1011,272,268,316
PA1618,253,110,97,113
PA1619,129,101,74,78
PA1620,23,6,13,13
PA1621,189,87,128,98
PA3792,9453,8002,76,77
PA3781,99,88,680,548
PA1624,597,475,249,262
PA3775,19,122,273,220
PA1626,124,38,35,42
PA1627,61,48,32,34
PA1628,377,123,82,115
PA1629,237,46,26,47
PA1630,345,77,71,120
PA1631,161,79,45,85
PA1633,10893,6430,7204,2727
PA1634,12507,7899,9363,6076
PA1635,2358,1164,1686,1238
PA1636,5728,3171,3648,2362
PA1637,834,510,458,309
PA1638,278,183,139,111
PA1639,238,86,56,89
PA1640,256,206,177,193
PA1641,74,58,120,64
PA1642,1039,447,661,783
PA1643,872,404,267,252
PA1644,196,108,143,151
PA1645,106,54,44,44
PA1646,448,167,125,181
PA1647,284,159,165,95
PA1648,136,45,49,99
PA1649,67,36,22,56
PA3773,47,39,137,59
PA3772,39,87,101,100
PA3768,369,389,58,54
PA3767,164,161,58,73
PA1654,382,191,103,196
PA3766,146,220,168,157
PA1656,2519,1091,575,665
PA1657,829,155,92,248
PA1658,2708,425,193,571
PA1659,430,29,14,28
PA1660,974,163,66,110
PA1661,468,60,41,78
PA1662,1279,140,68,182
PA1663,625,61,34,71
PA1664,11,1,0,3
PA1665,460,43,35,47
PA1666,236,21,9,16
PA1667,723,136,97,116
PA1668,317,56,24,26
PA1669,904,153,104,181
PA1670,205,31,54,37
PA1671,306,92,77,99
PA3762,173,142,73,59
PA3756,281,1596,1666,691
PA1674,756,427,295,201
PA1675,146,109,143,109
PA1676,82,53,47,43
PA3741,127,111,355,490
PA1678,543,332,216,373
PA1679,630,467,295,272
PA1680,143,104,88,79
PA1681,960,620,628,786
PA1682,187,123,41,74
PA1683,198,131,79,99
PA1684,302,227,227,311
PA1685,232,125,97,97
PA1686,485,225,197,144
PA1687,148,71,82,77
PA1688,213,116,67,70
PA1689,541,385,253,354
PA3740,759,923,17,12
PA3734,136,121,20,19
PA1692,4,2,4,5
PA3719,12,12,447,177
PA3718,58,66,43,27
PA1695,50,39,18,22
PA1696,18,3,7,3
PA3714,24,25,19,21
PA1698,43,27,23,16
PA1699,14,4,6,5
PA3712,227,680,6,3
PA1701,16,1,6,1
PA1702,10,4,4,9
PA1703,117,91,87,62
PA1704,16,10,11,11
PA3711,181,336,9,2
PA3710,660,807,41,46
PA1707,58,40,18,27
PA1708,182,92,110,88
PA1709,162,63,74,84
PA1710,106,57,53,46
PA1711,47,21,15,17
PA3709,394,338,39,21
PA1713,61,22,72,64
PA1714,128,73,75,68
PA1715,32,13,19,3
PA1716,84,60,55,42
PA1717,34,19,28,11
PA1718,10,4,4,3
PA3692,5252,5760,7,9
PA1720,18,1,8,6
PA1721,21,14,10,15
PA3691,3038,2840,28,31
PA3690,760,613,45,29
PA3672,114,118,3,3
PA3671,100,91,17,11
PA1726,443,164,123,154
PA1727,636,430,414,462
PA1728,1518,783,1128,812
PA1729,615,253,351,372
PA1730,617,360,904,441
PA1731,302,134,200,110
PA1732,362,86,236,143
PA1733,389,121,197,111
PA1734,210,98,49,78
PA1735,126,60,62,44
PA1736,223,108,87,121
PA1737,580,235,193,239
PA1738,212,135,93,76
PA3664,245,288,34,37
PA1740,197,122,117,181
PA1741,259,163,101,125
PA3663,267,227,256,440
PA1743,11,4,2,4
PA1744,6,3,11,12
PA3662,510,752,212,90
PA1746,3932,1271,957,1132
PA1747,197,87,71,19
PA1748,452,241,220,127
PA1749,753,506,560,586
PA3661,24,22,1925,2026
PA1751,225,100,85,85
PA1752,750,392,415,445
PA3660,375,397,666,440
PA3657,2758,2542,1850,2400
PA1755,146,67,81,226
PA3639,2244,1903,1166,1617
PA3632,143,127,147,151
PA3623,6561,25936,247,160
PA1759,2473,1225,708,969
PA1760,2384,1027,500,918
PA1761,340,77,89,145
PA1762,207,86,74,64
PA1763,154,115,49,70
PA3621,256,455,57,63
PA1765,119,85,68,89
PA1766,961,340,300,395
PA1767,1448,563,530,616
PA1768,416,222,178,185
PA3611,582,1289,1360,1151
PA1770,6750,4058,4411,6341
PA1771,102,63,38,51
PA1772,733,371,604,642
PA1773,498,267,279,275
PA1774,176,139,133,90
PA1775,657,511,522,384
PA1776,2062,1268,1540,1092
PA1777,100473,59475,63754,76796
PA3610,105,95,65,97
PA1779,190,131,129,111
PA3598,121,138,6,2
PA3597,134,109,92,73
PA3594,89,76,35,24
PA3589,59,73,32,26
PA1784,141,100,118,49
PA1785,24,11,17,17
PA1786,41,25,30,42
PA1787,5997,3325,3764,4227
PA1788,200,146,120,104
PA3584,18538,15320,1785,940
PA3577,1,5,149,127
PA1791,89,41,37,36
PA1792,212,161,166,238
PA3576,238,211,1873,1806
PA3575,69,216,1586,1822
PA1795,1420,1076,903,1200
PA1796,796,422,467,635
PA3574,254,959,525,577
PA1798,390,200,143,140
PA1799,253,100,66,91
PA1800,8370,5604,5262,7408
PA1801,2714,1643,1695,2590
PA3573,917,916,9630,7991
PA1803,7028,5493,4967,4669
PA1804,5006,3846,2947,3485
PA1805,2619,1435,979,1643
PA1806,174,80,43,55
PA1807,494,180,99,112
PA1808,193,115,57,69
PA1809,265,124,102,120
PA1810,703,378,285,380
PA3571,178,162,220,207
PA3560,426,344,2752,1847
PA1813,353,200,167,167
PA1814,551,388,435,458
PA1815,314,213,149,194
PA1816,498,252,209,218
PA1817,230,172,122,187
PA1818,836,437,218,343
PA1819,574,366,262,316
PA1820,422,291,262,305
PA1821,1037,553,313,714
PA1822,2186,862,409,523
PA1823,809,237,111,169
PA1824,75,33,29,55
PA1825,116,71,57,49
PA1826,149,89,83,70
PA1827,24,19,23,16
PA1828,406,229,180,409
PA1829,322,217,206,306
PA1830,1597,217,189,329
PA1831,173,60,53,85
PA1832,668,516,614,569
PA1833,1164,613,794,875
PA1834,178,85,112,104
PA1835,190,43,39,46
PA1836,98,42,48,60
PA3559,956,5886,126,308
PA3558,120,713,949,2205
PA1839,206,135,121,145
PA3557,75,717,304,208
PA1841,220,175,114,157
PA3556,523,3109,98,135
PA3555,362,2281,7831,6293
PA3554,1368,8991,6,11
PA3553,459,2727,6,18
PA3552,593,4432,463,528
PA3548,125,127,2073,3518
PA1848,47,33,57,81
PA3546,90,76,11,8
PA1850,142,94,120,84
PA3545,267,232,122,120
PA3543,115,120,363,274
PA3533,2698,5852,151,183
PA3531,4825,4891,293,473
PA3530,56,71,102,341
PA3528,862,759,1892,4318
PA3526,1404,1273,171,210
PA3525,3946,3955,74,61
PA1859,162,80,89,75
PA1860,275,165,192,100
PA1861,503,283,196,192
PA1862,310,142,125,92
PA1863,420,209,258,125
PA1864,38,6,17,15
PA1865,1565,785,506,687
PA1866,972,603,329,507
PA1867,6,4,17,8
PA3524,556,669,59,47
PA1869,42,21,9,16
PA3523,48,260,157,54
PA1871,304,117,158,77
PA1872,348,278,214,169
PA3522,147,569,60,62
PA1874,784,328,340,383
PA3521,65,245,53,51
PA1876,266,128,159,94
PA1877,45,14,29,27
PA1878,74,41,49,26
PA1879,55,33,48,20
PA1880,887,442,494,317
PA3520,19,73,149,106
PA3519,44,1386,5,2
PA3518,52,996,20,17
PA1884,54,25,38,49
PA1885,69,32,33,71
PA1886,416,201,221,266
PA1887,231,56,58,41
PA1888,355,115,153,78
PA3517,143,879,262,184
PA3516,156,1126,226,188
PA3515,192,761,49,48
PA3496,23,53,93,72
PA3495,131,109,216,156
PA1894,87,32,31,39
PA1895,131,101,75,98
PA1896,85,60,44,61
PA1897,79,29,25,22
PA3489,130,107,56,34
PA1899,39,3,6,2
PA1900,203,10,32,13
PA1901,33,2,0,2
PA1906,80,31,25,30
PA3480,659,622,34,41
PA1908,24,19,20,10
PA1909,28,17,7,21
PA3478,316,342,66,73
PA1911,24,16,32,33
PA1912,33,13,21,9
PA1913,316,228,80,182
PA1914,90,58,45,31
PA1915,249,161,154,123
PA1916,109,51,46,32
PA1917,25,13,17,10
PA1918,188,47,34,28
PA1919,2583,342,184,105
PA1920,6328,1254,1225,651
PA1921,127,53,94,61
PA1922,38,28,39,36
PA3476,1809,1966,57,56
PA1924,8,4,11,7
PA3473,249,282,15,10
PA1926,309,202,128,206
PA3472,997,972,2658,4841
PA3466,1277,1100,82,169
PA3465,753,1034,26,40
PA3464,96,94,546,248
PA1931,89,47,118,72
PA3461,1837,1500,230,179
PA3460,3538,2852,1109,1250
PA1934,29,8,25,31
PA3459,4441,4304,80,54
PA1936,25,13,13,11
PA3450,200,1744,31,27
PA1938,36,21,13,27
PA1939,1810,1021,892,601
PA1940,350,161,154,186
PA1941,368,205,167,169
PA1942,57,27,11,15
PA1943,212,143,108,90
PA3449,43,73,441,391
PA3448,55,63,105,105
PA1946,870,529,633,942
PA1947,838,248,224,293
PA1948,468,96,84,137
PA1949,515,167,135,279
PA1950,621,259,193,240
PA1951,262,97,163,121
PA1952,26,14,6,9
PA3447,41,39,30,27
PA1954,35,22,30,28
PA1955,10,6,13,13
PA1956,15,10,5,13
PA3446,94,275,29,29
PA1958,114,86,67,52
PA3445,173,355,215,197
PA1960,101,49,71,66
PA1961,138,63,75,86
PA1962,735,29,9,32
PA1963,111,82,79,53
PA1964,565,422,503,666
PA3444,221,275,33,33
PA1966,54,27,39,21
PA1967,112,47,61,32
PA3443,139,206,51,61
PA3442,223,204,126,74
PA3441,227,195,17,6
PA3440,270,444,104,83
PA3432,12,13,41,25
PA1973,331,211,139,181
PA3430,435,533,21,20
PA3428,21,21,32,11
PA3423,92,95,56,49
PA1977,28,16,20,32
PA3422,114,109,106,114
PA3419,206,200,22,18
PA3412,23,1191,13,9
PA3411,13,132,24,7
PA1982,69,55,43,23
PA1983,12,6,11,6
PA1984,60,21,18,21
PA3410,25,98,183,258
PA3409,27,25,134,146
PA3407,87,78,31,56
PA3406,56,49,131,214
PA3405,40,60,165,187
PA1991,136,107,90,103
PA1992,279,179,93,168
PA1993,96,73,25,50
PA3404,230,222,45,37
PA3403,40,42,46,46
PA3397,4589,5583,44,41
PA1997,510,318,240,296
PA1998,184,143,112,89
PA1999,553,112,104,45
PA2000,383,57,66,69
PA2001,771,297,380,422
PA2002,179,81,95,68
PA2003,194,70,264,58
PA2004,134,75,442,75
PA3390,30,47,141,204
PA3389,42,45,34,260
PA2007,187,141,77,1759
PA2008,1633,385,257,4822
PA2009,5351,679,534,5125
PA2010,368,135,61,277
PA2011,130,51,54,157
PA2012,165,117,118,101
PA2013,50,15,13,23
PA2014,113,60,50,87
PA2015,163,87,78,101
PA3386,127,123,113,112
PA2017,207,83,92,65
PA2018,1610,328,210,568
PA2019,680,190,147,343
PA2020,231,141,269,216
PA3385,2854,7223,60,56
PA3383,55,49,57,51
