Gene,PA14_control1,PA14_control2,PA14_control3,PA14_FBI1,PA14_FBI2,PA14_FBI3
CIA_RS17980,440,320,147,422,245,346
CIA_RS17985,337,272,92,261,138,253
CIA_RS17990,249,159,96,148,79,96
CIA_RS17995,392,338,197,265,169,188
CIA_RS18000,597,416,257,374,200,292
CIA_RS18005,90,36,46,81,43,55
CIA_RS07920,1492,2020,3080,14510,15099,16012
CIA_RS18010,126,74,45,82,52,62
CIA_RS18015,86,115,60,145,78,96
CIA_RS18020,121,102,60,131,53,102
CIA_RS18025,83,107,59,113,72,73
CIA_RS18030,55,46,60,166,103,117
CIA_RS18035,133,85,45,113,44,61
CIA_RS18040,166,113,50,170,73,141
CIA_RS18045,39,26,21,78,40,54
CIA_RS18050,41,34,17,68,26,41
CIA_RS18055,53,36,9,37,34,32
CIA_RS07925,2239,1690,3387,10103,4715,7928
CIA_RS18060,25,22,19,65,29,52
CIA_RS18065,22,12,13,31,24,23
CIA_RS18070,212,186,120,282,133,214
CIA_RS18075,90,105,112,257,120,162
CIA_RS18080,410,423,296,683,339,534
CIA_RS18085,92,81,82,153,87,127
CIA_RS18090,501,470,299,584,363,501
CIA_RS18095,307,184,166,627,374,521
CIA_RS18100,211,220,221,783,665,794
CIA_RS18105,627,900,717,2271,1545,2031
CIA_RS07930,4251,4458,6819,19914,8809,16215
CIA_RS18110,357,389,324,937,500,806
CIA_RS18115,16,11,17,27,26,28
CIA_RS18120,145,94,133,320,213,286
CIA_RS18125,77,103,51,93,88,93
CIA_RS18130,259,321,246,593,374,585
CIA_RS0106305,393,332,245,678,367,570
CIA_RS18135,359,330,330,921,490,787
CIA_RS18140,275,359,241,604,395,560
CIA_RS18145,135,129,81,157,129,154
CIA_RS18150,869,425,236,369,265,479
CIA_RS07935,1086,1490,1667,2691,1996,2136
CIA_RS18155,125,131,73,175,99,129
CIA_RS18160,181,155,130,264,142,234
CIA_RS18165,1096,789,747,1135,614,1029
CIA_RS18170,272,189,177,384,245,446
CIA_RS18175,333,304,138,258,113,138
CIA_RS18180,2980,3225,2207,3430,2074,3198
lldD,3413,2560,835,1510,552,1007
CIA_RS18190,813,745,327,499,282,363
CIA_RS18195,1615,1376,424,480,271,406
CIA_RS18200,2247,2190,1185,2019,938,1489
CIA_RS07940,643,488,363,579,407,448
CIA_RS18205,4039,3211,2214,4006,1233,2823
CIA_RS18210,389,331,200,604,306,375
CIA_RS18215,1948,2196,1237,3989,2480,3355
CIA_RS18220,445,470,245,570,389,507
CIA_RS18225,1273,1214,573,941,495,771
CIA_RS18230,646,568,246,337,191,287
CIA_RS18235,554,561,316,639,314,531
CIA_RS18240,901,973,480,956,418,588
CIA_RS18245,1167,935,521,945,481,731
CIA_RS18250,406,364,266,420,171,365
CIA_RS07945,589,644,485,1015,686,842
CIA_RS18255,712,805,530,990,568,797
CIA_RS18260,5843,5115,3325,6662,3758,5430
CIA_RS18265,6499,8370,4514,7492,3406,5505
CIA_RS18270,2775,4647,2726,5405,4244,5270
CIA_RS18275,2482,3333,1984,3502,1804,3225
CIA_RS18280,3385,3861,1788,3294,2321,3064
CIA_RS18285,893,1724,1061,2093,2315,2462
CIA_RS18290,19101,24146,15417,27328,17037,25458
CIA_RS18295,38940,46522,27695,50052,32413,47595
CIA_RS18300,33119,38390,23329,36158,22686,33057
CIA_RS07950,414,505,348,717,389,548
CIA_RS18305,1171,1068,518,801,363,707
CIA_RS18310,2696,2309,1265,2080,1174,1712
CIA_RS18315,2178,1522,1000,1518,786,1153
CIA_RS18320,414,401,254,543,236,411
CIA_RS18325,219,177,70,84,56,77
CIA_RS18330,381,356,217,399,241,278
CIA_RS18335,242,209,87,136,53,87
CIA_RS18340,657,507,297,489,193,326
CIA_RS18345,970,612,421,540,287,383
CIA_RS18350,1913,1804,527,613,355,568
CIA_RS07955,394,494,356,869,442,603
CIA_RS18355,353,423,136,290,188,229
CIA_RS18360,992,1076,573,945,613,813
CIA_RS18365,4151,2807,1485,2366,1846,2248
CIA_RS18370,812,536,415,939,580,830
treA,1667,1634,1027,2209,1558,1866
CIA_RS18380,646,748,486,774,518,621
CIA_RS18385,425,454,442,1057,856,1212
CIA_RS18390,337,303,201,409,254,402
CIA_RS18395,211,152,139,263,146,259
CIA_RS18400,391,389,265,814,529,718
CIA_RS07960,461,405,289,713,380,544
CIA_RS18405,55,87,62,129,95,139
CIA_RS18410,153,178,106,260,157,245
CIA_RS18415,1950,1824,1384,3060,1344,2409
CIA_RS18420,703,840,635,1639,1069,1413
CIA_RS18425,1174,1159,1148,2372,1574,2152
CIA_RS18430,1319,1368,1473,2982,1624,2780
CIA_RS18435,621,844,619,1413,1236,1412
CIA_RS18440,1068,1131,1178,3234,2362,3597
CIA_RS18445,24754,30783,16507,25598,18296,23223
CIA_RS18450,442,422,140,332,154,300
CIA_RS07965,326,337,263,724,349,547
CIA_RS18455,971,917,468,1038,375,645
CIA_RS18460,552,447,174,404,133,253
CIA_RS18465,157,181,96,277,178,269
CIA_RS18470,78,104,82,268,148,229
CIA_RS18475,172,139,95,279,191,254
CIA_RS18480,43,41,44,149,123,131
CIA_RS18485,247,210,151,498,438,565
CIA_RS18490,319,385,173,360,190,322
CIA_RS18495,6342,6464,4330,10997,7894,11924
CIA_RS18500,465,344,255,517,533,704
CIA_RS07970,183,205,100,283,137,234
CIA_RS18505,1753,1325,764,2169,1998,1922
CIA_RS18510,308,309,199,413,241,325
CIA_RS18515,223,166,66,134,58,96
CIA_RS18520,143,97,73,148,96,112
CIA_RS18525,523,385,217,333,320,301
CIA_RS18530,253,151,182,272,218,329
CIA_RS18535,279,284,198,568,489,558
gcvT,897,707,554,994,946,1152
CIA_RS18545,2209,1528,1619,4816,4953,6392
glyA,147,120,145,320,99,217
CIA_RS07975,182,214,168,490,261,357
CIA_RS18555,988,1057,958,2201,689,1204
CIA_RS18560,47,59,47,130,36,67
CIA_RS18565,82,103,45,111,69,100
CIA_RS18570,1703,1427,1032,1599,916,1289
CIA_RS18575,1200,985,660,894,498,698
CIA_RS18580,252,278,163,217,138,192
CIA_RS18585,428,430,205,437,201,355
CIA_RS18590,211,153,129,241,161,284
CIA_RS18595,276,322,228,575,454,493
CIA_RS18600,253,225,186,523,228,421
ychF,268,308,233,425,242,333
CIA_RS07980,274,375,246,685,438,516
CIA_RS0106325,423,419,307,933,467,701
CIA_RS0106330,564,599,742,2758,2310,2790
CIA_RS18605,1800,1957,2075,8416,4388,7001
CIA_RS18610,529,775,615,3227,1159,1981
CIA_RS0106335,731,1156,651,2255,574,1054
CIA_RS0106340,1685,2589,1777,9638,2291,4190
CIA_RS0106345,57,111,82,210,106,164
CIA_RS18615,5268,5466,4523,13258,6939,10896
CIA_RS18620,602,542,474,1180,861,1107
CIA_RS18625,175,75,74,183,70,133
CIA_RS07985,289,275,212,523,244,376
CIA_RS18630,53,40,50,152,116,148
CIA_RS18635,499,500,361,971,651,897
CIA_RS18640,856,492,166,292,168,185
CIA_RS18645,216,200,112,210,136,169
CIA_RS18650,199,154,107,257,139,197
CIA_RS18655,192,209,159,368,281,323
CIA_RS18660,207,240,148,465,238,340
CIA_RS18665,253,292,143,609,465,517
CIA_RS18670,164,172,116,361,322,347
CIA_RS18675,305,358,298,917,637,828
CIA_RS0106035,145,212,160,802,222,404
CIA_RS18680,407,447,279,764,633,837
CIA_RS18685,501,508,309,597,364,480
CIA_RS18690,361,303,226,556,331,524
CIA_RS18695,360,299,135,264,141,178
CIA_RS18700,85,91,33,111,110,96
CIA_RS18705,193,340,116,289,202,208
CIA_RS18710,763,644,567,1079,657,780
CIA_RS18715,807,935,760,996,886,783
CIA_RS18720,3716,2700,2678,3345,2325,2793
CIA_RS18725,849,568,461,988,619,738
CIA_RS07990,1648,2268,1683,7340,2545,4488
CIA_RS18730,2123,3243,2711,5026,3405,2605
CIA_RS18735,792,1550,814,1356,923,751
CIA_RS18740,554,818,471,1010,474,481
CIA_RS18745,258,372,168,531,299,354
CIA_RS18750,91,146,57,160,125,141
CIA_RS18755,1644,1821,1703,3330,1407,1920
CIA_RS18760,294,243,236,502,357,495
CIA_RS18765,207,255,172,455,346,454
CIA_RS18770,1098,1131,1324,3678,3254,4194
CIA_RS18775,524,412,427,920,697,956
CIA_RS07995,577,470,331,799,457,730
CIA_RS18780,288,183,233,413,395,467
CIA_RS18785,675,648,511,873,880,856
CIA_RS18790,791,606,631,1160,816,924
CIA_RS18795,609,629,377,464,329,393
CIA_RS18800,4926,3607,2868,3897,3050,3353
CIA_RS18805,2117,1488,1989,4523,2283,4101
CIA_RS18810,257,290,159,423,293,360
CIA_RS18815,1598,857,490,700,509,555
CIA_RS18820,1351,600,532,1330,711,1086
CIA_RS18825,367,245,326,817,469,658
CIA_RS08000,1032,1038,800,2020,1392,1760
CIA_RS18830,41,75,44,105,72,152
CIA_RS18835,52,71,42,176,101,310
CIA_RS18840,70,56,47,210,56,449
CIA_RS18845,466,139,89,1765,233,3607
CIA_RS18850,114,81,66,139,104,118
CIA_RS18855,169,81,73,193,131,173
CIA_RS18860,140,112,108,313,103,173
CIA_RS18865,65,56,70,204,75,123
antC,21,31,27,65,46,61
benD,13,19,8,43,36,26
CIA_RS08005,2976,3250,3916,11777,10928,13320
CIA_RS18880,21,22,20,49,33,43
CIA_RS18885,60,75,42,153,78,120
CIA_RS18890,112,90,83,192,94,153
CIA_RS18895,106,74,81,164,97,154
CIA_RS18900,893,714,950,2651,2445,3066
CIA_RS18905,99,88,96,184,218,265
CIA_RS18910,56,78,65,227,161,231
CIA_RS18915,102,237,127,353,141,268
CIA_RS18920,472,456,285,532,255,418
CIA_RS18925,61,41,26,79,54,67
CIA_RS0106040,248,314,441,1205,1071,1225
CIA_RS18930,236,261,207,393,257,362
CIA_RS18935,706,514,413,918,457,756
CIA_RS18940,497,426,263,700,429,594
CIA_RS18945,303,378,274,615,412,552
CIA_RS18950,606,526,320,704,407,622
CIA_RS18955,263,347,157,224,84,200
CIA_RS18960,234,189,109,252,137,174
tpx,345,188,196,564,130,303
CIA_RS18970,863,626,496,1273,551,854
CIA_RS18975,155,106,96,241,104,164
CIA_RS0106045,299,224,265,704,433,693
CIA_RS18980,360,374,564,2107,1389,1961
CIA_RS18985,426,597,684,2986,1575,2434
CIA_RS18990,250,313,213,821,541,773
CIA_RS18995,54,35,30,78,62,72
CIA_RS19000,116,80,74,171,87,135
CIA_RS19005,171,144,93,235,139,195
CIA_RS19010,238,170,140,363,174,222
CIA_RS19015,827,602,369,678,445,495
CIA_RS19020,444,319,177,446,273,313
CIA_RS19025,144,160,81,266,154,207
CIA_RS08010,400,528,475,1212,893,1140
CIA_RS19030,271,289,171,403,172,295
CIA_RS19035,175,148,80,227,97,111
CIA_RS19040,167,147,98,230,156,205
CIA_RS19045,151,136,63,285,133,199
CIA_RS19050,182,213,184,940,754,962
CIA_RS19055,59,33,30,177,112,214
CIA_RS19060,331,422,295,2879,3140,3930
CIA_RS19065,935,950,806,2477,1813,2546
CIA_RS19070,1088,1029,1043,1772,1060,1602
CIA_RS19075,1638,1370,1265,1793,1544,1899
CIA_RS06940,161,106,96,187,92,169
CIA_RS08015,326,371,426,1125,749,1113
CIA_RS19080,846,704,606,958,865,946
CIA_RS19085,1386,947,1046,1599,873,1300
CIA_RS19090,343,256,145,239,152,224
CIA_RS19095,1323,1091,780,1370,799,1070
CIA_RS19100,267,195,215,478,268,387
CIA_RS19105,1650,1439,1153,2643,1776,2274
CIA_RS19110,361,422,288,801,807,870
CIA_RS19115,506,473,588,1707,1043,1411
CIA_RS19120,1171,1044,690,1452,1603,1443
CIA_RS19125,2855,2615,1276,2287,1810,2308
CIA_RS08020,300,311,338,990,659,937
CIA_RS19130,4167,4299,1856,3451,2007,2775
CIA_RS19135,4718,3301,1334,3115,1220,2410
CIA_RS19140,1399,965,462,800,452,681
CIA_RS19145,4266,2657,1818,4017,1968,3533
CIA_RS19150,82,76,70,150,82,119
CIA_RS19155,873,847,639,1167,776,1070
CIA_RS19160,1117,733,512,1079,562,852
CIA_RS0106350,1275,1050,829,2839,1739,2525
CIA_RS19165,3475,3456,3288,8185,3008,7023
CIA_RS19170,682,566,417,825,546,768
CIA_RS08025,56,98,105,413,213,372
CIA_RS19175,363,310,228,445,301,417
CIA_RS19180,36,34,24,104,76,74
CIA_RS19185,21,25,15,46,42,48
CIA_RS0106360,490,631,646,1466,1201,1310
CIA_RS19190,2407,2739,1863,4748,3061,3896
CIA_RS19195,273,308,318,1437,851,1197
CIA_RS19200,92,109,92,305,281,283
CIA_RS19205,148,93,185,713,553,694
CIA_RS19210,166,166,177,786,685,772
CIA_RS19215,92,48,57,287,98,191
CIA_RS08030,907,866,825,2162,1217,1945
CIA_RS19220,992,925,425,1240,744,866
CIA_RS19225,667,638,383,698,416,591
CIA_RS19230,2796,2885,2116,2499,2377,2547
CIA_RS19235,51,55,43,54,47,51
CIA_RS19240,45,24,20,42,29,20
CIA_RS19245,190,75,82,196,57,118
CIA_RS19250,71,75,36,75,39,50
CIA_RS19255,63,88,51,138,85,96
CIA_RS19260,52,25,24,38,50,35
CIA_RS19265,12,13,7,15,20,16
CIA_RS08035,489,613,456,1149,838,1052
CIA_RS19270,46,55,41,126,77,108
CIA_RS0106365,1562,1254,1017,2767,806,1776
CIA_RS19275,1293,916,568,1125,502,863
CIA_RS19280,520,421,369,891,667,799
CIA_RS19285,785,447,506,1186,632,959
CIA_RS19290,980,1114,855,2209,1432,1987
CIA_RS19295,731,834,614,1051,480,797
CIA_RS19300,683,513,397,676,349,577
CIA_RS19305,2212,2566,1952,3318,2110,2624
CIA_RS19310,479,456,464,1407,1179,1649
CIA_RS08040,927,1140,762,2107,1206,1708
CIA_RS19315,288,341,439,1903,1939,2556
CIA_RS19320,677,640,380,935,487,786
CIA_RS19325,80,48,50,123,79,116
CIA_RS19330,95,117,89,201,157,183
CIA_RS19335,26,19,35,123,107,169
CIA_RS19340,53,40,39,182,150,228
CIA_RS19345,258,193,188,571,444,688
CIA_RS19350,130,109,109,327,265,401
CIA_RS19355,57,53,18,67,70,87
CIA_RS19360,247,236,263,1081,1129,1356
CIA_RS08045,111,159,116,295,171,240
CIA_RS19365,245,135,127,368,311,431
CIA_RS19370,115,94,131,366,298,336
CIA_RS19375,295,232,234,591,335,558
CIA_RS19380,66,72,51,101,93,159
CIA_RS19385,2814,2506,2622,9530,8893,11100
CIA_RS19390,5838,4118,5283,15530,11476,16701
CIA_RS19395,9713,5712,8873,27465,20479,30402
CIA_RS19400,1836,1628,1881,5101,5533,6389
CIA_RS19405,1787,1711,1610,4336,2567,3816
CIA_RS19410,767,752,583,1551,1545,1735
CIA_RS08050,139,111,103,281,197,266
CIA_RS19415,475,565,444,1150,997,1178
CIA_RS19420,754,660,542,1390,841,1226
CIA_RS19425,1315,1294,1154,2275,1663,2309
CIA_RS19430,650,606,494,1006,715,939
CIA_RS19435,526,603,543,1517,1059,1547
CIA_RS19445,889,611,574,1544,653,1331
CIA_RS19450,1449,1607,1113,2998,1944,2788
CIA_RS19455,2246,2032,2306,7288,3471,6179
CIA_RS08055,37,72,41,158,113,157
CIA_RS19465,648,603,389,1368,809,971
uvrC,1050,968,607,1317,780,1190
CIA_RS19475,1267,942,667,1727,843,1160
CIA_RS19480,2403,1661,1020,1544,729,1278
CIA_RS19485,3156,2173,1964,3063,1501,2368
CIA_RS19490,1432,1491,1163,1231,878,1036
CIA_RS19495,1126,1040,609,1025,731,911
CIA_RS19500,4212,2865,2290,5448,1822,3740
CIA_RS19505,2014,1296,1112,2113,669,1314
CIA_RS19510,247,237,153,263,123,207
CIA_RS08060,42,38,29,96,105,109
CIA_RS19515,1014,1289,575,1369,602,990
CIA_RS19520,200,136,73,162,93,101
CIA_RS19525,280,308,185,305,172,203
CIA_RS19530,180,148,97,212,112,157
CIA_RS19535,60,102,57,150,90,88
CIA_RS19540,202,257,158,382,177,232
CIA_RS19545,78,129,50,158,62,105
CIA_RS19550,953,677,379,739,315,464
CIA_RS19555,221,178,108,244,161,246
CIA_RS19560,645,585,272,539,269,385
CIA_RS06945,1161,889,1144,2441,751,1407
CIA_RS08065,19,11,25,116,67,65
CIA_RS19570,1964,1611,1233,2326,1702,2145
CIA_RS19575,885,571,355,709,359,610
CIA_RS19580,229,235,152,376,253,392
CIA_RS19585,175,141,126,409,256,336
CIA_RS19590,258,270,150,417,221,342
CIA_RS19595,829,673,463,1415,854,1257
CIA_RS19600,385,343,323,801,538,813
CIA_RS19605,869,768,507,977,699,936
CIA_RS19610,1127,1159,947,2116,1342,1840
CIA_RS08070,57,69,53,166,121,154
CIA_RS19615,4861,3605,1847,3886,3069,3707
CIA_RS19620,1231,1020,1159,2344,1589,2198
CIA_RS19625,4064,3304,2839,6451,4475,6441
CIA_RS19630,4468,4394,3203,6785,5524,6787
CIA_RS19635,1344,1506,1104,2822,2546,3252
CIA_RS19640,5763,5920,7031,21279,19616,24806
CIA_RS19645,823,686,1392,4060,2588,4537
clpA,49941,49425,69005,157925,188980,197685
CIA_RS19655,139370,95921,126027,342106,352087,397604
CIA_RS19660,4304,4162,4584,20530,20279,25589
CIA_RS08075,24,42,28,73,51,81
CIA_RS19665,16568,13486,15343,38785,24910,37557
CIA_RS19670,2103,2137,2518,9296,8026,9364
CIA_RS19675,145,149,131,399,314,468
mnmA,394,396,350,898,563,859
CIA_RS19685,382,263,247,335,212,360
CIA_RS19690,1537,1406,1432,2831,2450,2986
CIA_RS19695,2185,1622,1148,2608,1547,2115
CIA_RS19700,1275,1050,1131,2205,2039,2468
CIA_RS19705,1197,1095,1082,1989,2332,2568
CIA_RS19710,2088,2146,1966,4337,4285,5027
CIA_RS08080,171,216,190,544,302,447
CIA_RS19715,2929,3110,3523,7719,9043,8634
CIA_RS19720,11599,9634,8564,21054,16637,21764
CIA_RS19725,1210,1067,1209,2669,2760,3122
CIA_RS19730,366,194,352,868,885,1009
CIA_RS19735,4869,5349,5141,15158,9871,14353
CIA_RS19740,970,1272,1121,3318,2394,3183
CIA_RS19745,2053,1608,1830,3968,2351,3195
CIA_RS19750,283,204,241,551,400,483
CIA_RS19755,1188,896,1030,1768,914,1387
CIA_RS19760,2855,2165,2787,4336,2384,3731
CIA_RS08085,38,45,48,153,82,109
CIA_RS19765,954,883,855,1375,961,1209
CIA_RS19770,346,410,475,725,469,616
CIA_RS19775,405,360,297,556,330,432
CIA_RS19780,268,297,272,439,203,355
CIA_RS19785,1619,1421,1203,2197,1052,1593
CIA_RS19790,747,906,647,1128,569,881
CIA_RS19795,722,593,448,833,421,716
CIA_RS19800,268,267,108,234,207,215
CIA_RS19805,655,575,391,1165,631,952
CIA_RS19810,982,740,840,3494,1582,3493
CIA_RS08090,209,276,234,634,328,510
CIA_RS19815,264,273,165,288,204,261
CIA_RS19820,723,720,566,1834,1203,1774
CIA_RS19825,121,81,60,104,80,100
CIA_RS19830,688,477,324,513,329,447
CIA_RS19835,603,384,276,520,296,398
CIA_RS19840,507,552,419,853,717,818
CIA_RS19845,1520,1442,1241,2918,1707,2325
CIA_RS19850,187,161,91,165,98,132
CIA_RS19855,269,261,254,352,207,311
CIA_RS19860,357,402,184,276,142,191
CIA_RS08095,108,116,81,206,208,212
CIA_RS19865,45,34,44,87,29,58
CIA_RS19870,347,255,240,585,214,413
CIA_RS19875,691,528,386,498,317,382
CIA_RS19880,79,56,87,275,92,176
CIA_RS19885,210,236,205,553,184,310
CIA_RS19890,426,462,253,840,178,431
CIA_RS19895,105,186,115,351,187,239
CIA_RS0106375,216,254,164,485,226,357
CIA_RS19900,156,182,124,403,235,400
CIA_RS19905,19,34,21,63,41,42
CIA_RS08100,360,193,219,434,325,357
CIA_RS19910,15,28,14,46,19,25
CIA_RS19915,42,34,27,89,41,50
CIA_RS19920,32,61,24,96,44,66
CIA_RS19925,73,59,39,189,83,104
CIA_RS19930,160,256,189,515,241,307
CIA_RS19935,648,864,461,973,513,762
CIA_RS19940,390,275,219,425,322,443
CIA_RS19945,218,182,113,171,111,153
CIA_RS19950,211,192,111,188,76,116
CIA_RS19955,148,186,136,306,211,291
CIA_RS08105,90,59,57,116,75,107
CIA_RS19960,281,194,151,336,195,264
CIA_RS19965,38,24,40,91,55,67
CIA_RS19970,520,557,455,836,528,597
CIA_RS19975,822,822,765,1556,1024,1278
CIA_RS19980,891,509,334,583,196,279
CIA_RS19985,1153,877,527,837,326,445
CIA_RS19990,326,422,210,591,279,385
CIA_RS19995,28,29,24,42,44,37
CIA_RS20000,2016,1831,1946,6687,8971,8333
CIA_RS20005,366,311,290,549,552,541
CIA_RS08110,129,116,140,416,177,298
CIA_RS20010,97,71,57,131,65,150
CIA_RS20015,175,132,154,407,336,360
CIA_RS20020,147,99,77,129,85,131
CIA_RS20025,426,324,222,397,196,358
CIA_RS0106380,112,65,58,141,82,109
CIA_RS20030,15,18,20,67,47,41
CIA_RS20035,199,124,126,355,151,239
CIA_RS20040,1819,1769,1423,2274,1382,1897
CIA_RS20045,228,351,221,444,267,363
CIA_RS20050,667,813,347,580,556,496
CIA_RS06950,779,634,651,1644,1152,1415
CIA_RS08115,93,151,116,374,209,328
CIA_RS20055,396,366,233,394,299,322
CIA_RS20060,16,27,21,44,32,36
CIA_RS20065,177,177,89,164,135,159
CIA_RS20070,938,924,668,1615,1241,1638
CIA_RS20075,583,376,382,857,716,840
CIA_RS20080,782,842,667,2065,1964,2184
CIA_RS20085,952,737,727,1762,1426,1781
CIA_RS20090,1225,994,659,1600,1447,1589
CIA_RS20095,137,167,114,207,110,173
CIA_RS20100,302,321,221,680,353,557
CIA_RS08120,1683,1614,1146,2484,1877,2699
CIA_RS20105,514,469,345,717,421,577
CIA_RS20110,389,253,164,398,214,356
CIA_RS20115,346,232,169,303,183,288
CIA_RS20120,45,49,32,85,49,76
CIA_RS20125,332,218,176,295,235,318
CIA_RS20130,829,582,442,1012,655,1214
CIA_RS20135,223,120,153,469,249,433
CIA_RS20140,232,118,88,246,90,138
CIA_RS20145,169,147,81,242,151,159
CIA_RS20150,168,222,72,152,48,87
CIA_RS08125,613,536,461,1373,1261,1452
CIA_RS20155,221,156,107,248,69,95
CIA_RS20160,134,77,122,345,264,376
CIA_RS20165,298,220,182,378,264,300
CIA_RS20170,253,230,198,330,172,278
CIA_RS20175,57,48,33,67,37,50
CIA_RS20180,605,509,425,678,375,521
CIA_RS20185,188,120,92,263,99,201
CIA_RS20190,377,314,278,660,336,541
CIA_RS20195,102,121,128,247,137,157
CIA_RS20200,104,52,60,186,63,92
CIA_RS08130,554,550,436,1194,1070,1267
CIA_RS20205,434,382,263,842,392,633
CIA_RS20210,4850,4849,5002,13278,4059,9103
CIA_RS20215,783,693,567,1587,630,1091
CIA_RS20220,1549,1734,1570,4847,1928,3294
CIA_RS20225,6944,7757,6569,15359,8945,13126
CIA_RS20230,386,462,391,1423,594,977
CIA_RS20235,2671,3142,2804,10074,4367,7077
CIA_RS0106390,128,81,89,272,146,261
CIA_RS20240,633,786,440,1520,1024,1484
CIA_RS08135,947,725,690,1975,1696,1919
CIA_RS20250,2449,2318,1882,4648,3845,4823
ihfA,14575,12418,10374,24322,16984,21662
CIA_RS20260,7184,6204,5282,12280,7389,10713
CIA_RS20265,530,490,434,1092,770,910
rplT,1673,2498,1333,2602,4613,3347
CIA_RS20275,3325,4447,4313,9581,12840,11452
CIA_RS20280,37170,34478,26111,61363,36838,57470
CIA_RS20285,3987,3422,3489,10293,4929,9167
CIA_RS20290,220,277,150,406,295,364
CIA_RS20295,770,800,613,2017,1627,2479
CIA_RS08140,124,187,180,464,315,467
CIA_RS20300,3696,3650,3198,8906,13235,12675
CIA_RS20305,4852,3952,3892,9464,6574,8932
CIA_RS20310,1860,1906,1496,2946,2201,2886
CIA_RS20315,6477,4923,4807,10278,4253,8127
CIA_RS20320,6341,8501,4123,9477,8852,9272
CIA_RS20325,2342,2296,1937,4313,3231,4502
CIA_RS20330,1401,1373,1141,1972,1500,2194
CIA_RS20335,563,456,384,760,489,848
CIA_RS20340,726,572,448,988,956,1161
CIA_RS20345,2175,1890,1956,5720,4142,6890
CIA_RS08145,858,847,569,1348,1298,1285
CIA_RS20350,1046,966,992,2734,2026,3333
CIA_RS20355,836,713,813,2106,2072,2630
CIA_RS20360,488,373,390,667,646,881
CIA_RS20365,1303,1327,1012,2695,2479,3533
CIA_RS20370,1211,944,937,2978,1409,2725
CIA_RS20375,2031,1904,2009,5837,3170,5949
CIA_RS20380,1970,2463,1766,5453,5156,5375
CIA_RS20385,699,974,552,1494,1591,1600
CIA_RS20390,1199,1964,1053,2404,1543,1948
CIA_RS20395,7235,12597,5526,6043,2703,3351
CIA_RS08150,11812,5853,3517,6540,3530,5504
CIA_RS20400,29479,36672,18650,18261,4268,6466
CIA_RS20405,1776,1384,1696,3252,1668,2532
CIA_RS20410,264,342,242,843,660,829
CIA_RS20415,245,509,262,685,622,698
CIA_RS20420,90,99,110,254,159,324
CIA_RS20425,1157,2008,970,2214,2089,2278
CIA_RS20430,1907,1548,1136,2436,1024,2056
CIA_RS20435,419,353,265,633,336,515
CIA_RS20440,431,350,261,522,310,396
CIA_RS20445,494,338,255,540,320,468
CIA_RS08155,2132,1372,1059,3701,1933,3536
CIA_RS20450,716,712,487,990,703,932
CIA_RS20455,434,519,444,981,556,803
CIA_RS20460,1875,2058,2475,7080,6010,6564
CIA_RS20465,1756,2225,2519,7282,5469,6763
CIA_RS20470,1733,2026,2646,9970,7442,9112
CIA_RS20475,2067,2312,2706,8766,5932,7768
CIA_RS20480,500,579,677,2649,1656,2513
CIA_RS20485,581,581,731,2426,1559,2233
CIA_RS20490,1122,991,1415,6034,2703,5164
CIA_RS20495,1433,1485,1812,7524,5110,6996
CIA_RS08160,429,452,260,549,903,829
CIA_RS20500,1489,1176,1709,6932,4367,6058
CIA_RS20510,2754,2234,2408,8291,5478,7996
CIA_RS20515,1729,1959,2048,6250,5064,6221
CIA_RS20520,1579,1607,1220,2548,2794,2951
CIA_RS20525,1020,1014,1147,2722,3667,3469
CIA_RS20530,138,140,147,643,450,723
CIA_RS20535,81,70,45,146,220,186
CIA_RS20540,126,155,65,136,110,174
CIA_RS20545,440,536,272,708,507,617
CIA_RS08165,1285,1162,802,2189,1106,1658
CIA_RS20550,457,582,358,631,340,514
CIA_RS20555,110,99,76,123,67,112
CIA_RS20560,200,378,113,250,175,213
CIA_RS20565,2545,2339,1373,1851,1328,1457
CIA_RS20570,9470,6409,6114,10511,8051,11012
CIA_RS20575,406,400,195,502,335,429
CIA_RS20580,3103,5072,5268,21152,23488,22639
CIA_RS20585,1306,1374,1968,7885,5481,7571
CIA_RS20590,4585,5766,6165,25204,14369,21353
CIA_RS20595,11447,11400,10414,44964,22426,34673
CIA_RS08170,244,375,221,474,263,381
CIA_RS20600,11500,15484,17432,74358,32795,57557
CIA_RS20605,1747,1666,1652,4663,2756,3946
CIA_RS20610,4158,3237,2914,7917,5091,7097
CIA_RS20615,5775,5181,4975,10263,9840,10468
CIA_RS20620,11632,8497,8584,20646,14794,22468
CIA_RS20625,556,517,544,1274,2252,2189
CIA_RS20630,1819,1638,1594,4816,4551,5547
CIA_RS20635,712,427,586,2418,1690,2377
CIA_RS20640,218,191,183,591,430,627
CIA_RS20645,168,138,99,472,332,510
CIA_RS08175,205,160,90,241,128,180
CIA_RS20650,137,119,86,532,376,590
CIA_RS20655,452,428,504,1193,883,1135
CIA_RS20660,139,116,103,397,271,513
CIA_RS20665,90,65,74,296,199,361
CIA_RS20670,30,32,50,176,144,173
CIA_RS20675,160,109,87,194,156,247
CIA_RS20680,184,138,127,260,216,243
CIA_RS20685,343,384,262,551,362,574
CIA_RS20690,592,609,425,1149,575,751
CIA_RS20695,591,411,315,737,309,473
CIA_RS08180,691,415,331,651,299,490
