Gene,PA14_control1,PA14_control2,PA14_control3,PA14_FBI1,PA14_FBI2,PA14_FBI3
CIA_RS12330,154,147,109,298,233,291
CIA_RS12335,228,244,240,1041,964,1097
CIA_RS12340,106,117,101,346,314,458
CIA_RS12345,183,141,127,387,321,506
CIA_RS12350,248,245,215,649,591,684
CIA_RS12355,212,186,199,533,308,439
CIA_RS07370,370,232,240,404,176,238
CIA_RS12360,405,368,274,656,388,585
CIA_RS12365,259,200,202,541,203,357
CIA_RS12370,130,80,42,75,53,87
CIA_RS12375,104,110,37,116,63,111
CIA_RS12380,150,93,59,279,167,229
CIA_RS0106140,35,47,25,153,96,130
CIA_RS12385,349,256,246,441,196,286
CIA_RS0106145,103,116,91,131,52,80
CIA_RS12390,194,144,110,257,115,177
CIA_RS12395,51,38,45,105,54,89
CIA_RS07375,518,500,354,633,275,438
CIA_RS12400,70,35,34,70,28,48
CIA_RS12405,274,89,154,283,146,234
CIA_RS12410,267,186,145,329,157,288
CIA_RS12415,396,404,252,604,148,259
CIA_RS12420,418,325,197,340,119,217
CIA_RS12425,361,342,114,179,105,114
CIA_RS12430,57,57,28,52,30,23
CIA_RS12435,221,241,100,182,83,110
CIA_RS12440,88,90,81,161,72,146
CIA_RS12445,77,54,47,56,32,58
CIA_RS07380,8344,6605,7312,11410,8826,10879
CIA_RS12450,149,135,75,153,106,96
CIA_RS12455,25,33,23,33,28,22
CIA_RS12460,66,56,22,68,31,57
CIA_RS12465,39,36,31,54,23,27
CIA_RS12470,83,87,46,130,66,74
CIA_RS12475,94,36,36,55,47,37
CIA_RS12480,1621,1185,821,1156,893,1039
CIA_RS12485,561,396,289,463,423,420
CIA_RS12490,166,150,113,251,118,176
CIA_RS12495,49,45,33,122,52,72
CIA_RS07385,469,410,341,651,344,502
CIA_RS12500,432,329,207,410,285,371
CIA_RS12505,734,657,498,1294,758,1195
CIA_RS12510,112,88,49,157,58,121
CIA_RS12515,4250,3357,2528,3792,2541,2797
CIA_RS12520,1635,1380,1114,1581,863,1132
CIA_RS12525,1517,1188,1466,2242,1338,1875
CIA_RS12530,1509,1406,1466,2191,1390,1567
CIA_RS12535,19658,18269,31307,50047,23539,36638
CIA_RS12540,1686,1285,1019,1235,709,774
CIA_RS12545,2806,1934,1247,1329,704,872
CIA_RS07390,322,232,179,470,221,341
CIA_RS12550,877,753,460,766,483,642
CIA_RS12555,202,218,104,175,125,134
CIA_RS12560,56,87,60,138,84,98
CIA_RS12565,349,271,155,260,109,216
glnQ,145,137,102,254,105,187
CIA_RS12575,105,152,87,184,148,165
CIA_RS12580,82,105,82,167,125,137
CIA_RS12585,359,283,141,291,171,203
CIA_RS12590,219,181,197,284,138,218
CIA_RS12595,334,279,144,268,119,194
CIA_RS07395,391,274,213,467,204,246
CIA_RS12600,355,254,163,201,160,144
CIA_RS12605,239,287,174,297,188,224
CIA_RS12610,452,378,267,428,258,282
CIA_RS12615,70,72,35,70,51,58
CIA_RS12620,67,61,30,33,34,33
CIA_RS12625,9,5,4,1,7,5
CIA_RS12630,56,30,21,46,44,33
CIA_RS12635,36,49,28,64,64,52
CIA_RS12640,108,106,86,254,163,217
CIA_RS12645,643,321,241,402,393,394
CIA_RS07400,303,138,39,100,38,81
CIA_RS12650,466,353,307,746,380,558
CIA_RS12655,305,217,202,306,154,223
CIA_RS12660,223,148,110,133,70,91
CIA_RS12665,60,47,21,54,40,44
CIA_RS12670,70,55,26,82,35,38
CIA_RS12675,64,67,44,49,29,39
CIA_RS12680,106,124,93,141,79,80
CIA_RS12685,34,37,18,35,24,36
CIA_RS12690,111,65,37,67,48,31
CIA_RS12695,53,70,57,72,45,35
CIA_RS06875,131,101,95,251,86,131
CIA_RS07405,180,181,79,135,99,111
CIA_RS12700,189,178,119,155,125,69
CIA_RS12705,294,307,167,243,143,145
CIA_RS12710,2344,1526,1130,1363,585,949
CIA_RS12715,1573,1479,957,1207,898,1007
CIA_RS12720,55,86,51,108,76,83
CIA_RS12725,172,163,285,1510,1049,1310
CIA_RS12730,1018,1026,1025,2418,1561,2097
CIA_RS12735,5427,4324,4540,12251,8512,10423
CIA_RS12740,543,449,904,3171,2724,3109
CIA_RS12745,291,286,185,557,286,477
CIA_RS07410,275,283,246,611,451,553
CIA_RS12750,129,91,74,181,95,161
CIA_RS12755,396,370,288,710,282,534
CIA_RS12760,308,230,233,636,427,491
CIA_RS12765,564,605,400,1211,1245,1408
CIA_RS12770,132,132,157,420,235,341
CIA_RS12775,1761,1343,1001,1779,1327,1527
CIA_RS12780,1161,1017,918,1904,1995,2266
CIA_RS12785,382,276,355,1207,1845,1548
CIA_RS12790,281,207,231,525,643,630
CIA_RS12795,729,637,253,539,481,503
CIA_RS07415,702,795,791,1656,1351,1606
CIA_RS12800,943,749,329,421,311,408
CIA_RS12805,2899,2936,1791,3509,2453,2963
CIA_RS12810,232,154,83,155,129,135
CIA_RS12815,525,443,250,522,346,469
CIA_RS12820,211,122,89,229,149,188
CIA_RS12825,540,358,488,1004,343,652
CIA_RS12830,1055,915,856,1597,632,1112
CIA_RS12835,414,377,194,436,159,310
CIA_RS12840,400,362,190,369,184,254
CIA_RS12845,411,368,247,493,269,346
CIA_RS07420,393,482,471,915,1038,1036
CIA_RS12850,306,229,237,408,196,290
CIA_RS12855,137,134,67,115,67,122
CIA_RS12860,139,129,79,218,125,148
CIA_RS12865,181,95,79,174,94,128
CIA_RS12870,265,305,161,418,220,309
CIA_RS12875,819,743,635,1279,960,1110
CIA_RS12880,162,220,175,462,226,316
CIA_RS12885,784,847,730,1809,1022,1461
CIA_RS12890,222,157,173,385,193,282
CIA_RS12895,202,212,159,340,149,216
CIA_RS12900,218,201,137,274,129,163
CIA_RS12905,254,263,160,539,261,371
CIA_RS12910,2582,1941,2232,7702,5738,10272
CIA_RS12915,911,811,1013,2611,4650,3602
CIA_RS12920,45,35,31,71,45,56
CIA_RS12925,94,87,48,128,76,116
CIA_RS12930,1517,936,856,2357,1808,2476
CIA_RS12935,434,418,304,673,404,602
CIA_RS12940,41,34,23,66,40,85
CIA_RS12945,146,167,86,282,212,284
CIA_RS07430,515,462,327,766,354,582
CIA_RS12950,369,331,193,460,376,506
CIA_RS12955,647,396,326,467,268,448
CIA_RS12960,125,159,134,225,157,220
CIA_RS12965,328,267,231,526,387,599
CIA_RS12970,161,137,131,299,227,287
CIA_RS12975,442,365,355,965,607,944
CIA_RS12980,3174,2730,2519,5338,3267,4755
CIA_RS12985,1135,997,936,2965,2225,2697
CIA_RS12990,994,821,908,2763,2518,3000
CIA_RS12995,397,454,481,1806,2051,2141
CIA_RS07435,302,199,166,297,351,306
CIA_RS13000,665,554,605,1891,1251,2159
CIA_RS13005,12341,9593,9171,30777,35803,36531
CIA_RS13010,1221,1086,611,1353,560,764
CIA_RS13015,1013,601,546,858,471,658
CIA_RS13020,2036,1386,2134,15786,17073,25414
CIA_RS13025,238,295,277,2011,2141,2895
CIA_RS13030,338,330,410,3317,2578,4194
CIA_RS13035,95,71,38,96,106,141
CIA_RS13040,238,201,228,873,774,1058
CIA_RS13045,282,260,244,515,459,691
CIA_RS07440,641,536,361,598,402,473
CIA_RS13050,463,364,195,448,340,512
CIA_RS13055,95,141,91,336,319,429
CIA_RS13060,494,541,450,927,583,901
CIA_RS13065,436,394,352,669,472,692
CIA_RS13070,176,116,131,708,664,755
CIA_RS13075,647,349,338,809,767,957
CIA_RS13080,254,266,209,461,393,458
CIA_RS13085,745,472,513,1574,897,1737
CIA_RS13090,426,317,269,858,641,843
CIA_RS13095,541,359,271,471,338,426
CIA_RS07445,1855,1267,1377,2499,1121,1678
CIA_RS13100,266,197,139,349,218,270
CIA_RS13105,235,314,136,250,225,258
CIA_RS13110,92,83,88,201,94,153
CIA_RS13115,48,53,30,61,38,55
CIA_RS13120,338,309,203,489,267,389
CIA_RS13125,143,177,125,299,120,201
CIA_RS13130,573,769,416,995,485,644
CIA_RS13135,658,814,551,1069,583,839
CIA_RS13140,166,211,124,256,151,194
CIA_RS13145,1077,897,777,1384,940,1341
CIA_RS07450,756,590,361,419,371,420
CIA_RS13150,997,1141,683,1567,888,1405
CIA_RS13155,103,108,81,208,76,125
CIA_RS13160,167,187,142,494,225,353
CIA_RS13165,83,97,62,410,321,465
CIA_RS13170,1346,1680,1518,5803,3739,5210
CIA_RS13175,2306,2662,2239,7748,4084,6229
CIA_RS0106160,441,536,592,2123,1188,1820
CIA_RS0106165,892,687,849,2856,1392,2271
CIA_RS13180,1409,1530,1755,5238,2810,4746
CIA_RS0106170,4080,3454,3888,9743,7262,9596
CIA_RS06880,147,176,87,279,165,220
CIA_RS07455,4289,4072,2550,4266,2918,3778
CIA_RS13185,1593,1368,1109,2513,1941,2431
CIA_RS13190,448,398,377,897,854,1001
CIA_RS13195,3987,2919,2658,3956,3679,4081
CIA_RS13200,4447,3951,7147,21369,13449,20154
CIA_RS13205,1318,1057,939,3225,2155,2800
CIA_RS13210,282,253,186,532,355,501
CIA_RS13215,180,131,103,377,224,362
CIA_RS13220,251,174,162,474,327,397
CIA_RS13225,200,231,174,468,336,499
CIA_RS13230,28,19,12,78,90,85
CIA_RS07460,1408,1584,1171,2263,1934,2981
CIA_RS13235,70,74,50,264,174,226
CIA_RS13240,139,85,96,378,328,437
CIA_RS13245,112,65,80,199,137,203
CIA_RS13250,59,52,34,136,74,95
CIA_RS13255,130,77,53,356,397,433
CIA_RS13260,402,395,261,654,468,606
CIA_RS13265,124,101,76,175,200,187
CIA_RS13270,279,260,236,570,431,535
CIA_RS13275,217,227,152,314,316,400
CIA_RS13280,5593,4250,3600,9003,5884,9008
CIA_RS07465,277,232,253,604,300,550
CIA_RS13285,357,318,199,425,340,485
