X,PA2504_p1_htseq,PA2504_p2_htseq,PA2504_p3_htseq,PAO1161_p1_htseq,PAO1161_p2_htseq,PAO1161_p3_htseq
PA1322,255,219,213,201,210,283
PA1323,517,486,531,472,400,556
PA1324,1056,910,936,1008,877,1086
PA1324.1,21,18,17,7,25,22
PA1325,58,54,45,47,57,45
PA1327,2245,1991,2164,1629,1885,2148
PA1328,955,817,955,685,791,977
PA1329,77,88,103,60,79,82
PA1330,613,592,660,511,528,669
PA1331,1457,1447,1557,1471,1476,1624
PA1332,297,257,310,225,257,276
PA1333,523,586,542,504,690,561
PA1334,59,53,67,57,56,75
PA1335,430,447,423,394,402,391
PA1336,980,858,880,804,922,881
PA1339,3001,2795,2565,3017,2556,2776
PA1340,1581,1401,1250,1597,1433,1381
PA1341,1791,1532,1450,1591,1499,1596
PA1342,24309,23883,22240,21990,21805,22727
PA1343,475,420,406,351,417,463
PA1344,1231,1171,1337,1211,1192,1313
PA1345,843,663,777,640,628,769
PA1346,58,62,60,34,47,54
PA1347,72,66,69,57,42,72
PA1348,774,666,792,566,725,798
PA1349,283,246,309,195,222,283
PA1350,705,579,616,504,626,685
PA1351,245,182,225,179,181,217
PA1352,42,50,52,35,38,54
PA1353,903,896,890,982,781,897
PA1354,680,710,769,665,707,622
PA1355,76,72,75,60,65,96
PA1356,321,248,319,242,258,273
PA1357,194,246,240,158,260,214
PA1358,481,373,423,412,402,471
PA1359,247,231,239,215,227,242
PA1360,202,154,203,125,145,170
PA1361,836,891,924,633,873,852
PA1362,325,286,271,298,256,298
PA1363,511,579,611,523,648,631
PA1364,243,220,238,256,266,251
PA1365,1574,1384,1255,1436,1306,1531
PA1366,2455,2574,2707,2084,2317,2940
PA1367,289,360,351,253,347,340
PA1368,567,476,575,476,542,589
PA1369,576,643,606,540,612,616
PA1370,1162,1141,1107,954,965,1127
PA1371,3830,3597,3431,4125,3232,4023
PA1372,18956,18174,16564,17604,15826,18824
PA1374,308,358,290,231,297,307
PA1377,2145,2164,2246,1718,1944,2215
PA1378,698,623,665,520,597,728
PA1379,189,182,218,212,200,214
PA1380,2213,1973,2333,1466,2097,2325
PA1381,219,189,211,143,149,193
PA1382,4745,4933,5275,3185,4625,6012
PA1383,1466,1140,1192,1148,1190,1431
PA1385,216,192,239,184,186,271
PA1386,181,178,168,165,167,204
PA1387,456,386,405,396,393,473
PA1388,261,278,332,206,287,342
PA1389,459,470,494,338,401,576
PA1390,371,371,429,272,351,435
PA1391,205,273,284,202,221,289
PA1392,432,445,512,349,473,553
PA1394,57,76,75,51,65,92
PA1395,61,72,78,43,90,85
PA1396,325,290,328,264,303,312
PA1397,723,720,703,578,595,741
PA1398,464,436,486,474,481,475
PA1399,131,114,116,97,126,136
PA1400,379,392,442,314,374,452
PA1401,554,538,600,582,542,601
PA1402,422,374,376,359,328,402
PA1403,388,480,504,324,452,456
PA1404,223,228,282,225,216,244
PA1405,754,713,824,581,676,850
PA1406,380,380,381,323,368,400
PA1407,254,220,235,199,210,253
PA1408,1774,1440,1719,1333,1438,1691
PA1410,264,204,196,209,211,239
PA1411,357,358,400,283,354,360
PA1412,51,37,43,19,39,42
PA1413,341,439,451,218,352,431
PA1414,944,995,1234,556,1096,1505
PA1415,304,326,333,251,301,330
PA1416,113,96,87,109,97,98
PA1417,241,196,198,214,197,180
PA1418,325,316,292,244,305,283
PA1419,186,149,159,129,143,138
PA1420,25,24,21,25,18,22
PA1424,341,296,347,163,286,341
PA1424a,349,349,425,276,336,391
PA1425,481,490,485,352,453,535
PA1428,136,122,130,127,134,116
PA1428a,673,675,653,608,600,683
PA1429,598,593,619,532,658,726
PA1433,1033,927,951,725,803,937
PA1434,330,341,342,315,291,328
PA1435,162,146,183,115,126,184
PA1436,312,244,299,215,251,335
PA1437,1205,1019,1137,1015,1018,1177
PA1438,1025,1071,1238,899,1025,1156
PA1439,366,273,329,253,265,378
PA1440,4475,4973,4967,3708,4806,5188
PA1441,1548,1382,1552,1201,1354,1640
PA1442,324,344,351,283,380,369
PA1450,104,131,143,87,167,160
PA1451,74,84,91,49,80,84
PA1458,5604,5747,5618,5228,5570,6307
PA1459,2763,2609,2613,2612,2589,2854
PA1462,2478,2313,2436,2075,2357,2449
PA1463,2351,2268,2368,2119,2204,2739
PA1464,6446,6236,6208,6404,6385,7159
PA1465,916,863,1027,645,913,1100
PA1466,144,134,140,117,170,139
PA1467,869,885,981,630,805,1006
PA1468,292,284,348,240,301,341
PA1469,555,606,737,563,564,625
PA1470,835,713,777,561,648,835
PA1471,3325,2639,3059,2493,2440,2719
PA1472,237,246,219,152,213,276
PA1473,252,194,221,195,205,256
PA1474,3676,2979,3361,2680,2853,3552
PA1478,32,29,32,58,46,46
PA1483a,385,438,432,306,407,483
PA1484,584,594,599,464,555,679
PA1485,359,254,232,236,230,301
PA1486,461,437,460,384,392,500
PA1487,428,300,347,299,291,373
PA1488,227,212,232,147,185,225
PA1489,456,325,375,309,326,449
PA1490,577,492,478,420,434,501
PA1491,188,151,175,133,141,165
PA1492,399,301,308,306,286,340
PA1494,784,846,835,841,914,894
PA1495,77,63,67,84,77,99
PA1496,281,251,284,212,268,229
PA1497,33,29,30,21,27,28
PA1499,36,41,34,46,58,43
PA1500,284,304,293,296,267,302
PA1501,186,142,149,175,153,195
PA1503,201,172,218,129,173,216
PA1504,1123,1191,1037,1278,1255,1127
PA1506,378,297,328,219,296,431
PA1507,994,655,748,620,626,712
PA1508,475,303,356,310,314,424
PA1509,1020,1091,1066,943,995,1174
PA1510,775,876,858,690,822,948
PA1511,272,259,258,178,241,281
PA1513,2864,2513,2393,2578,2014,2590
PA1514,998,856,972,1033,737,994
PA1516,1221,1027,1027,1117,913,1131
PA1517,2786,2677,2735,2341,2644,2914
PA1518,1674,1355,1384,1152,1190,1513
PA1519,380,312,300,284,254,337
PA1520,4641,4057,4140,4252,3851,4221
PA1521,1328,1127,1150,1196,1149,1240
PA1522,776,694,745,720,624,772
PA1526,1473,1607,1574,1422,1501,1671
PA1527,2705,3135,3306,2353,2817,3226
PA1530,195,217,208,219,202,266
PA1531,549,492,470,420,419,529
PA1533,5333,5323,5153,5046,4935,5667
PA1535,699,709,727,506,699,662
PA1536,455,371,373,280,374,412
PA1537,460,470,458,415,379,419
PA1538,2661,2157,2297,1715,1965,2520
PA1539,2489,2557,2901,1904,2454,3024
PA1540,1366,784,1011,567,719,1106
PA1541,3749,2413,2899,2095,2240,3463
PA1542,2872,2937,2144,2188,2132,2097
PA1545,2276,2320,2395,1426,2216,3049
PA1547,189,132,158,147,143,169
PA1548,44,39,39,48,46,59
PA1549,577,557,572,424,490,569
PA1550,1488,1104,1136,1035,1011,1301
PA1551,7197,4971,5745,4152,4808,6662
PA1558,514,553,575,396,531,569
PA1563,1328,1197,1220,1048,1209,1320
PA1564,346,347,375,233,330,381
PA1565,113,106,142,96,123,152
PA1566,142,103,97,114,86,105
PA1567,199,235,249,154,208,243
PA1568,38,35,40,46,34,26
PA1569,711,577,611,446,515,608
PA1570,1328,1632,1654,1151,1445,1462
PA1571,1600,1826,1554,1230,1764,1700
PA1572,4412,5126,5322,4042,4703,5315
PA1573,1288,1139,1304,1192,1135,1322
PA1574,845,956,985,821,930,876
PA1575,598,501,625,397,578,633
PA1576,1623,1860,2015,1434,1743,1911
PA1577,513,431,512,398,458,545
PA1578,502,623,693,397,610,616
PA1578a,93,83,89,79,96,130
