X,PA2504_p1_htseq,PA2504_p2_htseq,PA2504_p3_htseq,PAO1161_p1_htseq,PAO1161_p2_htseq,PAO1161_p3_htseq
PA2004,539,391,383,342,347,365
PA2005,898,1006,955,767,997,939
PA2006,359,293,313,294,336,310
PA2010,245,225,280,230,253,266
PA2017,939,918,1025,729,851,1060
PA2018,1041,769,925,765,810,943
PA2019,476,382,420,351,377,465
PA2020,3859,3562,4437,2277,3178,4352
PA2021,330,313,362,291,363,341
PA2022,279,224,286,126,204,331
PA2024,1920,1692,1896,1533,1767,1909
PA2026,486,449,494,468,448,474
PA2027,339,257,281,244,230,338
PA2028,317,248,253,202,215,285
PA2029,301,312,281,332,333,315
PA2030,1255,1397,1436,1436,1397,1317
PA2031,475,662,660,440,584,659
PA2032,2244,2292,2424,2129,2298,2145
PA2033,9556,7932,8570,9279,9397,10298
PA2034,1143,1168,1257,1098,1253,1348
PA2035,1236,1070,1197,919,1026,1214
PA2036,61,74,72,45,71,105
PA2037,1054,1130,1106,950,1037,1110
PA2038,36,27,32,33,52,28
PA2039,174,149,145,133,160,164
PA2040,7228,5360,5612,6748,5035,6050
PA2041,2012,1816,1757,2051,1803,1777
PA2042,921,792,759,665,830,687
PA2043,270,320,333,238,278,302
PA2044,2585,2780,2642,2457,2756,2667
PA2045,652,624,629,547,566,647
PA2047,630,526,565,463,467,540
PA2048,210,203,229,168,190,249
PA2049,787,735,716,822,816,755
PA2050,39,33,30,29,54,87
PA2051,49,37,50,37,57,60
PA2055,55,67,74,44,50,76
PA2056,859,910,859,731,788,795
PA2057,316,262,268,248,290,319
PA2058,99,105,117,82,103,92
PA2059,76,56,60,48,39,51
PA2060,46,50,49,44,36,45
PA2061,280,277,315,231,283,312
PA2062,463,439,506,672,716,1337
PA2063,488,469,523,374,466,493
PA2066,206,128,146,159,161,171
PA2067,234,182,204,203,202,194
PA2068,408,266,329,294,324,277
PA2069,3219,1853,2497,2651,2364,2237
PA2070,324,250,286,276,267,313
PA2072,1987,1617,1836,1526,1568,1955
PA2073,252,226,228,196,216,225
PA2074,30,51,43,36,52,52
PA2075,216,184,186,159,156,186
PA2076,768,647,742,495,602,747
PA2077,36,29,31,26,21,22
PA2078,68,64,53,52,66,82
PA2079,396,351,400,358,357,441
PA2082,298,306,332,225,297,318
PA2083,507,417,464,535,526,840
PA2084,276,274,280,232,312,343
PA2085,25,33,13,26,28,35
PA2086,35,25,35,49,55,95
PA2087,9,7,10,15,8,26
PA2088,49,48,39,41,46,57
PA2089,1214,877,1022,823,813,1204
PA2090,44,34,35,51,45,85
PA2091,21,22,33,22,18,46
PA2092,61,59,61,39,47,78
PA2093,182,162,203,142,171,201
PA2094,52,59,71,46,59,71
PA2095,245,271,282,185,299,379
PA2096,304,276,294,219,297,283
PA2097,687,681,659,612,674,685
PA2098,112,112,104,85,90,101
PA2099,37,51,54,40,52,47
PA2100,3563,3417,3524,2810,3000,4024
PA2101,422,392,413,288,347,473
PA2102,311,280,254,300,245,339
PA2103,1204,1087,1162,1056,1049,1254
PA2104,566,684,623,543,662,657
PA2105,590,670,596,567,608,630
PA2106,750,994,957,618,949,952
PA2107,27,22,13,21,24,30
PA2108,380,369,414,273,336,356
PA2109,37,21,17,23,29,25
PA2110,89,81,132,66,113,60
PA2111,179,136,179,151,142,144
PA2112,147,149,187,150,207,145
PA2114,468,359,441,422,417,429
PA2115,177,167,168,120,151,158
PA2116,527,367,505,443,400,462
PA2117,683,696,702,650,676,667
PA2118a,423,474,468,357,427,474
PA2119,301,251,268,211,257,424
PA2120,456,444,444,365,403,462
PA2121,1624,1414,1505,1282,1368,1640
PA2122,1326,1162,1265,1010,1127,1258
PA2123,814,781,939,692,820,888
PA2124,187,184,185,147,191,208
PA2125,76,86,99,67,79,81
PA2126,116,114,112,115,97,103
PA2127,216,200,214,190,163,202
PA2133,20,17,17,15,21,15
PA2134,126,87,110,98,105,122
PA2135,128,96,132,57,83,121
PA2136,31,22,34,20,21,31
PA2137,48,48,52,25,54,50
PA2138,237,195,235,181,223,260
PA2140,24,16,16,8,14,11
PA2141,19,8,10,11,13,17
PA2142,75,81,73,73,74,78
PA2142a,209,138,172,120,145,179
PA2143,42,39,33,39,42,37
PA2145,282,329,296,195,278,295
PA2146,112,107,112,91,117,123
PA2148,52,41,47,50,40,56
PA2149,25,19,19,25,26,17
PA2150,153,153,138,98,110,138
PA2151,177,119,150,108,148,137
PA2152,661,583,678,507,554,685
PA2154,27,17,25,17,13,16
PA2155,65,52,53,52,58,64
PA2156,26,26,28,25,23,28
PA2157,46,38,61,38,49,54
PA2158,127,134,157,141,121,152
PA2159,88,88,110,100,100,113
PA2160,199,195,190,192,171,179
PA2161,11,7,6,6,2,13
PA2162,102,74,111,76,59,100
PA2163,42,28,53,37,35,46
PA2164,105,84,86,74,86,92
PA2165,218,205,225,170,212,285
PA2166,206,209,224,207,200,245
PA2167,248,261,276,194,223,285
PA2168,130,91,98,105,82,105
PA2169,70,111,105,72,112,100
PA2170,11,12,7,15,9,22
PA2171,57,74,67,39,61,63
PA2172,90,80,82,108,94,86
PA2173,58,42,74,47,44,65
PA2173a,5,11,11,2,9,9
PA2174,333,302,349,379,339,371
PA2175,71,77,75,58,70,82
PA2176,553,552,583,455,565,593
PA2177,1586,1349,1355,1262,1315,1449
PA2178,80,70,65,51,55,68
PA2179,36,29,34,30,31,27
PA2180,80,55,77,64,63,95
PA2181,50,44,53,35,60,59
PA2182,432,378,416,361,367,411
PA2183,66,58,80,73,51,46
PA2184,171,171,176,123,165,179
PA2187,86,89,87,56,85,107
PA2188,141,126,126,105,113,148
PA2189,91,101,84,79,67,91
PA2190,452,471,530,384,535,547
PA2192,88,73,80,95,87,108
PA2196,639,523,585,581,588,680
PA2197,802,700,767,673,708,849
PA2198,190,129,128,135,125,159
PA2199,466,532,541,464,555,568
PA2200,521,490,508,474,454,524
PA2201,383,388,407,296,357,364
PA2202,14,18,15,32,35,92
PA2203,11,13,16,46,48,100
PA2204,380,359,466,2062,1959,5550
PA2205,76,63,58,46,76,75
PA2206,347,370,376,404,355,416
PA2207,83,63,80,60,70,94
PA2208,21,12,23,17,19,15
PA2209,332,272,303,229,278,337
PA2210,624,525,575,433,502,582
PA2211,168,216,158,140,159,169
PA2212,365,304,354,264,297,357
PA2213,85,83,95,79,89,90
PA2214,114,117,126,99,80,98
PA2215,303,329,296,278,293,339
PA2216,212,182,153,140,156,191
PA2217,141,118,128,139,156,127
PA2218,427,383,379,260,356,457
PA2220,1586,1497,1529,1294,1368,1575
PA2221,9102,6319,7704,4845,5584,9335
PA2222,613,541,483,690,502,583
PA2223,1088,1017,901,1145,1065,1076
PA2224,292,335,346,337,356,359
PA2225,113,139,114,116,133,128
PA2226,541,589,533,543,518,601
PA2228,298,355,295,275,365,347
PA2229,7307,4963,5795,3664,4457,6958
PA2230,1319,1058,1042,827,877,1296
PA2251,989,896,856,677,779,935
PA2252,340,333,338,271,270,341
PA2260,135,59,95,58,78,138
PA2261,92,68,69,64,64,87
PA2262,139,95,105,108,111,125
PA2263,140,121,101,109,98,121
PA2264,727,630,678,547,630,757
PA2265,628,552,538,495,558,581
PA2266,258,197,238,237,197,219
PA2267,1017,1135,1261,823,1048,1128
PA2268,296,247,311,236,245,310
PA2269,158,194,216,140,180,190
PA2270,402,406,460,319,374,447
PA2271,149,146,153,135,144,140
PA2274,8044,9735,9949,5816,8751,9457
PA2275,207,178,188,190,174,205
PA2276,529,517,540,488,574,503
PA2280,454,467,436,439,486,509
PA2281,780,850,768,664,835,816
PA2282,425,435,508,356,440,568
PA2283,466,303,376,240,276,413
PA2284,10,3,12,12,6,8
PA2285,54,52,29,50,40,49
PA2286,22,22,44,25,24,36
PA2287,42,27,45,30,59,37
PA2288,3601,3663,4179,2694,3243,4353
PA2289,552,533,600,467,567,555
PA2291,326,326,313,238,304,313
PA2292,5,5,7,7,11,15
PA2293,25,34,36,40,31,44
PA2294,51,60,60,60,62,75
PA2295,22,15,27,26,28,31
PA2296,152,143,132,135,144,179
PA2297,39,37,32,60,46,66
PA2298,558,502,505,469,534,774
PA2299,368,373,341,304,358,452
PA2301,503,445,495,385,424,550
PA2307,22,29,30,22,30,91
PA2308,31,36,28,34,34,189
PA2309,38,28,26,54,47,253
PA2310,57,52,70,79,95,381
PA2311,104,82,93,137,145,411
PA2312,79,68,85,91,85,257
PA2312a,297,308,335,241,301,308
PA2314,66,60,70,37,53,62
PA2315,175,158,169,150,138,239
PA2316,865,706,837,646,741,860
PA2317,436,345,346,337,350,378
PA2318,339,231,261,254,257,318
PA2319,1,1,0,0,1,0
PA2321,549,364,430,409,366,432
PA2322,567,367,375,380,347,390
PA2323,916,757,848,720,722,963
PA2324,52,36,32,33,29,47
PA2325,22,10,20,12,22,14
PA2326,279,219,263,229,221,303
PA2327,306,283,318,302,357,627
PA2328,424,314,366,481,468,987
PA2329,405,301,312,464,408,734
PA2330,756,688,912,918,958,1939
PA2331,1999,1409,1666,2124,2244,4575
PA2332,724,773,804,675,715,891
PA2333,89,104,141,84,100,137
PA2334,163,114,147,146,166,329
PA2335,148,110,132,103,112,147
PA2336,71,66,46,55,65,74
PA2338,1011,731,815,633,798,985
PA2339,243,143,192,158,151,189
PA2340,375,280,333,305,297,363
PA2341,627,403,457,496,421,545
PA2345,794,735,825,660,770,783
PA2346,47,39,36,36,34,45
PA2347,23,31,28,17,20,36
PA2348,33,32,36,37,26,28
PA2349,27,32,24,29,27,35
PA2350,59,53,55,45,43,75
PA2351,47,42,27,25,30,47
PA2352,161,160,128,155,153,155
PA2353,377,357,360,383,397,349
PA2354,165,139,134,101,145,143
PA2355,80,83,81,103,82,92
PA2358,58,63,40,36,60,79
PA2359,1112,915,1009,823,1034,1755
PA2360,68,84,70,66,64,69
PA2361,568,437,548,362,415,498
PA2362,71,66,73,52,55,81
PA2363,540,561,614,418,583,518
PA2364,333,341,491,297,388,467
PA2365,228,204,238,211,242,244
PA2366,285,222,240,222,235,296
PA2367,66,44,44,66,59,54
PA2368,20,10,23,14,20,28
PA2369,64,40,50,58,36,80
PA2370,16,16,15,19,13,12
PA2371,320,254,302,254,250,272
PA2373,1304,1140,1157,1098,1079,1202
PA2374,93,109,141,93,128,147
PA2375,535,475,451,349,469,500
PA2376,524,467,550,425,509,486
PA2377,188,183,203,157,168,216
PA2378,1963,1991,2033,1765,1872,2010
PA2379,1004,923,1001,829,882,972
PA2380,943,897,932,871,968,985
PA2381,23624,23284,22945,20183,21679,23634
PA2383,408,402,446,262,383,434
PA2384,771,726,827,481,882,971
PA2393,4588,3693,3331,3799,4825,4518
PA2402,27799,26849,26474,22607,32873,29931
PA2403,6146,4796,4521,4831,5762,5099
PA2404,1397,1210,1104,1252,1440,1382
PA2405,763,546,535,809,709,647
PA2406,890,633,622,715,727,735
PA2407,1870,1373,1310,1582,1644,1634
PA2408,629,535,514,552,614,702
PA2409,616,527,460,595,630,561
PA2410,1721,1543,1358,1388,1879,1922
PA2411,3363,3368,3408,2515,3975,4142
PA2412,2852,2662,2447,3234,3157,3118
PA2414,329,315,371,284,359,366
PA2415,112,81,119,78,98,113
PA2417,873,939,943,728,910,974
PA2418,138,102,116,120,138,127
PA2419,171,183,148,190,156,202
PA2420,88,73,87,79,88,88
PA2421,39,12,24,21,24,16
PA2422,415,352,377,283,272,361
PA2423,511,447,528,407,441,498
PA2427,547,539,576,349,731,718
PA2428,178,144,166,115,150,174
PA2429,148,131,147,98,119,144
PA2430,348,346,336,248,261,372
PA2431,342,342,361,239,305,396
PA2433,3044,2845,2978,2603,2863,3303
PA2434,376,471,484,336,407,450
PA2435,680,711,800,581,744,836
PA2436,362,434,416,324,434,514
PA2437,92,136,144,89,118,155
PA2438,217,195,217,164,166,193
PA2439,444,380,442,268,341,414
PA2440,415,376,393,272,308,466
PA2441,194,140,164,121,136,174
PA2447,237,243,268,194,221,227
PA2448,889,618,705,785,686,720
PA2449,836,930,970,735,941,997
PA2450,503,487,560,411,503,543
PA2453,230,174,189,161,186,206
PA2454,268,231,220,195,202,261
PA2455,98,79,85,69,92,69
PA2457,1130,943,988,889,925,1201
PA2458,360,296,285,225,226,273
PA2459,971,1370,1296,999,1224,1276
PA2460,431,437,461,326,497,496
PA2461,1279,1684,1620,1362,1463,1668
PA2462,5087,5313,5552,4272,5050,6007
PA2463,206,161,195,155,177,240
PA2464,187,229,255,160,221,192
PA2465,96,109,98,111,104,126
PA2469,745,815,891,674,758,832
PA2471,156,170,181,140,130,193
PA2472,18,25,34,17,23,18
PA2473,18,25,19,26,29,24
PA2474,47,46,41,48,39,40
PA2475,263,242,250,221,237,265
PA2477,151,143,147,148,147,144
PA2478,441,432,530,431,483,427
PA2479,398,394,420,294,356,384
PA2480,697,677,758,502,641,750
PA2481,1340,1436,1406,848,949,1116
PA2482,5255,4581,4792,4034,4140,4807
PA2483,15014,15154,16074,13037,14138,14064
PA2484,752,652,723,620,633,742
PA2485,1170,829,882,926,763,849
PA2486,1879,1658,1643,1910,1533,1733
PA2487,46,54,76,34,71,80
PA2488,702,633,634,509,536,581
PA2489,659,583,561,505,540,598
PA2490,176,157,189,164,135,170
PA2491,4502,4667,5032,3589,4385,4978
PA2496,353,278,321,229,243,319
PA2497,1481,1303,1549,869,1235,1685
PA2498,115,123,141,79,90,83
PA2499,149,121,113,167,115,124
PA2500,87,59,94,55,71,94
PA2501,538,397,489,363,393,515
PA2502,309,228,250,171,215,340
PA2503,238,251,248,173,225,225
PA2504,68,58,73,2230,2385,2666
PA2506,67,45,57,55,53,60
PA2511,1182,856,1100,657,792,1245
PA2523,546,472,504,477,441,537
PA2524,319,298,312,270,244,298
PA2525,408,392,434,356,414,450
PA2526,901,800,910,711,799,852
PA2527,846,814,869,753,785,844
PA2528,763,743,778,665,773,747
PA2529,1619,1549,1561,1505,1526,1713
PA2530,978,875,899,940,851,1012
PA2531,822,750,687,633,990,729
PA2533,538,577,620,448,565,603
PA2534,265,349,417,228,385,331
PA2535,483,485,490,402,451,514
PA2536,285,274,280,238,270,276
PA2537,178,171,146,144,159,158
PA2538,50,37,42,34,43,49
PA2539,84,89,110,68,92,84
PA2540,699,694,768,586,641,703
PA2541,1109,987,1026,876,996,1033
PA2542,1263,1227,1363,976,1167,1384
PA2543,1436,1454,1432,1217,1371,1424
PA2544,1863,1787,1826,1711,1863,1847
PA2546,250,312,337,191,314,327
PA2547,774,672,641,671,666,656
PA2548,291,269,260,201,253,265
PA2549,1133,868,1039,887,971,1006
PA2550,717,734,691,574,702,800
PA2551,4244,3955,3859,3802,3833,4145
PA2552,3451,2957,3075,2727,2498,3658
PA2553,5008,3982,4094,3542,3436,4998
PA2554,1703,1347,1513,1374,1197,1628
PA2555,2205,1835,1942,1807,1536,1905
PA2556,1600,1557,1627,1206,1426,1569
PA2557,6188,6122,5396,5275,5474,5848
PA2558,577,497,568,413,541,570
PA2559,2090,2146,2208,1729,2079,2364
PA2559a,93,92,121,70,92,102
PA2560,1040,941,1116,955,1007,1096
PA2561,377,255,303,243,249,311
PA2562,8758,9321,10503,9039,8620,10564
PA2563,341,295,317,251,265,327
PA2564,2027,1585,1954,1649,1770,1914
PA2565,286,241,303,236,276,273
PA2566,2043,1398,1672,1571,1505,1662
PA2567,2305,1750,1961,1611,1704,2351
PA2568,911,938,1026,619,1028,1017
PA2569,230,307,304,219,397,309
PA2570.1,861,707,786,495,730,817
PA2571,794,739,840,520,812,827
PA2572,3724,3139,3310,3138,3195,3706
PA2573,3389,3261,3540,2735,3187,3542
PA2575,3564,3661,3654,3320,3262,3816
PA2576,320,311,365,254,318,368
PA2577,1271,864,938,1046,907,1079
PA2578,383,325,398,226,302,428
PA2580,1444,1207,1301,1072,1226,1587
PA2581,2187,2132,2097,1956,2116,2068
PA2581.1,1852,1986,1935,1706,1966,1486
PA2582,4416,5581,5921,4244,5357,5791
PA2583,2405,2104,2354,1556,1989,2451
PA2583.1,61,85,100,49,126,109
PA2588,2438,1829,2114,2097,1918,2310
PA2589,136,111,110,88,118,127
PA2590,1478,1122,1321,917,1020,1517
PA2591,5527,4545,5238,3892,4348,6050
PA2592,3677,2796,3106,2962,2792,3635
PA2594,696,749,846,1470,1378,3024
PA2595,44,48,48,49,57,99
PA2596,67,55,82,49,80,141
PA2597,168,150,143,163,187,302
PA2598,139,191,184,223,226,353
PA2599,196,183,222,204,223,388
PA2600,203,206,227,217,246,392
PA2601,915,1034,1051,688,944,1043
PA2602,124,141,127,119,138,202
PA2603,324,340,362,350,403,537
PA2603.1,119,143,153,74,199,162
PA2604,55718,46558,50882,47301,43485,50502
PA2605,1373,1277,1288,1114,1182,1322
PA2606,261,221,229,239,250,225
PA2607,310,251,252,259,252,248
PA2608,286,239,212,276,210,218
PA2609,1088,1036,1057,777,923,1104
PA2610,483,396,364,448,433,442
PA2613,4157,4019,4154,3851,4023,4287
PA2618,2596,2031,2254,2259,1975,2340
PA2621,2578,3006,2844,2936,3087,3021
PA2625,181,161,163,196,166,181
PA2627,396,447,431,367,447,406
PA2628,143,110,101,93,107,132
PA2630,385,305,340,299,321,385
PA2631,1357,1299,1483,1448,1437,1530
PA2632,1095,811,867,1048,854,964
PA2633,2174,1850,1750,1806,1688,1979
PA2635,908,693,742,703,758,852
PA2636,90,93,77,83,66,75
PA2650,140,176,143,117,158,152
PA2651,954,975,982,708,836,1039
PA2652,762,625,642,558,576,814
PA2653,126,113,125,92,109,131
PA2654,2203,1652,1796,1629,1649,2154
PA2655,23,35,33,18,33,34
PA2656,442,552,519,379,486,518
PA2657,761,681,692,802,766,735
PA2658,267,262,248,372,282,245
PA2659,4984,4844,4595,4836,4295,5041
PA2660,812,843,842,675,802,776
PA2661,451,418,406,410,373,454
PA2662,124,121,132,110,111,136
PA2665,3829,3327,3558,3054,3347,3593
PA2666,916,799,732,869,775,772
PA2667,6603,5899,6312,6008,4870,6902
PA2669,146,159,170,115,132,202
PA2670,187,214,197,117,193,194
PA2671,194,182,190,148,152,206
PA2672,39,43,39,19,33,38
PA2673,80,69,80,63,80,73
PA2674,16,17,16,14,16,23
PA2675,59,48,46,51,56,69
PA2676,89,82,120,77,105,120
PA2677,149,141,192,124,160,164
PA2678,71,60,78,55,69,73
PA2679,803,841,913,664,717,830
PA2680,194,168,167,128,159,180
PA2681,577,558,562,466,457,607
PA2682,1671,1450,1288,1407,1339,1354
PA2683,693,687,752,642,675,712
PA2684,785,761,810,651,741,841
PA2685,1786,1819,1801,1550,1837,1846
PA2689,112,92,76,76,82,123
PA2690,8,1,2,3,1,4
PA2691,3751,3514,3936,2380,3063,3602
PA2692,1281,1037,1109,903,1008,1173
PA2693,581,448,430,438,378,475
PA2694,104,138,147,123,139,128
PA2695,580,654,681,555,632,645
PA2696,719,642,673,672,675,682
PA2697,33,22,36,21,23,27
PA2698,516,507,491,457,469,589
PA2699,906,716,726,736,690,835
PA2701,217,200,245,166,231,225
PA2702,207,195,149,206,202,195
PA2703,55,53,65,33,53,68
PA2704,1785,1741,1748,1502,1701,1832
PA2705,4014,3959,4229,3547,3891,4329
PA2706,1361,1430,1412,1342,1323,1369
PA2707,7253,7445,7280,6489,6763,7422
PA2708,425,499,445,359,464,453
PA2710,685,578,636,568,604,760
PA2711,2584,2393,2218,2424,2432,2333
PA2712,144,114,158,101,118,148
PA2713,1261,1233,1293,1064,1236,1290
PA2714,298,266,270,222,238,293
PA2715,43,47,39,46,28,30
PA2716,296,313,334,247,314,350
PA2718,1308,1356,1356,1239,1298,1481
PA2719,944,905,996,718,835,907
PA2720,367,421,369,301,425,408
PA2721,227,174,228,189,214,234
PA2722,244,231,252,229,243,248
PA2723,640,560,532,583,574,618
PA2724,411,317,345,244,284,426
PA2725,1216,1033,1114,814,1014,1241
PA2726,75,49,63,43,59,69
PA2729,154,114,137,99,136,171
PA2730,1567,1645,1689,1456,1382,1809
PA2732,5186,5563,5715,4217,5455,6297
PA2733,773,699,705,571,614,764
PA2734,1985,1815,1864,1650,1650,2137
PA2735,4711,4362,4540,3957,4055,4829
PA2736,1555,1617,1645,1031,1401,1870
PA2736.1,756,850,810,718,972,844
PA2737,12582,13018,13531,13871,13438,13728
PA2744.1,120,109,105,58,155,139
PA2745,540,511,561,354,462,510
PA2746,567,366,404,363,313,450
PA2746a,3173,2627,3077,2299,2831,3060
PA2747,523,574,538,422,567,603
PA2747a,421,496,502,420,498,434
PA2748,906,899,915,769,815,941
PA2750,330,343,346,241,267,328
PA2750a,112,154,185,98,157,164
PA2751,533,610,624,484,554,608
PA2752,77,103,100,71,100,81
PA2753,326,331,308,309,305,371
PA2754,780,754,742,800,749,840
PA2754a,65,94,95,46,90,107
PA2755a,1888,1558,1585,1409,1467,1790
PA2756,978,1390,1460,699,1273,1392
PA2757,156,145,139,108,119,142
PA2758,933,777,940,710,841,923
PA2759,412,482,573,332,483,490
PA2760,19613,21158,19809,20148,21597,20877
PA2761,288,267,269,278,228,257
PA2762,957,927,875,711,778,988
PA2763,606,518,652,367,562,795
PA2763a,7,6,7,2,10,9
PA2764,1275,1464,1659,1108,1418,1634
PA2765,876,831,849,724,851,811
PA2766,346,494,426,341,426,445
PA2767,291,216,254,167,223,326
PA2768,36,35,35,22,25,29
PA2769,179,181,186,138,215,201
PA2770,1126,1141,1169,973,1179,1110
PA2771,677,621,575,548,602,653
PA2772,241,284,320,280,305,268
PA2772a,184,155,157,172,168,170
PA2773,43,55,46,33,42,38
PA2774,167,210,239,149,198,223
PA2775,163,222,203,144,190,157
PA2775.1,34,32,29,29,36,34
PA2776,7989,7008,7004,6706,6536,7906
PA2777,856,910,1022,699,959,872
PA2778,1050,963,1066,674,902,1135
PA2779,4058,3425,3645,3588,3181,3672
PA2780,234,239,258,241,265,262
PA2781,421,494,488,403,484,484
PA2782,556,430,463,369,401,488
PA2783,106,82,75,65,83,111
PA2784,166,142,118,115,105,154
PA2785,13,10,16,12,11,20
PA2786,67,70,90,108,130,235
PA2788,2058,1724,2102,1637,1826,2187
PA2789,141,141,162,97,151,142
PA2790,346,323,342,269,356,366
PA2791,55,45,53,31,38,49
PA2792,222,171,174,141,136,237
PA2793,1962,1749,1836,1445,1709,2020
PA2795,860,828,750,741,812,777
PA2797,3302,2534,2948,2500,2589,2889
PA2798,4333,4176,4520,3908,4105,4527
PA2799,1361,1398,1441,1097,1297,1484
PA2800,6160,5009,4899,5982,4778,5436
PA2801,620,623,599,467,567,627
PA2802,845,860,883,801,825,948
PA2803,79,57,59,34,40,72
PA2804,29,25,24,23,22,35
PA2805,2713,2905,3026,2495,2591,3265
PA2806,574,502,499,521,547,523
PA2807,45,47,52,44,53,46
PA2811,618,586,599,502,568,646
PA2812,1753,1560,1541,1569,1605,1636
PA2813,1482,1367,1479,1217,1393,1498
PA2814,360,286,334,231,297,354
PA2815,10199,8929,9661,8436,8569,10046
PA2816,2533,2247,2370,2062,2082,2218
PA2817,2141,2304,2330,2028,2080,2290
PA2819.1,618,651,616,259,644,456
PA2819.2,70,94,81,58,111,72
PA2819.3,34,65,56,33,51,54
PA2820,2824,2667,2769,2505,2509,3017
PA2821,2438,2489,2398,1873,1843,1921
PA2822,584,623,630,572,646,695
PA2823,1870,2237,2037,1771,2024,2059
PA2824,2773,2616,2748,2329,2504,2724
PA2826,1005,941,969,778,829,1075
PA2827,3346,3052,3148,2698,3033,3322
PA2828,1626,1536,1545,1562,1585,1495
PA2829,81,74,80,108,73,73
PA2831,820,799,747,717,758,776
PA2833,194,210,227,122,148,209
PA2834,848,832,855,757,776,872
PA2835,182,124,155,133,153,151
PA2836,45,35,34,32,38,36
PA2837,99,51,64,45,58,58
PA2838,73,51,67,37,58,64
PA2839,243,251,237,189,236,274
PA2840,393,367,427,335,362,447
PA2841,1646,1430,1559,1278,1260,1561
PA2842,467,605,583,379,526,601
PA2843,878,697,710,698,704,763
PA2844,807,912,959,725,860,856
PA2845,62,80,70,40,64,68
PA2846,616,567,554,443,480,548
PA2847,282,180,325,138,176,382
PA2848,765,617,692,521,541,781
PA2852,483,611,671,453,583,598
PA2852.1,66,79,96,47,155,69
PA2854,4935,5098,4943,4933,5431,5446
PA2855,331,287,289,249,258,365
PA2857,966,836,898,786,794,999
PA2858,1781,1692,1811,1402,1514,1722
PA2860,2218,2186,2179,1814,2294,2213
PA2864,1690,1547,1581,1255,1396,1708
PA2865,1789,1719,1806,1410,1663,1882
PA2867,1647,1262,1485,1393,1334,1804
PA2868,395,289,366,265,334,372
PA2869,530,375,366,438,370,429
PA2870,1329,1150,1182,908,1110,1295
PA2871,1287,1557,1579,1044,1389,1620
PA2872,353,335,408,306,346,374
PA2873,202,171,195,116,170,189
PA2874,114,96,113,77,87,118
PA2875,378,361,405,343,402,384
PA2877,1022,1106,1154,822,980,1048
PA2878,75,58,74,45,50,76
PA2879,1621,1324,1464,1031,1117,1573
PA2880,143,136,121,121,116,118
PA2881,92,92,76,84,65,76
PA2882,161,126,136,90,125,157
PA2883,3112,3144,3305,3003,3154,3549
PA2884,1287,1153,1260,920,1139,1288
PA2894,909,861,968,737,833,993
PA2895,481,586,599,503,581,581
PA2896,995,997,1140,983,1091,1125
PA2897,10499,9842,10149,9343,9343,10082
PA2898,834,690,787,533,570,858
PA2899,2381,1929,2160,2061,1986,2314
PA2900,1270,1310,1280,1241,1242,1372
PA2901,195,226,238,247,284,244
PA2902,1065,1130,1118,859,1099,1221
PA2906,320,285,321,216,313,318
PA2909,122,102,120,71,80,140
PA2910,126,130,127,80,105,125
PA2911,220,199,212,199,206,187
PA2912,42,22,38,26,23,38
PA2913,25,34,43,20,30,35
PA2914,37,30,44,40,52,49
PA2915,3719,3143,3376,2971,2989,3520
PA2916,50,56,53,30,28,50
PA2917,700,493,587,488,514,562
PA2918,511,359,384,407,349,520
PA2919,14,11,15,8,12,13
PA2920,1602,1272,1492,1104,1286,1520
PA2921,311,330,333,284,351,324
PA2922,126,99,113,91,104,119
PA2927,700,516,601,515,474,608
PA2928,207,248,243,196,249,213
PA2929,144,190,176,109,140,188
PA2930,2377,2185,2460,1893,2158,2485
PA2933,59,50,37,29,43,45
PA2935,236,165,195,141,174,203
PA2936,143,114,113,119,109,122
PA2937,3835,3262,3818,3181,3414,3500
PA2938,771,686,837,560,604,712
PA2939,2749,2388,2449,2557,2451,2695
PA2940,889,856,961,613,814,941
PA2941,227,229,262,248,286,235
PA2942,1054,1143,1102,941,1115,1170
PA2942.1,449,362,390,272,338,310
PA2943,901,977,1028,750,884,1000
PA2945,952,1009,1028,782,964,862
PA2946,965,776,903,553,754,907
PA2947,85,59,68,80,70,50
PA2949,713,750,755,545,755,833
PA2950,4496,5232,4936,4654,5032,4943
PA2953,5280,5046,4692,4795,4838,4451
PA2954,388,342,356,297,350,437
PA2955,334,320,319,287,317,362
PA2956,707,700,754,650,759,755
PA2957,1220,1255,1275,1096,1208,1325
PA2958,2156,2073,2188,1740,1785,2445
PA2959,1224,1231,1269,1100,1218,1330
PA2963,1758,1683,1844,1440,1645,1790
PA2971,3089,3491,3293,3130,3858,3268
PA2972,380,397,383,338,369,359
PA2973,1158,1324,1366,944,1253,1522
PA2974,814,829,863,674,756,912
PA2980,428,395,294,530,433,417
PA2982,198,227,234,191,245,221
PA2983,534,498,510,450,551,515
PA2984,461,519,578,268,505,562
PA2985,391,381,437,303,380,375
PA2986,997,1070,1085,1006,1038,1100
PA2987,942,1021,956,836,931,1030
PA2988,1591,1527,1460,1425,1512,1543
PA2989,1041,933,1089,827,881,1026
PA2990,2590,2415,2533,2296,2279,2685
PA2992,472,452,472,388,483,530
PA2993,733,754,816,658,858,870
PA3001,15483,15304,14762,16074,14839,15680
PA3003,1096,1098,1159,969,1063,1189
PA3004,2822,2673,2689,2474,2631,2865
PA3008,399,536,487,349,438,551
PA3009,734,857,871,728,924,904
