,X3225B2.raw,X3225B3.raw,X3225B4.raw,WTB3.raw,WTB4.raw,WTB6.raw,X3225P4.raw,X3225P5.raw,X3225P6.raw,WTP4.raw,WTP5.raw,WTP6.raw
PA14_00170,686,676,476,706,443,511,24,18,42,25,18,23
PA14_00280,119,90,77,127,88,147,34,45,54,70,36,60
PA14_01760,189,163,90,200,120,231,388,494,580,572,491,603
PA14_02140,10,8,4,3,3,7,8,9,21,11,8,7
PA14_02830,158,75,59,107,63,57,9374,16343,26546,17375,12640,15500
PA14_03530,46,39,22,50,40,53,1510,1735,2952,2536,1845,2613
PA14_05560,592,535,441,524,449,421,1246,1603,1981,1839,1393,2229
PA14_06620,116,95,82,104,62,88,1875,2293,3042,2373,1814,2521
PA14_07780,562,465,395,635,381,721,330,381,525,506,383,525
PA14_08280,718,755,533,891,583,975,52,76,98,112,66,94
PA14_08940,85,95,52,104,61,131,395,520,620,559,365,490
PA14_09600,443,350,277,451,259,236,201,253,413,284,228,278
PA14_10050,3,1,4,7,5,5,5,3,2,3,1,0
PA14_10230,53,58,27,43,23,48,62,72,102,88,46,70
PA14_10630,58,46,33,46,25,42,46,53,75,75,58,80
PA14_12020,157,119,93,136,86,101,306,357,494,389,265,407
PA14_14040,1007,955,621,1063,754,1326,1617,2005,2594,2318,1563,1907
PA14_14210,86,69,54,68,36,74,3,0,10,15,3,9
PA14_14280,68,48,37,78,31,97,34,40,62,38,28,47
PA14_16300,252,284,177,276,149,210,486,576,954,767,599,923
PA14_18790,17,3,12,10,5,3,1,6,0,5,4,6
PA14_18830,88,69,41,70,50,48,25,17,21,18,12,16
PA14_18950,143,167,101,184,96,246,1695,2705,3180,2914,1854,1886
PA14_19520,9,5,8,4,3,6,22,21,52,41,33,48
PA14_20690,276,204,179,266,142,179,1285,1417,2086,1546,1155,1747
PA14_22220,23,32,17,47,21,32,26,25,35,25,12,31
PA14_22650,174,121,86,149,88,97,2843,3611,5973,6012,3104,5425
PA14_23540,328,282,214,310,206,222,236,380,484,410,347,504
PA14_23860,625,698,448,625,468,506,103,155,277,210,176,243
PA14_27210,1530,1571,765,1580,1028,2484,80,97,114,100,77,78
