,X3225B2.raw,X3225B3.raw,X3225B4.raw,WTB3.raw,WTB4.raw,WTB6.raw,X3225P4.raw,X3225P5.raw,X3225P6.raw,WTP4.raw,WTP5.raw,WTP6.raw
PA14_22460,1956,1711,1200,122,60,73,3233,3852,4993,412,266,345
PA14_22450,1826,1672,1036,104,62,103,1995,2306,2915,181,117,180
PA14_22470,5171,4117,2938,369,179,313,626,809,1114,51,38,57
PA14_22440,4497,4272,2704,377,222,285,5071,5814,8194,811,629,973
PA14_27070,4941,3857,2582,421,292,531,2240,3229,3791,193,168,215
PA14_48650,908,726,644,107,74,133,6321,8117,9534,800,584,966
PA14_22420,381,327,214,78,39,70,154,135,210,659,504,727
PA14_27390,411,337,219,145,91,88,243,279,426,90,89,93
PA14_03730,1760,1694,1079,4448,2728,4408,121,149,177,32,22,39
PA14_05500,551,584,376,247,185,217,167,244,336,80,66,98
PA14_22280,735,722,313,185,89,240,401,254,501,1317,935,1497
PA14_28400,1082,1107,881,2436,1763,2708,18,18,19,308,226,476
PA14_06750,49,47,34,120,114,153,2351,2518,4743,1411,1055,1511
PA14_36470,1451,2283,1195,4247,2932,3672,702,677,741,1657,1269,1859
PA14_15360,1363,1222,1293,2937,2594,3925,375,343,490,874,708,1095
PA14_36530,2552,1849,1375,3705,2488,4375,62,72,134,35,22,32
PA14_05910,234,197,137,134,74,98,53,61,102,204,153,275
PA14_09240,827,715,428,1381,739,1489,1150,811,1571,3032,2093,3515
PA14_36820,14079,9811,10252,32685,18105,46568,24837,35363,53783,24284,19019,25118
PA14_06810,12,22,11,57,57,49,16823,23729,35225,15988,12440,17149
PA14_09750,405,400,384,753,546,988,732,906,837,1667,1370,1762
PA14_05890,511,547,374,325,264,133,247,228,274,551,407,647
PA14_39990,397,449,260,670,457,834,30,29,53,112,93,102
PA14_67410,163,118,91,79,62,64,2478,2537,4287,6259,3953,6727
PA14_22490,87,118,74,61,28,58,67,51,74,184,148,257
PA14_09280,3097,2485,1564,4866,2777,4511,742,699,611,1702,1410,2074
PA14_10500,278,178,164,402,242,461,35110,53714,80328,35144,26601,33325
PA14_40020,181,187,106,375,191,284,997,969,985,2239,1809,2832
PA14_09320,496,410,244,784,436,755,707,982,987,1800,1187,1636
PA14_32250,48,65,50,138,99,96,94,96,82,208,174,227
PA14_51360,269,281,203,193,135,138,273,340,621,245,181,209
PA14_00480,32205,24556,16722,44599,25421,51483,362,512,730,342,277,328
PA14_01620,281,228,165,163,126,128,2366,3850,5152,2417,1700,1802
PA14_58330,1617,1298,939,3306,1657,4555,1893,1911,2433,3742,2901,4519
PA14_09270,3358,2851,1724,5791,2918,4329,316,317,478,737,532,659
PA14_36520,1697,1291,1001,2327,1679,3347,510,613,972,1287,958,1278
PA14_36500,399,256,212,527,325,681,3523,4525,5221,3219,2306,3059
PA14_09230,108,69,48,162,76,178,101,127,174,248,219,290
PA14_24790,509,498,383,801,500,947,121,117,181,78,48,85
PA14_45100,137,136,88,267,115,301,2244,3533,5206,2322,1866,2066
PA14_09220,274,228,98,521,201,447,1147,1902,2412,1253,832,1139
PA14_32590,183,208,112,392,188,263,276,312,342,606,387,583
PA14_09300,594,410,276,794,418,846,431,452,673,867,637,1055
PA14_07950,942,1003,776,1646,1342,1451,2645,3313,3803,5726,3930,5714
PA14_40240,452,372,258,348,200,159,1078,1397,2449,1145,791,903
PA14_01460,233,209,171,362,219,426,814,1130,1170,700,440,489
PA14_16250,48804,64423,30091,86332,49036,87733,608,701,700,1203,881,1316
PA14_71100,66,42,20,94,61,87,42,60,72,113,92,156
PA14_10290,1207,886,638,787,532,589,674,824,1492,672,511,669
PA14_60490,239,221,159,397,231,569,1023,1278,1506,2222,1517,2262
PA14_08660,87,119,74,152,129,196,1180,1656,2338,2695,2192,3418
PA14_49860,859,667,479,584,398,267,262,383,485,256,192,257
PA14_51380,210,187,142,143,104,109,248,242,289,541,490,798
PA14_51390,218,183,135,126,105,123,326,304,374,621,553,823
PA14_22340,667,682,571,1065,652,1280,68,61,68,129,104,157
PA14_36480,158,126,102,202,148,289,199,306,460,231,165,181
PA14_36375,443,277,217,571,336,575,2749,2699,2659,5307,4153,5411
PA14_42440,77,64,52,52,26,35,1059,1588,1912,1184,848,882
PA14_09260,1033,931,733,1379,1005,1770,12062,20514,22555,12138,7309,8070
PA14_07850,206,228,165,181,102,121,139,194,252,147,78,119
PA14_36850,607,400,385,729,526,962,84,102,92,179,136,193
PA14_52520,307,221,217,397,301,479,157,114,200,326,279,460
PA14_09210,1146,1093,642,1791,1088,1536,1697,2746,3005,1684,1198,1195
PA14_05550,629,546,319,435,215,408,4221,4837,6608,4288,3021,3590
PA14_19960,116,102,79,76,61,52,674,1022,1166,685,560,690
PA14_36630,1010,585,501,1236,688,1411,384,350,406,804,731,1204
PA14_62240,2364,2268,1318,2004,1207,1122,335,570,774,368,261,241
PA14_08210,876,862,591,1440,884,1216,214,249,291,421,319,533
PA14_36710,446,242,222,515,345,682,1417,1968,1957,1211,767,952
PA14_44430,407,429,280,352,225,215,103527,90609,113319,236887,199733,364202
PA14_51010,909,1014,860,1404,1081,1812,814,944,1032,1449,1167,1666
PA14_07980,471,414,252,1072,570,527,189,235,368,189,131,176
PA14_22090,293,358,209,462,325,533,201,321,439,218,141,97
PA14_30750,246,193,147,331,209,486,914,982,945,1710,1321,1822
PA14_55530,680,554,446,546,299,372,12904,11622,10186,25331,19434,25408
PA14_72890,331,293,212,267,179,133,3128,3231,3531,6464,5395,9275
PA14_09940,1831,1400,1175,2313,1619,2620,1960,1587,1740,4533,3892,7337
PA14_39800,343,290,229,483,263,569,18695,31028,46872,20332,16036,16541
PA14_55590,73,58,49,131,75,222,1382,2100,2920,1750,1269,1489
PA14_36490,180,93,70,274,107,247,135,186,399,89,78,79
PA14_09290,821,752,383,1254,753,910,3671,3409,3980,6837,5594,9118
PA14_40250,1435,1288,920,1054,810,458,86,139,202,106,61,83
PA14_51560,643,690,649,1111,916,1936,1670,1540,1159,3330,2580,4259
PA14_61010,8873,13637,9579,18699,12655,16563,25,30,70,100,73,79
PA14_01350,402,282,198,290,153,121,3308,4530,6137,7633,4782,8337
PA14_08220,487,521,345,833,533,654,205,236,334,437,319,461
PA14_04340,228,182,102,173,69,118,22,50,51,14,5,16
PA14_09690,43,34,25,20,9,27,260,419,722,281,179,205
PA14_20230,64,49,27,164,101,404,998,1046,1726,994,688,984
PA14_09740,98,81,62,139,88,218,7850,9956,10711,6379,5209,7276
PA14_28150,138,131,116,114,72,80,239,279,348,459,399,485
PA14_33040,196,137,108,129,67,112,724,781,1144,763,521,577
PA14_10180,114,98,64,152,97,189,309,385,567,359,205,291
PA14_19850,149,89,65,90,51,49,484,376,377,926,696,1201
PA14_19900,2569,2025,1435,2101,1219,1088,1645,1361,1783,3051,2604,4361
PA14_43405,3,1,3,7,6,15,1048,1864,2205,1179,850,937
PA14_61210,105,63,45,137,66,142,157,156,198,266,220,330
PA14_61840,1150,1660,1080,2052,1334,2292,52,86,126,58,36,52
PA14_03166,310,418,282,552,405,541,1769,1797,2439,2887,2545,3465
PA14_09370,291,195,149,429,212,318,1342,2099,3755,1398,1029,1209
PA14_35270,112,98,82,95,51,52,523,445,668,930,812,1297
PA14_54540,67,51,36,45,28,22,837,1242,1575,2127,1354,1816
PA14_22140,66,89,56,115,75,169,19,16,11,42,29,44
PA14_28360,1979,1885,1090,2462,1759,3660,53,50,61,95,79,124
PA14_29290,53,34,34,84,44,79,1069,1685,1979,1300,892,989
PA14_36810,1215,826,588,1258,956,1635,803,802,1014,1363,1146,1778
PA14_36880,31,15,11,41,30,40,180,162,222,298,277,385
PA14_03000,110,80,71,74,45,57,24,34,74,166,143,336
PA14_20460,243,205,112,175,114,114,13,17,27,44,28,61
PA14_22400,6264,4637,3145,8097,4862,12160,910,799,808,1587,1309,2071
PA14_36700,129,83,71,162,92,190,289,337,373,572,366,643
PA14_40030,173,160,98,246,153,259,3439,2960,3740,7381,5929,11720
PA14_22020,2305,2493,1464,3175,2052,3804,2873,3142,4959,3044,2205,2862
PA14_04270,194,203,152,268,185,375,322,369,446,589,432,665
PA14_67600,1873,2324,1394,2894,1721,3682,8807,15983,19190,10279,7462,8316
PA14_52490,206,203,137,378,208,232,392,467,912,442,271,317
PA14_56800,263,212,185,226,119,138,151,156,228,145,88,115
PA14_01320,2707,2585,1776,2160,1742,1540,603,576,864,521,387,558
PA14_10360,15841,13340,6109,10256,6643,4451,80,72,136,181,106,185
PA14_11810,461,448,444,678,612,839,412,496,663,829,537,913
PA14_18040,1564,1476,1138,1346,968,906,1342,1269,1770,2558,2136,3815
PA14_22180,5,11,6,17,11,35,2725,3757,5083,3561,2311,2763
PA14_36840,1351,917,719,1546,988,1753,2449,3387,5784,2981,2158,2098
PA14_38160,9,11,7,24,8,31,956,1286,1995,1193,889,1053
PA14_59070,129,160,108,203,136,295,220,255,296,213,137,180
PA14_60530,153,152,100,229,119,302,1589,2492,3166,1937,1527,1477
PA14_64940,931,714,578,764,479,435,5905,6341,8924,5525,3979,6471
PA14_01310,541,465,349,431,301,295,185,202,206,328,284,462
PA14_11940,489,460,367,452,282,263,48,68,54,98,92,109
PA14_26390,36,34,12,17,8,20,811,872,996,1392,1120,1827
PA14_26860,355,327,268,566,308,841,45,83,99,57,32,40
PA14_35330,80,57,46,50,34,36,571,777,748,521,334,342
PA14_38590,100,75,51,63,53,37,256,470,841,256,191,223
PA14_44150,722,493,418,511,347,257,13963,15779,27511,16072,11905,15500
PA14_59210,95,111,80,157,97,186,76,121,135,87,59,61
PA14_01340,2036,1665,1297,1386,1211,779,657,1205,1621,764,637,623
PA14_08230,208,151,118,348,149,221,91,102,142,82,60,68
PA14_11270,794,1076,601,1202,836,1580,2612,2340,2773,5617,4632,9590
PA14_12920,49,35,24,70,42,124,1332,2012,3632,1615,1067,1213
PA14_18680,7166,9279,5367,11929,7067,11924,300,319,458,537,381,666
PA14_31170,444,294,230,327,192,210,214,260,376,438,364,437
PA14_36980,852,670,443,1028,600,1191,461,853,1115,578,397,342
PA14_39060,33,33,38,20,20,9,2240,2591,2736,3960,2886,4788
PA14_46170,254,222,144,218,129,111,194,145,227,319,279,441
PA14_46620,356,382,277,507,364,602,58,93,104,142,119,150
PA14_06830,43,40,35,58,64,79,6201,8420,12546,13385,9406,14444
PA14_11530,148,161,113,138,94,71,141,130,224,268,207,270
PA14_22890,1388,1202,731,1103,669,359,848,1134,1659,1076,770,898
PA14_27610,110,121,102,187,115,202,1753,1539,1753,2821,2261,3379
PA14_28410,322,164,94,131,57,93,3697,4341,6780,4167,3278,3958
PA14_44470,560,578,290,829,425,804,1052,1835,2958,1328,933,1001
PA14_45410,27,14,16,45,25,37,240,323,299,515,331,448
PA14_47120,1605,1300,1010,1806,1294,2478,337,297,372,562,500,845
PA14_48870,404,454,348,565,430,744,101,133,203,124,79,89
PA14_72510,640,542,357,518,301,360,48,55,64,100,65,132
PA14_32840,78,85,39,112,64,141,634,787,1486,725,566,703
PA14_43040,109,87,72,89,53,45,2806,2945,4749,2543,2039,3362
PA14_54750,1560,1190,980,2118,1248,3283,486,603,759,907,657,1018
PA14_19920,1721,1152,826,1239,705,588,630,430,457,1036,921,1615
PA14_55940,13870,15450,5388,10688,4789,4149,126,151,202,264,178,269
PA14_60750,1413,1901,826,2324,1341,3144,175,219,274,311,250,406
PA14_07820,1076,861,631,860,519,614,29,25,54,62,51,82
PA14_26165,184,180,132,259,151,320,78,138,111,216,135,188
PA14_33830,1658,1739,959,2147,1340,2669,224,284,519,292,168,191
PA14_52910,48,57,33,44,18,26,84,107,137,89,56,69
PA14_59700,18,8,10,32,11,31,26,34,41,70,52,62
PA14_32490,511,565,345,685,507,834,210,276,404,247,198,202
PA14_40230,553,548,401,447,370,292,399,499,687,405,322,461
PA14_54180,530,428,323,681,397,970,28,54,59,94,65,82
PA14_61180,228,110,76,97,50,76,50,71,79,107,75,142
PA14_60090,857,1001,689,1249,874,1477,4222,4123,4098,6719,5636,7702
PA14_10200,2525,2209,1816,3516,2148,5384,165,213,232,335,238,307
PA14_33590,145,167,105,207,131,289,797,892,1117,728,605,818
PA14_38500,138,119,102,105,76,79,326,433,659,383,305,374
PA14_60480,4333,5429,1778,6868,3744,6911,476,475,860,547,367,458
PA14_61120,496,412,263,418,246,238,4969,6051,7360,5310,3840,5233
PA14_00810,76,61,43,98,54,137,202,216,335,366,278,427
PA14_08560,1245,1605,988,1848,1206,2381,645,868,1125,729,559,735
PA14_23350,3076,3204,2172,4462,2356,4989,18,29,43,18,14,10
PA14_30080,466,341,246,361,214,234,5436,3883,4693,8559,7074,11822
PA14_33250,338,273,155,447,222,433,648,958,1406,830,686,803
PA14_36360,350,213,164,425,209,499,28,76,111,32,17,25
PA14_36410,442,295,219,590,267,724,425,349,578,718,516,898
PA14_44510,422,305,256,615,411,1258,350,329,795,821,597,786
PA14_71380,174,111,62,109,47,63,66,86,96,66,52,38
PA14_02220,223,195,110,187,109,99,44,74,92,61,27,28
PA14_54830,196,251,130,294,215,327,544,863,1426,756,478,487
PA14_05880,1589,1153,868,1313,685,582,871,1072,1272,1027,653,812
PA14_18630,391,403,226,604,349,498,144,103,136,241,232,431
PA14_31540,343,193,145,208,118,133,5812,7863,10311,7056,5117,6757
EBG00001225105,18,14,14,7,8,7,1133,1213,1633,1186,772,1142
PA14_46850,4,8,8,15,9,23,1113,1283,2036,2444,1975,3901
PA14_21210,288,325,198,432,235,490,40,42,70,87,77,87
PA14_36350,174,162,116,232,137,290,1077,1473,1610,2162,1593,1829
PA14_36780,279,174,154,388,165,322,287,458,825,378,241,285
PA14_39880,61,31,28,32,23,21,928,873,1186,694,531,830
PA14_49250,1836,1613,1099,1567,929,1103,26,22,25,65,49,40
PA14_52840,96,106,77,78,51,71,2560,3067,5855,3188,2113,2928
PA14_67340,85,70,45,55,35,48,9536,11475,15883,10253,7782,11173
PA14_12470,142,104,84,99,76,66,11,16,21,37,29,35
PA14_14550,1573,1651,1020,2377,1662,1855,77,100,121,71,56,70
PA14_33510,539,583,251,719,420,913,183,260,290,326,308,430
PA14_48880,434,573,437,748,528,752,1547,1808,2827,1717,1348,1797
PA14_52550,3861,4757,3207,5645,4347,6367,197,215,290,222,135,155
PA14_72360,5314,5160,2758,4123,3216,3210,2833,3905,3459,5442,4434,7892
PA14_37580,102,99,77,128,95,193,96,94,117,152,132,177
PA14_39270,176,193,138,161,92,129,126,143,174,212,186,314
PA14_40260,7112,5723,3627,5757,3509,2674,3102,2967,3879,4779,3614,5118
PA14_41680,1656,1973,1436,2521,1642,3658,192,221,281,155,149,205
PA14_43440,145,97,83,187,87,210,6064,7631,9346,11112,7151,12132
PA14_61000,17,17,11,39,11,45,3753,4860,6817,4654,3277,4343
PA14_69140,375,307,197,316,181,182,193,313,379,411,321,524
PA14_07840,391,422,300,350,229,287,70,98,127,143,106,192
PA14_17960,453,391,277,370,245,258,218,285,381,446,328,447
PA14_23010,95,62,82,57,42,52,5518,7002,9109,9948,7065,11454
PA14_26600,1375,1190,971,1719,1149,2036,140,230,374,188,141,126
PA14_51480,198,226,140,299,153,358,318,392,887,367,204,269
PA14_57720,737,835,511,971,652,1342,2724,2822,5174,5222,3824,5069
PA14_58040,1426,1537,688,2169,1139,1764,4690,6558,7579,8446,6259,10028
PA14_72880,357,261,190,273,135,215,3400,4671,7610,4794,3411,3793
PA14_05320,1822,2211,1627,2791,1739,3636,144,200,242,311,202,312
PA14_12680,800,670,450,589,405,521,65,95,124,140,130,154
PA14_52880,17,15,9,11,5,3,94,112,178,208,140,209
PA14_71390,745,597,327,595,322,330,218,167,163,329,272,431
PA14_15890,253,235,201,199,169,160,772,830,946,1203,1015,1634
PA14_33880,764,827,555,998,713,1272,559,721,1505,702,371,537
PA14_43540,341,238,149,252,139,135,969,1461,2520,1359,869,1160
PA14_40770,429,451,261,551,334,716,157,237,310,384,306,306
PA14_54520,54,60,40,40,33,31,39,47,61,46,13,24
PA14_59820,19,20,14,31,19,46,34,28,28,52,43,72
PA14_60310,1850,2190,1664,2662,1834,3383,2797,2845,4007,4696,3557,6452
PA14_21000,111,82,56,74,37,68,105,203,242,148,89,85
PA14_22500,41,61,44,36,23,39,1225,1329,1484,1863,1543,2247
PA14_42470,104,123,76,84,74,64,362,477,547,430,293,350
PA14_42970,62,34,36,38,20,29,211,304,381,446,364,415
PA14_60810,98,111,62,159,97,292,88,90,124,142,117,185
PA14_01360,298,177,117,190,93,126,362,359,395,577,409,654
PA14_06580,1310,865,653,961,599,595,703,621,1002,1123,887,1525
PA14_17290,1931,1846,1260,2503,1455,3414,257,320,532,339,223,292
PA14_40350,614,513,420,548,345,329,1385,1573,2779,2463,2062,3057
PA14_58730,10476,11892,5512,9637,4956,7869,2163,1999,1999,3240,2700,3908
PA14_09970,136,135,96,198,102,233,298,587,616,377,260,216
PA14_12560,387,457,200,572,319,571,51,67,106,66,32,49
PA14_73310,2135,2784,1469,3183,1858,3815,1010,1145,1566,1031,747,1196
PA14_06920,266,192,136,201,129,90,141,179,191,231,200,284
PA14_15910,69,65,43,49,45,29,515,622,724,527,402,537
PA14_22240,14,21,9,25,22,35,27,26,38,67,39,51
PA14_51570,832,1132,904,1415,978,1803,44,58,68,93,82,89
PA14_66240,344,323,241,314,188,207,1670,2535,4700,2347,1470,1704
PA14_10020,414,379,227,378,216,179,333,319,444,324,228,243
PA14_13220,103,88,68,138,76,169,610,642,1033,1083,758,1164
PA14_15790,215,144,117,173,83,106,1036,1374,2231,1528,976,1199
PA14_16370,1089,844,498,887,461,412,501,779,1462,649,480,570
PA14_27120,428,367,270,536,335,829,827,1092,1298,1528,1125,1553
PA14_31240,773,869,569,1169,810,1069,31,35,62,75,55,77
PA14_47130,2952,2194,1509,3630,1875,3619,848,1134,1917,1120,887,1124
PA14_56480,240,163,112,162,86,146,65,92,139,65,64,76
PA14_04510,257,199,166,218,140,118,2202,2048,2577,3357,2546,4253
PA14_29620,535,411,328,669,382,980,301,260,420,450,384,593
PA14_42380,218,202,138,181,116,132,270,364,765,346,218,257
PA14_51410,104,129,94,106,72,65,600,772,1226,737,579,758
PA14_51460,45,82,53,89,73,149,1785,2242,3200,2094,1576,2180
PA14_54430,25422,29246,23510,35561,27011,46012,65,119,93,161,108,157
PA14_56090,110,102,88,147,91,202,802,1015,1264,940,679,852
EBG00001225049,916,1146,961,2273,1337,5546,229,212,336,341,333,424
PA14_17540,298,186,154,321,200,379,206,316,525,290,213,199
PA14_29820,1004,1009,628,864,524,730,22142,17717,23607,35461,33011,64932
PA14_10550,2470,2423,1666,3396,2018,3543,51,35,68,88,75,79
PA14_19910,1439,899,652,1044,546,566,267,317,442,295,235,266
PA14_40010,145,137,102,250,145,157,927,1019,1330,1619,1065,1583
PA14_41980,262,349,151,449,212,408,551,659,883,991,735,1020
PA14_73240,1085,1258,760,1442,922,1891,1011,1287,1913,1764,1434,2287
PA14_36870,273,171,135,310,204,303,294,346,404,275,240,297
PA14_52820,185,180,153,147,100,151,69,126,166,102,70,75
PA14_60730,152,174,97,225,122,258,5,8,12,21,18,20
PA14_00490,67,48,34,76,47,106,5219,5514,7198,8263,5817,9796
PA14_00990,1874,1950,1615,2518,1693,3241,7852,11916,15225,10958,7735,9927
PA14_47320,429,360,229,336,208,261,827,1042,1341,1045,746,794
PA14_51080,41,24,22,19,15,20,539,812,1296,776,575,612
PA14_59130,34,26,36,55,33,77,1777,2044,1925,2810,2200,3268
PA14_69250,229,252,145,304,180,404,1764,1978,2858,1960,1561,1846
PA14_07970,194,163,114,388,200,181,757,742,1358,809,616,877
PA14_35650,35,25,15,16,17,12,47,67,108,57,38,54
PA14_61290,353,296,176,435,221,495,906,1481,2954,1181,785,985
PA14_62400,415,367,254,498,302,693,6015,7024,11624,11520,7647,12475
PA14_68630,262,238,199,228,166,152,1012,1314,2293,1442,974,1230
PA14_14430,605,537,387,519,366,337,197,215,340,232,135,209
PA14_38310,513,506,302,878,379,1375,431,596,843,564,430,498
PA14_38420,907,760,568,741,554,502,240,221,222,351,294,481
PA14_41610,237,286,179,353,210,419,6283,8444,11055,11114,8147,13691
PA14_44440,192,204,134,173,123,114,180,302,521,250,180,230
PA14_02100,92,70,39,75,33,35,290,386,462,329,275,291
PA14_12180,115,98,37,158,73,212,781,965,971,1293,981,1672
PA14_21570,296,283,155,239,166,73,982,1131,1418,1562,1147,1924
PA14_33290,1494,1926,929,2253,1412,2248,211,305,423,302,186,160
PA14_36550,256,239,119,297,193,371,16,33,49,51,47,65
PA14_44160,2125,1364,1111,1616,955,1077,228,212,252,351,255,447
PA14_44260,62,47,29,41,17,36,40,41,72,28,30,38
PA14_00560,215,200,203,163,137,147,1218,1659,2295,2240,1689,2859
PA14_01380,267,241,157,229,136,156,1100,1096,1250,1668,1487,2586
PA14_22190,129,115,72,295,94,532,1849,2167,2072,1510,1025,1557
PA14_36200,61,67,39,81,58,113,3,2,3,10,11,8
PA14_67440,913,670,639,739,504,514,133,168,226,164,121,111
PA14_19710,133,106,76,114,67,42,31,42,89,40,26,32
PA14_20470,460,416,198,350,228,278,66,86,93,137,89,131
PA14_70650,27,21,21,16,11,14,648,724,1378,845,582,702
EBG00001225052,59,47,40,46,30,25,120,107,177,179,166,259
PA14_08680,3474,3566,1898,4562,2481,5950,39,67,83,58,33,30
PA14_15380,201,232,199,298,216,367,1788,2320,3178,3217,2294,3816
PA14_21860,514,293,261,316,236,224,142,217,377,201,140,187
PA14_37660,38,47,25,63,34,76,69,102,161,68,67,103
PA14_00310,277,218,155,204,161,103,219,304,492,495,390,459
PA14_08470,220,188,127,272,160,414,692,862,1086,1226,878,1315
PA14_20480,2233,2132,1000,1812,1184,1233,37,63,103,45,44,44
PA14_60470,882,856,432,1157,644,1708,193,219,304,217,154,181
PA14_03900,1641,1531,1140,1328,1127,1029,11,19,21,30,23,53
PA14_20900,60,53,49,47,28,39,19,23,22,31,34,49
PA14_21840,1029,1151,773,1366,925,1713,15,25,43,46,41,54
PA14_31290,4007,5047,1863,3426,2073,1271,129,200,171,253,189,258
PA14_36730,1113,728,590,1247,837,1219,44,48,68,77,57,110
PA14_37820,41,39,23,61,32,70,84,91,154,94,67,76
PA14_44060,1892,2196,1202,2641,1482,3033,86,112,198,95,96,76
PA14_63340,1012,770,623,928,495,526,1143,1554,2574,1602,1204,1509
PA14_64850,39,31,16,27,9,18,6218,6883,9779,10153,7085,12285
EBG00001225132,14,8,8,16,12,33,95,132,193,111,82,119
PA14_01810,239,185,134,190,116,130,36,42,78,82,58,98
PA14_02250,173,140,92,153,75,83,40,45,144,31,29,19
PA14_12440,458,316,249,368,195,254,2326,2677,4016,4022,2913,4545
PA14_14660,7891,7140,5821,10450,6613,17032,1783,3155,4781,2511,2050,2037
PA14_46480,26,21,17,37,25,46,979,1206,1404,1036,743,1150
PA14_48970,14,9,14,25,20,24,1428,1647,2094,2277,1776,2537
PA14_49680,35,37,24,55,28,70,18,27,32,50,36,45
PA14_09380,385,361,187,579,299,406,360,402,682,449,325,385
PA14_26610,666,625,472,946,632,820,2562,2879,4247,4322,3032,5398
PA14_32710,237,190,131,289,165,437,730,903,1312,1318,1049,1408
PA14_39420,116,71,45,58,44,68,59,65,121,117,107,128
PA14_42460,25,15,19,11,12,11,1434,1708,2459,1742,1219,1659
PA14_63940,419,395,268,398,214,254,86,100,140,182,131,143
PA14_64930,263,184,120,193,123,98,24,36,38,60,41,58
PA14_67540,90,54,31,50,33,35,76,119,191,99,86,55
PA14_73250,748,906,539,1007,668,1302,434,578,754,754,585,940
EBG00001225045,18,18,19,29,20,52,1197,1507,2174,2282,1559,2374
PA14_15650,152,146,118,291,153,645,337,306,432,485,396,622
PA14_21810,192,193,148,264,169,311,13,14,19,28,19,40
PA14_22940,333,240,192,279,157,103,275,336,490,488,387,562
PA14_71760,109,96,58,77,45,74,180,271,291,361,260,362
PA14_02730,64,81,67,60,39,56,261,573,1185,335,265,232
PA14_18800,1234,1006,473,900,502,733,1610,2742,4358,2461,1691,2032
PA14_30090,1161,1100,778,1115,694,668,228,315,611,570,441,551
PA14_44370,1127,1252,807,1440,944,1939,3628,4389,7395,4662,3504,4634
PA14_48660,155,136,93,137,74,84,568,814,1058,796,558,643
PA14_72640,259,258,151,384,172,370,3841,5855,6229,7232,5333,9004
PA14_17980,3308,3338,1659,3192,1460,2176,49,64,96,59,40,45
PA14_20300,73,69,48,102,51,128,50,73,79,102,74,118
PA14_32830,221,273,209,330,264,376,357,564,850,539,394,474
PA14_48830,85,52,51,96,59,123,478,573,830,575,416,541
PA14_57690,649,588,524,879,559,1409,365,532,567,818,472,671
PA14_62830,1596,1719,1139,1931,1430,2638,71,80,111,128,87,156
PA14_22010,1199,1657,1038,1853,1305,2083,38,47,60,71,61,87
PA14_32810,116,203,140,248,163,238,1131,1337,1884,1832,1427,2436
PA14_33270,470,461,272,575,335,761,98,117,228,120,92,125
PA14_56180,153,156,90,233,98,232,655,870,1396,857,663,890
PA14_67780,10,11,8,27,12,18,114,185,178,228,161,260
PA14_20510,2424,2680,2152,3188,2468,4118,528,613,915,646,413,626
PA14_55780,383,319,218,307,227,159,95,55,80,135,101,165
PA14_00800,149,149,93,136,81,85,1474,1577,1852,2119,1758,2684
PA14_03480,143,113,69,118,50,80,1434,1258,1321,2074,1644,2259
PA14_21670,754,618,365,987,438,1169,157,183,321,320,219,333
PA14_36990,24,17,11,13,7,9,1018,1030,1643,1732,1149,1782
PA14_43610,1441,1521,1014,1481,809,970,188,237,370,209,172,251
PA14_63530,282,213,140,231,112,160,261,427,513,365,283,286
PA14_69910,180,219,154,263,164,355,4627,5549,9551,8413,6881,9367
PA14_00875,22,26,21,18,9,15,602,1307,1467,1627,1334,1811
PA14_19690,12,15,3,8,2,3,2751,2799,4165,4142,3501,5924
PA14_23680,459,448,306,536,390,723,640,618,728,916,796,1396
PA14_62840,817,837,540,723,501,566,452,566,777,550,387,536
PA14_72300,318,295,197,429,225,458,6,6,10,2,3,1
PA14_01600,147,133,75,131,68,74,459,506,705,458,411,501
PA14_33350,206,181,127,224,171,356,82,89,119,168,97,137
PA14_20530,256,397,236,456,290,468,758,1007,1482,1021,807,871
PA14_28110,26,20,19,23,5,11,533,638,514,902,606,987
PA14_36650,3717,1637,1156,5204,1774,7546,2145,3277,3903,2961,2225,2641
PA14_36660,371,222,175,399,232,423,15,16,26,11,10,8
PA14_55400,1411,1259,900,1108,913,910,210,189,223,309,222,344
PA14_68370,673,563,500,611,403,395,5508,7885,11004,10959,7776,11668
PA14_69820,74,54,37,90,57,98,290,424,474,376,282,307
PA14_01730,790,774,509,680,459,556,188,253,402,392,264,494
PA14_11790,89,88,83,129,81,162,777,764,1186,819,603,840
PA14_16680,4753,5228,3123,4859,3063,2919,872,1115,1506,1030,803,1082
PA14_28740,867,938,762,1173,806,1646,558,712,769,862,740,1176
PA14_33320,31,28,26,48,24,71,440,577,602,522,335,344
PA14_50100,313,237,150,260,141,158,7022,8124,11738,11569,8886,12998
PA14_54240,93,95,60,79,49,58,365,364,680,662,449,688
PA14_71650,3105,2942,1490,3969,2029,5093,758,874,1235,1205,895,1528
PA14_06540,49,28,18,31,9,21,405,345,400,583,437,648
PA14_22710,177,120,74,140,42,74,386,493,532,414,305,436
PA14_25670,20852,28964,12837,32027,18311,34384,397,387,680,700,533,633
PA14_28895,67,37,28,48,17,16,152,151,236,281,175,256
PA14_30680,88,93,97,128,131,178,828,1081,1482,1481,1062,1714
PA14_24210,374,303,193,323,186,192,51,60,99,115,62,121
PA14_35820,3962,4563,3116,5270,3447,7078,12,17,19,28,24,34
PA14_44620,1636,1960,1029,2380,1297,2507,68,73,87,96,88,138
PA14_45870,428,366,268,402,229,229,25,18,21,36,37,37
