,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA0084,118,90,91,94,103,106
PA5054,1421,1022,900,880,879,853
PA5034,905,923,983,902,751,577
PA2340,25,19,29,24,29,30
PA4360a,56,53,36,55,45,63
PA3632,214,233,231,263,231,162
PA4185,227,210,227,158,192,166
PA0318,1364,1287,1205,1517,1556,1619
PA5120,224,188,213,171,173,180
PA0723,640,649,628,613,670,628
PA1318,278,299,242,257,323,276
PA1159,1400,1400,1558,2074,2391,2334
PA0371,370,296,276,479,463,525
PA2453,1040,794,933,1157,652,465
PA2654,2639,2216,2826,2851,2518,2818
PA0443,63,32,67,48,55,76
PA3037,47,38,54,50,53,59
PA5071,292,295,271,480,385,371
PA2368,56,60,53,42,45,93
PA1950,2642,3061,2840,2736,3336,4001
PA0848,101,77,39,56,79,71
PA3908,153,130,119,103,128,82
PA2507,103,122,78,230,225,270
PA4918,328,283,343,324,320,362
PA0297,1307,1414,1173,2056,2342,2104
PA4042,188,187,201,194,196,156
PA3102,1758,1544,1515,1413,1223,1463
PA1311,154,163,158,141,178,147
PA4884,33,15,26,14,17,44
PA1367,72,80,94,90,80,63
PA1615,329,296,303,408,414,429
PA0941,165,155,176,173,184,179
PA0194,77,109,97,59,72,62
PA5564,364,328,410,312,367,321
PA0075,31,22,27,27,25,39
PA3010,983,858,712,782,842,900
PA2702,132,150,85,147,142,204
PA4405,633,670,641,595,507,477
PA3245,539,586,676,973,965,816
PA3490,441,407,623,478,354,334
PA1735,242,275,228,209,238,224
PA1896,165,189,152,151,124,131
PA4313,1157,1114,1061,879,1029,1081
PA1150,1506,1270,1546,1586,1548,1465
PA2305,5100,5582,4108,4608,5573,6659
PA5531,293,378,332,324,441,478
PA4231,71,88,93,91,133,96
PA0506,11462,10207,10767,5716,4716,4525
PA2485,533,394,376,586,655,613
PA3737,1819,1830,2417,2433,1876,1686
PA3389,18,26,26,16,24,21
PA5286,374,389,572,347,249,228
PA3842,109,125,62,137,106,128
PA5538,245,287,248,329,253,299
PA0248,313,301,324,296,281,343
PA4571,1281,1206,905,964,865,872
PA1710,1956,1864,2279,2312,1831,1724
PA5064,577,429,449,936,799,856
PA3202,873,970,934,1031,999,1051
PA2740,900,773,1002,932,919,832
PA3670,468,462,484,666,709,689
PA4823,4,9,3,1,-,4
PA5098,1576,1928,1481,1601,1694,2027
PA1035,370,429,404,359,417,337
PA4157,421,431,497,557,481,484
PA3999,2092,1715,1785,2424,2544,2336
PA0155,49,54,64,54,52,62
PA5187,344,275,249,324,407,364
PA0870,5033,5163,4378,5514,6293,6788
PA1289,1070,695,450,679,744,922
PA0793,536,677,499,586,760,821
PA1792,352,321,244,361,373,293
PA3677,1891,1871,1356,2398,1792,2288
PA3157,3095,2940,3096,2971,3008,2859
PA4167,41,22,41,35,44,33
PA1952,100,82,67,96,70,89
PA2258,132,98,153,117,76,69
PA0808,138,112,110,120,151,146
PA1326,143,92,115,126,120,158
PA4936,1638,1785,1772,1414,1391,1356
PA4849,50,74,68,73,60,65
PA1682,352,310,365,414,278,255
PA3639,877,837,1022,1067,1208,1045
PA3373,582,536,470,552,465,637
PA4179,235,280,184,204,255,221
PA5479,1540,1335,1562,1950,1350,1040
PA3111,3389,3350,3680,3578,3328,3346
PA2209,44,38,23,36,48,37
PA4198,245,208,232,318,329,340
PA0140,1043,948,995,960,674,644
PA3938,83,103,92,90,105,80
PA2030,203,189,189,272,264,279
PA3497,222,159,167,246,322,294
PA0281,50,40,46,59,57,71
PA5290,386,362,345,362,289,350
PA5554,5396,4602,4964,5892,5514,5026
PA5180,205,218,185,278,223,280
PA5543,62,82,71,97,97,89
PA2122,529,591,367,206,239,231
PA0646,1036,991,769,1003,1129,1064
PA2397,361,361,296,319,331,379
PA0566,527,539,452,476,514,554
PA4913,631,585,414,433,514,504
PA4125,52,80,46,34,52,82
PA1708,905,918,953,1306,1233,1267
PA0179,2695,2271,1423,1503,2700,2426
PA0341,396,432,446,469,618,476
PA3426,778,872,673,636,696,903
PA0714,1539,1169,1171,755,481,361
PA2950,1170,1097,1468,1429,1322,1277
PA5507,70,84,100,119,121,111
PA1330,157,136,115,166,151,171
PA1353,314,343,309,269,403,473
PA3553,106,112,107,88,99,85
PA2109,378,123,373,439,143,161
PA3697,984,826,874,1109,1242,1149
PA0423,1818,1746,1328,1924,2389,2079
PA0173,133,114,127,96,130,112
PA4646,288,267,227,255,235,256
PA0967,849,937,1092,966,955,873
PA3147,2472,2460,2656,2104,2206,2023
PA4436,243,185,163,242,226,218
PA0528,60,88,99,91,53,73
PA2556,264,233,205,259,369,358
PA2978,449,396,446,562,550,475
PA5231,8721,7967,9280,6009,3869,3498
PA2138,163,188,117,152,183,191
PA0167,262,393,333,365,395,308
PA0066,292,246,296,286,303,249
PA2387,378,472,334,426,470,495
PA0342,1165,1018,1026,1087,885,882
PA4377,1598,1315,1874,1616,1408,1401
PA5011,1535,1480,1365,1368,1282,1309
PA2101,207,200,144,194,183,171
PA4639,1812,1863,2051,2225,1654,1520
PA2712,221,176,269,345,289,289
PA3079,745,828,895,1730,2444,2320
PA3281,131,130,114,146,168,179
PA1043,229,218,211,246,336,357
PA2380,306,269,272,309,281,314
PA3931,39,32,21,20,25,29
PA1647,471,374,380,514,365,340
PA1916,96,84,37,96,91,80
PA5334,1475,1233,1353,1275,1195,1154
PA5257,3003,3080,3118,3029,3008,3077
PA3868,125,148,105,98,114,111
PA5091,793,684,652,751,795,692
PA2010,1113,1145,1148,1105,986,997
PA5213,1550,1363,1269,1058,1442,1320
PA0660,732,620,513,945,1218,1128
PA0265,1730,1804,1676,4481,4896,4756
PA3921,2078,2460,1953,2000,2271,2711
PA3213,766,667,628,755,885,831
PA1086,2376,2279,2634,2715,2606,2560
PA3185,2464,2546,2388,2330,2055,2146
PA2011,1005,1418,1799,1751,1816,1964
PA5021,460,435,486,466,382,313
PA1386,745,515,442,470,531,525
PA2797,837,760,765,896,1203,1006
PA3080,643,723,792,2056,2349,2470
PA1478,260,257,356,350,332,298
PA4094,235,216,197,203,243,281
PA0474,19,31,15,18,19,14
PA3055,258,296,230,261,273,204
PA3549,38,25,22,41,23,29
PA1513,327,326,335,376,374,384
PA1435,159,130,125,150,156,142
PA4060,81,109,87,70,78,73
PA5167,664,509,529,704,755,688
PA1070,271,353,358,287,290,380
PA0055,445,473,392,572,439,459
PA4539,1558,1545,1468,1657,1690,1650
PA2763,18,19,9,27,21,20
PA1339,433,476,498,536,621,534
PA1899,35,35,10,12,33,45
PA4985,94,87,61,222,221,290
PA3951,676,601,551,477,437,415
PA3137,480,404,408,414,489,535
PA0451,4179,4566,3737,1728,1562,1990
PA3857,1227,1136,1077,1193,1279,1173
PA0494,140,164,126,180,160,173
PA0521,44,48,25,31,44,36
PA3007,515,504,495,444,421,372
PA2410,86,83,64,79,96,94
PA3687,1222,1433,1062,1301,1614,1636
PA0396,7622,6239,5029,5072,3804,3557
PA5429,1489,1113,961,2790,1948,1825
PA5375,136,126,144,126,114,76
PA3472,1187,1066,1416,1162,985,918
PA5263,1525,1412,1472,1796,1569,1469
PA1064,211,208,235,272,377,320
PA2534,882,936,888,852,618,719
PA3390,39,25,38,41,31,25
PA0747,1754,1676,1280,2060,2367,2131
PA1058,143,127,114,149,122,120
PA3327,3575,3703,2927,3129,3532,3584
PA1222,807,864,929,869,854,871
PA3356,1539,1588,1349,2792,3039,2965
PA0463,385,433,449,467,447,418
PA1973,990,1044,1014,1579,1122,1709
PA4625,735,733,654,706,736,746
PA4021,1367,1462,1213,1137,1519,1706
PA3154,1232,1208,1692,1203,992,947
PA3465,3511,3180,2752,2605,2257,2449
PA2545,286,316,234,316,385,366
PA4822,347,341,309,328,273,324
PA3716,908,851,781,926,861,823
PA0887,7815,9608,10269,18461,16845,22035
PA1934,200,175,240,364,274,254
PA4838,119,115,80,119,109,119
PA2374,222,226,175,200,150,218
PA1490,36,33,31,38,53,51
PA3484,123,104,115,100,125,125
PA1754,2308,1950,1907,1910,2079,1823
PA0698,31,37,24,20,30,32
PA5093,1250,1589,1612,1386,1409,1512
PA1608,644,517,506,500,538,465
PA1871,19615,19747,11433,13398,17280,16672
PA3706,1060,1077,1024,1067,942,954
PA0390,871,827,810,768,649,630
PA2251,295,245,219,302,273,264
PA2370,109,90,82,56,73,84
PA2390,210,223,223,261,182,235
PA0803,140,163,102,133,133,122
PA5117,1567,1442,1812,1698,1288,1203
PA0096,18,9,3,21,13,19
PA3757,28,29,19,36,31,32
PA5431,143,154,149,202,183,203
PA0040,163,135,168,104,90,86
PA4486,166,184,194,214,207,269
PA5436,2286,1461,2079,2040,1290,1326
PA2513,30,54,35,34,70,67
PA4286,641,665,625,718,606,754
PA4729,564,438,484,654,509,508
PA5111,702,669,545,580,602,628
PA0594,3411,3145,3073,3062,3764,3321
PA0012,210,212,189,286,217,167
PA4134,1438,1505,870,1268,2205,2328
PA1988,69,104,78,123,104,135
PA1504,203,195,201,252,268,246
PA1373,426,408,500,415,400,451
PA2679,962,1113,1146,2832,1775,2312
PA1536,203,194,211,733,979,976
PA0910,152,161,108,135,161,156
PA0114,1078,869,685,704,859,718
PA4232,933,937,971,1110,1051,886
PA2088,95,76,68,46,64,82
PA5520,506,427,376,362,435,514
PA2612,1756,1557,1640,1924,1964,1692
PA4380,333,424,405,415,415,439
PA2440,76,77,71,59,91,86
PA1393,256,256,194,168,192,138
PA3761,342,331,345,231,255,237
PA0947,1196,1084,1282,995,960,804
PA0860,1080,1039,1220,972,851,899
PA0384,56,57,44,39,80,84
PA3361,621,658,427,241,261,200
PA3732,334,300,343,362,347,347
PA4141,30885,31327,26234,19343,14609,14136
PA1298,22,18,13,25,19,16
PA2700,222,233,216,270,251,277
PA2460,291,288,468,279,157,142
PA1665,174,123,141,168,100,78
PA0992,714,602,668,703,809,752
PA0620,1385,1424,1351,1280,1431,1550
PA4817,19,15,33,24,19,24
PA2608,197,140,153,173,186,112
PA0007,1290,1236,1085,655,757,711
PA4149,62,100,83,96,70,103
PA4722,1755,1868,1487,1417,1511,1776
PA3346,3662,3612,3027,2714,3088,3188
PA2474,79,65,49,56,68,63
PA4229,18,26,24,12,29,29
PA4532,317,263,223,276,313,292
PA2359,112,122,126,85,121,83
PA4842,2211,2248,1905,2090,2325,2318
PA3646,2306,2252,2392,2472,2579,2383
PA3479,5305,5002,4098,2487,3417,3202
PA3523,68,89,55,28,78,63
PA2772,141,134,176,124,143,138
PA1138,123,112,99,173,116,131
PA4688,162,130,161,154,195,228
PA3371,38,50,38,50,76,97
PA0760,691,681,894,868,642,657
PA1442,864,753,853,1002,802,742
PA4671,10907,10163,13798,12447,8361,7667
PA0915,85,93,92,66,56,70
PA3852,1338,1430,1392,1497,1674,1665
PA1981,12,31,25,28,24,39
PA5370,374,397,353,417,412,393
PA0705,923,751,592,772,623,632
PA2681,195,189,173,216,199,235
PA0618,483,451,479,434,495,588
PA4662,763,635,891,826,807,790
PA4270,29503,26456,24915,22058,21379,18958
PA1703,657,578,630,687,586,512
PA1360,218,228,223,220,200,213
PA0253,242,239,268,267,277,246
PA2964,1412,1340,1356,1716,1262,1450
PA3231,88,143,87,115,142,136
PA1430,7735,7092,5610,5025,6366,6132
PA3334,58,117,70,52,97,97
PA1661,390,351,412,290,278,215
PA1827,110,93,108,153,82,82
PA1880,892,838,806,836,803,987
PA4291,700,673,762,713,573,556
PA0224,130,108,74,97,100,98
PA3721,786,687,434,1297,1154,1273
PA2983,898,783,985,961,720,644
PA3775,55,45,47,70,73,54
PA2299,282,185,130,216,191,248
PA4650,57,46,56,61,48,60
PA3132,164,169,145,137,153,191
PA4392,188,151,162,192,146,185
PA0813,449,402,370,430,428,455
PA3662,932,757,500,1067,1521,1395
PA5016,1892,1665,1673,2017,1932,1916
PA2498,86,91,119,77,80,85
PA3718,97,65,83,61,83,97
PA5320,1471,1424,1658,1672,1401,1268
PA3449,17,12,13,24,28,36
PA2940,324,257,277,255,290,249
PA4656,460,442,403,328,361,419
PA3626,1173,1086,1239,1491,1260,1409
PA4508,109,68,76,73,126,102
PA0373,2118,2275,2748,2837,2206,2225
PA2802,707,834,927,945,828,836
PA4257,5126,4791,4763,4606,5254,4622
PA2687,150,131,139,130,197,184
PA0234,121,102,113,143,137,111
PA2593,259,225,202,194,256,211
PA4594,350,366,284,228,323,263
PA2551,613,539,554,510,595,582
PA5458,180,186,222,244,252,230
PA4603,317,404,380,303,402,322
PA4928,1573,1455,1613,1207,1035,972
PA2726,196,205,164,179,201,190
PA2813,1425,1494,1226,1959,1951,2105
PA5173,3162,2916,2417,2416,2216,2314
PA1401,105,100,108,110,105,146
PA3314,293,248,241,296,333,339
PA0993,19,29,21,21,22,11
PA0499,173,195,143,183,224,221
PA3312,322,320,299,306,286,306
PA3797,1089,1021,838,1081,1212,1301
PA4095,11,9,15,14,2,15
PA2092,91,89,86,100,89,76
PA1548,616,527,579,644,645,533
PA3252,111,123,75,118,128,113
PA2249,3559,4522,4433,3654,4460,4931
PA0418,331,338,326,327,343,372
PA3260,471,494,536,526,421,449
PA0546,3103,2786,3178,3622,3601,2876
PA2817,835,788,818,815,819,771
PA0999,1833,1516,1341,188,188,154
PA4635a,257,311,256,262,228,276
PA0321,149,198,148,136,118,173
PA3065,142,119,130,116,156,128
PA3257,5331,5770,5241,5643,6928,6249
PA3131,245,276,249,324,271,311
PA0555,1284,1095,1140,1340,1715,1407
PA0917,1430,1328,1196,1385,1490,1356
PA1876,1098,1011,872,847,971,1260
PA0608,322,353,341,447,469,390
PA1333,628,592,624,945,826,929
PA0897,1040,1017,882,433,575,624
PA2880,61,57,65,54,63,65
PA3926,108,113,125,159,164,164
PA1732,276,301,284,287,259,227
PA5440,606,606,625,841,654,582
PA0663,735,769,743,822,764,643
PA4852,2447,2333,2995,1865,1697,1471
PA4556,485,492,459,533,373,265
PA0089,30,38,36,23,39,28
PA3669,975,972,921,849,916,1017
PA2909,189,201,209,215,187,222
PA4561,1620,1640,1696,1597,1433,1287
PA0188,59,58,52,40,46,30
PA1453,3235,2982,4280,4015,2979,3389
PA4781,1460,1371,1019,684,918,1127
PA2286,201,185,260,209,185,162
PA2262,153,142,130,105,84,92
PA3728,689,698,597,632,711,706
PA0794,1343,1542,1210,1426,1708,1898
PA4749,1437,1460,1532,1846,1812,1568
PA3174,95,80,103,131,161,108
PA4962,124,124,155,193,153,169
PA4081,160,144,94,144,128,96
PA3748,363,308,292,412,459,422
PA0061,982,991,810,1258,1060,1255
PA0350,366,405,369,318,427,401
PA2588,1152,1073,727,767,917,911
PA0787,727,734,756,878,649,765
PA1888,1410,1144,958,509,483,526
PA4758,2383,1859,2585,3101,1849,1639
PA1830,7834,7553,7122,13715,14539,13207
PA3333,392,421,406,325,422,415
PA5336,325,272,313,386,336,340
PA5215,2471,2194,2735,2658,2087,1987
PA4381,434,347,389,338,379,323
PA2509,32,35,49,46,100,158
PA5398,280,231,290,261,238,233
PA3839,2724,2661,2569,2683,1687,1632
PA1814,1023,986,921,939,875,887
PA3121,1330,1383,1434,2305,1838,2029
PA1683,378,363,296,310,257,293
PA4801,90,80,107,96,93,139
PA2755,2476,2180,2133,2190,1611,1453
PA1092,43869,35981,32631,32565,33186,33477
PA4631,1257,1185,1188,1260,1213,1099
PA5309,246,228,249,538,539,462
PA3166,1311,1282,1105,1435,1494,1463
PA0843,316,366,310,324,280,334
PA3969a,931,907,1078,962,772,838
PA4170,156,228,203,230,279,244
PA3559,196,120,155,126,229,157
PA1804,21935,22629,21356,19278,23035,20447
PA0625,1436,1340,1506,1099,1336,1513
PA3863,142,142,178,208,241,245
PA3351,8270,7419,7859,7153,6981,7028
PA0812,285,251,218,255,239,273
PA5273,222,222,190,227,228,237
PA1849,7,12,8,4,4,2
PA5192,3554,3357,4187,4569,4102,3314
PA0978,85,69,50,79,56,81
PA4669,6046,4624,7430,4443,2786,2557
PA2165,363,382,324,314,370,446
PA4922,30333,21872,13585,22238,18198,15949
PA4762,3547,2486,1445,1927,1903,2042
PA5517,220,189,253,203,207,168
PA0879,124,118,131,104,122,138
PA2894,455,417,412,520,512,470
PA2523,174,130,122,189,150,182
PA1697,459,363,490,748,439,475
PA0338,896,862,935,839,1095,901
PA4512,696,759,702,934,963,855
PA2164,264,268,254,266,282,278
PA0918,276,269,220,247,286,292
PA4336,483,425,421,582,467,586
PA3973,1625,1710,1592,2361,2298,2659
PA5208,2167,2037,1502,1965,1903,1848
PA0584,481,428,487,599,537,564
PA1101,2265,2006,2783,2643,2050,2054
PA3594,236,233,184,162,222,320
PA0152,389,355,328,359,293,247
PA0769,1335,1085,846,1032,1091,1062
PA2437,260,258,256,170,215,241
PA2587,1613,1893,1639,1527,1974,1913
PA0831,774,741,864,986,1020,955
PA0108,1158,1092,810,618,748,764
PA3425,94,103,79,120,145,105
PA1119,301,247,200,255,344,356
PA0362,493,457,605,556,568,471
PA0301,482,516,516,670,730,647
PA4003,975,927,1192,1141,1059,1013
PA3680,374,342,443,432,327,327
PA1055,243,217,213,220,183,179
PA1120,566,458,612,616,582,603
PA2417,557,595,533,482,420,470
PA0579,8309,8079,10746,7872,5204,4478
PA5241,3504,3665,3632,4023,4340,3833
PA5145,348,301,367,466,370,393
PA2405,7,11,3,5,29,13
PA0400,565,488,394,642,641,604
PA0925,203,165,161,209,174,206
PA3089,941,848,653,622,498,600
PA5222,605,566,565,662,561,524
PA2680,76,91,66,89,74,122
PA2574,270,265,235,233,344,303
PA2876,545,519,719,650,462,542
PA2497,251,266,248,288,289,298
PA3368,86,53,88,101,82,91
PA4837,170,179,190,193,162,124
PA2146,159,161,158,156,258,319
PA3918,511,503,447,457,447,483
PA0837,5777,6307,7603,6179,5574,5118
PA4821,257,234,274,265,245,229
PA5495,2863,2681,2788,2227,1505,1627
PA1569,94,93,73,128,92,95
PA2144,721,711,552,686,788,833
PA3889,192,211,209,206,235,192
PA3754,576,490,475,565,669,659
PA5108,699,711,694,647,673,542
PA4696,2228,1951,2034,2897,2823,2650
PA4714,3393,3840,3670,3714,2699,2638
PA1492,51,60,57,61,70,62
PA4345,1299,1347,1089,1295,1343,1410
PA4085,26,44,34,30,32,22
PA2074,48,68,29,37,35,56
PA3502,5,5,13,8,13,6
PA0699,96,87,82,83,91,111
PA5191,209,243,174,156,269,226
PA2632,444,410,295,293,264,260
PA5144,119,131,164,128,81,81
PA2216,43,52,61,54,44,35
PA4788,78,84,67,109,110,81
PA3155,6418,6104,6952,5266,5943,4987
PA3653,1696,1507,1890,1920,1850,1578
PA1784,311,301,219,196,262,242
PA5156,185,212,199,186,135,109
PA4249,6066,5791,6802,5261,4053,3319
PA2896,782,720,621,635,541,582
PA2288,223,182,214,200,219,210
PA4906,602,511,588,604,521,590
PA4105,27,19,9,11,33,22
PA5496,1838,2132,1569,1435,1545,1538
PA5239,7803,7881,8976,7281,6306,5088
PA0095,1960,1716,1241,1591,1508,1460
PA2641,3860,3488,3276,4483,4304,4414
PA2171,306,377,252,274,418,442
PA4869,384,379,424,447,400,431
PA4354,118,100,107,133,119,120
PA3913,545,468,547,640,372,351
PA2854,6524,6211,6055,6072,5304,4907
PA2061,118,114,113,91,81,122
PA4400,1025,1017,945,1298,1064,1279
PA4976,240,299,230,214,259,247
PA1799,149,162,198,194,157,154
PA0984,242,219,263,377,321,267
PA1233,40,34,33,50,54,61
PA1024,160,189,159,168,175,237
PA5008,932,938,887,870,904,808
PA4364,1681,1466,2434,404,331,338
PA2562,4178,4009,3787,3712,3203,3825
PA4371,174,167,147,180,250,219
PA2828,627,609,787,680,734,556
PA3876,168,151,118,195,167,157
PA0035,236,262,236,284,227,233
PA2041,485,470,415,686,784,737
PA4710,405,397,304,372,448,402
PA4282,2285,2460,2341,2337,2607,2483
PA3648,5243,4910,5790,5594,5370,4791
PA0202,157,192,151,139,150,131
PA5310,606,575,547,699,746,675
PA0422,603,713,545,500,468,409
PA5140,703,726,691,801,819,885
PA0533,472,436,462,443,432,491
PA2990,1550,1414,1103,1590,1403,1431
PA2023,4353,4677,5260,3988,3684,2996
PA2929,85,75,83,59,81,94
PA3986,1905,1945,1339,1097,1480,1794
PA3952,3049,2710,2184,1405,1345,1651
PA2995,521,416,427,521,502,477
PA2069,1073,1344,560,456,1141,1300
PA3416,1070,1048,1091,617,707,813
PA1462,1110,1139,1172,1332,1158,1154
PA3698,716,680,621,896,883,916
PA2621,3737,3407,3327,4107,5115,4721
PA1777,59625,48464,52002,55377,58067,49714
PA0013,193,141,140,142,121,154
PA1271,318,271,324,386,407,393
PA2259,385,280,337,196,104,133
PA5294,546,531,446,517,331,448
PA4588,925,914,1130,908,983,812
PA4526,2853,2933,3059,3002,3237,2543
PA2934,81,69,78,93,99,88
PA0680,49,40,49,59,34,32
PA4808,1453,1342,1377,1606,1137,1430
PA4997,2352,2446,2787,2801,2550,2419
PA0687,115,83,99,101,67,102
PA2830,2719,2683,2036,2040,2048,2058
PA0758,549,587,662,732,566,476
PA1746,19872,19571,18069,20237,16364,18109
PA2055,143,144,127,129,119,130
PA3301,420,395,366,393,347,337
PA3738,344,304,435,471,320,399
PA1620,73,52,90,144,53,50
PA2449,1028,1013,1251,1276,1240,1120
PA1293,279,299,297,466,591,481
PA1093,1194,1061,1052,805,919,932
PA2281,464,375,517,447,366,371
PA3401,208,253,233,295,241,312
PA5419,21,36,36,25,39,28
PA5179,178,142,115,175,209,168
PA4428,791,620,607,612,625,520
PA2840,1541,1372,1928,1309,565,557
PA0433,27,41,26,39,38,46
PA1557,7155,5835,4241,6427,6507,6075
PA5449,489,489,482,636,639,641
PA4616,332,265,352,200,147,168
PA5392,19,20,17,11,10,20
PA4695,563,513,615,669,610,607
PA4409,1957,1945,2072,1754,1927,2072
PA2866,710,754,629,695,671,612
PA1971,91,76,85,104,102,115
PA1210,139,173,142,129,172,150
PA2667,1304,1378,1529,1575,1480,1448
PA3888,176,195,142,222,157,174
PA3862,98,119,139,116,178,144
PA0023,733,835,564,840,1115,1091
PA4546,888,834,940,991,830,728
PA1852,7447,6740,7698,5238,5726,5416
PA4268,10865,9605,13147,11476,9764,8697
PA2673,94,84,86,80,54,80
PA3535,645,660,531,584,742,865
PA1654,186,160,201,173,184,176
PA2762,60,58,57,62,75,75
PA1859,158,146,148,117,179,178
PA3455,2067,2096,1852,2495,2277,2463
PA1014,874,742,793,960,1004,867
PA4489,1689,1745,1636,1771,1696,1860
PA1477,2845,3046,3018,3180,2664,2724
PA4027a,349,308,359,264,271,324
PA0585,151,118,130,143,198,163
PA4673,1316,1085,1487,1517,1145,1002
PA0630,206,170,261,177,186,282
PA4878,535,558,630,489,593,645
PA1399,382,397,422,498,452,544
PA0049,896,580,937,1132,870,1007
PA2782,147,69,125,172,62,94
PA3040,3081,3137,2459,2899,3246,3572
PA3036,75,99,68,74,87,109
PA0735,98,104,71,86,110,120
PA1052a,208,159,124,223,141,196
PA0903,2148,1788,1966,2303,2170,2322
PA2350,67,74,76,85,67,79
PA5470,91,95,98,86,70,87
PA3329,507,541,520,430,426,557
PA2005,598,507,477,543,572,587
PA2900,866,901,952,1154,960,946
PA4464,2243,2162,1431,1885,1778,1809
PA4183,383,471,478,419,440,379
PA5364,879,899,778,1033,1180,1007
PA4954,1466,1430,1347,1077,1109,1073
PA1727,2577,2159,2892,2865,2084,1936
PA2790,142,122,87,74,85,82
PA3385,11289,10339,9386,9822,9801,9089
PA4475,3685,3079,1767,1498,1921,2196
PA2036,30,17,29,36,27,14
PA4113,429,400,455,417,224,234
PA3566,18,6,22,21,23,24
PA2941,471,511,387,570,632,597
PA4581,578,618,566,533,498,463
PA3588,158,143,126,151,154,150
PA2622,1085,938,669,835,1071,749
PA3244,1618,1497,1677,1977,1927,1735
PA0635,121,142,170,152,158,162
PA3238,809,872,785,757,904,904
PA1594,176,197,193,234,260,199
PA3046,1177,1070,1680,1419,1209,1156
PA4895,55,68,62,60,61,58
PA3519,87,64,69,59,66,67
PA5135,290,299,255,344,221,255
PA3810,2221,2177,3019,2685,2249,2254
PA2920,2925,2571,2224,1421,1410,1722
PA4454,678,639,588,809,787,703
PA4660,752,678,799,1051,712,741
PA1485,104,75,64,102,88,82
PA1960,290,231,263,296,197,241
PA2131,132,119,113,151,140,135
PA5410,125,98,110,95,127,78
PA2159,281,340,242,297,325,412
PA1078,328,347,382,162,226,192
PA3819,15221,15123,17620,16037,13578,14255
PA4209,687,688,575,340,438,421
PA0629,354,291,262,241,252,387
PA5080,820,705,784,968,843,826
PA3176,128,118,97,129,105,151
PA2328,933,978,851,739,1089,1225
PA4703,323,246,128,199,278,243
PA2331,653,650,422,520,772,889
PA0115,307,287,377,263,255,238
PA5201,1027,1032,923,1046,989,939
PA1948,316,405,387,368,626,594
PA3849,728,672,617,649,728,626
PA1549,3963,3886,4078,4470,3106,3083
PA1264,203,248,194,250,222,261
PA1010,2007,1998,2203,2303,2029,1910
PA4044,2831,2563,2930,3049,2704,2563
PA4903,115,178,155,160,100,167
PA3290,2154,2166,1880,2085,2048,1985
PA2085,33,21,25,19,29,23
PA3262,2607,2579,2801,3156,2645,2280
PA1125,348,370,254,436,442,546
PA3013,1919,1710,1784,2289,2366,2193
PA4323,808,895,824,743,736,810
PA5352,32,22,24,15,23,37
PA3807,2933,2744,3777,3139,2415,2321
PA3780,43,47,36,41,37,50
PA1194,216,201,184,218,241,208
PA5082,120,90,165,116,164,166
PA3209,28,38,26,25,14,24
PA1325,71,62,67,94,123,96
PA0931,295,273,269,276,336,301
PA1347,92,107,80,99,63,75
PA4310,3414,2812,2433,1999,1941,1893
PA1711,768,648,737,815,719,737
PA0869,818,725,845,842,871,809
PA3943,894,967,1049,718,720,755
PA0389,433,375,426,470,449,444
PA1089,712,634,892,776,827,829
PA4296,1315,1272,694,682,950,1051
PA0859,735,718,533,597,492,595
PA4524,1237,1226,1572,1398,1006,957
PA1280,91,74,65,66,58,72
PA0223,172,171,137,113,124,143
PA3811,852,773,768,959,845,939
PA0955,1005,928,863,1245,1212,1073
PA0736,225,256,232,212,344,276
PA0500,330,408,419,312,402,326
PA4538,1600,1546,1394,1954,2084,1912
PA5393,68,79,49,45,64,77
PA3762,2091,1853,1721,1907,1479,1362
PA0249,283,289,258,221,237,282
PA2773,96,99,70,114,67,71
PA3675,599,590,586,626,603,487
PA4647,741,742,715,1029,1075,868
PA4485,56,74,61,77,41,72
PA3427,179,170,169,159,258,229
PA5380,642,707,515,443,578,565
PA2102,103,125,115,106,143,129
PA1514,95,68,81,81,113,103
PA2025,3240,3185,3175,3326,3538,3426
PA3939,90,101,110,87,90,45
PA0532,102,82,88,90,92,88
PA3078,376,349,438,507,433,367
PA0262,596,576,619,555,577,448
PA5555,5161,4232,4176,3936,3654,3759
PA4233,1329,1330,1595,1571,1206,1177
PA4287,44,48,36,53,30,57
PA0817,58,67,75,75,71,72
PA3552,119,102,105,89,125,128
PA0985,359,334,389,300,274,325
PA4112,3761,3532,3372,2903,2870,3573
PA5542,203,262,278,265,362,325
PA2019,51,43,57,93,46,58
PA1108,106,85,85,97,111,125
PA0340,308,284,336,241,224,237
PA3251,92,99,96,101,132,120
PA5116,254,197,192,197,172,204
PA0713,4680,3607,4090,4943,5535,5004
PA0171,51,32,60,71,56,45
PA0556,213,224,184,216,231,291
PA0666,3831,3630,3725,4398,3833,3666
PA0527,585,483,402,541,479,413
PA1724,48,31,55,65,41,58
PA3498,223,162,165,195,222,201
PA4515,115,67,87,81,125,104
PA5090,222,181,274,252,194,226
PA0424,760,614,555,971,979,879
PA2121,190,263,161,141,189,189
PA1881,106,114,77,142,105,144
PA2018,354,288,305,329,317,278
PA3645,1040,883,800,938,968,733
