,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA5158,626,486,432,395,403,506
PA4773,99,77,115,59,81,54
PA5482,437,641,464,529,1078,1121
PA1113,607,599,589,648,495,568
PA1371,912,1016,1171,1016,852,981
PA0269,55,75,50,96,103,84
PA4138,217,148,160,227,214,205
PA3959,67,81,88,90,66,86
PA0005,730,628,768,678,567,557
PA5355,280,437,327,303,311,256
PA1499,50,50,39,28,40,68
PA1854,392,374,354,455,373,400
PA1805,3751,3367,3540,5144,4791,4505
PA0700,45,49,39,60,33,49
PA1522,272,315,370,325,342,292
PA3517,235,181,141,156,182,203
PA5345,2188,1936,2082,2887,2840,2949
PA2227,660,690,919,506,399,370
PA3022,1207,1298,941,1342,1685,1725
PA3589,75,59,48,39,61,55
PA2927,160,168,95,154,182,188
PA4190,462,526,507,623,596,666
PA3303,215,250,269,228,228,248
PA3482,2294,2243,2276,2814,3056,2892
PA2434,352,305,373,434,263,321
PA0043,184,198,172,184,149,241
PA4898,99,80,97,110,68,85
PA5343,504,564,514,606,643,702
PA1140,320,228,324,415,419,368
PA4905,178,137,139,170,183,211
PA2694,150,157,155,191,200,242
PA2136,100,100,57,72,83,80
PA1626,118,81,132,195,110,148
PA4313a,393,400,306,374,434,462
PA4469,19,15,15,28,36,32
PA0432,2273,1877,1826,2400,2638,2373
PA0361,1160,1155,1017,1056,909,1010
PA5491,1111,994,1316,1080,788,689
PA4916,1854,1878,1662,969,972,1075
PA4199,645,696,559,643,816,864
PA2157,162,153,112,155,125,132
PA4502,572,532,552,478,579,527
PA2048,134,177,126,281,200,316
PA3339,493,514,509,568,560,520
PA2785,10,2,5,6,4,8
PA1349,64,72,52,40,69,69
PA2779,849,715,443,614,590,614
PA0587,2948,3045,2965,2228,2576,2443
PA3944,596,536,569,369,363,408
PA1643a,335,326,237,241,323,288
PA2572,2535,2242,1392,1228,1482,1557
PA4876,3084,2955,2106,2515,3022,2922
PA2116,4745,1571,3839,6777,1816,1863
PA3392,114,119,155,119,245,211
PA1417,84,103,97,85,95,95
PA2839,124,141,116,158,143,152
PA1957,139,139,180,254,163,171
PA0945,923,799,982,847,988,771
PA4207,420,444,305,255,286,234
PA0402,1986,1686,1677,1925,1337,1410
PA1573,280,307,188,247,300,296
PA0801,176,220,192,224,240,220
PA0659,606,494,476,676,702,671
PA4615,429,357,302,480,566,436
PA1019,84,110,107,102,82,73
PA3560,159,192,186,183,214,203
PA3767,649,578,460,569,649,642
PA5451,343,372,423,516,495,472
PA1506,319,241,374,387,256,270
PA1291,211,186,226,228,294,307
PA2636,198,189,277,134,113,114
PA5196,367,301,223,342,346,337
PA3418,8094,7341,4401,2680,3491,4369
PA4564,254,265,251,261,270,223
PA4627,288,295,301,346,246,316
PA5147,1037,1080,901,1045,1064,1240
PA0592,499,393,446,476,414,370
PA4119,285,339,414,387,290,350
PA3971,227,207,215,322,225,322
PA4480,905,898,945,1124,805,805
PA1944,587,589,536,639,684,694
PA5557,2148,1908,2182,2322,2059,2032
PA0856,1391,1426,1315,1509,1366,1246
PA1825,457,474,566,561,428,404
PA5105,1437,1374,1449,1651,1611,1565
PA3042,625,575,543,482,503,488
PA1100,795,660,604,1070,857,685
PA4931,1616,1258,1112,1659,1700,1663
PA0633,455,456,549,425,482,558
PA3602,751,762,580,870,936,922
PA3532,1191,1029,1284,821,562,508
PA0971,2724,2563,2769,2948,2679,2488
PA5473,3010,2728,2611,2280,2072,1901
PA2962,930,786,923,1045,936,1041
PA1567,480,454,403,419,308,361
PA4011,775,707,734,885,869,857
PA4675,231,241,255,258,246,233
PA3580,662,610,692,375,359,292
PA4191,35,54,40,52,64,57
PA3363,1022,1220,1492,1195,1299,1343
PA0303,535,492,506,607,638,701
PA3644,1397,1292,1459,1423,1352,1178
PA3683,768,722,719,637,433,463
PA0021,611,433,518,695,358,409
PA4210,22,18,14,3,5,3
PA5362,1076,1144,1206,1390,1350,1282
PA4586,65,72,66,82,82,82
PA2403,109,125,97,120,188,182
PA4747,6181,5961,8809,7120,5835,5300
PA4686,645,642,596,501,787,712
PA3786,798,748,727,757,842,674
PA2254,43,51,34,47,40,33
PA1596,6578,5003,3952,5544,4812,5047
PA2981,2097,1980,1960,3030,1887,2071
PA1419,78,86,95,106,207,214
PA2053,47,43,32,26,32,65
PA1259,232,260,221,225,226,292
PA4433,3190,2866,3295,2716,2139,1773
PA3496,287,266,295,317,350,341
PA1962,32,44,33,33,34,54
PA5279,838,807,779,916,1081,867
PA4263,5129,4490,5729,5254,4729,4011
PA4970,350,312,372,331,360,335
PA0150,220,197,201,200,123,175
PA1336,569,547,637,555,488,509
PA0652,4255,3908,3855,3697,2804,2419
PA2095,120,103,65,97,103,127
PA3630,135,131,100,137,159,147
PA3817,568,505,516,531,412,448
PA2760,4059,3811,4193,4017,3461,3136
PA5137,591,734,587,805,1106,1001
PA0019,2166,1937,1815,1976,2685,2159
PA2784,23,23,21,19,22,23
PA1161,181,181,146,165,140,184
PA0314,440,436,339,349,458,344
PA4667,1115,1214,1452,1700,1794,1556
PA1531,171,133,131,228,197,197
PA2843,553,508,448,533,530,614
PA2378,2420,2459,2359,2219,2218,2401
PA4522,556,488,571,614,495,502
PA4478,604,593,646,616,475,492
PA3236,161,174,167,156,195,183
PA2007,2420,2812,2359,2915,3437,3654
PA3629,1313,1245,1019,1289,1513,1277
PA3028,918,898,786,1264,1267,1447
PA3030,172,179,192,239,162,199
PA0613,103,93,82,104,98,111
PA4607,25506,24154,22768,21408,30985,31444
PA3723,2633,2947,2161,1638,2263,2367
PA2683,287,273,276,311,330,331
PA3243,901,817,833,909,1004,956
PA1493,388,345,398,455,572,459
PA3570,4176,4840,2586,3950,9079,6935
PA2996,567,584,545,672,685,583
PA3710,1379,1567,1678,1432,2002,1842
PA2192,30,28,17,35,22,29
PA2333,102,115,87,81,74,112
PA1695,174,155,174,228,180,172
PA4901,109,96,88,73,105,104
PA5322,3203,3039,3063,3242,3006,2912
PA2670,74,85,66,69,106,90
PA4752,1445,1198,990,1225,1090,1089
PA1261,176,144,131,140,121,194
PA2886,447,424,281,10158,13255,13406
PA2750,170,177,166,171,174,164
PA4103,22,15,4,19,10,25
PA1155,1230,1156,830,1284,1308,1118
PA5252,1902,1830,2154,2303,1844,1705
PA4968,448,455,478,423,375,441
PA5084,246,213,519,184,171,211
PA0845,321,282,282,302,233,233
PA1463,2333,2054,1936,1632,1478,1665
PA4942,3452,3290,3815,3435,3526,3095
PA1836,198,180,144,203,193,233
PA2757,60,65,129,56,37,45
PA1744,52,35,25,37,40,71
PA4974,1821,1855,1757,2059,2179,1983
PA0820,903,892,878,957,1201,985
PA2037,419,425,506,411,368,323
PA2472,89,91,68,63,61,67
PA2284,98,109,84,101,90,94
PA4863,486,479,449,420,569,488
PA2326,159,165,116,105,91,117
PA1282,161,193,169,172,158,149
PA5275,528,474,525,582,615,656
PA0960,395,430,449,256,228,306
PA1764,227,205,162,246,251,282
PA2346,85,100,64,113,92,91
PA0441,72,89,77,85,94,64
PA4159,37,22,28,66,43,39
PA3456,1155,1014,1129,1430,1010,1013
PA1550,3998,3539,3668,4184,3609,3537
PA1910,172,163,145,132,134,160
PA0214,558,618,527,831,923,1462
PA2820,1562,1533,1275,1480,1558,1361
PA4514,627,625,672,602,694,719
PA5519,269,253,207,257,296,273
PA0712,83,58,64,142,120,77
PA4479,319,461,401,497,324,276
PA2294,20,35,27,38,40,38
PA4052,1250,1071,1114,1430,1227,1231
PA1099,1482,1284,1498,2018,1661,1701
PA4980,109,81,77,81,98,116
PA5007,732,801,736,698,775,668
PA3850,805,683,518,632,594,683
PA4455,971,878,1193,1140,1082,1006
PA4956,545,627,594,533,478,420
PA0825,40,38,36,37,37,35
PA4293,516,556,522,378,357,400
PA3912,354,330,323,507,323,316
PA3422,227,227,162,200,214,206
PA4977,247,236,232,289,314,298
PA2809,229,205,231,281,337,309
PA5194,368,410,458,479,442,408
PA1107,222,196,170,197,315,309
PA3402,327,357,298,397,355,309
PA2150,63,91,56,70,71,93
PA4493,5732,5501,6379,6281,5479,5372
PA2202,78,51,52,65,76,70
PA4070,440,336,276,411,461,427
PA4177,39,45,20,29,36,19
PA3837,240,293,244,281,320,341
PA0063,460,527,510,596,543,554
PA3739,513,566,514,489,455,523
PA1488,137,119,82,167,125,162
PA1733,499,488,446,353,456,477
PA4544,2201,2151,2399,2169,1864,1689
PA4690,696,536,622,789,691,684
PA4829,494,503,488,445,426,543
PA0203,43,51,43,45,52,48
PA2912,18,33,35,16,28,31
PA3267,1205,982,1216,1036,918,1014
PA0157,695,743,506,689,637,716
PA0200,843,813,467,517,529,541
PA4634,912,772,815,727,726,778
PA4764,6524,7229,7889,6867,6512,6044
