,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
PA14_16640,620,594,454,469,336,559,551,412,394,359,382,297,284
PA14_16660,45,47,96,63,109,43,53,72,55,58,210,96,99
PA14_16670,19,22,20,35,28,20,20,21,23,22,25,21,22
PA14_16680,42,58,63,78,93,47,31,50,71,61,88,57,71
ppc,50,57,63,69,64,26,39,35,37,39,21,22,27
adk,107,136,141,174,190,155,136,153,145,176,94,49,71
PA14_16710,7,8,15,15,12,8,11,15,13,14,5,5,4
PA14_16720,17,14,23,22,23,13,22,21,14,17,15,7,6
PA14_16730,12,11,7,3,12,25,27,24,29,25,37,21,29
PA14_16740,8,6,15,14,19,11,8,6,5,8,4,2,1
PA14_16750,4,2,2,6,2,1,3,0,0,1,1,2,0
PA14_16770,4,10,16,6,5,12,14,9,16,10,6,2,1
PA14_16780,10,13,7,8,8,16,25,6,14,18,12,7,9
PA14_16790,18,19,12,16,10,26,43,25,37,27,27,20,21
PA14_16800,13,27,23,32,22,12,22,13,17,14,7,4,9
PA14_16820,47,65,107,78,66,55,62,25,28,28,20,12,18
PA14_16830,11,15,17,30,26,16,16,10,28,12,10,5,10
PA14_16840,7,13,29,28,31,16,17,21,19,19,24,16,11
plsB,25,31,24,25,22,32,42,54,36,54,46,32,27
PA14_16870,1,7,6,8,11,10,8,4,9,7,7,3,6
PA14_16880,3,1,1,4,2,0,4,0,1,2,4,2,4
PA14_16890,3,4,6,2,8,9,11,8,11,14,8,3,5
PA14_16910,3,5,9,6,5,6,6,11,6,17,8,12,12
PA14_16920,6,2,4,3,3,4,3,5,4,4,3,3,4
PA14_16930,9,11,10,7,7,9,27,10,5,19,11,8,7
dapD,14,13,22,25,28,16,25,19,11,19,15,5,8
PA14_16960,8,7,12,7,9,5,7,5,5,7,3,0,4
PA14_16970,9,11,11,16,16,6,13,18,8,12,16,19,15
PA14_16980,7,4,7,9,7,12,7,10,10,4,11,5,7
PA14_16990,15,27,17,18,11,16,20,21,7,21,11,9,13
PA14_17000,2,0,0,0,1,1,0,1,0,2,2,1,1
PA14_17010,11,17,14,14,12,21,26,17,11,12,9,17,9
PA14_17030,23,17,12,11,12,17,17,28,29,25,11,10,10
glnD,41,48,44,38,40,58,59,59,56,65,48,25,64
map,49,60,54,73,74,94,96,92,131,119,121,85,96
rpsB,184,279,355,388,546,498,497,434,534,659,401,246,278
tsf,153,202,347,382,472,483,483,430,508,576,302,123,177
pyrH,48,64,106,97,121,112,127,112,124,143,51,31,55
frr,72,51,135,150,139,139,163,124,148,183,88,45,59
uppS,39,47,81,72,79,110,126,98,92,124,55,14,29
cdsA,12,9,17,10,14,35,52,39,34,57,15,12,18
dxr,19,14,17,17,10,60,79,67,51,65,27,16,20
PA14_17140,73,57,91,86,84,151,142,170,128,124,105,87,119
PA14_17150,182,154,174,165,130,345,363,383,358,393,350,295,331
PA14_17170,64,64,90,76,63,188,187,151,171,191,144,125,110
lpxD,72,53,69,51,46,153,167,156,121,156,92,46,64
fabZ,74,56,55,73,92,94,84,75,113,89,142,117,118
lpxA,88,73,101,100,125,169,169,138,161,157,164,137,120
lpxB,28,23,19,19,20,33,44,35,60,35,39,19,29
rnhB,14,9,7,6,7,33,23,19,34,26,25,19,25
PA14_17250,23,13,30,38,61,51,45,40,44,34,31,29,34
dnaE,96,91,104,97,121,176,167,143,135,190,102,60,87
accA,299,269,304,474,475,312,306,195,354,253,346,213,195
PA14_17280,27,35,70,44,50,42,35,31,32,41,26,12,15
pyrG,134,137,180,167,190,219,260,217,239,323,238,157,157
kdsA,43,51,95,66,70,123,167,113,133,160,96,57,56
eno,128,142,183,137,150,367,400,307,338,386,173,102,127
PA14_17330,14,7,10,7,14,16,29,16,30,12,8,15,10
ispD,14,17,10,3,7,15,36,22,15,20,6,12,11
PA14_17350,2,4,4,5,3,3,9,8,5,12,4,6,4
PA14_17370,8,8,12,11,15,21,25,11,16,19,7,6,9
PA14_17380,3,5,4,3,6,6,4,7,4,1,7,6,5
adhC,26,19,22,38,25,39,35,35,28,36,37,38,27
PA14_17410,10,6,13,0,9,8,10,11,9,15,6,8,5
ispF,7,12,7,13,12,12,9,15,9,17,12,4,7
truD,17,14,14,14,14,22,31,20,25,19,11,6,9
surE,24,24,20,29,17,32,32,26,22,29,26,12,20
pcm,15,11,18,21,11,35,31,21,31,24,27,12,22
PA14_17470,183,173,286,273,276,248,231,314,245,191,319,262,278
rpoS,349,442,729,708,780,380,350,350,390,417,712,319,285
fdxA,31,40,52,64,35,90,108,75,99,92,88,97,110
mutS,20,21,21,35,22,37,47,40,40,52,24,11,17
PA14_17510,4,5,3,5,10,7,8,5,9,4,3,5,5
PA14_17520,4,5,13,12,11,2,7,4,13,5,2,4,3
recA,68,93,115,110,113,99,100,82,87,106,76,52,49
recX,9,17,17,14,19,23,27,15,10,17,11,9,18
PA14_17550,48,49,55,64,49,40,50,50,47,47,60,55,87
PA14_17570,49,40,59,44,56,39,52,63,50,47,38,60,39
PA14_17580,31,74,87,74,68,41,57,47,48,47,48,42,44
PA14_17590,7,6,2,4,5,15,10,8,10,6,9,12,15
PA14_17600,18,2,8,6,1,11,5,14,8,6,15,18,14
potD,5,2,1,5,2,4,4,2,5,5,10,4,6
potC,2,3,2,0,0,4,1,1,2,3,3,1,2
potB,6,1,2,4,3,3,3,1,1,3,3,3,1
potA,0,3,2,4,1,3,0,3,2,6,2,0,1
PA14_17650,5,5,6,3,2,5,5,9,6,5,1,1,3
PA14_17660,11,13,17,9,9,7,12,12,7,9,5,11,10
PA14_17670,11,15,26,35,34,27,27,23,15,18,14,9,15
dgkA,7,9,2,7,7,5,6,14,9,7,2,8,5
PA14_17690,44,41,56,41,34,16,34,22,23,22,28,24,12
rpmE2,13,4,10,17,5,16,31,19,30,31,19,34,41
rpmJ_2,7,5,8,12,7,11,12,10,16,12,10,17,22
PA14_17720,13,10,14,6,8,17,12,18,19,11,19,11,19
PA14_17730,12,7,8,8,8,12,12,10,2,10,13,12,20
PA14_17740,8,6,9,18,5,7,12,5,8,4,12,8,13
PA14_17760,4,6,7,6,6,7,4,10,9,11,4,1,4
PA14_17780,3,2,3,4,4,3,5,6,5,3,6,1,2
PA14_17790,3,3,5,8,6,4,7,5,4,3,5,9,8
PA14_17810,2,2,1,5,2,1,0,4,6,1,2,2,3
PA14_17820,0,2,1,1,1,1,3,3,1,0,2,0,0
PA14_17850,0,0,0,1,0,1,0,1,0,0,0,0,1
PA14_17860,2,5,2,3,4,2,3,4,4,4,2,1,4
PA14_17880,0,2,1,3,1,0,1,0,2,1,0,1,1
PA14_17890,4,6,12,11,8,3,5,4,3,2,1,4,3
metR,10,11,16,18,17,9,17,9,8,7,8,10,6
PA14_17910,60,95,91,65,63,74,68,51,71,40,5,4,7
glpM,15,16,26,18,17,32,22,22,19,33,8,3,6
glpD,199,233,226,152,154,437,541,489,441,496,456,326,503
glpR,41,33,22,12,12,38,44,41,35,39,32,24,30
glpK,334,333,307,143,169,331,431,385,342,387,236,141,143
glpF,100,105,103,84,82,150,170,211,180,174,184,197,187
PA14_17990,19,24,27,14,15,42,31,35,24,31,19,10,18
PA14_18010,24,24,23,18,17,30,42,40,25,52,16,14,16
PA14_18020,11,14,16,9,10,27,15,15,15,9,12,11,14
PA14_18040,1,4,7,4,4,6,8,5,5,8,8,6,4
PA14_18050,12,19,14,7,11,10,7,20,14,8,11,5,11
PA14_18060,1,0,0,0,4,1,3,2,2,1,3,2,0
PA14_18070,1,1,5,2,3,3,5,3,4,0,8,9,9
