,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
dnaA,100,107,139,107,115,183,178,129,147,168,146,70,104
dnaN,69,82,102,82,95,93,131,104,113,123,94,63,66
recF,46,30,57,47,53,70,86,68,79,80,79,56,60
gyrB,142,125,166,148,145,238,273,199,191,231,236,107,107
PA14_00060,37,10,14,32,35,29,34,28,37,42,30,33,40
PA14_00070,12,11,10,3,12,9,20,11,11,12,10,12,11
PA14_00080,42,43,54,39,60,70,74,85,60,71,85,52,65
glyS,18,27,40,22,36,31,62,28,55,60,21,10,13
glyQ,12,13,22,20,22,21,22,26,22,27,14,11,2
tag,6,9,8,10,14,15,20,12,13,10,14,4,4
PA14_00120,34,18,31,21,29,56,47,41,35,42,52,41,47
PA14_00130,13,7,2,8,2,11,12,15,17,3,28,20,27
PA14_00140,5,9,3,9,6,11,16,6,11,13,13,13,17
PA14_00150,5,1,4,0,3,2,3,7,3,2,6,6,5
PA14_00160,5,3,12,7,10,7,10,11,12,17,8,10,3
trkA,22,27,32,24,31,56,56,41,42,43,51,28,34
PA14_00180,13,10,10,7,6,22,28,7,15,9,12,11,6
fmt,12,7,10,5,4,13,22,16,10,10,15,6,4
def,36,39,49,54,44,74,71,76,57,54,143,90,147
PA14_00210,29,29,28,42,27,33,41,49,43,51,54,36,45
PA14_00230,0,1,1,1,2,0,2,0,3,0,3,3,2
PA14_00240,6,13,20,19,31,18,18,20,20,26,8,10,16
qor,14,15,27,28,26,12,12,15,16,17,14,4,9
hemF,16,17,21,17,14,22,23,24,30,29,28,14,19
aroE,4,11,10,4,11,7,17,12,10,10,11,2,14
plcB,41,59,85,68,76,49,60,49,80,75,41,37,36
PA14_00310,36,51,75,48,42,31,33,29,42,21,16,13,14
PA14_00320,1,2,2,7,7,5,8,3,3,4,2,1,3
PA14_00340,2,1,2,1,9,4,4,3,7,1,5,6,3
PA14_00360,1,2,2,2,1,1,2,3,0,0,3,0,1
betC,3,2,4,3,4,4,3,3,5,5,5,2,7
PA14_00400,4,8,9,7,3,3,7,1,2,4,4,1,3
PA14_00410,7,4,4,5,5,6,5,7,6,8,3,5,3
PA14_00420,1,3,4,1,0,5,2,1,0,1,0,1,6
PA14_00430,2,0,0,4,0,4,3,2,3,4,4,1,4
trpA,6,15,12,20,13,10,4,8,4,11,7,7,6
trpB,17,29,89,64,45,76,60,60,48,62,47,74,93
trpI,1,4,1,3,1,3,4,7,4,3,1,1,2
PA14_00470,112,103,79,104,95,156,120,129,109,98,247,256,233
PA14_00480,494,679,681,666,624,779,704,944,720,620,746,858,773
PA14_00490,6,2,5,2,9,6,3,6,8,9,6,0,4
PA14_00510,20,17,27,31,22,33,26,29,24,20,48,43,47
PA14_00520,5,0,1,2,1,1,3,5,1,2,9,8,4
PA14_00530,6,3,1,4,11,9,13,7,5,14,13,12,11
PA14_00550,6,3,7,6,6,2,6,5,1,1,6,8,4
exoT,9,12,8,9,13,12,8,8,9,11,23,19,10
PA14_00570,0,1,6,3,1,3,5,10,3,2,8,3,0
PA14_00580,0,2,1,1,0,3,0,1,5,1,1,0,0
PA14_00590,8,17,18,15,15,10,14,6,5,10,4,1,3
PA14_00600,11,19,40,27,25,7,10,6,8,15,0,1,0
PA14_00620,78,152,248,203,226,43,65,56,64,52,8,4,1
PA14_00630,12,8,17,15,14,22,27,16,30,16,27,26,31
phzH,21,42,66,65,89,21,47,23,47,35,68,58,46
PA14_00650,21,23,40,45,28,16,18,28,32,25,33,31,24
PA14_00660,8,6,6,11,14,6,7,6,8,12,2,1,5
PA14_00670,12,20,24,28,17,13,18,24,20,15,16,14,12
PA14_00680,2,1,2,0,0,3,2,0,0,0,2,2,1
PA14_00690,4,2,4,2,8,3,4,1,2,2,2,1,5
PA14_00700,3,1,2,4,1,0,2,0,3,5,2,3,1
osmC,176,268,248,224,170,152,203,217,184,135,145,131,93
PA14_00720,43,43,32,22,22,36,47,33,36,33,50,37,45
PA14_00730,28,21,35,29,27,32,34,25,19,20,37,32,31
PA14_00740,4,5,5,11,14,9,15,13,22,20,15,8,5
PA14_00750,8,7,3,8,5,8,12,10,14,12,11,13,17
PA14_00760,1,6,4,10,4,6,12,6,8,5,3,3,2
PA14_00770,3,5,9,7,4,8,5,5,4,4,2,2,2
PA14_00780,4,4,8,3,10,5,2,5,10,3,6,3,6
prlC,39,40,51,39,29,36,59,37,50,51,36,24,21
PA14_00800,6,6,8,8,6,8,6,6,7,9,3,6,6
PA14_00810,5,8,0,3,3,4,5,2,0,2,5,3,6
PA14_00820,15,27,27,45,37,25,53,40,18,32,22,13,17
PA14_00830,54,62,51,78,78,85,69,90,65,64,89,98,122
PA14_00850,2,0,1,0,0,2,0,2,1,1,1,1,2
PA14_00860,0,0,0,0,0,1,0,0,0,0,0,0,1
ppkA,5,4,4,2,2,6,6,4,1,6,7,4,5
PA14_00890,2,1,0,2,1,0,1,1,1,1,0,1,0
PA14_00900,3,0,1,0,0,1,3,0,2,2,2,1,0
PA14_00910,14,6,12,10,1,7,15,17,15,9,6,1,8
PA14_00925,3,1,1,2,1,8,5,6,3,2,5,0,8
PA14_00940,1,1,12,3,3,8,10,6,6,6,7,1,6
PA14_00960,1,1,1,1,4,6,8,10,3,5,0,1,2
PA14_00970,1,1,5,0,2,7,13,6,16,9,7,3,6
PA14_00980,30,28,32,38,26,29,50,57,51,37,48,45,56
PA14_00990,18,25,31,35,31,53,58,64,42,40,28,22,25
PA14_01010,6,10,15,12,21,23,52,42,26,36,44,7,12
PA14_01020,18,16,36,42,26,57,115,65,53,61,31,6,18
PA14_01030,11,9,18,15,17,22,27,27,24,22,18,3,8
PA14_01040,1,1,3,2,6,5,6,14,3,6,4,6,8
PA14_01060,0,0,0,2,1,1,5,1,1,2,1,0,0
PA14_01070,6,5,3,5,5,4,8,10,4,5,4,2,3
PA14_01080,3,6,1,2,1,3,2,4,2,1,3,1,1
PA14_01100,6,10,13,8,8,12,18,17,5,8,9,6,11
PA14_01110,11,5,10,6,8,10,14,14,7,11,9,6,13
PA14_01120,0,0,2,3,1,2,5,4,1,2,3,4,3
PA14_01130,1,4,3,1,4,2,4,7,7,7,9,3,8
PA14_01140,2,5,5,6,7,5,8,5,7,7,6,3,4
PA14_01150,0,0,3,5,3,3,6,6,3,4,7,7,5
PA14_01160,54,56,83,87,83,84,86,131,83,78,90,76,92
PA14_01170,1,1,4,5,1,4,6,4,1,2,6,4,2
PA14_01180,2,0,4,4,3,2,7,9,4,4,3,1,2
PA14_01190,3,2,2,2,2,2,5,5,1,6,5,3,3
PA14_01200,8,4,7,7,4,9,7,9,6,6,18,14,10
PA14_01220,3,4,10,3,4,10,6,7,7,7,16,14,7
PA14_01230,1,1,1,2,0,2,3,4,2,4,3,4,4
PA14_01240,44,36,52,64,60,55,51,36,72,62,105,47,79
PA14_01250,9,26,37,50,73,18,31,20,26,42,12,7,9
PA14_01270,16,23,37,37,40,17,19,19,39,27,13,3,5
coxB,199,340,440,476,492,215,200,235,207,255,374,359,348
coxA,84,154,219,169,181,48,55,55,78,76,69,58,64
PA14_01310,25,40,31,26,33,12,22,8,17,7,22,13,14
coIII,57,77,79,103,100,69,62,57,53,56,77,75,91
PA14_01330,9,15,18,20,13,7,10,13,7,8,19,11,18
PA14_01340,16,16,20,17,14,9,9,12,9,6,2,4,1
PA14_01350,5,5,12,7,10,5,5,3,7,6,1,1,1
PA14_01360,1,5,7,3,7,2,4,7,4,6,2,1,7
PA14_01380,5,4,16,7,10,7,2,7,6,7,7,12,9
PA14_01390,16,10,17,12,10,14,10,13,12,13,12,13,19
PA14_01400,8,6,10,6,10,12,7,8,17,9,5,6,7
PA14_01410,5,8,11,16,16,8,6,14,7,8,6,9,8
PA14_01430,4,1,6,1,2,0,2,4,0,1,5,4,0
PA14_01440,4,1,4,2,5,5,2,0,3,1,2,0,4
PA14_01460,3,8,13,7,7,7,9,10,6,6,15,12,10
PA14_01470,5,8,4,8,7,2,6,5,5,6,4,2,5
PA14_01480,0,3,5,7,3,6,4,3,5,2,5,4,3
PA14_01490,634,593,704,726,738,832,538,504,408,429,708,488,462
PA14_01500,31,44,62,43,60,63,72,34,29,59,30,25,17
PA14_01510,4,9,3,1,5,7,4,7,5,9,6,7,12
PA14_01520,7,2,2,7,2,1,3,4,3,0,4,4,6
PA14_01540,5,1,6,17,3,7,13,7,9,13,5,3,4
PA14_01550,4,3,1,3,2,2,1,7,4,2,5,4,0
PA14_01560,14,6,12,16,8,30,22,25,21,27,34,32,42
gabP,29,25,22,12,20,12,17,14,32,18,20,14,12
PA14_01600,73,68,92,73,75,100,114,86,84,65,89,65,93
PA14_01610,5,4,2,6,5,5,13,1,4,2,1,3,4
aptA,24,19,17,31,30,49,31,18,19,19,17,12,16
PA14_01640,2,3,5,3,5,4,7,7,6,16,11,1,10
PA14_01660,11,14,14,9,14,15,17,9,14,19,25,18,23
PA14_01670,2,2,4,0,1,1,1,5,1,2,3,2,3
PA14_01680,1,0,1,0,1,0,1,0,1,1,1,1,2
PA14_01690,2,3,1,4,2,6,2,6,4,3,5,2,6
ahpC,775,1453,1894,1624,1550,652,860,279,941,554,355,234,165
ahpF,147,306,390,312,243,91,103,30,110,58,16,22,15
PA14_01730,48,69,101,63,87,62,70,58,62,38,55,71,102
PA14_01750,30,32,44,40,49,13,20,17,10,18,9,6,3
nuh,35,41,40,59,50,29,46,49,46,42,23,16,21
PA14_01770,13,19,30,28,22,22,12,22,41,28,20,19,22
PA14_01780,20,25,28,28,35,18,14,21,28,22,17,8,9
PA14_01790,5,0,2,4,5,1,6,5,1,7,5,4,2
PA14_01800,2,2,3,5,3,2,2,5,2,1,1,2,0
PA14_01810,6,9,9,8,2,4,2,5,2,4,8,5,3
PA14_01830,7,11,14,21,16,12,9,11,17,13,18,8,8
PA14_01840,2,0,0,1,2,5,5,4,5,2,2,2,0
PA14_01860,0,3,1,2,4,1,9,3,2,4,0,3,1
PA14_01870,2,0,1,6,0,5,12,4,10,6,4,2,8
pcaQ,4,7,7,3,4,6,2,8,8,6,7,7,6
pcaH,2,2,1,3,4,4,3,5,3,1,5,3,0
pcaG,4,3,3,5,1,7,2,10,4,3,1,1,2
pcaR,0,3,2,3,0,3,4,4,5,6,1,7,8
PA14_01940,15,25,22,31,25,30,18,26,32,25,23,22,22
PA14_01960,12,13,17,10,8,11,22,18,22,23,9,6,8
PA14_01970,65,60,83,54,67,98,127,108,124,127,87,64,62
PA14_01980,6,11,11,10,7,16,27,13,22,19,11,13,5
PA14_01990,1,5,2,1,1,5,3,3,2,5,4,0,8
PA14_02010,13,12,9,2,7,7,6,6,7,8,8,6,5
PA14_02020,8,9,11,13,8,16,11,14,11,10,9,12,11
PA14_02030,5,4,6,3,4,6,14,5,6,10,5,4,4
PA14_02050,6,9,11,11,5,7,8,6,6,5,7,6,6
PA14_02060,4,2,8,13,16,4,8,9,15,20,9,12,10
PA14_02070,3,6,2,1,1,2,1,1,4,3,3,2,2
PA14_02090,13,16,13,19,12,16,13,19,25,29,32,34,24
PA14_02100,6,3,3,2,0,1,1,6,1,4,6,4,5
PA14_02110,5,1,1,1,2,2,1,4,4,5,1,1,1
PA14_02130,0,2,0,0,1,2,3,2,0,2,0,0,2
PA14_02140,1,0,3,0,0,0,1,1,1,0,0,1,2
PA14_02150,7,9,8,11,9,6,13,11,9,7,4,6,7
cheB,3,2,1,0,3,3,1,2,1,0,5,4,5
PA14_02190,2,2,1,1,3,0,2,5,0,0,6,1,1
PA14_02200,4,2,1,3,0,4,5,8,3,4,7,5,9
PA14_02220,49,32,31,52,44,46,42,35,40,54,43,34,29
cheW,10,11,11,4,12,10,10,10,6,17,27,14,13
cheA,28,27,25,30,25,38,39,35,33,35,50,28,35
PA14_02260,33,57,46,52,52,48,75,39,52,74,104,95,120
PA14_02270,18,37,53,57,55,43,46,38,44,56,88,58,71
PA14_02290,2,5,4,12,3,3,3,2,4,6,5,5,7
fabG_1,2,1,0,0,4,1,0,1,1,1,0,1,0
atsA,0,0,2,4,0,1,1,1,1,1,0,1,1
PA14_02330,0,0,0,1,0,0,0,0,1,0,1,0,0
PA14_02340,1,1,0,0,1,0,2,0,2,1,2,1,1
PA14_02360,5,1,1,1,1,1,2,0,0,2,3,1,1
PA14_02370,0,1,0,4,3,2,1,1,0,3,2,2,0
PA14_02380,2,4,8,3,6,1,3,2,2,4,1,0,1
PA14_02390,7,5,9,3,2,20,13,16,19,17,23,9,13
PA14_02410,0,3,6,3,6,2,3,2,2,4,1,6,3
PA14_02420,2,2,0,0,0,0,2,1,0,3,0,0,0
PA14_02435,2,1,2,3,3,2,7,3,3,3,4,1,1
PA14_02450,13,27,56,43,37,25,35,27,59,46,39,22,29
PA14_02460,2,5,8,9,4,5,8,3,9,8,2,2,6
pntB,16,34,32,38,37,27,31,22,44,26,34,36,31
tonB2,0,0,1,0,0,1,5,0,2,3,3,2,3
exbB1,2,4,3,3,1,5,3,5,5,4,4,12,8
exbD1,8,8,15,13,9,12,5,15,15,7,17,12,15
PA14_02520,6,17,28,27,24,19,19,28,16,22,15,13,10
PA14_02530,23,8,18,6,11,71,50,48,37,47,31,19,20
mdcA,63,33,53,39,28,31,35,45,28,32,26,21,18
PA14_02560,4,2,1,5,2,3,1,0,2,1,2,2,4
mdcC,1,1,0,0,2,0,0,1,3,2,1,0,0
mdcD,10,7,6,2,1,3,2,4,5,4,3,1,5
mdcE,10,1,4,2,4,6,1,4,1,5,6,1,2
PA14_02610,7,2,4,1,3,0,2,1,2,0,1,0,0
PA14_02620,4,5,3,4,6,1,4,6,5,3,7,1,4
PA14_02630,4,2,1,7,5,2,5,0,3,3,5,1,8
PA14_02640,6,2,11,5,6,4,3,6,5,6,3,2,3
PA14_02650,3,5,12,10,11,6,4,4,9,5,3,7,5
PA14_02660,3,6,2,9,6,10,2,5,6,5,5,6,3
PA14_02680,0,3,0,0,1,0,1,2,1,2,0,1,0
PA14_02690,0,1,0,3,2,2,0,3,3,4,5,1,1
PA14_02700,0,2,0,1,3,1,1,0,3,2,1,2,1
PA14_02720,0,1,0,1,0,2,0,4,1,1,1,0,2
PA14_02730,3,2,1,2,5,1,4,6,7,0,3,3,7
PA14_02740,4,7,6,4,4,2,3,4,7,6,5,0,2
PA14_02750,3,6,16,6,6,17,7,9,8,5,10,17,9
PA14_02760,2,2,1,4,2,2,1,2,0,4,4,0,3
PA14_02770,1,2,3,1,1,1,1,0,2,1,0,2,0
pcaF,5,3,2,3,8,2,5,2,0,3,3,0,0
pcaT,8,8,9,7,12,11,11,10,7,4,16,7,16
pcaB,6,4,9,6,3,4,7,5,3,3,8,2,3
pcaD,6,6,9,3,5,4,2,6,2,3,3,0,3
pcaC,10,4,4,1,0,4,3,3,6,4,8,1,7
PA14_02870,5,5,6,3,5,6,4,2,3,10,3,2,0
PA14_02890,9,6,6,7,7,2,7,5,2,2,4,2,4
pcaK,2,1,2,3,1,2,0,3,1,2,1,0,0
PA14_02910,2,1,9,4,2,6,5,3,4,4,5,1,1
PA14_02930,0,0,0,1,0,2,0,1,0,1,1,0,2
PA14_02960,0,3,2,1,2,3,2,4,2,1,2,3,2
PA14_02970,0,1,2,2,5,0,4,0,1,1,1,1,2
PA14_02980,2,5,5,4,4,4,2,4,5,7,2,5,1
PA14_02990,5,2,2,1,1,0,3,1,2,1,2,1,2
PA14_03000,0,3,1,3,2,3,4,4,3,2,2,3,3
PA14_03010,6,11,11,14,15,7,7,23,17,12,29,29,28
PA14_03020,1,0,0,2,0,2,0,1,4,1,1,2,1
aroQ2,0,2,0,1,0,0,0,0,3,0,3,2,1
PA14_03040,5,4,2,4,0,4,8,8,7,9,4,2,6
pobA,3,2,5,5,3,2,1,1,1,2,1,2,4
PA14_03070,2,6,5,3,5,2,4,3,4,5,4,2,2
PA14_03080,4,10,9,7,12,8,11,6,11,7,13,5,3
PA14_03090,24,36,48,48,54,33,40,28,37,29,41,51,48
PA14_03100,2,1,3,2,3,6,1,5,5,4,1,2,2
PA14_03110,1,1,0,1,0,1,0,1,1,0,0,0,0
PA14_03120,2,3,1,4,4,2,5,11,5,9,4,3,3
PA14_03130,4,4,5,7,7,5,6,5,8,5,7,7,9
PA14_03150,7,19,14,12,13,14,17,15,9,13,9,5,4
PA14_03160,27,44,46,81,70,72,52,60,62,73,166,144,180
PA14_03163,177,148,202,248,258,266,295,320,308,315,500,537,611
PA14_03166,29,23,32,38,24,70,60,52,56,56,132,120,117
PA14_03170,7,12,6,7,7,17,12,12,8,12,22,18,29
PA14_03180,8,7,16,12,16,15,11,9,21,9,33,20,29
PA14_03190,25,30,38,44,50,30,36,41,50,43,81,55,70
PA14_03200,30,22,23,21,30,28,33,20,26,22,61,52,54
PA14_03210,6,1,6,7,4,5,4,3,2,3,9,1,8
PA14_03220,10,19,15,37,27,40,37,29,28,27,48,40,52
hcpC,5,2,3,6,3,1,2,1,5,0,50,8,4
PA14_03250,13,18,14,19,15,22,17,20,17,25,47,30,27
PA14_03265,11,8,6,15,6,11,14,20,12,12,18,15,15
PA14_03270,31,30,38,40,38,39,66,42,53,41,112,66,66
PA14_03285,7,6,16,10,9,11,7,16,12,17,27,20,27
PA14_03290,32,3,22,16,22,30,24,23,22,32,47,31,28
PA14_03300,21,22,25,23,34,36,35,37,30,20,54,38,44
PA14_03310,14,15,27,20,23,24,25,22,26,34,78,92,91
PA14_03320,27,19,11,22,22,40,33,31,34,28,79,62,68
PA14_03330,4,0,2,3,2,4,6,5,7,8,7,15,9
PA14_03340,11,8,13,13,10,19,14,8,19,17,36,25,22
PA14_03350,17,15,22,24,28,24,26,26,19,20,35,18,21
PA14_03360,12,10,24,22,24,24,24,28,12,11,18,19,22
PA14_03370,8,7,6,12,16,12,11,12,5,12,26,18,13
PA14_03380,43,40,44,58,59,51,51,61,56,44,101,103,90
PA14_03390,5,1,3,12,5,5,5,5,7,11,13,10,8
PA14_03400,6,3,3,6,4,4,2,4,3,3,9,5,13
PA14_03410,0,1,0,0,0,0,0,0,0,1,1,0,2
PA14_03420,30,20,14,9,10,17,17,24,13,10,68,60,79
gabD,142,123,103,90,68,94,122,84,69,84,107,64,69
gabT,158,176,213,149,146,128,125,87,82,81,64,17,21
PA14_03470,13,10,17,9,16,12,14,14,15,12,8,8,1
PA14_03480,2,3,10,2,2,7,6,4,1,8,6,3,7
PA14_03490,1,11,14,13,17,7,3,3,6,9,14,7,17
PA14_03510,2,8,13,7,3,7,9,6,4,4,5,5,5
PA14_03520,4,3,6,3,3,4,6,3,3,3,10,4,5
PA14_03530,7,9,1,9,7,12,8,9,10,9,4,12,12
PA14_03550,0,0,1,1,3,0,0,0,3,0,1,0,3
PA14_03560,2,4,3,2,10,9,4,9,3,5,6,2,3
PA14_03580,12,17,16,17,6,13,13,16,12,13,9,9,9
PA14_03590,30,53,62,55,45,68,67,57,60,69,19,16,20
PA14_03610,22,43,53,47,30,35,73,28,48,42,17,3,8
PA14_03620,1,5,3,2,9,3,2,3,3,2,0,2,1
PA14_03630,3,1,8,8,8,10,9,7,6,8,6,1,6
cysA,8,7,22,19,16,28,31,17,20,31,42,23,18
cysW,4,0,7,1,4,9,20,5,5,12,27,11,12
cysT,3,0,4,1,4,10,9,0,5,5,7,3,9
sbp,92,26,91,33,22,156,118,77,52,96,109,41,30
PA14_03710,24,8,23,9,5,61,59,47,44,46,35,29,27
PA14_03720,12,10,11,17,8,22,22,26,17,27,19,16,22
PA14_03730,96,109,119,100,139,183,233,246,248,230,292,206,218
PA14_03760,3,3,3,1,3,2,4,0,5,3,7,2,4
speB1,4,0,1,4,1,0,4,3,3,1,2,3,3
PA14_03780,5,6,10,15,13,13,6,12,9,6,5,3,11
PA14_03790,10,16,18,26,19,22,15,13,20,25,15,16,17
oprE,130,88,120,108,107,111,128,171,157,167,163,99,116
aguA,28,28,32,23,32,24,33,25,18,35,46,27,36
aguB,0,1,2,1,7,0,2,4,6,2,10,17,13
aguR,6,1,2,3,4,6,7,5,6,7,4,1,2
PA14_03855,8,18,9,10,6,13,6,11,8,11,14,4,9
PA14_03860,195,94,110,79,69,141,147,112,118,124,199,113,110
spuA,49,38,20,47,29,53,65,57,38,30,131,116,129
spuB,91,38,43,24,23,71,72,69,45,46,140,82,88
spuC,82,48,61,35,51,89,111,58,58,60,82,43,45
spuD,166,178,206,150,183,186,183,209,176,171,159,84,61
spuE,33,39,60,49,57,50,45,48,49,41,57,38,36
spuF,31,25,44,31,27,41,31,26,34,31,24,13,10
spuG,14,20,21,15,20,19,25,27,25,17,21,16,20
spuH,24,18,23,13,23,23,31,20,23,22,20,5,14
PA14_03980,16,17,26,18,18,11,20,13,25,14,17,11,16
PA14_04000,10,10,15,17,15,24,32,31,23,26,14,7,6
PA14_04010,43,73,96,91,132,95,107,122,143,183,162,100,142
PA14_04020,2,1,0,1,5,4,6,7,5,4,1,3,1
PA14_04030,14,11,13,16,11,13,12,18,14,13,12,7,7
PA14_04040,12,28,24,24,22,16,24,21,35,24,27,19,19
PA14_04050,17,15,14,13,22,20,23,17,19,17,48,34,46
PA14_04060,2,2,5,2,2,1,5,4,0,6,2,5,4
PA14_04070,12,14,21,30,33,16,27,23,21,20,14,14,19
PA14_04080,8,18,22,15,25,10,24,20,18,29,13,6,8
PA14_04090,14,22,17,39,36,18,28,27,31,37,26,18,21
PA14_04100,66,93,105,139,134,121,90,114,119,112,134,110,145
serA,49,73,84,75,105,80,110,93,103,99,59,46,55
PA14_04140,41,30,45,53,47,74,54,48,53,55,35,14,19
PA14_04150,28,23,47,36,42,24,41,24,40,34,17,8,24
PA14_04160,13,26,33,26,31,27,18,32,40,38,27,23,19
PA14_04180,14,4,7,9,8,5,15,8,11,11,70,63,44
PA14_04190,8,9,6,4,10,3,4,4,5,4,5,5,6
PA14_04210,10,5,7,6,9,3,10,6,9,2,3,5,7
PA14_04220,5,1,5,4,4,7,1,2,4,0,8,5,7
PA14_04230,4,2,3,1,3,2,2,0,1,3,7,2,7
PA14_04240,2,7,4,6,9,4,6,8,7,6,16,7,13
PA14_04250,2,0,4,1,3,1,3,2,1,3,4,2,3
PA14_04270,9,6,12,9,5,9,13,20,15,7,27,20,15
PA14_04290,17,12,25,16,21,22,22,28,20,28,22,8,12
PA14_04300,151,118,221,264,279,228,231,328,286,249,393,472,473
rpiA,21,20,28,27,25,19,42,42,49,33,26,13,24
ilvA1,22,13,23,22,21,42,36,28,27,40,21,20,24
PA14_04330,9,6,13,13,11,13,16,16,9,10,11,7,10
PA14_04340,14,7,12,12,12,12,19,13,14,11,12,9,13
PA14_04350,3,1,2,1,5,3,5,3,4,3,7,3,4
PA14_04370,5,7,4,8,6,11,8,12,15,7,10,11,11
PA14_04380,9,8,15,14,7,10,25,9,14,11,7,6,7
ygdP,29,27,47,50,52,57,46,62,49,44,49,52,75
ptsP,68,85,100,80,92,92,128,116,90,115,84,79,72
PA14_04420,12,20,35,22,32,29,36,45,37,44,24,31,39
PA14_04430,5,7,5,7,3,5,8,5,11,5,8,4,3
PA14_04440,3,9,8,5,6,7,10,7,5,17,9,9,12
lgt,7,9,15,15,11,24,19,17,22,21,13,10,8
thyA,20,21,31,31,33,34,36,36,40,39,38,26,30
PA14_04490,14,9,11,14,13,21,20,10,19,13,21,9,8
PA14_04510,13,5,5,6,4,9,12,10,9,15,6,3,6
PA14_04520,16,17,11,7,9,9,15,10,18,8,10,10,6
PA14_04530,9,6,6,9,7,7,4,6,7,11,4,3,4
glpQ,6,4,10,13,12,4,2,4,6,8,4,3,0
PA14_04560,2,4,4,6,5,3,7,1,2,1,6,3,5
PA14_04570,0,4,6,5,8,3,3,4,5,1,5,5,3
folA,5,6,6,6,4,3,5,1,2,6,0,2,1
PA14_04590,3,8,7,4,7,2,5,5,5,7,4,4,2
PA14_04610,7,8,9,9,6,10,10,15,17,11,4,7,6
ilvD,49,58,94,80,80,64,80,76,77,46,68,58,43
PA14_04640,19,15,15,13,10,15,16,13,12,17,17,6,7
pfpI,79,99,69,92,51,59,39,41,51,27,67,61,38
PA14_04660,5,7,6,3,7,13,9,10,14,11,17,8,7
mutM,18,10,20,23,33,23,20,33,33,17,21,13,13
PA14_04680,5,8,9,9,33,8,11,9,16,18,11,13,15
PA14_04690,16,19,29,24,21,18,26,25,25,32,55,46,58
PA14_04700,15,18,34,42,36,41,47,41,24,38,30,19,39
PA14_04710,0,5,6,5,13,5,15,6,8,9,10,6,3
PA14_04730,20,13,19,24,22,19,18,30,29,29,16,5,14
fdx1,11,5,3,12,4,9,9,13,20,13,17,29,33
coaD,21,30,38,29,29,40,37,36,50,39,38,32,29
PA14_04780,36,54,64,64,36,12,30,20,26,21,17,16,18
PA14_04790,20,29,48,30,20,13,14,12,9,12,9,13,9
PA14_04810,55,68,123,144,92,26,29,30,36,29,35,26,34
PA14_04820,15,14,11,8,12,14,21,14,14,7,15,11,12
PA14_04830,0,4,1,2,0,9,8,6,4,6,5,2,4
PA14_04840,7,3,5,4,1,8,9,9,11,6,2,7,7
PA14_04850,1,0,2,1,1,2,6,2,1,2,1,0,0
PA14_04860,8,18,11,4,6,17,30,23,23,20,8,7,1
PA14_04870,25,28,28,23,17,30,60,39,41,43,16,12,19
PA14_04890,30,25,31,15,16,40,58,36,32,54,30,22,18
ftsY,41,32,38,29,33,43,49,38,33,43,28,19,27
ftsE,16,18,25,11,18,25,22,30,36,30,25,14,18
ftsX,26,17,30,17,16,38,57,41,41,42,33,39,34
rpoH,305,308,368,408,370,502,539,495,538,529,536,503,544
PA14_04940,20,9,10,6,5,22,25,26,20,26,12,8,12
mtgA,8,2,3,6,5,3,22,9,13,8,8,5,9
PA14_04960,7,2,7,5,7,10,5,8,5,7,9,4,6
PA14_04970,4,4,3,3,2,2,6,1,6,5,1,1,4
thiG,18,17,34,22,20,38,35,21,32,40,4,1,8
trmB,7,12,14,9,6,18,27,18,34,20,11,6,9
PA14_05010,9,12,14,17,17,11,21,17,16,17,25,8,15
PA14_05020,2,3,8,6,6,6,8,4,2,6,8,5,2
PA14_05030,3,2,3,3,2,1,5,4,1,2,1,2,2
PA14_05040,3,2,7,1,1,10,9,3,7,4,11,2,7
PA14_05050,11,23,30,34,26,31,25,37,24,36,31,32,46
PA14_05060,15,16,24,23,17,19,18,14,21,27,51,32,45
PA14_05070,3,1,6,3,5,5,9,8,5,7,9,2,5
metX,7,11,10,8,6,10,13,15,23,17,10,3,14
PA14_05110,14,11,13,19,15,5,14,11,10,12,10,12,11
PA14_05120,2,3,4,1,2,1,3,2,3,3,2,2,1
PA14_05130,7,2,9,8,5,5,14,16,17,21,16,12,10
proC,15,10,15,9,7,13,31,8,18,24,10,10,8
PA14_05160,18,20,25,24,17,18,42,27,36,34,36,30,26
pilT,50,61,57,72,77,83,100,62,90,102,116,92,84
pilU,48,53,86,80,74,83,92,91,71,83,82,85,74
PA14_05200,12,7,10,12,13,16,18,17,20,17,20,27,22
PA14_05210,15,17,13,14,9,12,8,19,16,20,22,19,25
PA14_05220,34,28,31,28,31,32,57,36,50,51,45,34,26
PA14_05230,23,16,24,16,18,16,34,30,32,35,15,8,18
pyrC_1,11,17,12,13,10,16,11,13,8,9,10,7,11
pyrB,12,16,17,14,10,20,16,19,20,17,13,8,10
pyrR,4,5,6,6,4,4,9,10,3,6,7,6,5
yqgF,5,4,2,5,0,11,6,6,3,2,6,7,9
PA14_05290,4,11,8,3,14,8,19,14,14,15,20,13,18
