,Neg1,Neg2,Neg3,Neg4,5min1,5min2,5min3,15min1,15min2,15min3,25min1,25min2,25min3
PA1408,17,8,32,39,32,82,134,8,26,59,25,13,9
aphA,15,5,13,16,11,27,35,4,3,19,10,5,2
PA1410,4,12,10,9,3,11,18,2,5,10,8,3,4
PA1411,100,72,110,142,125,87,158,52,32,43,32,7,4
PA1412,2,3,3,12,7,19,24,7,2,7,3,2,2
PA1413,88,63,80,97,103,99,150,63,54,41,77,24,43
PA1414,106,104,174,443,842,457,799,151,140,250,60,91,117
PA1415,24,8,19,22,32,84,183,8,18,119,11,11,19
PA1416,24,5,18,31,31,43,110,11,23,105,28,6,14
PA1417,31,8,22,43,47,61,174,22,14,137,18,11,18
PA1418,99,17,53,83,37,83,404,6,36,279,12,21,19
PA1419,83,11,42,54,33,72,494,8,32,183,13,11,18
PA1420,60,6,29,64,50,43,276,14,12,98,5,2,9
gbuA,121,10,46,102,57,121,504,11,48,295,14,9,27
gbuR,102,83,130,175,116,107,129,37,36,78,25,9,17
bdlA,25,18,26,39,22,73,98,8,36,54,18,6,15
PA1424,24,23,19,46,52,52,103,12,11,18,9,2,5
PA1425,192,118,210,272,121,68,164,33,21,22,28,5,6
PA1426,9,4,8,20,17,18,35,13,6,4,11,2,3
PA1427,2,1,5,3,7,20,15,5,5,11,4,4,3
PA1428,21,17,29,41,47,36,85,5,3,21,6,4,3
PA1429,60,62,74,223,304,265,938,160,69,137,82,41,38
lasR,580,333,534,534,385,765,1159,112,189,386,27,79,87
rsaL,282,284,715,502,177,398,911,32,58,119,8,19,22
lasI,2034,1113,2542,1524,2010,2429,4725,285,782,1212,66,254,224
PA1433,84,68,103,143,129,890,1763,21,154,217,21,49,37
PA1434,60,35,76,105,55,47,86,12,17,20,10,6,4
PA1435,196,134,222,287,330,332,529,135,86,164,54,32,22
PA1436,333,279,428,466,405,549,935,139,111,270,87,42,47
PA1437,54,39,76,43,63,97,118,13,27,51,8,14,11
PA1438,149,117,193,286,250,263,560,82,66,140,47,21,15
PA1439,51,37,59,76,84,122,181,17,32,99,10,9,16
PA1440,241,180,353,377,413,400,495,112,215,369,26,67,59
PA1441,858,463,735,1085,985,779,1587,185,148,359,53,52,42
PA1442,282,155,263,297,288,293,553,58,66,121,21,15,15
fliM,484,303,483,560,456,406,652,114,88,185,30,38,38
fliN,289,182,242,329,332,247,481,81,70,119,22,20,13
fliO,174,129,170,321,383,156,327,106,42,69,40,5,10
fliP,152,143,243,322,203,202,341,36,44,103,11,21,16
fliQ,48,47,49,69,75,59,96,15,19,34,6,4,1
fliR,96,72,104,126,101,118,226,22,21,46,12,10,6
flhB,135,87,163,174,134,134,252,36,22,44,17,7,5
PA1450,162,88,123,220,214,204,411,74,39,65,30,13,16
PA1451,113,93,133,192,215,164,337,44,17,60,31,5,6
flhA,956,603,937,1256,828,942,1883,119,131,305,54,31,37
flhF,877,502,671,1040,1107,824,1666,260,150,248,74,51,45
fleN,658,372,557,696,564,550,1106,112,125,242,33,48,45
fliA,420,285,518,554,344,424,708,52,85,205,18,32,29
cheY,404,205,406,381,374,215,464,52,29,107,10,8,10
cheZ,617,307,537,578,475,465,877,61,77,177,21,37,23
PA1458,1035,626,910,1334,2663,1662,3224,760,308,633,178,110,127
PA1459,290,193,281,491,499,469,1049,133,120,244,37,42,49
motC,262,198,254,334,402,260,818,122,58,161,30,16,14
motD,241,187,285,388,490,374,1029,135,54,128,32,13,16
PA1462,454,272,525,479,603,586,1190,211,102,196,44,35,28
PA1463,223,169,245,390,519,398,902,102,69,164,31,27,25
PA1464,293,160,248,264,252,287,763,56,77,160,21,35,28
PA1465,174,119,158,410,1007,311,714,408,44,99,72,12,4
PA1466,7,7,7,12,9,51,120,1,18,23,14,5,3
PA1467,62,34,57,58,78,72,138,31,11,27,16,7,4
PA1468,20,13,27,20,30,34,52,7,8,12,7,4,3
PA1469,45,31,59,87,69,63,123,9,10,24,12,4,5
PA1470,28,19,32,30,39,46,68,17,10,19,4,3,6
PA1471,15,12,14,25,38,36,56,2,24,50,1,7,5
PA1472,11,8,21,20,14,16,35,1,6,17,4,3,3
PA1473,6,5,8,14,3,16,34,1,3,12,7,3,0
PA1474,146,107,166,246,137,200,394,50,49,111,24,21,23
ccmA,219,188,271,348,352,270,453,110,91,208,32,14,28
ccmB,107,97,116,182,170,156,264,31,41,84,8,11,11
ccmC,384,299,419,549,360,394,732,72,131,246,27,29,43
PA1478,75,54,78,92,55,60,116,20,16,38,3,4,3
ccmE,231,153,303,305,369,398,554,180,109,189,49,26,34
ccmF,265,309,395,738,521,565,874,134,233,385,66,75,50
ccmG,127,122,165,238,246,246,367,62,60,164,13,21,18
ccmH,159,151,227,308,191,176,261,83,50,83,12,11,15
cycH,608,439,587,1000,1749,917,1390,1050,232,435,296,44,76
PA1484,10,10,26,21,11,60,108,1,30,30,10,8,9
PA1485,4,3,7,3,7,13,18,3,4,5,21,2,5
PA1486,6,7,7,12,12,16,26,10,3,10,13,2,4
PA1487,70,24,72,64,103,91,128,40,20,19,8,6,14
PA1488,46,27,33,61,67,56,82,20,10,22,8,4,6
PA1489,62,25,67,78,48,79,83,11,16,16,21,11,12
PA1490,30,18,42,32,20,50,42,5,14,12,9,2,1
PA1491,12,15,30,6,16,76,113,3,18,31,7,9,10
PA1492,13,10,10,9,21,26,55,11,9,11,7,5,1
cysP,469,232,409,558,329,311,441,51,133,242,16,32,59
PA1494,20,18,20,60,47,70,106,5,23,61,30,15,9
PA1495,31,21,32,54,37,20,38,14,6,10,10,3,3
PA1496,24,23,22,41,26,33,60,2,12,21,12,2,5
PA1497,3,4,7,9,12,14,39,2,5,9,7,0,0
pykF,8,6,13,14,15,30,33,3,6,7,27,4,2
PA1499,4,2,6,3,2,13,23,0,7,5,10,5,1
PA1500,7,12,7,12,4,8,31,0,5,13,11,4,4
PA1501,3,0,6,3,1,57,99,0,15,18,6,8,8
gcl,15,14,17,14,14,41,81,4,22,13,22,32,50
PA1503,11,3,12,6,7,21,20,3,4,5,4,2,3
PA1504,86,72,109,116,92,62,123,19,17,74,11,6,10
moaA2,176,150,207,261,207,296,472,30,79,106,9,21,29
PA1506,20,17,9,19,21,21,51,5,1,9,6,2,0
PA1507,35,18,24,17,22,60,115,7,11,20,17,10,3
PA1508,4,2,9,7,2,2,8,0,0,5,1,0,2
PA1509,101,88,185,125,56,125,200,21,38,40,23,18,19
PA1510,105,54,131,84,99,123,161,24,41,48,24,19,10
PA1511,70,51,98,74,76,74,169,13,32,28,22,9,1
hcpA,7,0,5,4,3,8,3,2,3,1,8,0,0
PA1513,28,31,62,57,31,108,120,5,24,52,11,11,17
PA1514,8,16,29,18,16,20,30,0,6,12,6,0,3
alc,39,36,49,39,119,124,103,56,32,37,17,12,19
PA1516,8,8,7,12,9,25,17,1,6,10,2,4,1
PA1517,15,11,24,12,19,57,39,9,20,34,11,14,27
PA1518,39,25,39,47,35,38,60,1,6,20,3,4,8
PA1519,4,4,14,15,19,27,36,7,10,11,11,10,6
PA1520,305,211,386,372,308,310,395,90,98,187,26,27,31
PA1521,38,34,38,76,60,83,157,11,34,47,17,13,9
PA1522,44,21,52,63,52,104,136,32,23,40,6,7,9
xdhB,39,27,45,39,55,124,128,14,48,74,15,16,9
xdhA,24,14,41,36,49,82,77,10,31,26,21,7,7
alkB2,5,10,19,19,6,35,36,2,12,8,17,4,6
PA1526,123,99,188,197,156,180,300,32,53,110,18,16,13
PA1527,1338,810,1341,1756,2776,1895,3409,1005,462,1045,246,115,154
zipA,1172,952,1326,1863,1471,1486,2317,430,396,690,87,98,110
lig,886,575,915,1185,1141,878,1465,508,298,486,138,100,98
PA1530,200,139,260,273,207,183,406,50,47,120,7,16,18
PA1531,18,7,19,14,15,60,187,3,26,39,8,3,14
dnaX,610,472,753,1062,1065,706,1177,303,210,431,96,58,72
PA1533,469,379,704,603,261,356,599,33,85,159,15,26,28
recR,110,95,131,192,126,181,345,42,35,99,14,8,8
PA1535,104,70,110,114,128,142,181,20,29,45,19,9,7
PA1536,9,9,15,16,12,50,50,3,9,19,5,4,5
PA1537,5,4,7,3,5,23,17,1,7,8,2,1,2
PA1538,21,12,16,6,10,22,29,2,10,9,18,4,10
PA1539,58,56,84,92,75,58,99,33,23,30,27,7,13
PA1540,6,2,5,10,7,18,36,4,4,7,6,0,3
PA1541,5,5,2,4,7,18,25,4,10,11,3,3,3
PA1542,16,8,41,31,27,64,99,3,32,59,19,14,17
apt,75,104,127,216,127,135,241,14,40,103,7,8,14
anr,363,360,494,723,696,737,1212,144,269,688,28,110,152
PA1545,31,30,80,106,65,108,152,17,32,58,6,16,18
hemN,117,114,120,559,325,455,936,54,136,216,18,99,96
PA1547,40,39,40,108,81,58,173,19,15,32,8,1,5
PA1548,44,35,42,95,49,33,125,8,13,29,1,7,6
PA1549,185,145,197,442,382,254,834,137,70,194,39,26,34
PA1550,124,95,170,242,257,193,534,76,65,132,11,16,38
PA1551,219,187,280,512,309,432,957,62,155,367,25,64,87
ccoP1,1174,1107,1400,2267,1121,1357,1171,185,596,1312,60,178,195
ccoQ1,174,166,235,322,191,213,195,44,104,203,14,55,24
ccoO1,611,586,771,1425,556,752,695,102,386,821,17,103,147
ccoN1,1436,1633,2425,3917,1435,1893,2104,210,886,1957,42,228,265
ccoP2,126,85,125,530,420,469,1995,114,148,305,26,85,128
ccoQ2,24,18,34,90,164,68,527,78,30,68,13,6,23
ccoO2,47,45,54,310,179,330,907,52,111,221,14,90,123
ccoN2,124,183,186,777,335,932,1979,63,334,573,20,235,261
PA1558,43,33,65,63,83,60,86,29,9,23,11,8,7
PA1559,159,125,111,223,145,156,277,33,33,98,15,22,16
PA1560,92,90,102,126,166,88,124,52,40,63,12,16,8
aer,283,179,301,923,339,420,1497,124,164,305,53,82,76
acnA,208,95,172,235,370,871,954,121,331,553,44,173,184
PA1563,265,199,343,428,242,193,351,53,48,121,17,17,10
PA1564,64,47,94,117,35,35,138,9,12,33,5,3,6
PA1565,22,9,14,25,45,46,214,8,19,68,9,8,5
PA1566,6,5,16,9,19,38,99,8,7,11,9,2,4
PA1567,13,7,15,18,14,43,85,4,9,17,5,0,2
PA1568,0,0,1,2,0,6,9,0,5,2,4,2,1
PA1569,5,3,5,7,8,16,13,6,5,5,14,1,6
PA1570,186,109,165,203,153,130,264,63,29,66,31,14,20
PA1571,120,78,263,98,62,88,83,3,23,24,3,9,10
PA1572,191,106,170,184,296,311,435,150,102,168,63,31,28
PA1573,52,35,37,57,82,74,105,31,17,35,5,8,8
PA1574,183,123,272,248,136,191,222,15,51,99,11,8,12
PA1575,15,21,38,35,16,43,54,2,15,19,1,3,8
PA1576,116,83,115,187,163,166,289,57,36,73,28,11,17
PA1577,14,20,30,21,12,41,48,3,11,16,0,9,6
PA1578,38,31,47,81,100,74,114,37,14,30,15,5,2
PA1579,563,314,597,547,458,378,702,120,185,302,31,51,74
gltA,1261,917,1696,1608,1032,1322,1478,193,521,986,80,155,132
sdhC,1556,1044,2013,1849,910,1014,1662,122,533,997,26,145,138
sdhD,633,364,626,744,450,664,878,55,362,709,10,142,116
sdhA,3602,2243,3000,4245,4151,5164,6562,1838,2155,3676,476,658,605
sdhB,1068,719,1145,1507,1099,1946,2164,281,941,1560,63,302,302
sucA,2317,1381,1864,2606,2380,3501,3955,660,1808,2835,147,707,544
sucB,704,440,662,933,1168,1450,1336,290,697,1039,59,272,225
lpdG,2093,1177,1655,2201,2434,2805,3263,899,1348,2142,194,489,341
sucC,5044,2925,4730,5561,3325,4376,4116,590,1511,2840,151,483,417
sucD,4761,2862,4281,5914,3959,4588,4137,767,1622,3050,161,535,421
braB,596,521,727,940,826,780,1523,296,217,521,78,54,75
PA1591,156,98,184,228,113,165,334,50,90,189,32,21,34
PA1592,467,380,512,868,1111,805,1696,73,375,1316,17,99,125
PA1593,89,51,122,123,62,75,104,14,22,58,11,9,10
PA1594,45,28,52,52,35,29,46,10,16,22,6,6,4
PA1595,197,156,255,312,387,266,422,215,50,160,69,25,20
htpG,2408,2152,5738,2510,8967,2712,1045,4910,7463,1988,1552,2557,1523
PA1597,31,39,71,110,206,65,76,195,143,66,51,54,34
PA1598,5,2,6,12,6,25,27,2,38,21,8,28,13
PA1599,27,21,27,38,53,29,81,30,25,18,17,15,11
PA1600,27,11,15,270,15,44,56,3,7,18,10,10,6
PA1601,70,22,47,489,51,76,156,25,25,32,31,19,16
PA1602,10,7,3,78,7,12,21,3,2,10,4,2,0
PA1603,21,16,40,40,34,27,39,13,4,17,1,2,1
PA1604,56,48,62,79,62,170,193,15,45,58,11,15,21
PA1605,21,11,13,13,33,50,67,4,17,12,15,12,6
PA1606,3,1,5,4,4,15,19,0,2,9,6,0,2
PA1607,942,468,859,697,2427,1940,1653,1733,511,571,293,131,124
PA1608,60,44,88,113,41,106,178,14,25,62,13,7,6
fabB,1421,1027,1398,2749,970,1006,3095,230,565,1786,44,148,183
fabA,951,558,803,1344,636,436,1462,134,285,754,32,60,99
PA1611,179,143,217,294,156,228,477,20,59,134,21,20,11
PA1612,62,40,69,85,75,72,176,20,16,40,9,2,5
PA1613,144,108,175,218,158,226,335,59,48,106,47,19,23
gpsA,206,172,247,330,257,271,431,65,97,186,14,43,42
PA1615,77,48,86,85,78,90,103,30,36,48,13,11,12
PA1616,79,48,89,168,184,108,186,70,31,54,27,5,17
PA1617,174,119,189,182,295,230,328,64,54,70,31,25,21
PA1618,88,69,95,103,46,55,85,9,20,26,5,2,3
PA1619,50,41,59,106,119,62,155,22,14,22,8,4,2
PA1620,9,3,7,29,18,9,43,8,2,6,5,1,1
PA1621,67,47,68,66,67,84,137,34,20,56,13,7,6
PA1622,56,26,51,78,74,82,142,31,20,33,9,9,13
PA1623,77,56,90,62,43,82,153,8,34,71,8,15,16
PA1624,82,61,70,142,148,113,180,61,19,61,12,12,4
PA1625,62,44,62,59,109,96,196,25,33,68,19,12,8
PA1626,53,63,87,134,103,125,152,39,34,39,13,8,5
PA1627,30,26,42,54,41,58,73,8,8,24,11,1,2
PA1628,18,11,21,20,20,33,32,8,7,10,13,2,0
PA1629,24,12,23,24,30,43,59,6,5,8,10,4,4
PA1630,133,69,111,92,131,119,131,32,44,40,20,25,24
PA1631,28,21,27,37,32,28,31,5,19,17,30,6,5
kdpF,0,0,0,0,0,0,1,1,0,0,1,1,0
kdpA,12,14,20,25,9,47,62,2,13,20,13,8,5
kdpB,27,18,20,25,19,26,40,7,10,7,17,7,0
kdpC,3,2,3,8,0,4,5,0,1,1,3,2,1
kdpD,171,112,127,226,248,152,237,108,31,57,62,18,15
kdpE,35,27,46,45,52,66,86,17,11,29,7,2,4
PA1638,73,33,66,66,48,58,67,5,17,24,4,6,4
PA1639,108,80,114,206,157,132,369,36,17,70,14,9,12
PA1640,187,114,223,200,200,211,423,47,56,118,24,18,18
PA1641,16,6,14,18,16,17,30,5,9,16,0,6,3
selD,222,168,264,371,402,348,477,154,88,185,40,37,30
PA1643,158,95,142,186,215,242,324,62,84,133,33,24,25
PA1644,46,29,49,69,76,109,159,25,37,73,9,13,15
PA1645,80,53,58,144,75,88,187,19,15,40,7,5,9
PA1646,53,24,61,59,89,98,124,48,24,41,22,8,10
PA1647,15,13,25,45,33,65,117,10,10,22,9,4,6
PA1648,12,15,19,21,17,20,34,6,10,10,11,4,1
PA1649,12,7,19,20,100,51,56,6,11,25,8,8,3
PA1650,11,6,17,15,36,61,99,13,17,29,17,4,5
PA1651,20,32,32,43,27,73,102,12,27,48,15,7,12
PA1652,102,61,113,110,113,137,225,43,35,49,27,14,9
PA1653,19,15,20,29,19,35,92,6,14,24,6,10,4
PA1654,100,63,133,165,116,187,254,49,51,85,20,18,16
PA1655,70,35,73,69,67,92,106,24,22,49,6,11,8
PA1656,293,176,246,632,447,151,852,189,33,71,66,17,26
PA1657,25,18,17,63,70,30,122,17,8,16,9,8,6
PA1658,31,31,30,111,70,58,209,14,25,39,16,10,16
PA1659,11,4,17,38,42,11,65,14,1,9,2,2,0
PA1660,32,24,32,65,58,37,213,15,10,19,16,5,2
PA1661,13,10,21,41,34,31,176,8,6,10,23,3,4
PA1662,76,42,70,125,400,88,459,146,22,47,39,7,7
PA1663,8,9,20,35,119,29,69,21,8,19,17,1,6
PA1664,0,0,0,0,6,1,1,0,0,2,0,0,0
PA1665,10,7,13,28,138,20,41,24,3,12,10,0,1
PA1666,8,3,7,19,76,7,22,13,3,8,12,2,2
PA1667,13,5,11,28,78,45,68,11,10,29,16,5,8
PA1668,9,12,7,15,94,14,39,9,9,15,11,5,2
PA1669,58,60,93,157,315,176,295,47,50,142,39,14,14
stp1,8,13,14,51,75,18,53,42,10,25,17,3,4
stk1,7,7,8,32,55,49,86,25,14,39,17,3,10
PA1672,48,17,42,46,49,58,93,16,16,28,13,10,11
PA1673,178,107,176,482,434,215,546,71,61,134,14,46,58
folE2,606,370,687,674,527,517,648,120,109,316,19,47,49
PA1675,111,84,129,134,137,146,324,35,49,92,13,12,17
PA1676,23,19,17,55,105,38,110,29,4,17,5,4,2
PA1677,85,88,142,209,121,178,308,30,39,68,10,18,20
PA1678,252,145,282,350,297,240,463,75,104,217,27,22,42
PA1679,81,45,97,137,143,219,489,46,61,144,20,25,28
PA1680,12,13,14,31,38,80,116,10,18,43,8,3,7
aroC,498,368,518,771,532,405,664,121,128,295,31,38,37
PA1682,134,106,157,216,196,207,442,38,49,83,23,7,10
PA1683,105,69,113,139,122,116,226,33,43,64,8,12,11
PA1684,106,74,146,148,164,105,181,42,24,66,12,18,8
masA,134,86,120,207,170,140,311,55,36,70,10,18,5
alkA,31,29,25,63,55,102,248,11,26,58,4,11,9
speE,467,356,558,658,390,346,504,102,110,216,23,38,35
PA1688,482,365,781,662,701,881,947,242,259,313,61,111,74
PA1689,458,382,498,794,680,873,1467,153,159,429,50,63,64
pscU,30,24,29,44,24,35,65,5,6,17,12,3,2
pscT,10,7,13,16,8,9,27,2,2,2,11,1,0
PA1692,3,5,5,14,3,7,9,0,2,5,4,0,1
pscR,57,57,92,92,42,55,112,9,24,39,7,8,4
pscQ,20,13,15,42,32,29,37,4,5,16,14,3,2
pscP,22,13,21,54,18,23,57,5,6,13,8,1,0
pscO,23,12,17,38,15,10,46,4,3,5,4,0,2
PA1697,185,95,119,231,77,78,252,15,16,56,14,3,5
popN,98,59,68,139,68,50,155,16,9,23,4,3,1
PA1699,30,12,26,28,12,16,47,6,4,7,7,0,3
PA1700,31,13,22,28,30,14,42,9,3,6,2,1,1
PA1701,18,9,12,43,16,12,18,3,0,3,3,0,1
PA1702,15,6,7,23,25,9,42,8,2,3,3,1,0
pcrD,150,64,99,144,98,95,204,26,18,53,60,8,11
pcrR,15,11,13,26,12,13,25,3,0,9,2,0,0
pcrG,44,24,25,54,27,23,84,8,3,5,3,1,2
pcrV,100,48,46,101,50,41,120,9,10,16,13,4,5
pcrH,38,30,20,64,51,17,52,12,2,13,5,2,2
popB,131,70,88,131,103,85,145,30,23,72,11,5,9
popD,87,56,57,133,75,68,116,21,24,52,9,12,6
exsC,283,164,211,230,181,212,518,37,28,103,9,5,12
exsE,86,56,45,92,117,52,155,44,5,20,14,2,0
exsB,44,32,32,61,90,52,148,31,14,35,50,1,7
exsA,308,253,395,291,160,210,586,39,35,80,28,18,11
exsD,165,107,145,217,162,174,419,59,41,83,30,17,12
pscB,84,56,59,101,70,57,175,25,5,20,12,3,2
pscC,129,82,147,192,157,165,501,45,39,73,39,15,7
pscD,160,133,124,208,171,170,427,71,26,64,23,6,11
pscE,25,17,22,33,23,16,40,6,1,11,3,0,0
pscF,32,13,27,21,16,23,39,2,5,15,0,4,5
pscG,36,27,34,74,42,89,130,16,8,22,8,2,2
pscH,45,14,11,65,37,29,58,17,8,15,7,2,1
pscI,21,23,14,31,23,17,34,3,0,7,4,2,2
pscJ,40,27,40,50,55,99,113,8,14,35,15,4,4
pscK,20,16,22,40,36,26,71,6,2,13,4,1,1
pscL,54,42,45,70,96,90,120,27,14,25,6,1,2
bglX,322,188,292,356,292,302,450,83,95,142,44,22,27
mucR,215,158,305,383,224,279,382,53,59,141,27,19,19
PA1728,77,47,86,85,75,165,234,17,50,75,9,29,45
PA1729,113,73,113,144,127,130,255,23,41,73,18,15,16
PA1730,13,12,37,27,14,79,77,4,25,33,14,19,12
PA1731,7,7,6,7,11,40,33,0,10,11,8,6,5
PA1732,10,4,6,12,14,32,43,3,7,16,9,3,3
PA1733,15,6,24,21,9,64,49,4,13,13,6,7,9
PA1734,23,25,29,46,21,33,31,2,9,10,2,2,6
PA1735,92,62,79,152,85,105,115,32,13,25,33,10,5
PA1736,19,19,21,22,20,33,39,7,13,16,13,4,2
PA1737,37,18,31,33,49,110,149,14,34,46,28,15,9
PA1738,34,34,65,43,55,81,95,14,26,27,6,18,4
PA1739,15,9,17,11,8,12,19,2,5,6,10,4,3
PA1740,8,6,13,7,22,56,89,11,21,54,22,8,6
PA1741,70,44,69,76,97,70,118,26,26,83,3,6,9
PA1742,281,131,331,184,138,232,320,38,108,125,15,48,41
PA1743,3,2,1,1,0,1,5,0,2,2,6,0,0
PA1744,0,0,1,1,1,3,7,0,0,3,7,1,1
PA1745,0,1,2,6,3,21,23,0,9,10,9,4,4
PA1746,41,17,22,252,712,168,1597,198,57,215,25,17,49
PA1747,2,3,3,4,5,14,58,0,6,5,3,4,6
PA1748,124,91,150,161,128,148,484,25,42,90,6,11,19
PA1749,419,278,487,466,347,372,655,73,90,212,20,22,39
PA1750,901,688,1106,1166,549,580,722,88,168,282,31,38,42
PA1751,72,37,53,40,65,67,69,16,18,21,5,0,3
PA1752,243,153,232,240,469,322,472,135,60,103,49,22,22
PA1753,51,38,71,75,46,100,165,13,32,45,7,15,18
cysB,460,290,465,669,358,505,787,74,163,323,27,59,66
PA1755,143,102,138,157,162,103,140,49,31,46,11,11,8
cysH,98,31,61,59,28,45,59,5,42,39,15,11,13
thrH,93,129,199,211,112,156,201,16,67,125,13,17,15
pabB,169,115,181,181,233,233,318,69,45,102,26,18,21
PA1759,217,134,254,207,254,323,491,109,92,143,49,43,45
PA1760,93,47,127,97,109,132,317,69,54,96,41,35,34
PA1761,15,10,8,11,9,10,24,4,9,7,4,2,0
PA1762,12,9,19,15,15,23,47,11,4,9,6,1,3
PA1763,9,8,12,12,5,18,33,2,4,21,14,3,2
PA1764,16,11,17,12,16,31,57,5,13,17,18,11,5
PA1765,17,12,24,16,20,44,54,10,19,13,12,1,6
PA1766,450,363,584,789,677,605,852,187,254,572,53,97,100
PA1767,420,409,742,1015,406,655,1006,90,337,740,22,81,127
PA1768,185,164,302,315,177,170,328,31,94,227,11,13,26
PA1769,197,170,379,337,120,389,694,32,143,260,16,55,40
ppsA,2799,1853,3016,3342,3129,2585,3398,1070,1121,2033,249,349,359
estX,142,97,126,193,196,225,318,57,69,136,16,25,13
PA1772,207,135,231,271,241,316,379,46,95,168,19,47,36
cmaX,155,126,237,205,292,349,517,111,148,235,30,32,48
crfX,352,268,357,547,254,333,985,78,108,271,38,36,50
cmpX,556,529,848,1099,533,652,2045,144,336,695,50,84,114
sigX,1344,1053,2078,1862,1760,1387,3281,536,468,1072,101,115,207
oprF,26475,20551,32681,39771,19330,18413,25918,3743,9777,20486,666,3080,3796
cobA,15,2,10,10,10,44,75,3,27,24,12,5,12
PA1779,10,10,10,9,11,32,55,3,18,25,20,7,8
nirD,0,0,0,0,0,8,5,0,1,0,0,0,1
nirB,6,2,9,4,1,19,34,4,10,19,32,8,6
PA1781.1,0,0,5,0,3,23,23,1,2,1,4,0,0
PA1782,4,6,13,17,19,16,22,2,9,11,15,1,3
nasA,1,1,1,1,7,1,5,1,2,4,9,1,1
PA1784,6,2,6,6,6,23,31,1,16,23,9,7,7
PA1785,5,1,2,5,8,19,31,6,5,2,3,1,6
PA1786,12,9,9,16,16,28,39,13,8,11,12,4,7
acnB,3170,1993,2525,3762,2627,2836,2951,659,1350,2240,177,459,382
PA1788,122,82,111,153,182,147,224,47,42,95,22,17,22
PA1789,37,56,77,157,106,447,471,17,154,247,17,92,95
PA1790,241,171,261,403,379,401,714,148,103,230,45,27,38
PA1791,552,576,940,981,553,451,544,103,87,153,34,28,29
PA1792,199,177,195,375,197,189,272,56,62,129,13,13,26
ppiB,714,479,787,633,342,551,603,74,158,243,13,50,46
glnS,655,382,656,710,649,745,813,188,419,712,68,127,125
cysS,948,556,797,1021,1647,1189,1394,733,501,874,231,144,156
folD,270,203,332,501,343,346,543,113,127,326,37,33,45
PA1796.1,1382,693,1380,1121,2248,806,970,2384,322,324,1335,297,306
PA1796.2,579,213,289,394,462,465,541,342,51,80,110,29,44
PA1796.3,293,143,323,247,419,94,112,252,36,42,87,2,13
PA1796.4,605,161,340,394,510,440,521,338,42,64,97,23,39
PA1797,21,24,21,44,44,204,195,2,152,145,21,69,61
parS,50,69,131,165,95,126,201,19,52,77,19,23,21
parR,37,26,46,69,29,53,55,9,17,38,10,8,8
tig,6087,4384,7238,8608,4195,4769,6596,623,1682,2975,128,533,614
clpP,1807,1098,1970,2093,1561,1493,2178,652,465,854,170,190,133
clpX,4578,3150,5410,4822,5008,3734,5492,1521,2717,2142,586,1245,758
lon,1651,1137,2500,1706,3531,2128,2607,1521,2757,1334,335,1056,804
hupB,13104,8227,16059,14622,4803,5847,10353,488,1384,2328,86,410,371
PA1804.1,5343,3032,5537,5162,1292,1066,1231,617,106,162,243,29,65
ppiD,2443,2055,3335,4277,1859,1782,2898,532,525,825,104,163,165
fabI,162,104,155,164,159,107,325,47,28,61,7,10,11
PA1807,64,81,120,135,92,126,325,27,39,98,28,19,11
PA1808,39,41,88,92,52,85,138,7,25,63,8,13,6
PA1809,69,97,130,159,105,111,203,35,50,79,11,15,7
PA1810,201,178,366,338,181,251,428,37,58,152,16,36,16
PA1811,158,119,242,223,131,213,265,14,30,91,40,15,15
mltD,450,394,726,736,475,536,818,82,155,360,40,38,59
PA1813,79,53,110,80,59,70,119,11,13,42,5,5,5
PA1814,227,132,229,204,301,294,546,107,62,108,17,9,26
rnhA,172,105,121,78,138,91,166,42,23,35,17,9,4
dnaQ,230,142,226,297,209,158,275,41,38,76,16,9,13
PA1817,46,24,41,20,55,66,149,12,13,31,9,5,5
ldcA,339,181,297,279,360,339,569,129,133,208,60,48,52
PA1819,253,165,215,360,306,291,500,138,79,168,64,18,22
nhaB,79,53,95,128,95,197,271,23,58,124,12,18,19
PA1821,654,470,888,769,462,441,676,108,67,160,22,22,32
fimL,879,573,908,938,823,691,1242,297,165,345,75,53,46
PA1823,355,258,351,411,496,358,613,188,91,178,45,34,30
PA1824,41,31,60,95,86,178,352,12,27,77,11,10,9
PA1825,74,44,88,89,131,125,162,47,29,40,20,11,6
PA1826,22,13,27,36,34,97,112,17,24,28,6,9,7
PA1827,14,13,25,29,12,20,28,5,0,3,3,1,0
PA1828,51,33,53,71,83,81,84,9,14,31,2,7,8
PA1829,32,23,42,55,43,62,93,6,20,24,20,8,11
PA1830,1457,1098,2224,2149,965,1076,1424,68,130,152,17,49,33
PA1831,145,131,286,231,166,251,259,42,41,62,18,10,6
PA1832,247,190,288,331,252,271,427,76,61,155,24,30,25
PA1833,587,336,407,573,604,384,638,200,105,160,74,29,35
PA1834,71,48,58,69,105,84,123,30,23,27,15,10,8
PA1835,31,12,26,23,43,43,42,16,10,18,9,3,7
PA1836,40,33,64,46,61,66,69,10,11,21,16,2,2
PA1837,229,57,91,119,93,104,90,39,88,62,13,13,20
cysI,858,206,299,377,192,330,284,53,371,373,31,64,111
PA1839,150,126,199,259,189,171,297,59,66,120,20,19,21
PA1840,61,38,72,65,36,82,101,4,22,49,6,5,7
PA1841,63,54,84,118,74,119,165,12,37,61,9,4,5
PA1842,73,60,97,84,96,113,131,18,32,58,12,3,6
