,Neg1,Neg2,Neg3,Neg4,5min1,5min2,5min3,15min1,15min2,15min3,25min1,25min2,25min3
PA0682,2,0,6,1,5,12,18,0,3,3,14,2,3
PA0683,8,4,8,9,15,10,15,7,1,5,7,2,2
PA0684,4,0,1,5,6,13,8,1,3,2,5,2,1
PA0685,4,2,17,9,21,29,34,6,6,13,36,8,1
PA0686,6,6,5,7,13,19,24,2,5,8,32,5,3
PA0687,1,0,2,2,7,18,24,2,2,4,25,1,0
PA0688,0,1,6,3,2,83,212,0,24,59,22,7,9
PA0689,17,11,24,26,18,129,306,4,37,60,16,14,14
PA0690,281,169,329,328,449,573,880,178,163,226,281,97,68
PA0691,3,2,4,1,1,4,1,1,0,1,12,2,1
PA0692,1,2,9,7,4,19,21,2,1,0,24,1,5
exbB2,12,9,6,16,18,16,27,4,10,8,13,3,4
exbD2,0,0,1,2,1,1,1,1,1,0,5,3,0
PA0695,4,0,3,2,2,4,6,0,1,0,10,2,0
PA0696,5,5,4,6,2,29,46,5,14,19,24,5,4
PA0697,4,1,6,2,0,0,6,0,0,0,11,1,0
PA0698,4,1,4,5,1,8,15,2,2,3,4,2,1
PA0699,16,9,16,23,21,20,27,9,3,2,18,5,1
PA0700,0,1,5,2,7,6,19,1,1,2,11,0,1
PA0701,20,8,14,24,19,17,37,7,5,8,17,1,3
PA0702,11,7,9,16,13,38,70,6,11,18,16,5,3
PA0703,24,40,45,79,33,46,97,11,10,25,28,2,3
PA0704,54,45,58,99,122,160,190,33,30,57,23,20,12
migA,269,179,319,274,189,271,321,44,71,130,25,31,28
cat,162,118,233,194,102,128,196,11,32,72,14,9,8
toxR,7,9,17,9,6,18,38,2,4,5,10,2,0
PA0708,22,23,41,31,11,32,41,1,8,4,9,4,0
PA0709,0,2,2,0,3,8,7,0,0,4,2,0,2
gloA2,4,3,4,0,1,6,9,0,5,2,2,2,0
PA0711,8,7,6,6,5,11,17,6,3,6,14,3,1
PA0712,24,14,34,35,8,15,24,3,1,5,2,1,4
PA0713,7,5,12,8,7,56,46,3,23,35,8,14,21
PA0714,5,4,12,10,13,27,27,6,5,5,21,5,5
phrD,5,9,18,9,9,187,400,1,31,34,2,6,50
PA0715,3804,1973,3749,2372,789,1549,2849,323,194,233,103,71,114
PA0716,1686,733,1537,864,248,316,943,73,59,61,213,42,33
PA0717,1,3,12,5,6,6,15,1,5,3,4,0,1
PA0718,2,7,5,7,1,8,12,0,4,2,9,1,1
PA0719,6,2,2,3,6,10,27,3,5,5,4,4,0
PA0720,32,22,55,43,21,20,31,4,2,2,15,1,2
PA0721,0,0,2,3,1,3,3,0,1,0,0,0,0
PA0722,18,11,24,42,20,32,88,6,26,26,6,7,7
coaB,153,76,158,225,230,107,188,114,49,106,26,8,9
PA0724,12,9,34,17,14,48,77,7,7,14,121,8,4
PA0725,1,0,5,3,1,7,10,1,5,3,8,0,1
PA0726,4,7,10,6,6,41,50,0,14,8,44,8,10
PA0727,28,22,58,29,31,50,96,13,12,24,33,13,5
PA0728,10,9,22,18,9,31,19,1,4,11,17,1,3
PA0729,340,209,480,247,170,203,421,46,134,137,22,52,82
PA0729.1,113,169,323,246,261,180,183,127,31,34,55,12,17
PA0730,158,127,180,252,50,110,166,16,30,57,20,21,30
PA0731,38,34,41,71,51,123,168,8,35,67,12,22,20
PA0732,33,26,64,63,49,124,127,6,36,61,22,24,21
PA0733,24,14,20,26,31,37,100,7,14,32,23,6,5
PA0734,15,9,16,26,18,13,39,4,6,13,4,1,3
PA0735,38,54,60,109,68,55,84,6,15,28,17,6,8
PA0736,109,78,123,155,106,149,225,20,40,53,30,10,16
PA0737,10,11,10,20,11,26,47,2,9,14,8,6,4
PA0738,2,3,7,7,0,7,11,1,1,4,8,0,1
PA0739,22,16,33,35,34,18,47,14,13,14,4,3,4
sdsA1,23,14,32,16,28,42,66,8,9,19,27,6,5
PA0741,13,20,27,27,28,20,61,4,6,10,4,1,5
PA0742,7,6,14,11,17,6,38,3,6,2,2,1,1
PA0743,4,5,20,11,19,125,179,4,38,51,1,13,26
PA0744,18,3,12,23,14,60,66,4,10,49,8,13,15
PA0745,29,15,22,42,25,44,87,5,20,36,7,13,7
PA0746,7,3,6,4,15,94,137,1,27,50,10,13,12
PA0747,50,29,56,57,93,147,260,21,40,62,20,23,16
PA0748,35,25,55,55,69,63,67,16,7,5,19,4,6
PA0749,100,73,98,93,145,116,139,47,24,43,25,11,8
ung,449,287,572,397,351,306,272,132,111,129,37,32,29
PA0751,54,41,46,67,99,245,346,43,55,92,36,15,29
PA0752,15,14,20,26,18,36,96,10,15,29,20,9,9
PA0753,2,2,3,5,4,3,15,1,7,3,1,2,0
PA0754,21,18,24,24,31,29,70,13,19,21,11,5,8
opdH,27,11,29,28,24,29,51,7,12,12,10,9,7
PA0756,81,37,106,96,141,133,170,39,44,48,27,10,10
PA0757,109,91,113,161,196,156,292,54,27,75,41,7,8
PA0758,146,115,162,269,156,140,430,36,33,160,14,18,15
PA0759,114,105,149,188,171,197,288,35,41,98,10,12,22
PA0760,130,104,196,174,147,163,349,49,70,131,17,21,27
nadB,871,584,962,1020,1094,1349,1931,404,332,548,161,110,127
algU,1930,1056,1635,1786,3654,2270,6279,835,1937,2388,266,621,817
mucA,1035,556,878,1170,1962,1454,3360,487,1087,1624,154,420,487
mucB,694,461,707,1015,1717,1096,2947,470,575,1325,114,196,217
mucC,218,143,220,396,569,344,828,143,71,196,38,19,25
mucD,2629,1735,2695,3567,3640,2640,5598,733,877,2081,141,235,221
lepA,2072,1535,2530,2874,2087,1733,2923,600,893,1719,182,181,339
lepB,374,346,448,513,602,504,703,251,235,350,53,63,75
PA0769,211,178,265,246,208,203,440,33,88,179,17,14,33
rnc,562,411,716,827,814,459,1118,289,203,389,84,48,63
era,295,264,345,519,512,426,872,127,162,412,30,56,57
recO,84,102,120,262,192,101,217,56,16,45,12,4,15
pdxJ,382,249,324,632,511,357,656,171,88,223,46,22,15
PA0774,186,165,187,271,396,397,535,128,109,230,60,29,32
PA0775,101,85,175,169,103,119,148,18,57,123,15,16,32
PA0776,4,2,7,5,3,12,13,1,4,8,12,2,0
PA0777,11,21,25,43,21,37,54,7,9,22,7,6,4
icp,40,38,50,66,104,74,102,51,84,46,11,32,21
PA0779,383,395,910,473,2119,789,469,1780,2651,503,597,861,416
pruR,173,142,199,232,222,162,227,87,30,65,42,10,7
PA0781,4,3,13,8,6,37,57,6,17,18,33,11,11
putA,3986,2376,3097,4389,8496,3944,6464,5993,1249,1966,3039,513,544
putP,747,663,915,1275,720,805,1419,279,280,619,99,92,113
PA0784,55,51,52,102,44,116,208,14,39,68,11,24,11
azoR1,14,10,20,25,21,28,42,10,7,8,9,1,2
PA0786,12,4,6,8,12,8,16,3,1,3,3,2,1
PA0787,95,71,91,135,114,88,197,38,21,30,13,8,6
PA0788,15,4,25,8,22,221,313,6,77,99,48,37,29
PA0789,857,1058,1316,1611,556,770,2116,104,332,847,58,87,83
PA0790,7,3,7,14,9,33,85,2,4,24,8,2,3
PA0791,80,60,85,103,119,110,219,35,19,46,29,8,7
prpD,25,17,32,29,18,104,109,7,41,58,21,19,23
PA0793,76,44,72,60,62,82,94,15,54,100,19,10,14
PA0794,159,102,136,156,126,331,375,51,198,242,72,87,68
prpC,183,131,174,154,75,270,366,25,125,248,28,65,44
prpB,60,57,60,97,44,164,263,10,77,103,8,29,25
PA0797,82,84,124,87,93,236,456,23,53,75,20,12,18
pmtA,4,5,10,9,10,37,51,2,10,7,13,4,2
PA0799,202,146,209,331,269,244,443,79,49,100,34,26,16
PA0800,4,6,9,8,4,11,7,4,1,1,6,1,1
PA0801,78,67,128,162,106,173,142,40,23,38,28,8,9
PA0802,5,10,19,15,4,18,26,0,3,6,0,0,2
PA0803,5,7,16,15,4,15,18,2,5,6,7,4,2
PA0804,35,34,42,59,48,62,93,14,16,24,14,11,13
PA0805,779,446,1117,737,924,912,1967,260,362,382,143,264,357
PA0806,23,8,17,17,14,12,41,3,1,4,7,1,1
ampDh3,52,27,30,80,39,85,44,9,29,12,21,15,3
PA0808,2,2,5,4,5,36,42,1,13,8,3,3,1
PA0809,7,5,28,12,18,77,69,7,18,11,20,5,3
PA0810,49,33,40,60,57,89,96,19,20,29,11,2,4
PA0811,21,18,25,19,32,88,86,8,16,15,14,6,5
PA0812,2,0,6,3,4,52,37,3,24,9,25,10,2
PA0813,6,2,5,13,11,43,57,13,17,14,9,7,6
PA0814,4,1,3,6,2,6,5,1,2,1,1,2,0
PA0815,86,51,87,82,70,126,147,25,28,35,36,7,15
PA0816,70,52,65,76,104,112,146,34,27,34,28,9,8
PA0817,7,9,16,14,7,18,31,5,2,2,5,1,0
PA0818,5,6,8,8,2,11,15,1,2,3,6,3,0
PA0819,3,4,6,5,3,6,14,0,0,4,10,1,1
PA0820,208,131,260,162,159,155,225,29,35,51,21,15,12
PA0821,42,31,59,46,63,107,174,9,24,44,18,7,16
PA0822,3,2,12,1,4,44,81,3,13,24,15,6,5
PA0823,0,0,0,0,1,18,31,2,4,10,0,0,0
PA0824,1,3,6,2,6,14,37,5,4,8,3,2,5
PA0825,2,3,8,2,3,11,15,1,1,3,7,1,4
PA0826,15,23,55,31,20,36,37,6,33,25,9,10,9
ssrA,1191930,521790,886771,915069,1117548,1068228,961184,460331,371612,556810,133403,188455,139585
PA0826.1,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0827,22,18,38,23,11,24,27,4,7,15,8,6,2
PA0828,25,12,16,25,35,28,47,11,9,7,15,1,2
PA0829,19,21,36,19,28,40,52,12,12,8,14,9,5
PA0830,13,19,18,24,10,87,68,0,25,49,9,16,15
oruR,540,443,657,854,461,518,883,171,106,158,50,17,33
PA0832,69,60,78,100,51,106,138,12,32,45,8,4,11
PA0833,421,376,539,1018,1111,1007,2491,190,531,1368,47,157,181
PA0834,112,105,226,221,112,205,380,41,77,125,25,32,36
pta,363,257,370,566,496,481,1136,229,156,202,84,68,58
ackA,46,38,52,113,94,223,302,17,65,125,32,32,33
PA0836.1,0,0,1,0,0,1,7,0,0,0,0,0,0
slyD,5208,2907,3660,7046,3249,1516,5055,812,285,917,136,52,97
PA0838,313,215,308,396,263,266,394,53,100,188,26,26,25
PA0839,13,23,25,25,44,48,62,14,6,14,3,5,4
PA0840,41,31,29,57,615,187,288,61,34,31,33,7,14
PA0841,27,24,36,26,30,30,53,1,7,16,27,4,5
PA0842,2,1,4,3,4,30,80,1,5,11,11,6,2
plcR,20,11,14,33,35,40,111,12,25,38,5,9,13
plcH,5,9,7,6,6,61,91,4,24,38,34,8,17
PA0845,21,12,37,51,31,61,120,9,26,43,21,15,7
PA0846,59,73,142,166,96,166,252,18,69,126,13,20,14
PA0847,28,35,59,48,51,139,175,20,45,65,49,13,21
PA0848,37,19,40,15,24,20,28,15,14,22,9,5,7
trxB2,417,253,358,495,876,313,667,545,68,181,159,31,37
PA0850,19,9,23,31,12,23,28,5,4,11,4,4,3
PA0851,22,28,25,46,51,50,73,14,9,29,9,4,6
cbpD,121,78,119,237,155,172,238,40,61,117,28,29,36
PA0853,49,36,43,111,97,100,178,22,59,105,8,17,12
fumC2,116,99,143,206,170,200,287,28,100,196,18,43,35
PA0855,56,43,67,128,81,54,88,10,18,21,11,6,5
PA0856,281,187,402,522,203,277,608,19,90,308,12,30,30
bolA,176,120,132,257,165,126,287,18,30,130,8,17,16
PA0858,381,305,486,567,269,331,553,81,107,201,30,40,38
PA0859,141,149,169,374,394,171,312,117,25,69,26,11,6
PA0860,382,327,467,838,643,530,1231,269,162,294,86,35,54
PA0861,265,187,279,359,298,335,628,75,62,152,73,24,35
PA0862,91,72,112,102,124,142,198,34,42,80,17,14,17
PA0863,37,37,34,48,56,55,85,16,11,25,18,3,7
PA0864,29,21,37,31,29,42,43,11,9,15,14,7,2
hpd,541,161,438,162,270,413,616,48,116,457,23,73,95
aroP2,116,52,55,77,67,55,176,28,25,84,32,8,17
mliC,1060,692,1117,1174,843,766,1151,149,106,211,30,33,33
PA0868,79,52,90,96,103,188,298,28,56,81,8,15,16
pbpG,139,120,233,265,192,271,472,36,74,199,21,33,25
phhC,284,194,232,387,298,408,956,61,108,200,27,46,49
phhB,106,59,95,82,57,165,317,16,41,82,12,19,31
phhA,252,189,329,289,146,443,647,13,125,226,12,67,99
phhR,271,193,278,332,296,232,368,125,76,119,61,22,23
PA0874,5,6,16,11,7,23,29,0,15,20,5,8,7
PA0875,10,13,25,16,18,76,75,6,21,30,27,10,9
PA0876,108,74,108,106,93,134,173,29,28,59,13,14,14
PA0877,47,21,41,35,33,116,154,10,33,39,21,9,4
PA0878,2,4,5,5,5,5,17,5,3,5,10,2,3
PA0879,3,2,6,3,3,41,65,1,19,14,21,5,7
PA0880,1,2,1,2,0,3,3,0,0,1,2,1,2
PA0881,5,4,10,3,4,9,22,0,9,4,8,2,2
PA0882,27,19,23,38,48,27,61,10,1,12,9,2,6
PA0883,1,0,3,2,7,9,13,0,3,4,15,2,2
PA0884,7,4,12,4,9,53,59,3,13,12,26,6,3
PA0885,3,3,3,3,5,16,16,0,1,3,17,2,1
PA0886,28,21,26,26,30,31,56,12,19,15,15,6,6
acsA,2469,1072,1355,987,1762,1748,4155,1313,703,1658,464,251,338
PA0887.1,5,9,7,3,0,2,8,0,0,3,11,2,1
aotJ,1195,1089,1974,1809,1097,1024,1458,213,288,628,48,75,83
