,WT_count,ClpV3-KO_count
PA1071,86.5,94
PA1072,12.5,32
PA1073,32.5,50.5
PA1074,1436,2043.5
PA1075,1.5,11.5
PA1076,81.5,98
PA1077,63.5,93
PA1078,20,50.5
PA1079,93.5,76
PA1080,523,926.5
PA1081,176,167.5
PA1082,148,186
PA1083,53.5,77.5
PA1084,56,84.5
PA1085,113,185.5
PA1086,308,368
PA1087,134.5,180.5
PA1088,97.5,132.5
PA1089,28.5,36.5
PA1090,38.5,45.5
PA1091,351.5,717.5
PA1092,16636,23638.5
PA1093,556,586.5
PA1094,3767,4098.5
PA1095,405,641.5
PA1096,598,899
PA1097,767,1008
PA1098,26,27
PA1099,36,77
PA1100,76.5,72
PA1101,88,108
PA1102,245.5,283.5
PA1103,83.5,111
PA1104,62,66
PA1105,2.5,0.5
PA1106,32,22
PA1107,11,12.5
PA1108,0,1.5
PA1109,7,6
PA1110,1,10.5
PA1111,8.5,12
PA1112,59,50.5
PA1113,4.5,4
PA1114,6,8
PA1115,102.5,71
PA1116,3,0
PA1117,21,19
PA1118,120,52
PA1119,101.5,83
PA1120,50.5,43.5
PA1121,25,18
PA1122,35,23.5
PA1123,30,70.5
PA1124,166.5,117
PA1125,12.5,18
PA1126,12.5,18
PA1127,104.5,56
PA1128,2,2.5
PA1129,0,1
PA1130,171.5,179
PA1131,37,20
PA1132,14.5,3
PA1133,0,2
PA1134,0,1
PA1135,233,225.5
PA1136,10,5
PA1137,188.5,265
PA1138,2.5,6.5
PA1139,10,10.5
PA1140,27.5,32.5
PA1141,0.5,0.5
PA1142,5.5,0.5
PA1143,0,1
PA1144,0.5,2
PA1145,11,3
PA1146,0,0
PA1147,0,2.5
PA1148,0.5,1.5
PA1149,1.5,0.5
PA1150,916,903.74
PA1151,3768.5,5511
PA1152,5.5,2.5
PA1153,3,2.5
PA1154,0,0
PA1155,414.5,1036
PA1156,226,289.5
PA1157,6,9.5
PA1158,19.5,19
PA1159,159,212.5
PA1160,12.5,11
PA1161,2,0
PA1162,12,7.5
PA1163,60,76.5
PA1164,75,53.5
PA1165,0.5,0
PA1166,23.5,19.5
PA1167,41.5,33.5
PA1168,44.5,29.5
PA1169,29,28.5
PA1170,10.5,13.5
PA1171,17.5,31.5
PA1172,340.5,320
PA1173,89.5,95
PA1174,3236,2851
PA1175,26,19
PA1176,96,72.5
PA1177,56.5,55.5
PA1178,105.5,105
PA1179,38.5,57
PA1180,11.5,9
PA1181,123.5,100
PA1182,10,0.5
PA1183,40,98.5
PA1184,0.5,3.5
PA1185,3.5,0
PA1186,0,4.5
PA1187,12,4579.5
PA1188,20.5,21
PA1189,3,3.5
PA1190,89,65.5
PA1191,33.5,43.5
PA1192,16,35
PA1193,7.5,7.5
PA1194,0.5,5
PA1195,15,17.5
PA1196,16.5,26
PA1197,14.5,21.5
PA1198,160.5,188.5
PA1199,48,64.5
PA1200,15,14.5
PA1201,51,36.5
PA1202,269.5,336.5
PA1203,1.5,6
PA1204,7,9.5
PA1205,79,110
PA1206,0.5,8
PA1207,13.5,21.5
PA1208,54,33.5
PA1209,14,15
PA1210,9,5.5
PA1211,5,0
PA1212,10,7.5
PA1213,30,4.5
PA1214,38.5,3.5
PA1215,61,10.5
PA1216,240.5,33.5
PA1217,288,38.5
PA1218,53.5,18.5
PA1219,0.5,0
PA1220,5,0.5
PA1221,11.5,7
PA1222,9.5,18.5
PA1223,5.5,8
PA1224,5,4.5
PA1225,4.5,0.5
PA1226,3.5,9
PA1227,16.5,16
PA1228,2.5,0.5
PA1229,2.5,5.5
PA1230,0,0
PA1231,0,0
PA1232,5,1.5
PA1233,0,1
PA1234,7.5,2
PA1235,4.5,4
PA1236,0,0.5
PA1237,3,0
PA1238,3,1
PA1239,0,1.5
PA1240,0,0
PA1241,3,4.5
PA1242,77.5,33.5
PA1243,115.5,65.5
PA1244,1984.5,846.5
PA1245,131,54
PA1246,40,13.5
PA1247,62.5,60.5
PA1248,44,26.5
PA1249,1810,392.5
PA1250,20,15.5
PA1251,0,0
PA1252,12,9
PA1253,1,1.5
PA1254,7.5,6
PA1255,8.5,1.5
PA1256,22.5,13
PA1257,0,0
PA1258,0,0
PA1259,4.5,4.5
PA1260,4.5,0
PA1261,2.5,0
PA1262,0,0
PA1263,11,18.5
PA1264,4,10
PA1265,3,3
PA1266,4,0
PA1266.1,0,0
PA1267,5,1
PA1268,0,0
