,PAO1-1,PAO1-2,DKT-2-1,DKT-2-2,DKT-1-1,DKT-1-2
PA1844,59,68,42,67,68,56
PA1845,25,13,30,39,29,14
cti,821,950,931,1213,1176,1063
PA1847,3663,8627,2965,4184,6929,5927
PA1848,192,168,183,236,326,288
PA1849,56,34,63,102,132,106
PA1850,611,483,398,449,1003,822
PA1851,895,845,538,546,755,585
PA1852,2324,2648,1619,2617,2026,2524
PA1853,328,403,282,345,704,563
PA1854,299,350,227,222,541,395
PA1855,21,25,16,13,26,30
PA1856,309,300,295,334,431,333
PA1857,679,642,661,812,653,651
str,324,262,305,302,339,311
PA1859,250,181,207,308,272,233
PA1860,2220,2076,1607,2094,2153,1774
PA0326,222,107,129,231,290,159
modB,514,709,473,508,734,722
modA,484,720,526,810,620,734
PA1864,237,180,157,189,266,217
PA1865,1491,1373,815,1051,1671,1446
PA1866,1659,1555,1015,1013,1909,1534
PA1866a,83,108,109,118,103,102
xphA,24,19,17,25,23,11
xqhA,159,158,137,136,187,151
PA1869,903,1301,461,402,539,476
PA1870,1972,1339,560,561,1238,1035
lasA,7103,7614,3666,4809,1798,1609
PA1872,1236,1300,819,1100,1318,1123
PA1873,201,222,133,173,201,188
PA1874,26852,11866,8913,10173,5188,3886
PA1875,1799,912,635,616,420,334
PA0428,2226,2157,2878,4222,3385,3033
PA1877,566,284,311,322,204,154
PA1878,233,193,190,218,190,195
PA1879,185,166,149,178,208,150
PA1880,8571,6333,6692,7850,7042,5557
PA1881,1336,980,995,1650,1078,1025
PA1882,221,200,165,221,261,256
PA1883,160,169,125,150,194,174
PA1884,312,315,249,250,363,293
PA1885,452,402,283,294,500,376
polB,2745,2285,1684,1936,2177,1871
PA1887,1265,915,775,1113,749,635
PA1888,1487,1006,868,1224,766,687
PA1889,743,658,623,811,938,785
PA1890,792,721,670,775,1001,846
PA1891,95,94,106,124,83,86
PA1892,114,105,159,203,95,102
PA1893,567,514,628,725,474,363
PA1894,411,244,511,640,176,153
PA1895,672,467,864,1303,439,325
PA1896,430,245,655,898,304,198
PA1897,218,113,311,529,184,130
qscR,115,115,85,111,119,99
phzA2,145,150,83,81,51,36
phzB2,1060,1481,632,856,327,344
phzC2,18248,13719,7786,8893,2004,1467
phzD2,8760,5305,3803,4168,680,502
phzE2,23835,15738,9421,9508,1880,1336
phzF2,11635,8510,4657,4783,971,702
phzG2,10190,7556,3609,3097,854,650
PA1906,200,417,144,225,148,146
PA1907,166,234,106,159,159,115
PA1908,83,107,66,71,65,79
PA1909,71,106,53,69,63,45
femA,222,351,163,256,229,218
femR,319,1792,179,186,334,317
femI,234,1179,108,167,230,218
PA1913,553,479,580,785,627,538
PA1914,421,283,187,245,123,97
PA1915,1371,1275,1025,1163,1506,1358
PA1916,98,111,81,141,134,89
PA1917,28,23,18,27,28,25
PA1918,86,66,43,72,85,84
nrdG,967,1098,686,656,736,764
nrdD,801,259,807,979,433,432
PA1921,463,337,301,366,568,456
PA1922,84,89,62,80,99,57
PA1923,197,181,137,154,235,168
PA1924,68,41,47,57,74,50
PA1925,61,57,46,49,68,45
PA1926,453,408,501,613,486,462
metE,344,351,275,371,671,540
rimJ,228,212,228,235,298,239
PA1929,248,187,190,200,260,231
PA1930,3089,2836,1804,2680,2485,2231
PA1931,824,625,394,499,688,565
PA1932,1402,879,586,746,1184,966
PA1933,7620,6363,4398,5240,7926,6310
PA1934,334,318,343,425,436,382
PA1937,111,170,90,121,175,144
PA1938,376,367,293,385,389,314
PA1939,3610,3119,2747,4166,3478,3020
PA1940,871,851,763,921,985,719
PA1941,1315,1007,1355,1756,1525,1254
PA1942,32,17,28,44,273,252
PA1943,1397,1221,1015,1369,1480,1325
PA1944,2974,2170,1893,2250,2372,2069
PA1945,904,809,586,700,938,690
rbsB,7384,4570,3832,5319,11214,8200
rbsA,12953,8795,6072,6316,15768,10650
rbsC,6257,3862,3528,4160,6709,4939
rbsR,11049,7056,5862,6405,11722,8463
rbsK,17005,12290,9153,8931,15834,10847
PA1951,2349,1948,1572,1697,2177,1504
PA1952,69,63,44,53,87,43
PA1953,82,108,91,76,93,87
PA1954,134,134,88,135,150,121
PA1955,33,34,18,45,43,40
PA1956,32,38,25,31,46,35
PA1957,105,100,127,165,174,141
PA1958,178,216,164,238,259,232
bacA,150,149,153,239,165,139
PA1960,337,339,271,404,412,355
PA1961,535,462,459,548,716,597
azoR2,86,54,54,69,456,433
PA1963,444,353,262,388,594,465
PA0603,699,543,590,787,1032,903
PA1965,181,201,152,206,232,196
PA1966,1059,1202,758,731,1206,935
PA1967,1404,1446,1004,1055,1752,1374
PA1968,351,385,258,374,459,423
PA1969,1097,1072,939,1297,1412,1250
PA1970,99,125,96,132,288,264
braZ,194,167,170,194,285,220
PA1972,88,107,73,90,131,108
pqqF,834,1359,626,635,2806,2221
PA1974,59,55,21,41,57,50
PA1975,83,93,51,71,278,231
ercS',548,703,228,311,2110,1577
PA1977,208,318,101,114,623,453
PA1978,142,214,80,139,399,322
eraS,132,160,76,69,379,249
eraR,129,123,57,52,409,266
PA1981,104,87,32,44,274,167
exaA,127,108,88,119,146,103
exaB,50,31,35,41,76,49
exaC,15740,8945,6378,11129,31598,18757
pqqA,1212,723,1063,1250,1928,1509
pqqB,1026,1414,598,781,3574,3213
pqqC,982,1084,549,727,3594,3038
pqqD,541,555,270,323,1896,1435
pqqE,1210,1394,631,792,4572,3706
pqqH,1953,2164,738,697,5535,4127
PA1991,776,686,409,625,1793,1378
ercS,1566,1423,1012,1208,3893,2822
PA1993,262,306,236,278,482,378
PA1994,738,730,466,431,738,599
PA1995,672,691,488,719,869,720
ppiC1,342,297,221,332,386,314
PA1997,5318,3673,2819,3467,5660,4248
dhcR,425,374,276,310,556,431
dhcA,22581,15830,8962,12924,26131,20194
dhcB,26570,16809,11019,15089,28285,19622
atoB,55118,38133,24378,28539,49110,31955
PA2002,3519,2423,1594,1986,4255,2886
bdhA,5147,4290,2308,2527,2582,1908
PA2004,1154,706,455,622,711,449
PA2005,1220,767,1022,1217,774,632
PA2006,1518,1024,1150,1365,1148,861
maiA,16813,9696,12251,16205,11870,7541
fahA,58690,36873,40675,51436,46836,28630
hmgA,33472,25312,20014,28840,36192,26660
PA2010,2025,1995,1332,1750,2256,1815
liuE,15666,11843,10012,13820,16714,12835
liuD,98028,73187,47793,52594,93044,68462
liuC,28212,21736,13480,17653,31010,23599
liuB,44901,32521,22730,31704,55434,42808
liuA,44514,39512,18587,26674,57066,46067
liuR,3481,3473,1957,3145,5234,4649
PA2017,956,955,600,614,1220,899
PA2018,818,721,1059,1161,779,597
PA2019,238,198,370,384,238,161
PA2020,1696,1159,1084,1207,1861,1403
PA2021,912,532,414,547,1125,816
PA2022,247,267,237,353,263,263
galU,3465,2788,2664,4022,4185,3898
PA2024,3074,3429,1962,2877,2480,2257
gor,9562,7907,6171,7788,10362,8700
PA2026,1084,1118,924,1318,1355,1077
PA2027,82,78,79,79,88,67
PA2028,182,95,164,245,170,183
PA2029,267,213,263,371,299,266
PA2030,487,382,310,376,417,336
PA2031,570,325,361,328,412,371
PA2032,455,477,442,667,774,627
PA2033,296,835,233,225,280,287
PA2034,194,384,157,186,235,194
PA2035,787,752,550,681,1283,1077
PA2036,14,13,7,16,13,18
PA2037,115,84,115,223,159,169
PA2038,302,225,203,282,373,294
PA2039,389,293,257,424,561,455
PA2040,4937,2132,3731,6014,4547,3203
PA2041,1134,449,961,1527,1007,631
PA2042,665,756,649,956,712,697
PA2043,275,337,240,269,411,380
PA2044,1400,1288,1372,1707,1735,1495
PA2045,155,178,121,200,227,221
PA2047,1029,1087,733,891,1905,1671
PA2048,202,213,124,183,416,365
PA2049,731,875,658,888,1195,1150
PA2050,79,68,39,46,83,64
