,PAO1-1,PAO1-2,DKT-2-1,DKT-2-2,DKT-1-1,DKT-1-2
dnaA,5193,4113,4397,5973,5742,5053
dnaN,6904,5794,6782,10604,8290,7511
recF,2222,2072,2008,2984,3311,3118
gyrB,14685,12022,13929,20372,16553,14643
lptA,740,975,712,1061,901,1058
PA0006,306,425,320,554,457,495
PA0007,1737,1710,1102,1223,1339,1015
glyS,2808,2663,3925,5059,3762,3448
glyQ,1053,844,1306,1969,1337,1299
tag,223,221,228,285,310,255
PA0011,474,404,429,669,644,573
PA0012,202,210,204,422,194,191
PA0013,105,97,121,160,129,106
PA0014,99,82,99,184,114,115
PA0015,677,700,610,677,945,763
trkA,1380,1174,1293,1920,1610,1696
PA0017,2485,2071,1813,2038,2622,2505
fmt,2479,2154,1837,2482,2797,2598
def,2879,2696,2629,3442,4400,3726
PA0020,1508,1555,1802,2855,1817,1752
PA0021,333,407,328,391,471,395
PA0022,1530,1423,1635,1983,2328,1847
qor,2226,1797,2604,3951,3379,2926
hemF,2207,4480,2235,2889,2805,2788
aroE,1066,2466,1160,1249,1557,1436
plcB,1980,1789,2241,3309,1464,1329
PA0027,2404,2438,2656,2968,1615,1498
PA0028,689,755,845,962,525,413
PA0029,625,725,679,785,543,445
PA0030,196,123,158,196,258,192
betC,341,343,311,385,562,435
PA0032,351,369,279,340,434,390
PA0032a,486,502,362,514,769,639
PA0033,370,374,287,404,565,498
PA0034,286,263,214,225,334,293
trpA,1481,1395,1480,1866,2741,2029
trpB,1847,1316,1469,1892,2782,2253
trpI,336,311,219,326,496,412
PA0038,7026,4826,3825,6743,9117,7710
PA0039,17436,11585,13458,17880,15246,11963
PA0040,410,509,387,467,458,417
PA0041,3608,4801,3163,3417,3241,2386
PA0041a,99,64,181,177,119,85
PA0042,266,261,209,298,417,394
PA0043,764,730,525,588,979,816
exoT,9581,6326,4993,5489,6424,5962
PA0045,152,146,195,312,193,180
PA0046,91,100,134,189,127,96
PA0047,1396,1204,1164,1255,1163,797
PA0048,2341,1751,1908,1971,2042,1271
PA0049,11563,6546,9902,14486,11339,7868
PA0050,1605,1623,1183,1342,494,500
phzH,1669,1393,764,764,601,473
PA0052,2512,1719,1297,1359,1133,826
PA0054,470,488,484,692,664,648
PA0055,1334,1202,1484,2058,1637,1478
PA0056,217,219,176,207,264,208
PA0057,222,165,171,214,564,452
PA0058,162,130,140,134,346,285
osmC,8476,5690,6937,8374,12573,9528
PA0060,927,711,732,1035,1237,1101
PA0061,1902,1888,1299,1648,2173,1886
PA0062,447,478,425,481,672,514
PA0063,1507,1534,1114,1183,2310,1791
PA0064,1548,1624,1168,1379,2083,1667
PA0065,805,636,651,1010,1123,1058
PA0066,1021,931,862,965,1359,1145
prlC,10643,8430,9580,12697,15056,12907
PA0068,1352,1109,1459,1646,2038,1698
PA0069,629,637,390,416,718,640
PA0070,12158,13618,8942,11316,10145,7487
PA0071,1638,1848,1394,1817,1680,1496
PA0072,656,803,451,467,578,481
aotP,2100,1802,2445,3416,2627,2088
ppkA,3152,3478,2523,2903,2955,2204
pppA,799,958,630,716,680,533
PA0076,1206,1327,895,868,926,689
icmF1,3140,2989,2488,3018,2466,1801
PA0078,1580,1367,1194,1380,1202,809
PA0079,1238,1153,1000,1191,1142,869
PA0080,359,301,332,441,344,296
fha1,1548,1577,1210,1673,1953,1716
PA0082,1127,1017,749,973,1085,999
PA0083,1261,1168,1170,1895,1174,858
PA0084,4254,3455,3756,5272,3086,2341
hcp1,6884,6570,4357,5076,3948,2908
PA0086,774,779,638,685,643,468
PA0087,177,193,163,197,157,130
PA0088,861,1012,679,797,639,458
PA0089,363,408,279,317,253,180
clpV1,3393,3506,2655,2921,2284,1499
vgrG1,1504,1648,1154,1396,989,680
PA0092,348,409,336,471,326,271
PA0093,466,513,389,501,471,419
PA0094,224,254,209,298,273,252
PA0095,2100,2046,1460,1651,1897,1533
PA0096,413,342,320,479,312,234
PA0097,1001,924,626,689,577,398
PA0098,760,594,432,483,407,340
PA0099,499,398,354,546,338,301
PA0100,2997,2685,1762,1991,1648,1294
PA0101,2702,2714,1515,1590,1399,1091
PA0102,3124,3099,2487,3753,4278,4002
PA0103,915,695,1104,1306,1001,797
PA0103a,480,365,565,834,555,496
coxB,4603,2018,2342,3094,5154,2796
coxA,5155,1377,3195,5042,5873,2744
PA0107,1763,570,1211,1657,2014,931
coIII,4715,2285,2846,4187,4639,2444
PA0109,1440,1141,1039,1581,1566,1040
PA0110,1696,604,983,1081,1537,666
PA0111,1697,457,946,1318,1319,569
PA0112,1739,678,1036,1336,1353,644
PA0113,2221,835,1655,2338,1662,807
senC,1290,982,1163,1743,1116,976
PA0115,496,464,524,655,589,503
PA0116,1113,979,952,877,1271,1069
PA0117,176,111,130,203,236,203
PA0118,315,304,269,403,388,342
PA0119,585,419,391,537,907,716
PA0120,800,708,526,847,1060,853
PA0121,1489,1149,976,1045,1695,1235
PA0122,7853,8231,3137,4876,3792,3231
PA0123,2072,2012,994,1401,1244,959
PA0124,76,64,69,105,126,118
PA0125,89,72,78,104,114,117
PA0126,271,347,389,525,351,282
PA0127,493,437,428,546,636,565
PA0128,340,240,366,459,421,335
gabP,3681,1703,2240,3876,1769,1190
PA0130,16308,7815,10091,14771,6391,4400
PA0131,4729,2665,2083,2220,1428,897
PA0132,22507,13150,9881,13828,7351,4732
PA0133,607,502,446,602,772,670
PA0134,2132,1715,1496,1905,2601,2100
PA0135,22,17,15,14,18,8
aprD,3587,3098,2935,3079,2468,1948
PA0137,109,133,92,138,168,126
PA0138,205,241,196,252,316,283
ahpC,24436,25930,24916,42419,42871,38045
ahpF,3051,2523,3386,4802,6887,5702
PA0141,6013,7282,7671,11024,12124,12976
PA0142,496,467,476,642,566,412
nuh,2673,2273,2426,2979,2236,1905
PA0144,1287,1444,1198,1230,1131,959
PA0145,802,837,621,705,1054,915
PA0146,97,103,87,120,130,124
PA0147,486,458,451,559,692,637
PA0148,839,750,757,1129,1038,931
PA0149,222,726,148,204,231,239
PA0150,395,839,299,245,365,323
PA0151,225,359,170,249,290,244
pcaQ,334,382,309,325,514,450
pcaH,136,112,130,229,230,167
pcaG,345,247,348,359,422,386
pcaR,346,270,291,341,335,265
PA0156,1954,1516,1558,1672,2159,1647
PA0157,1796,1500,1764,1804,2174,1624
PA0158,6273,4130,5152,5630,6338,4726
PA0159,1323,1050,1171,1436,1296,1069
PA0160,83,88,104,162,159,103
opdC,391,334,457,623,429,383
PA0163,388,406,297,368,513,415
PA0164,894,890,979,1100,1180,995
PA0165,129,101,173,253,155,169
PA0166,205,212,147,167,265,162
PA0167,490,584,480,834,976,896
PA0168,706,771,854,857,1306,1034
PA0169,518,508,543,564,691,533
PA0170,152,136,184,271,181,137
PA0171,53,58,97,193,69,67
PA0172,437,338,374,462,457,348
PA0173,2328,2001,1448,1543,1103,948
PA0174,1045,840,714,863,627,534
PA0175,4568,3789,3039,3514,2588,2259
aer2,35210,26513,22396,26879,19803,15937
PA0177,4332,3604,2916,3850,2938,2454
PA0178,13751,11729,7713,8086,8695,7274
PA0179,10963,9290,6233,7071,6883,5492
cttP,2886,3021,2475,3158,2235,1954
PA0181,560,405,414,578,882,750
PA0182,438,395,308,392,1478,1150
atsA,969,747,624,728,1018,842
atpA,12200,13003,17572,28583,11807,11926
PA0185,236,192,154,195,261,214
PA0186,246,213,187,211,303,223
PA0187,205,188,126,158,133,96
PA0188,191,152,116,139,134,103
PA0189,353,353,241,261,419,299
PA0190,289,164,218,293,223,169
PA0191,258,227,200,237,312,267
PA0192,222,208,230,197,285,205
PA0193,523,200,382,377,335,262
PA0194,241,144,194,217,205,173
pntAA,1953,1188,2188,2614,1118,912
pntAB,241,131,430,729,145,129
pntB,1513,967,2257,2902,865,709
tonB2,201,220,125,171,365,360
exbB1,465,396,306,315,576,522
exbD1,1659,824,1421,1727,3204,2814
PA0200,2207,775,2389,2448,5260,4550
PA0201,2984,1947,1521,2021,3330,2869
PA0202,2311,1535,1226,1450,3269,2760
PA0203,463,264,370,507,892,816
PA0204,217,128,209,245,512,411
PA0205,230,194,198,253,531,433
atpB,2712,2518,3830,5611,2257,2182
PA0207,764,741,628,761,1230,962
mdcA,3578,1722,2588,3052,1963,1420
PA0209,1186,542,753,820,237,183
mdcC,197,91,195,208,69,60
mdcD,1028,498,781,881,348,287
mdcE,768,410,691,654,296,249
PA0213,451,374,349,310,283,250
PA0214,657,527,501,533,549,409
PA0215,191,169,139,164,208,156
PA0216,312,243,202,248,323,239
PA0217,338,226,230,320,426,350
PA0218,362,358,324,446,556,404
PA0219,130,125,100,110,155,108
PA0220,247,213,193,243,274,228
PA0221,377,287,341,455,452,353
PA0222,69,41,54,83,58,43
PA0223,135,152,118,124,248,188
PA0224,203,283,182,232,294,237
PA0225,358,304,361,363,494,456
PA0226,161,148,117,122,205,155
PA0227,108,99,102,105,153,108
pcaF,374,291,356,362,598,487
pcaT,586,483,441,686,849,688
pcaB,1719,1339,1177,1304,2601,1892
pcaD,2478,1269,1531,1819,2881,2204
pcaC,1447,812,1144,1450,1984,1354
PA0233,758,631,642,881,1027,763
PA0234,98,104,100,137,137,114
pcaK,81,71,66,79,101,68
PA0236,135,143,141,168,190,122
PA0237,81,66,51,93,69,62
PA0238,139,152,121,112,192,114
PA0239,110,101,92,151,153,99
PA0240,230,234,160,212,292,207
PA0241,61,62,47,69,103,64
PA0242,226,193,181,217,269,210
PA0243,313,312,259,382,472,402
PA0244,141,152,100,140,186,169
aroQ2,74,68,80,64,99,83
PA0246,486,486,415,503,723,638
pobA,180,174,155,181,289,194
PA0248,740,661,623,777,981,809
PA0249,1431,1087,972,1158,1240,1021
PA0250,2620,2182,1609,2022,2250,1682
PA0251,96,110,102,100,132,121
PA0252,31,38,44,47,38,58
PA0253,227,253,215,290,339,266
PA0254,420,430,459,541,627,495
PA0255,505,620,471,660,695,659
PA0256,1432,1247,1006,1224,1245,991
PA0257,149,102,124,239,195,194
PA0258,279,304,264,339,428,344
PA0259,2821,2481,2423,3312,3208,2700
PA0260,1850,1866,1792,2376,2056,1838
PA0261,292,252,286,281,281,227
PA0262,776,783,616,801,917,790
hcpC,112,131,104,96,136,155
PA0263.1,18,9,18,44,25,28
gabD,12550,6308,12493,19005,15209,10990
PA0266,28430,12946,32751,44543,30105,20552
PA0267,719,821,590,598,878,745
PA0268,481,434,443,510,647,536
PA0269,1614,1374,1126,1398,1977,1525
PA0270,1741,1620,1170,1226,1884,1492
PA0271,774,746,524,650,904,669
PA0272,970,900,694,925,1166,946
PA0273,106,130,76,95,121,82
PA0274,201,226,152,186,272,225
PA0275,708,801,466,697,858,719
PA0276,364,318,361,496,451,444
PA0277,242,233,306,316,406,311
PA0278,166,166,109,128,198,180
PA0279,948,833,663,678,966,837
atpC,1384,2007,1934,3284,1662,1631
cysW,1916,3048,614,727,1385,1139
cysT,669,1207,254,427,603,546
sbp,790,896,530,657,1026,785
PA0284,573,810,397,573,1045,887
PA0285,727,711,679,963,1016,813
desA,3690,3478,3586,6294,4689,5048
gpuP,101,99,79,78,132,115
gpuA,285,254,263,282,368,244
gpuR,463,416,395,553,646,581
PA0290,1243,1182,884,949,1396,1241
oprE,12340,6688,8236,13343,12358,9984
aguA,1573,1346,1495,1929,2458,2144
aguB,219,262,258,395,446,382
aguR,361,430,352,487,541,592
PA0295,917,728,1100,1642,1145,1137
spuI,6486,4554,4791,7731,7967,6520
spuA,1220,948,914,1351,1597,1339
spuB,6333,3263,4601,7168,7345,5457
spuC,31139,15106,21982,28686,30749,19965
spuD,15620,8538,11996,23073,16150,11709
spuE,3358,1718,3159,5181,3239,2610
spuF,3790,2144,4173,7431,4304,3276
spuG,3197,1900,3320,5413,3204,2587
spuH,7715,4443,6885,7814,5987,4370
PA0305,1862,1476,1999,2649,2834,2432
PA0306,2305,1727,1997,2786,2473,2257
PA0306a,3233,2401,3306,5516,3626,3447
PA0307,478,511,423,470,520,487
PA0308,990,1053,825,975,1401,1197
PA0309,1292,1203,1102,1334,1885,1618
PA0310,534,552,435,575,703,596
PA0311,150,147,104,144,184,146
PA0312,1382,1223,1217,1427,1902,1533
PA0313,1223,1062,1114,1282,1416,1175
PA0314,1661,1148,1397,2238,1404,1351
PA0315,1633,1086,1859,4018,1383,1254
serA,2610,2428,3024,4215,3428,2999
PA0317,1374,1168,1537,2418,1884,1701
PA0318,1771,1611,1769,2261,2479,2011
PA0319,739,804,753,953,941,815
PA0320,124,136,80,161,147,101
PA0321,690,332,568,822,919,495
PA0322,600,309,376,472,930,523
PA0323,272,148,251,399,293,174
PA0324,165,130,137,179,228,171
PA0325,343,312,256,378,507,401
atpD,13322,18439,18248,29343,14471,14652
PA0327,1194,1040,870,1028,1204,859
PA0328,2734,1834,2253,2734,1948,1456
PA0329,3451,3763,3403,8777,4550,4288
rpiA,660,705,692,997,1029,929
ilvA1,1282,1249,1377,1925,2021,1757
PA0332,1439,1660,1029,1251,1401,1190
PA0333,1630,1849,1127,1182,1478,1120
PA0334,871,946,756,916,982,792
PA0335,1679,1749,1349,1509,2352,2120
ygdP,2764,2861,2138,2492,4358,3588
ptsP,13732,11944,10848,12826,19953,16383
PA0338,888,886,768,1011,1175,885
PA0339,1204,1302,941,974,1714,1305
PA0340,321,360,317,420,472,405
lgt,1235,1153,1327,1604,1544,1367
thyA,1166,1190,1101,1586,1717,1647
PA0343,1168,1138,1115,1474,1834,1529
PA0344,3313,2443,2319,2458,4652,3552
PA0345,2317,1845,1443,1632,2786,2177
PA0346,64,94,60,56,60,64
glpQ,408,413,367,397,367,334
PA0348,350,272,229,250,322,272
PA0349,225,216,168,209,278,228
folA,500,432,508,522,623,540
PA0351,511,494,497,628,869,688
PA0352,427,466,398,473,591,470
ilvD,6253,5309,5840,7899,9491,8259
PA0354,2541,1870,1646,1795,3816,2817
pfpI,13582,8021,8512,9649,20835,14390
PA0356,357,297,303,498,458,468
mutM,1081,1037,1023,1210,1636,1362
PA0358,235,270,235,332,311,367
PA0359,2429,2823,2076,2836,2323,2186
PA0360,560,573,499,589,745,663
PA0361,1368,1259,1077,1486,1499,1204
fdx1,431,411,429,726,551,607
coaD,324,358,530,967,617,476
PA0364,1006,628,3012,4755,981,778
PA0365,437,316,1501,1871,451,373
PA0366,1341,1192,5437,8067,1366,1140
PA0367,718,742,1446,1976,1069,962
PA0367a,2055,2127,1843,1894,2584,2095
PA0368,700,740,683,765,1129,898
PA0370,782,760,1142,1447,1330,1151
PA0371,2070,1737,2783,4120,2936,2596
PA0372,1652,1347,1798,2443,1986,1794
ftsY,2032,2099,1970,2503,3057,2625
ftsE,953,891,1289,1757,1742,1527
ftsX,4145,3417,2989,3142,4998,3993
rpoH,7011,5721,5550,7695,9262,7975
PA0377,632,704,563,812,861,782
PA0378,385,477,402,488,523,466
PA0379,183,150,196,274,248,209
PA0380,123,124,113,237,176,163
thiG,963,882,1253,1570,1028,1011
micA,275,377,444,587,415,392
PA0383,476,577,470,661,661,484
PA0384,206,234,201,367,248,259
PA0385,126,136,161,235,197,200
PA0386,381,485,410,568,544,504
PA0387,5988,5386,4224,4935,4843,4347
PA0388,1616,1908,1543,3152,1810,1767
PA0389,216,210,363,715,423,395
metX,480,587,655,928,829,715
PA0391,2073,1991,2134,2767,2064,1770
PA0392,1615,1173,1646,2388,2105,1921
proC,3133,3158,2991,3649,3889,3646
PA0394,1341,1306,1319,1482,2021,1845
pilT,1865,1678,1636,2250,1724,1567
pilU,2961,2981,2484,3176,2868,2310
PA0397,1371,1420,928,1140,1576,1152
PA0398,525,554,495,941,932,929
PA0399,15390,10827,12641,15237,16851,15166
PA0400,10438,7813,8899,11792,13063,12283
PA0401,4195,3626,4987,6314,5633,5397
pyrB,3032,2441,3681,5708,4300,4130
pyrR,1698,1195,1994,3053,2190,2212
PA0404,741,700,636,666,1072,892
PA0405,2001,1916,1489,1687,2890,2345
tonB3,630,590,536,667,803,730
gshB,2497,2358,2075,2769,2769,2385
pilG,2304,1675,2405,3257,2429,2311
pilH,1340,1252,1767,2483,1723,1651
pilI,1637,1710,1659,1973,1957,1886
pilJ,5156,5421,6549,9202,6710,6183
pilK,2377,2618,2325,2411,2926,2532
chpA,27544,39371,27098,29211,37056,32479
chpB,2425,3798,2152,2450,3481,3077
chpC,1449,2024,1388,1636,2232,2112
chpD,702,1066,644,716,1042,941
chpE,339,366,317,361,492,362
PA0418,973,928,808,986,1450,1188
PA0419,509,571,497,534,712,636
bioA,1109,991,1209,1791,1634,1596
PA0421,2316,2208,2556,3004,3296,2833
PA0422,602,686,670,1219,3886,3800
pasP,5967,7023,7947,15118,27183,26612
mexR,2141,2513,1383,1496,2020,1628
mexA,5426,4282,5217,7113,4452,4096
mexB,14691,13004,15730,20579,15469,13439
oprM,10106,9918,10496,14604,11884,10662
atpE,7095,7952,10248,12547,6553,6018
PA0429,1697,1928,1731,2717,2430,2297
metF,1481,1418,1395,2058,2060,1889
PA0431,1215,1116,1370,1627,1908,1784
sahH,6205,7356,8165,13146,12016,11187
PA0433,62,101,71,85,108,103
PA0434,313,367,404,427,450,377
PA0435,177,278,297,278,328,345
PA0436,2275,2320,1509,2119,2284,1842
codA,2162,2408,1889,2179,2194,1815
codB,253,266,315,467,310,271
PA0439,228,132,175,264,254,184
PA0440,360,282,312,350,381,302
dht,279,232,190,296,400,328
PA0442,0,3,0,2,1,0
PA0443,86,63,69,88,116,101
PA0444,614,492,490,578,776,612
PA0445,463,465,366,420,759,595
PA0446,8641,5294,6812,9820,5841,3456
gcdH,50569,28606,29947,36571,29482,16034
PA0448,340,314,392,472,1203,1004
PA0449,2121,2147,2330,5073,5584,5572
PA0450,295,308,320,540,775,686
PA0451,4217,4703,2239,1921,2831,2026
PA0452,614,647,411,437,517,398
PA0451a,566,639,488,571,733,592
PA0454,1304,1486,1116,1434,1770,1551
atpF,6825,7040,9665,13231,6220,5731
PA0456,4018,4431,4105,8741,7122,7767
PA0457,602,632,531,627,731,662
PA0457.1,504,469,534,551,736,585
PA0458,1239,1017,1162,1395,1729,1573
PA0459,20282,19992,26004,33621,36408,32728
PA0460,5139,5370,6154,10753,8573,8642
PA0461,1488,1311,1313,1826,1917,1670
PA0462,3179,2578,2391,2765,3120,2813
creB,659,656,546,668,986,850
creC,802,681,681,677,1030,878
creD,281,225,222,327,345,302
PA0466,137,166,115,153,143,124
PA0467,2303,2209,1519,1682,2155,1839
PA0468,3420,3582,2140,2230,3396,2868
PA0469,4174,4345,2990,3361,5330,4074
fiuA,969,1113,627,840,1006,906
PA0471,256,1712,192,253,244,287
PA0472,622,3085,270,279,354,427
PA0473,5481,4623,3587,4019,5674,4277
PA0474,46,44,52,59,81,43
PA0475,469,455,401,478,712,574
PA0476,667,656,610,677,910,693
PA0477,668,639,607,708,803,636
PA0478,379,335,394,428,610,492
PA0479,708,569,571,760,880,729
PA0480,233,250,153,204,261,178
PA0481,231,209,180,186,247,168
glcB,13605,13453,8288,11477,37996,30292
PA0483,1106,1216,827,1103,1508,1143
PA0484,4972,4929,3397,3312,4244,3578
PA0485,448,467,596,831,775,659
PA0486,1222,1118,889,967,1593,1376
PA0487,1062,910,818,1090,1629,1306
PA0488,161,190,113,151,185,184
PA0489,284,275,201,264,378,284
PA0490,1033,896,623,619,1251,984
PA0491,283,289,243,302,361,322
PA0492,226,344,159,214,2235,2123
PA0493,163,259,91,130,1944,1637
PA0494,1069,1594,596,803,10961,9174
PA0495,931,1182,633,939,7814,6206
PA0496,1052,1277,724,873,7712,6176
PA0497,268,279,228,360,1366,1102
PA0498,500,516,487,617,666,542
PA0499,202,179,200,191,241,203
bioB,3895,5897,3316,4146,7275,5525
bioF,2016,2693,1588,2146,2997,2494
PA0502,3780,3479,2548,2707,3548,2830
PA0503,1063,1054,936,1238,1456,1188
atpG,2974,3208,4622,8909,3222,3318
PA0505,5016,5233,2757,3313,5188,4306
PA0506,13578,12250,20321,31827,18012,16493
PA0507,1451,1486,1143,1374,2651,2041
PA0508,1361,1316,2154,2929,3448,2651
nirN,1042,6008,1107,1371,1832,1779
PA0510,1780,8552,1432,1688,2181,2408
nirJ,1748,6623,1367,2269,1924,2338
PA0512,1875,6564,1293,1464,1806,2093
PA0513,1270,3647,891,1257,1314,1702
nirL,2020,6390,1597,1792,2331,2496
PA0515,3168,8452,2177,2444,3318,3563
nirF,6641,17139,4686,6131,7363,7240
nirC,4549,10619,2954,3060,4500,4351
nirM,7513,19678,4779,5271,7294,6916
nirS,27910,62696,21576,33542,30187,30523
nirQ,6117,26455,3320,3774,11457,9733
PA0521,1300,6979,550,714,2745,2494
PA0522,581,3424,245,232,1120,996
norC,4422,16546,3152,6329,7768,7644
norB,29801,141575,14612,18241,48388,40009
PA0525,13083,65722,7433,8635,21658,18339
PA0526,5457,6876,4130,5141,5387,4465
dnr,1021,1448,1345,2015,1576,1586
rsmY,77,75,109,80,90,69
PA0528,204,191,158,199,194,193
PA0529,1174,1583,805,955,978,932
PA0530,924,1425,671,735,824,848
PA0531,472,607,309,416,371,421
PA0532,126,197,144,153,206,156
PA0533,620,675,637,791,967,852
PA0534,8003,2340,5162,5762,1531,1014
PA0535,1734,748,1175,1204,629,529
PA0536,2430,2137,1992,2268,2454,2074
PA0537,2639,2110,2095,2970,2452,2177
dsbB,255,289,231,351,400,410
PA0539,421,580,386,354,557,440
PA0540,307,217,266,414,262,217
PA0541,813,902,1092,1250,1013,1010
PA0542,1213,1370,1637,2189,2273,2206
PA0543,1976,1780,1036,1093,1900,1511
PA0544,992,873,590,686,1069,779
PA0545,4701,1172,4788,5093,3549,3067
metK,8315,7404,7170,9190,8742,8530
PA0547,2316,2702,1783,2253,2754,2964
tktA,4456,4045,5963,8106,5634,5088
PA0549,850,887,1016,1300,1098,1097
PA0550,430,411,477,623,564,520
epd,789,896,879,1260,1223,1195
pgk,5443,4694,6407,7702,6532,5782
PA0553,7118,4808,3177,3084,6977,4815
PA0554,2425,1854,1301,1444,2622,1972
fda,6564,4508,6214,10277,8419,7918
PA0556,1161,931,865,1017,1179,1004
PA0557,665,517,445,582,626,545
PA0558,4043,4016,3031,3268,4836,4059
PA0559,1450,1462,1334,1800,2114,1719
PA0560,105,155,143,231,216,208
PA0561,275,269,289,387,400,375
PA0562,478,539,469,570,657,646
PA0563,358,385,281,547,439,461
PA0564,293,283,278,322,416,353
PA0565,1418,1257,1180,1387,1715,1455
PA0566,1497,1543,1116,1203,2035,1740
PA0567,1151,1009,1189,2730,2279,1886
PA0568,846,762,734,1647,1428,1303
PA0569,241,235,232,232,313,242
PA0570,90,97,82,94,164,147
PA0571,439,478,303,326,549,397
PA0572,4850,5399,4525,6153,2995,2996
PA0573,108,134,95,145,156,113
PA0574,332,301,289,415,497,388
PA0574.1,44,34,30,49,46,42
PA0575,2938,2639,1979,2500,2702,2366
rpoD,16312,16888,17735,24245,17135,15404
dnaG,1387,1603,1834,2682,2463,2212
PA0578,321,389,362,497,452,388
rpsU,321,325,587,1150,505,584
gcp,545,613,624,746,804,651
PA0581,1002,1156,687,829,1345,1148
folB,279,216,236,245,300,220
PA0583,278,241,250,301,279,275
cca,1602,1503,1166,1237,1910,1557
PA0585,735,585,574,811,641,499
PA0586,25442,20253,18140,27772,27134,21844
PA0587,15770,11667,12414,23196,18966,15965
PA0588,73165,56503,53444,84657,81611,67640
PA0589,571,533,401,687,766,582
apaH,4594,3832,3471,3837,5414,4487
PA0591,2041,1806,1588,2394,2629,2217
ksgA,356,374,370,622,513,527
pdxA,1060,1113,1215,1483,1574,1561
surA,5076,4961,5702,8091,7076,6566
ostA,6402,6860,7873,12974,9908,9429
PA0596,6786,6518,5179,5709,8811,6949
PA0597,3750,4083,2645,2880,4799,4068
PA0598,2530,3241,1985,1893,3032,2489
PA0599,1599,1632,1293,1406,1990,1704
PA0600,1214,1280,1235,1338,1549,1333
PA0601,516,594,611,917,854,758
PA0602,1618,1968,1626,1846,1479,1189
atpH,3770,3857,5549,8093,3667,3644
PA0604,2613,1771,1969,2643,3918,2701
PA0605,609,445,538,777,975,667
PA0606,436,288,445,589,625,486
rpe,394,463,507,842,510,502
PA0608,886,981,890,1139,1256,1152
trpE,1261,1364,1275,1668,1775,1604
prtN,625,652,444,834,981,846
prtR,651,722,649,805,1350,1106
ptrB,354,352,243,292,520,420
PA0613,324,305,218,263,504,417
PA0614,583,667,293,266,705,538
PA0615,2199,2647,1319,1164,2670,2078
PA0616,715,848,499,529,1038,798
PA0617,523,614,398,510,836,716
PA0618,2524,3168,1378,1635,3346,2630
PA0619,1839,2094,1236,1272,2617,2073
PA0620,5499,6985,3977,5049,9281,7286
PA0621,371,410,353,961,748,761
PA0622,8079,9612,5918,7681,14183,11555
PA0623,2488,2974,1793,2445,4366,3610
PA0624,1260,1507,938,1265,2207,1805
PA0625,5184,7319,3525,3939,8321,6547
PA0626,1827,2178,1387,1432,2619,2082
PA0627,215,244,170,348,397,336
PA0628,1277,1498,869,1001,1974,1482
PA0629,663,837,448,640,1000,769
PA0630,500,540,336,342,600,536
PA0631,329,388,258,245,460,361
PA0633,1292,1760,1033,1564,2481,2104
PA0634,1268,1680,758,968,2034,1740
PA0635,736,924,482,633,1176,1021
PA0636,2474,3049,1745,2167,4192,3391
PA0637,706,792,495,688,989,907
PA0638,1609,1733,1059,1229,2243,1831
PA0639,1140,1380,799,868,1679,1346
PA0640,321,413,337,475,587,498
PA0641,4750,5468,3653,4349,7551,6109
PA0643,936,1190,782,1334,1646,1279
PA0644,247,350,258,472,560,461
PA0645,226,263,229,441,458,395
PA0646,963,1194,869,1290,1675,1397
PA0647,317,408,293,423,496,424
PA0648,242,219,213,277,303,279
trpG,1339,1403,1113,1527,2202,1968
trpD,2031,2102,1867,2327,2860,2561
trpC,1499,1489,1634,2210,2169,2004
vfr,2209,2170,1965,2713,2357,2132
PA0653,328,353,359,444,490,402
speD,337,410,351,595,438,387
PA0655,2910,3173,2257,3000,3254,2735
PA0656,2172,1993,1336,2243,1944,1601
atpI,155,132,197,273,169,166
PA0658,1708,1820,1516,1563,2225,1859
PA0659,1344,1218,1447,2021,1581,1500
PA0660,3475,2755,2792,3473,3849,3222
PA0661,606,577,485,831,882,827
argC,2021,2119,1708,2034,2376,2093
PA0663,547,495,539,667,624,567
PA0664,481,503,600,713,671,656
PA0665,1673,2844,756,963,2689,2202
PA0666,1313,1374,1298,1803,2135,1795
PA0667,2154,2031,2400,4037,3624,3090
tyrZ,1313,1613,1494,2373,1705,1906
PA0668.2,96,92,164,224,131,105
PA0668.3,48,50,76,105,72,64
PA0669,598,539,421,547,877,693
PA0670,368,408,280,356,565,464
PA0671,267,247,167,187,372,289
hemO,346,2559,309,392,429,357
PA0673,149,262,173,314,313,263
vreA,91,126,83,72,130,103
vreI,22,29,18,38,39,16
vreR,171,191,107,129,177,176
PA0677,61,63,48,51,91,83
PA0678,32,28,19,20,45,49
PA0679,197,209,145,167,223,187
PA0680,68,83,64,68,113,88
PA0681,66,39,40,39,83,58
PA0682,48,41,45,47,55,53
PA0683,64,53,38,37,62,70
PA0684,36,26,25,29,58,26
PA0685,241,213,178,170,261,184
PA0686,112,137,71,80,143,106
PA0687,77,92,50,85,85,58
PA0688,367,416,285,404,407,343
PA0689,275,213,275,454,367,357
PA0690,2521,2509,2108,2618,3178,2633
PA0691,3,3,5,8,4,2
PA0692,57,47,47,38,69,60
exbB2,123,119,95,113,142,92
exbD2,17,16,16,23,12,19
PA0695,19,27,10,29,20,15
PA0696,138,148,125,149,241,144
PA0697,23,31,23,55,33,28
PA0698,89,69,44,95,107,55
PA0699,153,140,122,126,175,152
PA0700,65,91,63,64,95,53
PA0701,140,185,121,159,220,183
PA0701a,494,533,457,453,795,604
PA0702,186,174,154,170,252,233
PA0703,322,281,258,319,306,296
PA0704,1791,1543,1379,1724,1557,1401
