,Emp_20_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy.EDGE-pro.rpkm_0,Emp20_monohydroxy_2.EDGE-pro.rpkm_0,Emp20_monohydroxy.EDGE-pro.rpkm_0,Emp20_Oleic_acid_2.EDGE-pro.rpkm_0,Emp20_Oleic_acid.EDGE-pro.rpkm_0,Emp_20.EDGE-pro.rpkm_0
PA2060,1,0,14,11,2,0,0,6
PA2061,24,24,9,0,9,3,11,0
PA2062,126,76,72,6,98,12,80,64
PA2063,33,85,49,3,48,12,90,84
PA2064,56,13,27,4,32,0,35,5
PA2065,83,75,98,26,66,28,9,161
PA2066,49,110,79,13,56,14,35,181
PA2067,81,126,125,5,10,7,22,42
PA2068,112,204,116,15,28,29,28,129
PA2069,1298,1824,1652,122,296,189,390,1116
PA2070,15,37,53,12,25,3,2,49
PA2071,708,996,932,747,1005,392,857,1167
PA2072,569,417,1169,445,357,215,350,485
PA2073,8,6,84,6,35,23,30,49
PA2074,4,8,0,8,4,0,2,2
PA2075,47,71,17,32,29,8,28,79
PA2076,101,110,150,200,145,40,234,232
PA2077,21,5,0,0,0,5,0,9
PA2078,17,6,23,14,65,1,31,16
PA2079,136,178,63,127,73,129,159,168
PA2080,492,354,464,318,368,374,302,423
PA2081,360,362,308,117,403,178,308,464
PA2082,98,49,154,34,37,23,120,65
PA2083,703,292,376,332,367,144,404,361
PA2084,16,7,41,34,6,5,2,34
PA2085,1,40,26,4,4,17,5,40
PA2086,19,20,15,5,10,8,43,38
PA2087,0,0,0,0,0,1,0,0
PA2088,0,4,0,2,11,3,15,0
PA2089,20,123,38,34,53,24,85,110
PA2090,0,4,0,8,4,0,0,7
PA2091,0,0,11,0,1,0,2,0
PA2092,3,0,33,2,0,0,0,31
PA2093,10,4,27,39,9,53,12,12
PA2094,0,50,33,0,2,0,0,1
PA2095,41,117,50,52,87,5,5,91
PA2096,2,1,0,11,32,12,6,24
PA2097,33,1,3,18,90,4,72,14
PA2098,3,0,0,5,0,1,0,2
PA2099,15,1,3,1,6,9,0,4
PA2100,417,379,844,430,369,242,344,566
PA2101,212,147,477,290,229,186,277,229
PA2102,99,78,281,109,93,108,88,131
PA2103,549,563,1361,627,537,631,337,362
PA2104,347,258,624,524,455,324,478,567
PA2105,240,84,298,337,182,228,416,215
PA2106,177,133,473,322,446,159,350,85
PA2107,42,21,9,5,38,0,102,96
PA2108,2,0,57,0,11,0,12,10
PA2109,5,2,0,7,31,8,2,21
PA2110,4,0,0,3,15,1,5,3
PA2111,21,41,11,18,116,0,11,53
PA2112,0,2,0,2,12,0,0,3
PA2113,12,8,1,36,117,10,1,17
PA2114,109,139,132,242,498,29,143,218
PA2115,22,50,46,59,137,22,85,23
PA2116,21,39,8,27,83,16,32,42
PA2117,119,89,32,95,210,39,54,188
PA2118,30,36,8,2,0,4,5,15
PA2118a,57,60,131,115,153,59,73,216
PA2119,3003,3422,3695,2929,3899,2260,4315,5192
PA2120,4,7,15,29,7,1,3,32
PA2121,219,102,206,118,199,57,117,166
PA2122,1046,178,244,185,354,652,678,1004
PA2123,116,63,55,31,121,50,120,111
PA2124,12,4,96,19,5,4,27,23
PA2125,10,5,0,5,32,0,2,18
PA2126,39,93,91,22,97,55,87,185
PA2127,291,570,542,362,524,295,875,848
PA2128,841,717,1186,509,806,528,749,635
PA2129,4,15,42,5,32,5,0,9
PA2130,39,0,27,5,0,3,6,12
PA2131,0,6,5,5,25,2,22,12
PA2132,0,3,0,0,2,0,0,2
PA2133,1,21,0,0,3,0,0,0
PA2134,70,35,242,45,48,17,89,33
PA2135,45,21,44,25,43,20,31,27
PA2136,0,9,7,0,0,6,0,8
PA2137,0,2,0,0,8,0,23,17
PA2138,22,35,51,29,45,1,14,44
PA2140,0,6,0,0,1,0,2,0
PA2141,0,0,0,0,0,0,0,18
PA2142,74,38,0,14,51,10,38,17
PA2142a,77,68,71,31,45,16,80,61
PA2143,9,0,51,0,0,0,0,0
PA2144,97,218,88,44,172,67,193,197
PA2145,5,10,15,25,28,20,12,21
PA2146,0,0,0,0,1,2,0,0
PA2147,216,22,0,49,245,36,77,88
PA2148,0,0,0,0,0,0,0,0
PA2149,0,0,0,0,0,0,0,0
PA2150,16,34,41,0,36,0,15,11
PA2151,56,25,64,23,40,28,44,42
PA2152,45,76,252,82,120,61,24,153
PA2153,49,37,43,13,36,17,9,2
PA2154,12,0,0,1,0,0,28,0
PA2155,0,6,0,0,0,0,0,0
PA2156,0,0,0,0,0,2,0,7
PA2157,1,5,12,4,13,0,8,18
PA2158,14,2,1,0,5,17,6,1
PA2159,7,0,5,0,4,7,2,33
PA2160,136,126,77,32,75,119,1,36
PA2161,5,0,6,1,1,0,0,1
PA2162,5,4,8,7,1,0,1,7
PA2163,2,0,0,3,0,3,7,15
PA2164,2,1,11,40,45,5,0,8
PA2165,92,95,76,71,95,83,90,111
PA2166,34,11,143,24,31,7,36,107
PA2167,3,38,30,10,10,2,18,15
PA2168,18,0,0,2,0,0,19,28
PA2169,1,0,6,0,18,13,12,10
PA2170,0,0,0,0,0,0,0,0
PA2171,1,3,17,72,10,3,0,25
PA2172,12,2,15,7,6,8,0,21
PA2173,18,57,25,34,25,0,0,42
PA2173a,0,2,2,1,0,0,1,25
PA2174,336,202,384,133,312,120,408,242
PA2175,30,53,105,5,10,8,63,35
PA2176,10,19,11,5,9,10,40,20
PA2177,269,153,179,152,234,83,142,166
PA2178,7,1,26,0,8,1,47,0
PA2179,9,12,0,2,7,2,8,33
PA2180,1,49,0,7,1,19,0,6
PA2181,1,19,0,0,1,0,0,6
PA2182,470,116,432,246,259,185,129,257
PA2183,49,0,41,21,28,29,0,24
PA2184,26,8,3,45,22,30,0,29
PA2185,96,20,75,129,77,56,185,75
PA2187,67,18,34,0,22,0,2,0
PA2188,1,32,19,2,26,0,4,2
PA2189,44,26,99,38,65,9,24,136
PA2190,73,19,57,13,49,9,147,85
PA2191,139,52,25,52,47,170,40,58
PA2192,6,8,0,0,0,0,104,0
PA2193,298,325,238,114,181,115,297,389
PA2194,266,470,254,47,173,120,273,914
PA2195,563,556,1459,581,452,487,853,1700
PA2196,98,133,252,186,133,66,340,206
PA2197,356,331,550,204,433,106,368,474
PA2198,23,28,48,31,46,6,19,70
PA2199,188,119,68,52,66,93,59,307
PA2200,84,65,74,72,27,41,15,94
PA2201,94,26,94,39,64,17,86,61
PA2202,66,1,54,29,122,18,77,101
PA2203,15,36,0,15,57,2,18,72
PA2204,4109,2044,1844,1932,2400,952,1778,2970
PA2205,33,15,24,67,17,16,20,11
PA2206,130,73,44,112,158,98,95,114
PA2207,0,25,54,18,13,14,4,10
PA2208,0,23,15,0,9,0,1,5
PA2209,17,10,0,9,7,0,40,3
PA2210,48,202,141,58,35,90,181,112
PA2211,4,48,6,29,38,6,1,18
PA2212,23,72,42,40,25,6,6,11
PA2213,7,0,14,24,8,0,0,24
PA2214,0,13,99,3,0,0,29,9
PA2215,56,16,0,0,6,1,7,70
PA2216,2,21,0,1,0,10,0,0
PA2217,4,7,2,0,19,1,0,0
PA2218,214,52,215,314,83,63,172,119
PA2219,84,72,46,43,58,48,42,38
PA2220,177,95,296,145,128,158,252,227
PA2221,169,65,404,139,139,63,106,147
PA2222,622,363,234,225,411,564,466,511
PA2223,1496,733,1298,1602,753,910,1175,1369
PA2224,228,207,345,180,159,41,364,175
PA2225,70,92,105,232,71,7,56,22
PA2226,149,183,242,152,196,241,252,92
PA2227,415,589,990,678,574,262,521,972
PA2228,93,303,203,141,85,36,102,118
PA2229,207,317,160,61,188,85,153,213
PA2230,78,53,155,51,103,33,24,53
