,Emp_20_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy_2.EDGE-pro.rpkm_0,Emp20_Dihydroxy.EDGE-pro.rpkm_0,Emp20_monohydroxy_2.EDGE-pro.rpkm_0,Emp20_monohydroxy.EDGE-pro.rpkm_0,Emp20_Oleic_acid_2.EDGE-pro.rpkm_0,Emp20_Oleic_acid.EDGE-pro.rpkm_0,Emp_20.EDGE-pro.rpkm_0
PA0001,4102,3185,5719,5851,4015,3076,4286,5553
PA0002,10636,9311,14625,14215,12457,7083,12715,14052
PA0003,1331,1293,1721,1546,1027,755,1433,1185
PA0004,17199,12916,18897,25654,19418,12226,14728,16570
PA0005,532,394,510,630,394,303,734,830
PA0006,262,301,359,217,198,127,250,257
PA0007,878,495,634,454,794,225,519,645
PA0008,919,807,763,714,915,356,616,979
PA0009,1666,959,1874,1272,1083,724,1145,1756
PA0010,291,107,79,184,158,132,169,222
PA0011,933,1135,1287,2534,1476,1033,1801,1437
PA0012,574,625,1382,1138,719,560,985,872
PA0013,506,259,493,698,462,359,295,456
PA0014,81,178,110,206,68,93,50,164
PA0015,29,55,10,16,20,8,28,22
PA0016,1581,2957,3889,1836,4308,903,3115,3779
PA0017,159,139,112,197,296,97,213,160
PA0018,47,99,34,16,74,20,25,55
PA0019,5719,4892,11621,10312,8588,5796,7630,7433
PA0020,4265,6007,6683,3082,6523,1965,3303,6879
PA0021,15,6,13,15,24,6,4,59
PA0022,69,92,99,46,83,24,174,84
PA0023,533,534,652,369,855,287,500,737
PA0024,679,1819,1413,743,1525,429,933,1888
PA0025,195,588,418,212,567,176,317,446
PA0026,2179,674,983,682,1247,403,734,1259
PA0027,501,177,251,94,277,101,124,187
PA0028,29,6,0,4,25,9,3,58
PA0029,5,8,3,10,16,12,2,36
PA0030,2,0,0,1,9,2,0,25
PA0031,97,148,61,19,62,16,19,118
PA0032,51,57,111,15,135,22,29,82
PA0032a,11,36,1,23,64,11,30,112
PA0033,43,31,90,84,101,21,72,145
PA0034,29,110,186,70,152,63,159,116
PA0035,1974,1134,1393,2392,2881,819,2041,2691
PA0036,4869,3619,4338,4366,6458,2525,5230,5848
PA0037,50,45,22,9,39,42,71,46
PA0038,546,249,329,394,377,206,474,509
PA0039,43813,19112,55713,64922,62190,37825,41757,29334
PA0040,589,811,799,689,778,510,692,752
PA0041,572,695,768,465,603,319,1031,722
PA0041a,24,44,12,73,17,69,113,100
PA0042,20,93,50,72,70,14,63,109
PA0043,53,106,80,46,92,34,90,126
PA0044,103,60,37,68,53,48,69,101
PA0045,281,473,367,474,524,317,695,504
PA0046,184,15,39,55,123,62,65,32
PA0047,36,37,26,10,48,1,19,62
PA0048,0,0,0,0,18,0,2,11
PA0049,35,34,74,53,134,5,15,27
PA0050,50,10,20,15,25,9,7,72
PA0051,56,45,132,11,15,23,38,71
PA0052,96,105,168,21,66,30,59,179
PA0054,333,397,333,343,268,312,374,325
PA0055,1660,1795,2648,1308,2351,644,1331,2008
PA0056,169,231,224,141,204,137,192,171
PA0057,60,48,8,10,14,1,11,41
PA0058,8,14,54,2,20,18,6,13
PA0059,691,973,1559,451,1124,400,573,1010
PA0060,99,97,31,57,96,24,61,121
PA0061,300,122,45,172,107,50,113,316
PA0062,65,116,239,61,202,11,51,110
PA0063,335,359,595,252,381,287,311,581
PA0064,64,83,102,38,128,41,101,167
PA0065,251,311,480,144,320,55,287,229
PA0066,141,393,191,134,270,81,124,247
PA0067,2045,2378,2574,1754,3863,964,2036,2789
PA0068,64,110,97,84,164,51,78,177
PA0069,226,286,232,142,239,123,73,230
PA0070,1043,2445,2209,851,2892,513,1209,2839
PA0071,1608,1407,2485,1880,2126,1362,2632,2701
PA0072,7,26,4,0,5,0,3,17
PA0073,2,9,6,0,6,0,1,25
PA0074,445,688,534,211,683,143,287,807
PA0075,38,43,17,8,38,10,1,60
PA0076,120,229,83,18,184,42,21,133
PA0077,351,436,394,181,490,134,257,672
PA0078,64,186,145,34,93,13,52,123
PA0079,115,373,269,153,132,104,187,137
PA0080,233,244,376,122,216,80,112,220
PA0081,1034,1008,1978,1155,1729,753,870,1064
PA0082,955,826,1284,821,1044,918,872,1312
PA0083,419,494,462,447,838,243,702,774
PA0084,4479,4488,6065,5325,7005,3837,4791,6230
PA0085,1898,1747,3371,2218,3215,1609,2303,2779
PA0086,98,42,219,88,248,60,77,165
PA0087,59,216,156,41,150,25,104,200
PA0088,201,537,431,156,489,171,231,466
PA0089,97,185,337,87,400,54,144,134
PA0090,925,1301,1085,533,1454,584,925,1267
PA0091,259,218,528,188,427,187,365,385
PA0092,605,514,1665,756,734,431,1064,1219
PA0093,1037,724,953,1135,1234,859,1060,1005
PA0094,322,715,249,191,571,137,422,919
PA0095,924,554,777,1066,1509,522,1283,857
PA0096,53,25,194,237,139,36,254,59
PA0097,48,52,40,38,54,14,27,33
PA0098,14,6,0,5,40,3,12,5
PA0099,1252,988,1008,2477,1567,1497,1520,873
PA0100,559,804,498,743,626,582,651,465
PA0101,312,198,189,213,168,78,229,146
PA0102,891,312,1136,837,1245,665,1007,1126
PA0103,77,39,91,53,96,23,40,81
PA0103a,714,380,560,562,508,289,598,534
PA0105,412,164,296,191,356,160,459,326
PA0106,254,225,306,134,187,96,260,309
PA0107,68,23,131,23,14,14,28,62
PA0108,322,132,198,118,245,66,137,244
PA0109,168,186,275,97,180,31,146,180
PA0110,166,159,160,44,145,83,128,170
PA0111,1,16,0,3,0,1,1,4
PA0112,21,1,0,1,24,12,15,47
PA0113,69,73,15,65,85,110,132,39
PA0114,2227,2261,2171,2020,2201,1390,1629,2600
PA0115,998,1722,1610,753,1446,512,912,1604
PA0116,134,99,162,99,124,114,136,213
PA0117,59,88,90,51,117,17,86,62
PA0118,364,172,428,360,474,200,201,283
PA0119,139,374,444,549,693,191,344,483
PA0120,26,98,50,15,52,2,18,17
PA0121,40,74,45,22,98,28,60,15
PA0122,6951,3645,6469,2805,1874,1665,3115,4180
PA0123,755,482,648,186,279,195,307,500
PA0124,118,369,506,334,348,249,294,356
PA0125,292,546,593,302,315,187,391,577
PA0126,832,344,574,369,454,458,459,951
PA0127,146,160,141,58,145,40,57,167
PA0128,826,482,952,773,608,170,591,588
PA0129,205,364,211,233,149,97,238,131
PA0130,836,630,1041,520,1071,697,942,1194
PA0131,102,118,53,17,48,31,19,155
PA0132,238,191,123,102,152,72,134,375
PA0133,207,83,183,103,203,83,159,311
PA0134,365,333,308,294,427,153,344,438
PA0135,0,2,0,7,15,1,47,2
PA0136,6,10,0,0,6,0,15,0
PA0137,5,6,1,12,0,0,3,38
PA0138,50,28,15,12,38,9,29,92
PA0139,28416,22082,30443,29338,25818,15973,24924,25275
PA0140,1127,740,1765,1034,969,471,991,1468
PA0141,1542,1577,1803,1967,2897,549,1227,3145
PA0142,50,76,127,15,69,26,55,67
PA0143,1590,962,1478,759,1117,699,1095,2696
PA0144,39,113,86,13,37,13,36,171
PA0145,28,47,15,11,56,10,26,63
PA0146,11,31,4,8,5,0,5,40
PA0147,96,97,153,33,116,74,89,191
PA0148,1484,1398,2170,1616,1618,611,931,1810
PA0149,7,10,0,3,27,2,12,14
PA0150,2,28,9,3,7,3,12,36
PA0151,46,140,147,63,204,29,155,114
PA0152,22,48,42,6,23,7,25,41
PA0153,18,79,23,28,45,16,27,46
PA0154,7,37,0,14,40,1,3,90
PA0155,416,588,568,177,463,136,376,784
PA0156,148,97,67,28,73,43,57,159
PA0157,70,142,54,33,75,5,42,176
PA0158,1209,1288,1810,804,1271,667,1471,1401
PA0159,214,178,216,128,228,132,177,287
PA0160,129,78,330,78,89,51,45,50
PA0162,392,235,397,470,640,209,253,390
PA0163,37,19,6,20,12,2,24,13
PA0164,106,87,256,65,198,38,40,27
PA0165,641,695,1489,1452,1432,1107,1095,1074
PA0166,1,38,0,10,1,1,0,11
PA0167,515,336,535,668,1079,354,434,627
PA0168,141,197,167,82,397,89,198,167
PA0169,73,192,262,109,100,65,75,84
PA0170,2,165,98,104,115,16,128,143
PA0171,44,317,322,295,459,133,120,329
PA0172,84,199,89,278,330,133,193,174
PA0173,116,127,35,34,103,40,61,29
PA0174,143,90,55,51,149,46,65,24
PA0175,484,404,574,189,572,144,309,590
PA0176,1997,1166,1542,1092,1517,405,1267,1153
PA0177,297,353,280,171,512,54,185,447
PA0178,1756,1099,2001,1304,1311,406,1296,1746
PA0179,2293,1296,2852,1215,1853,630,1395,2035
PA0180,3731,1591,3014,1703,1793,1939,1674,2617
PA0181,87,196,204,69,63,43,69,112
PA0182,3,3,0,3,4,0,2,1
PA0183,25,17,1,15,84,15,20,37
PA0184,15,2,0,0,10,6,0,28
PA0185,21,10,2,7,20,3,15,15
PA0186,4,12,0,1,3,0,18,1
PA0187,43,74,33,3,1,29,71,19
PA0188,1,1,0,1,1,0,3,2
PA0189,14,8,37,2,9,3,0,3
PA0190,39,32,71,4,33,0,56,21
PA0191,319,110,160,113,197,47,109,167
PA0192,19,8,4,15,0,1,99,4
PA0193,7,7,39,3,8,0,53,5
PA0194,11,18,0,3,15,8,3,2
PA0195,321,170,105,419,197,67,296,364
PA0195.1,341,409,621,749,525,265,555,503
PA0196,496,525,472,463,559,336,755,663
PA0197,20,15,0,16,7,0,1,5
PA0198,14,29,35,11,18,0,5,18
PA0199,120,112,310,109,199,60,76,204
PA0200,69,123,101,24,54,35,79,108
PA0201,535,550,649,225,419,599,1044,533
PA0202,50,47,24,6,39,15,16,64
PA0203,51,25,71,31,38,13,59,58
PA0204,10,17,0,24,10,4,17,18
PA0205,15,2,1,0,20,19,2,2
PA0206,6,42,29,12,18,5,33,17
PA0207,82,148,69,41,116,10,11,79
PA0208,54,102,209,288,490,106,187,90
PA0209,2,2,2,0,3,0,0,28
PA0210,0,6,0,0,0,0,0,2
PA0211,11,9,4,1,1,0,1,9
PA0212,13,2,1,8,63,2,30,16
PA0213,0,0,0,0,2,0,0,2
PA0214,3,3,0,6,6,2,3,24
PA0215,48,104,15,124,139,11,107,89
PA0216,5,14,8,15,42,38,15,55
PA0217,102,154,330,31,154,34,120,42
PA0218,40,31,7,54,80,26,47,61
PA0219,9,0,62,1,13,0,17,17
PA0220,13,1,85,2,10,21,61,42
PA0221,22,9,0,13,22,1,53,65
PA0222,15,12,0,17,16,0,20,5
PA0223,34,18,36,30,18,12,6,64
PA0224,99,8,1,44,31,10,15,29
PA0225,148,143,84,220,227,127,282,162
PA0226,45,166,64,53,54,84,105,46
PA0227,1,44,52,11,27,0,31,31
PA0228,0,0,4,5,4,0,9,7
PA0229,29,119,265,208,152,26,328,69
PA0230,10,25,3,47,4,2,19,11
PA0231,12,55,30,1,38,3,44,14
PA0232,55,113,152,187,214,83,60,117
PA0233,114,129,168,91,127,34,76,107
PA0234,28,67,118,21,168,106,151,100
PA0235,21,2,18,0,0,18,19,35
PA0236,100,100,130,29,77,6,90,163
PA0237,5,43,0,4,0,1,11,11
PA0238,0,0,0,0,0,1,0,0
PA0239,159,70,72,140,136,43,184,60
PA0240,10,17,18,0,14,0,3,18
PA0241,32,71,9,0,5,0,4,8
PA0242,47,13,1,0,20,12,4,9
PA0243,324,214,251,160,197,149,151,216
PA0244,10,29,50,9,45,9,10,19
PA0245,3,13,12,4,6,0,11,10
PA0246,11,76,38,3,43,44,37,44
PA0247,8,25,0,7,47,12,1,10
PA0248,91,325,216,55,204,75,28,230
PA0249,13,11,7,3,29,12,14,16
PA0250,72,65,244,29,70,11,55,49
PA0251,44,41,3,112,34,18,5,0
PA0252,12,6,0,3,5,0,27,20
PA0253,71,37,176,67,47,12,68,39
PA0254,77,174,198,78,47,5,9,63
PA0255,28,20,16,54,31,3,16,24
PA0256,211,255,540,392,378,212,251,228
PA0257,371,220,532,792,256,368,549,567
PA0258,132,361,548,454,132,154,331,186
PA0259,1557,1455,2351,1804,1720,1252,2542,1929
PA0260,560,440,1511,678,547,486,554,734
PA0261,30,11,81,32,45,17,82,89
PA0262,557,507,868,411,430,345,261,384
PA0263,1519,777,1290,170,85,376,295,569
PA0263.1,15,7,14,11,11,2,4,10
PA0265,619,1023,828,931,1219,352,599,1147
PA0266,1149,2078,2060,1278,3052,621,1315,2028
PA0267,390,244,223,78,141,71,257,271
PA0268,19,8,4,3,10,2,13,35
PA0269,124,465,102,112,140,35,295,287
PA0270,62,132,57,43,39,9,83,115
PA0271,67,22,23,22,27,14,96,29
PA0272,222,700,579,190,313,163,246,423
PA0273,172,201,309,94,201,120,127,222
PA0274,22,3,0,0,5,8,5,7
PA0275,89,128,116,63,264,61,68,244
PA0276,111,85,123,56,109,135,169,81
PA0277,106,54,106,105,86,60,207,190
PA0278,4,4,1,2,5,2,2,3
PA0279,2,10,6,0,24,13,3,34
PA0280,1036,568,665,763,1945,379,678,2111
PA0281,751,267,167,704,678,155,367,791
PA0282,779,232,462,337,253,213,112,605
PA0283,2109,664,771,847,1020,243,561,936
PA0284,3108,1709,2084,1379,1493,682,1874,1732
PA0285,633,799,644,366,770,378,530,803
PA0286,7108,5120,7889,5761,5909,4042,4438,7236
PA0287,37,184,52,27,17,0,2,85
PA0288,36,129,77,37,51,7,56,87
PA0289,160,102,294,129,408,129,116,327
PA0290,126,270,110,94,121,57,55,70
PA0291,3419,4870,8455,4616,6496,2937,4349,5717
PA0292,947,1274,1536,846,1878,455,877,1658
PA0293,108,290,246,34,225,25,101,282
PA0294,91,181,110,59,162,89,101,219
PA0295,1416,930,837,733,901,368,821,1203
PA0296,7619,7687,9824,10542,10817,6904,9847,9238
PA0297,983,566,678,308,1239,585,677,612
PA0298,894,506,1272,1413,1556,643,858,765
PA0299,1040,1046,1815,1034,2057,632,1107,1144
PA0300,19316,10466,21519,28357,21836,16864,18245,14474
PA0301,3576,2181,4810,3895,3862,1799,2972,3800
PA0302,1087,1105,1017,1071,1222,535,922,1263
PA0303,2086,576,2085,1799,1759,1276,1261,1546
PA0304,761,870,1625,1377,1128,569,665,675
PA0305,429,772,398,393,676,232,352,481
PA0306,149,141,131,67,171,58,93,225
PA0306a,51731,30278,64727,52726,34836,26992,38797,48126
PA0307,533,356,495,117,312,145,327,510
PA0308,111,75,115,64,77,20,55,155
PA0309,220,259,126,73,227,78,100,314
PA0310,714,375,804,318,502,311,239,693
PA0311,23,11,72,2,25,0,39,25
PA0312,13,64,19,8,10,12,31,3
PA0313,524,210,822,183,398,241,408,447
PA0314,612,711,1108,607,957,209,434,638
PA0315,517,295,673,745,626,272,450,338
PA0316,6146,4230,6682,5962,4681,2908,5671,7832
PA0317,1673,1965,1818,2163,2499,1009,2250,2281
PA0318,389,358,484,277,530,367,408,323
PA0319,389,365,662,306,573,193,233,580
PA0320,440,405,1041,1106,1036,837,607,962
PA0321,199,93,242,209,265,125,100,183
PA0322,35,30,1,40,41,29,35,115
PA0323,53,70,78,71,119,167,122,136
PA0324,0,32,42,2,41,45,2,18
PA0325,6,29,4,30,30,8,91,91
PA0326,1,54,8,22,71,7,0,14
PA0327,166,196,259,101,121,58,86,86
PA0328,132,164,198,139,232,117,146,181
PA0329,3061,2597,4319,2905,3739,1025,2364,2642
PA0330,1218,1228,2026,912,1556,503,969,1446
PA0331,753,526,935,721,878,212,772,887
PA0332,68,116,58,16,85,23,35,96
PA0333,79,54,66,47,118,32,42,68
PA0334,73,90,233,89,111,18,68,93
PA0335,106,114,78,19,79,31,100,152
PA0336,434,361,836,280,658,346,372,621
PA0337,6188,5505,8564,5909,7383,3959,5595,6847
PA0338,844,1074,2318,1114,1328,717,1489,1170
PA0339,15,26,9,8,21,1,40,31
PA0340,96,118,248,68,176,35,53,278
PA0341,707,657,782,444,815,393,392,710
PA0342,1247,1239,1840,1194,1924,832,1617,1859
PA0343,592,685,780,476,774,397,665,741
PA0344,108,201,112,66,198,80,85,208
PA0345,32,60,60,23,75,10,27,74
PA0346,8,12,12,2,5,6,2,1
PA0347,167,228,197,138,248,82,140,19
PA0348,15,18,80,32,29,3,9,19
PA0349,16,10,7,33,32,12,27,34
PA0350,39,59,29,44,58,9,40,39
PA0351,76,231,75,47,200,19,174,187
PA0352,140,115,225,153,330,101,115,285
PA0353,2769,6724,5987,2063,4622,1904,5185,7437
PA0354,328,325,347,142,237,104,251,371
PA0355,36,26,170,115,176,72,116,196
PA0356,121,289,406,169,357,83,523,457
PA0357,424,754,589,224,1086,168,435,869
PA0358,167,266,446,172,287,115,327,178
PA0359,258,432,344,152,466,165,432,478
PA0360,89,7,192,108,52,15,10,195
PA0361,484,529,610,253,667,181,389,509
PA0362,980,598,1001,1006,1000,599,741,714
PA0363,2107,2078,3064,2439,2507,1299,2249,3027
PA0364,228,188,174,197,561,232,260,451
PA0365,59,24,82,50,80,3,61,66
PA0366,347,339,230,348,457,155,366,365
PA0367,921,665,845,987,1146,672,673,1104
PA0367a,47,48,20,23,37,16,35,56
PA0368,67,114,149,42,128,35,118,118
PA0370,37,45,60,12,62,24,31,10
PA0371,602,625,651,324,505,172,405,796
PA0372,1599,1524,1493,1088,1516,712,1050,1794
PA0373,324,427,330,300,504,145,346,689
PA0374,1074,1266,1628,1265,1415,724,1130,1594
PA0375,885,1175,892,579,1018,566,687,1282
PA0376,2566,3363,5918,2434,3738,1762,3223,4550
PA0377,114,110,240,198,189,38,138,354
PA0378,6,37,5,3,39,3,8,18
PA0379,5,30,5,11,15,23,24,8
PA0380,4,35,0,2,15,11,5,31
PA0381,793,2184,1317,612,1553,246,744,2130
PA0382,71,191,143,62,218,28,71,234
PA0383,52,111,42,43,145,68,138,152
PA0384,49,66,5,40,60,7,28,61
PA0385,311,456,481,282,530,148,387,671
PA0386,336,292,331,145,225,83,214,319
PA0387,170,331,405,167,281,143,310,353
PA0388,936,1508,2318,1371,1645,1137,1963,1874
PA0389,820,463,1367,549,790,419,815,663
PA0390,1019,834,934,852,745,733,827,1765
PA0391,931,1045,1154,609,832,193,441,1126
PA0392,1305,674,1686,1606,1357,613,1199,2286
PA0393,346,576,508,265,647,277,377,589
PA0394,243,504,224,101,431,45,165,502
PA0395,3741,2826,4726,2594,3680,1845,3233,3992
PA0396,2024,1380,2424,1346,2107,749,1335,1886
PA0397,448,375,1016,339,674,178,483,433
PA0398,195,199,428,244,336,95,162,313
PA0399,4424,2779,3884,2904,2485,1489,2475,2551
PA0400,633,890,642,300,713,199,521,1254
PA0401,321,795,404,197,618,85,219,870
PA0402,1395,1941,1987,1316,2294,692,1754,3163
PA0403,345,589,743,563,525,239,433,812
PA0404,40,48,54,35,67,18,26,72
PA0405,430,311,360,117,369,89,294,695
PA0406,613,739,744,319,523,270,452,838
PA0407,3385,3126,6758,3766,4879,2237,3487,3101
PA0408,2793,3051,3958,4322,3242,2166,3269,3464
PA0409,2526,2675,3606,3194,3858,1938,3620,4482
PA0410,2138,1971,2800,2032,3183,1102,2340,2990
PA0411,5155,3770,5357,4367,6310,2061,4173,6148
PA0412,311,268,342,297,482,187,182,330
PA0413,4911,4455,7838,3698,7145,2086,4386,5442
PA0414,501,377,408,278,721,154,380,448
PA0415,1973,1823,1621,1384,2541,1035,1888,2571
PA0416,38,72,118,19,215,55,51,103
PA0417,16,62,21,5,47,9,43,36
PA0418,60,76,9,27,85,11,59,103
PA0419,14,28,19,15,25,22,12,7
PA0420,649,524,744,892,1180,296,647,778
PA0421,1482,2212,3068,1643,2425,765,1255,2374
PA0422,573,563,517,488,474,275,457,519
PA0423,21461,28529,49872,29136,25253,17112,25887,23070
PA0424,1632,3628,3044,1188,1934,565,1134,2532
PA0425,1686,1900,1861,1011,2258,804,1750,2243
PA0426,7334,6094,9104,8161,7955,5052,6770,8147
PA0427,717,1452,1537,649,1265,293,1152,1706
PA0428,1780,1791,1803,1201,1197,986,1090,2960
PA0429,1864,1966,2249,2176,1703,1097,2991,1970
PA0430,621,850,1233,355,589,449,526,959
PA0431,342,461,359,300,387,95,182,732
PA0432,6444,6089,10286,7831,6883,4410,5852,10526
PA0433,136,330,325,71,168,53,199,242
PA0434,383,1019,863,545,1672,421,957,938
PA0435,12,5,37,2,67,63,154,12
PA0436,619,534,1017,933,684,642,1216,976
PA0437,714,546,1026,390,642,173,690,964
PA0438,25,112,105,38,66,19,60,75
PA0439,1,1,0,41,5,11,0,7
PA0440,16,0,13,1,8,13,2,0
PA0441,22,44,35,20,29,14,21,21
PA0442,0,1,0,3,11,2,1,4
PA0443,41,0,39,0,49,7,32,25
PA0444,8,6,38,10,29,5,9,23
PA0445,59,53,160,91,75,41,82,98
PA0446,243,272,114,206,341,102,132,360
PA0447,2609,1591,1581,1809,2798,836,1617,2695
PA0448,288,129,146,47,167,71,307,218
PA0449,5197,4480,8033,7765,10591,2544,5090,5742
PA0450,1023,790,1442,777,1471,502,867,1022
PA0451,13,16,11,6,10,2,1,8
PA0452,85,100,54,65,61,62,52,102
PA0451a,14,39,131,35,94,60,49,93
PA0454,172,345,213,260,452,192,289,453
PA0455,326,262,462,223,464,199,279,502
PA0456,22980,18792,28840,37465,17544,14926,33216,28592
PA0457,6110,5974,8251,9175,5473,4179,7731,8056
PA0457.1,123,126,206,213,213,22,58,121
PA0458,280,299,254,260,446,94,179,378
PA0459,3862,2699,3963,2742,4609,1388,2526,4902
PA0460,103,223,75,96,189,35,98,134
PA0461,1320,1093,1538,1179,1137,927,1867,1868
PA0462,844,809,841,388,947,301,595,772
PA0463,202,433,301,174,282,142,173,265
PA0464,161,200,142,122,230,35,183,167
PA0465,16,126,0,2,57,7,17,40
PA0466,4,0,0,0,3,3,1,0
PA0467,77,76,52,31,43,10,36,55
PA0468,114,103,48,43,81,47,134,57
PA0469,27,124,39,38,154,11,105,181
PA0470,242,385,619,268,279,269,386,578
PA0471,157,421,250,76,242,27,225,352
PA0472,81,293,354,51,186,74,280,292
PA0473,710,634,717,843,959,361,963,763
PA0474,19,209,232,1,12,4,29,1
PA0475,63,80,32,22,58,26,26,88
PA0476,65,86,53,17,97,30,98,117
PA0477,44,47,49,14,7,1,15,39
PA0478,127,152,117,123,219,64,85,182
PA0479,43,31,79,34,65,5,6,27
PA0480,62,67,109,52,76,14,98,62
PA0481,36,54,0,23,20,0,13,0
PA0482,5139,6892,9642,5924,7648,2153,4085,5248
PA0483,180,214,116,85,142,97,134,152
PA0484,276,287,160,170,226,162,307,425
PA0485,76,182,195,134,134,104,241,310
PA0486,296,484,440,263,430,107,143,633
PA0487,99,280,246,61,227,56,92,141
PA0488,31,67,96,12,45,16,23,45
PA0489,1,0,22,0,2,0,1,12
PA0490,44,56,4,81,19,2,25,98
PA0491,64,146,252,48,81,15,119,171
PA0492,5,56,5,59,61,1,29,46
PA0493,0,1,5,0,8,3,37,17
PA0494,1,41,57,4,16,0,25,23
PA0495,66,77,12,20,132,29,52,80
PA0496,16,62,29,21,74,13,49,96
PA0497,185,186,141,134,165,209,153,159
PA0498,260,442,803,582,266,194,505,488
PA0499,1,73,358,16,81,38,22,22
PA0500,790,481,780,3038,3672,741,910,1454
PA0501,66,65,1,244,380,88,44,68
PA0502,89,128,153,247,233,32,57,159
PA0503,31,6,67,36,98,8,11,29
PA0504,11,29,18,26,116,8,8,63
PA0505,215,411,353,139,351,66,160,391
PA0506,1951,7553,8996,697,1116,1967,4670,2792
PA0507,51,976,1043,98,111,3,5,63
PA0508,85,450,377,37,149,127,263,331
PA0509,909,997,871,666,1159,502,839,1673
PA0510,75,117,57,15,101,25,77,125
PA0511,275,388,360,184,416,162,222,797
PA0512,4,3,1,75,102,1,62,44
PA0513,19,63,11,10,14,10,5,39
PA0514,62,148,86,36,100,29,100,202
PA0515,58,100,72,24,65,38,87,114
PA0516,376,385,356,170,491,122,341,760
PA0517,140,120,99,62,180,69,179,154
PA0518,119,33,91,85,158,17,126,254
PA0519,6618,7326,7292,10062,15779,4861,7103,13049
PA0520,97,268,189,202,253,53,148,214
PA0521,4,15,3,3,12,0,72,13
PA0522,10,7,7,8,37,0,113,56
PA0523,26,523,887,612,1036,240,407,373
PA0524,182,1024,983,1898,1994,588,1014,1093
PA0525,15,48,60,18,107,6,37,66
PA0526,45,263,271,161,335,44,182,74
PA0527,1717,1688,2536,1791,1865,1416,2948,3616
PA0527.1,55,44,32,7,27,2,46,44
PA0528,128,73,23,23,52,6,46,72
PA0529,3,33,96,5,155,18,168,58
PA0530,13,27,6,11,23,18,43,28
PA0531,48,34,28,24,36,20,56,28
PA0532,367,89,327,379,272,138,449,952
PA0533,86,231,238,50,130,52,47,108
PA0534,80,77,21,43,58,53,11,220
PA0535,7,9,5,12,22,4,1,55
PA0536,492,356,606,563,607,187,513,539
PA0537,881,611,1203,955,1198,408,1233,1321
PA0538,145,60,141,68,103,4,129,116
PA0539,68,170,183,60,84,55,136,125
PA0540,82,20,146,88,140,43,70,138
PA0541,711,951,1708,794,1083,303,644,828
PA0542,220,267,186,105,274,24,197,313
PA0543,13,38,20,4,12,1,6,12
PA0544,286,450,466,199,551,127,347,592
PA0545,25,135,10,33,107,3,27,151
PA0546,8162,7984,12448,8163,10330,5669,10598,14239
PA0547,2517,2292,3531,2537,2883,2466,2943,3255
PA0548,7751,6842,8103,5142,8279,3235,7579,9063
PA0549,123,179,148,57,165,16,104,316
PA0550,211,130,162,61,279,43,98,345
PA0551,667,915,765,384,824,253,554,1262
PA0552,1901,1422,2293,2172,2466,917,1830,2415
PA0553,97,125,99,109,127,52,122,21
PA0554,39,2,75,62,120,32,100,14
PA0555,6772,5316,6452,6330,7352,4344,5977,7347
PA0556,188,117,87,145,236,86,101,115
PA0557,109,29,263,234,323,72,134,173
PA0558,120,301,47,42,183,59,116,196
PA0559,629,574,552,483,813,295,626,612
PA0560,186,78,298,105,239,36,225,284
PA0561,343,281,460,481,447,512,247,659
PA0562,29,127,63,20,36,54,63,150
PA0563,3637,2578,5865,9203,6118,3661,6029,5011
PA0564,92,148,56,54,99,39,67,165
PA0565,233,326,260,152,257,67,153,243
PA0566,272,368,390,223,281,104,214,273
PA0567,514,339,375,232,211,119,395,498
PA0568,544,380,798,219,538,334,598,965
PA0569,17,30,25,14,6,1,21,53
PA0570,16,24,25,1,15,1,9,45
PA0571,22,35,17,0,11,2,21,24
PA0572,3859,2515,2480,890,1518,725,1257,1494
PA0573,44,37,38,50,51,14,205,132
PA0574,698,780,1184,896,896,399,939,634
PA0574.1,10,0,42,10,18,3,33,13
PA0575,1913,1668,1971,1075,2013,835,1505,1777
PA0576,28793,25514,49487,49211,33944,20111,37425,38003
PA0577,1854,1509,1629,2129,1917,1229,1818,2851
PA0578,286,293,313,142,176,155,192,360
PA0579,3146,6739,8838,4781,4831,2403,6527,7871
PA0580,205,459,185,114,382,97,178,361
PA0581,183,185,154,36,102,87,99,209
PA0582,12,14,26,14,9,7,14,29
PA0583,21,61,37,14,36,5,1,58
PA0584,211,185,457,83,290,81,152,285
PA0585,75,72,60,24,88,24,63,67
PA0586,18992,10668,21292,18773,15905,8876,12820,10499
PA0587,12649,6431,12203,11377,11549,4981,6685,7252
PA0588,39491,20725,41174,43664,43260,23430,25631,27493
PA0589,143,218,275,147,323,89,147,279
PA0590,435,657,510,375,698,194,345,657
PA0591,174,251,291,237,211,150,263,189
PA0592,558,689,969,763,662,392,856,886
PA0593,605,865,918,592,1018,467,834,1044
PA0594,3611,3771,4909,4538,4287,1631,4101,5069
PA0595,28165,25894,44485,49996,29782,28533,32741,32582
PA0596,316,545,723,410,531,229,332,544
PA0597,37,40,5,20,93,24,88,67
PA0598,41,7,31,27,37,2,18,28
PA0599,91,215,194,140,157,28,193,153
PA0600,118,81,129,35,127,36,103,69
PA0601,165,83,138,169,336,126,169,326
PA0602,208,61,109,123,380,74,235,266
PA0603,445,259,804,244,354,359,409,528
PA0604,180,615,381,186,514,268,449,393
PA0605,124,168,112,103,221,107,304,91
PA0606,139,121,138,75,78,115,153,143
PA0607,1156,732,684,1159,1072,447,726,1917
