,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161_PA3027_1,PAO1161_PA3027_2,PAO1161_PA3027_3
D3C65_00005,850.549793709427,883.285220898866,859.709346698896,748.814514966963,750.74079443766,733.686038139704
D3C65_00010,711.441749811752,714.645476063715,730.479151908489,604.729420641066,578.046426388103,603.973589407823
D3C65_00015,270.326015497487,285.558693610888,284.379439948382,376.618464376602,399.59557940356,380.644269195342
D3C65_00020,1470.22393341067,1562.2214613759,1568.77181849146,1293.056727693,1255.55201659734,1346.34572902511
D3C65_00025,103.784797148788,98.9491398998599,89.0739195730491,101.858175592763,96.74082654628,94.968042821556
D3C65_00030,58.6293064594909,60.705700497353,52.0814721000888,53.4969409625855,65.2400945964995,68.5236894342528
D3C65_00035,41.6353045871747,46.0764330150687,43.441788644233,35.5219687991568,39.6557437743429,33.5862590466479
D3C65_00040,638.246156033133,622.607801116115,652.96537217074,570.491378425011,497.135916913032,572.317575133971
D3C65_00045,386.370771139875,391.419298463008,378.320786820505,317.415183044674,261.440084963914,292.818132033131
D3C65_00050,19.057559242526,17.2786623806507,22.0251085283086,21.2561178758006,20.4674806577253,24.1280596599482
D3C65_00055,74.7736082381913,79.1362737033804,79.4607506573785,64.9096217012704,76.9129546591085,69.6818362979303
D3C65_00060,20.3928022467795,27.6458598090412,26.6491644624286,20.1148498019321,24.3051332810488,20.2675701143565
D3C65_00065,42.9705475914281,39.8561145580344,36.2623333780992,44.0814793531704,50.369190681121,48.4491437971759
D3C65_00070,9.95362966807093,10.5975795934658,8.7613691383327,6.9902669524445,7.99510963192396,7.14190565934466
D3C65_00075,36.4157182978205,30.871210120096,31.1515347140718,38.8031145115287,42.8537876271124,38.6048954559171
D3C65_00080,180.015034118892,179.122133346079,166.831070675752,314.562012860003,273.4327494118,285.869250851066
D3C65_00085,121.264341931742,108.740381915562,98.5654028062429,195.87013317768,164.219551839718,190.70818355223
D3C65_00090,81.4498232594584,79.5970380335311,74.7150090407816,130.389877439475,110.012708535274,120.83332277702
D3C65_00095,186.5698634125,203.197069596453,202.484975641467,255.501390037308,290.382381831478,234.717764371976
D3C65_00100,373.503884007979,372.643152009368,413.853006103743,323.406840432483,330.19802779846,317.911314079477
D3C65_00105,8.2542294808393,7.25703819987331,7.78788367851796,3.42380422160547,4.31735920123894,4.43956297743046
D3C65_00110,84.6058521786029,87.6604138111681,92.1160616349702,74.467741819919,83.3090423646477,80.4912070255871
D3C65_00115,58.3865350041721,62.3183756528803,66.3186969498795,44.9374304085718,45.8919292872435,51.5375354336493
D3C65_00120,520.866157386492,567.085699332957,531.279689693897,231.677418995303,224.022971886509,229.699127962707
D3C65_00125,185.477391863566,190.98681484746,197.860919707347,113.413514840681,120.726155442052,118.517029049665
D3C65_00130,139.593586808312,139.49640095312,144.197533735059,74.0397662922183,82.9892379793707,74.1213992753608
D3C65_00135,46.4907336935508,44.2333756944659,49.1610157206446,42.0842602239006,40.2953525448968,35.9025527740029
D3C65_00140,18.5720163318884,12.7862101616816,13.6287964374064,14.5511679418232,13.4317841816323,13.511713409571
D3C65_00145,3.15602891914444,3.68611464120549,3.40719910935161,3.28114571237191,2.87823946749263,3.86048954559171
D3C65_00150,5.58374347233247,5.06840763165755,4.74574161659688,2.85317018467122,3.67775043068502,3.28141611375295
D3C65_00155,6.91898647658589,4.83802546658221,5.35417002898109,5.84899887857601,6.55598989817765,5.79073431838756
D3C65_00160,23.4274454382645,19.0065286187158,22.0251085283086,21.2561178758006,20.3075784650869,20.0745456370769
D3C65_00165,20.2714165191201,20.7343948567809,23.3636510355539,20.6854838388664,20.9471872356408,21.6187414553136
D3C65_00170,1.82078591489102,1.38229299045206,2.5553993320137,1.8545606200363,3.19804385276959,3.47444059103254
D3C65_00175,3.88434328510085,5.64436304434591,5.84091275888847,6.56229142474382,7.35550086137005,4.63258745471005
D3C65_00180,53.2883344424773,52.5271336371783,53.2983289248573,40.657675131565,38.376526233235,45.5537766379821
D3C65_00185,80.6001231658426,85.1262099953393,89.5606623029565,81.600667281597,69.8772581830154,81.0702804574259
D3C65_00190,26.5834743574089,19.8128661964795,20.929937386017,28.1037263190116,27.023470555903,26.4443533873032
D3C65_00195,29.7395032765534,37.3219107422056,36.2623333780992,27.2477752636102,30.5413187939495,29.5327450237766
D3C65_00200,169.454475812525,181.195572831757,165.492528168507,124.540878560899,156.544246593071,150.559092278077
D3C65_00205,85.2127808168999,95.7237895888051,74.5933233583048,77.8915460415244,73.075302035785,82.4214517983829
D3C65_00210,293.146532297455,300.763916505861,226.943797819312,237.95439340158,237.774560453419,265.40865625943
D3C65_00215,18.8147877872072,23.498980837685,18.8612807839107,12.696607321787,18.2288499607866,18.9163987733994
D3C65_00220,23.0632882552863,26.6091400662021,19.8347662437254,7.27558397091162,13.5916863742707,10.4233217730976
D3C65_00225,24.6413027148585,24.5357005805241,18.7395951014338,3.85177974930615,8.31491401720092,7.52795461390383
D3C65_00230,32.2886035574008,36.0548088342912,34.8021051883771,7.98887651707943,12.7921754110783,13.3186889322914
D3C65_00235,15.9015303233816,15.5507961425857,15.0890246271285,4.4224137862404,6.87579428345461,6.36980775022632
D3C65_00240,21.7280452510329,31.562356615322,22.3901655757391,9.13014459094792,10.2337403288627,16.0210316142056
D3C65_00245,14.5662873191282,16.5875158854247,15.0890246271285,8.41685204478011,11.8327622552475,9.84424834125885
D3C65_00250,22.3349738893299,26.9547133138152,21.5383657984012,22.9680199866034,21.9066003914717,23.9350351826686
D3C65_00255,1.94217164255042,2.07343948567809,1.46022818972212,1.99721912926986,1.75892411902327,1.93024477279585
D3C65_00260,15.2946016850846,12.2102547489932,11.8035112002538,13.6952168864219,13.5916863742707,12.9326399777322
D3C65_00265,37.6295755744145,35.0180890914522,44.0502170566172,28.6743603559458,31.9804385276959,30.4978674101745
D3C65_00270,206.477122748642,232.340413478484,185.327294412232,234.245272161508,213.309524979731,258.266750600085
D3C65_00275,102.449554144535,114.845509290059,82.0161499893922,107.136540434404,75.3139327327237,115.235612935912
D3C65_00280,122.599584935996,116.573375528124,103.31114442284,129.533926384074,116.408796240813,144.18928452785
D3C65_00285,2.54910028084743,2.07343948567809,4.13731320421266,2.71051167543766,4.79706577915438,1.93024477279585
D3C65_00290,18.6934020595478,14.5140763997466,17.8877953240959,7.84621800784587,4.47726139387742,6.75585670478549
D3C65_00295,14.809058774447,15.435605060048,15.4540816745591,5.99165738780957,7.675305246647,8.49307700030176
D3C65_00300,5.34097201701367,4.60764330150687,6.08428412384215,7.56090098937875,4.47726139387742,5.98375879566715
D3C65_00305,4.85542910637606,3.80130572374316,3.40719910935161,3.28114571237191,2.55843508221567,3.86048954559171
D3C65_00310,68.3401646722431,74.8742036494866,67.0488110447405,54.638209036454,56.7652783866601,62.5399306385857
D3C65_00315,20.9997308850765,19.8128661964795,18.7395951014338,23.395995514304,17.2694368049558,24.5141086145073
D3C65_00320,40.4214473105807,43.1966559516269,51.4730436877046,39.65906556693,37.2572108847657,34.3583569557662
D3C65_00325,9.22531530211452,9.10009552047606,7.42282663108743,9.70077862788216,8.95452278775484,7.33493013662424
D3C65_00330,7.04037220424529,5.75955412688358,6.81439821870321,5.70634036934245,5.27677235706982,8.49307700030176
D3C65_00335,4.24850046807905,3.91649680628084,3.77225615678214,5.99165738780957,2.87823946749263,2.7023426819142
D3C65_00340,6.79760074892649,6.1051273744966,8.15294072594849,6.70494993397738,8.31491401720092,5.40468536382839
D3C65_00345,25.7337742637931,25.5724203233631,28.5961353820581,27.5330922820773,23.345720125218,19.8815211597973
D3C65_00350,7.6473008425423,7.48742036494866,8.51799777337902,8.13153502631299,9.11442498039332,7.52795461390383
D3C65_00355,10.9247154893461,12.4406369140685,10.3432830105317,8.13153502631299,8.63471840247788,7.52795461390383
D3C65_00360,27.9187173616624,25.9179935709761,24.0937651304149,48.3612346301773,50.049386295844,49.4142661835739
D3C65_00365,64.5772071148016,63.7006686433324,54.3935000671488,59.3459398411615,54.5266476897214,60.995734820349
D3C65_00370,58.1437635488533,52.9878979673289,55.4886712094404,53.4969409625855,47.9706577915438,49.6072906608534
D3C65_00375,55.8374347233247,55.1765285355447,63.1548692054816,51.357063324082,48.9300709473747,46.3258745471005
D3C65_00380,499.987812229075,476.660699540885,516.434036431722,355.505005010035,326.360375175136,327.948586898015
D3C65_00385,53.1669487148179,51.6056049768769,51.5947293701815,54.9235260549211,46.8513424430744,55.0119760246818
D3C65_00390,16.1443017787004,15.6659872251233,15.3323959920822,22.112068931202,20.9471872356408,17.5652274324423
