,WT1_S1,WT-plus-HOCl1_S2,WT-plus-OSCN1_S3,mutant1_S4,mutant-plus-HOCl1_S5,mutant-plus-OSCN1_S6,WT2_S7,WT-plus-HOCl2_S8,WT-plus-OSCN2_S9,mutant2_S10,mutant-plus-HOCl2_S11,mutant-plus-OSCN2_S12
PA14_RS00360,"1,623","1,940","1,793","2,290","1,928","1,087","1,564","1,207","1,042","1,481","1,196",864
PA14_RS00365,101,127,87,130,122,26,117,70,60,102,81,47
PA14_RS00370,52,49,54,59,57,10,49,37,45,52,46,24
PA14_RS00375,523,586,546,680,628,173,447,315,378,542,401,232
PA14_RS00380,147,219,222,204,199,58,148,92,141,149,123,84
PA14_RS00385,151,164,161,209,181,57,121,83,102,156,105,68
PA14_RS00390,"1,076","1,337","1,228","1,319","1,312",410,885,568,776,858,714,432
PA14_RS00395,468,597,512,606,540,139,318,210,334,332,220,177
PA14_RS00400,757,859,711,905,827,294,540,336,527,492,393,293
PA14_RS00405,327,380,337,374,291,119,251,153,229,210,146,102
PA14_RS00410,"1,332","1,574","1,426","1,613","1,639",881,"1,484","1,046","1,183","1,470","1,062",949
PA14_RS00415,"1,094","1,438","1,488","1,483","1,406",528,"1,000",538,718,772,516,431
PA14_RS00420,"1,847","2,445","2,604","2,574","2,113",781,"1,499",822,"1,281","1,042",839,787
PA14_RS00425,"5,379","6,626","6,527","7,817","6,115","1,922","4,063","2,062","3,191","3,008","2,561","2,110"
PA14_RS00430,"2,984","3,667","4,040","3,409","3,090","1,545","1,831","1,115","1,800","1,489","1,541","1,097"
PA14_RS00435,384,548,648,622,520,203,234,110,303,198,183,117
PA14_RS00440,259,359,402,399,314,115,121,63,107,82,102,73
PA14_RS00445,570,835,792,863,768,251,288,136,279,220,239,140
PA14_RS00450,331,435,461,461,418,183,203,106,194,186,184,90
PA14_RS00455,"1,034","1,338","1,577","1,315","1,176",537,832,465,616,797,694,373
PA14_RS00460,587,705,784,725,694,249,458,255,292,418,373,193
PA14_RS00465,364,421,418,434,388,217,331,180,315,300,197,213
PA14_RS00470,437,491,447,570,474,250,410,255,319,360,237,264
PA14_RS00475,823,968,798,996,888,469,745,493,461,566,440,393
PA14_RS00480,461,497,463,707,532,297,395,268,158,362,160,173
PA14_RS00485,"1,727","2,164","2,430","2,323","2,154","1,073","1,634","1,169","1,481","1,494","1,125","1,003"
PA14_RS00490,106,145,136,117,128,54,61,68,62,62,69,63
PA14_RS00495,290,337,349,340,312,117,194,122,243,181,120,124
PA14_RS00500,133,140,140,141,123,56,76,61,103,90,72,64
PA14_RS00505,505,599,729,728,608,258,409,305,427,375,359,327
PA14_RS00510,341,481,520,504,452,278,263,222,346,336,274,238
PA14_RS00515,168,199,227,203,179,100,138,103,145,146,110,81
PA14_RS00520,"1,015","1,261","1,262","1,272","1,273",863,"1,334","1,258","1,116","1,094","1,113","1,160"
PA14_RS00525,124,143,180,133,152,111,119,163,171,120,138,140
PA14_RS00530,228,236,212,307,284,475,274,260,271,292,290,250
PA14_RS29955,40,37,50,51,42,38,38,21,18,35,13,30
PA14_RS00535,326,443,321,399,405,273,381,560,328,400,367,197
PA14_RS00540,176,200,90,170,183,93,196,387,142,202,174,103
PA14_RS00545,65,58,33,46,52,29,47,99,39,48,45,25
PA14_RS00550,99,133,73,104,93,44,93,153,89,86,79,61
PA14_RS00555,379,480,442,408,477,233,571,579,555,671,602,523
PA14_RS00560,59,53,40,65,43,49,41,60,45,58,47,45
PA14_RS00565,25,31,25,24,29,24,34,23,29,26,30,14
PA14_RS00570,38,47,21,33,36,20,33,33,34,30,19,12
PA14_RS00575,72,78,77,97,87,66,85,90,66,69,60,50
PA14_RS00580,359,536,464,591,475,559,289,315,327,295,347,419
PA14_RS00585,451,463,337,567,376,454,237,212,180,238,149,160
PA14_RS00590,414,428,360,462,375,991,334,377,380,379,308,442
PA14_RS00595,169,205,105,220,170,"6,206",181,164,151,155,133,517
PA14_RS00600,316,237,195,327,193,"4,498",234,174,209,253,139,760
PA14_RS00605,"1,446","1,225",920,"1,675","1,349",915,"1,884","1,369","1,543","2,048","1,077","1,080"
PA14_RS00610,"1,446","1,172",818,"1,157",921,705,"1,583","1,234","1,383","2,084","1,079","1,021"
PA14_RS00615,423,375,270,418,306,211,474,350,450,501,295,268
PA14_RS00620,"2,140","2,147","1,478","1,874","1,378",275,"2,035","1,796","1,337","1,990","1,099",512
PA14_RS00625,245,201,219,250,226,178,165,195,189,193,166,154
PA14_RS00630,159,178,153,222,188,121,127,148,144,142,109,119
PA14_RS00635,85,94,101,93,109,79,96,95,94,94,68,75
PA14_RS00640,618,778,588,895,765,500,491,416,412,418,364,284
PA14_RS00645,499,544,416,531,511,759,537,549,646,689,600,628
PA14_RS00650,670,755,735,965,809,926,601,693,923,764,651,594
PA14_RS00655,"1,113","1,432","1,285","1,616","1,248","1,140","1,215",872,841,897,403,888
PA14_RS00660,"2,654","2,735","2,840","2,880","2,745","3,765","4,575","3,528","2,932","3,830","1,999","4,507"
PA14_RS00665,377,371,397,419,417,489,740,534,522,707,304,635
PA14_RS00670,"1,393","1,471","1,727","1,362","1,322","2,078","3,125","2,562","2,649","3,210","1,754","3,754"
PA14_RS00675,237,292,212,316,256,"1,198",290,413,243,261,242,423
PA14_RS00680,549,638,727,623,570,714,714,776,856,771,733,782
PA14_RS00690,55,68,53,56,54,91,46,61,55,67,57,41
PA14_RS00695,11,16,9,8,16,30,11,30,17,11,14,9
PA14_RS00700,33,32,25,24,29,40,24,31,23,27,25,20
PA14_RS29960,188,206,127,337,229,74,121,98,79,219,123,87
PA14_RS00705,"22,753","29,824","21,407","27,491","32,680","72,061","28,933","36,482","26,622","27,818","35,278","40,474"
PA14_RS00710,919,"1,509",833,"1,227","1,550","4,007","1,531","2,223","1,179","1,428","1,788","2,357"
PA14_RS00715,"6,493","6,625","4,231","9,228","6,439","2,054","4,735","2,509","4,576","6,787","3,965","2,772"
PA14_RS00720,111,150,135,194,156,424,92,165,93,109,100,127
PA14_RS00725,863,950,661,"1,089",769,480,588,494,559,569,420,431
PA14_RS00730,113,146,95,138,85,53,67,47,53,79,44,40
PA14_RS00735,207,227,170,232,165,99,146,82,134,153,68,80
PA14_RS00740,136,137,86,136,135,138,142,96,105,145,98,114
PA14_RS00745,34,47,47,57,41,42,60,56,54,49,34,37
PA14_RS00750,209,207,183,242,214,168,262,215,187,211,173,176
PA14_RS00755,529,652,476,650,587,629,553,491,519,603,434,520
PA14_RS00760,56,88,55,78,62,105,62,48,57,57,28,44
PA14_RS00765,65,72,69,95,77,137,52,53,59,54,34,45
PA14_RS00770,77,105,95,110,109,71,79,66,66,83,50,66
PA14_RS00775,227,214,201,254,185,229,196,188,222,218,192,198
PA14_RS00780,35,40,33,34,32,25,27,28,27,31,17,11
PA14_RS00785,59,67,32,67,48,19,31,12,30,35,28,19
PA14_RS29965,40,43,45,67,87,51,69,40,48,88,19,47
PA14_RS00790,137,153,91,171,141,192,121,131,94,98,80,71
PA14_RS00795,299,312,383,290,301,303,280,214,322,273,163,225
PA14_RS00800,209,215,240,258,181,198,214,182,246,198,152,200
PA14_RS00805,"1,348","1,532","1,650","1,874","1,503",975,"1,381","1,170","1,855","1,724","1,292","1,468"
PA14_RS00810,465,590,472,695,607,410,443,393,433,443,428,405
PA14_RS00815,60,92,59,89,92,92,53,54,40,42,48,43
PA14_RS00820,88,160,92,177,262,139,192,229,102,222,193,99
PA14_RS00825,"1,988","1,966",475,"3,061","1,594","1,600","2,323","1,431",710,"2,315",716,483
PA14_RS00830,296,317,223,297,281,348,195,185,266,255,171,213
PA14_RS00835,219,268,195,275,208,262,165,179,184,243,226,224
PA14_RS00840,146,151,122,161,102,198,166,115,155,207,147,175
PA14_RS00845,121,185,60,238,204,91,172,218,50,123,88,27
PA14_RS00850,25,15,14,18,19,10,8,11,14,22,13,5
PA14_RS00855,709,886,698,921,766,663,449,427,284,370,274,324
PA14_RS00860,238,237,262,269,230,231,142,146,158,138,122,113
PA14_RS00865,81,129,110,117,139,113,77,99,85,68,102,77
PA14_RS00870,72,84,73,84,88,99,44,72,43,38,70,51
PA14_RS00875,64,83,65,82,63,95,66,49,32,33,52,37
PA14_RS00880,148,259,160,223,221,259,124,187,97,123,102,99
PA14_RS00885,23,36,26,19,32,11,13,35,22,8,24,15
PA14_RS00890,27,32,18,37,33,12,16,30,11,25,16,17
PA14_RS00895,169,220,158,161,175,44,138,149,97,79,129,84
PA14_RS00900,641,785,549,717,770,237,546,806,577,553,603,455
PA14_RS00905,196,257,210,211,240,59,190,248,190,201,213,155
PA14_RS00910,677,772,624,759,707,215,581,628,554,562,521,380
PA14_RS00915,447,539,522,592,579,237,431,395,338,383,323,229
PA14_RS00920,597,626,463,687,506,396,534,441,465,446,369,371
PA14_RS00925,296,292,268,369,296,559,350,324,341,379,322,441
PA14_RS00930,97,99,94,129,105,247,91,109,113,106,126,142
PA14_RS00935,100,374,125,147,413,169,106,460,117,142,450,120
PA14_RS00940,26,161,73,39,170,117,39,187,55,58,166,62
PA14_RS00945,55,160,67,46,180,106,46,144,47,47,120,60
PA14_RS00950,136,193,133,158,188,296,107,145,169,200,84,153
