,WT1_S1,WT-plus-HOCl1_S2,WT-plus-OSCN1_S3,mutant1_S4,mutant-plus-HOCl1_S5,mutant-plus-OSCN1_S6,WT2_S7,WT-plus-HOCl2_S8,WT-plus-OSCN2_S9,mutant2_S10,mutant-plus-HOCl2_S11,mutant-plus-OSCN2_S12
PA14_RS08755,240,370,232,322,280,316,197,231,192,206,199,164
PA14_RS08760,382,742,405,593,691,807,365,627,179,216,358,246
PA14_RS08765,443,542,563,538,626,489,463,447,487,446,436,363
PA14_RS08770,"7,442","7,399","6,254","10,844","8,811","9,972","4,545","3,483","4,061","4,678","3,195","4,467"
PA14_RS08775,60,83,42,102,77,109,35,61,31,47,28,32
PA14_RS08780,381,520,308,534,448,507,257,296,289,276,247,253
PA14_RS08785,317,505,250,434,402,794,207,224,225,220,243,259
PA14_RS08790,69,119,80,92,126,115,62,161,66,78,98,45
PA14_RS08795,98,144,112,151,185,164,93,191,114,138,150,129
PA14_RS08800,"5,666","6,337","5,689","6,817","5,587","7,491","3,875","3,906","4,687","3,939","3,571","4,317"
PA14_RS08805,217,232,341,231,215,350,225,257,388,379,243,302
PA14_RS08810,212,264,252,309,251,260,201,177,201,203,169,150
PA14_RS08815,213,231,206,258,225,268,224,270,355,333,280,240
PA14_RS08820,319,377,290,368,322,394,309,422,439,427,396,410
PA14_RS08825,191,206,215,170,209,227,170,188,265,255,191,196
PA14_RS08830,342,395,378,526,496,399,341,339,330,353,398,408
PA14_RS08835,"15,494","17,549","16,866","22,097","18,550","18,942","16,052","14,423","15,813","16,217","15,753","19,335"
PA14_RS08840,956,"1,199","1,099","1,122","1,137","1,287",849,"1,081","1,611","1,298","1,268","1,164"
PA14_RS08845,350,454,448,550,461,430,285,288,374,349,251,313
PA14_RS08850,100,131,105,113,126,108,113,85,72,92,80,66
PA14_RS08855,57,56,59,55,67,34,42,46,26,45,33,28
PA14_RS08860,72,88,61,69,75,35,32,50,37,43,29,45
PA14_RS08865,45,66,41,64,68,46,55,55,53,67,33,53
PA14_RS08870,157,207,158,196,176,279,185,207,186,181,89,131
PA14_RS08875,40,54,38,35,44,39,31,36,36,38,23,49
PA14_RS08880,221,239,198,199,221,301,168,183,219,238,183,197
PA14_RS08885,"1,241","1,527","1,252","1,808","1,642","1,543","1,414","1,235","1,311","1,392","1,171","1,399"
PA14_RS08890,189,294,218,321,326,291,121,185,128,137,132,149
PA14_RS08895,"1,974","2,441","1,932","2,720","2,384","3,004","1,397","1,916","1,341","1,405","1,340","1,585"
PA14_RS08900,"3,627","4,441","3,681","4,709","4,136","4,980","2,589","3,102","2,687","2,535","2,411","2,913"
PA14_RS08905,947,"1,055",908,"1,198",977,954,616,690,582,578,495,652
PA14_RS08910,238,372,207,358,313,671,196,260,150,165,201,149
PA14_RS08915,319,421,380,450,406,426,249,313,299,285,276,240
PA14_RS08920,"1,256","1,386","1,155","1,738","1,334","1,430","1,085","1,000","1,260","1,428","1,031",995
PA14_RS08925,"1,416","1,391","1,015","2,192","1,425","2,311","1,143","1,223","1,213","1,414",999,"1,039"
PA14_RS08930,"1,551","1,607",847,"2,203","1,402","3,566","1,450","1,338",847,"1,744","1,133","1,109"
PA14_RS08935,"1,037","1,231",786,"1,316","1,540","9,813","2,371","2,810","1,900","2,997","2,876","1,906"
PA14_RS08940,82,95,78,116,100,279,64,555,44,68,83,68
PA14_RS08950,67,66,44,96,79,47,98,80,48,100,58,42
PA14_RS30260,69,75,50,77,70,55,69,59,37,68,57,45
PA14_RS08960,54,50,35,43,48,69,65,74,44,64,46,58
PA14_RS08965,161,191,196,263,243,222,201,231,136,217,186,223
PA14_RS08970,6,5,6,17,15,26,14,21,4,7,10,8
PA14_RS30265,83,65,57,100,92,172,83,89,61,99,72,79
PA14_RS30270,30,37,12,52,27,152,44,52,18,31,24,35
PA14_RS08985,36,41,26,40,42,352,48,90,40,50,37,45
PA14_RS08990,741,695,502,901,734,"5,614",885,957,515,902,588,665
PA14_RS08995,85,74,45,116,87,136,100,135,44,124,81,66
PA14_RS30275,107,125,100,162,144,181,147,192,94,146,131,122
PA14_RS09000,37,44,14,47,50,62,37,65,17,41,33,38
PA14_RS30280,50,65,31,65,58,110,55,121,36,61,39,61
PA14_RS30285,66,70,54,99,78,355,107,235,45,97,95,93
PA14_RS30290,21,19,14,32,25,170,26,190,9,28,13,43
PA14_RS09015,"1,325","1,570",968,"1,964","1,548","2,740","1,349","1,301",918,"1,251","1,244","1,109"
PA14_RS09020,153,360,177,212,377,416,249,588,213,274,656,285
PA14_RS09025,803,"1,114",841,"1,294","1,256","1,115",615,741,556,578,646,799
PA14_RS09030,935,"1,180",904,"1,322","1,137","1,343",639,790,521,571,564,618
PA14_RS09035,30,20,12,23,17,82,15,23,18,19,15,25
PA14_RS09040,204,238,228,243,223,206,158,155,173,118,115,128
PA14_RS09045,"2,750","3,622","1,640","3,041","3,095","1,359","5,483","4,558","3,238","5,095","2,323","2,164"
PA14_RS09050,"6,270","8,429","4,469","6,900","7,912","3,235","9,306","8,602","5,728","8,235","4,022","4,130"
PA14_RS09055,"2,190","2,879","1,748","2,478","2,615","1,139","1,858","1,942","1,429","1,688",893,989
PA14_RS09060,806,967,671,932,948,406,628,690,593,622,364,372
PA14_RS09065,260,236,236,237,238,120,214,160,275,305,116,169
PA14_RS09070,449,591,523,603,578,506,357,375,475,411,414,349
PA14_RS09075,143,241,138,107,196,"7,242",118,517,173,110,636,"2,341"
PA14_RS09080,"1,255","1,430","1,141","1,822","1,468","1,141","1,004",986,"1,261","1,349","1,119","1,178"
PA14_RS09085,"1,793","1,696","1,521","2,282","1,787","1,215","1,377","1,232","1,626","1,686","1,306","1,382"
PA14_RS09090,837,902,725,"1,309","1,026",831,792,750,722,835,692,724
PA14_RS09095,"1,305","1,295","1,014","1,526","1,305","2,051","1,273","1,238","1,441","1,427","1,240","1,398"
PA14_RS09100,395,429,422,480,433,532,298,350,266,289,286,291
PA14_RS09105,86,180,111,122,171,130,74,217,118,75,246,94
PA14_RS09110,63,63,55,84,73,77,62,63,64,60,48,84
PA14_RS09115,30,20,25,39,28,43,24,28,29,30,22,38
PA14_RS09120,66,57,61,89,76,96,62,64,51,76,52,65
PA14_RS09125,43,55,37,74,52,174,40,59,39,52,43,73
PA14_RS09130,36,40,48,57,59,137,35,64,34,48,43,39
PA14_RS09135,252,293,224,319,283,533,222,287,294,255,266,316
PA14_RS09140,216,253,184,252,238,200,158,158,182,175,156,159
PA14_RS09145,256,326,238,373,346,305,228,216,154,198,208,198
PA14_RS09150,446,520,390,590,558,496,589,427,511,575,493,451
PA14_RS09155,23,30,24,29,25,31,14,27,14,23,20,23
PA14_RS09160,73,95,85,103,87,94,73,92,120,96,85,93
PA14_RS09165,576,679,597,744,691,730,388,495,422,347,354,398
PA14_RS09170,191,205,157,167,179,140,248,244,254,265,257,202
PA14_RS09175,318,348,309,380,364,381,358,328,377,390,296,298
PA14_RS09180,513,604,515,531,579,366,434,471,561,544,523,468
PA14_RS09185,833,"1,070",992,"1,152","1,177",729,767,856,810,864,879,867
PA14_RS09190,548,615,497,622,650,549,529,530,572,602,528,569
PA14_RS09195,"1,494","1,817","1,678","1,978","1,989","1,788","1,651","1,712","1,763","1,807","1,673","1,708"
PA14_RS09200,368,496,323,615,516,635,268,310,258,254,246,247
PA14_RS09205,3,12,3,7,7,14,6,18,1,1,10,9
PA14_RS09210,290,286,213,280,260,553,199,295,226,277,197,274
PA14_RS09215,78,67,63,73,74,42,46,51,109,65,61,61
PA14_RS09220,217,260,235,288,314,249,197,182,259,290,227,233
PA14_RS09225,349,392,458,508,533,321,388,426,390,379,434,404
PA14_RS09230,531,577,558,673,693,584,462,426,589,533,497,473
PA14_RS09235,511,586,510,678,642,615,401,384,485,483,441,427
PA14_RS09240,662,800,568,794,709,685,499,543,507,511,488,540
PA14_RS09245,"1,103","1,516","1,177","1,708","1,639","1,707","1,037","1,056",953,"1,117","1,088","1,078"
PA14_RS09250,300,425,345,428,426,575,347,389,373,417,435,413
PA14_RS09255,704,828,648,838,797,760,728,719,747,751,763,728
PA14_RS09260,619,674,610,822,733,503,480,494,597,516,496,453
PA14_RS09265,554,661,557,689,625,739,384,443,498,466,394,393
PA14_RS09270,332,468,333,469,448,517,303,329,392,359,372,387
PA14_RS09275,67,66,46,69,54,70,73,64,50,81,59,72
PA14_RS09280,"3,257","3,718","5,494","5,030","4,277","6,480","3,971","3,361","4,887","4,081","3,970","5,330"
PA14_RS09285,"5,415","6,868","9,846","7,555","7,688","14,763","6,667","6,786","12,814","8,868","9,303","11,712"
PA14_RS09290,"2,020","2,517","2,855","2,754","2,692","2,952","1,938","1,847","3,064","2,562","2,452","3,054"
PA14_RS09295,"1,804","2,006","2,266","2,214","2,075","1,625","1,398","1,402","2,520","1,781","1,787","1,797"
PA14_RS09300,857,"1,022","1,285","1,202","1,206",811,685,757,"1,006",881,910,821
PA14_RS30295,245,322,455,416,387,241,183,226,261,239,268,207
PA14_RS09305,"17,463","18,566","13,886","20,767","17,141","8,781","14,910","11,776","9,640","10,992","7,588","6,792"
PA14_RS09310,"4,589","5,606","3,864","6,395","5,324","2,481","3,946","3,100","2,920","3,301","1,887","1,744"
PA14_RS09315,"4,496","5,295","3,492","5,885","4,931","2,052","3,904","3,022","2,666","3,299","2,019","1,502"
PA14_RS09320,"7,893","8,863","6,917","10,619","8,820","3,808","7,631","6,385","4,822","6,236","4,181","2,699"
PA14_RS09325,"11,706","13,591","10,422","13,483","12,332","5,205","12,126","10,287","7,503","9,896","5,180","4,018"
PA14_RS30300,8,17,12,31,22,14,8,14,16,11,10,12
PA14_RS09330,"1,467","1,935","1,678","2,055","1,927","2,022","1,311","1,309","1,303","1,538","1,120","1,026"
PA14_RS09335,356,426,680,456,466,906,316,334,685,380,436,642
PA14_RS09340,"4,039","5,479","9,370","6,021","6,356","13,819","4,835","5,586","10,775","5,938","6,817","11,021"
PA14_RS09345,"1,118","1,441","2,445","1,764","1,751","2,598","1,353","1,254","2,694","1,663","1,540","2,466"
PA14_RS09350,"2,774","2,869","3,988","3,390","3,350","3,363","2,270","2,029","4,232","2,527","2,516","3,866"
PA14_RS09355,131,181,121,161,153,163,117,146,116,131,129,112
PA14_RS09360,315,438,407,379,472,"2,077",354,625,463,371,473,522
PA14_RS09365,185,267,156,245,211,300,130,149,125,175,112,111
PA14_RS09370,195,261,388,187,217,210,147,216,509,213,239,319
PA14_RS09375,76,93,64,98,89,54,78,71,60,93,65,59
PA14_RS09380,61,97,65,83,73,64,54,52,58,47,59,62
PA14_RS09385,151,160,153,204,180,158,142,143,170,172,175,159
PA14_RS09390,843,"1,037",871,"1,436","1,202",670,679,596,822,766,787,815
PA14_RS09395,502,673,521,704,642,457,443,371,529,461,408,514
PA14_RS09400,596,702,725,909,829,729,597,501,670,699,601,755
PA14_RS09405,677,830,584,855,803,863,708,664,698,799,696,725
PA14_RS09410,573,678,450,745,617,919,444,597,455,506,446,463
PA14_RS09415,"7,114","9,261","7,042","9,721","8,878","13,072","6,036","7,238","7,148","6,056","6,880","7,581"
PA14_RS09420,"1,922","2,439","1,866","2,750","2,609","2,127","1,761","1,827","1,880","1,830","2,091","2,137"
PA14_RS09425,"2,430","3,066","2,762","3,587","3,475","2,119","2,363","2,377","2,760","2,495","2,979","2,635"
PA14_RS09430,911,"1,304","1,055","1,352","1,344",790,738,860,962,900,"1,024",929
PA14_RS09435,"2,430","3,412","2,664","3,513","3,492","2,169","2,189","2,239","2,550","2,389","2,733","2,403"
PA14_RS09440,992,"1,284","1,045","1,417","1,356",672,881,883,"1,032",988,993,847
PA14_RS09445,"13,776","21,502","13,801","21,420","24,374","27,043","17,748","27,912","14,618","17,038","22,570","20,143"
PA14_RS09450,"3,924","4,527","3,977","4,581","3,774","4,649","3,957","4,396","3,883","4,968","4,542","4,873"
PA14_RS09455,"3,365","3,903","3,107","3,623","3,253","2,951","3,047","3,486","3,197","3,475","3,082","3,203"
PA14_RS09460,"7,724","8,707","7,222","9,322","8,333","6,182","6,652","7,424","5,762","7,365","6,428","7,067"
PA14_RS09465,"10,210","12,351","8,920","12,454","11,166","7,358","7,720","8,583","7,138","8,212","7,974","8,190"
PA14_RS09470,"9,180","11,981","7,295","11,802","9,674","5,118","7,567","6,193","7,065","7,907","6,405","6,858"
PA14_RS09475,"3,960","5,924","3,067","5,520","4,575","2,041","2,361","2,698","2,014","2,408","2,509","2,400"
PA14_RS09480,"5,764","7,472","5,158","9,105","7,770","3,164","4,031","4,264","2,715","3,856","3,999","3,420"
PA14_RS29910,"1,337","2,091","1,220","1,999","1,754",854,824,837,690,869,880,758
PA14_RS09485,"7,678","10,238","8,456","9,876","8,968","4,987","5,597","6,570","6,183","6,237","7,341","6,288"
PA14_RS09490,"5,625","7,421","6,214","7,817","6,768","2,894","3,680","4,347","4,082","4,065","4,519","3,357"
PA14_RS29915,"4,784","6,125","4,636","5,861","5,290","2,128","3,071","3,681","3,037","3,146","3,705","2,921"
PA14_RS29920,"3,581","4,529","3,743","4,709","4,120","1,782","2,318","3,121","2,706","2,531","3,468","2,485"
PA14_RS09495,"1,326","2,231","1,548","2,011","1,698",765,761,998,807,886,"1,009",790
PA14_RS09500,"6,054","7,735","7,617","8,565","7,689","5,763","4,598","5,786","5,472","5,000","5,885","4,930"
PA14_RS09505,223,301,297,277,317,314,249,429,391,342,437,420
PA14_RS09510,48,98,78,91,142,121,31,106,29,28,44,39
PA14_RS09515,551,922,724,878,933,"1,140",409,872,412,357,452,415
PA14_RS09520,"1,482","1,782","1,437","2,044","1,701","2,560","1,578","1,484","1,699","1,755","1,577","1,788"
PA14_RS09525,47,61,29,64,58,92,49,50,30,35,34,31
PA14_RS09530,41,49,34,52,49,147,28,30,22,16,32,34
PA14_RS09535,279,261,227,292,280,596,251,275,252,319,275,296
PA14_RS09540,"2,138","2,728","1,968","3,065","2,679","4,999","1,921","2,217","2,017","2,048","2,001","2,353"
PA14_RS09545,90,154,112,137,200,176,87,196,114,138,178,82
PA14_RS09550,113,252,192,233,255,309,147,360,257,209,349,175
PA14_RS09555,55,159,80,120,214,245,54,260,48,92,175,61
PA14_RS09560,14,52,28,46,71,72,42,121,44,63,89,16
PA14_RS09565,27,71,26,33,58,"2,871",28,282,47,37,52,202
PA14_RS09570,44,62,36,52,46,"2,729",39,258,55,51,55,212
PA14_RS09575,205,332,278,316,295,648,140,276,144,127,146,172
PA14_RS09580,238,264,230,262,258,426,157,248,139,126,131,141
PA14_RS09585,193,232,190,221,244,382,115,264,138,134,137,151
PA14_RS09590,800,828,678,933,902,756,976,846,871,981,832,968
PA14_RS09595,747,729,598,811,825,787,883,755,884,905,776,872
PA14_RS09600,587,744,385,710,800,"47,208",426,750,600,963,628,"12,505"
PA14_RS09605,52,81,62,106,80,157,107,102,74,99,85,109
PA14_RS09610,242,322,264,309,309,"1,184",340,464,400,473,449,672
PA14_RS09615,379,347,355,372,366,836,329,408,462,425,368,590
PA14_RS09620,209,224,141,275,202,264,124,90,128,139,96,101
PA14_RS09625,"1,120","1,045",954,"1,342","1,027","1,631","1,246",993,"1,200","1,349","1,010","1,131"
PA14_RS09630,715,673,630,958,758,664,927,694,863,"1,036",690,677
PA14_RS09635,413,443,360,518,432,330,415,349,402,486,371,332
PA14_RS09640,926,"1,114",826,"1,248","1,055","1,029",762,781,739,784,639,728
PA14_RS09645,"1,541","2,015","1,371","2,177","1,667","3,680",904,"1,101","1,070","1,056",957,"1,033"
PA14_RS09650,367,520,406,667,669,"1,084",468,466,261,426,423,421
PA14_RS09655,"12,735","13,713","13,957","16,663","14,966","12,224","14,378","12,711","18,439","17,210","14,978","15,004"
PA14_RS09660,864,"1,100","1,070","1,275","1,213",657,803,751,"1,048","1,096",842,768
PA14_RS09665,912,"1,039",804,"1,039",899,"1,286",597,728,927,917,782,824
PA14_RS09670,"1,411","1,713","1,378","1,704","1,674","1,765",990,"1,480","1,058","1,093","1,254","1,130"
PA14_RS09675,"1,756","2,140","1,895","2,161","2,050","1,908","1,433","1,961","2,210","1,938","1,945","1,785"
PA14_RS09680,729,"1,014",811,974,990,791,751,838,872,768,749,724
PA14_RS09685,227,381,285,410,428,665,210,441,195,207,245,162
PA14_RS09690,"1,284","1,838","1,379","1,931","2,063","3,452","1,353","2,087","1,334","1,294","1,767","1,729"
PA14_RS09695,"1,034","1,377","1,080","1,384","1,472","1,500","1,139","1,408","1,232","1,130","1,534","1,492"
PA14_RS09700,639,865,666,862,948,756,582,722,756,599,807,666
PA14_RS09705,"2,148","2,740","2,239","3,283","2,978","1,421","1,644","1,706","1,456","1,413","1,549","1,331"
PA14_RS09710,"1,185","1,422","1,233","1,765","1,764",886,"1,185","1,023",994,"1,119",969,881
PA14_RS09715,"1,816","2,108","1,732","2,348","2,113","1,185","1,864","1,565","2,066","1,970","1,513","1,682"
PA14_RS09720,830,"1,021",821,"1,060",959,510,826,716,856,983,759,754
PA14_RS09725,"1,085","1,094",981,"1,308","1,094",494,823,824,790,798,715,695
PA14_RS09730,688,748,615,678,661,408,512,527,643,695,505,457
PA14_RS09735,333,373,322,414,377,192,205,239,289,261,278,186
PA14_RS09740,402,504,430,471,414,210,234,286,343,344,290,244
PA14_RS09745,416,572,561,612,568,329,340,424,422,394,375,289
PA14_RS09750,405,442,414,446,470,395,319,419,534,474,434,364
PA14_RS09755,144,168,119,128,123,156,120,173,172,183,177,130
PA14_RS09760,79,143,112,118,180,135,74,169,98,93,129,72
PA14_RS09765,125,210,144,209,224,207,118,227,130,215,203,163
PA14_RS09770,188,310,223,289,294,301,182,351,365,338,312,261
PA14_RS09775,187,263,190,247,244,480,203,216,199,182,196,231
PA14_RS09780,250,306,293,309,264,"1,022",183,207,221,241,208,248
PA14_RS09785,753,932,643,752,742,558,"1,007","1,803","1,259","1,311","1,593","1,362"
PA14_RS09790,245,278,260,285,275,195,224,311,229,292,179,207
PA14_RS09795,51,65,58,100,82,115,56,58,59,57,56,42
PA14_RS09800,127,178,138,159,161,98,190,181,167,190,174,139
PA14_RS09805,863,"1,011",891,"1,117","1,082","1,189",969,973,994,"1,044","1,082","1,075"
PA14_RS09810,613,711,624,644,693,535,618,561,768,734,616,662
PA14_RS09815,305,419,407,427,451,397,297,326,466,420,417,374
PA14_RS09820,450,512,496,632,658,605,502,512,441,494,446,503
PA14_RS09825,724,863,803,"1,058",994,951,870,821,723,774,815,878
PA14_RS09830,"4,973","5,781","4,989","6,917","6,125","4,727","5,426","4,861","5,497","5,227","5,154","5,735"
PA14_RS30305,23,33,26,32,30,22,19,27,9,14,19,14
PA14_RS09835,"2,216","3,232","1,624","3,515","3,040","1,002","2,145","1,854","1,463","1,724","1,265","1,340"
PA14_RS09840,"1,129","1,584","1,014","1,756","1,481",585,"1,106",948,760,879,759,752
PA14_RS09845,"1,599","3,366","1,339","2,109","3,348","1,177","3,220","3,394","1,824","2,906","2,041","1,631"
PA14_RS09850,"2,889","5,521","2,565","3,810","5,631","1,918","5,736","5,643","3,329","4,873","3,441","2,889"
PA14_RS09855,177,234,178,316,242,340,158,113,137,147,112,158
PA14_RS09860,81,94,70,174,123,161,44,38,38,59,32,43
PA14_RS09865,205,456,347,209,411,367,161,473,234,128,293,175
PA14_RS09870,257,330,275,346,333,194,220,234,254,244,269,248
PA14_RS09875,220,314,215,283,343,114,253,240,243,265,267,202
PA14_RS09880,251,334,301,330,364,182,223,243,317,294,295,244
PA14_RS09885,120,170,186,201,201,137,131,124,171,162,168,170
PA14_RS09890,53,73,42,84,72,45,51,36,63,45,59,73
PA14_RS09895,280,322,338,380,334,263,256,244,348,266,232,295
PA14_RS09900,758,860,810,"1,099",959,956,729,691,699,733,676,754
PA14_RS09905,243,316,253,327,272,289,122,146,139,115,151,107
PA14_RS09910,"11,265","15,318","12,411","17,640","13,317","11,021","7,571","6,207","7,453","7,051","6,204","6,653"
PA14_RS09915,346,531,443,551,488,490,294,315,350,323,206,363
PA14_RS09920,259,314,305,292,299,342,186,179,202,220,167,225
PA14_RS09925,47,61,43,57,51,56,42,22,22,37,27,27
PA14_RS09930,150,219,154,210,173,179,97,93,115,123,101,108
PA14_RS09935,57,85,69,87,78,78,43,27,48,55,34,31
PA14_RS09940,153,172,139,193,148,162,140,100,100,92,86,101
PA14_RS09945,159,217,164,258,206,173,127,120,97,123,124,91
PA14_RS09950,55,72,45,76,70,61,53,53,44,69,64,49
PA14_RS09955,520,621,480,607,516,633,408,423,541,541,369,479
PA14_RS09960,"1,307","1,556","1,337","1,683","1,435","1,455","1,134","1,164","1,017","1,043",982,"1,137"
PA14_RS09965,"1,254","1,398","1,098","1,802","1,284",597,"1,037",591,"1,094","1,073",826,760
PA14_RS09970,647,757,620,890,778,743,633,542,579,666,556,572
PA14_RS09975,858,953,980,"1,247","1,122","1,051","1,001",819,975,"1,021",868,976
PA14_RS09980,111,132,102,136,108,161,130,115,112,153,126,140
PA14_RS09985,700,852,658,895,886,"1,587",437,698,772,617,542,520
PA14_RS09990,"1,328","2,023","1,542","1,167","1,494",766,"1,556","2,859","1,266","1,337","1,936","1,692"
PA14_RS30310,8,9,14,10,20,7,16,12,11,21,14,11
PA14_RS09995,819,"1,037",682,955,897,"1,402",805,"1,174",809,841,842,932
PA14_RS10000,"1,044","1,235","1,275","1,648","1,544","1,090",982,"1,123","1,174","1,060","1,272","1,305"
PA14_RS10005,"1,380","1,590","1,285","1,457","1,315","2,262",992,"1,119","1,326","1,110",994,"1,096"
PA14_RS10010,123,101,141,151,156,157,157,133,126,133,122,164
PA14_RS10015,230,243,203,297,241,192,159,229,223,195,196,235
PA14_RS10020,"1,805","1,922","1,851","2,371","1,869","1,199","1,714","1,473","1,609","1,624","1,347","1,528"
PA14_RS10025,"1,237",806,"1,190","1,064",725,538,"1,600",824,"2,355","1,896",837,"1,298"
PA14_RS10030,"1,719","1,242","2,117","1,951","1,176","1,003","2,556","1,380","3,376","2,905","1,488","2,402"
PA14_RS10035,"3,509","2,596","4,695","3,510","2,486","1,902","5,573","2,939","5,678","6,043","2,980","4,826"
PA14_RS10040,52,74,57,65,55,45,33,46,53,48,49,32
PA14_RS10045,"6,635","7,155","5,172","8,840","6,773","4,210","7,165","5,379","4,084","5,590","2,505","3,917"
PA14_RS10050,39,76,45,60,87,"2,446",41,85,45,40,108,"2,263"
PA14_RS10055,27,64,26,46,53,"2,209",22,81,21,20,48,735
PA14_RS10060,78,139,75,92,151,"6,571",66,208,83,95,137,"1,560"
PA14_RS10065,295,394,358,451,420,"2,531",361,373,323,390,347,659
PA14_RS10070,213,261,239,333,326,785,175,251,182,189,178,326
PA14_RS10075,53,77,59,64,88,251,59,177,64,84,74,86
PA14_RS10080,44,37,77,71,64,58,53,57,49,50,42,30
PA14_RS10085,"8,204","8,878","10,544","9,793","8,392","10,384","6,195","6,247","7,709","6,626","5,650","7,750"
PA14_RS10090,252,343,207,380,306,328,187,157,176,207,133,129
PA14_RS10095,950,"1,136",871,"1,182","1,039","1,357",879,925,969,974,847,"1,038"
PA14_RS10100,"1,454","1,718","1,391","1,784","1,578","1,749","1,155","1,224","1,424","1,329","1,201","1,288"
PA14_RS10105,258,311,217,350,293,300,144,163,127,129,132,105
PA14_RS10110,273,322,255,304,321,321,287,327,409,334,360,388
PA14_RS10115,135,205,127,165,192,137,156,166,157,180,162,179
PA14_RS10120,190,285,181,235,222,172,193,217,212,245,215,215
PA14_RS10125,500,320,468,384,260,271,652,373,911,834,380,693
PA14_RS10130,991,"1,109","1,015","1,089",959,"1,434",746,710,"1,093",874,693,801
PA14_RS10135,"1,208","1,525","1,325","1,511","1,459",753,865,703,613,638,656,572
PA14_RS10140,"1,151","1,405","1,093","1,593","1,504","1,262",906,893,880,839,873,877
PA14_RS10145,398,574,372,558,602,"1,674",352,690,397,378,449,493
PA14_RS10150,603,556,443,920,495,395,404,247,379,439,321,312
PA14_RS10155,"1,191","1,370","1,146","1,236","1,469","1,243","1,669","1,664","1,579","1,795","1,697","1,609"
PA14_RS30315,32,36,28,53,46,27,40,29,30,67,45,24
PA14_RS10160,68,95,57,92,90,131,47,55,51,71,69,62
PA14_RS10165,449,500,402,567,479,351,384,426,323,404,278,288
PA14_RS10170,"22,476","26,690","16,597","26,225","25,638","27,462","34,039","36,058","34,806","35,080","36,278","42,316"
PA14_RS10175,"10,630","13,097","8,247","13,557","14,002","10,320","14,912","16,188","14,806","16,043","15,999","18,119"
PA14_RS10180,662,790,663,870,814,629,702,715,759,855,692,705
PA14_RS10185,"3,782","5,207","4,022","5,567","5,412","8,817","3,768","4,567","3,502","3,794","3,735","4,996"
PA14_RS10190,754,906,860,924,951,"1,114",731,885,"1,015",899,980,"1,327"
PA14_RS10195,180,255,289,314,363,479,156,240,169,250,228,237
PA14_RS10200,648,989,527,877,981,"1,723",757,980,777,838,824,806
PA14_RS10205,"1,341","1,965","1,279","1,544","1,845","4,351","1,492","2,219","1,682","1,574","2,152","1,855"
PA14_RS10210,"6,936","8,211","9,081","9,584","10,607","10,517","10,392","11,959","11,052","12,868","14,002","14,553"
PA14_RS10215,623,790,626,767,737,"1,376",482,826,593,535,659,651
PA14_RS10220,548,793,573,746,726,"1,059",405,613,415,440,507,529
PA14_RS10225,518,635,515,705,720,544,490,488,535,522,490,581
PA14_RS10230,"2,327","2,924","2,421","3,312","3,122","2,752","2,641","2,590","2,831","2,801","2,597","2,983"
PA14_RS10235,"2,808","4,405","2,834","3,793","4,438","7,551","2,489","5,221","2,647","2,445","3,285","2,830"
PA14_RS10240,596,957,588,830,937,769,471,889,438,495,597,497
PA14_RS10245,958,"1,353",942,"1,410","1,370","1,974",920,"1,262",727,763,909,806
PA14_RS10250,750,"1,139",752,"1,190","1,206","1,072",807,972,791,772,839,838
PA14_RS10255,619,848,739,792,866,755,791,807,827,795,917,841
PA14_RS10260,614,900,691,860,967,594,844,862,991,966,"1,002",779
PA14_RS10265,754,"1,043",756,"1,028","1,107",514,916,926,"1,001",877,"1,129",825
PA14_RS10270,"1,941","2,477","2,059","2,721","2,591","1,174","2,145","1,934","2,285","2,374","2,393","1,791"
PA14_RS10275,852,"1,111",906,"1,215","1,295",477,865,854,"1,040",976,"1,027",760
PA14_RS10280,544,746,489,778,692,223,547,482,492,615,622,471
PA14_RS10285,"3,137","4,133","3,315","4,206","4,001","3,806","3,085","3,536","3,288","3,203","3,041","2,678"
PA14_RS10290,703,845,743,880,856,747,717,707,797,743,744,769
PA14_RS10295,125,164,136,200,186,159,128,147,116,138,136,132
PA14_RS10300,391,457,376,485,524,456,380,392,328,340,361,331
PA14_RS10305,373,597,517,617,499,708,216,399,269,223,307,302
PA14_RS10310,555,727,607,736,668,669,327,440,466,361,427,522
PA14_RS10315,559,768,647,718,728,576,370,481,447,379,552,516
PA14_RS10320,343,502,532,479,545,626,374,429,435,364,485,446
PA14_RS10325,242,289,214,220,284,283,223,249,290,293,239,237
PA14_RS10330,566,755,700,803,726,"1,296",476,603,498,524,565,553
PA14_RS10335,266,436,316,374,351,662,258,279,303,317,272,288
PA14_RS10340,323,516,370,440,456,691,274,394,286,297,315,294
PA14_RS10345,266,304,260,351,296,382,209,255,211,193,200,235
PA14_RS10350,606,907,589,882,800,"1,079",586,648,519,507,544,633
PA14_RS10355,356,532,340,473,448,517,291,353,323,260,307,345
PA14_RS10360,611,813,704,879,851,934,340,543,468,379,473,504
PA14_RS10365,"7,953","9,503","7,447","12,721","9,961","8,724","6,686","6,586","6,596","6,201","5,721","6,768"
PA14_RS30320,21,30,25,35,50,39,21,35,26,23,45,34
PA14_RS10370,"1,324","1,893","1,792","2,131","2,223","3,201","1,248","1,742","1,749","1,781","1,956","2,081"
PA14_RS10375,"1,305","1,843","1,441","1,785","1,534","1,790",782,"1,191","1,558","1,281","1,408","1,591"
